Juni,Info,Demo,Sonst,Standort,Veranstalter,Uhrzeit,Thema,TN-Zahl
,,x,,Paradeplatz zwischen Grünflächen und Planken,Friedensbündnis ,18:30-20:00,Frieden schaffen ohne Waffen,50
,,,,,,,,
22.0,,,x,Alter Messplatz u. Paradeplatz Uhr,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
23.0,,,x,Alter Messplatz u. Paradeplatz Uhr,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,,x,,O 7 - Plankenkopf,Free Assange-Gruppe HD-MA,18:00-20:00,Freiheit für Julian Assange,30
,,,,,,,,
,,,,,,,,
24.0,,,x,Alter Messplatz u. Paradeplatz Uhr,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,,x,,Paradeplatz zwischen Grünfläche und Planken,Diakonisches Werk,07:30-18:30,Handtaschenaktion für Amalie,"300 über den
Tag verteilt"
,x,,,P 2 / Planken,Body of Christ,18:00-20:00,,
,x,,,Paradeplatz zwischen Grünfläche und Planken,Privatperson,14:00-17:00,,
,x,,,Taunusplatz,AfD,13:00-15:00,,
,,,,,,,,
,,,,,,,,
25.0,,,,Monnem Bike - belegte Flächen s. Ordner Infostände,,,,
,,,x,Alter Messplatz u. Paradeplatz Uhr,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00,,
,x,,, P4 / Planken ,Gideon Gruppe,10:00-13:00,,
,x,,,P 2 / Planken,Body of Christ ,11:00-14:00,,
,x,,,P 2 / Planken,Privatperson,10:00-15:00,,
,x,,,Auf dem Sand / Rollbühlstr.,Zeugen Jehovas,09:00-18:00,,
,,x,,O 6-O 7 (Planken),Albert Schweitzer Stiftung ,15:00-18:00,Tierschutz,6-12
,,x,,Stadtgebiet Mannheim und Ludwigshafen,Initiative Radparade Ma-Lu,17:00-20:00,"13. Radparade, Mehr Platz fürs Rad",500
,,x,,O 7 vor Burger King,Privatperson,14:30-17:00,"Freiheit - Religion, mit Rede Musik",5
,,,,,,,,
26.0,,,x,Alter Messplatz u. Paradeplatz Uhr,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
27.0,,x,,Paradeplatz zwischen Grünfläche und Planken,Montagsdemo ,17:45-19:00,Widerstand gegen Hartz IV und Agenda 2010,15
,,,,,,,,
,,,,,,,,
,,,,,,,,
28.0,,x,,Spiralberg Neckarpromenade,Offenes Antifaschistisches Treffen MA,20:00-22:00,"Filmvorführung ""Die alte neue Rechte""",30
,,x,,Paradeplatz zwischen Grünflächen und Planken,Friedensbündnis ,18:30-20:00,Frieden schaffen ohne Waffen,50
,,,,,,,,
,,,,,,,,
,,,,,,,,
29.0,,x,,Vor der Kulturhalle Feudenheim ,BI Lebenswertes Feudenheim ,18:00-19:00,Gegen die Fällung der alten Kastanie,30
,,,,,,,,
,,,,,,,,
30.0,,x,,Paradeplatz,Privatperson,18:30-20:00,Solidarität mit der Ukraine,150
