August,Info,Demo,Sonst,Standort,Veranstalter,Uhrzeit,Thema,TN-Zahl
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30.0,,,,,,,,
,,x,,Paradeplatz zwischen Grünflächen und Planken,Friedensbündnis ,17:30-20:00,Frieden schaffen ohne Waffen,50
,,,,,,,,
31.0,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,Infostände gesamt,,,,
,,,,Infostände politisch,,,,
,,,,Versammlungen,,,,
