Oktober,Info,Demo,Sonst,Standort,Veranstalter,Uhrzeit,Thema,TN-Zahl
25.0,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,x,,Marktplatz G1,Die Linke,17:30-20:00,Gegen soziale Kälte  -Für Umverteilung - Gegen Preisexplosion,100
,,x,,Marktplatz G1 angemeldet,Aktionsbündnis gegen Teuerung,18:00-20:00,gegen Teuerung,100
,x,,,Nebeneingang Uhlandschule hinter dem Parkplatz,Stadt Mannheim FB Geoinforamtion,08:30-17:30,,
,,,,,,,,
,,,,,,,,
26.0,,x,,Schwetzinger Str. 6,Albert Schweitzer Stiftung,17:00-20:00,Tierschutz,4-8
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,x,,,Nebeneingang Uhlandschule hinter dem Parkplatz,Stadt Mannheim FB Geoinforamtion,08:30-17:30,,
,,x,,Freifläche O 7 vor Burger King,Friedens-Bündnis ,17:00-19:00,Frieden schaffen ohne Waffen - Stoppt den Krieg in der Ukraine,50
,,,,,,,,
,,,,,,,,
,,,,,,,,
27.0,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,x,,Gehweg Friedrich-Ebert-Straße 80–86,IG Metall,12:00-13:00,Aktive Mittagspause,50
,,,,,,,,
28.0,,,,,,,,
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,x,,,Planken P3,Body of Christ,18:00-20:00,,
,,x,,O 7- Planken - Paradeplatz ,Kurden ,17:00-19:30,Kurdenkonflikt Türkei,200-300
,,,,,,,,
,,,,,,,,
,,,,,,,,
29.0,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,x,,, P4/P5 (Planken),Gideon Gruppe,10:00-13:00,,
,x,,,P 2 / Planken,Privatperson,10:00-15:00,,
,x,,,"Planken O2,1",Jehovas Zeugen,09:00-19:00,,
,x,,,Planken P3,Body of Christ,11:00-14:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00,,
,x,,,Paradeplatz zwischen Grünfläche und Planken,Adventgemeinde,14:00-19:00,,
,x,,,Käfertal Ecke Auf dem Sand/Rollbühlstraße ,Zeugen Jehovas,09:00-18:00,,
,,x,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-18:00,Bibel,10-15
,x,,,Langer Schlag Ecke Donarstr./Kasseler Str. (abgesagt),SPD,10:00-11:00,,
,x,,,Hugenottenplatz,SPD,10:00-13:00,,
,,x,,Paradeplatz-Planken-Fressgasse-Paradeplatz-Kunststraße-Planken-Paradeplatz,Privatperson,14:00-17:00,Steigende Preise etc.,250
,,x,,Marktplatz G1,Intitiative Frauen Leben Freiheit Rhein-Neckar,16:30-18:30,Iran,200
,x,,,Freifläche O7 Eingang Planken,Nahost-Gruppe ,10:45-15:30,,
,,x,, O6/O7  (Planken),Privatperson,15:00-18:30,Tierschützer,20
,,x,,O 7 vor Burger King,Privatperson,15:00-17:00,Freiheit Religion,3
,,,,,,,,
30.0,,,,,,,,
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
31.0,,,,,,,,
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,x,,Paradeplatz zwischen Grünflächen und Planken,Privatperson,12:00-18:00,Ukraine ,50
