Nr.,Datum,Art der Versammlung,Grund/Anlass,Ort bzw. Wegstrecke,Unnamed: 5
13.0,2017-01-28 00:00:00,dem. Aktion mit Aufzug,Freiheit für Öcalan - Freiheit für die kurdischen GEfangenen- SChluss mit der deutschen Unterstützung für die Türkei,"Rathausplatz – Kaiser-Joseph-Straße – Bertoldsbrunnen, dort Zwischenkundgebung  – Martinstor – Gerberau –  Augustinerplatz, dort Zwischenkundgebung – Salzstraße- Bertoldsbrunnen  – Kaiser-Joseph-Straße – Rathausplatz, dort Absclusskundgebung und Auflösung",
14.0,"29.01.. 05.02.,12.02.,19.02.,05.03.,12.03.2017",dem. Aktion,Europäische Idee und Einigung,Augustinerplatz,
15.0,2017-02-14 00:00:00,dem. Aktion,One Billon Rising - gemeinsame und solidarische Aktion gegen Gewalt an Frauen,Rathausplatz,
16.0,2017-02-05 00:00:00,dem. Aktion,Korruption in Rumänien,Kartoffelmarktplatz,
17.0,2017-02-10 00:00:00,dem. Aktion,"Pelze, Leder, Wolle, Daunen (Mode)",Rotteckring 16,
18.0,2017-03-08 00:00:00,dem. Aktion,Welt-Frauentag,nicht bekannt,
19.0,2017-02-14 00:00:00,dem. Aktion mit Aufzug,Warnstreik,"Friedrichstraße verdi – Siegesdenkmal – Kaiser-Joseph-Straße - Martinstor – Gerberau – Augustinerplatz, dort Auflösung",
20.0,"11.02.2017
12.02.2017",dem. Aktion mit Aufzug,Korruption in Rumänien,Kartoffelmarktplatz; möglicher Aufzug: Kartoffelmarkt – Raustraße – Weberstraße – Kaiser-Joseph-Straße – Bertoldstraße – Rotteckring – Unterlinden – Schiffstraße - Kartoffelmarkt,
21.0,2017-02-22 00:00:00,dem. Aktion,Solidarische Prozessbeobachtung,Amtsgericht Freiburg,
22.0,2017-02-15 00:00:00,dem. Aktion,Für die sofortige Freilassung von Öcalan,Bertoldsbrunnen,
23.0,2017-02-18 00:00:00,dem. Aktion,Gründung von Mother Hood und die Verabschiedung vom Geburtshaus Mayenrain,Stühlinger Kirchplatz,
24.0,2017-02-18 00:00:00,dem. Aktion,Fisch-Konsum,Bertoldsbrunnen vor WMF,
25.0,2017-03-04 00:00:00,dem. Aktion,für Erhalt Landwirtschaft Dietenbach,"privates Ackerland nördlich Riselfeld, Gewann Binsenwaag",
26.0,2017-02-22 00:00:00,dem. Aktion,für mehr Personal im Krankenhaus,Bertoldsbrunnen vor WMF,
27.0,2017-03-10 00:00:00,dem. Aktion,TIBET-Mahnwache,Bertoldsbrunnen,
28.0,2017-02-20 00:00:00,dem. Aktion,Frieden in Xeraba,Rathausplatz,
29.0,2017-03-04 00:00:00,dem. Aktion,Fischkonsum,Bertoldsbrtunnen vor WMF,
30.0,2017-03-04 00:00:00,dem. Aktion,zu Hohe Mietpreise in Freiburg,"Bereich Werthmannplatz, Höhe UB-Vorplatz",
31.0,2017-03-06 00:00:00,dem. Aktion,Stopp dem Übefall auf Shengal,Rathausplatz,
32.0,2017-03-09 00:00:00,dem. Aktion,Berufungsprozess gegen Freiburger Antifaschisten - Prozessbegleitung,Salzstraße 17,
33.0,2017-03-11 00:00:00,dem. Aktion,G20 Finanzminister in Baden-Baden,Bertoldsbrunnen,
34.0,11.03.2017 u. 12.03.2017,dem. Aktion,Mahnwache Fukushima nie vergessen,Augustinerplatz,
35.0,2017-03-18 00:00:00,dem. Aktion,Intensivtierhaltung (Tiere in der Landwirtschaft),Bertoldsbrunnen,
36.0,2017-03-29 00:00:00,Mahnwache,Für Frieden u. Abzug der Atomwaffen aus Büchel,Bertoldsbrunnen vor WMF,
37.0,2017-04-29 00:00:00,dem. Aktion,Studiengebühren,noch nicht bekannt!!,
38.0,2017-03-11 00:00:00,dem. Aktion,Geplante Errichtung eines Fahrradabstellplatzes,"Im Mensabrunnen, Rempartstraße/Rotteckring",
39.0,2017-03-24 00:00:00,dem. Aktion mit Aufzug,Tierschutz/Massentierhalteung,Bertoldsbrunnen - Martinstor - Bertoldsbrunnen - Rathausgasse - Rotteckring - Rathausgasse - Bertoldsbrunnen,
40.0,2017-03-24 00:00:00,dem. Aktion,Musikalischer Flashmop: Gemeinsam für Einheit und Vielfalt- gegen RAssismus und Fremdenfeindlichkeit,Rathausplatz,
41.0,2017-03-18 00:00:00,dem. Aktion,Tierleidfreie Ostern,Kaiser-Josoph-Straße vor WMF,
42.0,2017-03-20 00:00:00,dem. Aktion mit Aufzug,Kurdisches Neujahrsfest Newroz,"Kartoffelmarkt, Auftaktkundgebung – Schiffstraße - Merianstraße – Rathausplatz – Rathausgasse – Kaiser-Joseph-Straße - Bertoldsbrunnen, Zwischenkundgebung – Kaiser-Joseph-Straße – Martinstor – Rempartstraße – Ecke Bertoldstraße/Rotteckring, Kundgebung und Newrozfeuer (Feuerschale) in Absprache mit der Polizei",
43.0,2017-03-18 00:00:00,dem. Aktion,Jahrestag zur syrischen Revulution,Kartoffelmarktplatz,
44.0,2017-03-21 00:00:00,dem. Aktion,Tag gegen Rassismus,Kartoffelmarkt,
45.0,2017-03-25 00:00:00,dem. Aktion,Tierfreie Ostern,Bertoldsbrunnen (vor WMF),
46.0,2017-03-26 00:00:00,dem. Aktion,Europäische Einigung,Augustinerplatz,
47.0,02.04. und 09.04.2017,dem. Aktion,Europäische Einigung,Augustinerplatz,
48.0,2017-04-07 00:00:00,dem. Aktion,Solidarität mit den Hungerstreikenden in den türkischen Gefängnissen,Rathausplatz,
49.0,12.04. und 15.04.2017,dem. Aktion mit Aufzug,"Solidarität mit den Hungerstreikenden in den türkischen Gefängnissen
und Der Gewalt gg. Frauen ein Ende setzen",Rathausplatz-Kajo-Martinstor-Gerberau-Augustinerplatz-Salzstr.-Kajo-Rathausplatz,
50.0,2017-04-21 00:00:00,dem. Aktion mit Aufzug,Schutz des ungeborenen Lebens,"Humboldtstr. 2, Kajo - Rathausgasse-Merianstr.-Schiffstr.-Kartoffelmarkt",
51.0,2017-04-16 00:00:00,dem. Aktion mit Aufzug,Europäische Einigung,Augustinerplatz - Gerberau - Oberlinden - Herrenstr.- Karlsplatz - Stadtgarten,
52.0,2017-04-22 00:00:00,dem. Aktion mit Aufzug,March for Science Freiburg,Platz der Weißen-Sedanstr. -Moltkestr.-Bertoldstr.-BB-Kajo-Gerberau-Augustinerplatz,
53.0,"15.05., 29.05., 12.06, 26.06., 24.07., 07.08., 24.04., 08.05., 22.05., 19.06., 03.07., 10.07., 17.07., 31.07. und 14.08.2017 ",Montags-Demos,"Soziale Ungerechtigkeit, Umweltschutz, Frieden","Rathausplatz

Niemensstraße",
54.0,2017-05-01 00:00:00,dem. Aktion mit Kundgebung und Aufzug,01. Mai Kundgebung,"Stühlinger Platz, Auftaktkundgebung - Wiwili-Brücke – Bismarckallee – Zur Unterführung – Breisacher Str. – Kreuzstraße – Klarastraße, evtl. dort Zwischenkundgebung – Wannerstraße  – Stühlinger Kirchplatz (Abschluss)",
55.0,29.04. und 21.05.2017,dem. Aktion mit Aufzug,Feindbild in künstlerischer Darstellung,Kleineschholzweg-Wannerstr.-Wentzingerstr.-Wiwili-Brücke-Sedanstr.-Rotteckring-Rempartstr.-Humboldtstr.-Gerberau-Augustinerplatz,
56.0,2017-05-13 00:00:00,dem. Aktion,Internationale Demo gegen Kapitalismus,Rathausplatz,
57.0,2017-04-28 00:00:00,dem. Aktion,Umwelt - und Klimaschutz zum deutschen Overshootday,Augustinerplatz,
58.0,2017-05-06 00:00:00,dem. Aktion,Cannabislegalisierung,"Augustinerplatz, Kundgebung – Gerberau –  Kaiser-Joseph-Straße  - Bertoldsbrunnen (Zwischenkundgebung) – Bertoldstraße – Moltkestraße – Sedanstraße – Konrad-Adenauer-Platz (Zwischenkundgebung vor dem Konzerthaus) – Wiwili-Brücke – Stühlinger Kirchplatz, Abschlusskundgebung und Auflösung",
59.0,2017-04-25 00:00:00,dem. Aktion mit Aufzug,Angriffe auf Shengal,Rathausplatz – Bertoldsbrunnen - Gerberau –  Augustinerplatz – Salzstraße  – Rathausplatz,
60.0,2017-04-29 00:00:00,dem. Aktion mit Aufzug,Studiengebühren,Platz der Universität - Rempartstr - Kajo - Gerberau - Augustinerpl. - Salzstr - Bertoldsbrunnen (Zwischenkundgebung) - Bertoldstr - Platz der Alten Synagoge (Zwischenkundgebung) - Sedanstr - Konrad-Adenauer-Platz (Abschlusskundgebung und Auflösung),
61.0,2017-05-04 00:00:00,dem. Aktion,gegen Massentierhaltung,Bertoldsbrunnen (WMF),
62.0,2017-05-23 00:00:00,dem. Aktion,Tag des Grundgesetzes,"Bertoldsbrunnen, Höhe KaJo 218, nicht unter der Arkade",
63.0,2017-05-13 00:00:00,dem. Aktion,Yulin dog meat Festival (China),Bertoldsbrunnen,
64.0,2017-05-24 00:00:00,Mahnwache,Für Frieden u. a. Abzug der Atomwaffen aus Büchel,Bertoldsbrunnen vor WMF,
65.0,2017-05-20 00:00:00,dem. Aktion mit Aufzug,"Für den Erhalt von landwirtschaftlichen Flächen und gegen Bauwut auf Äckern, Wald und Wiesen im Dietenbach",St. Georgen - Basler  Landstr - Heinrich-von-Stephan-Str - Schnewlinstr - Bismarckallee - Friedrichstr (Zwischenkundgebung) - Friedrichring - Leopoldring - Schlossbergring - Greiffeneggring - Wallstraße - Holzmarkt - Rempartstr - Belfortstr - Wilhelmstr - Bismarckallee - Zur Unterführung - Breisacher Str - Berliner Allee - Binzengrün - Opfinger Str - Bettina-von-Arnim-Straße - Rieselfeld - landwirtschaftliche Wege zum Mundenhof (Abschluss),
66.0,2017-05-12 00:00:00,dem. Aktion,Aktionstag Pflege,Augustinerplatz,
67.0,2017-05-13 00:00:00,dem. Aktion,Fleischproduktion Fa. Lidl,"Geschwister-Scholl-Platz, Rieselfeld",
68.0,2017-05-17 00:00:00,dem. Aktion,IDAHOT,Bertoldsbrunnen (vor WMF),
69.0,2017-05-20 00:00:00,dem. Aktion,Parking Day,Wilhelmstraße,
70.0,2017-05-19 00:00:00,dem. Aktion mit Aufzug,Umwidmung von Verkehrsflächen zu Gunsten des Radverkehrs,"Start: Stadttheater (Platz der Alten Synagoge), Aufzug ohne festgelegte Route zum Goethe-Institut",
71.0,2017-05-20 00:00:00,dem. Aktion,Miethaie zu Fischstäbchen,Augustinerplatz,
72.0,2017-05-24 00:00:00,dem. Aktion,Streik des Einzelhandels,Östl. Kajo vor Karstadt,
73.0,2017-05-27 00:00:00,dem. Aktion,Tierversuche,Bertoldsbrunnen (vor WMF),
74.0,2017-05-27 00:00:00,dem. Aktion,Gegen die Diktatur in Eritrea,Karoffelmarkt- Schiffstr.- Kajo-Auf der Zinnen-Herrenstr.-Salzstr.-Augustinerplatz,
75.0,2017-06-01 00:00:00,dem. Aktion (Autokorso),Tarifstreik Kfz./Warnstreik,"Müllheimer Str.- Basler Str. - Matsuyama Allee - Ausfahrt Gewerbegebiet Haid - Bötzinger Str. - Munzinger Str. - St. Georgener Str. - Fa. Kestenholz, Mercedes Autohaus",
76.0,2017-06-01 00:00:00,Versammlung ,Tag der Milch,Bertoldsbrunnen (vor WMF),
77.0,2017-06-03 00:00:00,dem. Aktion,Weltfrieden durch inneren Frieden,"öffentl. Fläche Bismarckallee, auf dem Platz an der Treppe zur Unterführung",
78.0,"04.06., 02.07., 06.08. und 03.09.2017",dem. Aktion,Europäische Einigung,Augustinerplatz,
79.0,2017-06-10 00:00:00,dem. Aktion,Stoppt den Organraub an FalunDafa,Bertoldsbrunnen (WMF),
80.0,2017-06-27 00:00:00,dem. Aktion,"Verlorene Altersversorgung - Protest gegen Abbruch der Bank, Geld regiert die Welt, wie lange noch","Fußgängerbereich vor der VoBa-Filiale am Hauptbahnhof, Bismarckallee",
81.0,2017-06-10 00:00:00,dem. Aktion,Veganismus,Augustinerplatz,
82.0,2017-06-10 00:00:00,dem. Aktion,Solidarisch mit Zentralafrika,Augustinerplatz,
83.0,"15.07.2017
22.07.2017
29.07.2017
05.08.2017",dem. Aktion,mehr soziale Gerechtigkeit,Bertoldsbrunnen (vor WMF),
84.0,2017-07-01 00:00:00,dem. Aktion,Aktionstag zur DGB Rentenkampagne,Kartoffelmarkt,
85.0,2017-06-17 00:00:00,dem. Aktion,Wo sind unsere christlichen Werte?,Bertoldsbrunnen,
86.0,2017-07-15 00:00:00,dem. Aktion,Handelspolitik- CETA-TTIP,Bertoldsbrunnen/Ecke Kajo,
87.0,2017-06-24 00:00:00,dem. Aktion,Tierversuche ,Kaiser-Josoph-Straße vor WMF,
88.0,23.06.und 24.06.2017,dem. Aktion,Freilassung von Öcalan,"Kaiser-Josoph-Straße vor WMF,
Kajo vor RP",
89.0,2017-06-24 00:00:00,dem. Aktion,Gegen das Verbot weiterer Symbole kurdischer Bewegungen,"Kajo vor RP, BB, Gerberau, Augustinerplatz, Salzstr., Kajo, Kartoffelmarkt",
90.0,2017-07-01 00:00:00,dem. Aktion mit Aufzug,Christopher Street Day 2017,Werthmannstraße - Rempartstraße – Holzmarkt – Wallstraße – Greiffeneggring – Schwabentor in die Herrenstraße (Zwischenkundge-bung vor dem Erzbischöflichen Ordinariat) - weiter über Karlsplatz – Leopoldring – Schlossbergring – Greiffeneggring – Wallstraße – Holz-markt – Rempartstraße – Belfortstraße – Wilhelmstraße – Bismarckallee - Zur Unterführung – Breisacher Straße – Eschholzstraße zum Stüh-linger Kirchplatz.,
91.0,2017-06-27 00:00:00,dem Aktion,Gegen Abschiebung,Rathausplatz,
92.0,2017-07-01 00:00:00,dem. Aktion,Tierschutz/Massentierhalteung,Kajo 218 vor WMF Bertoldsbrunnen,
93.0,2017-07-07 00:00:00,dem. Aktion ,Herr Schupp,Steuergerechtigkeit,
94.0,2017-08-12 00:00:00,dem. Aktion mit Aufzug,Die erbärmlichen Lügen-Journalisten der Badischen Zeitung und das Decken der Straftaten durch Frl. Verne Ehrlicher,Vom Hauptbahnhof zum Martinstor,
95.0,2017-06-14 00:00:00,dem. Aktion mit Aufzug,"Feministische Demonstration für Mädchen, Frauen, Lesben, Trans- und Interpersonen",Rathausplatz-Augustinerplatz-Rathausplatz,
96.0,2017-06-17 00:00:00,dem. Aktion mit Aufzug,"Nachttanzdemo, Freiraum",vom Susi-Gelände Richtung Innenstadt ins Grün,
97.0,2017-07-08 00:00:00,dem. Aktion,NOG20 - Supporting Hamburg,Bertoldstraße 43,
98.0,2017-07-15 00:00:00,dem. Aktion,Bewusstsein für die tiefere Gemeinsamkeit unserer Realität,Augustinerplatz,
99.0,08.07.-09.07.2017,dem. Aktion,NOG20 - Supporting Hamburg u. Gewaltfrei NOG20,"Altstadt, Bertoldstr. 43",
100.0,2017-07-22 00:00:00,dem. Aktion,Für Toleranz und Demokratie ,Fritz-Schieler-Platz,
101.0,2017-07-21 00:00:00,dem. Aktion mit Aufzug,Unabhängigkeitsreferendum Kurdistan im Irak,Rotteckring- Werderring - Rempartstraße - KaJo - Gerberau - Augustinerplatz - Salzstraße - Bertoldstraße - Rotteckring,
102.0,2017-07-20 00:00:00,dem. Aktion mit Aufzug,Gegen Abschiebung,Stadttheater/Rotteckring - Rempartstraße - Kaiser-Joseph-Straße - Rathausgasse - Rathausplatz,
103.0,"31.07.,02.08.,03.08.",dem. Aktion mit Aufzug,Umwelt- und sozialverträgliche Verkehrspolitik,Stadtgebiet,
104.0,2017-07-22 00:00:00,dem. Aktion ,Verfolgung von Falun Dafa in China und Organraub,Augustinerplatz ,
105.0,2017-08-09 00:00:00,dem Aktion,72 Jahre Atombomben auf Hiroshima und Nagasaki,Rathausplatz westlich des Bertold-Schwarz-Brunnen,
106.0,2017-08-26 00:00:00,dem. Aktion mit Aufzug,Go Topless Parade,Holzmarkt-Kajo-Bertoldstraße-Gehweg Rotteckring-Unterlinden-Schiffstraße-Kartoffelmarkt,
107.0,2017-07-29 00:00:00,Mahnwache,Menschenrechtler in der Türkei,Augustinerplatz,
108.0,2017-07-25 00:00:00,dem Aktion,Werte unserer Verfassung,Kartoffelmarkt,
109.0,2017-07-27 00:00:00,dem Aktion,Werte unserer Verfassung,Augustinerplatz,
110.0,2017-07-23 00:00:00,dem Aktion,"Europäische Einigung, Unterstützung der Polnischen Opposition",Augustinerplatz,
111.0,2017-09-09 00:00:00,dem. Aktion,TISA TTIP-CETA Aktionstag Freihandelsabkommen,AUgustinerplatz,
112.0,2017-08-03 00:00:00,dem. Aktion,Gedenktag Opfer im Irak,Kartoffelmarkt,
113.0,2017-08-03 00:00:00,Mahnwache,Autonomie und Freiheit von Sengal,Platz der Alten Synagoge,
114.0,2017-09-01 00:00:00,dem. Aktion,Antikriegstag,Rathausplatz-Merianstr.-Untelrinden-Rotteckring-Platz der Altenx Syn-. Rempartstr.-Kajo-Bertoldstr.-Rotteckring-Turmstr.-Rathausplatz,
115.0,2017-08-18 00:00:00,dem. Aktion,Wohnungsnot,Platz der Alten Synagoge,
116.0,2017-08-18 00:00:00,dem. Aktion,Zirkus (Charles Knie),Kartoffelmarkt,
117.0,"21.08.,04.09.,18.09.,02.10.,09.10. und 23.10.2017",dem. Aktion,Gegen Sozialabbau,Rathausplatz,
118.0,"28.08.,11.09.,25.09.2017",dem. Aktion,Gegen Sozialabbau,Bertoldstraße/Niemensstraße,
119.0,2017-09-10 00:00:00,dem. Aktion,Europäische Einigung,Augustinerplatz,
120.0,"25.,26.,27.08.2017",dem. Aktion,gegen Tiere im Zirkus,Messegelände,
121.0,2017-09-09 00:00:00,dem. Aktion,Internationale Demo für Pressefreiheit und gegen die Repression in Freiburg,nicht bekannt,
122.0,14.09. und 15.09.2017,dem. Aktion,Wähle eine menschliche Welt!,Kartoffelmarkt,
123.0,2017-09-16 00:00:00,dem. Aktion,Friedenspolitik,Augustinerplatz,
124.0,2017-09-02 00:00:00,dem. Aktion,Fleischschalenaktion,Platz der Alten Synagoge,
125.0,2017-09-05 00:00:00,dem. Aktion,Grenzen sichern-Leben schützen,"Salzstraße, Einmündung Augustinerplatz",
126.0,2017-09-02 00:00:00,dem. Aktion,Fleischschalenaktion,Platz der Alten Synagoge,
127.0,2017-09-05 00:00:00,dem. Aktion,Bundestagswahl,Platz der Alten Synagoge,
128.0,2017-09-10 00:00:00,dem. Aktion,Erinnern an die alte Synagoge und die vertriebenen und ermordeten Freiburger Juden am Gedenkbrunnen,Platz der Alten Synagoge,
127.0,2017-09-06 00:00:00,dem. Aktion,Fleischschalenaktion,Platz der Alten Synagoge,
128.0,09.09.-22.09.,dem. Aktion,Ausstellung über die Politik der AfD,Platz der Alten Synagoge,
129.0,2017-09-10 00:00:00,dem. Aktion mit Aufzug,Gemeinsam gegen Rassismus,Hornusstraße - Zähringer Straße - Wackerstraße - Lameystraße,
130.0,2017-10-03 00:00:00,dem. Aktion mit Aufzug,Die Mauern müssen weg. Demonstration für eine solidarische Flüchtlingspolitik,Johanneskirche mit Aufzug (nicht bekannt),
131.0,2017-09-13 00:00:00,dem. Aktion,Wahlkampfkundgebung mit Bernd Riexinger,Platz der Alten Synagoge,
132.0,2017-09-21 00:00:00,dem. Aktion,Herr Hügel,Bertoldstr./Niemensstr. ,
133.0,2017-09-21 00:00:00,dem. Aktion,Herr Anton,Platz der Alten Synagoge-Rempartstr.-Kajo-Gerberau-Augustinerplatz-Salzstr.-BB-Bertoldstr.-Platz der Alten Synagoge,
,,,,,
,,,,,
134.0,2017-09-14 00:00:00,dem. Aktion,Bundestagswahl,Platz der Alten Synagoge,
135.0,2017-09-13 00:00:00,dem. Aktion,Bundestagswahl,Platz der Alten Synagoge,
136.0,2017-09-16 00:00:00,dem. Aktion,"Bundestagswahl, Kundgebung mit Martin Schulz",Platz der Alten Synagoge,
137.0,"17.09.,24.09.,01.10.,08.10.,15.10. und 22.10.2017",dem. Aktion,Erinnern an die alte Synagoge und die vertriebenen und ermordeten Freiburger Juden am Gedenkbrunnen,Platz der Alten Synagoge,
138.0,2017-09-18 00:00:00,dem. Aktion,"Bundestagswahl, Kundgebung mit Dr. Angela Merkel",Münsterplatz,
139.0,2017-09-16 00:00:00,dem. Aktion mit Aufzug,Verkehrswende,Augustinerplatz - Gerberau - Kaiser-Joseph-Straße - Rempertstraße - Belfortstraße - Wilhelmstraße - Wiwili-Brücke - Stühlingerplatz (Abschlusskundgebung),
140.0,2017-09-22 00:00:00,dem. Aktion,Flashmob,Platz der Alten Synagoge,
141.0,2017-09-22 00:00:00,dem. Aktion,Wohnungsnot,Platz der Alten Synagoge,
142.0,2017-10-28 00:00:00,dem. Aktion,"Woche der Wiederbelebung, Laienreanimation ",Platz der Alten Synagoge,
143.0,2017-09-23 00:00:00,dem. Aktion,CETA,Platz der Alten Synagoge,
144.0,2017-09-26 00:00:00,dem. Aktion,"Mahnwache - für Solidarität, gegen Ausgrenzung",Platz der Alten Synagoge,
145.0,2017-10-07 00:00:00,dem. Aktion,Friedensdemo für junge Menschen,Platz der Alten Synagoge,
146.0,2017-09-26 00:00:00,dem. Aktion,Gegen  die AfD und für solidarische Perspektiven,Platz der Alten Synagoge,
147.0,2017-09-28 00:00:00,dem. Aktion,Schluss mit Frauenmorden,Platz der Alten Synagoge,
148.0,2017-10-26 00:00:00,dem. Aktion,63. Manifestation der Monarchie der Preußen,Ecke Kajo / Engelstraße,bis hier
149.0,2017-10-03 00:00:00,dem. Aktion mit Aufzug,Die Mauern müssen weg! - Für eine solidarische Flüchtlingspolitik,"Johanneskirche, Auftaktkundgebung – Günterstalstraße – Kaiser-Joseph-Straße – Holzmarkt, Zwischenkundgebung – Kaiser-Joseph-Straße – Löwenstraße – Niemensstraße – Bertoldstraße – Rotteckring , Zwischenkundgebung in der Nähe des Polizeireviers Freiburg-Nord – Rotteckring – Rosastraße – Colombistraße – Eisenbahnstraße – Bis-marckallee – Zwischenkundgebung am Freiburger Bahnhof – Bis-marckallee – Wilhelmstraße – Sedanstraße – Platz der Alten Synagoge, Abschlusskundgebung.",
150.0,2017-10-07 00:00:00,dem. Aktion,Veganismus,Augustinerplatz  ,
151.0,2017-10-18 00:00:00,dem. Aktion,Sensibilisierung gegen weltweit bestehende Sklaverei,Platz der Alten Synagoge,
152.0,2017-10-31 00:00:00,dem. Aktion,Distanzierung von Martin Luther,Platz der Alten Synagoge,
153.0,2017-10-14 00:00:00,dem. Aktion,Leder und Leder in der Autoindustrie,Platz der Alten Synagoge,
154.0,2017-10-20 00:00:00,dem. Aktion,Veganismus,Bertoldsbrunnen,
155.0,2017-10-13 00:00:00,dem. Aktion,"Gedenkfeier Todestag des thail.
Königs ",Münsterplatz,
156.0,2017-10-16 00:00:00,dem. Aktion,gegen Echtplez in der Mode,Kaiser-Joseph-Straße vor Breuningerfiliale,
157.0,2017-10-13 00:00:00,dem. Aktion mit Aufzug,Freiheit für Öcalan,"Platz der Alten Synagoge, Auftaktkundgebung – Bertoldstraße – Bertoldsbrunnen, Zwischenkundgebung – Salzstraße – Augustinerplatz, Zwischenkundgebung – Gerberau – Kaiser-Joseph-Straße – Rempartstraße – Platz der Alten Synagoge, Abschlusskundgebung.",
158.0,2017-10-16 00:00:00,dem. Aktion,Gerüchte über den Tod von Abdullah Öcalan,Rathausplatz,
159.0,2017-10-17 00:00:00,dem. Aktion mit Aufzug,Gerüchte über den Tod von Abdullah Öcalan,Platz der Alten Synagoge - Bertoldstraße - Bertoldsbrunnen - Salzstraße - Augustinerplatz - Gerberau - Kaiser-Joseph-Straße - Rempartstraße - Platz der Alten Synagoge,
160.0,2017-10-21 00:00:00,dem. Aktion mit Aufzug,"Freiheit für Öcalan, Frieden in Kurdistan","Rathausplatz (Auftaktkundgebung) – Kaiser-Joseph-Straße – Bertolds-brunnen (Zwischenkundgebung) – Kaiser-Joseph-Straße – Gerberau – Augustinerplatz (Zwischenkundgebung) – Salzstraße – Bertoldsbrunnen (Zwischenkundgebung) – Bertoldstraße – Platz der Alten Synagoge 
– Platz der Alten Synagoge, Abschlusskundgebung.
",
161.0,2017-11-18 00:00:00,dem. Aktion,Frieden und Abrüstung ,Platz der Alten Synagoge,
162.0,2017-10-26 00:00:00,dem. Aktion ,Wohnungsdurchsuchung Antirepressionsdemo,Bertoldsbrunnen,
163.0,2017-10-28 00:00:00,dem. Aktion ,Frieden und Einigkeit in Kurdistan,Platz der Alten Synagoge,
164.0,"06.11.2017, 08.01.2018  22.01.2018,          13.11., 20.11., 27.11., 04.12., 11.12., 18.12.2017, 15.01.2018 29.01.2018",Montagsdemos,"Soziale Ungerechtigkeit, Umweltschutz, Frieden","Rathausplatz 
Ecke Bertoldstraße/Niemensstraße",
165.0,2017-11-05 00:00:00,dem. Aktion,Veganismus,Gehweg Bertoldstraße/Theater Freiburg,
166.0,2017-11-03 00:00:00,dem. Aktion,Veganismus,Bertoldsbrunnen,
167.0,2017-12-09 00:00:00,dem. Aktion,Fluchtursachen bekämpfen,Platz der Alten Synagoge,
168.0,2017-11-03 00:00:00,dem. Aktion mit Aufzug,"Freiheit für Öcalan, Frieden in Kurdistan","Rathausplatz (Auftaktkundgebung) – Kaiser-Joseph-Straße – Salzstra-ße – Augustinerplatz (Zwischenkundgebung) – Gerberau – Kaiser-Joseph-Straße – Bertoldsbrunnen (Zwischenkundgebung) – 
Bertoldstraße – Platz der Alten Synagoge, Abschlusskundgebung",
169.0,2017-12-16 00:00:00,dem. Aktion,Antirepression,Rathausplatz,
170.0,2017-11-18 00:00:00,dem. Aktion,Veganismus,Bertoldsbrunnen,
171.0,2017-11-09 00:00:00,dem. Aktion,Warnstreik Uniklinik,Friedrichstraße 41 - 43 (Gewerkschaftshaus Ver.di) – Friedrichstraße – Zur Unterführung – Breisacher Straße – Heiliggeiststraße – Friedrich-Ebert-Platz – Hugstetter Straße – durch den Torbogen der Uniklinik Freiburg am Ende der Hugstetter Straße auf Privatgelände zur Uniklinik Freiburg (Neurozentrum) ,
172.0,2017-11-09 00:00:00,dem. Aktion,Mehr Personal in der Uniklinik,"Hugstetter Str. 55, Kilianstr.- Breisacher Str. 153",
