Nr.,Datum,Grund/Anlass,Ort bzw. Wegstrecke,Unnamed: 4,Unnamed: 5,Unnamed: 6
58.0,2020-03-07 00:00:00,Frauentag/ Frauenrechte/ Gleichstellung,Rathausplatz,,,
59.0,2020-03-07 00:00:00,Nach Hanau: Stoppt die Medien-Hetze gegen die demokratische Oppositionspartei AfD - Volksbegehren gegen die Zwangsfinanzierung der öffentlich-rechtlichen Medien durch freie Bürger,SWR Gelände (Kartäuserstr) bis zum Bertoldbrunnen,,,
60.0,2020-03-03 00:00:00,Aktuelle Debatte im Gemeinderat über Straßenumbenennung,Rathausplatz,,,
61.0,2020-02-28 00:00:00,"Klimagerechtigkeit*

(* Es ist eine „Critical Mass“ mit dem Motto „Keine Automesse in Freiburg!“ geplant.)",Platz der Alten Synagoge – Werthmannstraße – Lessingstraße – Schillerstraße – Schwabentorring – Schlossbergring – Leopoldring – Friedrichring – Friedrichstraße – Zur Unterführung – Breisacher Straße – Eschholzstraße – Lehener Straße – Sundgauallee – Madisonallee (Abschlusskundgebung und Auflösung bei der Messe Freiburg),,,
62.0,2020-03-03 00:00:00,Kundgebung für die Straßenumbenennung und gegen die Aktion der AfD,Rathausplatz,,,
63.0,2020-03-03 00:00:00,Grenzen auf - Leben retten!,Platz der Alten Synagoge,,,
64.0,2020-03-07 00:00:00,aktuelle Fluchtbewegung an der Europäischen Grenze zur Türkei,Platz der Alten Synagoge,,,
65.0,"16.03., 23.03.,
30.03., 06.04.,
20.04., 27.04.,
04.05., 11.05.,
18.05., 25.05.,
08.06., 15.06.,
22.06., 29.06.,
06.07.2020 
","Soziale Ungerechtigkeit, Umweltschutz, Frieden",Bertoldstraße / Niemensstraße ,,,
66.0,2020-03-03 00:00:00,"Spomtanversammlung mit dem Thema ""Türkei / Krieg / Humanitäre Zustände""",Platz der Alten Synagoge,,,
67.0,2020-03-21 00:00:00,Internationaler Tag gegen Rassismus,Platz der Alten Synagoge,,,
68.0,2020-03-27 00:00:00,End-of-fishing Aktionstag,Bertoldsbrunnen,,,
69.0,2020-03-08 00:00:00,Frauen*Kampftag,Stühlingerplatz - Wiwilibrücke - Bismarckallee - Eisenbahnstr - Rotteckring - Bertoldstr - Bertoldsbrunnen - Kajo - Johanneskirche,,,
70.0,2020-04-12 00:00:00,Die Kirche und tierschutzrechtliche Themen,Münsterplatz,,,
