Nr.,Datum,Grund/Anlass,Ort bzw. Wegstrecke,Unnamed: 4,Unnamed: 5,Unnamed: 6
295.0,"20.08.2020, 27.08.2020, 03.09.2020, 10.09.2020, 17.09.2020, 24.09.2020, 01.10.2020, 08.10.2020, 15.10.2020",Erzählcafé im öffentlichen Raum - Menschen vom Stühlinger geben ihre Meinung kund,Stühlinger Kirchplatz,,,
296.0,"15.08.2020
22.08.2020",Grundgesetz und aktuelle Maßnahmen,Platz der Alten Synagoge,,,
297.0,2020-08-21 00:00:00,Opfer des Gazakriegs im Sommer 2014 betrauern,Platz der Alten Synagoge,,,
298.0,2020-08-22 00:00:00,Welterschöpfunstag,Bertoldsbrunnen-kajo-Europaplatz,,,
299.0,2020-08-19 00:00:00,Gedenktag des rassistischen Anschlags in Hanau am 19.02.2020,Platz der Alten Synagoge,,,
300.0,2020-08-29 00:00:00,Vegane Ernährung,Platz der Alten Synagoge,,,
301.0,2020-08-16 00:00:00,Unterstützung der Proteste gegen Machtergreifung in Weißrussland,Platz der Alten Synagoge - Colombipark - Europaplatz - Kajo - Bertoldstr - PdAS,,,
302.0,2020-08-15 00:00:00,"""My Uterus My Choice""",Platz der Alten Synagoge - Münsterplatz,,,
303.0,2020-08-20 00:00:00,Unterstützung der Freiheitsbewegung und Achtung auf Gewalt und Brutalität der Diktatur in Weißrussland,Platz der Alten Synagoge - Rotteckring - Fahnenbergplatz - Friedrich-ring - Europaplatz - Kaiser-Joseph-Straße - Bertoldsbrunnen - Bertold-straße - Platz der Alten Synagoge (Abschlusskundgebung).,,,
304.0,2020-08-22 00:00:00,Müllvermeidung,Platz der Alten Synagoge,,,
305.0,2020-10-17 00:00:00,Menschenhandel und moderne Sklaverei,Platz der Alten Synagoge,,,
306.0,2020-08-29 00:00:00,Fleisch-Aktionstag,"Günterstalstr. 43, 79102 Freiburg",,,
307.0,2020-09-01 00:00:00,Antikriegstag-Kundgebung und Friedensspaziergang,Rotteckring (Auftaktkundgebung) – Rathausgasse – Rathausplatz – Merianstraße – Schiffstraße – Kaiser-Joseph-Straße – Europaplatz (Abschlusskundgebung),,,
308.0,2020-08-28 00:00:00,Klimagerechtigkeit,Platz der Alten Synagoge,,,
309.0,2020-08-19 00:00:00,Solidkundgebung,"vor dem Amtsgericht, Holzmarkt",,,
310.0,2020-09-19 00:00:00,CSD 2020,Platz der Alten Synagoge,,,
311.0,2020-08-22 00:00:00,Freiheit für Abdullah Öcalan,Platz der Alten Synagoge - Bertoldstraße - Bertoldbrunnen - Kaiser-Joseph-Straße - Rempartstraße - Platz der Alten Synagoge,,,
312.0,2020-08-28 00:00:00,Umwelt,Fritz-Schieler-Platz,,,
313.0,2020-08-22 00:00:00,"Jugend gegen Faschismus/ ""Gegen rechten Terror""",Platz der Alten Synagoge,,,
314.0,2020-08-22 00:00:00,Erinnern heißt handel,Augustinerplatz,,,
315.0,2020-09-04 00:00:00,Tierschutz und Speziesismus,Platz der Alten Synagoge,,,
316.0,2020-09-05 00:00:00,Kein Geld fürs Militär in Krisenzeiten,Lederleplatz,,,
317.0,2020-09-05 00:00:00,die Präsenz der afrikanischen Geschichte,Konrad-Adenauer-Platz – Bertoldstraße – Platz der Alten Synagoge (Kundgebung).,,,
318.0,2020-09-19 00:00:00,Kidical Mass (Fahrraddemo),"Europaplatz – Friedrichring – Friedrichstraße – Breisacher Straße - Kreuzstraße – Lehener Straße - Eschholzstraße  – Stühlingerstraße – Wentzingerstraße – Wiwili Brücke – Wilhelmstraße – Belfortstraße – Rempartstraße – Holzmarkt – Wallstraße – Schwabentorring – Schlossbergring – Leopoldring – Europaplatz, dort Abschlusskundge-bung.",,,
319.0,2020-09-02 00:00:00,Widerstand in der Türkei,Platz de Alten Synagoge,,,
320.0,2020-09-05 00:00:00,Wir haben Platz - Seebrücke schafft sichere Häfen,Augustinerplatz,,,
321.0,2020-09-05 00:00:00,Vegane Ernährung,Platz der Alten Synagoge,,,
322.0,2020-09-05 00:00:00,Grundgesetz und aktuelle Maßnahmen,Platz der Alten Synagoge,,,
323.0,2020-09-06 00:00:00,gegen Quarantäne für Georgier bei der Einreise nach Georgien,Platz der Alten Synagoge,,,
324.0,2020-09-12 00:00:00,Weltfrieden durch inneren Frieden,Stadtgarten,,,
325.0,2020-09-11 00:00:00,in Erinnerung oder Gedenken an die Vermissten und Toten währendder Diktatur von A. Pinochet in Chile,Platz der Alten Synagoge,,,
326.0,2020-09-19 00:00:00,Vegane Ernährung,Rathausplatz,,,
327.0,2020-09-09 00:00:00,Seebrücke/Flüchtlinge,Platz der A. Synagoge - Rempartstr.- Holzmarkt - Martinstor - Bertoldsbrunnen - Breuninger,,,
328.0,2020-09-11 00:00:00,Kein Klimaschutz ohne Verkehrswende,Platz der Alten Synagoge - Rempartstraße - Holzmarkt - Wallstraße – Schwabentorring - Schlossbergring - Leopoldring - Europaplatz - Habs-burgerstraße - Zähringerstraße (dort Umkehr am Platz der Zähringer) – Stefan-Meier-Straße – Bismarckallee – Schnewlinstraße – Freiaustraße – Lessingstraße – Schillerstraße – Schwarzwaldstraße – Fabrikstraße – Kartäuserstraße – Wallstraße - Rempartstraße – Platz der Alten Synagoge.,,,
329.0,2020-09-11 00:00:00,"Sternfahrten - Fahrradkorsos zur Demo am 11.09.2020, 17.00 Uhr, Platz der Alten Synagoge","Route A
16:00 Uhr ab Bahnhof Littenweiler (Parkplatz) - Lindenmattenstraße - Hansjakobstraße - Schwarzwaldstraße (bis Shell-Tankstelle) - Semi-narstraße
16:25 Uhr ab Gasthaus Schützen (Ecke Seminarstraße / Schützen-allee) - Seminarstraße - Zasiusstraße - Hildastraße - Urachstraße
16:35 Uhr ab Alter Wiehrebahnhof (Treffpunkt direkt vorm KoKi-Eingang) - Urachstraße - Günterstalstraße - Johanneskirchplatz - Gün-terstalstraße - Kaiser-Joseph-Straße - Rempartstraße - Platz der Uni-versität - Platz der Alten Synagoge.

Route B
16:15 Uhr ab Ecke Falkenberger/ Elsässer Straße - Elsässer Straße - Berliner Allee - Lehener Straße - Sundgauallee - Fehrenbachallee 
16:30 Uhr ab Rathaus im Stühlinger - Fehrenbachallee - Engelberger Straße - Eschholzstraße – Stühlingerstraße – Wentzingerstraße - Wi-wilibrücke - Sedanstraße - Platz der Alten Synagoge.

Route C
16:15 Uhr ab Maria-von-Rudloff-Platz - Käthe-Kollwitz-Straße -Ingeborg-Drewitz-Allee - Bettina-von-Arnim-Straße - Opfinger Straße - Markgrafenstraße - Eschholzstraße - Stühlingerstraße - Wenzingerstra-ße - Wiwilibrücke - Sedanstraße - Platz der Alten Synagoge

Route D
16:15 Uhr ab Platz der Zähringer - Zähringerstraße
16:30 Uhr ab Hornusstraße - Zähringerstraße - Okenstraße - Lerchen-straße - Hauptstraße - Karlstraße - Leopoldring - Friedrichring - Rotteckring - Platz der Alten Synagoge. 

Route E
16:15 Uhr in der Bozener Straße bei der Kirche Peter und Paul - An-dreas-Hofer-Straße - Lörracher Straße - Kufsteiner Straße - Astrid-Lindgren-Straße - Lise-Meitner-Straße - 
16:30 Uhr Vauban ab Radieschen - Marie-Curie-Straße - Wiesental-straße - Merzhauser Straße - Basler Straße - Johanneskirchplatz - Günterstalstraße - Kaiser-Joseph-Straße - Rempartstraße - Platz der Universität - Platz der Alten Synagoge.",,,
330.0,2020-09-12 00:00:00,Freiburg hat Platz,Rathausplatz,,,
331.0,2020-09-12 00:00:00,Grundgesetz und aktuelle Maßnahmen,Platz der Alten Synagoge,,,
332.0,2020-09-12 00:00:00,Bewegung für Lebensfreude,Platz der Alten Synagoge,,,
333.0,2020-09-23 00:00:00,150. Jahrestag der feierlichen Einweihung der Alten Synagoge,Platz der Alten Synagoge,,,
334.0,2020-09-12 00:00:00,Solidarität mit den Textilarbeitern der Fa. Dragon Sweater in Dhaka,Lidl in der Konrad-Goldmann-Straße,,,
335.0,2020-09-18 00:00:00,Bewegung für Lebensfreude,Platz der Alten Synagoge,,,
336.0,2020-09-19 00:00:00,Wasser ist Leben,Stühlinger Kirchplatz,,,
337.0,2020-09-19 00:00:00,Verfolgung von Falun Dafa in China,Rathausplatz,,,
338.0,2020-09-19 00:00:00,Mobilfunk und Immunsysem,Augustinerplatz,,,
339.0,2020-09-20 00:00:00,Protestaktion von Maria 2.0 in der Erzdiözeses Freiburg anlässlich der Priesterweihe 2020,Münsterplatz mit Menschenkette (Münsterplatz-Herrenstraße-Schoferstraße),,,
340.0,2020-09-19 00:00:00,Freiheit für Abdullah Öcalan,Kartoffelmarkt,,,
341.0,2020-09-23 00:00:00,Politische Versammlung für den Klimaschutz,Stadtgarten,,,
342.0,2020-09-19 00:00:00,?,Stadtgebiet Freibug,,,
343.0,2020-09-22 00:00:00,Tarifrunde öffentlicher Dienst,Platz der Alten Synagoge,,,
344.0,2020-09-25 00:00:00,"Lebensfreude, Frieden und Stille",Platz der Alten Synagoge,,,
345.0,2020-09-25 00:00:00,globaler Klimastreik,"Fahrraddemo, Rieselfeld-Rieselfeldallee-Opfingerstraße-Binzengrün-Berliner Allee-Madisonallee-
Messegelände",,,
346.0,2020-09-25 00:00:00,Mahnwache für Tiere,"Schlachthof, Tullastr. 73",,,
347.0,2020-09-24 00:00:00,Verlagerung des Betriebs Raimann Holzoptimierung,Weißerlenstr. 11 in Freiburg,,,
348.0,2020-09-25 00:00:00,Globaler Klimastreik,"Messeplatz (Auftaktkundgebung) – Madisonallee – Berliner Allee – Sundgauallee – Lehener Straße – Kreuzstraße – Breisacher Straße – Zur Unterführung – Friedrichstraße – Fahnenbergplatz – Rotteckring – Am Predigertor/ Platz der Alten Synagoge (dort nur Auflösung, keine Abschlusskundgebung).",,,
349.0,2020-09-26 00:00:00,Grundgesetz und aktuelle Maßnahmen,Platz der Alten Synagoge,,,
350.0,2020-09-25 00:00:00,globaler Klimastreik/Fahrraddemo,Vauban mit Aufzug,,,
351.0,2020-09-26 00:00:00,Literatur in Bewegung mit Sprache und Musik,Freiburger Altstadt,,,
352.0,2020-09-26 00:00:00,für eine bunte Vielfalt-gegen Rassismus und Ausgrenzung,Theatervorplatz,,,
353.0,2020-09-26 00:00:00,Falun Dafa und deren Verfolgung,Augustinerplatz,,,
354.0,2020-09-28 00:00:00,Safe Abortion Day,Platz der Alten Synagoge,,,
355.0,2020-09-30 00:00:00,die Erweiterung des Tagesbaus Garzweiler,Platz der Alten Synagoge,,,
356.0,2020-10-02 00:00:00,Ba-Wü zum sicheren Hafen,Platz der Alten Synagoge,,,
357.0,2020-09-30 00:00:00,,Platz der Alten Synagoge,,,
358.0,2020-09-28 00:00:00,christl. Gundthemen zu Zeiten von Corona,Kartoffelmarkt,bis hierhin 3. Quartal,,
359.0,2020-10-01 00:00:00,Corona-Hilfen für Studierende,Platz der Alten Synagoge,,,
360.0,2020-10-02 00:00:00,Friedenskundgebung zur Feier des Geburtstages von M. Gandhi,Rathausplatz zum Platz der Alten Synagoge,,,
361.0,2020-10-02 00:00:00,Vegane Ernährung,Rathausplatz,,,
362.0,2020-10-02 00:00:00,sicherer Hafen Baden-Würrtemberg,Platz der Alten Synagoge,,,
363.0,2020-10-02 00:00:00,Bewegung für Lebensfreude,Platz der Alten Synagoge,,,
364.0,2020-10-03 00:00:00,kein Grund zum Feiern,Platz der Alten Synagoge mit Aufzug,,,
365.0,2020-10-03 00:00:00,"Bewusstseinsbildung des gegenwärtigen Gewaltmissbrauchs in Kolumbien, Antrag auf Änderung des beleidigenden Namens der Bar Escobar",Platz der Alten Synagoge mit Aufzug zur Wilhelmstraße 7,,,
366.0,2020-10-03 00:00:00,es gibt keine Deutsche Einheit: die Wirtschaftskrise spaltete die Gesellschaft weiter,Platz der Alten Synagoge,,,
367.0,2020-10-03 00:00:00,Weltfrieden durch inneren Frieden,Stadtgarten,,,
368.0,2020-10-10 00:00:00,Tag gegen die Todesstrafe,Rathausplatz,,,
369.0,2020-10-08 00:00:00,Gedenken an den Anschlag in Halle am 09.10.2020,Platz der Alten Synagoge,,,
370.0,2020-10-10 00:00:00,Vegane Ernährung,Rathausplatz,,,
371.0,2020-10-10 00:00:00,Grundgesetz und aktuelle Maßnahmen,Platz der Alten Synagoge,,,
372.0,2020-10-09 00:00:00,"Autoverkehr tötet, in Freiburg und im Dannenröder Wald",Platz der Alten Synagoge – Werthmannstraße – Kronenbrücke – Lessingstraße – Schillerstraße – Schwarzwaldstraße – Bürgerwehrstraße – Zasiusstraße - Seminarstraße – Schwarzwaldstraße (nach Westen) – Leo-Wohleb-Straße - Dreisamstraße – Schreiberstraße - Kronenstraße – Basler Straße - Eschholzstraße – Engelbergerstraße – Fehrenbachallee (über Rathaus im Stühlinger) – Lehener Straße – Kreuzstraße – Bismarckallee  - Wilhelmstraße - Belfortstraße – Platz der Alten Synagoge.,,,
373.0,2020-10-09 00:00:00,Bewegung für Lebensfreude,Stühlinger Kirchplatz,,,
374.0,2020-10-10 00:00:00,Freiheit für Öcalan,Kartoffelmarkt - Schiffstraße - Kajo - Bertoldsbrunnen - Salzstraße - Augustinerplatz - Gerberau - Martinstor - Bertoldsbrunnen - Kajo - Schiffstraße - Kartoffelmarkt,,,
375.0,2020-10-10 00:00:00,Religionsfreiheit,Platz der Alten Synagoge,,,
376.0,2020-10-09 00:00:00,Krieg in Berg-Karabach und Armenien,Münsterplatz,,,
377.0,2020-10-10 00:00:00,Solidarität mit Liebig 34,Gartenstraße - Rempartstraße - Kajo - Martinstor - Bertoldsbrunnen - Europaplatz - Kajo - Schiffstraße - Gauchstraße - Rotteckring - Platz der Alten Synagoge,,,
378.0,2020-10-14 00:00:00,Tarifrunde öffentlicher Dienst,PdAS - Rotteckring - Unterlinden - Merianstraße - Rathausplatz - Rathausgasse - Kajo - Bertoldstraße - PdAS,,,
379.0,2020-10-15 00:00:00,Tierrechte,Kreuzung Stefan-Meier-Str./Friedrichstraße,,,
380.0,2020-10-17 00:00:00,Grundgesetz und aktuelle Maßnahmen,Platz der Alten Synagoge,,,
381.0,2020-10-16 00:00:00,Friedensdemo für junge Menschen - Impulse für die Zukunft,Platz der Alten Synagoge,,,
382.0,2020-10-17 00:00:00,Unterstützung der Demos in Balfour,Rathausplatz,,,
383.0,2020-10-17 00:00:00,Walk for freedom 2020,"Platz der Alten Synagoge (Kundgebung) – Rotteckring – Rathausgasse – Rathausplatz – Rathausgasse – Kaiser-Josef-Straße – Münsterstaße – Münsterplatz, Münster einmal umrunden – Herrenstraße – Oberlinden – Schwabentor (dort Wendung) – Oberlinden – Salzstraße - Augustinerplatz – Gerberau – Kaiser-Josef-Straße – Europaplatz (dort Wendung) – Kaiser-Joseph-Straße – Bertoldsbrunnen – Bertoldstraße – Platz der Alten Synagoge (Abschluss)",,,
384.0,2020-10-17 00:00:00,Falun Dafa und deren Verfolgung,Augustinerplatz,,,
385.0,2020-10-17 00:00:00,für eine bunte Vielfalt-gegen Rassismus und Ausgrenzung,Theatervorplatz,,,
386.0,2020-10-17 00:00:00,Stühlinger wir ALL,Stühlinger Kirchplatz,,,
387.0,"23.10.2020
14.11.2020","Die Stadt ist, was wir daraus machen.
Stadt für alle, Verdrängung stoppen …","Theatervorplatz
Platz der Alten Synagoge",,,
388.0,2020-10-17 00:00:00,Fleischaktionstag - gegen Billigfleisch im Supermarkt,"REWE-Fahnenbergplatz, Edeka-Weberstr., Penny und Aldi Habsburerstraße",,,
389.0,2020-10-17 00:00:00,Mercosur Handelsabkommen,Platz der Alten Synagoge,,,
390.0,2020-10-17 00:00:00,Leben retten: Abbiegeunfälle in Freiburg verhindern,RIS,,,
391.0,2020-10-21 00:00:00,Tarifverhandlungen im öffentlichen Dienst,RIS,,,
392.0,2020-10-22 00:00:00,Gedenkfeier Deportation nach Gurs,Platz der Alten Synagoge,,,
393.0,2020-10-22 00:00:00,Gedenken der Opfer zum 80. Jahrestag der Deportation der Badischen Jüdinnen und Juden,Platz der Alten Synagoge,,,
394.0,2020-10-23 00:00:00,"Frieden, Abrüsten statt Aufrüsten und Atomwaffenverbotsvertrag",Rathausplatz,,,
395.0,2020-10-22 00:00:00,Aufklärung zum Thema Corona Fakten,Busparkplatz Karlsplatz,,,
396.0,2020-10-22 00:00:00,Respect the Science ! Corona ist real (Gegendemo),Busparkplatz Karlsplatz,,,
397.0,2020-10-23 00:00:00,ein Jahr der sozialen Bewegung in Chile,Musikpavillon im Stadtgarten,,,
398.0,2020-10-24 00:00:00,Klimaschutz,Seepark,,,
399.0,2020-10-24 00:00:00,Grundgesetz und aktuelle Maßnahmen,Platz der Alten Synagoge,,,
400.0,2020-10-23 00:00:00,Religion,Europaplatz,,,
401.0,2020-10-24 00:00:00,Vegane Ernährung,Rathausplatz,,,
402.0,2020-10-24 00:00:00,End Sars - gegen Polizeigewalt in Nigeria,Platz der Alten Synagoge - Bertoldstraße - Bertoldsbrunnen - Holzmarkt - Rempartstraße - Platz der Alten Synagoge,,,
403.0,2020-10-29 00:00:00,Verbesserung des Pflegeimage,Platz der Alten Synagoge,,,
404.0,2020-10-30 00:00:00,"Weltspartag, Investition der Deutschen Bank in Kohle und Rüstungsindustrie ","Ecke Rotteckring/Eisenbahnstraße, neben der Filiale der Deutschen Bank, Rotteckring 3 in Freiburg",,,
405.0,2020-10-30 00:00:00,LHG- Novellierung,Platz der alten Synagoge,,,
406.0,2020-10-31 00:00:00,Grundgesetz und aktuelle Maßnahmen,Platz der alten Synagoge,,,
407.0,2020-10-30 00:00:00,Mahnwache für Frieden,Rathausplatz,,,
408.0,2020-10-30 00:00:00,"Weltspartag- die klimaschädlichen Investitionen der Commerzbank, sowie deren Interessen in Waffengeschäften ",Vor der Kaiser-Joseph-Straße 251,,,
409.0,"02.11.2020
09.11.2020
16.11.2020
23.11.2020
30.11.2020
07.12.2020
14.12.2020","Soziale Ungerechtigkeit, Umweltschutz, Frieden",Ecke Bertoldstraße / Niemensstraße ,,,
410.0,2020-10-31 00:00:00,Freiheit Religion,Augustinerplatz,,,
411.0,2020-10-30 00:00:00,"Aufstand gegen die Karikatur, die den Propheten Muhammad beleidigen",Platz der alten Synagoge,,,
412.0,2020-10-31 00:00:00,Frieden und Freiheit in Kurdistan,Kartoffelmarkt,,,
413.0,2020-10-31 00:00:00,Religion,Europaplatz,,,
414.0,2020-10-29 00:00:00,Demo/Versammlung von Maskenverweigerern ,Platz der alten Synagoge,,,
415.0,2020-10-30 00:00:00,Weltspartag,Vor der Kaiser-Joseph-Straße 251,,,
416.0,2020-10-30 00:00:00,"""ohne Maske einkaufen gehen""",Platz der Alten Synagoge,,,
417.0,2020-11-02 00:00:00,gegen die Corona Maßnahmen,Platz der Alten Synagoge,,,
418.0,2020-11-02 00:00:00,Trommeldemo - Rhythmus verbindet,"Dreisamwiese, Höhe Ochsenspielplatz rechts der Dreisam. Von dort Richtung Sandfangweg und links der Dreisam zurück zum Ausgangspunkt",,,
419.0,2020-11-02 00:00:00,SangUndKlanglos,Platz der Alten Synagoge,,,
420.0,2020-11-07 00:00:00,End Sars - gegen Polizeigewalt in Nigeria,"Platz der Alten Synagoge  E-Werk, Parkplatz - Eschholzstraße - Lehenerstraße - Kreuzstraße - Breisacherstraße - Bismarckallee - Eisenbahnstraße - Rottecking - Platz der Alten Synagoge",,,
421.0,2020-11-06 00:00:00,Religion,Kartoffelmarkt,,,
422.0,2020-11-06 00:00:00,Bewegung für Lebensfreude,Platz der Alten Synagoge,,,
423.0,2020-11-06 00:00:00,Solidarität mit Frauen in Polen,Platz der AltenSynagoge,,,
424.0,2020-11-07 00:00:00,Vegane Ernährung,Rathausplatz,,,
425.0,2020-11-07 00:00:00,Moratorium Stopp 5G,Augustinerplatz,,,
426.0,2020-11-07 00:00:00,gegen die Corona Maßnahmen,Platz der Alten Synagoge,,,
427.0,2020-11-09 00:00:00,Trommeldemo - Rhythmus verbindet,"Dreisamwiese, Höhe Ochsenspielplatz rechts der Dreisam. Von dort Richtung Sandfangweg und links der Dreisam zurück zum Ausgangspunkt",,,
428.0,2020-11-07 00:00:00,Wir zahlen nicht für eure Wirtschaftskrise,Platz der Alten Synagoge,,,
429.0,2020-11-07 00:00:00,Respect the Science ! ,Treppen vor dem Theater,,,
430.0,2020-11-07 00:00:00,die Rolle der Arbeiterbewegung im Antifaschistischen Widerstand,Holzmarktplatz,,,
431.0,2020-11-07 00:00:00,Standing with the Earth,Alfred-Döblin-Platz,,,
432.0,2020-11-09 00:00:00,gegen die Corona Maßnahmen,Platz der Alten Synagoge,,,
433.0,2020-11-18 00:00:00,Politische Krise in Peru,Platz der Alten Synagoge,,,
434.0,2020-11-18 00:00:00,Nein zum neuen Ermächtigungsgesetz – für demokratische Grund – und Freiheitsrechte,Rathausplatz,,,
435.0,2020-11-18 00:00:00,"
„Kein Public Viewing für den ""Reichstagssturm"".

Für morgen planen die Freiburger ""Querdenker"" und Corona Rebellen einen Infostand und ein Public Viewing der - teilweise abgesagten, Demonstrationen in Berlin. In Medien der Coronaleugner und von Rechtsextremen wird aufgerufen nicht nur friedlich in Berlin zu de-monstrieren, sondern auch, wiedermal zu versuchen, das Reichstags-gebäude zu stürmen. Das ist ein klarer Angriff auf die freiheitlich, de-mokratische Grundordnung und den Kernbereich der parlamentari-schen Demokratie und des Grundgesetztes. Ich rufe alle Bürger*innen Freiburgs auf, sich einem ""Public Viewing"" oder dem Senden ""positi-ver Energie"" für eine solche Aktion entgegen zu stellen.“
",Rathausplatz,,,
436.0,2020-11-16 00:00:00,gegen die Corona Maßnahmen,Platz der Alten Synagoge,,,
437.0,2020-11-16 00:00:00,"Machs wie Finnland, Abstand und Anstand",Platz der Alten Synagoge,,,
438.0,2020-11-14 00:00:00,Grundgesetzt und aktuelle Maßnahmen,Platz der Alten Synagoge,,,
439.0,2020-11-14 00:00:00,Falun Dafa und deren Verfolgung,Kartoffelmarkt,,,
440.0,2020-11-13 00:00:00,Bewegung für Lebensfreude,Platz der Alten Synagoge,,,
441.0,2020-11-13 00:00:00,ohne kUNSt wird’s still,"Platz der Alten Synagoge, Kundgebung – Werderring
 – Belfortstraße – Schnewlinstraße – Bismarckallee – Friedrichstraße
 – Fahnenbergplatz – Rotteckring – Platz der Alten Synagoge, dort Abschlusskundgebung",,,
442.0,2020-11-13 00:00:00,Tierrechte,Kreuzung Stefan-Meier-Str./Friedrichstraße,,,
443.0,2020-11-14 00:00:00,"Umweltschutz, Gesundheit und soziale Fragen",Fritz-Schieler-Platz,,,
444.0,2020-11-14 00:00:00,Lage der Selbstständigen,"Schwabentorring – Schlossbergring – Leopoldring
 – Friedrichring – Bismarckallee – auf B 31 Richtung Titisee-Neustadt – Schwabentorring",,,
445.0,2020-11-16 00:00:00,Rhythmus verbindet,"Dreisamwiese, Höhe Ochsenspielplatz rechts der Dreisam. Von dort Richtung Sandfangweg und links der Dreisam zurück zum Ausgangspunkt",,,
446.0,2020-11-07 00:00:00,gegen den Bau der A49 im Dannenröder Forst,Baum auf dem Platz der Alten Synagoge,,,
447.0,2020-11-18 00:00:00,solidarische Prozessbegleitung,vor dem Amtsgericht,,,
448.0,2020-11-20 00:00:00,Trans*Day Rememberence,Rathausplatz,,,
449.0,2020-11-21 00:00:00,Vegane Ernährung,Rathausplatz,,,
450.0,2020-11-20 00:00:00,Bewegung für Lebensfreude,Platz der Alten Synagoge,,,
451.0,2020-11-20 00:00:00,Mahnwache für Tiere,"Schlachthof, Tullastr. 73",,,
452.0,2020-11-21 00:00:00,"Fuß - und Radentscheid, gegen die Rodungen im Dannenröder Wald",Wiwili Brücke beim Trepppenabgang zum Konrad-Adenauer-Platz,,,
453.0,2020-11-23 00:00:00,Stopp the Schwurbel ! gegen Coronaleugner,Platz der Alten Synagoge,,,
454.0,2020-11-21 00:00:00,Nein zum Infektionsschutzgesetz – für unsere Grund- und Freiheitsrechte!,Platz der Alten Synagoge,,,
455.0,2020-11-23 00:00:00,gegen die Corona-Maßnahmen,Platz der Alten Synagoge,,,
456.0,2020-11-21 00:00:00,Aktionstag der Seebrücke - sicherer Hafen BW - Wärme für alle,"Münsterplatz, Schwabentor, Wiwili-Brücke",,,
457.0,2020-11-25 00:00:00,16 Tage Gewalt gegen Frauen,Platz der Alten Synagoge,,,
458.0,2020-11-28 00:00:00,Waldschutz ist Klimaschutz,"Stühlingerplatz – Wiwilibrücke – Sedanstraße – Platz der Alten Synagoge – Bertoldstraße – Universitätsstraße – Rathausplatz – Rathausgasse – Kaiser-Joseph-Straße – Gerberau – Augustinerplatz, dort Abschlusskundgebung.",,,
459.0,2020-11-24 00:00:00,„Freiheit für Öczalan“u.a.,Platz der Alten Synagoge,,,
460.0,2020-10-29 00:00:00,Maskenverweigerung und die Einhaltung von Grundrechten in Bezug auf Corona,Platz der Alten Synagoge,,,
461.0,2020-11-25 00:00:00,Performance gegen Gewalt an Frauen,Bertholdstraße ,,,
462.0,2020-11-28 00:00:00,Falun Dafa und deren Verfolgung,Platz der Alten Synagoge,,,
463.0,2020-11-23 00:00:00,Rhythmus verbindet,"Dreisamwiese, Höhe Ochsenspielplatz rechts der Dreisam. Von dort Richtung Sandfangweg und links der Dreisam zurück zum Ausgangspunkt",,,
464.0,2020-11-25 00:00:00,Tag gegen Gewalt an Frauen,Platz der Alten Synagoge,,,
