Nr.,Datum,Grund/Anlass,Ort bzw. Wegstrecke
519.0,2022-12-17 00:00:00,Menschenrechte im Iran,Platz der Alten Synagoge
520.0,2022-12-17 00:00:00,"Frieden, Atomwaffenverbotsvertrag",Bertoldsbrunnen
521.0,2022-12-20 00:00:00,Für Frieden und Freiheit,Autokorso
522.0,2022-12-21 00:00:00,Erhalt der Warenhäuser,"Kaiser-Joseph-Straße 165, vor Galeria-Karstadt Freiburg"
523.0,2022-12-27 00:00:00,Morde in Paris,Platz der Alten Synagoge mit Aufzug
524.0,2022-12-23 00:00:00,Spontanversammlung Attentat in Paris,Platz der Alten Synagoge
525.0,2022-12-31 00:00:00,Anti-Knast-Demo,Hermann-Herder-Straße / JVA
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
596.0,,,
597.0,,,
598.0,,,
599.0,,,
600.0,,,
