Nr.,Datum,Grund/Anlass,Ort bzw. Wegstrecke
322.0,2022-08-27 00:00:00,9 € Ticket,Stadtbahnbrücke
323.0,2022-08-27 00:00:00,"für Freiheit, Menschlichkeit und Vernuft !",Platz der Alten Synagoge mit Aufzug
324.0,2022-09-01 00:00:00,Antikriegstag,Mahnmal Rathausgasse 31
325.0,2022-09-02 00:00:00,vegane Ernährung,Bertoldsbrunnen
326.0,2022-09-03 00:00:00,Anti-Atom Radtour,Ende Platz der Alten Synagoge
327.0,2022-08-27 00:00:00,ÖPNV 9€ Ticket weiterfahren,"Bismarckallee, vor der Unterführung"
328.0,2022-08-27 00:00:00,AfD in die Schranken weisen,"Münsterplatz, Nordseite vor der Stadtbibliothek"
329.0,2022-08-27 00:00:00,ÖPNV 9€ Ticket weiterfahren,Rathausplatz
330.0,2022-08-29 00:00:00,für eine unabhängige und objektive Berichterstattung,Badische Zeitung
331.0,2022-08-30 00:00:00,Schluss mit den Lügen Für freie Impfentscheidung und ein Ende der unsinnigen Sanktionspolitik,Autokorso ab Suwonallee
332.0,2022-10-09 00:00:00,"Aktionstag: B31 West Nein Danke, Mobilitätswende und Klimaschutz jetzt",PdAS mit Aufzug
333.0,2022-09-02 00:00:00,Wie sicher ist die Spritze?,PdAS
334.0,2022-09-03 00:00:00,Weltfrieden durch inneren Frieden,Stühlinger Kirchplatz unter den Bäumen
335.0,2022-09-02 00:00:00,Schlachtung ohne Achtung,Ampelaktion Ecke Bismarckallee/Wilhelmstraße
336.0,2022-09-03 00:00:00,Radeln für ein Leben in Freiheit und Frieden,Konrad-Adenauer-Platz mit Aufzug
337.0,2022-09-04 00:00:00,Europäischer Tag der jüdischen Kultur,Platz der Alten Synagoge
338.0,2022-09-03 00:00:00,Aktuelle Bombadierungen der Türkei auf Rojava und Forderung der Schließung des Luftraums,Kartoffelmarkt mit Aufzug
339.0,2022-09-02 00:00:00,Wie sicher ist das Versammlungsrecht? Wie sicher ist die Meinungsfreiheit? Wie sicher ist die Spritze?,Europaplatz
340.0,2022-09-02 00:00:00,Mahnwache zum Gedenken an den heute durch queerfeindliche Gewalt gestrobene Malte C.,Platz der Alten Synagoge
341.0,2022-09-10 00:00:00,Klimagesundes Essen,Augustinerplatz
342.0,"08.09.2022
22.09.2022",für eine unabhängige und objektive Berichterstattung,SWR
343.0,2022-09-12 00:00:00,für eine unabhängige und objektive Berichterstattung,Badische Zeitung
344.0,2022-09-06 00:00:00,Militäroperation gegen Kurdische Guerillia,PdAS
345.0,2022-09-09 00:00:00,"Pakistan is our story; Solidarität mit den von der Strumflut betroffenen Menschen in Pakistan und 
allen Betroffenen von Klimafolgen weltweit; Verdeutllichung des Zusammenhangs zwischen fossiler  Finanzierung und Klimakrise/Klimafolgen","Vor der Deutschen Bank Filiale, Rotteckring 3"
346.0,2022-09-10 00:00:00,"für Freiheit, Menschlichkeit und Vernuft !",Konrad-Adenauer-Platz
347.0,2022-09-11 00:00:00,Queerfeindliche Gewalt,Münsterplatz
348.0,2022-09-16 00:00:00,Schlachtung ohne Achtung,Ampelaktion Ecke Bismarckallee/Friedrichstraße
349.0,2022-09-19 00:00:00,Teuerungen,Fritz-Schieler-Platz mit Aufzug
350.0,2022-09-18 00:00:00,Fancy Women Bike Ride,PdAS mit Aufzug zum Stühlinger Kirchplatz
351.0,2022-09-16 00:00:00,"Art der Nutzung des öffentlichen Raums (Flächengerechtigkeit, Parking Day)",Zwei Parkplätze umliegend am Herdener Kirchplatz
352.0,2022-09-17 00:00:00,"Auftaktveranstaltung Heißer Herbst, Preissteigerungen, Energie und Co",Alter Messplatz
353.0,2022-09-20 00:00:00,Gegen Lärmbelästigung und für ein respektvolles Miteinander,Augustinerplatz
354.0,2022-09-13 00:00:00,"Coronawahnsinn stoppen, oder wollt ihr die totale Kontrolle",Suwonallee mit Aufzug
355.0,2022-09-17 00:00:00,Radeln für ein Leben in Freiheit und Frieden,Konrad-Adenauer-Platz mit Aufzug
356.0,2022-09-18 00:00:00,Heldenviertel gegen Rechts,Sportplatz Langemarckstraße
357.0,2022-09-17 00:00:00,Klimagerechtigkeit Jetzt!,Sedanstraße vor UB (von Ecke Platz der Universitäti bis Ecke Milchstraße)
358.0,2022-09-20 00:00:00,"Schluss mit der Zerstörung unserer Wirtschaft, Gesellschaft und der Verelendung der Menschen, 
Schluss mit Klimaideologie die nichts bringt",Autokorso ab Suwonallee
359.0,2022-09-23 00:00:00,Sternmarsch aus Herndern zur Großen FFF-Demo,Herdern
360.0,2022-09-24 00:00:00,Falun Dafa,Bertoldsbrunnen
361.0,2022-09-23 00:00:00,Globaler Klimastreik,PdAS
362.0,2022-09-23 00:00:00,Sternmarsch aus Mooswald zur großen FFF-Demo,Mooswald
363.0,2022-09-23 00:00:00,Sternmarsch aus Haslach zur großen FFF-Demo,Haslach 
364.0,2022-09-23 00:00:00,Sternmarsch aus der Wiehre zur großen FFF-Demo,Wiehre
365.0,2022-09-23 00:00:00,Sternmarsch aus St. Georgen zur großen FFF-Demo,St. Georgen
366.0,2022-09-23 00:00:00,Sternmarsch Kapriole aus Littenweiler,Littenweiler
367.0,2022-09-26 00:00:00,Schluss mit dem Faschismus im Iran,Rathausplatz
368.0,2022-09-24 00:00:00,"Für Freiheit, Menschlichkeit und Vernunft! - Wir fordern den Rücktritt der Bundesregierung. Wir fordern eine vernunftgeleitete Politik und ein Ende der vorsaätzlichen Zerstörung unserer Wirtschaft. Wir fordern eine breite Diskussion über die Corona-Politik und eine juristische Aufarbeitung der Corona-Politik.",PdAS mit Aufzug
369.0,2022-09-25 00:00:00,Kidical Mass - Kindergerechte Straßen,Bürgerhaus Seepark mit Aufzug
370.0,2022-09-28 00:00:00,Safe Abortion Day,PdAS
371.0,2022-09-28 00:00:00,Safe Abortion Day - Recht auf Abtreibung,PdAS
372.0,2022-09-28 00:00:00,Internationaler Safe Abortion Day,PdAS
