Nr.,Datum,Grund/Anlass,Ort bzw. Wegstrecke
26.0,2021-02-01 00:00:00,"für Freiheit, gegen Zwang, Willkür und Rechtsbruch","Bertoldstraße, Höhe Walthari"
27.0,2021-02-19 00:00:00,Mahnwache für Tiere,"Tullastraße 73, Schlachthof"
28.0,2021-02-06 00:00:00,Gegen die Corona-Maßnahmen,Fritz-Schieler-Platz
29.0,2021-02-06 00:00:00,Gegendemo zu Gegen die Corona-Maßnahmen,Fritz-Schieler-Platz
30.0,2021-02-02 00:00:00,Wie soll es weiter gehen ?,"Start und Ende Parkplatz Möslestadion
Start und Ende Parkplatz Möslestadion. Die Route führt über
Schwarzwaldestr. Auf den Schwabentorring, Habsburgerstr., Zähringerstr. Gundelfingerstr., Alte Bundesstr.
Untere Waldstr., Glotterpfad, Untere Waldstr. AlteBundestr. Lindenstr., Steinackerstr., Blumenstr., Vörstetterstr.
Wildtalstr., Gundelfingerweg, Talstr., Wildtalstr., Bernlappstr., Denzlingerstr. Zähringerstr, Komturstr, Rennweg,
Sautierstr., Merianstr, Friedrichring, Bismarckallee, Lessingstr., Schillerstr., Schwarzwaldstr.
"
31.0,2021-02-02 00:00:00,"Impfen hilft ! Bürgerlicher Protest für Schutz gegen
 Corona-Infektionen",Ecke Möslestraße/Waldseestraße
32.0,2021-02-02 00:00:00,"Impfen hilft ! Bürgerlicher Protest gegen Autokorsos der
Coonaleugner in Freiburg und für besseren Infektions-
schutz","Bötzingerstraße, gegenüber der Firma Würth"
33.0,2021-02-04 00:00:00,"Symbolische Rückgabe der Forderungen des 
Arbeitgeberverbandes Südwestmetall im Rahmen
der aktuellen Tarifrunde in der Metall und Elektroindustrie","Lerchenstraße 6, vo dem Gebäude des Arbeitgeberverbandes Südwestmetall"
34.0,2021-02-05 00:00:00,Krankenhausbettenaktion,Ecke Bismarckallee/Eisenbahnstraße
35.0,2021-02-06 00:00:00,Solidarität mit den Geflüchteten,Lörrachestraße 6
36.0,2021-02-06 00:00:00,"No Disco, No Dance !",Friz-Schieler-Platz
37.0,2021-02-06 00:00:00,"für unsere demokratischen Freiheitsrechte, ein gesundes
Leben in Frieden und ohne Hausarrest",Fritz-Schieler-Platz
38.0,2021-02-06 00:00:00,Einwohnerantrag zu 5G in Freiburg,Kartoffelmakrt
39.0,2021-02-06 00:00:00,gegen politische Verfolgung von A. Nawalny.....,Platz der Alten Synagoge mit Aufzug
40.0,2021-02-08 00:00:00,"Mahnwache für das Grundgesetz. Gegen die
 unverhältnismäßigen Corona-Maßnahmen",Platz der Alten Synagoge
41.0,"08.02.2021
15.02.2021",Trommeldemo – Rhythmus verbindet Menschen,"Dreisambrücke, Höhe SC Stadion – Richtung Sandfangweg – 
links der Dreisam zurück zum Ausgangspunkt"
42.0,2021-02-09 00:00:00,SaytheirNames,Platz der Alten Synagge
43.0,2021-02-09 00:00:00,Wie soll es weiter gehen ? Zusammen fü eine gute Z.,"Start Parkplatz Möslestadion - Schwarzwaldstr. B31 nach Umkirch - Hauptstr. Feldbergstr. – Mittelweg – Hugstetterstr. – Hauptstr. - Gottenheimerstr, - Im Kirchenhürstle – Rohrmatten - Am Gansacker - Snewelinstr.- Gutshof – Hauptstr.- Waltershofenerstr. – Waltershofen - Umkircherstr. Sonnenbrunnenstr. St. Nikolauserstr.- Gebenstr.- links auf Schlossgasse - Auf der Linge - St. Nikolauserstr.- Opfingen –Tulpenweg - Am Sportplatz – Freiburgerstr.- Altweg - L187 Tiengen: Am Wäldele – Etzmattenstr.- Im Wangerhof -  Im Maierbühl -Freibuger Landstr.- Munzingen: St.-Erentrudis-Straße – Romanstr. - Mengen –Hauptstr. – Schallstadt:  Mengenerstr. – Baslerstr.- nach St.Georgen - Basler Landstr.- Malteserordenstr.- Hartkirchweg – Baslerlandstr. -  Besanconallee – 
Ende Parkplatz Real
"
44.0,2021-02-09 00:00:00,Impfen statt Autokorso,Schwabentorplatz
45.0,2021-02-11 00:00:00,"kein Fasching, kein Faschismus !",Platz der Alten Synagoge
46.0,2021-02-11 00:00:00,"für die lebendige Vielfalt und das Fortbestehen
 regionaler kultureller Traditionen",Platz Der Alten Synagoge
47.0,"12.02.2021
13.02.2021",Wir sind um die Gesundheit von A. Öcalans besorgt," Am 12.02.2021:
 Beginn -Stühlinger Kirchplatz - Wiwili Brücke - Sedanstr. - Platz der alten Synagoge - Richtung Werthmanstraße - Rempartstr.- Kaiser-Joseph-Straße – Gerberau –Augustinerplatz, dort Kundgebung - Salzstr. - Herrenstr. - Auf der Zinnen - Europaplatz, dort Kundgebung - Kaiser-Joseph-Straße – Bertoldstraße - 
Ende/Kundgebung Platz der Alten Synagoge

Am 13.02.2021:
Beginn: Stühlinger Kirchplatz - Wiwili Brücke – Bismarckallee – Konzerthaus, dort Kundgebung - Bertoldstr. – Bertoldsbrunnen, dort Kundgebung – Kaiser-Joseph-Straße – Friedrichstraße – Rotteckring- Ende Platz der Alten Synagoge
"
48.0,2021-02-13 00:00:00,Solidarität mit den indischen Bauern,Platz der Alten Synagoge
49.0,2021-02-13 00:00:00,für Diversität in Parlamenten,Platz der Alten Synagoge
50.0,2021-02-14 00:00:00,Solidarität mit russischen Demonstranten fü Demokratie,"Rathausplatz (30-60min) – Rathausgasse - Kaiser-Joseph-Straße - 
Europaplatz - Friedrichring - Rotteckring - Rathausgasse - Rathausplatz (30-60 min)"
51.0,2021-02-15 00:00:00,für ein menschenwürdiges Leben,Platz der Alten Synagoge
52.0,2021-02-16 00:00:00,Frieden und Freiheit,Autokorso
53.0,2021-02-16 00:00:00,Impfen statt Schwurbel !,Schwabentorring
54.0,2021-02-19 00:00:00,Klimagerechigkeit,Rathausplatz zum Hozmarktplatz
55.0,2021-02-20 00:00:00,Atomwaffenverbotsvertrag,Rathausplatz
56.0,2021-02-22 00:00:00,Trommeldemo – Rhythmus verbindet Menschen,"Dreisambrücke, Höhe SC Stadion – Richtung Sandfangweg – 
links der Dreisam zurück zum Ausgangspunkt"
57.0,2021-02-27 00:00:00,vegane Ernährung,Rathausplatz
58.0,2021-02-19 00:00:00,Gedenken an den Terroranschlag in Hanau,"Fahrradaufzug: Platz der Alten Synagoge - Werderring - Kronenstraße - Baslerstraße
 -Lörracherstraße, abbiegen mit einem kurzen Halt vor der LEA. Von dort aus dann die Eschholzstraße zurück - Engelbergerstraße - 
Wiwilibrücke – Sedanstraße - Platz der Alten Synagoge"
59.0,2021-02-21 00:00:00,"Freiheit, Frieden und Bewegung",Platz der Alten Synagoge
60.0,2021-02-20 00:00:00,Einwohnerantrag zu 5G in Freiburg,Kartoffelmakrt
61.0,2021-02-22 00:00:00,für ein menschenwürdiges Leben,Platz der Alten Synagoge
62.0,2021-02-20 00:00:00,Schluss mit dem Morden an Frauen,Platz der Alten Synagoge
63.0,2021-02-23 00:00:00,Lockup ! Her mit dem Leben !,Autokorso
64.0,2021-02-26 00:00:00,"für sichere und gerechte Bildung während der Corona
 Krise",Platz der Alten Synagoge
65.0,2021-02-26 00:00:00,Klimagerechigkeit,Rathausplatz nach Platz der Alten Synagoge
66.0,2021-02-26 00:00:00,gegen unverhälnismäßige Corona Maßnahmen,ZO
67.0,2021-02-26 00:00:00,Kunst zur Landtagswahl,Platz der Alen Synagoge
68.0,2021-02-25 00:00:00,gegen Baumfällung im Freiburger Metzgergrün,
69.0,2021-02-27 00:00:00,"Schaffen eines Bewusstseins für die Zusammnhänge
 von Klimawandel und Gesundheit",Fritz-Schieler-Platz
70.0,2021-02-27 00:00:00,"in Erinnerung an Boris Nemzow und an andere Opfer
politischer Verfogung in Russland",PdAS mit Aufzug
71.0,2021-02-28 00:00:00,"Freiheit, Frieden und Bewegung",Platz der Alten Synagoge
72.0,2021-03-01 00:00:00,Freiheit zum Ausdruck,Eschholzpark
73.0,2021-03-01 00:00:00,für ein menschenwürdiges Leben,Platz der Alten Synagoge
74.0,2021-03-02 00:00:00,Schluss mit Wahnsinn,Autokorso
75.0,2021-03-02 00:00:00,gegen Autokorso,Suwonallee Parkplatz
76.0,2021-03-08 00:00:00,Sorgearbeit ins Zentrum der Öffentlichkeit bringen,Rathausplatz
77.0,2021-03-06 00:00:00,gegen Rassismus im Rahmen des Landtagwahlkampfes,Fritz-Schieler-Platz
78.0,2021-03-03 00:00:00,auf die Probleme der Kulturschaffenden hinweisen,Maria-von-Rudloff-Platz
79.0,2021-03-04 00:00:00,gegen die unverhältnismäßigen Corona Maßnahmen,Rathausplatz
80.0,2021-03-05 00:00:00,150 Jahre Rosa Luxemburg,Mahnmal Rotteckring
81.0,2021-03-06 00:00:00,gesundheitlich Auswirkungen der Klimakrise,Platz der Alten Synagoge
82.0,"06.03.2021/
07.03.2021",Aktionscamp,Rathausplatz
83.0,2021-03-07 00:00:00,Landtagswahl,Platz der Alten Synagoge
84.0,2021-03-08 00:00:00,Trommeldemo – Rhythmus verbindet Menschen,"Dreisambrücke, Höhe SC Stadion – Richtung Sandfangweg – 
links der Dreisam zurück zum Ausgangspunkt"
85.0,2021-03-08 00:00:00,internationaler Frauentag,Platz der Alten Synagoge
86.0,2021-03-13 00:00:00,1 Jahr Kultur Lockdown - Freiburg lebt noch !,Platz der Alten Synagoge
87.0,"08.03.2021
15.03.2021",für ein menschenwürdiges Leben,Platz der Alten Synagoge
88.0,2021-03-09 00:00:00,solidarisch aus der Krise: Die Linke in den Landtag,PdAS
89.0,2021-03-09 00:00:00,Autokorso Dienstag,siehe Vorgang
90.0,2021-03-10 00:00:00,gegen unverhälnismäßige Corona Maßnahmen,PdAS
91.0,2021-03-11 00:00:00,Tarifvertrag Altenpflege,Herrenstraße 6
92.0,2021-03-13 00:00:00,Grundgesetze und aktuelle Maßnahmen,Augustinerplatz
93.0,2021-03-11 00:00:00,Ausstieg Tarifverhandlungen Thalia,Eisenbahnstraße 64
94.0,2021-03-11 00:00:00,10 Jahre Super Gau Fukushima,PdAS
95.0,2021-03-12 00:00:00,Atomwaffenverbotsvertrag,Rathausplatz
96.0,2021-03-13 00:00:00,Corona und die Folgen,siehe Vorgang
97.0,2021-03-13 00:00:00,gegen die Vergrößerung des Tagebaus Garzweiler,Stühlinger Kirchplatz
98.0,2021-03-13 00:00:00,Starke Frauen in Freiburg,Universitätsbibliothek mit Aufzug
99.0,2021-03-13 00:00:00,Solidarität mit den Geflüchteten,Lörracherstraße vor der LEA
100.0,2021-03-13 00:00:00,Klimawandel und Gesundheit,Stühlinger Kirchplatz
101.0,"13.03.2021
27.03.2021",vegane Ernährung,Rathausplatz
102.0,2021-03-14 00:00:00,der Musik eine Stimme !,PdAS
103.0,2021-03-14 00:00:00,Gedanken an die Syrische Revolution,PdAS
104.0,2021-03-15 00:00:00,Spontanversammlung,Rathausplatz
105.0,2021-03-05 00:00:00,gegen die unverhältnismäßigen Corona Maßnahmen,PdAS
106.0,2021-03-16 00:00:00,Autokorso Dienstag,siehe Vorgang
107.0,2021-03-16 00:00:00,Gegendemo Autokorso,Suwonallee Parkplatz
108.0,2021-03-18 00:00:00,Warnstreik Tarifrunde,siehe Vorgang
109.0,2021-03-18 00:00:00,Eldendsverwaltung von Geflüchteten in Lagern der EU,Freiaustraße mit Aufzug
110.0,2021-03-19 00:00:00,Fahrraddemo,PdAS mit Aufzug
111.0,"20.03.2021
22.03.2021",Trommeldemo – Rhythmus verbindet Menschen,Am Otiliensteg beim SC Stadion
112.0,2021-03-19 00:00:00,Kunstaktion,Wiwilibrücke
113.0,2021-03-20 00:00:00,Falund Dafa,PdAS
114.0,2021-03-22 00:00:00,Internationaler Wasserstag,Platz neben dem ZO
115.0,2021-03-20 00:00:00,Newroz,PdAS
116.0,2021-03-20 00:00:00,Grundgesetze und aktuelle Maßnahmen,PdAS
117.0,"22.03.2021
29.03.2021",für ein menschenwürdiges Leben,PdAS
118.0,2021-03-23 00:00:00,"Dietenbach, Haushalt, Trinkwaser",Bürgerhaus Zähringen
119.0,2021-03-19 00:00:00,Kunstaktion,Platz der Alten Synagoge
120.0,2021-03-19 00:00:00,Kunstaktion,Leopoldring
121.0,2021-03-23 00:00:00,"Mieten, keine Zwangsräumungen während der Pandemie",Stühlinger Kirchplatz
122.0,2021-03-23 00:00:00,Autokorso Dienstag,siehe Vorgang
123.0,2021-03-26 00:00:00,Right to movement - Palestine,Tanzbrunnen
124.0,2021-03-27 00:00:00,"für die Opfer und Unterdrückten des Militärputsches
in Myanmar",Augustinerplatz
125.0,2021-03-27 00:00:00,Grundgesetze und aktuelle Maßnahmen,PdAS
126.0,2021-03-27 00:00:00,"für eine gute Fuß- und Radinfrastruktur in der 
Friedhofstraße",westliche Fahrbahn der Friedhofstraße
127.0,2021-03-28 00:00:00,Elendsverwaltung von Geflüchteten in Lagern der EU,Freiaustraße mit Aufzug
128.0,2021-03-27 00:00:00,"Für unsere Kinder - wie geht es unseren Kindern in 
dieser Zeit ?",Augustinerplatz
129.0,2021-03-20 00:00:00,Bürgerantrag,Kartoffelmakrt
130.0,2021-03-22 00:00:00,Einsparungen im Pflegebereich,Bürgerhaus Zähringen
131.0,2021-03-18 00:00:00,Freiheit für alle Antifaschisten,PdAS mit Aufzug
132.0,2021-03-27 00:00:00,"für ehrlichen Journalismus und die Einhaltung des 
Pressecodex,  gegen Angstpropaganda, 
Manipulation und arglistische Täuschung. 
Wir fordern Antworten !","Lörracherstraße, vor der BZ"
133.0,2021-03-27 00:00:00,Housing Action Day 2021,Fritz-Schieler-Platz mit Aufzug
134.0,2021-03-27 00:00:00,Rebellion of one,3 verschiedene Straßen
135.0,2021-03-31 00:00:00,wegen Ablehnung des Tarifvertrags Altenpflege,Karlstraße 40
136.0,2021-03-30 00:00:00,"für Selbstbestimmung, Frieden und Freiheit",Autokorso
137.0,2021-03-30 00:00:00,5 Jahre Paris...nix passiert !,Bäume vor dem RIS
138.0,2021-04-04 00:00:00,Situation der Geflüchteten auf dem Mittelmeer,PdAS
139.0,2021-04-09 00:00:00,Mahnwache für die Tiere,"Tullastraße 73, Schlachthof"
140.0,"10.04.2021
17.04.2021",vegane Ernährung,Rathausplatz
141.0,2021-04-05 00:00:00,für ein menschenwürdiges Leben,PdAS
142.0,2021-04-06 00:00:00,"Frieden, Freiheit für alle Menschen",Autokorso
143.0,2021-04-10 00:00:00,Regieren heißt an ALLE denken,PdAS mit Aufzug
144.0,2021-04-07 00:00:00,Gedenktag Jom haschoah,PdAS
145.0,2021-04-08 00:00:00,gegen unverhälnismäßige Corona Maßnahmen,PdAS
146.0,"12.04.2021
19.04.2021",für ein menschenwürdiges Leben,PdAS
147.0,2021-04-10 00:00:00,Zero Covid - Day of Action,PdAS
148.0,2021-04-17 00:00:00,für die Opfer in Myanmar,PdAS
149.0,2021-04-10 00:00:00,Bürgerantrag zu 5G,Kartoffelmarkt
150.0,2021-04-13 00:00:00,"Der Wahnsinn muss ein Ende haben !
Fü Freiheit und Menschenwürde",Autokorso
151.0,2021-04-10 00:00:00,"Rückkehr der türkischen Regierung in die Istanbul 
Konvention",PdAS
152.0,2021-04-10 00:00:00,Flashmob alle HK et les saltimbanques,"Münserplatz und Kajo, Höhe Müller"
153.0,2021-04-13 00:00:00,"Macht endlich Lockdown, statt gefährlicher Modellversuche","Gegendemo Autokorso, Suwonallee"
154.0,2021-04-17 00:00:00,"Auf die Drahtesel zum Tag des kleinbäuerlichen Wider-
stands",ab Stühlinger Kirchplatz
155.0,2021-04-14 00:00:00,Solidarität mit den Geflüchteten,vor der LEA (Lörracherstraße und Müllheimerstraße)
156.0,2021-04-18 00:00:00,"Auf die Plätze fertig los ! Radtour zu pontenziellen 
Grundstücken für einen neuen Wagenplatz",Trefpunkt Eschholzstraße/Staudingerstraße
157.0,2021-04-16 00:00:00,Gleich und Berechtigt - 50 Jahre Frauenordination,Karlssteg
158.0,2021-04-17 00:00:00,Verfolgung Falun Dafa,PdAS
159.0,"19.04., 26.04.,
 03.05., 10.05., 
17.05., 31.05., 
07.06., 14.06., 
21.06., 28.06., 
05.07. und 
12.07.2021",„Soziale Ungerechtigkeit; Umweltschutz; Frieden“,Ecke Bertoldstraße / Niemenstraße
160.0,2021-04-18 00:00:00,Umweltschutz Georgien Wasserkraftwerk,PdAS
161.0,2021-04-17 00:00:00,Einwohnerantrag zu 5G in Freiburg,Kartoffelmarkt
162.0,2021-04-20 00:00:00,"Frieden und Frei, Schluss mit der Corona Diktatur",Autokorso
163.0,2021-04-22 00:00:00,Earth Day 2021,PdAS
164.0,2021-04-23 00:00:00,"für gerechte Bildung, für sichere Schulen",PdAS
165.0,"20.04.2021,
27.04.2021",Dietenbach ist überall,vor dem Bürgerhaus Zähringen
166.0,2021-04-21 00:00:00,Für die Freiheit,Platz der Alten Synagoge – Bertoldstraße – Bertoldsbrunnen – Euro-paplatz – Friedrichring – Friedrichstraße – Bismarckallee – Bertoldstra-ße – Platz der Alten Synagoge. 
167.0,2021-04-22 00:00:00,Folgen Corona-Maßnahmen,Rathausplatz
168.0,2021-04-23 00:00:00,"Klimawandel, Aufruf von US Präsidenten",Kajo
169.0,2021-04-23 00:00:00,Gerechtigkeit für Pia Seiler,Holzmarkt - Kajo - Europaplatz
170.0,2021-04-24 00:00:00,Mahnwache für Frieden und Abrüstung,Rathausplatz
171.0,2021-04-24 00:00:00,Freiburgs Asylpolitik am Scheideweg – die Evaluation der LEA Freiburg,PdAS zur LEA
172.0,2021-04-26 00:00:00,Abrüstung,PdAS
173.0,2021-04-24 00:00:00,Fashion Revolution,Unterlinden zum Rathausplatz
174.0,2021-04-24 00:00:00,Einwohnerantrag zu 5G in Freiburg,Augustinerplatz
175.0,2021-04-26 00:00:00,für ein menschenwürdiges Leben,vor der Uni Bibliothek
176.0,2021-05-15 00:00:00,"Gednktag für die palästinensichen Vertriebenen und 
Geflüchteten",PdAS zum Konrad-Adenauer-Platz
177.0,2021-04-27 00:00:00,"Beschleunigung der Verkehrswende beim Fuss-und 
Radentverkehr",Bürgerhaus Zähringen
178.0,2021-04-27 00:00:00,"Beseitigung des Grundgesetzes, Trauerzug zu ehren der
gestorbenen Freiheit ",Autokorso
179.0,2021-04-30 00:00:00,vegane Ernährung,Rathausplatz
180.0,2021-04-28 00:00:00,Support Nationwide Strike in Colombia from Freiburg,PdAS
181.0,2021-04-29 00:00:00,Wieder Krieg in Kurdistan,PdAS
182.0,2021-04-30 00:00:00,Vorabendkundgebung zum 01. Mai,Fritz-Schieler-Platz
183.0,2021-04-30 00:00:00,gegen Ausnahmezustand und Krise...,EKZ Weingarten
184.0,2021-05-01 00:00:00,01. Mai Kundgebung,PdAS mit Aufzug
185.0,2021-05-01 00:00:00,"Erinnern und nicht vergessen, eine anifaschistische 
Kundgebung und die Enthüllung das Mahnmals für 
Zwangsarbeiter, die unter dem NS in der Grether'schen
Fabrik zur Arbeit gezwungen wurden",Grethergelände
186.0,2021-05-04 00:00:00,gegen die Corona-Maßnahmen,Autokoros
187.0,2021-05-04 00:00:00,Gegendemo Autokorso,beim Start vom Autokorso
188.0,2021-05-05 00:00:00,"Gegen Rechtsextremismus, Antisemitismus und 
Rassismus",Rathausplatz
189.0,2021-05-06 00:00:00,gegen die Corona-Maßnahmen,PdAS
190.0,2021-05-07 00:00:00,Tierrechte,"Ampelaktion, Ecke Stefan-Meier-Straße/Friedrichring"
191.0,2021-05-07 00:00:00,"Fridaysforfuture Mahnwache vor dem SPD Büro, um die SPD aufzufordern an dem Parteitag am 09.05.2021 ausreichend Klimaschutzmaßnahmen zu beschließen",Merzhauser Straße 4
192.0,2021-05-08 00:00:00,Gedenktag,Mahnmal Rotteckring
193.0,2021-05-08 00:00:00,Verfolgung Falun Dafa,PdAS
194.0,2021-05-08 00:00:00,Evakuierung der Geflüchteten-Camps an den EU-Außengrenzen,PdAS
195.0,2021-05-08 00:00:00,Warnstreik K&U Bäckerei,vor der K&U Filiale Hauptbahnhof
196.0,2021-05-08 00:00:00,Einwohnerantrag zu 5G in Freiburg,Augustinerplatz
197.0,2021-05-09 00:00:00,Tiermütter,Seeparkgelände
198.0,2021-05-10 00:00:00,"Gedenk- und Mahnspaziergang gegen Krieg 
und Faschismus","Einfahrt zwischen Eschholzstr. 86/ Escholzstr.92
- Eschholzstr. (laut Veranstalter wird auf der
 Straße gelaufen) -  Hebelschule Schulhof  - Engelbergerstr. - Stühlinger Kirchplatz - Klarastr. - Kreuzstr. - Hildaspielplatz (dort Abschluss)"
199.0,2021-05-10 00:00:00,menschwürdiges Leben (gegen Corona-Maßnahmen),Universitätsbibliothek bei den Sitzschalen
200.0,2021-05-05 00:00:00,Support Nationwide Strike in Colombia from Freiburg,PdAS
201.0,2021-05-11 00:00:00,Frieden und Freiheit,Autokorso
202.0,2021-05-13 00:00:00,Marsch des Lebens - Gedenken an die Holocaustopfer,"Neue Synagoge, Nussmannstr. 14"
203.0,2021-05-15 00:00:00,Mahnwache zum Thema Klimawandel und Gesundheit,Plaz der Alten Synagoge
204.0,2021-05-15 00:00:00,Ersatzlose Streichung des § 218 aus dem Strafgesetzbuch,Platz der Alten Synagoge
205.0,"15.05.2021
 auf 16.05.2021",Protestcamp,Augustinerplatz
206.0,"15.05.2021
22.05.2021",vegane Ernährung,Rathausplatz
207.0,2021-05-12 00:00:00,Klimaschutz,"CDU Geschäftstelle, Eisenbahnstraße"
208.0,2021-05-13 00:00:00,Kolumbien,PdAS
209.0,2021-05-14 00:00:00,Wie schützen wir unsere Kinder vor Krankheit u. Isolation,PdAS
210.0,2021-05-15 00:00:00,Wie gehen wir mit den Kollateral Schäden um,Stühlinger Kirchplatz
211.0,2021-05-15 00:00:00,Einwohnerantrag zu 5G in Freiburg,Augustinerplatz
212.0,2021-05-15 00:00:00,Mahnwache für das ungeborene Leben,PdAS
213.0,2021-05-17 00:00:00,"internationale Tag gegen Homo-, Bi-, Trans.-
 Interfeindlichkeit",Wiwilibrücke
214.0,2021-05-15 00:00:00,Schabbatgottesdienst,Synagogenbrunnen
215.0,2021-05-15 00:00:00,Gottesdienst,Synagogenbrunnen
216.0,2021-05-18 00:00:00,Allos Schwarzwald GmbH Freiburg,Werksgelände von Allos
217.0,2021-05-18 00:00:00,Rote Linie – Impfpflicht für Kinder ,Autokorso
218.0,2021-06-05 00:00:00,Weltfrieden durch inneren Frieden,Stadtgarten
219.0,2021-05-22 00:00:00,"Informieren die in Freiburg lebenden Menschen über die 
Probleme, die derzeit in Kolumbien auftreten. Sammeln 
von verschiedenen Hilfsmitteln, Unterstützung für 
Menschen, die von der Regierung misshandelt wer-den.",PdAS
220.0,2021-05-22 00:00:00,Die Präsidentschaftswahl in Peru,PdAS
221.0,2021-05-23 00:00:00,"Umweltschutz (Wir protestieren gegen 
den Bau eines Wasserkraftwerks in 
einer der Regionen Georgiens)",PdAS
222.0,2021-05-22 00:00:00,"5 vor 12, Alters- und Inzidenzunabhängige Öffnung aller 
Bildungseinrichtung (Schule, Sport, Musik und Kultur)",Rathausplatz
223.0,2021-05-22 00:00:00,Einwohnerantrag zu 5G in Freiburg,Augustinerplatz
