Nr.,Datum,Grund/Anlass,Ort bzw. Wegstrecke,Unnamed: 4,Unnamed: 5,Unnamed: 6
166.0,2019-07-12 00:00:00,Klimaschutz / Klimagerechtigkeit,Rathausplatz - Rathausgasse - Kaiser-Joseph-Straße - Bertoldsbrunnen - Bertoldstraße - Platz der Alten Synagoge,,,
167.0,2019-07-16 00:00:00,Mobilfunk und Gesundheit,Bertoldstraße / Platz der Alten Synagoge,,,
168.0,2019-07-11 00:00:00,Zusammenstehen gegen den rechten Terror,Platz der Alten Synagoge,,,
169.0,2019-07-19 00:00:00,Mahnwache für den Frieden,Rotteckring / Rathausgasse,,,
170.0,2019-08-03 00:00:00,Tierrechte,Bertoldsbrunnen (vor Vodafone-Shop),,,
171.0,2019-07-18 00:00:00,Vegane Ernährung,Rathausplatz,,,
172.0,2019-07-24 00:00:00,"Zusammenstehen gegen die Rechten - auf der Straße, im Stadtrat, überall: keine Akzeptanz der AfD!",Rathausplatz,,,
173.0,"18.07.2019
19.07.2019",Weltfrieden durch inneren Frieden,"Rathausgasse 50 – Rathausplatz – Kaiser-Joseph-Straße – Nußmannstraße – Conrad-Gröber-Straße – Münsterplatz – Eisenstraße – Schusterstraße – Augustinergasse – Salzstraße – Augustinerplatz – Grünwälderstraße – Kaiser-Joseph-Straße – Niemensstraße – Universitätsstraße – Rathausplatz – Rathausgasse – Ecke Rotteckring/Eisenbahnstraße, Auflösung",,,
174.0,2019-07-19 00:00:00,Kreidezeichnungen zum Thema Tierrechte,Wunsch: Platz der Alten Synagoge oder Platz der Weißen Rose,,,
175.0,2019-07-26 00:00:00,Klimagerechtigkeit,Platz der Alten Synagoge,,,
176.0,"23.07.2019
25.07.2019
26.07.2019
27.07.2019",Schluss mit den völkerrechtswidrigen Kriegen und Besatzungen der Türkei in Südkurdistan und Westkurdis-tan - Schluss mit den Waffengeschäften aus der Bundesrepublik - Schluss mit der Unterstützung des totalitären Regimes der Türkei durch die Bundesrepublik,"23.07.2019:
Platz der Alten Synagoge – Bertoldstraße – Bertoldsbrunnen (Zwischenkundgebung) – Salzstraße – Augustinerplatz (Zwischenkundgebung) – Gerberau – Kaiser-Joseph-Straße – Bertoldsbrunnen (Zwischenkundgebung) – Bertoldstraße – Platz der Alten Synagoge (Abschlusskundgebung, Auflösung)

25.07.-27.07.19 Platz der Alten Synagoge",,,
177.0,2019-07-26 00:00:00,"""Investition der Deutschen Bank in Braunkohle und Rüstung""",Rotteckring 3 (vor der Deutschen Bank),,,
178.0,2019-08-03 00:00:00,"""Earthvershootday""",Gerberau 12-14,,,
179.0,"05.10.2019
19.10.2019
02.11.2019
16.11.2019
30.11.2019
28.12.2019",Vegane Ernährung,Kaiser-Joseph-Straße / Engelbergstraße,,,
180.0,2019-07-29 00:00:00,Earth Overshoot Day,Kaiser-Joseph-Straße ,,,
181.0,2019-08-03 00:00:00,Gedenken an den Feminizid an den Ezidinnen durch den IS,Kartoffelmarkt,,,
182.0,2019-07-26 00:00:00,,Habsburgerstraße ,,,
183.0,2019-08-03 00:00:00,Friedensdemo für junge Leute - Impulse für die Zukunft,Platz der Alten Synagoge,,,
184.0,2019-08-06 00:00:00,Hiroshima-Tag,Rathausplatz (Rathausplatz – Merianstraße – Schiffstraße – Kaiser-Joseph-Straße – Löwenstraße – Niemensstraße – Bertoldstraße (bis Platz der Alten Synagoge) – Bertoldstraße (zurück) – Universitätsstraße – Rathausplatz),,,
185.0,2019-08-02 00:00:00,Investition der Deutschen Bank in Braunkohle und Rüstung,"vor Filiale der Deutschen Bank, Rotteckring 3, 79098 Freiburg",,,
186.0,2019-09-20 00:00:00,Klimastreik,Platz der Alten Synagoge (Route wird noch nachgereicht),,,
187.0,2019-08-03 00:00:00,Die Verfolgung von Falun Dafa in China und was ist Falun Dafa,Platz der Alten Synagoge,,,
188.0,"07.08.2019
14.08.2019",Vegane Ernährung,Rathausplatz,,,
189.0,2019-08-06 00:00:00,TUI Ticketverkauf Sea World,Grünwälderstraße vor dem TUI Reisecenter und am Augustinerplatz,,,
190.0,"10.08.2019
11.08.2019",100 Jahre Deutschland als weltanschaulich neutraler Staat,"Platz der Alten Synagoge
Ecke Eisenstraße / Münsterstraße ",,,
191.0,12.08.19; 19.08.19; 26.08.19; 02.09.19; 09.09.19; 16.09.19; 23.09.19; 30.09.19; 07.10.19; 14.10.19; 21.10.19; 28.10.19; 04.11.2019,"""Soziale Ungerechtigkeit; Umweltschutz; Frieden…""",Ecke Bertoldstraße/Niemensstraße,,,
192.0,2019-08-15 00:00:00,Bürgerdialog der SPD-Bundestagsfraktion,Platz der Alten Synagoge,,,
193.0,2019-09-29 00:00:00,Freiburger Kippa-Tag,Neue Synagoge - Engelstr. - Kajo - Bertoldstr. - PdAS,,,
194.0,2019-11-17 00:00:00,Einweihung einer neuen Thorarolle,PdAS - Bertoldstr. - Kajo - Neue Synagoge,,,
195.0,2019-08-08 00:00:00,Klimawandel,Shell Tankstelle Habsburgerstraße ,,,
196.0,"23.08.2019,
13.09.2019",Mahnwache für den Frieden,Bertoldsbrunnen,,,
197.0,2019-09-02 00:00:00,Kundgebung anlässlich des Antkriegstages,Rotteckring (bei dem Mahnmal Ecke Rathausgasse) – Rathausgasse – Merianstraße – Schiffstraße - Kaiser-Joseph-Straße – Europaplatz (Zwischenkundgebung) – Kaiser-Joseph-Straße – Bertoldstraße - Rotteckring (bis zum Mahnmal),,,
198.0,2019-09-14 00:00:00,Internationaler Tag der Demokratie,Platz der Alten Synagoge,,,
199.0,"23.08.2019
24.08.2019",Tiere raus aus dem Zirkus,Vor dem Zirkuszelt auf dem Messegelände,,,
200.0,2019-08-16 00:00:00,Investition der Deutschen Bank in Braunkohle und Rüstung,"vor Filiale der Deutschen Bank, Rotteckring 3, 79098 Freiburg",,,
201.0,"19.08.2019
20.08.2019",Recht (StGB und stopp); Gründe für das Handeln von Menschen; Wirtschaft; wertinzeit.de; mögliche Vereins-gründung und Anmeldung für eine geschlossene Ge-sellschaft; Erziehung der Bürger,Platz der Alten Synagoge,,,
202.0,2019-08-17 00:00:00,,Aral-Tankstelle Leo-Wohleb-Straße 2,,,
203.0,2019-08-19 00:00:00,"Protest gegen die autoritäre, undemokratische und kriegshetzerische türkische Politik",Platz der Alten Synagoge,,,
204.0,2019-08-24 00:00:00,"Protest gegen die autoritäre, undemokratische und kriegshetzerische türkische Politik",Platz der Alten Synagoge,,,
205.0,"25.08.2019
26.08.2019
27.08.2019
28.08.2019
29.08.2019
30.08.2019
31.08.2019
01.09.2019
02.09.2019
03.09.2019",Tiere raus aus dem Zirkus,Vor dem Zirkuszelt auf dem Messegelände,,,
206.0,2019-08-23 00:00:00,Aufmerksam machen auf die Rodung und Abholzung im Amazonasgebiet; allgemeiner Klimawandel,Platz der Alten Synagoge – Rempartstraße – Kaiser-Joseph-Straße – Europaplatz – Friedrichring – Rotteckring – Platz der Alten Synagoge. ,,,
207.0,2019-10-18 00:00:00,Sensibilisierung gegen weltweit bestehende Sklaverei,Platz der Alten Synagoge,,,
208.0,2019-09-14 00:00:00,Friedensdemo für junge Leute - Impulse für die Zukunft,Platz der Alten Synagoge,,,
209.0,2019-09-02 00:00:00,Mahnwache für die Tiere,"Tullastraße 73, 79108 Freiburg i. Br.",,,
210.0,2019-08-31 00:00:00,Ein Park ohne Hecken,Stühlingerplatz,,,
211.0,2019-08-30 00:00:00,Klimagerechtigkeit,Platz der Alten Synagoge – Bertoldstraße – Universitätsstraße – Rathausplatz - Rathausgasse – Kaiser-Joseph-Straße – Bertoldsbrunnen – Kaiser-Joseph-Straße – Münsterstraße – Münsterplatz (eventuell eine Runde um den Münsterplatz) - Marktgasse – Kaiser-Joseph-Straße – Europaplatz ,,,
212.0,"30.08.2019
31.08.2019 
und 01.09.2019",Protest- und Aufmerksamkeitsaktion für die Erhaltung der Erde und der Lebensgrundlage für alle auf ihr existierenden Lebewesen - Mahnwache,Platz der Alten Synagoge,,,
213.0,2019-09-04 00:00:00,Vegane Ernährung,Bertoldsbrunnen,,,
214.0,2019-09-14 00:00:00,Mit Rad zum Bad,PdaS-Sedanstraße-Bismarckallee-B31-B3-An den Heilquellen,,,
215.0,2019-09-07 00:00:00,Operation Bienenstock - Blockade-Aktion in Freiburg,"Treffpunkt Rathausplatz, Rest unbekannt",,,
216.0,2019-09-04 00:00:00,Mobilfunk und Gesundheit,Platz der Alten Synagoge,,,
217.0,2019-09-20 00:00:00,Klimagerechtigkeit,Platz der Alten Synagoge - Bertoldstraße - Salzstraße - Oberlinden - Schwabentor - Schlossbergring - Leopoldring - Europaplatz - Kaiser-Joseph-Straße - Rathausgasse - Rathausplatz - Merianstraße - Fried-richring - Fahnenbergplatz - Rotteckring - Platz der Alten Synagoge.  ,,,
218.0,2019-09-05 00:00:00,Klimagerechtigkeit,Platz der Alten Synagoge – Bertoldstraße – Bertoldsbrunnen – Kaiser-Joseph-Straße – Europaplatz – Friedrichring – Fahnenbergplatz – Rotteckring – Platz der Alten Synagoge  ,,,
219.0,2019-09-14 00:00:00,Weltfrieden durch inneren Frieden,Rathausgasse 50 – Kaiser-Joseph-Straße – Karstadt – Kaiser-Joseph-Straße – Martinstor – Niemensstraße – Universtitätsstraße – Rathausplatz – Rathausgasse 50,,,
220.0,2019-09-28 00:00:00,Proberaummangel in Freiburg / Musikzentrale am Gü-terbahnhof,Zollhallenplatz,,,
221.0,"09.09. bis
04.10.2019",tägliche Mahnwache: Der globale Klimawandel,Platz der Alten Synagoge,,,
222.0,2019-09-05 00:00:00,Solidarische Prozessbeteiligung,vor Amtsgericht Freiburg,,,
223.0,2019-10-25 00:00:00,Raven gegen Rechtsruck und Repression - Nachttanzdemo,Stühlingerplatz,,,
224.0,2019-09-12 00:00:00,Vegane Ernährung,Bertoldsbrunnen,,,
225.0,2019-09-20 00:00:00,Klimaschutz ,Alfred-Döblin-Platz – Vaubanallee – Merzhauser Straße – Basler Straße - Kronen-straße – Werthmannstraße – Platz der Alten Synagoge. ,,,
226.0,"14.09.2019
21.09.2019
28.09.2019",Operation Bienenstock - Blockade-Aktion in Freiburg,"Treffpunkt Rathausplatz, Rest unbekannt",,,
227.0,2019-09-20 00:00:00,Friday for future/Schulkinder singen zwei Lieder und malen mit Straßenkreide,Maria-von-Rudloff-Platz,,,
228.0,2019-09-20 00:00:00,Klimaschutz/ Fahrradkorso zur Fridays For Future De-mo,Ecke Falkenberger Straße / Elsässer Straße (9.25 Uhr) – Elsässer Straße (Ecke El-sässer Straße / Berliner Allee 9.35 Uhr) – Berliner Allee – Lehener Straße – Fehren-bachallee (Platz vor dem Rathaus im Stühlinger 9.45 Uhr) – Wannerstraße – Went-zinger Straße - Wiwilibrücke – Konrad-Adenauer-Platz – Sedanstraße – Platz der Alten Synagoge. ,,,
229.0,2019-10-23 00:00:00,Gedenkfeier Deportation nach Gurs,"Platz der Alten Synagoge, im Anschluss Schweigemarsch zur Wiwilibrücke",,,
230.0,2019-09-21 00:00:00,"Mobilfunk, 5G freies Freiburg",Augustinerplatz,,,
231.0,"23.09.2019
24.09.2019",Investition der Banken in fossile Brennstoffe,"23.09.2019: 
Vor der Filiale der Deutschen Bank, Rotteckring 3, 79098 Freiburg

24.09.2019:
Vor der Sparkassenfiliale, Franziskanerstraße 5, 79098 Freiburg",,,
232.0,2019-09-19 00:00:00,Singen für's Klima,Platz der Alten Synagoge,,,
233.0,2019-10-02 00:00:00,Kundgebung und Mahnwache zum Gedenktag der Psychiatrietoten,Platz der Alten Synagoge,,,
234.0,"05.10.2019
02.11.2019",Die Verfolgung von Falun Dafa in China und was ist Falun Dafa,Platz der Alten Synagoge,,,
235.0,2019-09-20 00:00:00,Klimaschutz-Wanderung,Paula-Modersohn-Platz - Vaubanallee - Astrid-Lindgren-Straße - Vaubanallee - Paula-Modersohn-Platz,,,
236.0,2019-10-19 00:00:00,Walk for freedom 2019,Stühlingerplatz – Wiwilibrücke – Konrad-Adenauer-Platz – Bismarckallee – Eisen-bahnstraße – Rathausgasse – Rathausplatz (einmal über den Rathausplatz) - Rat-hausgasse – Kaiser-Joseph-Straße – Münsterstraße – Münsterplatz (einmal über den Münsterplatz) – Herrenstraße – Oberlinden – Schwabentor (dort Wendung) – Oberlinden – Salzstraße – Augustinerplatz – Gerberau – Kaiser-Joseph-Straße – Europaplatz (dort Wendung) – Kaiser-Joseph-Straße – Bertoldsbrunnen – Bertold-straße – Platz der Alten Synagoge (Kundgebung),,,
237.0,2019-09-26 00:00:00,Vegane Ernährung,Bertoldsbrunnen,,,
238.0,2019-09-25 00:00:00,Investitionen der Commerzbank in Braunkohle und Rüstung,"vor der Filiale der Commerzbank, Kaiser-Joseph-Straße 251, ",,,
239.0,2019-09-26 00:00:00,Investitionen der Commerzbank in Braunkohle und Rüstung,Rotteckring 3 (Deutsche Bank) – Am Schwarzen Kloster – Brunnenstraße – Rat-hausgasse – Rathausplatz – Franziskanerstraße – Kaiser-Joseph-Straße 186-190 (Sparkasse Freiburg) – Kaiser-Joseph-Straße 251 (Commerzbank Freiburg).,,,
240.0,2019-09-28 00:00:00,International Safe Abortion Day,Rathausplatz,,,
241.0,2019-09-25 00:00:00,"Mahnwache „Wir fürchten uns nicht, wir schweigen nicht, wir nehmen nicht hin. - Wir wollen kein Männer-recht, sondern Gerechtigkeit“",Rathausplatz,,,
242.0,2019-09-28 00:00:00,"Aktion zum Thema ""Fleisch""",Platz der Alten Synagoge ,,,
243.0,2019-10-01 00:00:00,Tierrechte,Platz der Alten Synagoge,,,
244.0,immer freitags,FFH - Fridays For Hubraum,Hauptbahnhof und Aufzug durch die Innenstadt,bis hier Erfassung für das 3. Quartal,,
245.0,2019-10-10 00:00:00,Tag gegen die Todesstrafe,Platz der Alten Synagoge,,,
246.0,2019-10-22 00:00:00,Gedenken der Opfer der Deportation vom 22.10.1940,Platz der Alten Synagoge,,,
247.0,2019-10-12 00:00:00,Forst- und Landwirtschaft im Amazonas Gebiet,Platz der Alten Synagoge,,,
248.0,2019-10-12 00:00:00,"Von der Stadtverwaltung geforderte Erpressung durch ihr untergeordnetes öffentliches Unternehmen VAG und deren Vorstand (Strafgeld). § 253 StGB. § 213 a bulgarisches StGB. wertinzeit.de
",Platz der Alten Synagoge,,,
249.0,"30.11.2019
14.12.2019",Vegane Ernährung,Bertolsbrunnen,,,
250.0,2019-10-08 00:00:00,"Türkei raus aus Kurdistan, Schluss mit dem verbrecherischen Kriegstreiben der Türkei, Schluss mit der Unterstützung durch die Bundesrepublik",Platz der Alten Synagoge – Bertoldstraße – Bertoldsbrunnen (Zwischenkundgebung) – Salzstraße – Augustinerplatz (Zwischenkundgebung) – Gerberau – Martinstor – Kaiser-Joseph-Straße – Bertoldsbrunnen (Zwischenkundgebung) –  Bertoldstraße - Platz der Alten Synagoge (Abschlusskundgebung) ,,,
251.0,2019-10-15 00:00:00,Solidarität mit Langenselbold,"Parkplatz der Phadia GmbH, Jechtinger Straße 4-6 Richtung Munzinger Straße 7 (Haupteingang der Phadia GmbH), auf dem Gehweg",,,
252.0,2019-10-12 00:00:00,"Türkei raus aus Kurdistan, Schluss mit dem verbrecherischen Kriegstreiben der Türkei, Schluss mit der Unterstützung durch die Bundesrepublik","PdAS - Bertoldstraße - Bertoldsbrunnen - Salzstraße - Augustinerplatz - Gerberau - Martinstor - Kaiser-Joseph-Straße, Bertoldsbrunnen - Bertoldstraße - Platz der Alten Synagoge ",,,
253.0,2019-10-15 00:00:00,Investitionsgeschäfte der Sparkassengruppe,Kaiser-Joseph-Straße 186-190 (Sparkasse Freiburg),,,
254.0,2019-10-12 00:00:00,Volksbegehren Artenschutz – Rettet die Bienen,Platz der Alten Synagoge,,,
255.0,2019-10-10 00:00:00,"Türkei raus aus Kurdistan, Schluss mit dem verbreche-rischen Kriegstreiben der Türkei, Schluss mit der Unter-stützung durch die Bundesrepublik",Platz der Alten Synagoge – Bertoldstraße – Bertoldsbrunnen (Zwischenkundgebung) – Salzstraße – Augustinerplatz (Zwischenkundgebung) – Gerberau – Kaiser-Joseph-Straße – Bertoldsbrunnen (Zwischenkundgebung) – Bertoldstraße – Platz der Alten Synagoge (Abschlusskundgebung) ,,,
256.0,2019-10-11 00:00:00,Mahnwache zum Klimaschutz,Platz der Alten Synagoge,,,
257.0,2019-10-09 00:00:00,Türkei raus aus Kurdistan - Einmarsch türkischer Truppen in Syrien,Platz der Alten Synagoge – Bertoldstraße – Bertoldsbrunnen (Zwischenkundgebung) – Salzstraße – Augustinerplatz (Zwischenkundgebung) – Gerberau – Kaiser-Joseph-Straße – Bertoldsbrunnen (Zwischenkundgebung) – Bertoldstraße – Platz der Alten Synagoge (Abschlusskundgebung) ,,,
258.0,2019-10-11 00:00:00,Türkei raus aus Kurdistan,Platz der Alten Synagoge,,,
259.0,2019-10-18 00:00:00,Mahnwache für den Frieden,Bertoldsbrunnen,,,
260.0,2019-10-15 00:00:00,Forderung Einführung CO 2 Abgabe,Sautierstraße 24 Finanzamt Freiburg,,,
261.0,"14.10.2019
15.10.2019 
15.10.2019 
17.10.2019
18.10.2019
","Türkei raus aus Kurdistan, Erdogan vors Kriegsverbre-chergericht nach Den Haag, Schluss mit dem verbre-cherischen Kriegstreiben der Türkei, Schluss mit der Unterstützung durch die Bundesrepublik. ","14.10.2019: Platz der Alten Synagoge – Bertoldstraße – Bertoldsbrunnen (Zwischenkundgebung) – Salzstraße – Augustinerplatz (Zwischenkundgebung) – Gerberau – Kaiser-Joseph-Straße – Bertoldsbrunnen (Zwischenkundgebung) – Bertoldstraße – Platz der Alten Synagoge (Abschlusskundgebung, Auflösung)

15.10.2019: ortsfest in Kaiser-Joseph-Straße 229 vor der Badischen Zeitung

15.10.2019: ortsfest in Kartäuserstraße 45 vor dem SWR Studio Freiburg

17.10.2019: Fehrenbachallee 12 vor dem Rathaus im Stühlinger

18.10.2019: Platz der Alten Synagoge – Bertoldstraße – Bertoldsbrunnen – Kaiser-Joseph-Straße (Zwischenkundgebung vor dem Regierungspräsidium Freiburg) – Auf der Zinnen – Herrenstraße – Oberlinden – Salzstraße – Augustinerplatz (Zwischenkundgebung) – Gerberau – Kaiser-Joseph-Straße – Bertoldsbrunnen (Zwischenkundgebung) – Bertoldstraße – Platz der Alten Synagoge (Abschlusskundgebung, Auflösung)
",,,
262.0,2019-10-12 00:00:00,No PolG BW,Platz der Alten Synagoge,,,
263.0,2019-10-13 00:00:00,kurdische Kundgebung,Platz der Alten Synagoge,,,
264.0,2019-10-16 00:00:00,Freiburg 5G-frei,Platz der Alten Synagoge vor der Buchhandlung Walthari,,,
265.0,2019-10-11 00:00:00,"""Inkompetenz der Stadtverwaltung bei der Einführung von 'erforderlichen Terminvereinbarungen' im Bürgerservicezentrum. Dieselbe bedient nur mehr freie Zeit für die Beamten und weniger Transparenz in der Arbeit. Beamte sind unsere Angestellten und werden von uns (Bürger) bezahlt. Grammatische Fehler Infoschild 'Schiebetüren' "".","Rathaus im Stühlinger, Fehrenbachallee 12",,,
266.0,2019-10-18 00:00:00,Investitionen der Sparkasse in Braunkohle und Rüstung,Vor der Sparkasse in der Kaiser-Joseph-Straße 186,,,
267.0,2019-10-19 00:00:00,Volksbegehren Artenschutz – Rettet die Bienen,Platz der Alten Synagoge,,,
268.0,2019-10-19 00:00:00,"Türkei raus aus Kurdistan, Erdogan vors Kriegsverbre-chergericht nach Den Haag, Schluss mit dem verbre-cherischen Kriegstreiben der Türkei, Schluss mit der Unterstützung durch die Bundesrepublik. ","Platz der Alten Synagoge – Bertoldstraße – Bertoldsbrunnen – Kaiser-Joseph-Straße (Zwischenkundgebung vor dem Regierungspräsidium Freiburg) – Auf der Zinnen – Herrenstraße – Oberlinden – Salzstraße – Augustinerplatz (Zwischenkundgebung) – Gerberau – Kaiser-Joseph-Straße – Bertoldsbrunnen (Zwischenkundgebung) – Bertoldstraße – Platz der Alten Synagoge (Abschlusskundgebung, Auflösung)",,,
269.0,2019-10-18 00:00:00,Klimagerechtigkeit,Platz der Alten Synagoge - Bertoldsstraße - Bertoldstraße (Kundgebung) - Bertoldstraße - Platz der Alten Synagoge,,,
270.0,2019-10-19 00:00:00,Friedensdemo für junge Leute - Impulse für die Zukunft,Platz der Alten Synagoge,,,
271.0,2019-10-16 00:00:00,Akut verschärfte Bedrohungslage in Gire Spi und Sere-kaniye durch die völkerrechtswidrig den Norden und Osten Syriens besetzende türkische Armee,"Platz der Alten Synagoge – Bertoldstraße – Bertoldsbrunnen (Zwischenkundgebung)  – Salzstraße – Augustinerplatz– Gerberau – Kaiser-Joseph-Straße – Bertoldsbrunnen (Zwischenkundgebung) – Bertoldstraße – Platz der Alten Synagoge (Abschlusskundgebung, Auflösung)",,,
272.0,"21.10.2019
23.10.2019
24.10.2019
25.10.2019
26.10.2019
","Türkei raus aus Kurdistan, Erdogan vors Kriegsverbre-chergericht nach Den Haag, Schluss mit dem verbre-cherischen Kriegstreiben der Türkei, Schluss mit der Unterstützung durch die Bundesrepublik. 
Christliche Parteien für Frieden – gegen Krieg!
","21.10.2019: Kartoffelmarkt mit Aufzug
23.10.2019: ortsfest auf dem Rathausplatz
24.10.2019: ortsfest auf dem Platz der Alten Synagoge
25.10.2019: ortsfest auf dem Platz der Alten Synagoge
26.10.2019: Platz der Alten Synagoge mit Aufzug
",,,
273.0,2019-10-31 00:00:00,"Halloween-Aktion zum Thema ""Fleisch""",PdAS-Bertoldstraße-Niemensstraße-Universitätsstraße-Löwenstraße-Niemensstraße-Universitätsstraße-Bertoldstraße-Salzstraße-Oberlinden-Schwabentorring-Wallstraße-Greifeneggring-Gerberau-Augustinerplatz-Grünwälderstraße-Kajo-Rempartstraße-Belfortstraße-Wilhelmstraße-Wiwilibrücke-Wentzingerstraße-Wannerstraße-Eschholzstraße-Lehener Straße-Friedrichstraße-Fahnenbergplatz-Rotteckring-PdAS,,,
274.0,2019-10-22 00:00:00,"Frieden für Syrien, Stoppt die Waffenexporte in die Türkei, Schluss mit der Unterstützung durch die Bundesrepublik",Laisweg Ecke Lörracher Straße (vor Northrop Gruman Litef),,,
275.0,2019-10-22 00:00:00,"Land schafft Verbindung / Wir bitten zu Tisch
(siehe www.landschafftverbindung.de)
","Münsterplatz, Südseite",,,
276.0,2019-10-25 00:00:00,Klimagerechtigkeit,Platz der Alten Synagoge,,,
277.0,2019-10-25 00:00:00,Investitionsgeschäfte der Sparkassengruppe,Vor der Sparkasse in der Kaiser-Joseph-Straße 186,,,
278.0,2019-10-30 00:00:00,Hochschulfinanzierung,Platz der Alten Synagoge (Auftaktkundgebung) – Rempartstraße – Kaiser-Joseph-Straße – Gerberau – Augustinerplatz – Salzstraße – Bertoldsbrunnen (Kundgebung) – Kaiser-Joseph-Straße – Europaplatz (Kundgebung) – Friedrichring – Fahnenbergplatz (Kundgebung) – Rotteckring – Platz der Alten Synagoge (Abschlusskundgebung)  ,,,
279.0,"26.10.2019
27.10.2019",Katzenshow,Messegelände,,,
280.0,2019-10-24 00:00:00,Kundgebung zur aktuellen Situation in Chile,Platz der Alten Syangoge,,,
281.0,2019-10-24 00:00:00,"Mieten runter, Löhne rauf",Platz der Alten Synagoge,,,
282.0,2019-11-12 00:00:00,Mahnwache für den Frieden,Bertoldsbrunnen,,,
283.0,"26.10.2019
29.10.2019",Solidarität für das Chilenische Volk,"Platz der Alten Synagoge
Europaplatz - Kaiser-Joseph-Straße - Bertoldsbrunnen - Bertoldstraße - Bismarckallee - Schnewlinstraße (Jazzhaus) ",,,
284.0,"02.11.2019
09.11.2019",Forst- und Landwirtschaft im Amazonas Gebiet,Platz der Alten Synagoge,,,
285.0,2019-10-30 00:00:00,Investitionsgeschäfte der Sparkassengruppe,Vor der Sparkasse in der Kaiser-Joseph-Straße 186,,,
286.0,"30.10.2019
01.11.2019
08.11.2019","Türkei raus aus Kurdistan, Erdogan vors Kriegsverbre-chergericht nach Den Haag, Schluss mit dem verbre-cherischen Kriegstreiben der Türkei, Schluss mit der Unterstützung durch die Bundesrepublik. 
Christliche Parteien für Frieden – gegen Krieg!
","30.10.2019: ortsfest auf dem Platz der Alten Synagoge
01.11.2019: Platz der Alten Synagoge mit Aufzug
08.11.2019: Platz der Alten Synagoge mit Aufzug",,,
287.0,2019-11-03 00:00:00,Hand in Hand für Frieden in Syrien,"Rathausplatz (Auftaktkundgebung 45 Minuten, anschließend Menschenkette für ca. 1 Stunde 15 Minuten) – Rathausgasse – Kaiser-Joseph-Straße – Bertoldstraße (über Bertoldsbrunnen) – Universitätsstraße – Rathausplatz ",,,
288.0,2019-11-04 00:00:00,Warnstreik Tarifrunde Uniklinik,Uniklinik Torbogen Hugstetter Straße (Auftaktkundgebung) – Hugstetter Straße – Robert-Koch-Straße – Breisacher Straße – Zur Unterführung – Friedrichstraße – Friedrichring – Europaplatz – Kaiser-Joseph-Straße – Bertoldsbrunnen – Bertold-straße – Platz der Alten Synagoge (Abschlusskundgebung) ,,,
289.0,2019-11-07 00:00:00,Tarifrunde 2019 der chemischen Industrie,"Engesserstraße 8, vor dem Tor der Cerdia GmbH",,,
290.0,2019-11-08 00:00:00,Klimagerechtigkeit,"08.11.19: Platz der Alten Synagoge – Bertoldstraße – Bertoldsbrunnen – Kaiser-Joseph-Straße – Rathausgasse – Rathausplatz – Universitätsstraße – Bertoldstraße – Platz der Alten Synagoge

15.11.19: Platz der Alten Synagoge ",,,
291.0,"06.11.2019
09.11.2019
11.11.2019
13.11.2019
",Aufklärung zu Mobilfunk/ 5G,"06.11.2019: Rathausplatz 
09.11.2019: Augustinerplatz
11.11.2019: Platz der Alten Synagoge
13.11.2019: Platz der Alten Synagoge
",,,
292.0,2019-11-20 00:00:00,SPD: Klima oder GroKo,vor dem Gasthaus Schützen in Lehen (Ortsvereinssitzung SPD Freibur),,,
293.0,2019-11-01 00:00:00,Frauen* gegen Kriegsalltag und Alltagskrieg,Platz der Alten Synagoge,,,
294.0,2019-11-04 00:00:00,Missbrauch,"vor dem Landgericht, Salzstraße 1",,,
295.0,2019-11-06 00:00:00,Verteidigung der bolivianischen Demokratie,Platz der Alten Synagoge,,,
296.0,2019-11-23 00:00:00,Klimaschutz oder GroKo,vor der SPD-Geschäftsstelle Merzhauser Straße 4,,,
297.0,2019-11-05 00:00:00,Aufruf zur solidarischen Prozessbegleitung: Prozess wegen Hausbesetzung am 05. November,vor dem Amtsgericht Freiburg,,,
298.0,2019-11-06 00:00:00,"Türkei raus aus Kurdistan, Erdogan vors Kriegsverbrechergericht nach Den Haag, Schluss mit dem verbrecherischen Kriegstreiben der Türkei, Schluss mit der Unterstützung durch die Bundesrepublik.
",Platz der Alten Synagoge,,,
299.0,2019-11-08 00:00:00,Investitionen der Sparkasse in Braunkohle und Rüstung,Vor der Sparkasse in der Kaiser-Joseph-Straße 186,,,
300.0,2019-11-09 00:00:00,Rechte in der LEA,"Lörracher Straße, vor der LEA",,,
301.0,2019-11-23 00:00:00,"Pelz-, Daunen-, Wollmode",Kaiser-Joseph-Straße 195,,,
302.0,2019-11-22 00:00:00,Klimagerechtigkeit,Platz der Alten Synagoge – Bertoldstraße – Kaiser-Joseph-Straße – Rempartstraße – Platz der Alten Synagoge ,,,
303.0,2019-11-15 00:00:00,Investitionen der Sparkasse in Braunkohle und Rüstung,Vor der Sparkasse in der Kaiser-Joseph-Straße 186,,,
