Nr.,Datum,Grund/Anlass,Ort bzw. Wegstrecke
67.0,2023-03-03 00:00:00,Letzte Generation vor den Kipppunkten,"B31, lessingstraße, Höhe Kaiserbrücke"
68.0,2023-03-11 00:00:00,Frieden,Rathausplatz
69.0,2023-03-11 00:00:00,Jahrestag der Katastrophe,Augustinerplatz
70.0,2023-03-11 00:00:00,Frieden in der Ukraine,Bertoldsbrunnen
71.0,2023-03-12 00:00:00,Gegen die Verabschiedung des Gesetzes über Agenten ausländischer Einflussnahme,PdAS
72.0,2023-03-08 00:00:00,Demo zum Internationalen feministischen Kampftag,PdAS
73.0,2023-03-07 00:00:00,Gedenkveranstaltung Femizide,Augustinerplatz
74.0,2023-03-16 00:00:00,Einkommensrunde TVöD 2023,Platz der Alten Synagoge
75.0,2023-03-18 00:00:00,Verbundenheit. Frieden um Inneren und Äußeren,Platz der Alten Synagoge mit Aufzug
76.0,2023-03-18 00:00:00,Vegane Ernährung,Rathausplatz
77.0,2023-03-18 00:00:00,Erhalt der Demokratie Israel,Augustinerplatz
78.0,2023-03-20 00:00:00,Newroz-Fest,Platz der Alten Synagoge
79.0,2023-03-03 00:00:00,Sternmarsch zum Globalen Klimastreik von Fridays for Future,Strat in Emmendingen und Waldkirch; Ziel:Freiburg PdAS
80.0,2023-03-18 00:00:00,Frieden in der Ukraine,Bertoldsbrunnen
81.0,2023-03-20 00:00:00,Mental Load-Feministische Aufklärung,auf der Kaiser-Joseph-Straße
82.0,2023-03-23 00:00:00,Tarifrunde öffentlicher Dienst 2023,PdAS mit Aufzug
83.0,2023-03-25 00:00:00,Frieden,Bertoldsbrunnen
84.0,2023-03-25 00:00:00,Frieden in der Ukraine,"Europaplatz, Kajo vor New Yorker"
85.0,2023-03-27 00:00:00,Neubau des Feuerwehrgerätehauses in Freiburg Kappel,Rathausplatz
86.0,2023-03-27 00:00:00,Tarifauseinandersetzungen zwischen AGV und EVG,Bahnhof mit Aufzug zum PdAS
87.0,2023-03-28 00:00:00,Mieten,EKZ Weingarten
88.0,2023-04-01 00:00:00,Russland raus aus der Ukraine,Theatervorplatz
89.0,2023-04-01 00:00:00,Frieden für die Ukraine,PdAS
90.0,2023-03-27 00:00:00,Unfall in Griechenland und Situation dort,PdAS
91.0,2023-03-31 00:00:00,Frieden,Bertoldsbrunnen
92.0,2023-03-24 00:00:00,Leben Schützen,Europaplatz zum Bertoldsbrunnen
93.0,2023-04-01 00:00:00,Vegane Ernährung,Rathausplatz
94.0,2023-04-01 00:00:00,Ausbeutung von Tieren,PdAS mit Aufzug
95.0,2023-04-01 00:00:00,Erhalt der Demokratie in Israel,Kartoffelmarkt
96.0,2023-04-01 00:00:00,nein zum Terrorregime im Iran,Kartoffelmarkt
97.0,2023-04-06 00:00:00,"Ostermarsch 2023, Atomwaffenverbotsvertrag",PdAS mit Aufzug
98.0,2023-04-01 00:00:00,Kundgebung wegen tödlichem Angriff an Newroz auf Afrin am 21.03.2023,Stühlinger Kirchplatz
99.0,2023-03-28 00:00:00,öffentliche Straßenblockade,Hauptbahnhof
100.0,2023-03-31 00:00:00,Klimaziele einhalten!,Rathausplatz
101.0,2023-04-03 00:00:00,AKW Laufzeitverlängerung,Ecke Bertoldstraße/Rotteckring
102.0,2023-04-03 00:00:00,Teuerungen,EKZ Weingarten
103.0,2023-04-04 00:00:00,Warnstreik KfZ,Autokorso ab Bötzinger Straße bis Gewerkschaftshaus Friedrichstr.
104.0,2023-04-08 00:00:00,Freiheit für Abdullah Öcalan,Platz der Alten Synagge
105.0,"08.04., 22.04.,
13.05., 27.05.2023",Frieden,Bertoldsbrunnen
106.0,2023-04-05 00:00:00,Stoppt die israelische Gewalt in der Al Aqsa Moschee,Augustinerplatz
107.0,2023-04-14 00:00:00,Abschied nehmen von den angelieferten Tieren,"Schlachthof, Tullastraße"
108.0,2023-04-08 00:00:00,Ongoing attacks on the Al Aqsa mosche during Ramadan,Augustinerplatz
109.0,2023-04-17 00:00:00,Missbrauchsgutachten Erzdiözese Freiburg,Münsterplatz
110.0,2023-04-14 00:00:00,Gegen das Sterben auf dem Mittelmeer,Rathausplatz
111.0,2023-04-15 00:00:00,Frieden in der Ukraine,Bertoldsbrunnen
112.0,2023-04-15 00:00:00,Menschenrechte im Iran,Platz der Alten Synagoge
113.0,2023-04-15 00:00:00,Radeln für ein Leben in Frieden und Freiheit,Konrad-Adenauer-Platz mit Aufzug
114.0,2023-04-15 00:00:00,Vegane Ernährung,Rathausplatz
115.0,2023-04-18 00:00:00,An eurer Seite - für Gerechtigkeit,Münsterplatz
116.0,2023-04-20 00:00:00,Free for Fourtwenty,Deutscher Hanfverband 
117.0,2023-04-23 00:00:00,"Wendetische, für eine umwelt- und sozialgerechte Zukunft / zusammen mit den bundesweiten Mobilitätswende Aktionstagen",B31 Schillerstraße und Uhlandstraße
118.0,2023-04-16 00:00:00,Critical Mass zum weltweiten Tag des kleinbäuerlichen Widerstands,Platz der Alten Synagoge
119.0,2023-04-21 00:00:00,Auftakt Tarifrunde - Deutsches Rotes Kreuz,Platz der Alten Synagoge mit Aufzug
120.0,2023-04-22 00:00:00,Verfolgung von und Organraub an Falun Dafa Praktizierenden durch die Kommunistische Partei Chinas.,Augustinerplatz
121.0,2023-04-22 00:00:00,Stiller Protest (Silentline) gegen Tierversuche,Rathausplatz
122.0,2023-04-23 00:00:00,Erhalt der Demokratie in Israel,Platz der Alten Synagoge
123.0,20.04.2023+21.04.2023,Freiheit und Religion,"Platz der Alten Synagoge, Stühlinger Kirchplatz, Münsterplatz"
124.0,2023-04-22 00:00:00,Frieden für Europa,PdAS
125.0,2023-04-22 00:00:00,Frieden in der Ukraine,Bertoldsbrunnen
126.0,2023-04-22 00:00:00,Freiheit und Religion,Europaplatz
127.0,2023-04-22 00:00:00,Gegenprotest AfD Demo,vor dem Stadttheater 
128.0,2023-04-29 00:00:00,Menschenrechtsverletzung im Iran,Platz der Alten Synagoge
129.0,2023-04-26 00:00:00,Solidaritätskundgebung Letze Generation in Berlin,Bismarckallee
130.0,2023-04-29 00:00:00,Vegane Ernährung,Rathausplatz
131.0,2023-04-22 00:00:00,AfD-Gegendemo,PdAS
132.0,2023-05-01 00:00:00,Tag der Arbeit 2023,Stühlinger Kirchplatz
133.0,2023-04-29 00:00:00,Frieden für alle Menschen dieser Welt,Bertoldsbrunnen
134.0,2023-04-29 00:00:00,Mahnwache Myanmar,Augustinerplatz
135.0,2023-05-05 00:00:00,Klima,Platz der Alten Synagoge
136.0,2023-05-06 00:00:00,Europäischer Protesttag zur Gleichstellung von Menschen mit Behinderung,zwischen Stadttheater und PdAS
137.0,2023-05-04 00:00:00,Protest zur fehlenden Finanzierung der Weiterbildung Fachpsychotherapeut*in,"Mensa-Brunnen, Rempartstraße"
138.0,2023-05-04 00:00:00,Aktive Mittagspause,vor dem St. Josefskrankenhaus
139.0,2023-05-10 00:00:00,Kundgebung zum Jahrestag der Bücherverbrennung,Vor der Stadtbibiliothek
140.0,2023-05-10 00:00:00,Aufrüstung,EKZ Weingarten
141.0,2023-05-06 00:00:00,Frieden in der Ukraine jetzt.,Konrad-Adenauer-Platz mit Aufzug
142.0,2023-05-13 00:00:00,Global-Marijuana-March,Platz der Alten Synagoge mit Aufzug
143.0,08.05.2023-13.05.2023,Aktionswoche für eine autofreie Rempartstraße,Rempartstraße
144.0,2023-05-05 00:00:00,Öffentliche Meinungskundgabe mit klimapolitischem Inhalt,Leopoldring
145.0,2023-05-12 00:00:00,Frieden in der Ukraine und KDV,Bertoldsbrunnen
146.0,2023-05-12 00:00:00,Notwendigkeit von Klimaschutzmaßnahmen,Stühlingerplatz
147.0,2023-05-13 00:00:00,Frieden in der ganzen Welt,"Bertoldsbrunnen, Ecke Bertoldstraße / Kaiser-Joseph-Straße"
148.0,2023-05-13 00:00:00,Vegane Ernährung,Rathausplatz
149.0,2023-05-13 00:00:00,Friedensdemo,Konrad-Adenauer-Platz mit Aufzug
150.0,2023-05-13 00:00:00,Gedenktag der Nakba,Stühlingerplatz mit Aufzug
151.0,2023-04-30 00:00:00,"""Take back the night""",Erbprinzenstraße bis Faulerstraße
152.0,2023-05-12 00:00:00,Mitgestaltung Städtepartnerschaft,PdAS
153.0,2023-05-16 00:00:00,Tarifaufeinandersetzungen AGV und EVG,ZOB mit Aufzug
154.0,2023-05-20 00:00:00,Asylbewerberleistungsgesetz abschaffen!,"LEA Freiburg, Müllheimer Straße 7"
155.0,2023-05-20 00:00:00,Frieden für alle Menschen,"Bertoldsbrunnen, Ecke Bertoldstraße / Kaiser-Joseph-Straße"
156.0,2023-05-13 00:00:00,"""Schleichmarsch""",Johanneskirche mit Aufzug bis Stadtgarten
157.0,2023-05-20 00:00:00,Radeln für eine Zeitenwende ohne Waffen,Konrad-Adenauer-Platz mit Aufzug
158.0,2023-05-20 00:00:00,"Volksantrag ""Ländle leben lassen""",Augustinerplatz
159.0,2023-05-19 00:00:00,Abschied nehmen von den angelieferten Tieren,"Tullastraße, Schlachthof"
160.0,2023-05-20 00:00:00,Menschenrechtsverletzung im Iran,Platz der Alten Synagoge
161.0,2023-05-19 00:00:00,Keine Verkleinerung des Klimacamps,Rathausplatz
162.0,2023-05-27 00:00:00,"Freiheit, Religion",Stühlinger Kirchplatz
163.0,2023-05-26 00:00:00,Asylbewerberleistungsgesetz abschaffen!,PdAS mit Aufzug
164.0,2023-05-27 00:00:00,Vegane Ernährung,Rathausplatz
165.0,2023-05-25 00:00:00,Solidaritätskundgebung nach Razzien bei der letzten Generation,PdAS
166.0,2023-05-27 00:00:00,Frieden in der Welt,Bertoldsbrunnen
167.0,2023-06-03 00:00:00,Tag der Organspende,Bertoldsbrunnen
168.0,"03.06.2023
17.06.2023",vegane Ernährung,Rathausplatz
169.0,2023-06-05 00:00:00,Teuerungen,EKZ Weingarten
170.0,2023-06-03 00:00:00,Frieden ist der Weg,Konrad-Adenauer-Platz mit Aufzug
171.0,2023-06-09 00:00:00,Frieden in der Ukraine,Bertoldsbrunnen
172.0,ab 05.06.2023,"Soziale Ungerechtigkeit, Gesundheitsschutz, Umweltschutz und Freiden",Platz der Alten Synagoge
173.0,2023-05-31 00:00:00,Protestmarsch,Europaplatz mit Aufzug
174.0,2023-06-03 00:00:00,Für ein selbstverwaltetes Maxmur !,Platz der Alten Synagoge mit Aufzug
175.0,2023-06-03 00:00:00,Thema Milch,Edeka Rieselfeld
176.0,2023-06-03 00:00:00,Frieden in der Welt,Europaplatz
177.0,2023-06-05 00:00:00,Klebeprotest,Europaplatz
178.0,2023-06-10 00:00:00,Frieden in der Welt,Bertoldsbrunnen
179.0,"10.06.2023, 08.07.2023, 
22.07.2023",Frieden,Bertoldsbrunnen
180.0,2023-06-08 00:00:00,"GESA Reform, kein Asylkompromiss 2.0",Platz der Alten Synagoge
181.0,2023-06-10 00:00:00,Flächengerechtigkeit im öffentlichen Raum,4 Parkplätze in der Sedanstraße
182.0,2023-06-12 00:00:00,Blockadeaktion,A5 FR Nord / B31 Schillerstr. / B3 Friedrichring
183.0,09.06.+10.06.2023,Streik im Einzelhandel - Tarifrunde 2023 ,"Auf dem Gehweg der Kaiser-Joseph-Str. (vor H&M, Karstadt u. Galeria)"
184.0,2023-06-10 00:00:00,Hilfe für die Ukraine,Platz der Alten Synagoge
185.0,2023-06-14 00:00:00,Mahnwache / Aktion zum Hitzeaktionstag,Platz der Alten Synagoge
186.0,2023-06-14 00:00:00,Protesttag der Apotheken,Bertoldsbrunnen (vor dem WMF)
187.0,2023-06-17 00:00:00,Information über den Christlichen Glauben,Platz der Alten Synagoge
188.0,2023-06-17 00:00:00,Saving Israel Democracy,Augustingerplatz
189.0,2023-06-14 00:00:00,Freiheit und Religion,Eschholzpark
190.0,2023-06-14 00:00:00,Freheit und Religion,Platz der Alten Synagoge
191.0,2023-06-15 00:00:00,Freheit und Religion,Colombiark mit Aufzug
192.0,2023-06-17 00:00:00,Radeln für den Frieden,Konrad-Adenauer-Platz mit Aufzug
193.0,2023-06-12 00:00:00,Blockadeaktion,B31/Lessingstraße (Kaiserbrücke) 
194.0,2023-06-20 00:00:00,Weltgeflüchtetentag 2023,Platz der Alten Synagoge
195.0,2023-06-17 00:00:00,Nachttanzdemo für subkulturelle Freiräume,Stühlinger Kirchplatz
196.0,2023-06-17 00:00:00,Elektrosensibilität,Kartoffelmarkt
197.0,2023-06-24 00:00:00,"Frieden, Abrüstung",Rathausplatz
198.0,2023-06-20 00:00:00,UN Weltflüchtlingstag,Rathausplatz
199.0,2023-06-21 00:00:00,Lautstark gegen Ruhestörung,Lederleplatz mit Aufzug bis Seepark
200.0,2023-06-23 00:00:00,Klimaschutzmaßnahmen,Eschholzpark
201.0,2023-06-23 00:00:00,Queere Primetime ? Lets keep fighting for it ! Vorabenddemo zum CSD,Tanzbrunnen
202.0,2023-06-28 00:00:00,EKZ Weingarten,Stonewall Jahrestag
203.0,2023-06-30 00:00:00,Abschied nehmen von den angelieferten Tieren,"Schlachthof, Tullastraße"
204.0,2023-07-01 00:00:00,"Schweigemarsch für Verbundenheit, Frieden im Inneren und Äußeren",Platz der Alten Synagoge mit Aufzug
205.0,2023-07-01 00:00:00,für die Schließung aller Schlachthäuser,Augustinerplatz mit Aufzug
206.0,2023-06-28 00:00:00,Öffentliche Übergabe von roten Händen gegen den Einsatz von KindersoldatInnen,Rathausplatz
207.0,2023-07-01 00:00:00,Frieden in der Welt,Seepark
208.0,2023-07-03 00:00:00,gegen Inflation und Krieg,EKZ Weingarten
209.0,2023-07-07 00:00:00,Mahnwache für Frieden,Rathausplatz
210.0,2023-07-08 00:00:00,Vegane Ernährung,Ecke Kaiser-Joseph-Straße/Engelstraße
211.0,2023-07-08 00:00:00,Frieden in der Welt,Bertoldsbrunnen
212.0,2023-07-09 00:00:00,Fahrraddemo Pro Eissport,Ensisheimer Straße – Breisacher Straße – Fehrenbachallee – Rathaus im Stühlinger – Sundgauallee – Lehener Straße – Berliner Allee – Madisonallee – Neue Messe Freiburg – Hermann-Mitsch-Straße – parallel zur Granadaallee – Elsässer Straße – Falkenbergerstraße – Ensisheimer Straße
213.0,2023-07-07 00:00:00,Polizeigewalt stoppen – Solidarität mit den Protesten in Frankreich,"EKZ Weingarten, Fritz-Schieler-Platz"
214.0,2023-07-16 00:00:00,Notwendigkeit von Klimaschutzmaßnahmen,Eschholzpark
215.0,2023-07-08 00:00:00,Für eine konsequente Politik des Friedens,Konrad-Adenauer-Platz – Bertoldstraße – Niemensstraße – Universitätsstraße – Löwenstraße – Kaiser-Joseph-Straße – Martinstor – Gerberau Ecke Kaiser-Joseph-Straße (Kundgebung) – Augustinerplatz – Salzstraße – Oberlinden (Kundgebung) – Herrenstraße – Europaplatz (Kundgebung) – Kaiser-Joseph-Straße – Schiffstra-ße – Unterlinden – Rotteckring – Rathausgasse – Rathausplatz (Kundgebung) – Kaiser-Joseph-Straße – Bertoldstraße – Konrad-Adenauer-Platz
216.0,2023-07-08 00:00:00,"Gegenprotest zur ""Schilderdemo""",Konrad-Adenauer-Platz – Bertoldstraße – Niemensstraße – Universitätsstraße – Löwenstraße – Kaiser-Joseph-Straße – Martinstor – Gerberau Ecke Kaiser-Joseph-Straße – Augustinerplatz – Salzstraße – Oberlinden – Herrenstraße – Europaplatz  – Kaiser-Joseph-Straße – Schiffstraße – Unterlinden – Rotteckring – Rathausgas-se – Rathausplatz – Kaiser-Joseph-Straße – Bertoldstraße – Konrad-Adenauer-Platz
217.0,2023-07-12 00:00:00,Hitzeaktionstag,Rathausplatz
218.0,2023-07-13 00:00:00,Bahnhofsgarage zur Mobilitätsstation umwandeln,Konrad-Adenauer-Platz
219.0,2023-07-15 00:00:00,Ökologische und soziale Folgen EU - Mercosur Handelsvertrag,Rathausplatz
220.0,2023-07-15 00:00:00,Freiheit für Abdullah Öcalan,"Europaplatz – Auf der Zinnen – Herrenstraße – Salzstraße – Oberlinden, dort Zwischenkundgebung – Bertoldsbrunnen, dort Zwischenkundgebung – Kaiser-Joseph-Straße – Europaplatz"
221.0,2023-07-15 00:00:00,Für eine konsequente Politik des Friedens,"Konrad-Adenauer-Platz – Wiwili-Brücke – Wentzingerstraße – Wannerstraße – Klarastraße – Egonstraße – Eschholzstraße – Lehenerstraße – Kreuzstraße – Breisacherstraße – Zur Unterführung – Bismarckallee – Wendepunkt ZOB über Linksabbiegerstreifen – Eisenbahnstraße – Rotteckring – Unterlinden – Kundgebung Ecke Merianstraße – Merianstraße – Radweg parallel zum Friedrichring – Europaplatz, dort Kundgebung – Auf den Zinnen – Herrenstraße – Kundgebung Oberlinden – Salzstraße –  Bertoldsbrunnen, Kundgebung – Kaiser-Joseph-Straße – Niemensstraße, Kundgebung – Löwenstraße – durchs Martinstor – Gerberau, Kundgebung – Greiffeneggring – Hildastraße – Urachstraße – Günterstalstraße – Kaiser-Joseph-Straße – Rempartstraße – Belfortstraße – Wilhelmstraße – Konrad-Adenauer-Platz"
222.0,2023-07-15 00:00:00,Mieten in Freiburg,"Seepark, auf der Grünfläche unterhalb des Schongauerwegs"
223.0,2023-07-15 00:00:00,Frieden in der Welt,Bertoldsbrunnen
224.0,2023-07-21 00:00:00,Klimautopie,Platz der Alten Synagoge – Rotteckring – Friedrichstraße – Zur Unterführung – Breisacher Straße – Eschholzstraße –Engelbergerstraße – Wiwili-Brücke – Bismarckallee (Kundgebung)
225.0,2023-07-19 00:00:00,Menschenkette für den Erhalt des Dietenbachwaldes,"Mundenhoferstraße Rieselfeld, Einmündung Bollerstaudenstraße"
226.0,2023-07-19 00:00:00,"Mahnwache, politische Situation in Peru",Augustinerplatz
227.0,2023-07-22 00:00:00,Vegane Ernährung,Rathausplatz
228.0,2023-07-22 00:00:00,gegen Militarismus,EKZ Weingarten
229.0,2023-07-22 00:00:00,Für eine konsequente Politik des Friedens,Konrad-Adenauer-Platz mit Aufzug zu Fuß
230.0,"12.08., 26.08.2023
09.09., 23.09.2023","Frieden, Abrüstung",Bertoldsbrunnen
231.0,2023-07-28 00:00:00,Abschied nehmen von den angelieferten Tieren,"Tullastraße, Schlachthof"
232.0,2023-07-29 00:00:00,Austritt aus der WHO,Platz der Alten Synagoge
233.0,2023-08-05 00:00:00,Hiroshimatag,Mahnmal am Rotteckring
234.0,2023-07-29 00:00:00,Frieden in der Welt,Bertoldsbrunnen (vor dem WMF)
235.0,2023-06-24 00:00:00,Christopher Street Day,Platz der Alten Synagoge – Bertoldstraße – Kaiser-Joseph-Straße – Europaplatz – Leopoldring – Auf der Zinnen – Herrenstraße – Schoferstraße – Schlossbergring – Greiffeneggring – Wallstraße – Holzmarkt – Kaiser-Joseph-Straße (Martinstor – Bertoldsbrunnen – Europaplatz) – Friedrichring – Rotteckring – Belfortstraße – Wilhelmstraße – Konrad-Adenauer-Platz
236.0,2023-07-29 00:00:00,Erhalt des Dietenbachwalds,"Mundenhoferstraße Rieselfeld, Einmündung Bollerstaudenstraße"
237.0,05.08.+19.08.2023,Vegane Ernährung,Bertoldsbrunnen
238.0,2023-08-03 00:00:00,Gedenktag 03.08.2014 Shengal-Massaker,Platz der Alten Synagoge
239.0,2023-08-05 00:00:00,Für eine konsequente Politik des Friedens,Konrad-Adenauer-Platz mit Aufzug
240.0,2023-08-07 00:00:00,Teuerungen,EKZ Weingarten
241.0,2023-08-11 00:00:00,Schlachtung ohne Achtung,Ampelaktion Ecke Kajo / Schreiberstraße
242.0,2023-08-05 00:00:00,Wir sind alle Linksunten,Platz der Alten Synagoge
243.0,2023-08-12 00:00:00,Für eine konsequente Politik des Friedens,Konrad-Adenauer-Platz mit Fahrradaufzug
244.0,2023-08-10 00:00:00,Park(ing) Day,Sedanstraße 9
245.0,2023-08-19 00:00:00,Falun Dafa,Platz der Alten Synagoge
246.0,2023-08-26 00:00:00,Selbstbestimmungsgesetzt und andere queer politische Themen in der Politik,Rathausplatz
