Nr.,Datum,Art der Versammlung,Grund/Anlass,Ort bzw. Wegstrecke
32.0,2016-03-11 00:00:00,dem. Aktion,5 Jahre Beginn der Atomkatastrophe von Fukushima,Ecke Bertoldstr.-Niemensstraße
33.0,2016-03-05 00:00:00,dem. Aktion,Friedensgebet,Mundenhofsteg
34.0,2016-03-11 00:00:00,dem. Aktion,Umweltpolitik,Ecke Kaiser-Joseph-Straße/Wasserstraße
35.0,"11.03.2016
12.03.2016",dem. Aktion,Mahnwache Fukushima nie vergessen,Augustinerplatz 
36.0,2016-03-08 00:00:00,dem. Aktion,Flüchtlinge willkommen !,Stühlinger Kirchplatz mit Aufzug
37.0,2016-03-09 00:00:00,dem. Aktion,Nadija Sawtschenko/Free Sawtschenko,Kartoffelmarkt
38.0,2016-03-19 00:00:00,dem. Aktion,Geflügelhaltung,Bertoldsbrunnen
39.0,2016-03-12 00:00:00,dem. Aktion mit Aufzug,Für grenzenlose Menschenrecht!,Johanneskirche Auftaktkundgebung - Kaiser-Joseph-Straße - Bertoldsbrunnen - Kaiser-Joseph-Straße - friedrichring - Merianstraße - Rahausplatz Abschlusskundgebung
40.0,2016-03-18 00:00:00,dem. Aktion,Frieden,Bertoldsbrunnen
41.0,2016-03-17 00:00:00,dem Aktion mit Menschenkette,"Schluss mit den Morden an der Zivilbevölkerung durch die türkische regierung - für ein friedliches, demokratisches, selbstverwaltetes Miteinander der Ethnien, Weltanschauungen und Geschlechter in Kurdistan und anderswo",Rathausplatz - Rathausgasse - KaJo - Bertoldstraße - zurück zum Rathausplatz
42.0,2016-03-19 00:00:00,dem. Aktion ,Anti-Rassismus,Kartoffelmarkt
43.0,2016-03-21 00:00:00,dem. Aktion mit Aufzug,Newroz,"Kartoffelmarkt, Schiffstr., Kajo, Bertoldsbrunnen, Martinstor, Gerberau, Augustinerplatz, Salzstr., Bertoldsbrunnen, Bertoldstr., Platz d. alten Synagoge "
44.0,2016-04-01 00:00:00,dem. Aktion,Mahnwache für die Opfer patriarchaler Gewalt,Bertoldsbrunnen
45.0,2016-04-01 00:00:00,Gebets- und Demonstrationszug,"Gebets- und Demonstrationszug zum Thema ""Schutz des ungeborenen Lebens""",Humboldstr. 2 - Kaiser-Joseph-Straße - Friedrichring - Rotteckring - Unterlinden - Schiffstraße - Kartoffelmarkt
46.0,2016-04-02 00:00:00,dem. Aktion mit Aufzug,Türken und Kurden für Frieden in der Türkei,Karlsplatz - Auf der Zinnen - Kajo - Rempartstr. - Werthmannstr. - Vorplatz UB
47.0,2016-04-02 00:00:00,dem. Aktion,Ende des Kriegs in der Türkei,Kartoffelmarkt mit Aufzug
48.0,2016-04-22 00:00:00,dem. Aktion,Milch,Bertoldsbrunnen
49.0,10.04.20016,dem. Aktion mit Aufzug,Für Friedensverhandlungen und ein Ende des Krieges in der Türkei,Kartoffelmarkt - Schiffstraße - KaJo - Bertoldsbrunnen  - Gerberau - Augustinerplatz - Gerberau - KaJo - Schiffstraße - Kartoffelmarkt
50.0,"18.04., 02.05., 16.05., 30.05., 13.06., 27.06., 11.07. ",Montagsdemos,Demonstration gegen Sozialkahlschlag und Hartz IV,Rathausplatz
,"11.04., 25.04., 09.05., 23.05., 06.06., 20.06., 04.07., 18.07. und 01.08.2016",Montagsdemos,Demonstration gegen Sozialkahlschlag und Hartz IV,Ecke Bertoldstr.-Niemensstraße
51.0,2016-04-15 00:00:00,dem. Aktion,Keine Tiere im Zirkus,Zugänge zum Messegelände
52.0,2016-04-14 00:00:00,dem. Aktion,Bildungsträger Fördergesellschaft Handwerk zerstört,Hebelstraße 15 mit Aufzug
53.0,2016-04-23 00:00:00,dem. Aktion,Internationaler Tag zur Abschaffung von Tierversuchen,Bertoldsbrunnen
54.0,2016-04-16 00:00:00,dem. Aktion,Zirkus ist kein Spaß für Tiere! Jede Tierausbeutung beenden!,"Privatgelände, Messe Freiburg"
55.0,2016-04-16 00:00:00,dem. Aktion mit Aufzug,Im Gedenken an die Pogrome an Aleviten in Maras,"Kartoffelmarkt – Schiffstraße – Kaiser-Joseph-Straße – Bertoldsbrunnen, Zwischenkundgebung – Martinstor – Gerberau  –  Augustinerplatz, dort Zwischenkundgebung – Salzstraße - Bertoldsbrunnen  – Kaiser-Joseph-Straße – Schiffstraße - Kartoffelmarkt, dort Abschlusskundgebung"
56.0,2016-05-13 00:00:00,dem. Aktion,Tag der Kriegsdienstverweigerer,Bertoldsbrunnen
57.0,2016-04-14 00:00:00,Dem. Aktion mit Aufzug,Wagenburgproblematik,Kajo mit Aufzug zum Konrad-Adenauer-Platz
58.0,2016-04-20 00:00:00,dem. Aktion,gegen Angorawolle,Kaiser-Joseph-Straße im Bereich Galeria Kaufhof
59.0,2016-04-21 00:00:00,dem. Aktion mit Aufzug,Tarifrund ÖD,"Friedrichstraße 41-43 – Fahnenbergplatz – Rotteckring - Bertoldstraße – Kaiser-Joseph-Straße – Schiffstraße – Kartoffelmarkt, dort Kundge-bung – Schiffstraße – Merianstraße – Rathausplatz, dort Kundgebung und Auflösung"
60.0,2016-04-13 00:00:00,dem. Aktion,Tarifrunde Telekom,Linnestraße 7
61.0,2016-05-01 00:00:00,dem. Aktion mit Aufzug,01. Mai Kundgebung des DGB,"Wiwili-Brücke – Bismarckallee – Zur Unterführung – Breisacher Str. – Kreuzstraße – Klarastraße, evtl. dort Zwischenkundgebung – Wanner-straße  – Stühlinger Kirchplatz (Abschluss)"
62.0,2016-05-02 00:00:00,dem. Aktion mit Aufzug,"Freiburger Freiräume, Zukunft der ArTik in der Innenstadt","Auf der Zinnen à nördlicher Punkt der Kaiser-Joseph-Straße, Höhe Tchibo, dort Zwischenkundgebung à Kaiser-Joseph-Straße à Bertoldsbrunnen, Zwischenstopp mit Musikstück à Kaiser-Joseph-Straße à Rathausgasse à  Rathausplatz, dort Abschlusskundgebung und Auflösung"
63.0,2016-05-07 00:00:00,dem. Aktion mit Aufzug,Cannabislegalisierung,"Augustinerplatz, Kundgebung – Gerberau –  auf die Rempartstraße – Werthmannstraße – Vorplatz UB, Kundgebung – Bertoldstraße – Kajo – Schiffstraße – Merianstraße – Rathausplatz, Kundgebung - Rathausgasse – Kajo – Salzstraße – Herrenstraße – Karlsplatz, Kundgebung und Auflösung"
64.0,2016-05-03 00:00:00,dem. Aktion mit Aufzug,Warnstreiks in der Metall- und Elektroindustrie,"1. Aufzug: Gewerbestraße 51 – Industriestraße – Alte Bundes-straße – Mooswaldallee – Lembergallee – Granadaallee – Padu-aallee – Besanconallee – Munzinger Straße, Dehner Parkplatz. 2. Aufzug:  Bebelstraße 6 (Aufstellung und Kundgebung)
 Aufzugsweg: Markwaldstraße – Mooswaldallee – Lembergallee – Granadaallee – Paduaallee – Besanconallee – Munzinger Straße, Dehner Parkplatz

                                
   
"
65.0,2016-05-07 00:00:00,dem. Aktion,Aufklärung über die Verfolgung von Falun Dafa in China,Bertoldsbrunnen
66.0,2016-05-04 00:00:00,dem. Aktion,Aleppo ist burning,Bertoldsbrunnen
67.0,2016-05-10 00:00:00,dem. Aktion,Kleingärten im Stühlinger,Rathausplatz
68.0,2016-05-13 00:00:00,dem. Aktion,Kundgebung für mehr Wagenplätze in Freiburg und Gerichtsverhandlung „Sand im Getriebe gegen Stadt Freiburg“,"Habsburgerstraße 103, vor dem Verwaltungsgericht Freiburg"
69.0,2016-05-14 00:00:00,dem. Aktion,"Diktatur durch die Hintertür, was geschieht in der Türkei",Ecke Kaiser-Joseph-Straße/Engelstraße
70.0,2016-05-14 00:00:00,dem. Aktion,für die Gefangenen in Syrien,Augustinerplatz
71.0,2016-05-14 00:00:00,dem. Aktion,Dabka/Folkloretanz,Rathausplatz
72.0,"17., 18., 19. und 20.05.2016",dem. Aktion,gegen Angorawolle,"Freiburger Innenstadt, Bereich Galeria Kaufhof"
73.0,2016-05-21 00:00:00,dem. Aktion,Massentierhaltung,Bertoldsbrunnen
74.0,2016-05-21 00:00:00,dem. Aktion mit Aufzug,"Diktatur durch die Hintertür, was geschieht in der Türkei","Kartoffelmarkt, Auftaktkundgebung - Schiffstraße - KaJo - Bertoldsbrunnen - Martinstor - Gerberau - Augustinerplatz - Salzstraße - KaJo - Schiffstraße - Kartoffelmarkt, Abschlusskundgebung"
75.0,2016-05-24 00:00:00,dem. Aktion mit Aufzug,Reform des Medizinstudiums,Stefan-Meier-Str.-Albertstr.-Katharinenstr.-Rotteckring-Bertoldstr.-Moltkestr.-Sedanstr.-Unibibliothek
76.0,2016-05-27 00:00:00,dem. Aktion mit Aufzug,"Schluss mit den Morden an der Zivilbevölkerung durch die türkische regierung - für ein friedliches, demokratisches, selbstverwaltetes Miteinander der Ethnien, Weltanschauungen und Geschlechter in Kurdistan und anderswo","Kartoffelmarkt, Auftaktkundgebung - Schiffstraße - KaJo - Bertoldsbrunnen - Martinstor - Gerberau - Augustinerplatz - Salzstraße - KaJo - Schiffstraße - Kartoffelmarkt, Abschlusskundgebung"
77.0,2016-05-31 00:00:00,dem. Aktion,Billigfleisch in Discountern,"Konrad-Goldmann-Str., neben LIDL"
78.0,2016-06-01 00:00:00,dem. Aktion,Tag der Milch,Bertoldsbrunnen
79.0,2016-06-18 00:00:00,dem. Aktion,Nein zum CETA-Abkommen,Bertoldsbrunnen
80.0,2016-06-18 00:00:00,dem. Aktion ,Tierschutz/gegen Massentierhaltung,Augustinerplatz
81.0,2016-06-04 00:00:00,dem. Aktion ,Massaker in Nüsaybin,"Kartoffelmarkt, Auftaktkundgebung - Schiffstraße - KaJo - Bertoldsbrunnen - Martinstor - Gerberau - Augustinerplatz - Salzstraße - KaJo - Schiffstraße - Kartoffelmarkt, Abschlusskundgebung"
82.0,2016-06-04 00:00:00,dem. Aktion ,Gegen die AfD,Kajo/Bertoldsbrunnen bis Schreiberstr. 
83.0,2016-06-07 00:00:00,dem. Aktion ,Gegen Auflösung einer Wagenburg in Köln,Augustinerplatz
84.0,2016-06-16 00:00:00,dem. Aktion,Mahnwache zur Todesstrafe in Belarus,Bertoldsbrunnen
85.0,2016-06-18 00:00:00,Versammlung,Solidarität mit den Kämpfenden in Frankreich,Rathausplatz
86.0,2016-06-20 00:00:00,dem. Aktion,Freiburger Freiräume,Rathausplatz
87.0,2016-06-15 00:00:00,dem. Aktion,Mahnwache für die Opfer der Schießerei von Orlando,Bertoldsbrunnen
88.0,2016-06-16 00:00:00,Versammlung,Aktiv gegen Abschiebung,Rathausplatz 
89.0,2016-06-21 00:00:00,dem. Aktion,Kleingärten im Stühlinger,Rathausplatz
90.0,2016-06-25 00:00:00,dem. Aktion,Mahnwache zum Thema Massentierhaltung/Fleisch,Bertoldsbrunnen
91.0,"22.06., 23.06., 24.06., 25.06.2016",dem. Aktion,Freiheit für Öcalan,"22.06. Rathausplatz
23.06. Kartoffelmarkt
24.06. Kajo/Wasserstraße
25.06. Kajo/Wasserstraße"
92.0,2016-06-24 00:00:00,dem. Aktion,Tierversuche,Kartoffelmarkt
93.0,2016-06-18 00:00:00,dem. Aktion,,Rathausplatz
94.0,2016-06-25 00:00:00,dem. Aktion,Tierschutz/gegen Massentierhaltung,Kaiser-Joseph-Straße
95.0,2016-06-27 00:00:00,dem. Aktion,Protest gegen den Abbruch der VoBa,Bismarckallee 10 (Volksbank-Filiale)
96.0,2016-06-25 00:00:00,dem. Aktion,Mobilität,Augustinerplatz
97.0,2016-07-06 00:00:00,dem. Aktion,Mahnwache für die Opfer homo- u. transfeindlicher Gewalt,Bertoldsbrunnen
98.0,2016-07-02 00:00:00,dem. Aktion,Weltfrieden durch inneren Frieden,Bismarckallee - Platz an der Treppe zur Unterführung
99.0,2016-07-09 00:00:00,dem. Aktion,Verkehr und Klimaschutz,Bertoldsbrunnen
100.0,2016-07-30 00:00:00,dem. Aktion/Schnellmeldung,Mahnwache für Flüchtlinge,Bertoldsbrunnen
101.0,2016-07-08 00:00:00,dem. Aktion/Schnellmeldung,gegen Krieg im Irak,Bertoldsbrunnen
102.0,2016-07-11 00:00:00,dem. Aktion,Weltfrieden durch inneren Frieden,Bismarckallee - Platz an der Treppe zur Unterführung
103.0,"16.07.2016, 10.09.2016",dem. Aktion,Nein zu CETA - Abkommen,Bertoldsbrunnen
104.0,2016-07-16 00:00:00,dem. Aktion,Für ein soziales Zentrum in Freiburg,vom Grether Gelände zum DGB Haus in der Hebelstraße-Fahrrad Demo
105.0,"12.07., 13.07., 14.07. 15.07. und 16.07.2016",Mahnwachen,"Statt Kriege und Terror im Mittleren Osten, Demokratie und Toleranz fördern!","Rathausplatz, Kajo/Wasserstraße"
106.0,2016-07-13 00:00:00,dem. Aktion mit Aufzug,Im Gedenken an die Pogrome an Aleviten in Maras: Unterstützt den Widerstand gegen Assimilation und Marginalisierung in Terolar,Kartoffelmarkt (Auftaktkundgebung)-weiter über die Schiffstraße zur KaJo-Bertoldsbrunnen-(Zwischenkundgebung)-Martinstor-Gerberau-Augustiner Platz-(Zwischenkundgebung)-Salzstraße-Bertoldsbrunnen-Kajo-Schiffstraße-Kartoffelmarkt (Abschlusskundgebung)
107.0,2016-07-20 00:00:00,Versammlung,Klimawandel,zwischen UNI-Bibliothek u. Stadttheater
108.0,2016-07-16 00:00:00,dem. Aktion,Solidarität mit Rojava,Augustinerplatz
109.0,2016-07-17 00:00:00,dem. Aktion,Putschversuch,Stadttheater
110.0,2016-07-22 00:00:00,dem. Aktion mit Aufzug,Landwirtschaft,"Holzmarkt – Rempartstraße – Belfortstraße – Wilhelmstraße – Wiwili-Brücke – Wentzingerstraße – Engelbergerstraße – Eschholzpark alternativ bei Nichtüberfahrung der Brücke:Bismarckallee – Friedrichstraße – Breisacher Straße – Eschholzstraße

"
111.0,2016-07-23 00:00:00,dem. Aktion,Organraub an F.G durch die KPCH,Bertoldsbrunnen
112.0,2016-07-21 00:00:00,dem. Aktion mit Aufzug,Solidarität mit Radio Dreyeckland,"Bertoldsbrunnen, vor WMF-Geschäft, Bertoldsbrunnen-Salzstraße 17 (Landgericht)"
113.0,2016-07-22 00:00:00,dem. Aktion mit Menschenkette,Menschenrechte für den Schutz/Hilfe der syrischen Zivilbefölkerung,Augustinerplatz - Gerberau- KaJo-Martinstor-KaJo-Grünwälderstraße-Augustinerplatz
114.0,2016-07-22 00:00:00,dem. Aktion,Tango pro Artik,Karlsplatz
115.0,"08.08., 22.08., 05.09., 19.09. u. 03.10.2016 sowie 15.08., 29.08., 12.09., 26.09. u. 10.10.2016",Montagsdemos,"Soziale Ungerechtigkeit, Umweltschutz, Frieden","Rathausplatz


Ecke Bertoldstraße/Niemensstraße"
116.0,2016-07-23 00:00:00,dem. Aktion,"GAT Amazonas, geplanter Staudamm-Bau im Indianergebiet in Brasilien",Augustinerplatz
117.0,2016-07-26 00:00:00,dem. Aktion,ArTic im ADAC Gebäude,Rathausplatz
118.0,"26.07.2016
28.07.2016
30.07.2016",dem. Aktion,Gegen Tierdressur/-quälerei,süd - östliche Ecke Munzinger Straße/Jechtinger Straße
119.0,26.07.-30.07.2016,dem. Aktion,Für Frieden und Demokratie in der Türkei,"Rathausplatz, Kartoffelmarkt, Augustinerplatz"
120.0,27.07.2016 und 29.07.2016,dem. Aktion,"Zirkus ja, aber ohne Tiere",süd - östliche Ecke Munzinger Straße/Jechtinger Straße
121.0,2016-07-27 00:00:00,dem.Aktion,Bombenattentat auf Syrien,Rathausplatz
122.0,2016-08-01 00:00:00,dem. Aktion mit Hungerstreik,"gegen den Beschluss des Oberlandesgerichts vom 23.05.2016, Famielensache Kalea Victoria Farsang","Oberlandesgericht, Salzstraße 28"
123.0,2016-07-31 00:00:00,dem. Aktion,Wiedereröffnung der Fakultätsbibliothek an Wochenenden,Albertstraße
124.0,2016-08-05 00:00:00,dem. Aktion mit Aufzug,Für Frieden und Demokratie in der Türkei - Freiheit für A. Öcalan und die politischen Gefangenen in der Türkei,Kartoffelmarkt - Schiffstraße - KaJo - Bertoldsbrunnen - Martinstor - Gerberau - Augustinerplatz - Salzstraße - KaJo - Schiffstraße Kartoffelmarkt
125.0,2016-08-06 00:00:00,dem. Aktion,71 Jahre Atombomben auf Hiroshima und Nagasaki,Rathausplatz
126.0,2016-08-11 00:00:00,dem. Aktion,Tierschutz/gegen Massentierhaltung,Augustinerplatz
127.0,2016-08-10 00:00:00,dem. Aktion,Bewusstsin für die tiefere Gemeinsamkeit unserer Realität,Kartoffelmarkt
128.0,2016-08-13 00:00:00,dem Aktion ,Für Selbstverwaltung in Kurdistan - Anerkennung der Konföderation Nordsyrien - Rojava. Freiheit für Öcalan,Platz der Universität - Rempartstraße - KaJo - Bertoldsbrunnen - KaJo - Siegesdenkmal - KaJo - Bertoldsbrunnen - Rempartstraße - Platz der Universität
129.0,2016-08-20 00:00:00,dem. Aktion,Massentierhaltung,Bertoldsbrunnen
130.0,2016-08-22 00:00:00,dem. Aktion,"Für Frieden in der Türkei, gg. IS",Rathausplatz
131.0,2016-08-28 00:00:00,dem. Aktion mit Aufzug,"""Go topless Parade""",Holzmarkt-KaJo-Bertoldstraße-Rotteckring-Unterlinden-Schiffstraße -KaJo-Holzmarkt
132.0,2016-09-01 00:00:00,dem. Aktion,Antikriegstag 01. Sep. 2016,Rathausplatz
133.0,2016-09-10 00:00:00,dem. Aktion,gegen das Tragen und den Handel von Pelz,öffentl. Gehweg der KaJo im Bereich Breuninger
134.0,2016-08-29 00:00:00,dem. Aktion,Türkei:Hände weg von Rojava,"Rathausplatz, Menschenkette Rathausgasse, Kajo Siegesdenkmal und zurück"
135.0,2016-09-03 00:00:00,Mahnwache,Mahnwache gegen Tierversuche,Bertoldsbrunnen
136.0,2016-09-13 00:00:00,dem. Aktion,TTIP,Bertoldsbrunnen
137.0,2016-09-29 00:00:00,dem. Aktion mit Aufzug,"Für demokratische Selbstverwatung in Kurdistan-Friedensverhandlungen jetzt, Wiedereinsetzung der demokratisch gewählten Vertreter*innen, Freiheit für A. Öcalan und die politischen Gefangenen in der Türkei","Kartoffelmarkt – Schiffstraße – Kaiser-Joseph-Straße – Bertoldsbrunnen, dort Zwischenkundgebung  – Martinstor – Gerberau –  Augustinerplatz, dort Zwischenkundgebung – Salzstraße  – Kaiser-Joseph-Straße – Schiffstraße - Kartoffelmarkt, dort Abschlusskundgebung und Auflösung"
138.0,2016-10-01 00:00:00,Mahnwache,Mahnwache zum Thema Tierversuche,Bertoldsbrunnen
139.0,2016-11-12 00:00:00,Versammlung,Wem gehört die Stadt? Bezhalbarer Wohnraum ist die halbe Miete,Startpunkt Johanneskirche weiterer Verlauf unbekannt
140.0,2016-10-07 00:00:00,dem. Aktion,Zirkus,Sarahof
141.0,2016-10-08 00:00:00,dem. Aktion,Pelz/Leder,Kajo vor Breuninger
142.0,2016-10-14 00:00:00,dem. Aktion,Parking Day,Sedanquartier
143.0,2016-10-18 00:00:00,dem. Aktion,#unfrei gegen moderne Sklaverei ,Kartoffelmarkt
144.0,2016-10-21 00:00:00,dem. Aktion/Mahnwache,Tierversuche,Bertoldsbrunnen
145.0,2016-10-29 00:00:00,dem. Aktion,Leder,Salzstraße vor dem Geschäft Gabor
146.0,21.und 22.10.2016,dem. Aktion,Medienvielfalt in der Türkei,Kajo Ecke Wasserstr. und Bertoldsbrunnen
147.0,"31.10.,14.11.,09.01.",Montagsdemos,Demonstration gegen Sozialkahlschlag und Hartz IV,Rathausplatz
,"24.10.,07.11.,21.11.,28.11.,05.12.,12.12.,19.12.,02.01.,09.01.",Montagsdemos,Demonstration gegen Sozialkahlschlag und Hartz IV,Ecke Bertoldstr.-Niemensstraße
148.0,2016-10-29 00:00:00,dem. Aktion,"Tiere in der Bekleidungsindustrie (Pelz, Leder, Daunen, Seide)",Bertoldsbrunnen
149.0,2016-10-15 00:00:00,dem. Aktion,March against Monsanto,offen
150.0,2016-10-27 00:00:00,dem. Aktion,Gegendie Tierquälerei hinter der Pelzindustrie,Bertoldsbrunnen (vor dem WMF-Geschäft)
151.0,2016-10-20 00:00:00,Trauer-/Gedenkfeier,Tod des thailändischen Königs am 13.10.2016,Münsterplatz
152.0,2016-10-31 00:00:00,dem. Aktion,Fleischkonsum,Bertoldsbrunnen
153.0,2016-10-29 00:00:00,dem. Aktion mit Aufzug,Türkei:Hände weg von Rojava,"Rathausplatz – Rathausgasse – Kaiser-Joseph-Straße – Bertoldsbrunnen, dort Zwischenkundgebung  – Martinstor – Gerberau –  Augustinerplatz, dort Zwischenkundgebung – Salzstraße  – Kaiser-Joseph-Straße – Schiffstraße - Kartoffelmarkt, dort Abschlusskundge-bung "
154.0,2016-10-26 00:00:00,dem. Aktion,Jungles von Calais,Rathausplatz mit Aufzug
155.0,2016-12-03 00:00:00,dem. Aktion,100.000 Pflegekräfte mehr,Bertoldsbrunnen vor WMF Geschäft
156.0,2016-11-04 00:00:00,dem. Aktion mit Aufzug,Türkei:Hände weg von den Abgeordneten der HPD,"Rathausplatz – Rathausgasse – Kaiser-Joseph-Straße – Bertoldsbrunnen - Salzstr. - Augustinerplatz, dort Zwischenkundgebung – Gerberau  – Kaiser-Joseph-Straße- Bertoldsbrunnen, Zwischenkundgebung – Schiffstraße - Kartoffelmarkt, dort Abschlusskundgebung "
157.0,2016-11-04 00:00:00,dem. Aktion,Trauermarsch,Schreiberstraße mit Aufzug
158.0,2016-11-07 00:00:00,dem. Aktion,Gegen das Vorgehen der Stadt am Platz der Alten Synagoge,Rathausplatz
159.0,2016-11-12 00:00:00,dem. Aktion,Weltklimatag / Umwelt,Bertoldstraße Ecke Niemensstraße
160.0,09.11.-11.11.2016,dem. Aktion,Türkei:Hände weg von den Abgeordneten der HPD,"Bertoldsbrunnen, Kajo Ecke Schiffstr., Kajo Ecke Engelstr. "
161.0,2016-11-11 00:00:00,dem. Aktion,Türkei:Hände weg von den Abgeordneten der HPD,Augustinerplatz-Salzstr.-Herrenstr.-Auf der Zinnen-Kajo-Bertoldsbrunnen-Gerberau-Augustinerplatz
