Nr.,Datum,Art der Versammlung,Grund/Anlass,Ort bzw. Wegstrecke
43.0,2015-03-21 00:00:00,dem. Aktion,Freiräume und Wohnräume,Bertoldsbrunnen
44.0,2015-03-23 00:00:00,dem. Aktion,Solidarität mit Griechenland,Bertoldsbrunnen
45.0,2015-03-25 00:00:00,dem. Aktion,Tarifrunde öffentlicher Dienst der Länder,Hebelstr.-Rheinstr.-Katharinenstr.- Rotteckring- Platz d. Weißen Rose
46.0,2015-03-24 00:00:00,dem. Aktion,Abschiebung,Flüchtlingswohnheime in Freiburg
47.0,2015-03-29 00:00:00,dem. Aktion,Mahnwache zum Weltgebetstag für Frauenordination,Münsterstraße 
48.0,2015-04-04 00:00:00,dem. Aktion,Keine Wildtiere im Zirkus,Zugänge zum Messegelände
49.0,2015-03-25 00:00:00,dem. Aktion,Abschiebung,Rathausplatz mit Aufzug
50.0,2015-04-02 00:00:00,dem. Aktion,Tarifstreit,Kolping-Hotel mit Aufzug zum Kartoffelmarkt via Leopoldring-Siegesdenkmal - Kajo-Rathausgasse-Rathausplatz-Merianstr. - Schiffstr.
51.0,"03.04., 10.04., 17.04. und 24.04.2015",dem. Aktion,Austausch über Liebe/Frieden,Augustinerplatz
52.0,11.04. und 18.04.2015,dem. Aktion,Mahnwache Sozial-/und Erziehungsdienste,Bertoldsbrunnen
53.0,01.04. und 06.04,dem. Aktion,Wildtiere im Zirkus/Shows,Zugänge zum Messegelände
54.0,2015-04-10 00:00:00,dem. Aktion mit Aufzug,Schutz des ungeborenen Lebens,Humboldstraße-Kaiser-Joseph-Straße-Friedrichring-Rotteckring-Unterlinden-Schiffstraße-Kartoffelmarkt
55.0,2015-04-10 00:00:00,dem. Aktion,sexuelle Selbstbestimmung,Bertoldsbrunnen
56.0,2015-04-18 00:00:00,dem. Aktion,"TTIP, CETA und TISA (Freihandels- und Investitionsabkommen)",Rathausplatz
57.0,2015-04-18 00:00:00,dem. Aktion,Tierrechte und Massentierhaltung,Augustinerplatz
58.0,2015-04-18 00:00:00,Versammlung,TTIP,öffentl. Gehweg Ecke Rieselfeldallee/Maxim-Gorkij-Straße
59.0,2015-04-24 00:00:00,Demonstrative Aktion,"Aktion ""Ein Licht der Hoffnung""",Bertoldsbrunnen und Schlachthof Freiburg
60.0,2015-04-17 00:00:00,dem. Aktion,Sammelabschiebung vom 16.04.2015 vom Baden-Airpark,Rathausplatz
61.0,2015-04-25 00:00:00,dem. Aktion mit Aufzug,"Protest gg. Geoengineering, Climateengineering, Chemtrails und für einen sauberen, blauen Himmel wie früher","Auf der Zinnen, Kaiser-Joseph-Str., Bertoldstraße, Konrad-Adenauer-Platz"
62.0,2015-04-25 00:00:00,dem. Aktion,Kunst und Kultur für alle auch für psychisch Kranke und Menschen ohne festen Wohnsitz,Augustinerplatz
63.0,2015-05-01 00:00:00,Versammlung,1. Mai Kundgebung,Wiwili-Brücke- Bismarckallee- Zur Unterführung- Breisacher Straße- Kreuzstraße- Klarastraße- Wannerstraße- Stühlinger
64.0,2015-04-26 00:00:00,dem. Aktion,"Jahrestag der Atomkatastrophe Tschernobyl, AKW Fessenheim abschalten!",Konrad-Adenauer-Platz
65.0,2015-04-24 00:00:00,dem. Aktion,"Genozid-Gedenktag, Armenien",Katoffelmarkt
66.0,"01.05., 15.05., 05.06. und 19.06.2015",demonstrative Aktionen,Austausch über Liebe/Frieden,Augustinerplatz
67.0,2015-05-04 00:00:00,demonstrative Aktion,Internationaler Hebammentag und Aufmerksam machen auf die schwierige Situation der Hebammen,Wiehre-Bahnhof
68.0,2015-05-09 00:00:00,dem. Aktion,Jaffa,Bertoldsbrunnen
69.0,2015-04-24 00:00:00,dem. Aktion,"Mittelmeer-Flüchtlinge, Asyl-Politik",Rathausplatz mit Aufzug
70.0,2015-05-02 00:00:00,dem. Aktion,Fukushima - Fessenheim,Augustinerplatz
71.0,2015-05-15 00:00:00,dem. Aktion,Frieden in der Ukraine,Bertoldsbrunnen
72.0,2015-05-08 00:00:00,dem. Aktion,70. Jahrestag Ende 2. Weltkrieg,Karlsplatz
73.0,2015-05-05 00:00:00,dem. Atktion,Tierversuche und tierversuchsfreie Methoden,Augustinerplatz
74.0,"07., 10.05.2015",dem. Aktion,Zirkus ist kein Spaß für Tiere,"FR, St. Georgen, Sarahof"
75.0,2015-05-09 00:00:00,dem. Aktion,Keine Wildtiere im Zirkus,"FR, St. Georgen, Sarahof"
76.0,2015-05-08 00:00:00,dem. Aktion,Tarifrunde Sozial- und Erziehungsdienst,Hebelstr.-Friedrichring-Rotteckring-Gauchstr.-Kajo-Scusterstr.-Herrenstr.-Salzstr. Augustinerplatz
77.0,"09.05., 13.06., 11.07.2015",dem. Aktion,Pflege am Boden,Kaiser-Joseph-Straße/Schusterstraße Richtung Norden in der Freiburger Innenstadt
78.0,2015-05-19 00:00:00,dem. Aktion,Sozial- und Erziehungsdienste,Bertoldsbrunnen
79.0,2015-05-07 00:00:00,dem. Aktion,Kein Mensch ist illegal,Wiwili-Brücke
80.0,2015-05-09 00:00:00,dem. Aktion,Freiburger Nepalese Association,Mahnwache für Nepal
81.0,2015-05-09 00:00:00,dem. Aktion mit Aufzug,Solidariatät mit den Sozial- und Erziehungsbeschäftigten,Rathausplatz-Universitätsstraße-Bertoldstraße-Salzstraße-Augustinerplatz
82.0,"11.05., 25.05., 08.06., 22.06., 20.07., 03.08., 17.08. und 31.08.2015  und  18.05., 01.06., 15.06., 29.06., 06.07., 13.07., 27.07., 10.08. und 24.08.2015 ",dem. Aktion mit Aufzug,Demonstration gegen Sozialkahlschlag und Hartz IV,Rathausplatz-Rathausgasse-Kajo-Ecke Niemensstraße/Löwenstraße-Martinstor-Gerberau-Augustinerplatz-Salzstraße-Kajo-Rathausgasse-Rathausplatz und Niemensstraße-Kajo-Martinstor-Gerberau-Augustinerplatz-Salzstraße-Bertoldstraße-Ecke Bertoldstraße/Niemensstraße
83.0,2015-05-16 00:00:00,dem. Aktion,Kunst und Kultur für alle auch für psychisch Kranke und Menschen ohne festen Wohnsitz,Augustinerplatz
84.0,2015-05-18 00:00:00,dem. Aktion,Mahnwache am Internationalen Tag gegen Homophobie,Bertoldsbrunnen
85.0,2015-05-09 00:00:00,dem. Aktion,Information bezüglich des Streiks der LokführerInnen und ErzieherInnen,ZOB
86.0,2015-05-23 00:00:00,dem. Aktion,"Massentierhaltung, Tierrecht",Bertoldsbrunnen
87.0,2015-05-15 00:00:00,dem .Aktion ,gegen Polizeigewalt im Irak ,Platz Unterlinden
88.0,2015-05-15 00:00:00,dem. Aktiom,"Aktionstage ""wen gehört die Stadt""",verschiedene Plätze in der Stadt
89.0,2015-05-18 00:00:00,dem. Aktion mit Aufzug,Tarifrunde Sozial- und Erziehungsdienst,Hebelstr.- Friedrichstraße - Wentzingerstr.- am Stühlinger Kirchplatz vorbei- Wiwili-Brücke - Konrad-Adenauer-Platz- bertoldstraße- Rotteckring- Rathausgasse - über Kajo - Schusterstraße- Herrenstraße - Augustinerplatz - Gerberau - Kaiser- Joseph-Straße - Bertoldstraße - Konrad-Adenauer-Platz
90.0,2015-05-16 00:00:00,dem. Aktion mit Aufzug,Legalisierung von Cannabis,Karlsplatz - Auf der Zinnen - Kaiser-Joseph-Straße - Rathausgasse - Franziskanerstraße - Kaiser-Joseph-Straße - Auf der Zinnen - Karlsplatz
91.0,18.05.-22.05.2015,dem. Atktion,Kitastreik - Wohin mit unseren Kindern?,Rathausplatz
92.0,2015-05-23 00:00:00,dem. Aktion,"March against Monsanto, KonsumrEvolution",Augustinerplatz
93.0,2015-05-20 00:00:00,dem. Aktion,Stopp der Ausbeutung von Psychotherapeuten in Ausbildung,Bertoldsbrunnen
94.0,2015-05-20 00:00:00,dem. Aktion mit Aufzug,Verkehrssicherheit,Stühlinger Kirchplatz – Wiwilli-Brücke – Bismarckallee – Friedrichstraße – Friedrichring – Leopoldring – Schlossbergring – Greiffeneggring – Dreisamstraße – Günterstalstraße – Basler Straße – Heinrich-von-Stephan-Straße – Schnewlinstraße – Bismarckallee – Stefan-Meier-Straße – Habsburgerstraße – Kompturplatz – Waldkircher Straße – Friedhofstraße – Heiliggeiststraße – Hohenzollernstraße – Breisacher Straße – Berliner Allee – Sundgauallee – Lehener Straße – Eschholzstraße – Engelbergerstraße – Stühlinger Kirchplatz
95.0,2015-05-21 00:00:00,dem. Aktion mit Aufzug,Tarifrunde Sozial- und Erziehungsdienst,Paulussaal - Dreisamstr. - Kajo - Bertoldsbrunnen - Bertoldstr. - Rotteckring - Unterlinden - Merianstr. - Rathausplatz
96.0,05.06. - 07.06.2015,dem. Aktion,"im Rahmen des ""SUSI-Fest"" insbesondere Aktionen zum ""G7-Gipfel""",Details zum Ablauf nicht bekannt
97.0,2015-06-02 00:00:00,dem. Aktion,Kundgebung: Freiheit für Thomas,Bertoldsbrunnen
98.0,2015-06-06 00:00:00,dem. Aktion,G7 - Gipfel,Bertoldsbrunnen
99.0,2015-06-08 00:00:00,dem. Aktion,Insolvent der FA Kannenberg,Lugostraße
100.0,2015-06-17 00:00:00,dem. Aktion,Flashmob gegen Armut in Lateinamerika,Augustinerplatz
101.0,2015-06-09 00:00:00,dem. Aktion,Antirepression,Platz der Alten Synagoge
102.0,2015-06-26 00:00:00,dem. Aktion,"Geld regiert die Welt, wie lange noch!",Bismarckallee 10
103.0,18.07. - 19.07.2015,dem. Aktion,Christopher Street Day,"Samstag: 
Engelbergerstraße – Eschholzstraße – Breisacher Straße – Zur Unterführung – Friedrichstraße – Friedrichring – Leopoldring – Am Karlsplatz – Auf der Zinnen – Herrenstraße (Schweigeminute vor dem Erzbischöflichen Ordinariat) – Oberlinden – Schwabentor – Greiffeneggring – Wallstraße – Holzmarkt – Martinstor – Kaiser-Joseph-Straße – Siegesdenkmal – Friedrichring – Friedrichstraße – Zur Unterführung – Breisacher Straße – Eschholzstraße – Engelbergerstraße – Stühlinger Kirchplatz (Abschlusskundgebungen)

Sonntag: Stühlinger Kirchplatz"
104.0,2015-06-19 00:00:00,dem. Aktion,Trauer und Solidarität,Bertoldsbrunnen
105.0,2015-07-10 00:00:00,dem. Akion,Mahnwache für den Frieden,Bertoldsbrunnen
106.0,2015-06-26 00:00:00,dem. Aktion,Zirkus,Bertoldsbrunnen
107.0,2015-06-22 00:00:00,dem. Aktion,"Pflege am Boden, Solidarität mit Charité",Hugstetterstraße
108.0,2015-07-06 00:00:00,dem. Aktion,Aktion gegen Homophobie,Bertoldsbrunnen
109.0,2015-06-27 00:00:00,dem. Aktion,Gentechnik und Massentierhaltung,Hauptbahnhof vor Mc Donalds
110.0,2015-06-26 00:00:00,dem. Aktion,Standortschließung Dt.Telekom,Linnéstraße 
111.0,2015-06-27 00:00:00,dem. Aktion,Tarifkonflikt Sozial- und Erziehungsberufe,"Rathausplatz 
Menschenkette"
112.0,"29.06.,06.07.,13.07.,20.07.,27.07.,03.08.,10.0.8,17.08.,24.08.,31.08.,07.09.,14.09.,21.09.,28.09.2015",dem. Aktion,Mahnwache für den Frieden,Augustinerplatz
113.0,2015-06-26 00:00:00,dem. Aktion,Protest gegen ISIS,Kartoffelmarkt -Schiffstr. -Kajo -Bertoldstr. - Rotteckring - Unterlinden - Kartoffelmarkt
114.0,2015-06-27 00:00:00,dem. Aktion,Solidarität mit den Sozial- und Erziehungsdiensten,Rathausplatz
115.0,2015-07-03 00:00:00,dem. Aktion,Solidarität mit den Menschen in Griechenland,Stadttheater
116.0,2015-07-04 00:00:00,dem. Aktion,Arktis,Bertoldsbrunnen
117.0,2015-07-02 00:00:00,dem. Aktion,Schweigemarsch/Poststreik,Hebelstr.- Rheinstr.-Merianstr.-Weberstr. - Kajo - Rathausgasse - Eisenbahnstr. - Post
118.0,2015-07-11 00:00:00,dem. Aktion,Freiheit für Ost-Turkestan,Karlsplatz-Auf der Zinnen-Kajo-Bertoldstr.-Rotteckring-Eisenbahnstr.-Bismarckallee-Konrad-Adenauer-Platz
119.0,2015-07-15 00:00:00,dem. Aktion,Solidarität mit Griechenland,Bertoldsbrunnen
120.0,2015-07-19 00:00:00,dem. Aktion,Stopp Russia,Bertoldsbrunnen
121.0,2015-07-22 00:00:00,dem. Aktion mit Aufzug,Freiheit für Kurden/Öcalan,Kartoffelmarkt – Schiffstraße – Kaiser-Joseph-Straße – Auf der Zinnen – Herrenstraße – Salzstraße –  Augustinerplatz – Gerberau – Martinstor  – Kaiser-Joseph-Straße – Schiffstraße - Kartoffelmarkt
122.0,2015-07-25 00:00:00,dem. Aktion,Mahnwache zum Thema Milch,Bertoldsbruinnen (WMF-Geschäft)
123.0,2015-07-20 00:00:00,dem. Aktion mit Aufzug,Gegen ISIS wg. Bombenanschlag in Suruc/Türkei,Holzmarkt - Kajo bis zum Ende - zurück zum Holzmarkt
124.0,2015-07-28 00:00:00,dem. Aktion,Werkspielplatz u. Werkspielhaus müssen bleiben,Rathausplatz
125.0,2015-07-25 00:00:00,dem. Aktion,Griechenland,Ecke Kajo/Schiffstraße
126.0,2015-08-01 00:00:00,dem Aktion mit Aufzug,Gedenkfeier für Sengal,Holzmarkt - Kaiser-Joseph-Str. - Schleife um Siegesdenkmal auf den Friedrichring - Kaiser-Joseph-Straße - Holzmarkt
127.0,2015-08-03 00:00:00,dem. Aktion mit Aufzug,Krieg im Irak/Trauertag,Kartoffelmarkt - Schiffstraße - Kaiser-Joseph-Straße - Auf der Zinnen - Herrenstraße - Schusterstraße - Kaiser-Joseph-Straße - Schiffstraße - Kartoffelmarkt
128.0,2015-08-06 00:00:00,dem. Aktion,Abschaffung von allen Atomwaffen,Rathausplatz
129.0,2015-08-23 00:00:00,dem. Aktion mit Aufzug,Go topless international,Holzmarkt - Kaiser-Joseph-Straße - Bertoldstraße - Unterlinden - Schiffstraße - Kaiser-Joseph-Straße -Holzmarkt
130.0,2015-08-01 00:00:00,dem. Aktion mit Aufzug,Griechenland,Bertoldsbrunnen - Kaiser-Joseph-Straße - Martinstor - Holzmarkt Martinstor - Kaiser-Joseph-Straße - Bertoldsbrunnen
131.0,2015-08-22 00:00:00,dem. Aktion,Urwaldschutz,Hermann-Mitsch-Straße Höhe Möbel Braun
132.0,2015-08-08 00:00:00,dem. Aktion,Mahnwache für eine ressourcenbasierte Wirtschaft,Bertoldsbrunnen
133.0,2015-08-15 00:00:00,dem. Aktion,AKW Fessenheim abschalten,Augustinerplatz
134.0,2015-08-22 00:00:00,dem. Aktion mit Aufzug,"Bündnis (Piratenpartei, Linke)",Augustinerplatz - Gerberau - KaJo - Siegesdenkmal - Friedrichring - Merianstr - Rathausplatz - Rathausgasse - KaJo -Salzstr - Augustinerplatz
135.0,2015-08-29 00:00:00,dem. Aktion,Milch,Bertoldsbrunnen
136.0,"14.09.,28.09.,12.09., 26.10.,09.11.,28.12.,07.09.,21.09.,05.10.,19.10.,02.11.,16.11.,23.11.,30.11.,07.12.,14.12.,21.12.2015",dem. Aktion mit Aufzug,Demonstration gegen Sozialkahlschlag und Hartz IV,Rathausplatz-Rathausgasse-Kajo-Ecke Niemensstraße/Löwenstraße-Martinstor-Gerberau-Augustinerplatz-Salzstraße-Kajo-Rathausgasse-Rathausplatz und Niemensstraße-Kajo-Martinstor-Gerberau-Augustinerplatz-Salzstraße-Bertoldstraße-Ecke Bertoldstraße/Niemensstraße
137.0,"25.08.,26.08.,02.09.",dem. Aktion,Zirkus,Zugänge zum Messegelände
138.0,2015-08-28 00:00:00,dem. Aktion,Zirkus Knie,Zugänge zum Messegelände
139.0,2015-09-01 00:00:00,dem. Aktion mit Aufzug,Antikriegstag,Rotteckring - Friedrichring - Siegesdenkmal - Kaiser-Joseph-Straße - Bertoldstraße - Mahnmal - Auflösung
140.0,2015-08-28 00:00:00,dem. Aktion mit Aufzug,Milchpreise in Europa ruinös,Eisenbahnstraße
141.0,2015-08-30 00:00:00,dem. Aktion,Zirkus ohne Wildtiere,(Hundewiese) westlich der Madisonalle zwischen Albert-Ludwigs-Uni und Flugplatz
142.0,2015-09-03 00:00:00,dem. Aktion,Wohnzimmer mit Aussicht,Dreisamstr. 27-35
143.0,2015-09-11 00:00:00,dem. Aktion,Tierschutz - gegen Massentiehaltung,Augustinerplatz
144.0,2015-09-18 00:00:00,dem. Aktion,Umweltschutz,Augustinerplatz
145.0,2015-09-19 00:00:00,dem. Aktion,Mehrarbeit und Befristung,Augustinerplatz
146.0,2015-09-08 00:00:00,dem. Aktion,Räumung Willkommenszelt,vor BEA in Lörracher Str.
147.0,2015-09-09 00:00:00,dem. Aktion,Gegen Gewalt gg. die Partei HDP,Karfoffelmarkt-Kajo-Auf der Zinnen-Herrenstr.-Salzstr-Bertoldstr.-Rotteckring-Unterlinden-Kartoffelmarkt
148.0,2015-09-12 00:00:00,dem. Aktion,"Soziales Wirtschaften, gegen TTIP, Ceta und Tisa",Augustinerplatz
149.0,11.09.-14.09.2015,dem. Aktion,Willkommenskultur vor Ort,Zwischen BEA und Edeka-Parkplatz
150.0,2015-09-19 00:00:00,dem. Aktion mit Aufzug,"TTIP, CETA, TISA",Bertoldsbrunnen – Bertoldsstraße – Gehweg Rotteckring – Unterlinden – Schiffstraße – Kaiser-Joseph-Straße – durch das Martinstor
151.0,14.09.-21.09.2015,dem. Aktion,Willkommenskultur vor Ort,Zwischen BEA und Edeka-Parkplatz
152.0,2015-09-26 00:00:00,dem. Aktion ,Tiere im Zirkus,Bertoldsbrunnen
153.0,22.09. - 29.09.2015,dem. Aktion,Willkommenskultur vor Ort,Zwischen BEA und Edeka-Parkplatz
154.0,2015-09-26 00:00:00,dem. Aktion,Refugees Welcome! Den Flüchtlingen ein Gesicht geben!,Privatfläche vor Stadttheater
155.0,2015-10-02 00:00:00,dem. Aktion,aktuelle Flüchtlingspolitik,Bertoldsbrunnen
156.0,2015-09-25 00:00:00,dem. Aktion,Mahnwache zum Thema Milch,Bertoldsbrunnen
157.0,2015-09-29 00:00:00,dem. Aktion,Singen gegen Fremdenhass,Eschholzpark
158.0,2015-09-23 00:00:00,dem. Aktion,für die Opfer von Ossi-Kriminalität,Augustinerplatz
159.0,2015-09-30 00:00:00,dem. Aktion,Wir müssen registriert werden,vor der BEA
160.0,2015-10-09 00:00:00,dem. Aktion,Fleischkonsum/vegane Ernährung,Bertoldsbrunnen
161.0,2015-10-17 00:00:00,dem. Aktion,All refugees welcome,noch unbekannt
162.0,2015-10-16 00:00:00,dem. Aktion,Frieden,Bertoldsbrunnen
163.0,2015-10-10 00:00:00,dem. Aktion,Rundfunkbeitrag,Platz Unterlinden
164.0,2015-10-10 00:00:00,dem. Aktion,gegen Todesstrafe,Ecke Bertoldstr.-Niemensstraße
165.0,2015-10-17 00:00:00,dem. Aktion,Tiere im Zirkus,Bertoldsbrunnen
166.0,2015-10-10 00:00:00,dem. Aktion,Verfolgung v. Falun Dafa u. Falun Gong in China,Bertoldsbrunnen
167.0,2015-10-09 00:00:00,dem. Aktion,Aktuelle Politik in der Türkei,Kartoffelmarkt-Kajo-Auf der Zinnen-Herrenstr.-Salzstr.-Augustinerplatz-Gerberau-Martinstor-Kajo-Schiffstr.-Kartoffelmarkt
168.0,2015-10-16 00:00:00,dem. Aktion mit Aufzug,"Klimakonferenz, Kyotoprotokoll","Theatervorplatz - Bertoldstraße - Kaiser-Joseph-Straße - Gerberau - Augustinerplatz, dort kurzer Stopp, - Gerberau - Kaiser-Joseph-Straße - Schiffstraße - Kartoffelmarkt, dort Auflösung"
169.0,2015-10-17 00:00:00,dem. Aktion mit Aufzug,Niemand flieht ohne Grund,Johanneskirche-Kajo-Gerberau-Augustinerplatz-Salzstr.-Kajo-Friedrichstr.-Merianstr.-Rathausplatz-Rathausgasse-Kajo-Bertoldsbrunnen-Bertoldsstr.-Stadttheater
170.0,"19.10.,26.10., 02.11., 09.11., 16.11., 23.11., 30.11., 07.12., 14.12., 21.12. u. 28.12.2015",dem. Aktionen,Mahnwache für den Frieden,Augustinerplatz
171.0,2015-11-14 00:00:00,dem. Aktion,Menschenrechte,Bertoldsbrunnen
172.0,2015-10-10 00:00:00,dem. Aktion,Aktuelle Politik in der Türkei,Aufzug durch die Innenstadt
173.0,2015-10-23 00:00:00,dem. Aktion,Frieden für das kurdische Volk,Kartoffelmarkt
174.0,2015-10-24 00:00:00,dem. Aktion,Situation der Kriegsflüchtlinge und deren mediale Resonanz,Augustinerplatz
175.0,2014-10-24 00:00:00,dem. Aktion mit Aufzug,Tierschutz - gegen Massentiehaltung,Kaiser-Joseph-Straße Höhe Siegesdenkmal – Bertoldsbrunnen – Salzstraße bis Oberlinden und zurück – Kaiser-Joseph-Straße – durch das Martinstor – Holzmarkt
176.0,2015-10-24 00:00:00,dem. Aktion,Tag x+1 Abschiebung,Rathausplatz mit Aufzug
177.0,2015-10-31 00:00:00,dem. Aktion mit Aufzug,Tag der Kobane,Kartoffelmarkt - Schiffstraße - Kaiser-Joseph-Straße - Auf der Zinmnen - Herrenstraße - Salzstraße - Augustinerplatz - gerberau - Martinstor -Kaiser-Joseph-Straße - Schiffstraße - Kartoffelmarkt
178.0,2015-11-02 00:00:00,dem. Aktion,Fracking / Umweltschutz,Ecke Bertoldstr.-Niemensstraße
179.0,2015-11-07 00:00:00,dem. Aktion,Fukushima mahnt,Bertoldsbrunnen
180.0,2015-11-14 00:00:00,dem. Aktion mit Aufzug,Freiheit für Tomas Elgorriaga Kunze,Bertoldsbrunnen
181.0,2015-11-06 00:00:00,dem. Aktion,Pelz,Bertoldsbrunnen
