Nr.,Datum,Art der Versammlung,Grund/Anlass,Ort bzw. Wegstrecke
139.0,2014-10-21 00:00:00,dem. Aktion mit Aufzug,Friedensmarsch-Kriege in der Welt,Karl-Rahner-Platz-Rempartstr.-Kajo-Gerberau-Augustinerplatz-Salzstr.-Herrenstr.-Auf der Zinnen-Kajo-Rathausgasse-Rathausplatz-Merianstr.-Unterlinden-Rotteckring-Werderring-Erbprinzenstr.-Gartenstr.-Kajo-Metzgerau-Humboldtstr.-Karl-Rahner-Platz
140.0,2014-10-18 00:00:00,dem. Aktion mit Aufzug,Stoppt den Terror der Isis,Rathausplatz - Merianstraße - Schiffstraße - Kaiser-Joseph-Straße - Auf der Zinnen - Herrenstraße - Schusterstraße - Kaiser-Joseph-Straße - Schiffstraße - Unterlinden- Rotteckring - Platz der Alten Synagoge
141.0,2014-10-23 00:00:00,dem. Aktion,Homöopathie - Kritik,Augustinerplatz
142.0,2014-10-22 00:00:00,dem. Aktion,Übernachtungssteuer,Konrad-Adenauer-Platz mit Aufzug zum Rathausplatz
143.0,2014-10-25 00:00:00,Versammlung,Giftstoffe in Kleidung,Kaiser-Joseph-Straße 154 und Rathausgasse 38
144.0,"27.10.,10.11.2014, 05.01. u. 19.01.2015 (Rathausplatz) und 03.11., 17.11., 24.11., 01.12., 08.12., 15.12., 22.12., 29.122014, 12.01. u. 26.01.2015 (Bertold/Niemensstraße)",demon. Aktion mit Aufzug,Demonstraton gegen Sozialkahlschlag und Hertz IV,Bertoldstraße/Niemensstraße und Rathausplatz; am 24.11. Bertoldstraße/Rotteckring
145.0,2014-10-31 00:00:00,demon. Aktion mit Aufzug,Solidarität mit dem kurdischen Aufbruch,Rathausplatz zum Platz d. Alten Synagoge
146.0,2014-10-29 00:00:00,Versammlung,Abschiebung einer Freiburger Roma Familie,Rathausplatz
147.0,2014-11-08 00:00:00,Versammlung,Pflege am Boden,Rathausplatz
148.0,2014-11-07 00:00:00,demon. Aktion mit Aufzug,Schweige-Umzug in Gedenken an R. Fraisse und alle anderen Opfer polizeilicher Gewalt,Bertoldsbrunnen zum Polizeirevier-Nord
149.0,2014-11-06 00:00:00,dem. Aktion,Mahnwache gegen Bundeswehrwerbung,"Lehener Straße 77, ARGE"
150.0,2014-11-06 00:00:00,dem. Aktion mit Aufzug,Lehrbeauftragte der Musikhochschule,Konrad-Adenauer-Platz mit Aufzug zum Kartoffelmarkt
151.0,2014-11-08 00:00:00,dem Aktion,Kohleausstieg,Augustinerplatz
152.0,2014-11-07 00:00:00,dem. Aktion,Tod des Umweltaktivisten Remi Fraisse,Bertoldsbrunnen mit Aufzug
153.0,2014-11-15 00:00:00,dem. Aktion,Gentechnik,"Mc Donalds, Hauptbahnhof"
154.0,"17.11., 24.11., 01.12., 08.12., 15.12., 22.12., und 29.12.2014",dem. Aktion,Frieden-Diskussions- und Informationsveranstaltung von Bürgern für Bürger,Kartoffelmarkt
155.0,2014-11-25 00:00:00,dem. Aktion mit Aufzug,"Internationaler Tag, Nein zu Gewalt an Frauen und Mädchen",Augustinerplatz-Gerberau-Kajo-Bertoldstraße-Platz der Alten Synagoge
156.0,2014-11-19 00:00:00,dem. Aktion,"Mahnwache an den Frieden in der Ukraine, im Kosovo und Nahen Osten",Ecke Elsässer Str. /Am Hägle
157.0,2014-12-01 00:00:00,dem. Aktion,AIDS-Präventation und Aufklärung,Kajo im Bereich Bertoldsbrunnen vom dem Anwesen Kajo 218 (WMF-Geschäft)
158.0,2014-11-28 00:00:00,dem. Aktion,Mahnwache gegen Pelzverkauf bei Breuninger,"Kaiser-Joseph-Straße 169-177, vor dem Geschäftsanwesen Breuninger"
159.0,2014-11-29 00:00:00,dem. Aktion mit Auzug,Aufhebung des PKK Verbots,"Augustinerplatz - Gerberau- Kaiser-Joseph-Straße, Höhe Karstadt Zwischenkundgebung - Auf der Zinnen - Herrenstraße - Greiffeneggring - Wallstraße Holzmarkt - Rempartstraße - Platz der Alten Synagoge, dort Abschlusskundgebung"
160.0,2014-12-05 00:00:00,dem. Aktion ,Leid der Nutztiere,Augustinerplatz
161.0,2014-12-06 00:00:00,dem. Aktion,Weltklimatag/Rettung der Umwelt,Platz der Alten Synagoge
162.0,2014-11-21 00:00:00,dem. Aktion,Abschiebung von Asylbewerbern,Rathausplatz mit Aufzug
163.0,2014-11-29 00:00:00,dem. Aktion,Bahnhof ohne Barrieren,Hauptbahnhof
164.0,2014-11-29 00:00:00,dem. Aktion,herrenlose Einkaufswägen,EKZ Weingarten
165.0,2014-12-10 00:00:00,dem. Aktion,"Tag der Menschenrechte, Aktion gegen Folter",Kaiser-Joseph-Straße im Bereich Bertoldsbrunnen
166.0,2104-12-11 00:00:00,dem. Aktion ,"Atkion ""Ein Licht der Hoffnung""",Kaiser-Joseph-Straße im Bereich Bertoldsbrunnen
167.0,"09.12.2014
11.12.2014",dem. Aktion,"Samba und Akrobatik
Freiburg sucht den Wagenplatz","Augustinerplatz
Vorplatz des Theaters"
168.0,2014-12-13 00:00:00,dem. Aktion,Pflege am Boden,Augustinerplatz
169.0,2014-12-13 00:00:00,dem. Aktion,Rojava,Bertoldsbrunnen
170.0,"19.12.2014-
06.01.2015",dem. Aktion,Finanzgericht 2. Senat stützt Urteil auf Unwahrheit,"Finazgericht, Gresserstraße 21"
171.0,2014-12-19 00:00:00,dem. Aktion,Flüchtlinge und Asyl,Rathausplatz
,,,,
172.0,2014-12-06 00:00:00,dem. Aktion mit Aufzug,Abschiebungen stoppen.,
