Nr.,Anmeldedat.,Art,Thema,Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
54,2018-03-30,K,Solidarisches Grundeinkommen - Weg mit Hartz IV,2018-04-09 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
55,2018-03-30,K,Wie weiter mit der Solidarität mit Efrin,2018-04-16 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
56,2018-03-30,K,Kostenloser ÖPNV - Wie weiter mit dem Sozialticket,2018-04-23 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
57,2018-03-30,K,Aufruf zum 01. Mai,2018-04-30 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
58,2018-04-04,K,"Für eine vielfältige, solidarische Stadtgesellschaft - Kundgebung gegen den Aufzug der neofaschistischen Partei ""Die Rechte"" vor dem HBF Duisburg",2018-04-07 00:00:00,11:45-13:00,DU-Stadtmitte; Portsmouthplatz,100-200
59,2018-04-05,K,Solidarität mit Afrin,2018-04-20 00:00:00,16:00-20:00,DU-Stadtmitte; König-Heinrich-Platz,40-70
60,2018-04-05,A (K),Kandel ist kein Einzelfall,2018-05-05 00:00:00,14:00-17:00,DU-Stadtmitte; Portsmouthplatz - Mercatorstraße - Wittekindstraße - Fürstenstraße - Hohestraße - Güntherstraße - Hohestraße - Friedrich-Wilhelm-Straße -Portsmouthplatz,500-600
61,2018-04-10,K,6 Familien - Kleve - Wie wollen unsere Kinder zurück! ,2018-04-10 00:00:00,14:30 - 16:30,"Steinsche Gasse 4, 47015 DU  +  Schifferstr. 92, 47059 DU",10-20
62,2018-04-11,K,Solidarität mit der Bevölkerung in Afrin,2018-04-13 00:00:00,15:30-18:30,DU-Stadtmitte; König-Heinrich-Platz,5-15
63,2018-04-10,K,"Für eine vielfältige, solidarische Stadtgesellschaft - Kundgebung gegen den Aufzug der ultrarechten rassistischen PEGIDA NRW vor dem HBF Duisburg",2018-05-05 00:00:00,13:30-17:30,DU-Stadtmitte; Portsmouhtplatz,200
64,2018-04-17,K,"Politische Situation in der Türkei; ""Gegen Notstandsgesetzen/Für Demokratie""",2018-04-21 00:00:00,12:00-15:00,DU-Stadtmitte; Königstraße ,50-70
65,2018-04-17,K,Türkische Armee raus aus Afrin,2018-04-19 00:00:00,13:00-19:00,DU-Stadtmitte; Königstraße,20-30
66,2018-04-17,K,Türkische Armee raus aus Afrin,2018-04-25 00:00:00,13:00-19:00,DU-Stadtmitte; Königstraße,20-30
67,2018-04-17,K,Türkische Armee raus aus Afrin,2018-04-26 00:00:00,13:00-19:00,DU-Stadtmitte; Königstraße,20-30
68,2018-04-21,A (K),Grenzenlos feministisch - Gegen Rechtsruck und Partriarchat,2018-05-05 00:00:00,12:00-14:00,DU-Hamborn/-Neumühl; Duisburger Straße - Veilchenstraße - Nelkenstraße - Gartenstraße - Dörnbergstraße - Bastenstraße - Obermarxloher Straße - Lehrerstraße - Holtener Straße - Hohenzollernplatz,200
69,2018-04-09,K,"Kundgebung gegen ""PEGIDA NRW""",2018-05-05 00:00:00,13:00-18:00,DU-Stadtmitte; Portsmouthplatz,ca. 150
70,2018-05-02,K,Ratssitzung,2018-05-07 00:00:00,14:00-17:00,DU-Stadtmitte; Burgplatz,ca. 10-20
71,2018-05-04,K,Privatisierung der WestSpiel-Gruppe,2018-05-07 00:00:00,11:00-12:30,DU-Stadtmitte; Königstraße 5-7,ca. 50
72,2018-04-28,K,Kriegsgefahr heute?,2018-05-07 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
73,2018-04-28,K,Jugend hat ein Recht auf Zukunft,2018-05-14 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
74,2018-04-28,K,Die Krise der Bauern. Wie gehen wir mit den Erzeugern unserer Nahrungsmittel um?,2018-05-28 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
75,2018-04-30,A (K),Gedenken der Opfer des Nationalsozialismus,2018-05-08 00:00:00,18:30:00,DU-Ruhrort; Tausendfensterhaus - Niederhellmannplatz - Dr. Hammacherstraße - Landwehrstraße - Bergiusstraße - Harmoniestraße - Schifferbörse - Rheinbrückenstraße - Schifferrheinstraße - Friedrichsplatz,15-30
76,2018-04-30,K,Solidarität mit Afrin,2018-05-11 00:00:00,16:00-20:00,DU-Stadtmitte; König-Heinrich-Platz,20-40
77,2018-05-09,K,Demonstration gegen die Massentierhaltung ,2018-05-26 00:00:00,13:00-16:00,DU-Stadtmitte; Königstraße,5-15
78,2018-05-17,K,Friedenskundgebung zu Israel und Palästinenser,2018-05-19 00:00:00,18:30-21:30,DU-Stadtmitte; Königstraße zwischen Forum und Citypalais,50
79,2018-05-23,K,Nie wieder Alkoholverbot,2018-05-23 00:00:00,20:00-21:00,"Burgplatz, Duisburg ",10-15
80,2018-05-22,A (K),Gedenken an Ivana Hoffmann,2018-07-07 00:00:00,12:30:00,DU-Stadtmitte; Portsmouthplatz - Friedrich-Wilhelm-Straße - Königstraße - Theater Duisburg,250
81,2018-05-30,K,Kampf um die Arbeitsplätze,2018-06-04 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
82,2018-05-30,K,Wie gehen wir mit den Erzeugern unserer Nahrungsmittel um?,2018-06-11 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
83,2018-05-30,K,Bezahlbarer Wohnraum in den Ballungsgebieten,2018-06-18 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
84,2018-05-30,K,Kahlschlag der Landschaftsschutzgebiete,2018-06-25 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
85,2018-05-31,K,Demonstration gegen die Massentierhaltung ,2018-06-08 00:00:00,16:00-19:00,DU-Stadtmitte; Friedrich-Wilhelm-Platz / Sonnenwall,15
86,2018-06-06,K,Protest gegen das Kopftuchverbot an Grundschulen in NRW,2018-06-23 00:00:00,14:00-18:00,DU-Meiderich; Stadtpark,
87,2018-06-10,K,"Frieden - Demonstrationskundgebung für den Frieden mit Russland, die Beendigung der illegalen Nato-Kriege und die Rückabwicklung deutscher Zensur-Gesetze",2018-07-07 00:00:00,10:00-15:00,DU-Stadtmitte; König-Heinrich-Platz,ca. 50
88,2018-06-11,K,"Keine Auslieferung von Turgut Kaya an die Türkei! - Freiheit für Turgut Kaya! Protest gegen die geplante Auslieferung von Turgut Kaya, einem politisch Verfolgtem an die Türkei",2018-06-14 00:00:00,18:00-20:00,DU-Stadtmitte; Lifesaver-Brunnen,300
89,2018-06-12,K,Demonstration gegen die Massentierhaltung ,2018-06-29 00:00:00,16:00-19:00,DU-Stadtmitte; Friedrich-Wilhelm-Platz / Sonnenwall,15
90,2018-06-23,K,Aufruf zur Demo gegen das geplante Polizeiaufgabengesetz NRW,2018-07-02 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
91,2018-06-23,K,Situation der Tafeln,2018-07-09 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
92,2018-06-23,K,Wagenburg Europa - Wie kann die Flüchtlingskrise gelöst werden?,2018-07-16 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
93,2018-06-23,K,Urlaub mit Hartz IV - Balkonie mit Halbpension,2018-07-23 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
94,2018-06-23,K,Schicht im Schacht? - Wie wertvoll ist uns noch die Kohle?,2018-07-30 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
95,2018-07-02,K,Situation in der Türkei vor und nach den Wahlen,2018-07-06 00:00:00,18:30-21:00,DU-Stadtmitte; Johannes-Corputius-Platz,ca. 50
96,2018-07-03,A (K),Singen für den See - Demo gegen die Bebauung des Masurensee,2018-07-14 00:00:00,18:00-22:00,DU-Wedau - Sechs-Seen-Platte,50-100
97,2018-07-05,K,Demonstration gegen Massentierhaltung,2018-07-13 00:00:00,16:00-19:00,DU-Stadtmitte; Friedrich-Wilhelm-Platz / Sonnenwall,15
98,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-07-16 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
99,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-07-17 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
100,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-07-18 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
101,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-07-19 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
102,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-07-20 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
103,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-07-21 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
104,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-07-22 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
105,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-07-23 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
106,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-07-24 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
