Nr.,Anmeldedat.,Thema,Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
279,2016-06-24 00:00:00,CRPS+Selbsthilfe+Chronische Schmerzpatienten+ seltene Erkrankung,2016-11-07,16:30-18:30,DU-Stadtmitte; Portsmouthplatz,100
280,2016-07-11 00:00:00,Tierleid,2016-07-23,15:00-18:00,DU-Hamborn; Konrad-Adenauer-Ring 6,40-50
281,2016-07-15 00:00:00,Freiheit für Abdullah Öcalan - Schluss mit dem Massaker in Kurdistan durch die AKP,2016-07-30,15:00-20:00,DU-Stadtmitte; Portsmothplatz - Mercatorstraße - Düsseldorfer Straße - Karl-Jarres-Straße - Wanheimerstraße - Rheinpark,2000
282,2016-07-17 00:00:00,Das Imperium schlägt zurück - Asylflut und Islamisierung stoppen,2016-07-27,17:30-20:30,DU-Stadtmitte; Friedrich-Wilhelm-Straße (Verkehrsinsel),5-10
283,2016-07-17 00:00:00,Gegen die Rückkehr der Jediritter - Meinungsfreiheit auch für Nationalisten,2016-08-01,17:30-20:30,DU-Stadtmitte; Friedrich-Wilhelm-Straße (Verkehrsinsel),5-10
284,2016-07-18 00:00:00,Vom IS und dem türkischen Staat ermorderte Jugendliche in Suruc,2016-07-20,16:00-19:00,DU-Stadtmitte; Königstraße (Lifesaver-Brunnen),50-80
285,22.07.216,Zirkus mit Tieren ist Tierquälerei,2016-07-28,15:00-16:00,DU-Neumühl; Fuchsplatz / Gerlingstraße,25
286,22.07.216,Zirkus mit Tieren ist Tierquälerei,2016-07-29,15:00-16:00,DU-Neumühl; Fuchsplatz / Gerlingstraße,25
287,22.07.216,Zirkus mit Tieren ist Tierquälerei,2016-07-30,15:00-16:00,DU-Neumühl; Fuchsplatz / Gerlingstraße,25
288,22.07.216,Zirkus mit Tieren ist Tierquälerei,2016-07-31,15:00-16:00,DU-Neumühl; Fuchsplatz / Gerlingstraße,25
289,2016-07-22 00:00:00,Gedenken an die Opfer vom 03.07.2016,2016-07-23,17:00-19:00,DU-Stadtmitte; Königstraße (Schiffsmastenbrunnen),20
290,2016-07-25 00:00:00,Öcalans Haftbedingungen,2016-07-27,17:00-20:00,DU-Stadtmitte; Portsmouthplatz,10-15
291,2016-07-26 00:00:00,Protest gegen Pegida NRW,2016-08-01,18:00-21:00,DU-Stadtmitte; Portsmouthplatz,100
292,2016-07-26 00:00:00,Protest gegen Pegida NRW,2016-08-08,18:00-21:00,DU-Stadtmitte; Portsmouthplatz,100
293,2016-07-26 00:00:00,Protest gegen Pegida NRW,2016-08-15,18:00-21:00,DU-Stadtmitte; Portsmouthplatz,100
294,2016-07-26 00:00:00,Protest gegen Pegida NRW,2016-08-22,18:00-21:00,DU-Stadtmitte; Portsmouthplatz,100
295,2016-07-26 00:00:00,Protest gegen Pegida NRW,2016-08-29,18:00-21:00,DU-Stadtmitte; Portsmouthplatz,100
296,2016-07-26 00:00:00,Protest gegen Pegida NRW,2016-09-05,18:00-21:00,DU-Stadtmitte; Portsmouthplatz,100
297,2016-07-26 00:00:00,Protest gegen Pegida NRW,2016-09-12,18:00-21:00,DU-Stadtmitte; Portsmouthplatz,100
298,2016-07-26 00:00:00,Protest gegen Pegida NRW,2016-09-19,18:00-21:00,DU-Stadtmitte; Portsmouthplatz,100
299,2016-07-26 00:00:00,Protest gegen Pegida NRW,2016-09-26,18:00-21:00,DU-Stadtmitte; Portsmouthplatz,100
300,2016-07-25 00:00:00,Fanmarsch,2016-07-29,17:00-18:00,Düsseldorf Angermund / Duisburg Wedau; Wacholder Straße - ,
301,2016-07-29 00:00:00,No Duigida - gegen den PEGIDA-Aufmarsch,2016-08-01,18:30-21:30,DU-Stadtmitte; Portsmouthplatz,50-75
302,2016-07-29 00:00:00,No Duigida - gegen den PEGIDA-Aufmarsch,2016-08-08,18:30-21:30,DU-Stadtmitte; Portsmouthplatz,50-75
303,2016-07-29 00:00:00,No Duigida - gegen den PEGIDA-Aufmarsch,2016-08-15,18:30-21:30,DU-Stadtmitte; Portsmouthplatz,50-75
304,2016-07-29 00:00:00,No Duigida - gegen den PEGIDA-Aufmarsch,2016-08-22,18:30-21:30,DU-Stadtmitte; Portsmouthplatz,50-75
305,2016-07-29 00:00:00,No Duigida - gegen den PEGIDA-Aufmarsch,2016-08-29,18:30-21:30,DU-Stadtmitte; Portsmouthplatz,50-75
306,2016-07-29 00:00:00,No Duigida - gegen den PEGIDA-Aufmarsch,2016-09-05,18:30-21:30,DU-Stadtmitte; Portsmouthplatz,50-75
307,2016-07-29 00:00:00,No Duigida - gegen den PEGIDA-Aufmarsch,2016-09-12,18:30-21:30,DU-Stadtmitte; Portsmouthplatz,50-75
308,2016-07-29 00:00:00,No Duigida - gegen den PEGIDA-Aufmarsch,2016-09-19,18:30-21:30,DU-Stadtmitte; Portsmouthplatz,50-75
309,2016-07-29 00:00:00,No Duigida - gegen den PEGIDA-Aufmarsch,2016-09-26,18:30-21:30,DU-Stadtmitte; Portsmouthplatz,50-75
310,2016-07-29 00:00:00,Skandalöser Umgang Job-Center mit Umzügen,2016-08-01,17:30-18:30,DU-Stadtmitte; Lifesaver - Forum Königstraße - Lifesaver,30-40
311,2016-07-29 00:00:00,13 Jahre Montagsdemo,2016-08-08,17:30-18:30,DU-Stadtmitte; Lifesaver - Forum Königstraße - Lifesaver,30-40
312,2016-07-29 00:00:00,Bürgerwillen zählt für die Stadt Duisburg nicht,2016-08-15,17:30-18:30,DU-Stadtmitte; Lifesaver - Forum Königstraße - Lifesaver,30-40
313,2016-07-29 00:00:00,Baumschutzordnung Duisburg,2016-08-22,17:30-18:30,DU-Stadtmitte; Lifesaver - Forum Königstraße - Lifesaver,30-40
314,2016-07-29 00:00:00,Antikriegstag,2016-08-29,17:30-18:30,DU-Stadtmitte; Lifesaver - Forum Königstraße - Lifesaver,30-40
315,2016-07-28 00:00:00,Antipegida Kundgebung: Keinen Fußbreit der Pegida DU,2016-09-05,18:00-22:00,DU-Stadtmitte; Portsmouthplatz,100-300
