Nr.,Anzeigedat.,Art,Thema,"Wochen-
tag",Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl angezeigt
212,2023-07-24 00:00:00,A (K),"Protest gegen die Bergbaupolitik der RAG (Grubenwasserkonzept, Giftmüll unter Tage, Trinkwassergefährdung usw., Werbung für die 3. Internationale Bergarbeiterkonferenz, die Anfang September stattfinden wird. ",2023-08-19 00:00:00,2023-08-19,11:00 - 13:00,"Kometenplatz (Auftaktkundgebung, 11:00 Uhr  bis 11:20 Uhr) – Dr.-Hans-Boecklerstraße – Dr.-Wilhelm-Roelen-Straße – Horsterbrucherstraße – Schlosstraße – Waldstraße – Dr.-Wilhelm-Roelen-Straße – Dittfeldstraße – Am Rosengarten – Am Grünen Ring – Dr.-Wilhelm-Roelen-Straße – Friedrich-Ebert-Straße – Kometenplatz (Abschlusskundgebung, 12:30 Uhr bis 13:00 Uhr).",150 - 200
213,2023-07-28 00:00:00,A (K),"Öffentlichkeitswirksame Demonstration der Duisburger
Schulen im Netzwerk Schule ohne Rassismus-Schule mit
Courage gegen Diskriminierung und Rassismus",2023-09-20 00:00:00,2023-09-20,10:30 - 15:00,Portsmouthplatz - Mercatostraße - Königstraße - Steinsche Gasse - Schwanenstraße - Alter Markt - Brüderstraße - Flachsmarkt - Johannes-Corputius-Platz (Abschlusskundgebung),2400
214,2023-07-31 00:00:00,K,"Tierrechte, Veganismus",2023-08-12 00:00:00,2023-08-12,14:00 - 17:00,Forum (Königstraße 48),10 - 25
215,2023-07-31 00:00:00,K,Kundgebungen zu den aktuellen Entwicklungen,2023-08-07 00:00:00,2023-08-07,17:30 - 18:30,Lifesaver Brunnen,30 - 40
216,2023-07-31 00:00:00,A (K),Mehr Soziokultur für Duisburg!,2023-08-18 00:00:00,2023-08-18,15:00 - 19:00,Averdunkplatz (Auftaktkundgebung) – Königstraße – Kuhstraße – Steinsche Gasse – Friedrich-Wilhelm-Platz – Friedrich-Wilhelm-Straße – Düsseldorfer Straße – Friedenstraße – Wanheimer Straße – Liebigstraße – Parkplatz Rheinpark (Abschlusskundgebung),150
217,2023-07-31 00:00:00,K,Freiheit für Palästina!,2023-09-02 00:00:00,2023-09-02,11:00 - 13:00,"Am Hamborner Altmarkt, Hamborner Altmarkt 30, 47166 Duisburg ",10
218,2023-08-09 00:00:00,K,"Güterverkehr, Welthandel und Umweltzerstörung",2023-10-06 00:00:00,2023-10-06,13:30 - 14:30,"Hafenkanal, Ruhrorter Str. / Zum Container-Terminal",10
219,2023-08-10 00:00:00,A (K),Streik Handel zur Durchsetzung der Tarifforderungen,2023-08-18 00:00:00,2023-08-18,08:00 - 13:00,Burgplatz (Auftaktkundgebung 10:00 Uhr bis 11:30 Uhr) – Poststraße – Kuhstraße – Königstraße – Portsmouthplatz,450
220,2023-08-11 00:00:00,A (K),Gesundheitszustand und die Haftbedingungen Herrn Abdullah Öcalans,2023-09-06 00:00:00,2023-09-06,ca. 16:00 - 22:00,[…] - Mülheimer Straße – Landfermannstraße – Friedrich-Albert-Lange-Platz – Köhnenstraße – Gutenbergstraße – Poststraße – Steinische Gasse – Plessingstraße – Papendelle – Dellplatz – Grünstraße – Kremerstraße – Düsseldorfer Straße – Dellstraße – Dellplatz – Wallstraße – Friedrich-Wilhelm-Straße – Mercatorstraße – Portsmouthplatz (Abschlusskundgebung),150
221,2023-08-17 00:00:00,A (K),"KIDICAL MASS, ""Kinder aufs Rad"" Fahrraddemo für und mit Kindern und Jugendlichen ",2023-09-23 00:00:00,2023-09-23,14:15 - 16:15,"erster Aufzug: Ludgeriplatz - Blumenstraße - Neudorfer Straße - Alte Schanze - Koloniestraße - Kommanantenstraße - Karl-Lehr-Straße-  Karl-Jarresstraße - Gitschiner Straße - Hochfelder Markt (Ankunft 14:50 Uhr), zweiter Aufzug: Hochfelder Markt -Saarbrücker Straße - Gitschiner Straße - Musfeldstraße - Dickelsbachstraße - Friedenstraße - Heerstraße - Wanheimer Straße - Liebfrauenstraße - Brückenstraße - Eigenstraße - Wanheimer Straße - Rheinhauser Straße - Hochfeldstraße - Sedanstraße",50
222,2023-08-18 00:00:00,K,"""Stoppt Polizeimorde!""",2023-08-21 00:00:00,2023-08-21,18:00 - 20:00,"Einmündung Klever Str. /Essenberger Str. , auf dem dortigen Gehweg/Freifläche",10-20
223,2023-08-22 00:00:00,K,Antikriegstag 01.09.2023,2023-09-01 00:00:00,2023-09-01,17:00 - 19:00,"Lifesaver Brunnen, Duisburg Königstraße",50
224,2023-08-22 00:00:00,K,"Glaube,  Liebe,  Hoffnung- Gemeinsam durch die Krisen der heutigen Zeiten.  ",2023-12-09 00:00:00,2023-12-09,12:00 - 16:00,Portsmouthplatz,15
225,2023-08-23 00:00:00,K,Tiergefängnisse abschaffen!,2023-08-29 00:00:00,2023-08-29,15:30 - 16:30,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3 - 10
226,2023-08-25 00:00:00,K,Blue Blindfold,2023-10-18 00:00:00,2023-10-18,12:45 - 14:00,Forum (Königstraße 48),ca. 25
227,2023-08-27 00:00:00,K,"Tierrechte, Veganismus",2023-09-16 00:00:00,2023-09-16,14:00 - 17:00,Forum (Königstraße 48),10 - 25
228,2023-08-27 00:00:00,K,"Tierrechte, Veganismus",2023-09-30 00:00:00,2023-09-30,14.00 - 17:00,Forum (Königstraße 48),10 - 25
229,2023-08-26 00:00:00,K, Gezielte Drohnenngriffe gegen JIN TV Korrespondenten in Nordsyrien.,2023-08-26 00:00:00,2023-08-26,16:00 - 18:00,Hauptbahnhof Duisburg,100
230,2023-08-30 00:00:00,K,Freiheit für Palästina!,2023-10-19 00:00:00,2023-10-19,09.45 - 13:00,"Vor dem Uni Campus (LX-Gebäude, Bibliothek und U-Café) an der Lotharstraße gegenüber Einmündung Finkenstraße, 47057 Duisburg",5
231,2023-09-04 00:00:00,K,Kundgebung zu aktuellen Entwicklungen,2023-09-11 00:00:00,2023-09-11,17.30 - 18:30,"Lifesaver Brunnen, Duisburg Königstraße",30 - 40
232,2023-09-05 00:00:00,A (K),Klimastreik,2023-09-15 00:00:00,2023-09-15,14:30 - 19:30,Forum vor den schwebenden Gärten (Auftaktkundgebung) – Königstraße – Kuhtor - Kuhstraße – Steinsche Gasse – Poststraße – Gutenbergstraße - Köhnenstraße --Friedrich-Albert-Lange-Platz - Landfermannstraße - König-Heinrich-Platz (Abschlusskundgebung),100 - 200
233,2023-09-12 00:00:00,M,Bäume schützen,2023-09-18 00:00:00,2023-09-18,14:00 - 15.30,"König-Heinrich-Platz, Seiteneingang der Mercatorhalle",20
234,2023-09-15 00:00:00,K,Hoffnung durch Glaube. Gegen Hass und Gewalt für Frieden und Nächstenliebe!,2023-10-09 00:00:00,2023-10-09,13:30 - 18:30,August-Bebel-Platz,10
235,2023-09-15 00:00:00,K,Hoffnung durch Glaube. Gegen Hass und Gewalt für Frieden und Nächstenliebe!,2023-10-10 00:00:00,2023-10-10,13:30 - 18:30,August-Bebel-Platz,10
236,2023-09-15 00:00:00,K,Hoffnung durch Glaube. Gegen Hass und Gewalt für Frieden und Nächstenliebe!,2023-10-11 00:00:00,2023-10-11,13:30 - 18:30,August-Bebel-Platz,10
237,2023-09-15 00:00:00,K,Hoffnung durch Glaube. Gegen Hass und Gewalt für Frieden und Nächstenliebe!,2023-10-12 00:00:00,2023-10-12,13:30 - 18:30,August-Bebel-Platz,10
238,2023-09-19 00:00:00,K,"""Beameraktion"" zur Forderung eines Brückenstrompreis / bezahlbaren Industriestrompreis.
Beamer wird Oxygenstahlwerk von außen anstrahlen.",2023-09-26 00:00:00,2023-09-26,20:30 - 21:00,"thyssenkrupp Steel Europe AG, Wiese vor der Hauptverwaltung, 
Kaiser-Wilhelm-Straße 100, 47166 Duisburg",150 - 200
239,2023-09-19 00:00:00,K,Tarifrunde Einzelhandel 2023,2023-09-22 00:00:00,2023-09-22,09:00 - 13:00,"vor IKEA Duisburg, Beecker str. 80, 47166 Duisburg",130
240,2023-09-19 00:00:00,K,Drohnenangriffe auf die Zivilisten in kurdischen Gebieten,2023-09-20 00:00:00,2023-09-20,18:00 - 20:00,Portsmouthplatz,20 - 25
241,2023-09-24 00:00:00,A (K), Protestaktion gegen die Isolationshaft von kurdischem Politiker Herr Öcalan.  ,2023-10-07 00:00:00,2023-10-07,14:00 - 18:00,Portsmouthplatz - Mercatorstraße - Friedrich-Wilhelm-Straße - Friedrich-Wilhelm-Platz - Steinsche Gasse - Poststraße - Burgplatz (Zwischenkundgebung) - Poststraße- Kuhstraße - Kuhtor - Königstraße -Mercatorstraße - Portsmouthplatz,350 - 500
242,2023-09-26 00:00:00,K,Kundgebung zu aktuellen Entwicklungen,2023-10-02 00:00:00,2023-10-02,17:30 - 18:30,"Lifesaver Brunnen, Duisburg Königstraße ",30 - 40
243,2023-10-01 00:00:00,K,"Tierrechte, Veganismus",2023-10-14 00:00:00,2023-10-14,15:00 - 18:00,Forum (Königstraße 48),10 - 25
244,2023-10-01 00:00:00,K,"Tierrechte, Veganismus",2023-10-28 00:00:00,2023-10-28,15:00 - 18:00,Forum (Königstraße 48),10 - 25
245,2023-10-02 00:00:00,K,Femizide Stoppen!,2023-10-04 00:00:00,2023-10-04,18:00 - 20:00,Franz Lenze Platz,5 - 10 
246,2023-10-03 00:00:00,A (K),Tag gegen Gewalt an Frauen,2023-11-25 00:00:00,2023-11-25,14:00 - 20:00,Averdunkplatz Königstraße - Mercatorstraße - Friedrich-Wilhelm-Straße - Friedrich-Wilhelm-Platz - Steinsche Gasse - Poststraße - Schwanenstraße - Burgplatz (Rathaus) - Schwanenstraße - Poststraße - Steinsche Gasse - Friedrich-Wilhelm-Platz - Friedrich-Wilhelm-Straße - Mercatorstraße - Königstraße - Averdunkplatz,100 - 150
247,2023-10-04 00:00:00,K,Weltweit Solidarität mit Stadt Alswedah in Syrien ,2023-10-07 00:00:00,2023-10-07,17:15 - 19:00,König-Heinrich-Platz / Landfermannstraße,50 - 100
248,2023-10-05 00:00:00,K,"""Stoppt Gewalt an Frauen!""",2023-10-11 00:00:00,2023-10-11,17:00 - 19:30,König Heinrich Platz vor dem Forum an den Wiesen,30 - 50
249,2023-10-05 00:00:00,K,Angriffe auf die Zivilisten der türkischen Luftwaffe in Nordsyrien,2023-10-05 00:00:00,2023-10-05,18:00 - 20:00,Portsmouthplatz,80 -100
250,2023-10-06 00:00:00,M,Schluss mit Isolationshaft für den kurdischen Politiker Herr Abdullah Öcalan,2023-10-10 00:00:00,2023-10-10,13:00 - 15:00,König-Heinrich-Platz/ Königstraße,25
251,2023-10-08 00:00:00,A (K),Solidarität mit Gaza! Freiheit für Palästina,2023-10-09 00:00:00,2023-10-09,19:00 - 21:30,Brückenplatz (Auftaktkundgebung) - Heerstraße - Wanheimer Straße - Pauluskirche (Abschlusskundgebung),20
252,2023-10-09 00:00:00,K,Solidarität mit Israel,2023-10-09 00:00:00,2023-10-09,19:00 - 21:00,Wanheimer Straße / Karl-Jarres-Straße,ca. 12
253,2023-10-09 00:00:00,K,Arbeitskampf Einzelhandel (Tarif),2023-10-12 00:00:00,2023-10-12,09:30 - 12:30,"IKEA Duisburg, Beeckerstraße 80, 47166 Duisburg",120
254,2023-10-10 00:00:00,A (K),25.November Internationaler Tag gegen Gewalt an Frauen,2023-11-25 00:00:00,2023-11-25,15:00 - 18:00,Dellplatz - Wallstraße - Friedrich-Wilhelm-Straße - Friedrich-Wilhelm-Platz - Steinsche Gasse - Poststraße - Gutenbergstraße - Obermauerstraße - Königstraße - König-Heinrich-Platz - Amtsgericht (Abschlusskundgebung),100
255,2023-10-11 00:00:00,K,Aufstehen gegen Krieg,2023-10-14 00:00:00,2023-10-14,14:00 - 17:00,"Paulusstraße 10 in 47053 Duisburg, Pauluskirche",10 - 20
256,2023-10-12 00:00:00,K,Solidarität mit Samidoun,2023-10-12 00:00:00,2023-10-12,19:00 - 21:00,"Paulusstraße 10 in 47053 Duisburg, Pauluskirche",20 - 30
257,2023-10-12 00:00:00,M,Gegenveranstaltung zur Palästina-Demo,2023-10-12 00:00:00,2023-10-12,19:00 - 20:00,Platz vor der Pauluskirche,ca. 20
258,2023-10-13 00:00:00,M,Mahnwache für den Frieden,2023-10-13 00:00:00,2023-10-13,18:00 - 20:00,Platz vor der Pauluskirche,10 - 30
259,2023-10-14 00:00:00,M,Mahnwache für den Frieden,2023-10-14 00:00:00,2023-10-14,14.00 - 16:00,Kirchentreppe der Pauluskirche,10 - 30
260,2023-10-15 00:00:00,M,Mahnwache für den Frieden,2023-10-15 00:00:00,2023-10-15,18:00 - 20:00,Platz vor der Pauluskirche,10 - 30
261,2023-10-16 00:00:00,M,Mahnwache für den Frieden,2023-10-16 00:00:00,2023-10-16,18:00 - 20:00,Platz vor der Pauluskirche,10 - 30
262,2023-10-17 00:00:00,M,Mahnwache für den Frieden,2023-10-17 00:00:00,2023-10-17,18:00 - 20:00,Platz vor der Pauluskirche,10 - 30
263,2023-10-18 00:00:00,M,Mahnwache für den Frieden,2023-10-18 00:00:00,2023-10-18,14.00 - 16:01,Platz vor der Pauluskirche,10 - 30
264,2023-10-19 00:00:00,M,Mahnwache für den Frieden,2023-10-19 00:00:00,2023-10-19,18:00 - 20:00,Platz vor der Pauluskirche,10 - 30
265,2023-10-20 00:00:00,M,Mahnwache für den Frieden,2023-10-20 00:00:00,2023-10-20,18:00 - 20:00,Platz vor der Pauluskirche,10 - 30
266,2023-10-21 00:00:00,M,Mahnwache für den Frieden,2023-10-21 00:00:00,2023-10-21,18:00 - 20:00,Platz vor der Pauluskirche,10 - 30
267,2023-10-22 00:00:00,M,Mahnwache für den Frieden,2023-10-22 00:00:00,2023-10-22,14.00 - 16:02,Platz vor der Pauluskirche,10 - 30
268,2023-10-23 00:00:00,M,Mahnwache für den Frieden,2023-10-23 00:00:00,2023-10-23,18:00 - 20:00,Platz vor der Pauluskirche,10 - 30
269,2023-10-24 00:00:00,M,Mahnwache für den Frieden,2023-10-24 00:00:00,2023-10-24,18:00 - 20:00,Platz vor der Pauluskirche,10 - 30
270,2023-10-25 00:00:00,M,Mahnwache für den Frieden,2023-10-25 00:00:00,2023-10-25,18:00 - 20:00,Platz vor der Pauluskirche,10 - 30
271,2023-10-26 00:00:00,M,Mahnwache für den Frieden,2023-10-26 00:00:00,2023-10-26,14.00 - 16:03,Platz vor der Pauluskirche,10 - 30
272,2023-10-27 00:00:00,M,Mahnwache für den Frieden,2023-10-27 00:00:00,2023-10-27,18:00 - 20:00,Platz vor der Pauluskirche,10 - 30
273,2023-10-28 00:00:00,M,Mahnwache für den Frieden,2023-10-28 00:00:00,2023-10-28,18:00 - 20:00,Platz vor der Pauluskirche,10 - 30
274,2023-10-29 00:00:00,M,Mahnwache für den Frieden,2023-10-29 00:00:00,2023-10-29,18:00 - 20:00,Platz vor der Pauluskirche,10 - 30
275,2023-10-30 00:00:00,M,Mahnwache für den Frieden,2023-10-30 00:00:00,2023-10-30,14.00 - 16:04,Platz vor der Pauluskirche,10 - 30
276,2023-10-31 00:00:00,M,Mahnwache für den Frieden,2023-10-31 00:00:00,2023-10-31,18:00 - 20:00,Platz vor der Pauluskirche,10 - 30
277,2023-11-01 00:00:00,M,Mahnwache für den Frieden,2023-11-01 00:00:00,2023-11-01,18:00 - 20:00,Platz vor der Pauluskirche,10 - 30
278,2023-11-02 00:00:00,M,Mahnwache für den Frieden,2023-11-02 00:00:00,2023-11-02,18:00 - 20:00,Platz vor der Pauluskirche,10 - 30
279,2023-11-03 00:00:00,M,Mahnwache für den Frieden,2023-11-03 00:00:00,2023-11-03,14.00 - 16:05,Platz vor der Pauluskirche,10 - 30
280,2023-11-04 00:00:00,M,Mahnwache für den Frieden,2023-11-04 00:00:00,2023-11-04,18:00 - 20:00,Platz vor der Pauluskirche,10 - 30
281,2023-11-05 00:00:00,M,Mahnwache für den Frieden,2023-11-05 00:00:00,2023-11-05,18:00 - 20:00,Platz vor der Pauluskirche,10 - 30
282,2023-11-06 00:00:00,M,Mahnwache für den Frieden,2023-11-06 00:00:00,2023-11-06,18:00 - 20:00,Platz vor der Pauluskirche,10 - 30
283,2023-11-07 00:00:00,M,Mahnwache für den Frieden,2023-11-07 00:00:00,2023-11-07,14.00 - 16:06,Platz vor der Pauluskirche,10 - 30
284,2023-11-08 00:00:00,M,Mahnwache für den Frieden,2023-11-08 00:00:00,2023-11-08,18:00 - 20:00,Platz vor der Pauluskirche,10 - 30
285,2023-11-09 00:00:00,M,Mahnwache für den Frieden,2023-11-09 00:00:00,2023-11-09,18:00 - 20:00,Platz vor der Pauluskirche,10 - 30
286,2023-11-10 00:00:00,M,Mahnwache für den Frieden,2023-11-10 00:00:00,2023-11-10,18:00 - 20:00,Platz vor der Pauluskirche,10 - 30
287,2023-10-13 00:00:00,A (K),Für Frieden,2023-10-18 00:00:00,2023-10-18,16:00 - 19:00,"Flachsmarkt (Vorplatz Internationales Zentrum, Auftaktkundgebung) - Oberstraße - Stapeltor 17 - 19 (Vorplatz Gewerkschaftshaus, Abschlusskundgebung)",150
288,2023-10-14 00:00:00,K,Kundgebung zu aktuellen Entwicklungen,2023-10-16 00:00:00,2023-10-16,17:30 - 18:30,Lifesaver Brunnen,30 - 40
289,2023-10-15 00:00:00,K,"Tierrechte, Veganismus",2023-11-04 00:00:00,2023-11-04,11:45 - 14:30,Forum (Königstraße 48),10 - 25
290,2023-10-15 00:00:00,K,Stopp / Gewalt gegen Frauen,2023-11-18 00:00:00,2023-11-18,10:0 - 13:00,Hamborner Altmarkt vor der Bäckerei Ikbal,10 - 20
291,2023-10-17 00:00:00,K,"Tierrechte, Veganismus",2023-10-21 00:00:00,2023-10-21,14:45 - 18:00,Forum (Königstraße 48),5 - 12
292,2023-10-18 00:00:00,K,Ermordung unschuldige Menschen,2023-10-21 00:00:00,2023-10-21,100 - 150,"Königstraße, vor den schwebenden Gärten",100 - 150
293,2023-10-19 00:00:00,A (K),Trans Leben Gedenken,2023-11-20 00:00:00,2023-11-20,18:30 - 21.00,Opernplatz - Landfermannstraße - Köhnenstraße - Poststraße - Steinsche Gasse - Plessingstraße - Kremerstraße - Krummacherstraße - Realschulstraße - Grünstraße - Dellplatz (Abschlusskundgebung),50
294,2023-10-19 00:00:00,K,Streik / Warnstreik,2023-10-21 00:00:00,2023-10-21,02:30 - 14:30,Silberpalais oder Ostausgang Duisburg Hbf,ca. 30
295,2023-10-20 00:00:00,A (K),Stoppt die Bombardierung und Blockade von Gaza.,2023-10-28 00:00:00,2023-10-28,11:30 - 14:30,Portsmouthplatz (Autkaktkundgebung) – Mercatorstraße – Friedrich-Wilhelm-Straße - Friedrich-Wilhelm-Platz – Seinsche Gasse – Heerstraße – Wanheimer Straße – Saarbrücker Staße – Hochfelder Markt (Abschlusskundgebung).,100
296,2023-10-22 00:00:00,K,Freiheit für die Delfine im Duisburger Zoo 2023,2023-10-28 00:00:00,2023-10-28,11:00 - 15:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",10 - 15
297,2023-10-24 00:00:00,K,Gedenken an ermordete Frauen,2023-11-02 00:00:00,2023-11-02,18:30 - 20:30,Franz-Lenze-Platz in Duisburg-Vierlinden ,10 - 20
298,2023-10-24 00:00:00,K,Tarifverhandlungen Einzelhandel NRW,2023-10-27 00:00:00,2023-10-27,09:00 - 13:00,"IKEA Duisburg, Beeckerstraße 80, 47166 Duisburg",200
299,2023-10-26 00:00:00,K,Tag der Kurdistans Flagge,2023-12-17 00:00:00,2023-12-17,15:00 - 17:00,"Moerser Straße, Hochheide Wochenmarkt",150 - 200
300,2023-10-26 00:00:00,K,Gegen die Ermordung unschuldiger Menschen,2023-11-04 00:00:00,2023-11-04,14:00 - 16:00,Portsmouthplatz,100 - 200
301,2023-10-27 00:00:00,K,"Gegen Antisemitismus, gegen den Terror der Hamas",2023-10-28 00:00:00,2023-10-28,11:00 - 14:00,Portsmouthplatz,10 - 60
302,2023-10-29 00:00:00,K,Stoppt den Krieg in Gaza!,2023-10-30 00:00:00,2023-10-30,18:00 - 19:30,Forum Königstraße,50 - 100
303,2023-10-30 00:00:00,K,Kundgebung zu aktuellen Entwicklungen,2023-11-06 00:00:00,2023-11-06,17:30 - 18:30,Lifesaver-Bunnen,30 - 40
304,2023-10-27 00:00:00,K,Genozide stoppen!,2023-10-27 00:00:00,2023-10-27,23:30 - 01:00,Portsmouthplatz,20 - 30
305,2023-10-29 00:00:00,M, Schluss mit Isolationshaft und Freiheit für den kurdischen Politiker Herr Abdullah Öcalan. ,2023-11-04 00:00:00,2023-11-04,13:00 - 16:00,Lifesaver Brunnen,35
306,2023-10-30 00:00:00,K,Hoffnung in Kobane,2023-11-01 00:00:00,2023-11-01,16.00 - 18:00,Hoffnung in Kobane,30 - 40
307,2023-10-31 00:00:00,K,Solidarität mit Israel und allen Menschen jüdischen Glaubens,2023-11-03 00:00:00,2023-11-03,18:00 - 19:00,"Rumeln Markt, hinter der Haltestelle",ca. 10
308,2023-11-05 00:00:00,K,"Tierrechte, Veganismus",2023-11-11 00:00:00,2023-11-11,15:00 - 18:00,Forum (Königstraße 48),10 - 25
309,2023-11-08 00:00:00,K,Solidarität mit Israel und allen Menschen jüdischen Glaubens,2023-11-17 00:00:00,2023-11-17,18:00 - 19:00,"Rumeln Markt, hinter der Haltestelle",20
310,2023-11-08 00:00:00,K,Solidarität mit Israel und allen Menschen jüdischen Glaubens,2023-11-24 00:00:00,2023-11-24,18:00 - 19:00,"Rumeln Markt, hinter der Haltestelle",20
311,2023-11-08 00:00:00,K,Solidarität mit Israel und allen Menschen jüdischen Glaubens,2023-12-01 00:00:00,2023-12-01,18:00 - 19:00,"Rumeln Markt, hinter der Haltestelle",20
312,2023-11-08 00:00:00,K,Solidarität mit Israel und allen Menschen jüdischen Glaubens,2023-12-08 00:00:00,2023-12-08,18:00 - 19:00,"Rumeln Markt, hinter der Haltestelle",20
313,2023-11-08 00:00:00,K,Solidarität mit Israel und allen Menschen jüdischen Glaubens,2023-12-15 00:00:00,2023-12-15,18:00 - 19:00,"Rumeln Martk, hinter der Haltestelle",20
314,2023-11-08 00:00:00,K,"Tarifverhandlungen im öffentlichen Dienst der Länder
Aktive Mittagspause unter dem Motto: ""Zeit zu Handeln"" ",2023-11-29 00:00:00,2023-11-29,12:00 - 13:00,"Vorplatz des Polizeipräsidiums Duisburg, Düsseldorfer Str. 161 - 163, 47053 Duisburg",50 - 150
315,2023-11-10 00:00:00,M,Internationaler Tag der Menschenrechte / 75 Jahre Menschenrechte,2023-12-09 00:00:00,2023-12-09,12:00 - 13:00 und 16:15 - 18:30,König-Heinrich-Platz/ Opernplatz,100
316,2023-11-14 00:00:00,A (K),Brückenstrompreis für die Industrie zur Absicherung industrieller Produktion in energieintensiven Unternehmen,2023-11-24 00:00:00,2023-11-24,11:00 - 13:30,Kaiser-Wilhelm-Straße 100 (auf der Grünfläche vor der Hauptverwaltung),10000
317,2023-11-14 00:00:00,M,Geburtstagsfeier 13 Jahre Planung für den RS 1,2023-11-19 00:00:00,2023-11-19,12:45 - 13.45,Portsmouthplatz,ca. 5
318,2023-11-14 00:00:00,A (K),Tarifverhandlungen,2023-11-30 00:00:00,2023-11-30,09:00 - 13:30,"Portsmouthplatz - Mercatorstraße - Saarstraße - Landfermannstraße - Neckarstraße - Kardinal-Galen-Straße -  Philosophenstraße 2 (Parteibüro Die Grünen, Zwischenkundgebung) - Stapeltor - Kuhlenwall - Köhnenstraße - Am Burgacker - Königstraße - Königstraße 7 - 9 (Geschäftsstelle CDU-Kreisverband, Zwischenkundgebung) - Kuhtor - Kuhstraße - Steinsche Gasse - Musfeldstraße - Gottfried-Könzgen-Straße 3 (Gesamtschule Globus am Dellplatz, Abschlusskundgebung).",250
319,2023-11-15 00:00:00,K,"Streik / Warnstreik   
Bestreikt wird die Transdev Rhein Ruhr Bahn GmbH
nach Streikaufruf  der GDL vom 14.11.2023  18:15 Uhr  ",2023-11-15 00:00:00,2023-11-15,22:00 - 18:00,Duisburg Am Silberpalais 1 ( Betriebssitz Transdev Rhein Ruhr Bahn GmbH ) ,ca. 30
320,2023-11-15 00:00:00,A (K),Tarifverhandlungen zum TV-L,2023-11-28 00:00:00,2023-11-28,12:00 - 13:00,Schifferstraße 52 - Marientorstraße - Unterstraße - Leinpfad/ Hafenmund - Flachsmarkt (Abschlusskundgebung),200 +
321,2023-11-20 00:00:00,K,Für Meinungs- und Pressefreiheit - gegen rassistische Berichterstattung,2023-11-24 00:00:00,2023-11-24,15:00 - 17:00,Harry-Epstein-Platz,20 - 30
322,2023-11-27 00:00:00,A (K),Nachtaktion in der Tarifbewegung 2023 zum Ende der Friedenspflicht in der nordwestdeutschen Stahlindustrie auf Tiger & Turtle,2023-11-30 00:00:00,2023-11-30,19:30 - 22:00,Parkplatz der Hüttenschenke der HKM Schulz-Knaudt-Straße/ Ecke Ehingerstraße - Ehingerstraße - Aufmarsch bis zur Aussichtsplattform Tiger &Turtle - Magic Mountain,300
323,2023-11-28 00:00:00,A (K),Warnstreik in der Tarifbewegung Stahl 2023 - Grundlage: Artikel 9 Abs. 3 GG,2023-12-04 00:00:00,2023-12-04,09:00 - 11:30,"Mannesmannstraße, Tor 2 - Ehinger Straße - Ehinger Straße/ Ecke Schulz-Knaudt-Strße, Tor 2",1000
324,2023-11-29 00:00:00,K,Kundgebung zu aktuellen Entwicklungen,2023-12-04 00:00:00,2023-12-04,17:30 - 18:30,Averdunkplatz,30 - 40
325,2023-11-29 00:00:00,A (K),Warnstreik in der Tarifbewegung Stahl 2023 - Grundlage: Artikel 9 Abs. 3 GG,2023-12-05 00:00:00,2023-12-05,10:00 - 12:30,"Aufzug 1: Borsigstraße (Parkplatz, TKSE, Tor 4) – Willy-Brandt-Ring - Kaiser-Wilhelm-Straße/ Ecke Franz-Lenze-Straße - Kaiser-Wilhelm-Straße 100 (Abschlusskundgebung), Auzug 2: Franz-Lenze-Straße 70 – Kaiser-Wilhelm-Straße/ Ecke Franz-Lenze-Straße - Kaiser-Wilhelm-Straße 100 (Abschlusskundgebung).",2500
326,2023-11-30 00:00:00,A (K),Umweltkampftag 2023 anlässlich COP 28 in Dubai,2023-12-09 00:00:00,2023-12-09,10:30 - 13:30,Hamborn Altmarkt - Richterstraße - Schreckerstraße - Links B8 - Richtung Marxloh - Goethstrasste - Kantstraße -  Kampsstraße -  (ggf. August-Thyssen - Walter Rathenau Straße) - B8 zurück Richtung Rathaus - Rathausstraße - Richterstraße,60 - 100
327,2023-12-04 00:00:00,K,Warnstreik in der Tarifbewegung Stahl 2023 - Grundlage: Artikel 9 Abs. 3 GG,2023-12-11 00:00:00,2023-12-11,08:00 - 10:00,"Vohwinkelstr. 107 (ArcelorMittal), 47137 Duisburg",200
328,2023-12-05 00:00:00,K,Kundgebung zur Förderung von christlichen Werten,2023-12-19 00:00:00,2023-12-19,11:00 - 18:00,Portsmouthplatz,6 - 20
329,2023-12-07 00:00:00,K,Antipalästinensischer Rassismus & Repression in Deutschland,2023-12-07 00:00:00,2023-12-07,18:30:00,"Kaiser-Wilhelm-Straße 284, 47169 Duisburg",?
330,2023-12-08 00:00:00,K,Alle Tore Dicht! - Warnstreik am 11. Dezember 2023 in der Tarifbewegung Stahl 2023,2023-12-11 00:00:00,2023-12-11,12:00 - 14:00,"thyssenkrupp Steel Europe AG - Werk Hamborn: Tor 1, 3, 4, 5, 6 und 7",jew. 100
331,2023-12-08 00:00:00,K,Alle Tore Dicht! - Warnstreik am 11. Dezember 2023 in der Tarifbewegung Stahl 2024,2023-12-11 00:00:00,2023-12-11,12:00 - 14:00,thyssenkrupp Steel Europe AG - Werk Hüttenheim: Tor 9,150
