Nr.,Anzeigedat.,Art,Thema,"Wochen-
tag",Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
18,2022-01-05 00:00:00,K,"Ausblick in 2022, gegen die Abwälzung der Krisenlasten auf die Bevölkerung, Stoppt die „Querdenker“ und den fahrlässigen Umgang mit der Gesundheit aller!",2022-01-10 00:00:00,2022-01-10,17:30 - 19:00,Königsstraße Ecke Düsseldorfer Str.,30-40
19,2022-01-06 00:00:00,M,Mahnwache gegen Querdenker! Impflücken aktiv bekämpfen!,2022-01-10 00:00:00,2022-01-10,17:45 - 19:00,"König-Heinrich-Platz, Höhe Amtsgericht",100
20,"09.01.2022
19.01.2022",A (K),Deutscher Mut in dunklen Zeiten!,2022-01-22 00:00:00,2022-01-22,14:00 - 17:00,Portsmouthplatz-Mercatorstr.-Düsseldorferstr.-Düsseldorferstr. Höhe Lehmbruck Museum (Zwischenkundgebung)-Friedrich-Wilhelmstr.-Portsmouthplatz,80-100
21,2022-01-11 00:00:00,K,Corona-Pandemie,2022-01-15 00:00:00,2022-01-15,12:00 - 14:30,Portsmouthplatz,5-10
22,2022-01-11 00:00:00,M,Mahnwache gegen Querdenker! Impflücken aktiv bekämpfen!,2022-01-17 00:00:00,2022-01-17,17:45 - 19:00,"Opernplatz 4, 47051 Duisburg (vor dem Stadttheater);
alternativ König-Heinrich-Platz",100
23,2022-01-18 00:00:00,A (K),Der internationale Tag der Frau,2022-03-07 00:00:00,2022-03-07,17:30 - 20:30,Portsmouthplatz (30 min. Kundgebung)  - Mercatorstraße - Königsstraße - Sonnenwall - Friedrich-Wilhelm-Platz - Steinische Gasse Poststraße - Gutenbergstr - Kuhlenwall - Junkernstraße - Fuldastraße - Neckarstraße - Kardinal-Galen-Straße - Mainstraße -Landfehrmannstraße - Stadttheater Duisburg  (30 min. Kundgebung auf Höhe der schwebenden Gärten) - Königsstraße auf Höhe des Forums (20 min. Zwischenkundgebung) ,40-50
24,2022-01-17 00:00:00,K,PKK von der EU-Terrorliste streichen,2022-01-25 00:00:00,2022-01-25,15:00 - 18:00,vor dem Forum,30
25,2022-01-14 00:00:00,K,"Hoffnung durch Glaube, Gegen Hass und Gewalt für Freiden und Nächstenliebe",2022-02-02 00:00:00,2022-02-02,14:00 - 19:00,"Duisburg-Marxloh, August-Bebel-Platz",ca. 12
26,2022-01-14 00:00:00,K,"Hoffnung durch Glaube, Gegen Hass und Gewalt für Freiden und Nächstenliebe",2022-02-03 00:00:00,2022-02-03,14:00 - 19:00,"Duisburg-Marxloh, August-Bebel-Platz",ca. 12
27,2022-01-14 00:00:00,K,"Hoffnung durch Glaube, Gegen Hass und Gewalt für Freiden und Nächstenliebe",2022-02-04 00:00:00,2022-02-04,14:00 - 19:00,"Duisburg-Marxloh, August-Bebel-Platz",ca. 12
28,2022-01-20 00:00:00,A (K),"Freie Impfentscheidung.
Freies Leben ohne Massnahmen. 
Keine Ausgrenzung von Menschen!",2022-01-24 00:00:00,2022-01-24,18:00 - 20:30,Pauluskirche - Sun Grill Wittekindstraße - Star-Tankstelle Mühlheimer Straße - Burgplatz am Rathaus,300
29,2022-01-20 00:00:00,A (K),Globaler Klimastreik,2022-03-25 00:00:00,2022-03-25,16:00 - 19:00,Königstr. (Sammelort) - Königstr. - Kuhtor - Kuhstr. - Poststr. - Gutenbergstr. - Köhnenstr. - Landfermannstr. - Saarstr. - Mercatorstr. - Friedrich-Wilhelm-Str. - Friedrich-Wilhelm-Platz - Sonnenwall - Kuhtor - Königstr. - Königsstraße (Ende),500
30,2022-01-20 00:00:00,M,Impfmücken gegen Impflücken,2022-01-24 00:00:00,2022-01-24,17:45 - 18:45,"König-Heinrich-Platz, ""Schwebende Gärten""",ca. 100
31,2022-01-20 00:00:00,M,Impfmücken gegen Impflücken,2022-01-31 00:00:00,2022-01-31,17:45 - 18:45,"König-Heinrich-Platz, ""Schwebende Gärten""",ca. 100
32,2022-01-20 00:00:00,M,Impfmücken gegen Impflücken,2022-02-07 00:00:00,2022-02-07,18:00 - 20:00,"König-Heinrich-Platz, ""Schwebende Gärten""
Änderung: Brückenplatz",ca. 100
33,2022-01-20 00:00:00,A (K),Kein Platz für Rassisten in Duisburg,2022-01-22 00:00:00,2022-01-22,14:00 - 16:00,Opernplatz – Landfermannstraße – Saarstraße – Mercatorstraße – Portsmouthplatz (Abschlusskundgebung).,ca. 100
34,2022-01-24 00:00:00,A (K),"Freie Impfentscheidung.
Freies Leben ohne Massnahmen. 
Keine Ausgrenzung von Menschen!",2022-01-31 00:00:00,2022-01-31,18:00 - 21:00,Pauluskirche - Sun Grill Wittekindstraße - Star-Tankstelle Mühlheimer Straße - Burgplatz am Rathaus,310
35,2022-01-24 00:00:00,A (K),"Freie Impfentscheidung.
Freies Leben ohne Massnahmen. 
Keine Ausgrenzung von Menschen!",2022-02-07 00:00:00,2022-02-07,18:00 - 21:00,Burgplatz – Poststr. – Steinische Gasse- Heerstr.- Wanheimer Str. – Karl-Jarres-Str. – Johanniter Str.- Friedensstr. – Tiergartenstr – Menzelstr.- Düsseldorfer Str. – Realschulstr. – Grünstr. -  Dellplatz – Goldstr. – Friedrich-Wilhelm-Platz – Steinische Gasse – Poststr. – Burgplatz,320
36,2022-01-25 00:00:00,K,Gegen Zensierung der politischer Musik,2022-01-28 00:00:00,2022-01-28,15:00 - 17:00,Hamborner Altmarkt (auf dem Platz vor Askania).,30
37,2022-01-25 00:00:00,K,Tierrechte Veganismus,2022-02-12 00:00:00,2022-02-12,15:00 - 18:00,"Königstraße 48, vor dem Forum Duisburg",10-25
38,2022-01-25 00:00:00,K,Tierrechte Veganismus,2022-02-25 00:00:00,2022-02-25,17:00 - 20:00,"Königstraße 48, vor dem Forum Duisburg",10-25
39,2022-01-25 00:00:00,A (K),8. März Weltfrauentag,2022-03-08 00:00:00,2022-03-08,15:00 - 22:00,Dellplatz - Wallstraße - Friedrich-Wilhelm-Straße - Steinsche Gasse - Poststraße - Gutenbergstraße - Obermauerstraße - Kuhtor - Königstraße - Düsseldorfer Straße - Neue Marktstraße - Dellplatz ,100-150
40,2022-01-27 00:00:00,M,Mahnwache für die Coronatoten Duisburgs,2022-01-31 00:00:00,2022-01-31,18:00 - 20:00,"Duisburg Hochfeld, Brückenplatz, auf dem Platz selber nördlich dem Kiosk zur Heerstraße gewandt",50
41,2022-01-27 00:00:00,A (K),Freie Impfentscheidung. Freies Leben ohne Maßnahmen. Für Normalität unserer Kinder,2022-02-14 00:00:00,2022-02-14,18:00 - 22:00,Alter Markt – Poststraße – Steinsche Gasse- Heerstraße – Wanheimer Straße – Karl-Jarres-Straße – Johanniter Straße –  Friedensstraße – Tiergartenstraße – Menzelstraße –  Düsseldorfer Straße – Realschul-straße – Grünstraße – Dellplatz – Goldstraße – Friedrich-Wilhelm-Platz – Steinsche Gasse – Poststraße – Alter Markt (Abschlusskundgebung),350
42,2022-01-27 00:00:00,A (K),Freie Impfentscheidung. Freies Leben ohne Maßnahmen. Für Normalität unserer Kinder,2022-02-21 00:00:00,2022-02-21,18:00 - 22:00,Alter Markt – Poststraße – Steinsche Gasse- Heerstraße – Wanheimer Straße – Karl-Jarres-Straße – Johanniter Straße –  Friedensstraße – Tiergartenstraße – Menzelstraße –  Düsseldorfer Straße – Realschul-straße – Grünstraße – Dellplatz – Goldstraße – Friedrich-Wilhelm-Platz – Steinsche Gasse – Poststraße – Alter Markt (Abschlusskundgebung),350
43,2022-01-27 00:00:00,A (K),Freie Impfentscheidung. Freies Leben ohne Maßnahmen. Für Normalität unserer Kinder,2022-02-28 00:00:00,2022-02-28,18:00 - 22:00,Alter Markt – Gutenbergstraße – Köhnenstraße – Friedrich-Albert-Lange-Platz – Landfermannstraße – König-Heinrich-Platz / Bereich „Schwebende Gärten“ (Zwischenkundgebung Dauer ca. 1 - 1 ½ Stun-den) – Königstraße1) – Kuhtor – Kuhlenwall  – Gutenbergstraße – Alter Markt (Abschlusskundgebung).,350
44,2022-01-27 00:00:00,A (K),Freie Impfentscheidung. Freies Leben ohne Maßnahmen. Für Normalität unserer Kinder,2022-03-07 00:00:00,2022-03-07,18:00 - 22:00,Alter Markt – Schwanenstraße – Schwanentor – Ruhrorter Straße – durch den Verteiler Ruhrorter Straße – Albertstraße – Kaßlerfelder Straße – Waldemarstraße – Gablenzstraße – Stupperichstraße – Weidenweg – Baukampstraße – Gablenzstraße – Klemensstraße – Scharnhorststraße – Von-der-Tann-Straße – Weidenweg – Ruhrorter Straße – Schwanentor – Schwanenstraße – Alter Markt am Duisburger Rathaus,170-200
45,2022-02-01 00:00:00,A (K),Freie Impfentscheidung. Freies Leben ohne Maßnahmen. Für Normalität unserer Kinder,2022-03-14 00:00:00,2022-03-14,18:00 - 22:00,Alter Markt – Poststraße – Steinsche Gasse- Heerstraße – Wanheimer Straße – Karl-Jarres-Straße – Johanniter Straße –  Friedensstraße – Tiergartenstraße – Menzelstraße –  Düsseldorfer Straße – Realschul-straße – Grünstraße – Dellplatz – Goldstraße – Friedrich-Wilhelm-Platz – Steinsche Gasse – Poststraße – Alter Markt (Abschlusskundgebung),300
46,2022-01-27 00:00:00,A (K),Freie Impfentscheidung. Freies Leben ohne Maßnahmen. Für Normalität unserer Kinder,2022-03-21 00:00:00,2022-03-21,18:00 - 22:00,Alter Markt – Burgplatz – Gutenbergstr. – Obermauerstr. – Königstr. – Landgerichtsstr. – Landfermannstr. – Saarstr. – Harry-Epstein-Platz / Verknüpfungshalle – Mülheimer Str. – Ludgeristr. – Ludgeriplatz – Blumenstr. – Heinrich-Lerch-Str. – Oststr. – Gneisenausstr. – Kammerstr. – Neudorfer Str. – Mülheimer Str. – zurück bis zum Rathauskt (Abschlusskundgebung),ca. 300
47,2022-01-27 00:00:00,A (K),Freie Impfentscheidung. Freies Leben ohne Maßnahmen. Für Normalität unserer Kinder,2022-03-28 00:00:00,2022-03-28,18:00 - 22:00,Alter Markt – Brüderstr. – Flachsmarkt – Am alten Wehrgang – Niederstr. – Oberstr. – Stapeltor – Philosophenweg – Stresemannstr. – Hansegracht – Philosophenweg – Hansastr. – Falkstr. – Wallensteinstr. – Schreiberstr. – Aakerfährstr. – Hansastr. – Schreiberstr. – Falkstr. – Kardinal-Galen- Str. – Siegstr. – Wupperstr- Lennestr. – Schillerplatz – Siegstr. – Kardinal-Galen- Str. –Mainstr. - Lippestr. – Neckarstr. – Fuldastr. – Junkerstr. – Kuhlenwall – Oberstr. – Niederstr. – Flachsmarkt – Brüderstr. – Alter Markt (Abschlusskundgebung),350
48,2022-01-27 00:00:00,A (K),Freie Impfentscheidung. Freies Leben ohne Maßnahmen. Für Normalität unserer Kinder,2022-04-04 00:00:00,2022-04-04,18:00 - 22:00,Alter Markt – Poststraße – Steinsche Gasse- Heerstraße – Wanheimer Straße – Karl-Jarres-Straße – Johanniter Straße –  Friedensstraße – Tiergartenstraße – Menzelstraße –  Düsseldorfer Straße – Realschul-straße – Grünstraße – Dellplatz – Goldstraße – Friedrich-Wilhelm-Platz – Steinsche Gasse – Poststraße – Alter Markt (Abschlusskundgebung),350
49,2022-01-27 00:00:00,A (K),Freie Impfentscheidung. Freies Leben ohne Maßnahmen. Für Normalität unserer Kinder,2022-04-11 00:00:00,2022-04-11,18:00 - 21:30,Alter Markt – Burgplatz – Poststraße –  Gutenbergstraße – Köhnenstra-ße – Landgerichtsstraße – Königstraße – Königstraße /Forum – Königstraße – Averdunkplatz – Mercatorstraße – Verknüpfungshalle – Mülheimer Straße – Bechemstraße – Ottilienplatz – Martinstraße – Moltkestraße – Duissernstraße – Schlegtendalstraße – Aakerfährstraße – Schreiberstraße – Hansastraße – Philosophenweg – Altstadtpark dortiger Fußgängerweg – Am alten Wehrgang – Flachsmarkt – Brüderstraße – Alter Markt,ca. 150
50,2022-01-27 00:00:00,A (K),Freie Impfentscheidung. Freies Leben ohne Maßnahmen. Für Normalität unserer Kinder,2022-04-18 00:00:00,2022-04-18,18:00 - 22:00,Alter Markt – Poststraße – Steinsche Gasse- Heerstraße – Wanheimer Straße – Karl-Jarres-Straße – Johanniter Straße –  Friedensstraße – Tiergartenstraße – Menzelstraße –  Düsseldorfer Straße – Realschul-straße – Grünstraße – Dellplatz – Goldstraße – Friedrich-Wilhelm-Platz – Steinsche Gasse – Poststraße – Alter Markt (Abschlusskundgebung),350
51,2022-04-19 00:00:00,A (K),"Gegen die systematische Unterdrückung und Ausbeutung der Menschen
durch die Regierung. Gegen die Verstöße gegen das Menschenrecht
und das Grundgesetz",2022-04-25 00:00:00,2022-04-25,17:50 - 21:30,Alter Markt (AK) – Burgplatz – Poststraße –  Steinsche Gasse – Kuhstraße – Kuhtor – Königstraße – Königstraße/Düsseldorfer Straße am Lifesaver-Brunnen (1. ZK) – Königstraße/Höhe Forum im Bereich der Schwebenden Gärten (2. ZK) – Königstraße – Mercatorstraße – Friedrich-Wilhelm-Straße –  Friedrich-Wilhelm-Platz –  Steinsche Gasse  – Poststraße – Alter Markt (AK),150-400
52,2022-04-19 00:00:00,A (K),Freie Impfentscheidung. Freies Leben ohne Maßnahmen. Für Normalität unserer Kinder,2022-05-02 00:00:00,2022-05-02,18:00 - 22:00,Alter Markt (AK) - Burgplatz - Poststraße - Steinsche Gasse - Kuhstraße - Kuhtor - Königstraße - Königstraße/Düsseldorfer Straße am Lifesaver-Brunnen (1. ZK) - Königstraße/ Höhe Forum im Bereich der Schwebenden Gärten (2. ZK) - Königstraße - Mercatorstraße - Friedrich-Wilhelm-Straße - Friedrich-Wilhelm-Platz - Steinsche Gasse - Poststraße - Alter Markt (AK),150-400
53,2022-04-19 00:00:00,A (K),Freie Impfentscheidung. Freies Leben ohne Maßnahmen. Für Normalität unserer Kinder,2022-05-09 00:00:00,2022-05-09,18:00 - 22:00,Alter Markt (AK) - Burgplatz - Poststraße - Steinsche Gasse - Kuhstraße - Kuhtor - Königstraße - Königstraße/Düsseldorfer Straße am Lifesaver-Brunnen (1. ZK) - Königstraße/ Höhe Forum im Bereich der Schwebenden Gärten (2. ZK) - Königstraße - Mercatorstraße - Friedrich-Wilhelm-Straße - Friedrich-Wilhelm-Platz - Steinsche Gasse - Poststraße - Alter Markt (AK),150-400
54,2022-01-31 00:00:00,K,PKK von der EU-Terrorliste streichen,2022-02-05 00:00:00,2022-02-05,13:00 - 16:00,vor dem Forum,20
55,2022-02-01 00:00:00,M,Freiheit für Öcalan,2022-02-04 00:00:00,2022-02-04,16:00 - 19:00,"Königstraße, Höhe Landgericht",6-7
56,2022-02-02 00:00:00,K,"heutige Bombardierung eines Flüchtlingslagers in Machmur, sowie der Stadt Schengal und Berik",2022-02-02 00:00:00,2022-02-02,16:00 -18:00,"Königstraße, Höhe Landgericht",ca. 50
57,2022-02-02 00:00:00,K,"VON HEIR AN GRÜN!
Infromationen zur Landtagswahl NRW",2022-05-15 00:00:00,2022-05-15,17:00 - 22:00,"Innenhafen Duisburg, hinter der Synagoge, hinter dem DGB-Haus, Garten der Erinnerung",70
58,2022-02-03 00:00:00,K,Gegen die wachsende Kriegsgefahr die die Welt an den Abgrund führt! Stoopt die „Querdenker“ und den fahrlässigen Umgang mit der Ge-sundheit aller!“ und den fahrlässigen Umgang mit der Gesundheit al-ler!,2022-02-07 00:00:00,2022-02-07,17:30 - 19:00,Königstraße Ecke Düsseldorfer Straße in 47051 Duisburg am Lifesa-ver-Brunnen,30-40
59,2022-02-04 00:00:00,A (K),"Kleine Protestaktion anlässlich der politischen Menschrechtslage in der Türkei machen werden. Es wurden aktuelle Entscheidungen getroffen, die wir nicht hinnehmen wollen.",2022-02-05 00:00:00,2022-02-05,14:30 - 15:30 ,Emscher Straße 215 bis Hamborner Altmarkt,10-15
60,2022-02-04 00:00:00,A (K),Grundrechte sind nicht verhandelbar,2022-02-14 00:00:00,2022-02-14,18:00 - 19;30,"Ludgeriplatz - Kettenstraße - Memelstraße - Mülheimer Straße - Moltkestraße - Duissernstraße - Duissernplatz - Oranien-/ Saarstraße - Landfermannstraße - Neudorfer Straße - Klöcknerstraße - Ludgeriplatz (Abschlusskundgebung)
Wie oben, nur verlängert: Mülheimer Straße - Schweizer Straße - Schnabelhuck - Wintgensstraße - Duissernstraße - dann weiter wie oben",200-300
61,2022-02-04 00:00:00,K,Kundgebung anlässlich des 2. Jahrestages des rassistischen Anschlags von Hanau,2022-02-19 00:00:00,2022-02-19,13:00 - 16:00,"auf dem König-Heinrich-Platz, zwischen Forum und CityPalais, direkt vor den ""Schwebenden Gärten"" in der Duisburger Innenstadt ",50
62,2022-02-06 00:00:00,K,"19: Februar - 2 Jahre nach Hanau: Kein Vergeben, kein Vergessen!",2022-02-19 00:00:00,2022-02-19,11:30 - 13:00,Averdunkplatz mit dem dazugehörigen Teil der Königstraße,100
63,2022-02-08 00:00:00,M,"Sofortiger Stopp 3G/2G, Sofortiger Stopp Impfwahnsinn, Spaltung + Framing durch Medien, Wir lassen uns nicht spalten, wir wollen reden und Lösungen finden ohne Vorurteile. ",2022-02-11 00:00:00,2022-02-11,09:45 - 11:45,am Alter Markt am Duisburger Rathaus in 47051 Duisburg ,100
64,2022-02-10 00:00:00,K,Aktuelle Wirtschaftspolitik,2022-02-12 00:00:00,2022-02-12,14:00 - 17:00,am Averdunkplatz in der Duisburger Innenstadt,10-15
65,2022-02-10 00:00:00,A (K),"Freie Impfentscheidung, gegen Corona-Maßnahmen, für uneinge-schränkte Entwicklung der Kinder",2022-02-16 00:00:00,2022-02-16,15:15 - 17:15,Rathausstraße (AK) - Richterstraße - Hamborner Altmarkt - Jägerstraße - Jä-gerstraße Höhe Nr. 39 / Buffalo Fried Chicken & Burger (ZK) - Reichenberger Straße - Kolpingstraße - Beecker Straße - Gottliebstraße - Reichenberger Straße - Alleestraße - Hamborner Alt-markt - Hamborner Altmarkt Höhe Nr. 16a / Döner Pavillon (ZK) - Richterstraße - Rathausstraße / Schnelltestzentrum Hamborn (AK),5-30
66,2022-02-11 00:00:00,M,Impfmücken gegen Impflücken,2022-02-14 00:00:00,2022-02-14,18:00 - 20:00,Brückenplatz,ca. 100
67,2022-02-12 00:00:00,A (K),Internationaler Frauentag,2022-03-08 00:00:00,2022-03-08,16:30 - 19:00,gegenüber dem Forum Königstraße - Königstraße/Düsseldorfer Straße - zurück bis gegenüber dem Forum Königstraße,ca. 100
68,2022-02-16 00:00:00,M,Impfmücken gegen Impflücken,2022-02-21 00:00:00,2022-02-21,18:00 - 20:00,Brückenplatz,ca. 100
69,2022-02-16 00:00:00,M,Impfmücken gegen Impflücken,2022-02-28 00:00:00,2022-02-28,18:00 - 20:00,"Brückenplatz
geändert: Kühlingsgasse Platz 47051 Duisburg",ca. 100
70,2022-02-16 00:00:00,M,Impfmücken gegen Impflücken,2022-03-07 00:00:00,2022-03-07,18:00 - 20:00,"Auf der Höhe, Duisburg Kaßlerfeld",ca. 100
71,2022-02-16 00:00:00,M,Impfmücken gegen Impflücken,2022-03-14 00:00:00,2022-03-14,18:00 - 20:00,Brückenplatz,ca. 100
72,2022-02-18 00:00:00,K,Freilassung von Julian Assange,2022-03-19 00:00:00,2022-03-19,14:00 - 18:00,"Duisburg-Mitte, Averdunkplatz",ca. 100
73,2022-02-21 00:00:00,K,PKK von der EU-Terrorliste streichen,2022-02-24 00:00:00,2022-02-24,15:00 - 18:00,"vor den ""Schwebenden Gärten""",20
74,2022-02-22 00:00:00,K,Kundgebung gegen den drohenden Krieg (Russland - Ukraine),2022-02-23 00:00:00,2022-02-23,17:00 - 18:30,Königheinrichplatz,ca. 50 - 100
75,2022-03-23 00:00:00,A (K),"Friedlicher Autokorso gegen politischen Machtmissbrauch, Aufhetzung, Angstmache und Zensur. …",2022-02-25 00:00:00,2022-02-25,15:30 - 16:00,Michaelplatz - Fischerstraße - Hultschiner Straße - Nikolaistraße - Düsseldorfer Straße - Karl-Jarres-Straße - Rheinhauser Straße - Rudolf-Schock-Straße - Sedanstraße - Hochfeldstraße - Heerstraße - Steinsche Gasse - Poststraße - Gutenbergstraße - Köhnenstraße - Landfermannstraße - Mülheimer Straße (Schlusskundgebung beim Amtsgericht Duisburg),10-20 Kfz
76,2022-02-22 00:00:00,K,Gegen den Verkauf von lebenden Tieren ,2022-03-19 00:00:00,2022-03-19,11:30 - 14:00,"auf dem Bürgersteig vor Zoo Zajac (Konrad-Adenauer-Ring 6, 47167 Duisburg)",<10
77,2022-02-23 00:00:00,K,Tarifrunde Sozial- und Erziehungsdienste,2022-03-08 00:00:00,2022-03-08,08:00 -12:00,"Rathaus Duisburg, Burgplatz 19, 47051 Duisburg",250-300
78,2022-04-24 00:00:00,A (K),Die russische Armee bombardiert die Ukraine.,2022-02-24 00:00:00,2022-02-24,18:00 - 19:30,"Lifsaver Brunnen/ Königstraße/ Ecke Düsseldorfer Straße 
zum Forum Königheinrichplatz. / Königstrasse.
",50-100
79,2022-02-24 00:00:00,K,Solidarität mit der Ukraine,2022-02-24 00:00:00,2022-02-24,18:30 - 19:30,"Opernplatz vor dem Theater, 47051 Duisburg",50
80,2022-02-22 00:00:00,A (K),"Freie Impfentscheidung, gegen Corona-Maßnahmen, für uneingeschränkte Entwicklung der Kinder",2022-03-02 00:00:00,2022-03-02,15:15 - 17:15,Fischerstraße - Düsseldorfer Straße - Im Schlenk - Dickelsbach - Lintor-fer Straße - Am Tannenhof - Zu den Rehwiesen - Kalkweg auf Höhe der Sana Kliniken Duisburg  (Zwischenkundgebung) - Kalkweg - Lin-torfer Straße - Dickelsbach - Im Schlenk - Dornstraße - Ulmenstraße - Buchholzstraße - Nikolaistraße - Markusstraße - Michaelsplatz (Ab-schlusskundgebung).,5-30
81,2022-02-26 00:00:00,K,Gegen jede imperialistische Agression - Kampf der Weltkrieggefahr,2022-02-28 00:00:00,2022-02-28,17:30 - 19:00 Uhr,"Forum König Heinrichplatz. / Königstrasse
geändert: Averdunkplatz",50-100 
82,2022-02-25 00:00:00,K,"Infostand zum Thema ""Energiepreise senken""",2022-03-04 00:00:00,2022-03-04,17:00 - 19:00,Portsmouthplatz vor Hotel Ibis,5-15
83,2022-02-28 00:00:00,A,„Kreativquartier Ruhrort“ (Frau Eveline Helget) am 28.02.2022 ,2022-02-28 00:00:00,2022-02-28,18:00 - 18:30,Karlsplatz – Karlstraße – Dr.-Hammacher-Straße – Harmoniestraße – Neumarkt – König-Friedrich-Wilhelm-Straße – Dammstraße – Schifferbörse,"8-??
tats. 80"
84,2022-02-28 00:00:00,M,Mahnwache zur Freilassung von Julian Assange,2022-03-03 00:00:00,2022-03-03,18:30 - 20:00,"Duisburg-Mitte, Averdunkplatz",10
