Nr.,Anmeldedat.,Art,Thema,"Wochen-
tag",Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
225,2020-07-15 00:00:00,K,Klimakrise und die Verantwortung der Kommune,2020-09-04 00:00:00,2020-09-04 00:00:00,15:00-19:00,"König-Heinrich-Platz, vor dem Amtsgericht",200
226,2020-07-14 00:00:00,M,in Gedenken an die Nuklearbomben-Abwürfe auf die japanischen Städte Nagasaki und Hiroshima 1945,2020-08-06 00:00:00,2020-08-06 00:00:00,19:00-22:00,"Life-Saver-Brunnen, Königstraße, Innenstadt Duisburg",10
227,2020-07-18 00:00:00,K,"der Anschlag vor 5 Jahren in der türkischen Stadt Suruc sein, bei dem 33 vorwiegend junge Menschen ums leben gekommen sind",2020-07-20 00:00:00,2020-07-20 00:00:00,14:00-18:00,"Königstraße, auf Höhe des Forums hinter dem Zugang zur U-Bahn ",5-10
228,2020-07-18 00:00:00,M,Für eine gute Bezahlung – statt Klatschen!,2020-07-23 00:00:00,2020-07-23 00:00:00,12:30-15:00,"Ecke Kalkweg /  Zu den Rehwiesen, 47055 Duisburg",8
229,2020-07-20 00:00:00,K,"Gewalt gegen Frauen und Frauenmorde, Bombardierung kurdischer Gebiete im Nordirak durch türkische Streitkräfte, Repressionen gegen das kurdische Volk, …",2020-07-22 00:00:00,2020-07-22 00:00:00,17:00-18:00,"vor den ""Hängenden Gärten"", 47051 Duisburg",30-40
230,2020-07-20 00:00:00,K,"Gewalt gegen Frauen und Frauenmorde, Bombardierung kurdischer Gebiete im Nordirak durch türkische Streitkräfte, Repressionen gegen das kurdische Volk, …",2020-07-29 00:00:00,2020-07-29 00:00:00,17:00-18:00,"vor den ""Hängenden Gärten"", 47051 Duisburg",30-40
231,2020-07-20 00:00:00,K,"Gewalt gegen Frauen und Frauenmorde, Bombardierung kurdischer Gebiete im Nordirak durch türkische Streitkräfte, Repressionen gegen das kurdische Volk, …",2020-08-05 00:00:00,2020-08-05 00:00:00,17:00-18:00,"vor den ""Hängenden Gärten"", 47051 Duisburg",30-40
232,2020-07-20 00:00:00,K,"Gewalt gegen Frauen und Frauenmorde, Bombardierung kurdischer Gebiete im Nordirak durch türkische Streitkräfte, Repressionen gegen das kurdische Volk, …",2020-08-12 00:00:00,2020-08-12 00:00:00,17:00-18:00,"vor den ""Hängenden Gärten"", 47051 Duisburg",30-40
233,2020-07-21 00:00:00,A (K),"KIDICAL MASS - Fahrrad-Demo für Kinder und Erwachsene zur Verbesserung der Situation für Radfahrer, insbesondere für Jugendliche und Kinder",2020-09-20 00:00:00,2020-09-20 00:00:00,15:00-16:30,"Start Duisburg Hbf, Friedrich-Wilhelm-Str, Steinsche Gasse,
Gutenbergstr, Köhnenstr., Landfermannstr., Saarstr., Mercatorstr.,
Düsseldorfer Str., Kantpark Spielplatz",50
234,2020-07-22 00:00:00,K,Demo gegen Assad,2020-07-26 00:00:00,2020-07-26 00:00:00,18:00-20:00,"Duisburg Hbf. - Königstraße - Kuhstraße / Sonnenwall ""Die Schiffsmasken""",60-100
235,2020-07-23 00:00:00,K,Bombardierung kurdischer Gebiete im Nordirak durch türkische Streitkräfte,2020-07-25 00:00:00,2020-07-25 00:00:00,16:00-18:00,"Duisburg-Innenstadt, Schiffsmaskenbrunnen",50
236,2020-07-25 00:00:00,K,"Tierrechte, Veganismus",2020-08-08 00:00:00,2020-08-08 00:00:00,15:00-18:00,"vor dem Forum, Stadtmitte Duisburg",10-20
237,2020-07-25 00:00:00,K,"Tierrechte, Veganismus",2020-08-22 00:00:00,2020-08-22 00:00:00,15:00-18:00,"vor dem Forum, Stadtmitte Duisburg",10-20
238,2020-07-24 00:00:00,K,Die Entwicklung in 16 Jahren Montagsdemo,2020-08-03 00:00:00,2020-08-03 00:00:00,17:30-19:30,Lifesaver Brunnen Königstrasse,30-40
239,2020-07-29 00:00:00,M,Volksinitiative Artenschutz - Artenschutz auch in Duisburg!,2020-08-01 00:00:00,2020-08-01 00:00:00,11:00-14:00,"Königstraße, Duisburger Innenstadt - Gewünschte Orte: 1.) Friedrich-Wilhelm-Platz 2.) Live-Saver 3.) Düsseldorfer Str. ehem. Bibliothek 4.) Averdunkplatz",5
240,2020-07-30 00:00:00,K,Einmarsch der türkischen Armee in Südkurdistan,2020-08-01 00:00:00,2020-08-01 00:00:00,16:00-18:00,"Duisburg-Innenstadt, Schiffsmaskenbrunnen",70
241,2020-07-30 00:00:00,K,Bombardierung kurdischer Gebiete im Nordirak durch türkische Streitkräfte,2020-08-08 00:00:00,2020-08-08 00:00:00,16:00-18:00,"Duisburg-Innenstadt, Schiffsmaskenbrunnen",70
242,2020-07-30 00:00:00,K,Bombardierung kurdischer Gebiete im Nordirak durch türkische Streitkräfte,2020-08-15 00:00:00,2020-08-15 00:00:00,16:00-18:00,"Duisburg-Innenstadt, Schiffsmaskenbrunnen",70
243,2020-07-30 00:00:00,K,Einmarsch der türkischen Armee in Südkurdistan,2020-08-22 00:00:00,2020-08-22 00:00:00,16:00-18:00,"Duisburg-Innenstadt, Schiffsmaskenbrunnen",70
244,2020-07-30 00:00:00,K,Einmarsch der türkischen Armee in Südkurdistan,2020-08-29 00:00:00,2020-08-29 00:00:00,16:00-18:00,"Duisburg-Innenstadt, Schiffsmaskenbrunnen",70
245,2020-07-30 00:00:00,K,Kritik an Missständen in der Massentierhaltung ,2020-08-04 00:00:00,2020-08-04 00:00:00,18:00-20:00,DU-Stadtmitte; Koloniestraße / Ecke Sternbuschweg,12
246,2020-07-30 00:00:00,A (K),Den Rechten keine Stimme - Vereint gegen Rassismus und Hass,2020-09-12 00:00:00,2020-09-12 00:00:00,16:00-18:30,"Ludgeriplatz, Klöckner Straße, Neudorfer Straße,  Mülheimer Straße, König Straße, Rathaus neu: Ludgerieplatz – Ludgeriestraße – über Mülheimer Straße – Hansastra-ße – Kardinal-Galen-Straße – Moselstraße – Landfermannstraße – AK am Stadttheater.",100
247,2020-07-27 00:00:00,K,"Information anlässlich der Kommunalwahlen über die Inhalte und Zielsetzungen der Bewegung Seebrücke, Motto: ""SEEBRÜCKE DU rät: Augen auf bei der Kommunalwahl""",2020-09-04 00:00:00,2020-09-04 00:00:00,15:30-18:30,"Königstraße zwischen Forum und Sparkasse, Duisburger Innenstadt, zwischen den Bäumen",30
248,2020-08-04 00:00:00,K,Warnstreik,2020-08-10 00:00:00,2020-08-10 00:00:00,12:00-14:30,"Hochstraße 177, 47228 Duisburg / Betriebsparkplatz",80
249,2020-08-04 00:00:00,K,Corona und Kultur - Lösungen für die Kulturschaffenden und Gastronomie,2020-08-27 00:00:00,2020-08-27 00:00:00,15:00-19:00,"Life-Saver-Brunnen, Königstraße, Innenstadt Duisburg",75
250,2020-08-10 00:00:00,K,Tierrechte Veganismus Klimawandel,2020-08-14 00:00:00,2020-08-14 00:00:00,18:00-20:00,"Königstraße, vor dem Forum",10-15
251,2020-08-10 00:00:00,A (K),6. Monat Hanau Massaker,2020-08-19 00:00:00,2020-08-19 00:00:00,17:30-19:00,"Kundgebung vor dem Averdunkplatz, Zug über Hbf / Friedrich-Willheim Strasse - Düsseldorferstr. / Lifesaver Zwischenkundgebung und vor dem Forum Endkundgebung",50-70
252,2020-08-11 00:00:00,M,Internationaler Antikriegstag ,2020-09-01 00:00:00,2020-09-01 00:00:00,17:00-22:00,"Life-Saver-Brunnen, Königstraße, Innenstadt Duisburg",10
253,2020-08-11 00:00:00,K,Wahlveranstaltung Kommunalwahl,2020-09-08 00:00:00,2020-09-08 00:00:00,17:00-19:30,"Höhe Königstraße 54,",100
254,2020-08-14 00:00:00,K,"Gegen das Vergessen, für die Aufklärung",2020-08-26 00:00:00,2020-08-26 00:00:00,18:00-20:00,vor dem Haus Wanheimer Straße 301,50
255,2020-08-14 00:00:00,A (K),Globaler Klimastreik,2020-09-25 00:00:00,2020-09-25 00:00:00,14:00h-18:00,Hbf - Friedrich-Wilhelm-Str. - Steinsche Gasse - Poststraße - Gutenbergstraße - Köhnenstraße - Friedrich Albert Lange Platz,500
256,2020-08-11 00:00:00,"(A (K) 
M",Klimaschutz und Kommunalwahlen,2020-09-04 00:00:00,2020-09-04 00:00:00,14:00-16:00,(Hbf - Mecatorstraße - Königsstraße - Kuhtor - Kuhstraße - Poststraße - Burgplat)  am Lifesaver-Brunnen,"(100)
10"
257,2020-08-11 00:00:00,M,Klimaschutz und Kommunalwahlen,2020-09-11 00:00:00,2020-09-11 00:00:00,15:00-15:00,"24h Mahnwache Königstarße , schwebende Gärten",5-10
258,2020-08-16 00:00:00,K,"Gewalt gegen Frauen und Frauenmorde, Bombardierung kurdischer Gebiete im Nordirak durch türkische Streitkräfte, Repressionen gegen das kurdische Volk, …",2020-08-19 00:00:00,2020-08-19 00:00:00,17:00-1800,"vor den ""Hängenden Gärten"", 47051 Duisburg",30-40
259,2020-08-16 00:00:00,K,"Gewalt gegen Frauen und Frauenmorde, Bombardierung kurdischer Gebiete im Nordirak durch türkische Streitkräfte, Repressionen gegen das kurdische Volk, …",2020-08-26 00:00:00,2020-08-26 00:00:00,17:00-1800,"vor den ""Hängenden Gärten"", 47051 Duisburg",30-40
260,2020-08-16 00:00:00,K,"Gewalt gegen Frauen und Frauenmorde, Bombardierung kurdischer Gebiete im Nordirak durch türkische Streitkräfte, Repressionen gegen das kurdische Volk, …",2020-09-02 00:00:00,2020-09-02 00:00:00,17:00-18:00,"vor den ""Hängenden Gärten"", 47051 Duisburg",30-40
261,2020-08-16 00:00:00,K,"Gewalt gegen Frauen und Frauenmorde, Bombardierung kurdischer Gebiete im Nordirak durch türkische Streitkräfte, Repressionen gegen das kurdische Volk, …",2020-09-09 00:00:00,2020-09-09 00:00:00,17:00-18:00,"vor den ""Hängenden Gärten"", 47051 Duisburg",30-40
262,2020-08-15 00:00:00,K,Maskenpflicht im Schuluntericht NRW ( gegen stundenlanges tragen von Masken aus gesundheitlichen Gründen),2020-08-29 00:00:00,2020-08-29 00:00:00,11:00-13:00,"Königstraße, Duisburger City",2500
263,2020-08-18 00:00:00,K,Aufklärung über die Haltungsbedingungen von Menschenaffen im Zoo Duisburg,2020-08-22 00:00:00,2020-08-22 00:00:00,12:00-14:00,Vor dem Zoo Duisburg,15
264,2020-08-18 00:00:00,K,Frauen in der Kommunalpolitik - Wir holen uns den Raum zurück,2020-09-02 00:00:00,2020-09-02 00:00:00,16:00-19:00,Ludgeriplatz Duisburg in Höhe Klöckner Str. 48,30
265,2020-08-18 00:00:00,"A (K)
K",Freiheit Deutschlands und der Schutz unserer Kinder,2020-09-13 00:00:00,2020-09-13 00:00:00,13:00-18:00,Portsmouthplatz-Friedrich Wilhelm Str. - Friedrich Wilhelm Platz - Steinsche Gasse - Schwanenstr. - Alter Markt / Froschkönigbrunnen - Salvatorstr. - Burgplatz - Gutenbergstr. - Köhnenstr. - Friedrich Albert Lange Platz - Landfermannsttr. - Saarstr. - Mercatorstr. - Portsmouthplatz ,200
266,2020-08-19 00:00:00,K,Eine Stadt für Alle,2020-08-31 00:00:00,2020-08-31 00:00:00,"(12:30)
14:00-16:30","August-Bebel-Platz, 47169 Duisburg ",50
267,2020-08-19 00:00:00,A (K),"Global Marijuana Marsch 2020, Gleichbehandlung statt Wilkür",2020-09-12 00:00:00,2020-09-12 00:00:00,14:00-18:00,Portsmouthplatz - Königstraße - neu: Friedrich-Wilhelm-Straße - Kopfwende - zurück zum Kantpark,150
268,2020-08-20 00:00:00,K,"Menschenretterinnen: Ärztinnen, Krankenpflegepersonal….",2020-09-26 00:00:00,2020-09-26 00:00:00,10:30-16:30,Averdunkplatz,10
269,2020-08-21 00:00:00,K,Aktion zum Weltkindertag mit Schwerpunk auf Kinderrechte,2020-09-18 00:00:00,2020-09-18 00:00:00,15:00-18:00,"Lifesaver-Brunnen, Königstraße",50
270,2020-08-21 00:00:00,K,"Zensur Social media, Repressionen aufgrund politischer Meinung",2020-08-23 00:00:00,2020-08-23 00:00:00,15:00-17:00,Innenhafen10 Höhe König Pilsener Wirtshaus,5-8
271,2020-08-24 00:00:00,K,"Gegen Rassismus und Antikommunismus, Stoppt Abschiebungen!",2020-08-28 00:00:00,2020-08-28 00:00:00,17:00-18:00,"Hochemmericher Markt vor dem Forum, Rheinhausen-Hochemmerich",30-50
272,2020-08-24 00:00:00,K,Wir Grünen machen Yoga zusammen mit Dir - mehr Fläche für die Bevölkerung zur Nutzung freigeben!,2020-08-29 00:00:00,2020-08-29 00:00:00,12:00-14:00,"Botanischer Garten, Duisburg-Duissern, Schweizer Straße 24, 47058 Duisburg",15
273,2020-08-23 00:00:00,K,Montagsdemo,2020-09-07 00:00:00,2020-09-07 00:00:00,17:30-19:30,Lifesaver Brunnen Königstraße,30-40
274,2020-08-23 00:00:00,A (K),Antikriegstag - Stoppt die Barbarei,2020-09-01 00:00:00,2020-09-01 00:00:00,17:00-19:00,Lifesaver - Forum Königstraße - Averdunk Str. - Friedrich Wilhelmstr. - Steinsche Gasse - Königstr.- Kuhtor,ca. 50
275,2020-08-23 00:00:00,K,"Tierrechte, Veganismus",2020-09-04 00:00:00,2020-09-04 00:00:00,16:45-20:00,"vor dem Forum, Stadtmitte Duisburg",10-20
276,2020-08-23 00:00:00,K,"Tierrechte, Veganismus",2020-09-18 00:00:00,2020-09-18 00:00:00,16:45-20:00,"vor dem Forum, Stadtmitte Duisburg",10-20
277,2020-08-26 00:00:00,"A (K)
K",Kundgebung gegen Pegida NRW,2020-09-13 00:00:00,2020-09-13 00:00:00,13:30-18:30,vor dem Duisburger Hauptbahnhof ,150
278,2020-08-26 00:00:00,K,Überlegungen zur Gestaltung der Sechsseenplatte,2020-09-06 00:00:00,2020-09-06 00:00:00,11:00-??,"am Masurensee, Höhe ETUS-Gaststätte Masurenallee 331 ",25
279,2020-08-27 00:00:00,K,Schwangerschaftsabbruch und sexuelle Selbstbestimmung,2020-09-28 00:00:00,2020-09-28 00:00:00,17:00-19:00,"vor dem Lifesaver, Königstraße",100
280,2020-08-27 00:00:00,K,Wahlkampfversammlung (Kommunalwahl) ,2020-09-03 00:00:00,2020-09-03 00:00:00,11:00-13:00,"Von-der-Mark-Strasse/Laaker Strasse, Meiderich",ca. 10
281,2020-08-27 00:00:00,K,Wahlkampfversammlung (Kommunalwahl) ,2020-09-03 00:00:00,2020-09-03 00:00:00,14:00-16:00,neu: Averdunkplatz,ca. 10
282,2020-08-27 00:00:00,K,Wahlkampfversammlung (Kommunalwahl) ,2020-09-04 00:00:00,2020-09-04 00:00:00,11:00-13:00,"Altmarkt, Hamborn",ca. 10
283,2020-08-27 00:00:00,K,Wahlkampfversammlung (Kommunalwahl) ,2020-09-04 00:00:00,2020-09-04 00:00:00,14:00-16:00,"Kometenplatz, Walsum",ca. 10
284,2020-08-27 00:00:00,K,Wahlkampfversammlung (Kommunalwahl) ,2020-09-05 00:00:00,2020-09-05 00:00:00,11:00-13:00,"Friedrich-Alfred-Strasse am Brunnen, Rheinhausen",ca. 10
285,2020-08-27 00:00:00,K,Wahlkampfversammlung (Kommunalwahl) ,2020-09-05 00:00:00,2020-09-05 00:00:00,14:00-16:00,"Sittardsberger Allee 14, Buchholz",ca. 10
286,2020-08-31 00:00:00,M,"Stoppt die Verfolgung von Falun Gong und den Organraub an lebenden Falun Gong Praktizierende in China, Falun Dafa ist Gut",2020-09-05 00:00:00,2020-09-05 00:00:00,10:30-17:00,"in der Stadtmitte, auf der Königstrasse, im Bereich des Livesaver-Brunnens ",8
287,2020-08-31 00:00:00,K,Frauen in der Kommunalpolitik - Wir holen uns den Raum zurück,2020-09-11 00:00:00,2020-09-11 00:00:00,16:00-19:00,Ludgeriplatz Duisburg in Höhe Klöckner Str. 48,30
288,2020-09-01 00:00:00,M,"Klimaschutz ist kein Verbrechen, Solidarität mit den gefangenen Akti-vist*Innen",2020-09-01 00:00:00,2020-09-01 00:00:00,09:00-20:00,Nahbereich des Haupteingangs des Polizeipräsidiums Duisburg ,max. 10
289,2020-09-01 00:00:00,M,"Klimaschutz ist kein Verbrechen, Solidarität mit den gefangenen Akti-vist*Innen",2020-09-02 00:00:00,2020-09-02 00:00:00,09:00-20:00,Nahbereich des Haupteingangs des Polizeipräsidiums Duisburg ,max. 10
290,2020-09-01 00:00:00,M,"Klimaschutz ist kein Verbrechen, Solidarität mit den gefangenen Akti-vist*Innen",2020-09-03 00:00:00,2020-09-03 00:00:00,09:00-20:00,Nahbereich des Haupteingangs des Polizeipräsidiums Duisburg ,max. 10
291,2020-09-01 00:00:00,M,"Klimaschutz ist kein Verbrechen, Solidarität mit den gefangenen Akti-vist*Innen",2020-09-04 00:00:00,2020-09-04 00:00:00,09:00-20:00,Nahbereich des Haupteingangs des Polizeipräsidiums Duisburg ,max. 10
292,2020-08-28 00:00:00,M,Mehr Transparenz im Duisburger Haushalt und echte Bürgerbeteiligung - Wir brauchen viele soziokulturelle Zentren,2020-08-29 00:00:00,2020-08-29 00:00:00,14:00-17:00,Stadtmitte Dellplatz 16A vor dem geschlossenen Grammatikoff,ca. 10
293,2020-09-01 00:00:00,K,Aufmerksamkeit auf die Arbeitsbedingungen der Schulbegleitungen lenken,2020-09-08 00:00:00,2020-09-08 00:00:00,16:30-18:00,"Johannes-Corputius-Platz, 47051 Duisburg",ca. 100
294,2020-09-01 00:00:00,K,Informationsveranstaltung zur Kommunalwahl mit Live-Übertragung der Wahlergebnisse im öffentlichen Raum,2020-09-13 00:00:00,2020-09-13 00:00:00,17:00-21:30,"Altstadtpark, Springwall, 47015 Duisburg",50
295,2020-09-01 00:00:00,K,"grünes Duibsurg, nachhaltige Bildung",2020-09-11 00:00:00,2020-09-11 00:00:00,18:00-21:00,"DU-Neudorf, Lutherplatz, Bismarckstr / Gustav-Freytag-Str",bis zu 50
296,2020-07-18 00:00:00,K,Gedenken an Ivana Hoffmann,2020-09-05 00:00:00,2020-09-05 00:00:00,15:00-18:00,"Königstraße, auf Höhe des Forums hinter dem Zugang zur U-Bahn ",5-10
297,2020-09-02 00:00:00,K,"Solidarität mit Aytaç Ünsal,  Didem Akman und Özgür Karakaya",2020-09-05 00:00:00,2020-09-05 00:00:00,18:00-20:00,"Konig-Heinrich-Platz, Duisburg
neu: Portsmouthplatz",20-100
298,2020-09-03 00:00:00,K,Kritik an Missständen in der Massentierhaltung ,2020-09-04 00:00:00,2020-09-04 00:00:00,18:00-20:00,"Kreuzung Sternbuschweg, Koloniestraße (Duisburg-Neudorf) ",20
299,2020-09-08 00:00:00,K,Freiheit für die Mitglieder der Sozialistische Partei der Unterdrückten (ESP) / Razzien am späten Nachmittag des 07.09.2020 in der Türkei,2020-09-08 00:00:00,2020-09-08 00:00:00,17:00-18:00,Königstrasse vor Forum ,10
300,2020-09-04 00:00:00,K (M),"Kultur-Manifestation mit Musik, Tanz, Lyrik für eine vielfältige, tolerante, solidarische Stadtgesellschaft - gegen den Aufzug von Pegida u.a. rassistischer, rechter Parteien und Bewegungen in Duisburg am  13. September auf der Bahnhofsplatte Duisburg",2020-09-13 00:00:00,2020-09-13 00:00:00,14:00-15:30,Auf der Platte vor dem Haupteingang des Duisburger Hauptbahnhofs   ,400
301,2020-09-07 00:00:00,A (K),Kommunalwahl,2020-09-12 00:00:00,2020-09-12 00:00:00,16:00-20:00,"Radtour: König-Heinrich-Platz, Landfermannstr, Neckerstr., Kardinal-Galenstr., Ackerfährstr. Ubahn Station Duissern, Schlegtendalstr., Duissernstr. Moltkestr., Mühlheimerstr., Sternbuschweg, Kammerstr., Bismarckstr., Oststr., Ludgeriplatz, Klöcknerstr., Neudorfer; Fortsetzung der Aufzugroute: Neue Fruchtstr., Koloniestr., Mercatorstr., Friedrich-
Wilhelmstr., Wallstr., Dellplatz","20
max. 11"
302,2020-09-07 00:00:00,K,anlässlich des siebten Monats des rassistischen Anschlags von Hanau,2020-09-19 00:00:00,2020-09-19 00:00:00,14:00-17:00,"auf dem König-Heinrich-Platz, zwischen Forum und CityPalais, direkt vor den ""Hängenden Gärten"" 
neu: am Lifesaver-Brunnen",30
303,2020-09-09 00:00:00,K,"„Moria brennt! Evakuiert die Lager""",2020-09-09 00:00:00,2020-09-09 00:00:00,18:00-19:00,"König-Heinrich-Platz; vor den ""Schwebenden Gärten""",30
304,2020-09-11 00:00:00,K,"Demo französischer Stahlarbeiter anlässlich der Restrukturierunsmaßnahmen in Form von Arbeitsplatzkürzungen bei ""Klöckner"" in Frankreich",2020-09-14 00:00:00,2020-09-14 00:00:00,10:00-13:00,"Mülheimer Str./ Neudorfer Str., vor dem Klöckner-Verwaltungsgebäude",40-50
305,2020-09-13 00:00:00,M,"Stoppt die Verfolgung von Falun Gong und den Organraub an lebenden Falun Gong Praktizierende in China, Falun Dafa ist Gut",2020-09-19 00:00:00,2020-09-19 00:00:00,13:00-17:30,"in der Stadtmitte, auf der Königstrasse, im Bereich des Livesaver-Brunnens ",6
306,2020-09-14 00:00:00,K,Aktive Mittagspause zur Einkommensrunde 2020 (Bund und Kommune),2020-09-17 00:00:00,2020-09-17 00:00:00,12:00-13:30,"Burgplatz 19, Duisburg vor dem Rathaus",max. 15
307,2020-09-16 00:00:00,K,Duisburg soll sicherer Hafen für Geflüchtete werden,2020-09-19 00:00:00,2020-09-19 00:00:00,12:00-13:30,"Mitte, Königstraße vor dem Haupteingang des Forums
neu: am Schiffsmaskenbrunnen
neu: zwischen den ""schwebenden Gärten""","70
max. 50"
308,2020-09-16 00:00:00,K,"Situation der Geflüchteten auf Lesbos, insbesondere die von Frauen",2020-09-19 00:00:00,2020-09-19 00:00:00,10:00-14:00,"der Duisburger Innenstadt, Münzstraße 9-11 ",5-10
309,2020-09-18 00:00:00,K,Kritik an Missständen in der Massentierhaltung ,2020-09-21 00:00:00,2020-09-21 00:00:00,18:00-20:00,"Kreuzung Sternbuschweg, Koloniestraße (Duisburg-Neudorf) ",ca. 15
310,2020-09-21 00:00:00,K,"Tierrechte, Veganismus, Klimawandel",2020-09-26 00:00:00,2020-09-26 00:00:00,11:00-13:00,"Königstr. 29, 47051 Duisburg (etwa zwischen The Sting / Amtgericht)",10-15
311,21.09.20220,K,Streik im öffentlichen Dienst,2020-10-14 00:00:00,2020-10-14 00:00:00,08:00-14:00,"Burgplatz 19, Duisburg vor dem Rathaus",150
312,2020-09-21 00:00:00,K,"Tierrechte, Veganismus,",2020-10-02 00:00:00,2020-10-02 00:00:00,16:45-20:00,"vor dem Forum, Stadtmitte Duisburg",10-20
313,2020-09-21 00:00:00,k,"Tierrechte, Veganismus,",2020-10-16 00:00:00,2020-10-16 00:00:00,16:45-20:00,"vor dem Forum, Stadtmitte Duisburg",10-20
314,2020-09-21 00:00:00,k,"Tierrechte, Veganismus,",2020-10-31 00:00:00,2020-10-31 00:00:00,13:45-17:00,"vor dem Forum, Stadtmitte Duisburg",10-20
315,2020-09-22 00:00:00,A,Fahraddemo,2020-10-02 00:00:00,2020-10-02 00:00:00,16:00-18:00,FAHRRAD: Hbf-Saarstr.-Mülheimer Str.-Carl-Benz-Str.-Autobahn A40 (Ausfahrt 14 - Ausfahrt 15)-Steinkampstr.-Raffelbergbrücke-Ruhrorter Str.-Ruhrdeich-Meidericher Str.-Wintgenstr-Kardinal-Galen-Str.-Stapeltor-Steinsche Gasse-Freidrich Wilhelm Str. - Hbf,50
316,2020-09-20 00:00:00,K,"Volksinitiative ""Gesunde Krankenhäuser in NRW- für alle""",2020-09-26 00:00:00,2020-09-26 00:00:00,10:00-13:00,"Duisburg Hamborn, Altmarkt, Richterstraße",max. 4
317,2020-09-24 00:00:00,K,Betreiken des Straßeverkehrsamtes,2020-09-25 00:00:00,2020-09-25 00:00:00,07:00-11:30,vor dem Straßenverkehrsamt Haupteingang; Ludwig-Krohne-Straße 6 in 47058 Duisburg ,25
318,2020-09-24 00:00:00,K,"Tarifrunde öffentlicher Dienst, Streik in Sparkassen",2020-09-29 00:00:00,2020-09-29 00:00:00,08:30-11:00,König-Heinrich-Platz Ecke Claubergstr/Landgerichtstr,200
319,2020-06-25 00:00:00,K,"Bürgerrechte, Demokratie, soziale Gerechtigkeit",2020-10-04 00:00:00,2020-10-04 00:00:00,11:00-12:00,"Portsmouthplatz, Duisburger Hbf.",20
320,2020-09-25 00:00:00,K,heutige Festnahme in Ankara von HDP-Abgeordneten und dem Oberbürbermeister ,2020-09-25 00:00:00,2020-09-25 00:00:00,17:00-19:00,"Duisburg-Innenstadt, am Lifesaver-Brunnen",30-40
321,2020-09-28 00:00:00,A (K),Tarifrunde öffentlicher Dienst,2020-09-30 00:00:00,2020-09-30 00:00:00,08:00-11:00,im Duisburger Innenhafen,200
322,2020-09-30 00:00:00,M,Lager sind kein Zuhause Anlässlich der prekären Lebens-situation von Menschen auf der Flucht an den Außengrenzen der EU veranstaltet SEEBRÜCKE DU diese Mahnwache.,2020-10-09 00:00:00,2020-10-09 00:00:00,16:00-18:00,"Duisburger Innenstadt, Königstraße, zwischen Forum und Café Dobbelstein, unter den Bäumen",20-30
323,2020-10-02 00:00:00,K,Die Zukunft der Jugend,2020-10-05 00:00:00,2020-10-05 00:00:00,17:30-19:30,Lifesaver Brunnen Königstraße,30-40
324,2020-10-02 00:00:00,K,Streik zur Tarifrunde im öffentlicher Dienst Bund/ Kommune,2020-10-08 00:00:00,2020-10-08 00:00:00,06:00-10:45,vor den Rathaus Burgplatz,100
325,2020-10-02 00:00:00,K,"Tierrechte, Veganismus",2020-10-16 00:00:00,2020-10-16 00:00:00,16:45-20:00,"vor dem Forum, Stadtmitte Duisburg",10-20
326,2020-10-02 00:00:00,K,"Tierrechte, Veganismus",2020-10-31 00:00:00,2020-10-31 00:00:00,13:45-17:00,"vor dem Forum, Stadtmitte Duisburg",10-20
327,2020-10-02 00:00:00,K,"Tierrechte, Veganismus",2020-11-07 00:00:00,2020-11-07 00:00:00,16:00-19:00,"vor dem Forum, Stadtmitte Duisburg",10-25
328,2020-10-05 00:00:00,M,"Volksinitiative ""Gesunde Krankenhäuser in NRW - für Alle""",2020-10-10 00:00:00,2020-10-10 00:00:00,10:00-13:00,Marktplatz Hochemmerich  Duisburgerstraße/Atroperstraße,4-6
329,2020-10-02 00:00:00,A (K),LeaveNoOneBehind,2020-10-17 00:00:00,2020-10-17 00:00:00,14:00-15:30,""" in der Königstrasse vor Averdunkplatz",40
330,2020-10-06 00:00:00,M,"Stoppt die Verfolgung von Falun Gong und den Organraub an lebenden Falun Gong Praktizierende in China, Falun Dafa ist Gut",2020-10-10 00:00:00,2020-10-10 00:00:00,12:00-17:00,Duisburger Innenstadt im Bereich des Lifesaver-Brunnens,6
331,2020-10-06 00:00:00,K,"Informationsstand zur Situation der Geflüchteten in Moria, Lesbos",2020-10-08 00:00:00,2020-10-08 00:00:00,18:00-22:00,"Portsmouthplatz 1, 47051 Duisburg auf dem Vorplatz des Hbf",max 10
332,2020-10-06 00:00:00,K,Kundgebung gegen Pegida NRW,2020-11-29 00:00:00,2020-11-29 00:00:00,13:30-18:30,vor dem Duisburger Hauptbahnhof ,150
333,2020-10-08 00:00:00,A (K),Freiheit für Öcalan/ Fackel Demo,2020-10-09 00:00:00,2020-10-09 00:00:00,19:00-21:00,Friedrich-Wilhelm-Straße – Friedrich-Wilhelm-Platz – Steinsche Gasse – Kuhstraße – Kuhtor – Zwischenkundgebung am Schiffsmasken-brunnen – Kuhstraße – Steinsche Gasse – Friedrich-Wilhelm-Platz – Friedrich-Wilhelm-Straße – Abschlusskundgebung am Portsmouth-platz.,40
334,2020-10-11 00:00:00,M,"Stoppt die Verfolgung von Falun Gong und den Organraub an lebenden Falun Gong Praktizierende in China, Falun Dafa ist Gut",2020-10-17 00:00:00,2020-10-17 00:00:00,11:00-17:30,Duisburger Innenstadt im Bereich des Lifesaver-Brunnens,8
