Nr.,Anmeldedat.,Art,Thema,"Wochen-
tag",Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
35,2020-02-06 00:00:00,A (K),"Wahl des Ministerpräsidenten in Thüringen; ""Stopp gegen Faschismus“ 
 ",2020-02-06 00:00:00,2020-02-06 00:00:00,17:00-19:00,(AK) Stapeltor 17-19 am DGB Haus - Pulverweg - Köhnenstraße 11 am FDP Büro (AK),50-100
36,2020-02-06 00:00:00,M,"Experimente an Tieren, die an der Universität stattgefunden haben",2020-02-07 00:00:00,2020-02-07 00:00:00,18:00-21:00,"vor dem Zugang zur Universität Duisburg/Essen, auf dem Bürgersteig der Mülheimer Str., gegenüber der Haltestelle Zoo/Uni.",max. 15
37,2020-02-11 00:00:00,A (K),internationaler Weltfrauentag am 07.03.2020,2020-03-07 00:00:00,2020-03-07 00:00:00,11:00-17:00,"Königstraße, Livesaver Brunnen, Schiffsmakenbrunnen, Kuhtor, Forum, Sonnenwall Königsgalerie",200
38,2020-02-12 00:00:00,K,Empty the tanks,2020-05-09 00:00:00,2020-05-09 00:00:00,11:00-15:00,DU-Duissern; Mülheimer Straße 277; Duisburger Zoo,50
39,2020-02-12 00:00:00,A (K),"KIDICAL MASS Fahrrad-Demo für Kinder und Erwachsene zur Verbesserung der Situation für Radfahrer, insbesondere für Jugendliche und Kinder",2020-03-22 00:00:00,2020-03-22 00:00:00,15:00-16:00,"Start Duisburg Hbf, Friedrich-Wilhelm-Str, Steinsche Gasse,
Gutenbergstr, Köhnenstr., Landfermannstr., Saarstr., Mercatorstr.,
Düsseldorfer Str., Kantpark Spielplatz",50
40,2020-02-12 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2020-03-06 00:00:00,2020-03-06 00:00:00,14:00-16:00,HBF - Friedrich-Wilhelm-Str. - Sonnenwall - Musfeldstr. - Steische Gasse - Kuhstraße - Kuhtor - Königsstraße - Forum (AK),100
41,2020-02-20 00:00:00,A (K),Rechter Terroranschlag in Hanau,2020-02-22 00:00:00,2020-02-22 00:00:00,14:00-18:00,Portsmouthplatz (vor dem Hbf) Friedrich-Wilhelm-Str. Düsseldorfer Str. Königstraße Stadttheater Duisburg,150
42,2020-02-20 00:00:00,K,Rechter Terroranschlag in Hanau,2020-02-20 00:00:00,2020-02-20 00:00:00,18:00-19:00,Forum Duisburg,50
43,2020-02-24 00:00:00,K,"""Gegen die AfD""",2020-02-29 00:00:00,2020-02-29 00:00:00,10:00-16:00,Kreuzung Friedrich-Ebert-Straße/Ecke Schwarzenbergerstraße in Duisburg-Rheinhausen ,50
44,2020-02-24 00:00:00,K,"""Wie weiter mit der Stahlindustrie in Duisburg""",2020-03-02 00:00:00,2020-03-02 00:00:00,17:30-19:30,Königstraße König-Heinrich-Platz Höhe Lifesaver-Brunnen,40-50
45,2020-02-20 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2020-04-24 00:00:00,2020-04-24 00:00:00,13:00-20:00,Königsstraße (vor dem Forum) - König-Heinrich-Platz (vorbei an den Wiesen) - Landfermannstraße - Saarstraße - Mercatorstraße - Friedrich-Wilhelm-Straße - Steinsche Gasse - Kuhstraße -Königsstraße,mehrere Tausend
46,2020-02-28 00:00:00,K,Waldbrand am Gefängnis von Abdullah Öcalan,2020-02-28 00:00:00,2020-02-28 00:00:00,18:00-18:30,"DU-Stadtmitte; Schiffsmaskenbrunnen, Kuhtor",40-60
47,2020-02-29 00:00:00,K,"Tierrechte, Veganismus, Klimawandel",2020-03-07 00:00:00,2020-03-07 00:00:00,15:00-18:00,DU-Stadtmitte; Vor dem Forum,10-15
48,2020-02-29 00:00:00,K,"Tierrechte, Veganismus, Klimawandel",2020-03-13 00:00:00,2020-03-13 00:00:00,17:00-20:00,DU-Stadtmitte; Vor dem Forum,10-15
49,2020-02-29 00:00:00,K,"Tierrechte, Veganismus, Klimawandel",2020-03-21 00:00:00,2020-03-21 00:00:00,17:00-20:00,DU-Stadtmitte; Vor dem Forum,10-15
50,2020-02-29 00:00:00,K,"Tierrechte, Veganismus, Klimawandel",2020-03-27 00:00:00,2020-03-27 00:00:00,17:00-20:00,DU-Stadtmitte; Vor dem Forum,10-15
51,2020-02-28 00:00:00,A (K),BAO Datteln 4,00:00:00,,,Übertragung der örtlichen Zuständigkeit gem. § 7 Abs. 5 POG NRW im Zusammenhang mit Maßnahmen der „BAO Datteln 4“,
52,2020-03-03 00:00:00,K,Grenzen auf - Leben retten,2020-03-03 00:00:00,2020-03-03 00:00:00,ab 17:30,DU-Stadtmitte; Vor dem Forum,50
53,2020-03-03 00:00:00,K,Internationale Wochen gegen Rassismus 2020,2020-03-27 00:00:00,2020-03-27 00:00:00,12:00-12:30,"August-Bebel-Platz, 47169 Duisburg (vor Media-Markt Filiale)",100
54,2020-02-29 00:00:00,K,Nacht der tausend Lichter, --, --,,DU-Hochfeld; Karl-Lehr-Straßen-Tunnel,200
55,2020-03-05 00:00:00,A (K),Nein zu NATO Kriegsmanövern - Nein zu Militärtransporten durch den Duisburger Hafen (Defender 2020),2020-03-21 00:00:00,2020-03-21 00:00:00,11:30-15:30,"Sammelplatz: Bahnhofsvorplatz Von dort Demonstration über Mercatorstraße, Königstraße, Kuhstraße, Schwanenstraße, Schwanentor, Ruhrorter Straße bis Vorplatz Duisburger Hafen AG (Ruhrorter Str./Alte Ruhrorter Str.)",500
56,2020-03-05 00:00:00,K,"Bildungspolitische Kundgebung im Rahmen des Bündnisses Schule3 und der Duisburger Akzent unter dem Motto ""Glück"": ""Die GE Globus am Dellplatz verschenkt Glück""",2020-03-17 00:00:00,2020-03-17 00:00:00,10:30-12:00,"Duisburg Mitte, Königstraße, vor dem König-Heinrich-Platz mit Blick auf das Theater",80
57,2020-03-06 00:00:00,K,Traditionalles kurdisches Newroz-Fest (Feuer in einer Metallwanne),2020-03-21 00:00:00,2020-03-21 00:00:00,17:00-21:00,August Bebel Platz  / Duisburg,100-200
58,2020-03-06 00:00:00,M,"Defender 2020, aktive Beteiligung und Unterstützung durch Duisburger Hafen AG",2020-03-13 00:00:00,2020-03-13 00:00:00,17:00-19:00,Einmündung Ruhrorter Straße / Alter Ruhrorter Straße,4-50
59,2020-03-06 00:00:00,M,"Defender 2020, aktive Beteiligung und Unterstützung durch Duisburger Hafen AG",2020-03-20 00:00:00,2020-03-20 00:00:00,17:00-19:00,Einmündung Ruhrorter Straße / Alter Ruhrorter Straße,4-50
60,2020-03-06 00:00:00,M,"Defender 2020, aktive Beteiligung und Unterstützung durch Duisburger Hafen AG",2020-03-14 00:00:00,2020-03-14 00:00:00,11:00-13:00,Einmündung Ruhrorter Straße / Alter Ruhrorter Straße,4-50
61,2020-03-06 00:00:00,M,"Defender 2020, aktive Beteiligung und Unterstützung durch Duisburger Hafen AG",2020-03-21 00:00:00,2020-03-21 00:00:00,11:00-13:00,Einmündung Ruhrorter Straße / Alter Ruhrorter Straße,4-50
62,2020-03-09 00:00:00,K,8. März als internationaler Frauen*Kampftag,2020-03-09 00:00:00,2020-03-09 00:00:00,17:00-19:00,DU-Stadtmitte; König-Heinrich-Platz,10
63,2020-03-10 00:00:00,A,Pink gegen Rassismus,2020-03-22 00:00:00,2020-03-22 00:00:00,10:00-11:00,Regattabahn Duisburg,80-100
64,2020-03-10 00:00:00,K,Kritik an Missständen in der Massentierhaltung ,2020-03-12 00:00:00,2020-03-12 00:00:00,18:00-19:30,DU-Stadtmitte; Koloniestraße / Ecke Sternbuschweg,10
65,2020-03-10 00:00:00,M,DIE RECHTE für Duisburg,2020-03-21 00:00:00,2020-03-21 00:00:00,14:00-16:00,Portsmouthplatz (vor dem Hbf),5-20
66,2020-03-11 00:00:00,K,Tag der politischen Gefangenen,2020-03-18 00:00:00,2020-03-18 00:00:00,17:00-18:00,DU-Stadtmitte: vor Forum oder ecke Starbucks,5-10
67,2020-03-11 00:00:00,K,-----,2020-03-29 00:00:00,2020-03-29 00:00:00,, -----,
68,2020-03-12 00:00:00,M,DIE RECHTE für Duisburg,2020-03-17 00:00:00,2020-03-17 00:00:00,10:00-15:00,DU-Walsum; Kometenplatz,10-15
69,2020-03-16 00:00:00,M,"Stoppt die Verfolgung von Falun Gong und den Organraub an lebenden Falun Gong Praktizierende in China, Falun Dafa ist Gut",2020-03-21 00:00:00,2020-03-21 00:00:00,10:30-17:00,"in der Stadtmitte, auf der Königstrasse gegenüber vom Forum",6
70,2020-04-08 00:00:00,A (K),"1. Mai , internationaler Kampftag ",2020-05-01 00:00:00,2020-05-01 00:00:00,11:00-14:00,DU - Hamborn Duisburger Str. vor Amtsgericht,100
71,2020-04-13 00:00:00,A (K),Heraus zum 1. Mai - Coronakrise #nichtaufunseremRücken,2020-05-01 00:00:00,2020-05-01 00:00:00,11:00-12:30,"Sammelplatz: Platz vor Hamborn Amtsgericht 
Weg: Duisburger Str., Alleestr., Emscherstr. bis Landschaftspark Schranke",30
72,2020-04-14 00:00:00,M,"Der Ostermarsch am Osterwochenende wurde abgesagt. Trotzdem gehen weltweit, auch mit Corona, die Kriege und Konflikte mit allen Konsequenzen weiter. ",2020-04-18 00:00:00,2020-04-18 00:00:00,10:00-12:00,Portsmouthplatz (vor dem Hbf),10
73,2020-04-20 00:00:00,A (K),1. Mai Demo,2020-05-01 00:00:00,2020-05-01 00:00:00,12:00:00,"Vorplatz des DGB-Hauses (DU-Mitte, Stapeltor 1)
(Route Richtung Königstrasse, ein Stück die Königstrasse hoch,
   dann die Düsseldorferstraße (Fußgängerzone) Richtung Kantpark",50
74,2020-04-22 00:00:00,K,"Solidarität mit den Opfern der Corona-Krise - Bitte an Polizei und kommunale Politik #DemoOhneTeilnehmer
#WirBleibenZuhause",2020-04-25 00:00:00,2020-04-25 00:00:00,12:00-15:00,"Duisburg, Königsstr. am Livesaver-Brunnen",2
75,2020-04-24 00:00:00,K,1. Mai Demo,2020-05-01 00:00:00,2020-05-01 00:00:00,12:00-13:00,"Duisburg, Königsstr. am Livesaver-Brunnen",max. 15
76,2020-04-23 00:00:00,K, Nicht auf unserem Rücken - Mit Solidarität und Widerstand am 1. Mai auf die Straße,2020-05-01 00:00:00,2020-05-01 00:00:00,14:00-15:00,"Duisburg-Innenstadt, Averdunkplatz",20
77,2020-04-28 00:00:00,K,Wahlkampfversammlung (Kommunalwahl) ,2020-05-01 00:00:00,2020-05-01 00:00:00,12:00-13:00,König-Heinrich-Platz / Königstraße ,10
78,2020-05-03 00:00:00,K,"""Wie sie sicher aus den Medien wissen,wurde eine Frau mit ihren 2 Kindern von ihrem Ex Ehemann in Hamburg angezündet""",2020-05-04 00:00:00,2020-05-04 00:00:00,17:00-18:30,Averdunkplatz,30
