Nr.,Anmeldedat.,Thema,Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
18,2017-01-03,Patriotische Europäer gegen die Islamisierung des Abendlandes,2017-04-03 00:00:00,19:00-22:00,DU-Stadtmitte; Portsmouthplatz - Mercatorstraße - Wittekindstraße - Fürstenstraße - Hohestraße - Güntherstraße - Hohestraße - Gallenkampstraße - Portsmouthplatz,150-500
19,2017-01-09,Protestaktion gegen Isolationshaft von Herrn Öcalan,2017-01-14 00:00:00,14:00-17:00,DU-Stadtmitte; Portsmouthplatz,300
20,2017-01-09,"Wir fordern Gerechtigkeit für die in Paris ermorderten drei kurdischen Frauen Sakine Cansiz, Fidan Dogan und Leyla Saylemez",2017-01-14 00:00:00,16:00-17:00,DU-Stadtmitte; Portsmouthplatz,60-70
21,2017-01-17,"Gedenken an ein Mobbingopfer, das sich das Leben nahm; Zeichensetzung gegen Mobbing und Hetze",2017-02-25 00:00:00,17:00-20:00,DU-Stadtmitte; Forum Duisburg - Königstraße - Sonnenwall - Wallstraße - Salvatorweg - Düsseldorfer Straße - Königstraße - Forum Duisburg,20-50
22,2017-01-20,Tarifrunde öffentlicher Dienst 2017,2017-01-30 00:00:00,11:45-12:45,DU-Stadtmitte; Schifferstraße 52 (Eingangsbereich LZPD),50-100
23,2017-01-23,"Gegen Personalkosteneinsparungen bei der Stadt Duisburg; Sitzung Personal- u. Verwaltungsausschuss des Rates der Stadt; ""Wir wehren uns""",2017-02-14 00:00:00,13:00-15:00,Du-Stadtmitte; Burgplatz,20-30
24,2014-01-23,Gegen den Staatsterror in der Türkei und für die Freiheit von Abdullah Öcalan,02.02.2017-03.02.2017,-,DU-Marxloh; Kaiser-Wilhelm-Straße/Schwartzkopffstraße - Friedrich-Ebert-Straße - Fabrikstraße - Dr.-Hammacher-Straße - Ruhrorter Straße - Plessingstraße - Musfeldstraße - Gitschiner Straße - Eigenstraße - Wanheimer Straße - Forststraße - Kaiserswerther Straße - Duisburger Landstraße - Arnheimer Straße -Niederrheinstraße - Freiligrathplatz . Fischerstraße - Kaiserstraße - Jägerhofstraße - Bleichstraße - Wagnerstraße - Liesegangstraße - Kreuzstraße - Immermannstraße - Oststraße - Friedrich-Ebert-Straße ,ca. 60
25,2017-01-26,Karneval-Tanzdemo für kulturelle Vielfalt. Wir wollen eine Ergänzung zum karnevalistischen Kulturangebot in Duisburg sein und für eine offene Gesellschaft mit Freiräumen demonstrieren,2017-02-25 00:00:00,17:00-21:00,DU-Stadtmitte; Friedensstraße 15-17 - Düsseldorfer Straße - Friedrich-Wilhelm-Straße-Mercatorstraße - Landfermannstraße - Mülheimer Straße - Castanjens Garten,300
26,2017-01-29,Protest gegen Pegida NRW,2017-03-06 00:00:00,,DU-Stadtmitte; Portsmouthplatz - Landfermannstraße - Theaterplatz - Königstraße - Claubergstraße - Friedrich-Wilhelm-Straße - Tonhallenstraße - Wittekindstraße - Koloniestraße/Mercatorstraße,100
27,2016-11-07,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-02-06 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
28,2016-11-07,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-02-13 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
29,2016-11-07,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-02-20 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
30,2016-11-07,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-02-27 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
31,2017-01-31,Fosterplan statt Outlet - bewahrt unsere Innenstadt,2017-02-01 00:00:00,14:30-15:30,DU-Stadtmitte; Burgplatz,10
32,2017-02-03,Designer Outlet Center in Duisburg,2017-02-06 00:00:00,17:30-18:30,DU-Stadtmitte; Lifesaver,50-100
33,2017-02-05,Infostand für politische Gefangene,2017-02-11 00:00:00,10:00-13:00,Duisburg-Hamborn; Am Altmarkt,15
34,2017-02-05,Infostand für politische Gefangene,2017-02-11 00:00:00,17:00-19:00,DU-Stadtmitte; König-Heinrich-Platz,15
35,2017-02-09,Kindesmißbrauch bei Zeugen Jehovas,2017-02-12 00:00:00,09:00-09:30,DU-Hamborn; Boschstraße 16,2
36,2017-02-09,Kindesmißbrauch bei Zeugen Jehovas,2017-02-19 00:00:00,09:00-09:30,DU-Hamborn; Boschstraße 16,2
37,2017-02-09,Frauentag,2017-03-08 00:00:00,17:00-18:30,DU-Stadtmitte; Portsmouthplatz - Königstraße - Münzstraße - Schwanentor - Duisburgerstraße - Scharnhorststraße,15
38,2017-02-10,Entwicklung der Stahlindustrie,2017-02-13 00:00:00,17:30-18:30,DU-Stadtmitte; Lifesaver,50-100
39,2017-02-10,Baumfällung in Duisburg,2017-02-20 00:00:00,17:30-18:30,DU-Stadtmitte; Lifesaver,50-100
40,2017-02-13,Wir verurteilen den internationalen Komplott des 15.02.1999. Freiheit für Öcalan,2017-02-15 00:00:00,17:00-19:00,DU-Stadtmitte; Portsmouthplatz - Duisburg Rathaus,100-150
41,2017-02-14,"Global Marijuana March, Legalisierung macht Sinn",2017-05-06 00:00:00,14:00-20:00,DU-Stadtmitte; Averdunkplatz - Königstraße - Lifesaver - Königstraße - Sonnenwall - Friedrich-Wilhelm-Platz - Steinsche Gasse - Münzstraße - Calaisplatz - Schwanenstraße - Steinsche Gasse - Burgplatz,250
42,2017-02-20,"Hinrichtung, Folter und Zerstörung im Dorf Xerebe-Bava bei Stadt Nusaybin",2017-02-22 00:00:00,17:00-19:00,DU-Stadtmitte; Portsmouthplatz- Friedrich-Wilhelm-Straße - Friedrich-Wilhelm-Platz - Steinsche Gasse - Poststraße - Burgplatz,150
43,2017-02-20,Frieden,2017-02-22 00:00:00,16:00-19:00,"DU-Stadtmitte, Ecke Königstraße / König-Heinrich-Platz",2-10
44,2017-02-17,Ivana Hoffmann,2017-03-07 00:00:00,12:00-19:00,DU-Stadtmitte; König-Heinrich-Platz,10-20
45,2017-11-05,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-03-06 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
46,2017-11-05,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-03-13 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
47,2017-11-05,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-03-20 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
48,2017-11-05,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-03-27 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
49,2017-03-03,Warnstreick Tarifrunde in der Eisen- und Stahlindustrie,2017-03-07 00:00:00,13:30-12:00,DU-Bruckhausen; Kaiser-Wilhelm-Straße 100,3.500-4000
50,2017-03-02,No Duigida - gegen den Pegida-Aufmarsch,2017-03-06 00:00:00,18:30-21:30,DU-Stadtmitte; Portsmouthplatz,50-70
51,2017-03-02,No Duigida - gegen den Pegida-Aufmarsch,2017-04-03 00:00:00,18:30-21:30,DU-Stadtmitte; Portsmouthplatz,50-70
52,2017-03-03,Warnstreick Tarifrunde in der Eisen- und Stahlindustrie,2017-03-08 00:00:00,05:00-09:00,DU-Bruckhausen; Kaiser-Wilhelm-Straße 100,500-600
53,2017-03-03,Weltfrauentag,2017-03-06 00:00:00,17:30-18:30,DU-Stadtmitte; Königstraße,40-50
54,2017-03-05,Jahrestag Fukushima,2017-03-13 00:00:00,17:30-18:30,DU-Stadtmitte; Königstraße,40-50
55,2017-03-05,Die Wirklichkeit des Hartz IV Systems,2017-03-20 00:00:00,17:30-18:30,DU-Stadtmitte; Königstraße,40-50
56,2017-03-05,Tag gegen Rassismus,2017-03-27 00:00:00,17:30-18:30,DU-Stadtmitte; Königstraße,40-50
57,2017-03-06,Internationaler Frauentag 2017,2017-03-11 00:00:00,12:00-14:00,DU-Stadtmitte; Kuhtor - Königstraße - Tonhallenstraße - Friedrich-Wilhelm-Straße - Steinsche Gasse - Kuhstraße - Kuhtor,100-150
58,2017-03-09,Warnstreick Tarifrunde in der Eisen- und Stahlindustrie,2017-03-16 00:00:00,10:30-12:00,DU-Hüttenheim; HKM Tor 2 - Ehringer Straße - Schulz-Knaudt-Straße,1.000
59,2017-03-17,Newroz-Fest,2017-03-20 00:00:00,17:00-20:00,DU-Marxloh; August-Bebel-Platz,100
60,2017-03-17,Patriotische Europäer gegen die Islamisierung des Abendlandes,2017-04-03 00:00:00,19:00-22:00,DU-Stadtmitte; Portsmouthplatz - Mercatorstraße - Wittekindstraße - Fürstenstraße - Hohestraße - Güntherstraße - Hohestraße - Gallenkampstraße - Portsmouthplatz,150-500
61,2017-03-17,Patriotische Europäer gegen die Islamisierung des Abendlandes,2017-05-08 00:00:00,19:00-22:00,DU-Stadtmitte; Portsmouthplatz - Mercatorstraße - Wittekindstraße - Fürstenstraße - Hohestraße - Güntherstraße - Hohestraße - Gallenkampstraße - Portsmouthplatz,150-500
62,2017-03-17,Patriotische Europäer gegen die Islamisierung des Abendlandes,2017-06-05 00:00:00,19:00-22:00,DU-Stadtmitte; Portsmouthplatz - Mercatorstraße - Wittekindstraße - Fürstenstraße - Hohestraße - Güntherstraße - Hohestraße - Gallenkampstraße - Portsmouthplatz,150-500
63,2017-03-17,Patriotische Europäer gegen die Islamisierung des Abendlandes,2017-07-03 00:00:00,19:00-22:00,DU-Stadtmitte; Portsmouthplatz - Mercatorstraße - Wittekindstraße - Fürstenstraße - Hohestraße - Güntherstraße - Hohestraße - Gallenkampstraße - Portsmouthplatz,150-500
64,2017-03-17,Patriotische Europäer gegen die Islamisierung des Abendlandes,2017-08-07 00:00:00,19:00-22:00,DU-Stadtmitte; Portsmouthplatz - Mercatorstraße - Wittekindstraße - Fürstenstraße - Hohestraße - Güntherstraße - Hohestraße - Gallenkampstraße - Portsmouthplatz,150-500
65,2017-03-17,Patriotische Europäer gegen die Islamisierung des Abendlandes,2017-09-04 00:00:00,19:00-22:00,DU-Stadtmitte; Portsmouthplatz - Mercatorstraße - Wittekindstraße - Fürstenstraße - Hohestraße - Güntherstraße - Hohestraße - Gallenkampstraße - Portsmouthplatz,150-500
66,2017-03-21,Das Wegbier bleibt! - Mahnwache gegen das Alkoholverbot in Bereichen der Stadtmitte; Wahlinformation und Unterstützung der PARTEI Duisburg,2017-03-24 00:00:00,17:30-21:30,DU-Stadtmitte; Dellplatz,10
67,2017-03-21,Das Wegbier bleibt! - Mahnwache gegen das Alkoholverbot in Bereichen der Stadtmitte; Wahlinformation und Unterstützung der PARTEI Duisburg,2017-03-25 00:00:00,14:30-19:00,DU-Stadtmitte; Düsseldorfer Straße ,10
68,2017-03-21,"Gegen Personalkosteneinsparungen bei der Stadt DU, Sitzung Personal- und Verwaltungsausschuss Rat der Stadt, ""Wir wehren uns""",2017-04-03 00:00:00,13:00-15:00,DU-Stadtmitte; Lifesaver - Königstraße - Kuhstraße - Kuhtor - Poststraße - Burgplatz,250
69,2017-03-21,"Aufklärung desInhalts des in der Türkei zum Referendum gebrachten Vorschlag, um das Grundgesetz zu ändern - die juristische Deutung und politische Konsequenzen",2017-03-25 00:00:00,14:00-18:00,DU-Stadtmitte; Königstraße / Ecke Claubergstraße,-
70,2017-03-24,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-07-03 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
71,2017-03-24,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-08-07 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
72,2017-03-24,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-09-04 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
73,2017-03-24,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-10-02 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
74,2017-03-24,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-11-06 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
75,2017-03-24,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-12-04 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
78,2017-11-05,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-04-03 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
79,2017-11-05,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-04-10 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
80,2017-11-05,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-04-17 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
81,2017-11-05,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-04-24 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
82,2017-03-26,Landtagswahl NRW,2017-05-09 00:00:00,15:00-19:00,DU-Stadtmitte; Königstraße,40-60
83,2017-03-25,Keine Kriminalisierung von Antifaschisten,2017-04-03 00:00:00,17:30-18:30,DU-Stadtmitte; Königstraße (Lifesaver),40-50
84,2017-03-25,Wahlprüfsteine,2017-04-10 00:00:00,17:30-18:30,DU-Stadtmitte; Königstraße (Lifesaver),40-50
85,2017-03-25,Kandidatenbefragung zur Landtagswahl,2017-04-24 00:00:00,17:30-18:30,DU-Stadtmitte; Königstraße (Lifesaver),40-50
86,2017-03-27,Protest gegen Pegida NRW,2017-04-03 00:00:00,18:00-22:00,DU-Stadtmitte; Mercatorstraße / Ecke Friedrich-Wilhelm-Straße,30
87,2017-03-27,"Warnstreick, Wir für mehr!",2017-03-29 00:00:00,06:00-08:30,DU-Meiderich; Bürgermeister-Pütz-Straße 123 (Parkhaus),150
88,2017-03-30,"Tierrechte, Aufklärung über Massentierhaltung und Schlachtung",2017-05-13 00:00:00,10:30-14:00,DU-Stadtmitte; Königstraße,15-30
89,2017-03-31,"1. Mai 2017 - Tag der Arbeit ""Wir sind viele. Wir sind eins""",2017-05-01 00:00:00,11:00-13:00,DU-Hamborn; Amtsgericht Hamborn - Duisburger Straße - Hamborn Feuerwache - Alleestraße - Emscherstraße - Landschaftspark Nord Kraftzentrale,3.000-4.000
90,2017-04-03,Demonstration zum Christopher-Street-Day,2017-07-29 00:00:00,12:00-13:00,"DU-Stadtmitte, Burgplatz - Kühlingsgasse - Münzstraße - Kuhstraße - Kuhtor - Kohlenwall - Köhnenstraße - Friedrich-Albert-Lange-Platz - Köhnenstraße - Am Burgacker - Königsstraße - Lifesaver-Brunnen - Königsstraße - König-Heinrich-Platz",100
91,2017-04-04,Frieden,2017-04-07 00:00:00,15:00-19:00,DU-Stadtmitte; König-Heinrich-Platz,10-30
92,2017-04-06,Wo sind die Werte unserer Verfassung geblieben?,2017-05-13 00:00:00,15:30-17:00,DU-Stadtmitte; Königstraße (zwischen Forum und Citiy Palais),100
93,2017-04-07,Sitzung des Wirtschaftsausschuss TKSE / Konzernumbau,2017-04-07 00:00:00,11:15-12:30,DU-Bruckhausen; Kaiser-Wilhelm-Straße 100,30-40
94,2017-04-09,Hungerstreik der politischen Gefangenen in türkischen Gefängnissen,2017-04-11 00:00:00,17:00-22:00,DU-Stadtmitte; Königstraße,100
95,2017-04-12,Frieden,2017-04-15 00:00:00,10:00-14:00,,
96,2017-04-18,Kundgebung für Demokratie und Freiheit gegen Faschismus und Rassismus,2017-05-08 00:00:00,17:30-21:30,DU-Stadtmitte; Portsmouthplatz,100
97,2017-04-19,Europäischer Aktionstag zur geplanten Fusion zwischen Linde und Praxair / Mittagspausendemo,2017-04-27 00:00:00,12:00-12:15,DU-Meiderich; Stahlstraße 40,40-100
98,2017-04-21,Ausgang des Referendums in der Türkei,2017-04-22 00:00:00,-,-,-
99,2017-04-22,Ausgang des Referendums in der Türkei,2017-04-26 00:00:00,17:00-20:00,DU-Stadtmitte; Königstraße,150
100,2017-04-22,Traditionelle kurdische Hochzeit bzw. die Abholung der Braut vor dem Elternhaus auf Pferd,2017-04-29 00:00:00,15:00-16:00,DU-Hamborn; Duisburger Straße - Weseler Straße - Kaiser-Wilhelm-Straße,150
101,2017-04-24,Auftaktkundgebung 1. Mai,2017-05-01 00:00:00,10:00-10:55,DU-Hamborn; Amtsgericht Hamborn ,100-300
102,2017-04-25,Stopp Stahl-Exit. Wir mit dir Für Stahl,2017-05-03 00:00:00,,DU-Hüttenheim; Mannesmannstraße 101 ,5.000-6.000
103,2017-04-27,Duisburg in der NS-Zeit - Historischer Stadtrundgang,2017-05-08 00:00:00,17:30-22:00,DU-Stadtmitte; Kammerstraße - Neudorferstraße - Landfermannstraße - Saarstraße - Mercatorstraße - Königstraße - König-Heinrich-Platz - Landfermannstraße - Köhnenstraße - Kuhlenwall - Junkernstraße - Pulverweg - Stapeltor - Oberstraße - Poststraße - Burgplatz - Salvatorstraße - Alter Markt - Kühlingsgasse - Münzstraße - Beekstraße - Kasinostraße - Friedrich-Wilhelm-Platz - Friedrich-Wilhelm-Straße - Portsmouthplatz,30-50
104,2017-04-28,Kampf um jeden Arbeitsplatz in der Stahlindustrie,2017-05-08 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver,40-50
105,2017-04-28,Auswertung der Landtagswahl in NRW,2017-05-15 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver,40-50
106,2017-04-28,Wohnungspolitik und Miethaie in Duisburg,2017-05-22 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver,40-50
107,2017-04-28,Jugend gegen Faschismus und Krieg,2017-05-29 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver,40-50
108,2017-05-03,Wahlkundgebung der internationalistischen Liste / MLPD,2017-05-06 00:00:00,10:00-15:00,DU-Stadtmitte; Kuhtor,100-150
109,2017-05-04,National aus sozialer Verantwortung. Am 14.05.: NPD wählen,2017-05-06 00:00:00,13:00-15:00,DU-Hamborn; Hohenzollernplatz,10
110,2017-05-04,Opfer der Cannabis Prohibition,2017-05-06 00:00:00,11:00-14:00,DU-Stadtmitte; Königstraße / Ecke Düsseldorfer Straße am Life Saver,2
111,2016-11-05,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-05-08 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
112,2017-05-05,No Duigida - gegen den PEGIDA-Aufmarsch,2017-05-08 00:00:00,18:30-21:30,DU-Stadtmitte; Portsmouthplatz,50-70
113,2017-05-05,No Duigida - gegen den PEGIDA-Aufmarsch,2017-06-05 00:00:00,18:30-21:30,DU-Stadtmitte; Portsmouthplatz,50-70
114,2017-05-09,Auswirkungen der Lebensmittelproduktion auf Landwirtschaft und Umwelt,2017-05-13 00:00:00,11:30-15:00,DU-Wanheimerort; Düsseldorfer Straße 438,6-8
115,2017-05-12,"Sitzprotest, gegen das Verbot der kurdischen Medien so wie Fernsehen",2017-05-17 00:00:00,18:00-20:00,DU-Stadtmitte; Königstraße,100
116,2017-05-16,Frieden-Stoppt die illegalen Nato-Kriege,2017-05-19 00:00:00,16:00-20:00,DU-Stadtmitte; König-Heinrich-Platz,20
117,2017-05-17,Tiere in der Unterhaltungsindustrie,2017-05-19 00:00:00,16:00-19:00,DU-Duissern; Mühlheimer Straße 273 ,10-24
118,2017-05-21,"Ivana lebt in unserer Liebe, in allen Farben kämpfen wir!",2017-06-17 00:00:00,11:30-13:30,DU-Stadtmitte; Portsmouthplatz - Mercatorstraße - Friedrich-Wilhelm-Straße - Steinsche Gasse - Kuhstraße - Kuhtor,150-200
119,2017-05-22,Bürgerbegehren gegen das geplante DOC,2017-05-23 00:00:00,14:15-15:00,DU-Stadtmitte; König-Heinrich-Platz - Königstraße - Kuhtor - Kuhstraße - Burgplatz,30
120,2017-05-24,Protest gegen den Schulnotstand in Duisburger Schulen,2017-07-03 00:00:00,14:30:00,Du-Stadtmitte; Burgplatz,1000
121,2016-11-05,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-06-05 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
122,2016-11-05,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-06-12 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
123,2016-11-05,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-06-19 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
124,2016-11-05,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-06-26 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
125,2017-06-07,Gedenkkundgebung für die Opfer der Anschläge in Afghanistan,2017-06-08 00:00:00,17:00-21:00,DU-Stadtmitte; König-Heinrich-Platz,100
126,2017-06-08,Wir wollen Bivsi zurück!,2017-06-12 00:00:00,16:00-18:00,DU-Stadtmitte; Steinbart-Gymnasium - Realschulstraße - Düsseldorfer Straße - Königstraße - Kuhtor - Kuhstraße - Steinsche Gasse - Burgplatz,1.000
127,2017-06-09,Die Entwicklung in der Stahlindustrie,2017-06-12 00:00:00,17:30-18:30,DU-Stadtmitte; Lifesaver,40-50
128,2017-06-09,Rettet die Umwelt vor der Profitgier,2017-06-19 00:00:00,17:30-18:30,DU-Stadtmitte; Lifesaver,40-50
129,2017-06-09,Der Skandal der Kinderarmut in Duisburg,2017-06-26 00:00:00,17:30-18:30,DU-Stadtmitte; Lifesaver,40-50
130,2017-06-14,Frieden - Stoppt die illegalen NATO-Kriege und die deutsche Beteiligung daran,2017-06-17 00:00:00,14:00-20:00,DU-Stadtmitte; König-Heinrich-Platz,50
131,2017-06-16,Zukunft in Ausbildung statt Schließung,2017-06-20 00:00:00,12:00-13:00,DU-Hochfeld; Wolfgang-Reuter-Platz,250
132,2017-06-16,"Freiheit für Öcalan, Freiheit für verhaftete Abgeordnete in der Türkei",2017-06-20 00:00:00,17:00-20:00,DU-Stadtmitte; Schiffsmaskenbrunnen,20
133,2017-06-16,"Freiheit für Öcalan, Freiheit für verhaftete Abgeordnete in der Türkei",2017-06-21 00:00:00,17:00-20:00,DU-Stadtmitte; Schiffsmaskenbrunnen,20
134,2017-06-16,"Freiheit für Öcalan, Freiheit für verhaftete Abgeordnete in der Türkei",2017-06-22 00:00:00,17:00-20:00,DU-Stadtmitte; Schiffsmaskenbrunnen,20
135,2017-06-16,"Freiheit für Öcalan, Freiheit für verhaftete Abgeordnete in der Türkei",2017-06-24 00:00:00,17:00-20:00,DU-Stadtmitte; Schiffsmaskenbrunnen,20
136,2017-06-19,Freiheit für Delfine und Wale 2017,2017-06-25 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,25
137,2017-06-22,"Stoppt die Verfolgung von Falun Gong und den Organraub an lebenden Falun Gong Praktizierenden in China, Falun Dafa ist gut",2017-07-01 00:00:00,14:00-18:00,DU-Stadtmitte; Königstraße,3-8
138,2017-06-22,"Stoppt die Verfolgung von Falun Gong und den Organraub an lebenden Falun Gong Praktizierenden in China, Falun Dafa ist gut",2017-07-02 00:00:00,14:00-18:00,DU-Stadtmitte; Königstraße,3-8
139,2017-06-30,Situation in der Türkei,2017-07-01 00:00:00,13:00-16:00,DU-Stadtmitte; Königstraße 13,30
140,2017-07-01,Der G20-Gipfel und der Widerstand,2017-07-03 00:00:00,17:30-18:30,DU-Stadtmitte; Lifesaver,40-50
141,2017-07-10,G20-Gipfel - Eine Bilanz,2017-07-10 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver,40-50
142,2017-07-17,Die Preiserhöhungen im ÖPNV,2017-07-17 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver,40-50
143,2017-07-24,Der Kampf gegen die Altersarmut,2017-07-24 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver,40-50
144,2017-07-31,Die Zukunft der Stahlindustrie,2017-07-31 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver,40-50
145,2017-08-07,13 Jahre Montagsdemo Duisurg - Das Jubiläum,2017-08-07 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver,40-50
146,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-07-17 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
147,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-07-18 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
148,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-07-19 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
