Nr.,Anmeldedat.,Art,Thema,Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
17,2019-01-22 00:00:00,A (K),"Türkische Armee raus aus Provinzstadt Efrin - Nordsyrien. Protestaktion zum ersten Jahrestag der Invasion der kurdischen Enklave Efrin, durch die türkische Armee und islamistischen Söldner.",2019-01-26 00:00:00,13:00-15:00,DU-Stadtmitte; Portsmouthplatz,150
18,2019-01-26 00:00:00,A (K),Demonstration zum Chistopher Street Day 2019,2019-07-27 00:00:00,12:00-13:00,DU-Stadtmitte; Burgplatz - Kühlingsgasse - Münzstraße - Kuhstraße - Düsseldorfer Straße - Salvatorweg - Sonnenwall - Goldstraße - Dellplatz - Dellstraße - Düsseldorfer Straße - Friedrich-Wilhelm-Straße - Portsmouthplatz - Königstraße - König-Heinrich-Platz,400
19,2019-01-28 00:00:00,K,Tarifrunde 2019,2019-02-05 00:00:00,12:00-13:00,DU-Hamborn; Amtsgericht,ca. 40
20,2019-01-25 00:00:00,A (K),Auftakt Tarifrunde Eisen und Stahl,31.01.2019 - 01.02.2019,23:30-00:30,DU-Huckingen; Ehinger Straße (Tiger & Turtle),50-80
21,2019-01-29 00:00:00,K,Couragiert gegen die Gefahr von Rechts,2019-02-11 00:00:00,17:30-19:30,DU-Stadtmitte; Königstraße (zwischen Forum und hängenden Gärten),40-50
22,2019-01-28 00:00:00,A (K),"Solidaritätsaktion mit der politischen Gefangenen und HDP-Politikern, die in der Türkei gegen die Isolationshaft von Abdullah Öcalan in Hungerstreik angetreten haben",07.02.2019 - 08.02.2019,10:00-13:00,DU-Marxloh; Kaiser-Wilhelm-Straße 260 bis Düsseldorfer Stadtgrenze,100-150
23,2019-01-29 00:00:00,K,Freiheit für Öcalan / Beendigung der Isolationshaft. Solidarität mit den Hungerstreikenden,2019-01-31 00:00:00,17:00-19:00,DU-Stadtmitte; Königstraße Lifesaver-Brunnen,100
24,2019-01-30 00:00:00,A (K),Warnstreik ind der Tarifrunde Eisen und Stahl,2019-02-05 00:00:00,09:30-10:30,DU-Meiderich; Vohwinkelstraße 107 - ,200-250
25,2019-01-31 00:00:00,K,Aufklärung über McDonalds bezüglich der Massentierhaltung für die Fleisch- und Fischproduktion,2019-02-02 00:00:00,14:00-17:00,DU-Stadtmitte; Königstraße 58,20
26,2019-01-13 00:00:00,K,Tarifrunde öffentlicher Dienst 2019,2019-02-13 00:00:00,11:45-12:45,DU-Innenstadt; Schifferstraße 52,50-100
27,2019-02-04 00:00:00,A (K),Warnstreik in der Tarifrunde Eisen und Stahl,2019-02-06 00:00:00,11:30-13:30,"DU-Hochfeld, Mannesmannstraße 4-6",500
28,2019-02-07 00:00:00,M,DIE RECHTE für Duisburg / Europawahlkampf 2019,2019-02-11 00:00:00,11:00-13:00,"DU-Stadtmitte, König-Heinrich-Platz",5-10
29,2019-02-07 00:00:00,M,DIE RECHTE für Duisburg / Europawahlkampf 2019,2019-02-11 00:00:00,14:00-15:00,"DU-Wanheimerort, Fischerstraße ( Höhe TARGO-Bank)",5-10
30,2019-02-06 00:00:00,A (K),Tarifverhandlungen,2019-02-14 00:00:00,09:30-13:00,"DU-Rheinhausen, Körnerplatz 2 ( Sekundarschule Rheinhausen)",300
31,2019-02-07 00:00:00,K ,Warnstreik in der Tarifrunde der Eisen- und Stahlindustrie,2019-02-13 00:00:00,11:00-13:00,"DU-Hamborn, Kaiser-Wilhelm-Str- 1, Tor 1",3000
32,2109-02-07 00:00:00,K ,Warnstreik in der Tarifrunde der Eisen- und Stahlindustrie,2019-02-14 00:00:00,06:00-08:00,"Du-Hochfeld, Mannesmannstr. 101",500
33,2019-02-10 00:00:00,K,2. Prozesstag von inhaftierte Deutsche Journalist Adil Demirci in Türkei,2019-02-13 00:00:00,17:00-18:30,"DU-Stadtmitte, König-Heinrich-Platz",10-15
34,2019-02-11 00:00:00,A (K),Tarifverhandlungen der Länder,2019-02-13 00:00:00,11:40-12:40,"DU-Stadtmitte, Stapeltor bis Schifferstraße 52",25
35,2019-02-11 00:00:00,A (K),Internationaler Frauentag 2019,2019-03-08 00:00:00,14:00-19:00,"DU- Stadtmitte, Potsmouthpaltz ….Lifesaver",150
36,2019-02-11 00:00:00,M,DIE RECHTE für Duisburg / Europawahlkampf 2019,2019-02-14 00:00:00,10:00-13:00,"DU-Meiderich, Von-der-Mark-Str. ",5-10
37,2019-02-14 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-02-22 00:00:00,10:00-12:00,DU-Stadtmitte; Portsmouthplatz - Königstraße - Kuhstraße - Poststraße - Burgplatz,50
38,2019-02-15 00:00:00,M,Tierversuche,2019-04-27 00:00:00,13:00-16:00,DU-Stadtmitte; Königstraße 40,20
39,2019-02-19 00:00:00,M,Für Deutschland in Europa! NPD in das Europaparlament!,2019-02-22 00:00:00,14:00-16:00,DU-Stadtmitte; Münzstraße / Ecke Beekstraße,5-10
40,2019-02-21 00:00:00,K,Wir wollen Wohnen - Protst wegen der Räumung der Husemannstr. 1und 3,2019-02-22 00:00:00,09:00 - 11:00 ,DU-Stadtmitte; Burgplatz  /  Rathaus,50
41,2019-02-24 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-03-01 00:00:00,13:00-15:00,DU-Stadtmitte; Portsmouthplatz - Mercatorstraße - Kremerstraße - Plessingstraße - Steinsche Gasse - Friedrich-Wilhelm-Platz - Friedrich-Wilhelm-Straße - Düsseldorfer Straße - Lifesaver - Am Burgacker - Köhnenstraße - Friedrich-Albert-Lange-Platz - Landfermannstraße - Saarstraße - Mercatorstraße - Portsmouthplatz,200
42,2019-02-23 00:00:00,M,Internationaler Aktionstag gegen Rassismus,2019-03-16 00:00:00,09:00-16:00,DU-Stadtmitte; Kuhtor,100
43,2019-03-16 00:00:00,K,Demokratie in Politik und Gesellschaft,2019-03-16 00:00:00,12:00-19:00,DU-Stadtmitte; Königstraße 48,20
44,2019-02-25 00:00:00,M,DIE RECHTE für Duisburg / Europawahlkampf 2019,2019-03-01 00:00:00,11:00-13:00,DU-Walsum; Kometenplatz,5-10
45,2019-03-01 00:00:00,K,"Mietendemo - Gemeinsam gegen Mietwucher, Leerstand und Zwangsräumungen",2019-04-06 00:00:00,15:00-19:00,DU-Ruhrort; Neumarkt,ca. 15
46,2019-03-03 00:00:00,A (K),Wir haben nur diesen Planeten - Retten wir unsere Lebensgrundlage,2019-03-11 00:00:00,17:30-19:30,DU-Stadtmitte; Lifesaver-Brunnen - Königstraße - König-Heinrich-Platz (Forum),40-50
47,2019-03-04 00:00:00,A (K),Legalisierung von Cannabis / Keine Pflanze ist illegal,2019-05-04 00:00:00,14:00-18:30,DU-Stadtmitte; Theaterplatz - Köhnenstraße - Gutenbergstraße - Poststraße - Kuhstraße - Kuhtor,150-200
48,2019-02-28 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-03-08 00:00:00,10:00-12:00,DU-Stadtmitte; Portsmouthplatz - Mercatorstraße - Düsseldorfer Straße - Friedrich-Wilhelm-Straße - Sonnenwall - Kuhtor - Lifesaver - Am Burgacker - Köhnenstraße - Friedrich-Albert-Lange-Platz - Landfermannstraße - Saarstraße - Mercatorstraße - Portsmouthplatz ,200
49,2019-02-28 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-03-15 00:00:00,10:00-12:00,DU-Stadmitte; Portsmouthplatz - Friedrich-Wilhelm-Straße - Sonnenwall - Kuhtor - Poststraße - Burgplatz - Gutenbergstraße - Köhnenstraße - Friedrich-Albert-Lange-Platz - Landfermannstraße - König-Heinrich-Platz - Königstraße ,400
50,2019-03-06 00:00:00,K,Warnstreik in der Tarifrunde der Eisen- und Stahlindustrie,2019-03-11 00:00:00,11:00-12:00,DU-Huckingen; Von Mannesmannstraße 6 (Tor 3) und Mannesmannstraße 4 (Tor 2) über die Mannesmannstraße zur Mannesmannstraße 101 (Tor 9),1.000
51,2019-03-06 00:00:00,K,Warnstreik in der Tarifrunde der Eisen- und Stahlindustrie,2019-03-11 00:00:00,11:30-13:00,DU-Hamborn; Franz-Lenze-Straße (Tor 3),300-400
52,2019-03-06 00:00:00,K,Warnstreik in der Tarifrunde der Eisen- und Stahlindustrie,2019-03-11 00:00:00,11:30-13:00,DU-Hamborn; Borsigstraße (Tor 4),400
53,2019-03-06 00:00:00,K,Warnstreik in der Tarifrunde der Eisen- und Stahlindustrie,2019-03-11 00:00:00,11:30-13:00,DU-Hamborn; Kaiser-Wilhelm-Straße 100 (Tor 1),800
54,2019-03-06 00:00:00,K,Warnstreik in der Tarifrunde der Eisen- und Stahlindustrie,2019-03-11 00:00:00,11:30-13:00,DU-Hamborn; Ackerstraße (Tor 5),200-250
55,2019-03-06 00:00:00,K,Warnstreik in der Tarifrunde der Eisen- und Stahlindustrie,2019-03-11 00:00:00,11:30-13:00,DU-Hamborn; Alsumer Straße (Tor 7),400
56,2019-03-06 00:00:00,K,Warnstreik in der Tarifrunde der Eisen- und Stahlindustrie,2019-03-11 00:00:00,11:30-13:00,DU-Hamborn; Hoffsche-Straße (Tor 6),450
57,2019-03-06 00:00:00,K,Warnstreik in der Tarifrunder der Eisen- und Stahlindustrie,2019-03-11 00:00:00,11:30-13:00,DU-Untermeiderich; Vohwinkelstraße 107,200-250
58,2019-03-07 00:00:00,K,"Gegen die Partei ""Die Rechte""",2019-05-01 00:00:00,13:30-17:00,DU-Stadmitte; Königstraße (Forum),-
59,2019-03-08 00:00:00,K,Für eine buntes und solidarisches Duisburg,2019-05-01 00:00:00,13:00-17:00,DU-Stadtmitte; Portsmouthplatz,250
60,2019-03-08 00:00:00,K,Kundgebung gegen Rechts,2019-05-01 00:00:00,13:00-17:00,DU-Stadmitte; Königstraße (Lifesaver-Brunnen),100
61,2019-03-09 00:00:00,K,"Kundgebung gegen ""Die Rechte""",2019-05-01 00:00:00,13:00-17:00,DU-Stadmitte; Ludgeriplatz,250
62,2019-03-10 00:00:00,K,Interkulturelles Frühstick mit Musik für eine offene Gesellschaft,2019-05-01 00:00:00,10:00-18:00,DU-Stadtmitte; Dellplatz,200
63,2019-03-10 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-03-22 00:00:00,13:30-15:00,DU-Stadtmitte; Portsmouthplatz - Friedrich-Wilhelm-Straße - Sonnenwall - Kuhtor - Königstraße - Lifesaver,200
64,2019-03-10 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-03-29 00:00:00,12:00-14:00,DU-Stadtmitte; Portsmouthplatz - Düsseldorfer Straße - Friedrich-Wilhelm-Straße - Sonnenwall - Kuhtor - Lifesaver - Am Burgacker - Köhnenstraße - Friedrich-Albert-Lange-Platz - Landfermannstraße - Saarstraße - Mercatorstraße - Portsmouthplatz,200
65,2019-03-10 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-04-05 00:00:00,13:30-15:00,DU-Stadtmitte; Portsmouthplatz - Friedrich-Wilhelm-Straße - Sonnenwall - Kuhtor - Königstraße - Lifesaver,200
66,2019-03-10 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-04-12 00:00:00,11:00-13:00,DU-Stadtmitte; Portsmouthplatz - Friedrich-Wilhelm-Straße - Sonnenwall - Kuhtor - Poststraße - Gutenbergstraße - Köhnenstraße - Friedrich-Albert-Lange-Platz - Landfermannstraße - König-Heinrich-Platz - Königstraße,200
67,2019-03-01 00:00:00,K,Kritik an Missständen in der Massentierhaltung,2019-03-23 00:00:00,15:00-17:30,DU-Neudorf; Koloniestraße,25
68,2019-03-01 00:00:00,K,Kritik an Missständen in der Massentierhaltung,2019-03-30 00:00:00,14:00-17:30,DU-Stadtmitte; Königstraße 44,20
69,2019-03-14 00:00:00,A (K),Wir wollen Wohnen - Gegen Zwangsräumungen und Untätigkeit der Stadt,2019-03-21 00:00:00,15:00-20:00,DU-Homberg; Bismarckplatz 1 - Moerser Straße - Husemannstraße - Ottostraße,70
70,2019-03-11 00:00:00,A (K),Traditionalles kurdisches Newroz-Fest (Feuer in einer Metallwanne),2019-03-22 00:00:00,16:00-20:00,DU-Marxloh; Kaiser-Wilhelm-Straße 260 - Weseler Straße - August-Bebel-Platz,300
71,2019-03-18 00:00:00,K,Tod eines kurdischen Aktivisten in einem türkischen Gefängnis,2019-03-18 00:00:00,18:00-19:00,DU-Stadtmitte; Portsmouthplatz,30-40
72,2019-03-18 00:00:00,M,"Gegen Hass, Gewalt, Terror",2019-03-23 00:00:00,09:00-13:00,DU-Hamborn; Altmarkt,ca. 10
73,2019-03-25 00:00:00,A (K),Tarifrunde Einzelhandel,2019-04-17 00:00:00,08:00-15:00,DU-Stadmitte; Burgplatz - Königstraße - Bahnhof,400-600
74,2019-03-25 00:00:00,K,"""This time I'm voting"" (diesmal wähle ich) - Europawahlkampange des Europäischen Parlaments. Ziel: Engagement bei der Europawahl am 26. Mai 2019 stärken",2019-04-27 00:00:00,14:00-16:00,DU-Stadtmitte; König-Heinrich-Platz,ca. 10
75,2019-03-26 00:00:00,K,70 Jahre NATO - Wir feiern nicht!,2019-04-04 00:00:00,14:00-15:00,DU-Stadtmitte; Königstraße,10
76,2019-03-27 00:00:00,A (K),Jugend will Veränderung,2019-04-01 00:00:00,17:30-19:30,"DU-Stadmitte; Lifesaver-Brunnen, Königstraße - König-Heinrich-Platz",40-50
77,2019-03-29 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-04-12 00:00:00,13:30-15:30,DU-Stadmitte; Hbf - Friedrich-Wilhelm-Straße - Sonnenwall - Kuhtor - Poststraß - Burgplatz - Poststraße - Kuhtor - Königstraße - Hbf,200
78,2019-03-29 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-04-17 00:00:00,12:00-13:30,DU-Stadmitte; Hbf - Friedrich-Wilhelm-Straße Sonnenwall - Kuhtor - Königstraße - Forum,200
79,2019-03-29 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-04-26 00:00:00,12:00-13:30,DU-Stadtmitte; Hbf - Friedrich-Wilhelm-Straße - Sonnenwall - Kuhtor - Königstraße - Forum,200
80,2019-03-31 00:00:00,M,Gegen den Abbau des sozialen Wohnungsbaus in Homberg/Hochheide,2019-04-09 00:00:00,Ganztägig,DU-Stadtmitte; Husemannstraße 1-3/ Ecke Moerser Straße,6
81,2019-03-31 00:00:00,M,Gegen den Abbau des sozialen Wohnungsbaus in Homberg/Hochheide,2019-04-10 00:00:00,Ganztägig,DU-Stadtmitte; Husemannstraße 1-3/ Ecke Moerser Straße,6
82,2019-03-31 00:00:00,M,Gegen den Abbau des sozialen Wohnungsbaus in Homberg/Hochheide,2019-04-11 00:00:00,Ganztägig,DU-Stadtmitte; Husemannstraße 1-3/ Ecke Moerser Straße,6
83,2019-03-31 00:00:00,M,Gegen den Abbau des sozialen Wohnungsbaus in Homberg/Hochheide,2019-04-12 00:00:00,Ganztägig,DU-Stadtmitte; Husemannstraße 1-3/ Ecke Moerser Straße,6
84,2019-03-31 00:00:00,M,Gegen den Abbau des sozialen Wohnungsbaus in Homberg/Hochheide,2019-04-13 00:00:00,Ganztägig,DU-Stadtmitte; Husemannstraße 1-3/ Ecke Moerser Straße,6
85,2019-03-31 00:00:00,M,Gegen den Abbau des sozialen Wohnungsbaus in Homberg/Hochheide,2019-04-14 00:00:00,Ganztägig,DU-Stadtmitte; Husemannstraße 1-3/ Ecke Moerser Straße,6
86,2019-03-31 00:00:00,M,Gegen den Abbau des sozialen Wohnungsbaus in Homberg/Hochheide,2019-04-15 00:00:00,Ganztägig,DU-Stadtmitte; Husemannstraße 1-3/ Ecke Moerser Straße,6
87,2019-03-31 00:00:00,M,Gegen den Abbau des sozialen Wohnungsbaus in Homberg/Hochheide,2019-04-16 00:00:00,Ganztägig,DU-Stadtmitte; Husemannstraße 1-3/ Ecke Moerser Straße,6
88,2019-03-31 00:00:00,M,Gegen den Abbau des sozialen Wohnungsbaus in Homberg/Hochheide,2019-04-17 00:00:00,Ganztägig,DU-Stadtmitte; Husemannstraße 1-3/ Ecke Moerser Straße,6
89,2019-03-31 00:00:00,M,Gegen den Abbau des sozialen Wohnungsbaus in Homberg/Hochheide,2019-04-18 00:00:00,Ganztägig,DU-Stadtmitte; Husemannstraße 1-3/ Ecke Moerser Straße,6
90,2019-03-31 00:00:00,M,Gegen den Abbau des sozialen Wohnungsbaus in Homberg/Hochheide,2019-04-19 00:00:00,Ganztägig,DU-Stadtmitte; Husemannstraße 1-3/ Ecke Moerser Straße,6
91,2019-03-31 00:00:00,M,Gegen den Abbau des sozialen Wohnungsbaus in Homberg/Hochheide,2019-04-20 00:00:00,Ganztägig,DU-Stadtmitte; Husemannstraße 1-3/ Ecke Moerser Straße,6
92,2019-03-31 00:00:00,M,Gegen den Abbau des sozialen Wohnungsbaus in Homberg/Hochheide,2019-04-21 00:00:00,Ganztägig,DU-Stadtmitte; Husemannstraße 1-3/ Ecke Moerser Straße,6
93,2019-03-31 00:00:00,M,Gegen den Abbau des sozialen Wohnungsbaus in Homberg/Hochheide,2019-04-22 00:00:00,Ganztägig,DU-Stadtmitte; Husemannstraße 1-3/ Ecke Moerser Straße,6
94,2019-03-31 00:00:00,M,Gegen den Abbau des sozialen Wohnungsbaus in Homberg/Hochheide,2019-04-23 00:00:00,Ganztägig,DU-Stadtmitte; Husemannstraße 1-3/ Ecke Moerser Straße,6
95,2019-04-01 00:00:00,A (K),Warnstreik anl. Tarifrunde im Bankgewerbe,2019-04-09 00:00:00,11:00 - 12:00,DU-Stadmitte; Landfermannstraße 20 - Königstraße 15-19,100
96,2019-04-01 00:00:00,M,"Stoppt die Verfolgung von Falun Gong und den Organraub an lebenden Falun Gong-Praktizierenden in China, Falun Dafa ist gut",2019-04-06 00:00:00,11:00-18:00,DU-Stadtmitte; König-Heinrich-Platz (vor dem Forum),3-6
97,2019-01-31 00:00:00,K,Empty the tanks worldwide,2019-05-11 00:00:00,11:00-15:00,DU-Duissern; Mülheimer Straße 277,60
98,2019-04-06 00:00:00,K,Kritik an den Missständen in der Massentierhaltung,2019-04-11 00:00:00,18:00-20:00,DU-Neudorf; Koloniestraße,15
99,2019-04-06 00:00:00,K,"Gegen die Fastfoodkette ""Mc Donalds"" gegen die Haltungsbeingungen von Hühnern",2019-04-20 00:00:00,14:00-18:00,DU-Stadtmitte; Königstraße 58,20
100,2019-04-09 00:00:00,K,Freiheit für Öcalan / Beendigung der Isolationshaft. Solidarität mit den Hungerstreikenden,2019-04-12 00:00:00,18:00-20:00,DU-Stadtmitte; Königstraße (vor dem Forum),100
101,2019-04-10 00:00:00,A (K),Solidarität,2019-05-01 00:00:00,14:00-20:00,DU-Hochfeld; Pauluskirche - Wanheimerstraße - Brückenplatz - Friedenstraße - Düsseldorfer Straße - Mercatorstraße - Portsmouthplatz,400
102,2019-04-04 00:00:00,K,Perspektive für die Jugend,2019-04-11 00:00:00,08:45-10:00,DU-Stadtmitte; Burgplatz,30-50
103,2019-04-16 00:00:00,M,"1. Mai 2019 - Aufzeigen unserer vielfältigen, toleranten, solidarischen Stadtgesellschaft - Gegen den Aufzug der neonazistischen Partei Die Rechte in DU-Wanheimerort",2019-05-01 00:00:00,13:45-15:15,DU-Wanheimerort; Düsseldorfer Straße (Parkplatz Waldfriedhof) / alt. Naturfreundehaus,50-80
104,2019-04-16 00:00:00,M,"1. Mai 2019 - Aufzeigen unserer vielfältigen, toleranten, solidarischen Stadtgesellschaft - Gegen den Aufzug der neonazistischen Partei Die Rechte in DU-Wanheimerort",2019-05-01 00:00:00,15:15-16:30,DU-Wanheimerort; Bf Hochfeld Süd,50-80
105,2019-04-18 00:00:00,K,"Gedenken an die Opfer des Naziterrors in den Stadtteilen Wanheimerort und Hochfeld: Katharina Sennholz, Wilhelmine Struth, Michael Rodenstock und Heinrich Bechler / Aufmarsch der Partei ""Die Rechte""",2019-05-01 00:00:00,13:30-16:00,DU-Wanheimerort; Fischerstraße 103-105 / Ecke Düsseldorfer Straße,10-100
106,2019-04-18 00:00:00,M,Manwache für die Opfer des Brandanschlags am 26. August 1984 in Duisburg-Wanheimerort,2019-05-01 00:00:00,12:00-17:00,DU-Wanheimerort; Wacholderstraße / Ecke Düsseldorfer Straße,30
107,2019-04-19 00:00:00,A (K),Erster Mai Duisburg,2019-05-01 00:00:00,17:00-19:00,DU-Wanheimerort; Fischerstraße 104 - Wannheimer Straße - Eigenstraße - Gitschiner Straße - Musfeldstraße - Papendell - Dellplatz,100
108,2019-04-23 00:00:00,K,Gegenkundgebung aufgrund des rechten Aufmarschs in Wanheimerort,2019-05-01 00:00:00,12:00:00,DU-Wanheimerort; Fischerstraße / Ecke Düsseldorfer Straße,50
109,2019-04-23 00:00:00,K,Gegenkundgebung aufgrund des rechten Aufmarschs in Wanheimerort,2019-05-01 00:00:00,12:00:00,DU-Wanheimerort; Hitzestraße / Ecke Rheintörchenstraße ,25
110,2019-04-23 00:00:00,K,"Behelfsbrücke ""Danke?""",2019-05-06 00:00:00,13:00-17:00,DU-Stadtmitte; Burgplatz,20-30
111,2019-04-25 00:00:00,K,1. Mai - Feier,2019-05-01 00:00:00,14:00-20:00,DU-Marxloh; Kaiser-Wilhelm-Straße (Piazza),300
112,2019-04-27 00:00:00,K,Europawahl,2019-05-06 00:00:00,17:30-19:30,DU-Stadtmitte; Lifesaver-Brunnen,40-50
113,2019-04-25 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-05-10 00:00:00,16:30-18:00,DU-Stadtmitte; Portsmouthplatz - Friedrich-Wilhelm-Straße - Sonnenwall - Kuhtro - Königstraße - Forum,200
114,2019-04-25 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-05-24 00:00:00,10:00-12:00,DU-Stadtmitte; Portsmouthplatz - Friedrich-Wilhelm-Straße - Sonnenwall - Kuhtor - Poststraße - Burgplatz - Poststraße - Kuhtor ,500
115,2019-05-03 00:00:00,K,Kritik an Missständen in der Massentierhaltung ,2019-05-16 00:00:00,18:00-20:00,DU-Stadtmitte; Koloniestraße / Ecke Sternbuschweg,15
116,2019-05-07 00:00:00,K,Wahlkundgebung Europawahl,2019-05-16 00:00:00,15:30-19:00,DU-Stadtmitte; Königstraße Höhe Forum,100
117,2019-05-07 00:00:00,K,"""Sticker Skandal"" bei der Duisburger Polizei; Motto: ""Heimatliebe ist kein Verbrechen, auch nicht in Uniform""",2019-05-12 00:00:00,14:00-15:30,DU-Hochfeld; Düsseldorfer Straße 161-163,10-30
118,2019-03-28 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-05-17 00:00:00,13:30-15:30,DU-Stadtmitte; Portsmouthplatz - Mercatorstr. - Landfermannstr. - Neudorfer Str. - Klöcknerstr. - Ludgeriplatz - Oststr. - Grabenstr. - Pappenstr. - Carstanjes Garten (ZK) - Mülheimer Str. - Landfermannstr. - Mercatorstr. - Portsmouthplatz,150
119,2019-05-09 00:00:00,K,Europa in Marxloh,2019-05-15 00:00:00,18:00-20:00,DU-Marxloh; Rolfstraße 1-3,100
120,-,K,Seenotrettung im Mittelmeer - Positionierung im EU-Wahlkampf,2019-05-18 00:00:00,14:30-16:00,DU-Stadtmitte; Königstraße / Ecke Düsseldorfer Straße (Lifesaverbrunnen),50
121,2019-05-13 00:00:00,K,Kundgebung zum Arbeitsplatzabbau bei thyssenkrupp Steel Europe AG und Zukunft der thyssenkrupp Steel Europe AG,2019-05-14 00:00:00,08:00-10:00,DU-Rheinhausen; Beethovenstraße 20 (Rheinhausen-Halle),500-600
