"Lfd.
Nr.",PE,Versammlungsmelder,Thema,Ort d. Versammlung / Aufzugsstrecke,"Datum der
Versammlung",Uhrzeit der Versammlung,Jahr,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Datum
188.0,2020-06-22 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Massentierhaltung gefährdet die Gesundheit - Schütze dich und die Tiere (Zoonosen),Neuer Angerbrunnen bis Anger 8 Schilderlinie,2020-06-27 00:00:00,14:00 - 17:00 Uhr,20.0,,,,,,,,,,,20.0
189.0,2020-06-25 00:00:00,Ahmadiyya Muslim Jamaat KdöR,Liebe für Alle Hass für Keinen,Angerdreieck,2020-06-27 00:00:00,13.00 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
190.0,2020-06-24 00:00:00,Einzelperson,Schluss mit der Bombardierung des Irak / Südkurdistan durch die Türkei!,Willy-Brandt-Platz + Aufzug,2020-07-18 00:00:00,16.00 - 19.00 Uhr,20.0,,,,,,,,,,,20.0
191.0,2020-06-29 00:00:00,Patriotischer Widerstand Deutschland-Thüringen-Sachsen / Neues Deutsches Forum,Gegen Grundrechteentzug - Für Bürgerrechte,Domplatz vor dem Hochbeet in Richtung Domplatz (Auftaktkundgebung) --> Domplatz --> Fischmarkt --> Anger --> Domplatz --> Domplatz (Abschlusskundgebung,2020-07-04 00:00:00,15:00 - 21:00,20.0,,,,,,,,,,,20.0
192.0,2020-06-29 00:00:00,Patriotischer Widerstand Deutschland-Thüringen-Sachsen / Neues Deutsches Forum,Gegen Grundrechteentzug - Für Bürgerrechte,Domplatz vor dem Hochbeet in Richtung Domplatz (Auftaktkundgebung) --> Domplatz --> Fischmarkt --> Anger --> Domplatz --> Domplatz (Abschlusskundgebung,2020-07-11 00:00:00,15:00 - 21:00,20.0,,,,,,,,,,,20.0
193.0,2020-06-29 00:00:00,Patriotischer Widerstand Deutschland-Thüringen-Sachsen / Neues Deutsches Forum,Gegen Grundrechteentzug - Für Bürgerrechte,Domplatz vor dem Hochbeet in Richtung Domplatz (Auftaktkundgebung) --> Domplatz --> Fischmarkt --> Anger --> Domplatz --> Domplatz (Abschlusskundgebung,2020-07-18 00:00:00,15:00 - 21:00,20.0,,,,,,,,,,,20.0
194.0,2020-06-29 00:00:00,Patriotischer Widerstand Deutschland-Thüringen-Sachsen / Neues Deutsches Forum,Gegen Grundrechteentzug - Für Bürgerrechte,Domplatz vor dem Hochbeet in Richtung Domplatz (Auftaktkundgebung) --> Domplatz --> Fischmarkt --> Anger --> Domplatz --> Domplatz (Abschlusskundgebung,2020-07-25 00:00:00,15:00 - 21:00,20.0,,,,,,,,,,,20.0
195.0,2020-06-30 00:00:00,Klimagerechtigkeit Erfurt und ADFC/Radentscheid,Verschleppter Radwegeausbau,vor der Thüringenhalle,2020-07-01 00:00:00,16:30 - 17:00 Uhr,20.0,,,,,,,,,,,20.0
196.0,2020-07-02 00:00:00,Fridays For Future Erfurt,Klimademo,Angerdreieck (Startkundgebung) --> Bahnhofstraße --> Juri-Gagarin-Ring (Richtung Westen) --> Karl-Marx-Platz --> Lutherstraße --> Regierungsstraße --> Staatskanzlei (Zwischenkundgebung) --> Anger --> Angerdreieck (Abschlusskundgebung),2020-07-31 00:00:00,14:00 - 17:00 Uhr,20.0,,,,,,,,,,,20.0
197.0,2020-07-02 00:00:00,Decolonize Erfurt,Für die Umbenennung des Nettelbeckufers in Gert-Schramm-Ufer,Fischmarkt,2020-07-11 00:00:00,13.30 - 17.00 Uhr,20.0,,,,,,,,,,,20.0
198.0,2020-07-06 00:00:00,MENSCHLICHE WELT,Meditation und Menschlickeit,Domplatz,2020-07-11 00:00:00,14.15 - 17.30 Uhr,20.0,,,,,,,,,,,20.0
199.0,2020-07-08 00:00:00,Industriegewerkschaft Bauen-Agrar-Umwelt,Betriebsfahrzeuge für Forstbeschäftigte von ThüringenForst,Beethovenstraße 3,2020-07-13 00:00:00,13:30 - 15:00 Uhr,20.0,,,,,,,,,,,20.0
200.0,2020-07-09 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Fischmarkt,2020-07-18 00:00:00,15:00 - 18:00 Uhr,20.0,,,,,,,,,,,20.0
201.0,2020-07-09 00:00:00,Neues Deutsches Forum / Patriotischer Widerstand Deutschland-Thüringen-Sachsen,Gegen Grundrechteentzug - Für Bürgerrechte,Domplatz,01.08.2020 - 19.12.2020,15.00 - 21.00 Uhr,20.0,,,,,,,,,,,20.0
202.0,2020-07-09 00:00:00,Einzelperson,Für die Freiheit und die Rechte des Menschen,Domplatz,2020-07-11 00:00:00,15.30 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
203.0,2020-07-09 00:00:00,Einzelperson,Für die Freiheit und die Rechte des Menschen,Domplatz,2020-07-18 00:00:00,15.30 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
204.0,2020-07-09 00:00:00,Einzelperson,Für die Freiheit und die Rechte des Menschen,Domplatz,2020-07-25 00:00:00,15.30 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
205.0,2020-07-10 00:00:00,Bündnis für Klimagerechtigkeit und ADFC / Radentscheid,Verschleppter Radwegeausbau,Juri-Gagarin-Ring 150,2020-07-16 00:00:00,16:30 - 17:00 Uhr,20.0,,,,,,,,,,,20.0
206.0,2020-07-13 00:00:00,Einzelperson,CDU - Ich will da rein,Friedrich-Erbert-Straße 63,2020-07-29 00:00:00,09:00 - 18:00 Uhr,20.0,,,,,,,,,,,20.0
207.0,2020-07-23 00:00:00,Critical Mass Erfurt,"Aufmerksamkeit schaffen, für Verbesserung der Radverkehrsbedingungen in um Erfurt",Willy-Brandt-Platz à Bürgermeister-Wagner-Straße à Juri-Gagarin-Ring à Trommsdorffstraße à Stauffenbergallee à Magdeburger Allee à Ilversgehofener Platz à Mittelhäuser Straße à Riethstraße à Mainzer Straße à Mittelhäuser Straße à Straße der Nationen à Dubliner Straße à Lissabonner Straße à Nordhäuser Straße à Bergstraße à Blumenstraße à Heinrichstraße à Straße des Friedens à Alfred-Hess-Straße à Steigerstraße à Schillerstraße à Heinrich-Mann-Straße à Löberwallgraben à Löberstraße à Juri-Gagarin-Ring à Karl-Marx-Platz à Dalbergsweg à Walkmühlstraße à Brühlerwallstraße à Straße des Friedens à Heinrichstraße à Binderslebener Landstraße à Hugo-Preuß-Platz à Lauentor à Domplatz,2020-07-31 00:00:00,18:30 - 20:15 Uhr,20.0,,,,,,,,,,,20.0
208.0,2020-07-23 00:00:00,Ahmadiyya Muslim Jamaat KdöR,"Muslime für Frieden, Liebe für alle Hass für keinen",Fischmarkt,2020-07-25 00:00:00,11.00 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
209.0,2020-07-27 00:00:00,"Jugendverband ""Rebell""",Aktionstag gegen Rassismus,Fischmarkt,2020-08-28 00:00:00,16:00 - 17:30 Uhr,20.0,,,,,,,,,,,20.0
210.0,2020-07-24 00:00:00,Einzelperson,Solidarität mit Betroffenen rechter gewalt - Die Taten beim Namen nennen! Faschistische Angriffe aufdecken und aufklären!,Hirschgarten,2020-08-01 00:00:00,14.00 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
211.0,2020-07-22 00:00:00,Theater Erfurt,"Theaterfest ""Theatrale""",Aufzug Innenstadt,2020-09-20 00:00:00,11.30 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
212.0,2020-07-23 00:00:00,Einzelperson,Für die Freiheit und die Rechte des Menschen,Domplatz,2020-08-08 00:00:00,15.30 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
213.0,2020-07-23 00:00:00,Einzelperson,Für die Freiheit und die Rechte des Menschen,Domplatz,2020-08-15 00:00:00,15.30 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
214.0,2020-07-23 00:00:00,Einzelperson,Für die Freiheit und die Rechte des Menschen,Domplatz,2020-08-22 00:00:00,15.30 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
215.0,2020-07-23 00:00:00,Einzelperson ABGESAGT !!,Für die Freiheit und die Rechte des Menschen,Domplatz,2020-08-29 00:00:00,15.30 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
216.0,2020-07-29 00:00:00,Radentscheid Erfurt n.e.V.,Auftaktveranstaltung für den Start der Unterschriftensammelgsphase des Radentscheid Erfurt n.e.V.,Domplatz,2020-08-12 00:00:00,16:30 - 19:00 Uhr,20.0,,,,,,,,,,,20.0
217.0,2020-07-30 00:00:00,Decolonize Erfurt,25 Jahre Deserteursdenkmal sind 109 Jahre Nettelbeckufer zuviel,Fischmarkt,2020-09-01 00:00:00,14:30 - 17:30 Uhr,20.0,,,,,,,,,,,20.0
218.0,2020-07-30 00:00:00,Decolonize Erfurt,"Gegen Nationalismus, Krieg und Durchhalteterror - Gedenkkundgebung am Deserteurdenkmal",Deserteurdenkmal am Petersberg,2020-09-01 00:00:00,17:50 - 19:15 Uhr,20.0,,,,,,,,,,,20.0
219.0,2020-07-31 00:00:00,Anonymous for the Voicelesse,Abschaffung des Tierleides durch Veganismus,Fischmarkt,2020-08-15 00:00:00,15:00 - 18:00 Uhr,20.0,,,,,,,,,,,20.0
220.0,2020-07-27 00:00:00,Bündnis für Klimagerechtigkeit,Globaler Klimastreik - Klimagerechtigkeit jetzt,"Kreuzung Schillerstraße - Weimarische Straße - 
Clara-Zetkin-Straße - Stauffenbergallee (Aufbau ca. 1 Stunde, Auftaktkundgebung ca. 30 Minuten) --> Stauffenbergallee --> Kreuzung Stauffenbergallee / Franckestraße --> Schlachthostraße (Abschlusskundgebung ca. 2 Stunden, Abbau ca. 30 Minuten)",2020-09-25 00:00:00,14:00 - 19:00 Uhr,20.0,,,,,,,,,,,20.0
221.0,2020-08-03 00:00:00,OMAS GEGEN RECHTS Erfurt,Demokratiegespräche (jeden 1. Mittwoch im Monat),Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-09-02 00:00:00,12:00 - 13:00 Uhr,20.0,,,,,,,,,,,20.0
222.0,2020-08-03 00:00:00,OMAS GEGEN RECHTS Erfurt,Demokratiegespräche (jeden 1. Mittwoch im Monat),Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-10-07 00:00:00,12:00 - 13:00 Uhr,20.0,,,,,,,,,,,20.0
223.0,2020-08-03 00:00:00,OMAS GEGEN RECHTS Erfurt,Demokratiegespräche (jeden 1. Mittwoch im Monat),Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-11-04 00:00:00,12:00 - 13:00 Uhr,20.0,,,,,,,,,,,20.0
224.0,2020-08-03 00:00:00,OMAS GEGEN RECHTS Erfurt,Demokratiegespräche (jeden 1. Mittwoch im Monat),Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-12-02 00:00:00,12:00 - 13:00 Uhr,20.0,,,,,,,,,,,20.0
225.0,2020-07-28 00:00:00,Einzelperson,"Für die Freiheit und die Rechte der Menschen (Denn: ""Corona"" ist nicht das Problem, ""Corona"" ist Teil des Problems)",Domplatz (Obekisk),2020-09-05 00:00:00,15.30 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
226.0,2020-07-28 00:00:00,Einzelperson,"Für die Freiheit und die Rechte der Menschen (Denn: ""Corona"" ist nicht das Problem, ""Corona"" ist Teil des Problems)",Domplatz (Obekisk),2020-09-12 00:00:00,15.30 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
227.0,2020-07-28 00:00:00,Einzelperson,"Für die Freiheit und die Rechte der Menschen (Denn: ""Corona"" ist nicht das Problem, ""Corona"" ist Teil des Problems)",Domplatz (Obekisk),2020-09-19 00:00:00,15.30 - 18.00 Uhr ,20.0,,,,,,,,,,,20.0
228.0,2020-07-28 00:00:00,Einzelperson,"Für die Freiheit und die Rechte der Menschen (Denn: ""Corona"" ist nicht das Problem, ""Corona"" ist Teil des Problems)",Domplatz (Obelisk),2020-09-26 00:00:00,15.30 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
229.0,2020-08-04 00:00:00,Einzelperson,BlackLivesMatter - Rassismus tötet: we will fight,Domplatz,2020-09-03 00:00:00,15:00 - 22:00 Uhr,20.0,,,,,,,,,,,20.0
230.0,2020-07-09 00:00:00,Neues Deutsches Forum / Patriotischer Widerstand Deutschland-Thüringen-Sachsen,Gegen Grundrechteentzug - Für Bürgerrechte,Domplatz,2020-08-08 00:00:00,15.00 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
231.0,2020-08-10 00:00:00,Einzelperson,Nein sagen zur Trodesstrafe im Iran,Domplatz,2020-08-22 00:00:00,17:00 - 19:00 Uhr,20.0,,,,,,,,,,,20.0
232.0,2020-08-11 00:00:00,Einzelperson,ALARMSTUFE ROT! - Veranstaltungswirtschaft in der Existenz bedroht - ohne Hilfen der Politik!,Thüringer Landtag,2020-08-19 00:00:00,12.05 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
233.0,2020-08-11 00:00:00,Einzelperson,ALARMSTUFE ROT! - Veranstaltungswirtschaft in der Existenz bedroht - ohne Hilfen der Politik!,Aufzug Domplatz --> Innenstadt --> Domplatz,2020-08-26 00:00:00,12.05. - 18.00 Uhr,20.0,,,,,,,,,,,20.0
234.0,2020-08-11 00:00:00,Einzelperson,ALARMSTUFE ROT! - Veranstaltungswirtschaft in der Existenz bedroht - ohne Hilfen der Politik!,Aufzug: Thüringenhalle --> Landtag,2020-09-02 00:00:00,12.05 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
235.0,2020-07-03 00:00:00,International Justice Mission Deutschland e.V.,Menschenhandel und moderne Sklaverei,Angerdreieck,2020-10-17 00:00:00,12.00 - 17.00 Uhr,20.0,,,,,,,,,,,20.0
236.0,2020-08-12 00:00:00,Auf die Plätze - Bündnis Erfurt,"Erinnerung, Gerechtigkeit, Aufklärung, Konsequenzen - 6 Monate nach Hanau",Staatskanzlei  --> Lange Brücke --> Domplatz (Zwischenkundgebung) --> Marktstraße --> Fischmarkt (Abschlusskundgebung),2020-08-19 00:00:00,17:00 - 20:00 Uhr,20.0,,,,,,,,,,,20.0
237.0,2020-08-13 00:00:00,Einzelperson,Protest gegen brutale Gewalt in Belarus (Weißrussland),Fischmarkt,2020-08-16 00:00:00,"17.00 - 18.00 Uhr
",20.0,,,,,,,,,,,20.0
238.0,2020-08-13 00:00:00,Fridays For Future Erfurt,Klimademo - Amazonasregenwald,Wenigemarkt,2020-08-28 00:00:00,20.30 - 23.00 Uhr,20.0,,,,,,,,,,,20.0
239.0,2020-08-14 00:00:00,Ahmadiyya Muslim Jamaat KdöR,Muslime gegen Rassismus,Fischmarkt,2020-08-17 00:00:00,12.00 - 17.00 Uhr,20.0,,,,,,,,,,,20.0
240.0,2020-08-16 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Protest gegen Massentierhaltung / Massentierhaltung gefährdet die Gesundheit / Karnismus,"Rathausbrücke, von Wengiemarkt 2 bis Hefengasse 1, Podest gegenüber Pittiplatsch",2020-09-05 00:00:00,13.30 - 16.30 Uhr,20.0,,,,,,,,,,,20.0
241.0,2020-08-19 00:00:00,Seebrücke Erfurt,Grenzen und Seehofer überwinden - Für die Umsetzung des LAP,Fischmarkt,2020-08-27 00:00:00,16.30 - 18.30 Uhr,20.0,,,,,,,,,,,20.0
242.0,2020-08-20 00:00:00,"freies Bündnis (Partei, Organisations oder Vereinigungs unabhängig)",Massentierhaltung in Deutschland,Willy-Brandt-Platz 1,2020-08-22 00:00:00,10:00 - 16:00 Uhr,20.0,,,,,,,,,,,20.0
243.0,2020-08-19 00:00:00,VCD,"Critical Mass - ""Heißer Sommer - coole Räder""","Bahnhofsvorplatz (Auftakt) --> Kurt-Schuhmacher-Straße --> Trommsdorfstr. --> über Stauffenbergallee --> Thälmannstraße --> rechts in Leipzigerstraße --> Wende Kreuzung Leipzigerstraße (beim Gartencenter Zimmermann) --> Liebknechtstraße rechts --> rechts in Eugen-Richter-Straße --> links in Friedrich Engels Straße --> links in Salzstraße, dann Salinenstraße --> links in Magdeburger Allee --> rechts in Schlüterstraße --> rechts in Talstraße --> links in Auenstraße --> Moritzstraße --> rechts in Große Ackerhofsgasse --> links in Andreasstraße --> Domplatz (Abschluss)",2020-08-28 00:00:00,18:30 - 20:00 Uhr,20.0,,,,,,,,,,,20.0
244.0,2020-08-21 00:00:00,Bündnis Auf die Plätze,"Erinnerung, Gerechtigkeit, Aufklärung, Konsequenzen ",Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-08-22 00:00:00,13.00 - 16.00 Uhr,20.0,,,,,,,,,,,20.0
245.0,2020-08-25 00:00:00,CSD Bündnis Erfurt,"Informationen und Forderungen zum CSD Thüringen, Sichtbarkeit für Queeres Leben in Erfurt",Fischmarkt,2020-08-29 00:00:00,15:00 - 21:00 Uhr,20.0,,,,,,,,,,,20.0
246.0,2020-08-27 00:00:00,Ehe-Familie-Leben e.V.,Kindesmissbrauch verhindern!,Domplatz,2020-09-06 00:00:00,12:30 - 15:00 Uhr,20.0,,,,,,,,,,,20.0
247.0,2020-08-27 00:00:00,Neues Deutsches Forum,"Schluss mit Massenmigration, Islamisierung und Identitätsabbau - Deutschland bleibt Deutsch!",Domplatz,2020-09-07 00:00:00,19:00 - 21:00 Uhr,20.0,,,,,,,,,,,20.0
248.0,2020-08-27 00:00:00,Neues Deutsches Forum ABGESAGT !!,"Schluss mit Massenmigration, Islamisierung und Identitätsabbau - Deutschland bleibt Deutsch!",Domplatz,2020-10-05 00:00:00,19:00 - 21:00 Uhr,20.0,,,,,,,,,,,20.0
249.0,2020-08-27 00:00:00,Neues Deutsches Forum,"Schluss mit Massenmigration, Islamisierung und Identitätsabbau - Deutschland bleibt Deutsch!",Domplatz,2020-11-02 00:00:00,19:00 - 21:00 Uhr,20.0,,,,,,,,,,,20.0
250.0,2020-08-27 00:00:00,Neues Deutsches Forum,"Schluss mit Massenmigration, Islamisierung und Identitätsabbau - Deutschland bleibt Deutsch!",Domplatz,2020-12-07 00:00:00,19:00 - 21:00 Uhr,20.0,,,,,,,,,,,20.0
251.0,2020-08-27 00:00:00,Freie Kulturkarawane (freier Zusammenschluss von mehreren Veranstaltern),FKK- Freie Kulturkarawane: Schutz und Förderung kultureller Räume,"Variante 1:
Aufbau Domplatz --> Domplatz (Redebeitrag ca. 10 Minuten) --> Lauentor --> Cusanusstraße --> Bonemilchstraße (Redebeitrag beim Amtsgericht ca. 10 Minuten) --> Bonifacusstraße --> Walkmühlstraße (Redebeitrag Stadtgarten ca. 10 Minuten) --> Juri-Gagarin-Ring (Redebeitrag Bürgeramt ca. 10 Minuten) --> Trommsdorfstraße --> Thälmannstraße --> Zum Güterbahnhof --> Zughafen (Abschluss)
Variante 2:
Aufbau Zughafen --> Zughafen (Redebeitrag ca. 10 Minuten --> Zum Güterbahnhof --> Thälmannstraße --> Stauffenbergallee --> Stauffenbergallee i.H. Franckestraße (Redebeiträge ca. 10 Minuten) --> Magdeburger Allee  --> Magdeburger Allee i.H. Lutherkirche (Redebeiträge ca. 10 Minuten) --> Nordbahnhof (Redebeiträge ca. 10 Minuten) --> Am Malzwerk (Abschluss)",2020-09-12 00:00:00,13:00 - 17:00 Uhr,20.0,,,,,,,,,,,20.0
252.0,2020-08-28 00:00:00,Einzelperson,Kundgebung für Heimat und Weltfrieden,Neuer Angerbrunnen in Richtung Lutherdenkmal,2020-08-28 00:00:00,14:00 - 18:00 Uhr,20.0,,,,,,,,,,,20.0
253.0,2009-08-28 00:00:00,Einzelperson,Sichere Lebensmittel Erhalt unserer schönen Heimat Regionale Tierproduktion,"Variante 1:
Stauffenbergallee i.H. Leipziger Platz -->  Talknoten
Variante 2:
Stauffenbergallee i.H. Leipziger Platz --> Thälmannstraße",2020-09-04 00:00:00,05:00 - 14:00 Uhr,20.0,,,,,,,,,,,20.0
254.0,2020-08-31 00:00:00,Thüringer Verband der Verfolgten des Naziregines / Bund der Antifaschisten,Wir erinnern - gedenken mahnen,Hauptfriedhof,2020-09-13 00:00:00,10:00 - 11:00 Uhr,20.0,,,,,,,,,,,20.0
255.0,2020-08-31 00:00:00,VCD,"Parking day ""12qm Kultur""",Andreasstraße 32-37,2020-09-18 00:00:00,16:00 - 20:00 Uhr,20.0,,,,,,,,,,,20.0
256.0,2020-09-01 00:00:00,Initiative für ein Queeres Zentrum Erfurt,Erfurt braucht eine Queeres Zentrum jetzt! QueerCornern,vor Thüringenhalle,2020-09-09 00:00:00,16:00 - 17:30 Uhr,20.0,,,,,,,,,,,20.0
257.0,2020-09-01 00:00:00,Erfurt zeigt Gesicht,"Corona-Pandemie, Zukunft unserer Kinder, Ende der Meinungs- und Gesinnungsdiktatur",Fischmarkt (Auftaktkundgebung) --> Schlösserstraße --> Anger --> Regierungsstraße --> Lange Brücke --> Marktstraße,2020-10-04 00:00:00,15:00 - 18:00 Uhr,20.0,,,,,,,,,,,20.0
258.0,2020-09-04 00:00:00,CSD Erfurt e.V.,Kein Millimeter nach Rechts - Queerfeindlichkeit konsequnet entgegenstellen!,Domplatz,2020-09-06 00:00:00,11.30 - 15.00 Uhr,20.0,,,,,,,,,,,20.0
259.0,2020-09-08 00:00:00,Einzelperson,Voll Scheiße gelaufen,Jürgen-Fuchs-Straße 1 (vor Thüringer Landtag),2020-10-15 00:00:00,09:00 - 12:00 Uhr,20.0,,,,,,,,,,,20.0
260.0,2020-09-08 00:00:00,Einzelperson,Voll Scheiße gelaufen,Messe Erfurt,2020-09-19 00:00:00,08:00 - 18:00 Uhr,20.0,,,,,,,,,,,20.0
261.0,2020-09-04 00:00:00,Kidical Mass Erfurt ,Platz da für die nächste Generation! - Angstfreies Radfahren für Alle!,Stadtgebiet Erfurt,2020-09-20 00:00:00,14.00 - 16.00 Uhr,20.0,,,,,,,,,,,20.0
262.0,2020-09-08 00:00:00,DGB-Bildungswerk Thüringen e.V.,Identität kennt kein Entweder-Oder!,vor Anger 1,2020-10-01 00:00:00,13.00 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
263.0,2020-09-06 00:00:00,Neue Stärke Erfurt e.V.,"Deutsche wehrt euch macht euch frei, von der zweiklassen Justizerei!",Aufzug,2020-10-10 00:00:00,15.00 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
264.0,2020-09-08 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Fischmarkt,2020-09-19 00:00:00,15:00 - 18:00 Uhr,20.0,,,,,,,,,,,20.0
265.0,2020-09-09 00:00:00,Seebrücke Erfurt,Evakuiert die Lager - Wir haben Platz!,Fischmarkt,2020-09-10 00:00:00,17.30 - 19.30 Uhr,20.0,,,,,,,,,,,20.0
266.0,2020-09-11 00:00:00,Einzelperson,"""Und Tschüss"": Symbolische Verabschiedung des Vereins ""Neue Stärke"" aus dem Herrenbergcenter in Erfurt",Am Sibichen 3,2020-09-23 00:00:00,17.00 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
267.0,2020-09-07 00:00:00,Einzelperson,"""Global Freedom Summit / Walk for Freedom"", Gegen Menschenhandel und Zwangsprostitution",Aufzug Innenstadt,2020-10-17 00:00:00,13.00 - 16.00 Uhr,20.0,,,,,,,,,,,20.0
268.0,2020-09-14 00:00:00,samstags Freiheit,Wegen Totstrafen im Iran,Willy-Brandt-Platz,2020-09-19 00:00:00,17.30 - 18.30 Uhr,20.0,,,,,,,,,,,20.0
269.0,2020-09-15 00:00:00,Bürgerbewegung PAX Europa e.V.,Auifklärung über den politischen Islam und die Ahmadiyya - Diskussion mit Bürgern,Fischmarkt,2020-09-26 00:00:00,12.00 - 19.00 Uhr,20.0,,,,,,,,,,,20.0
270.0,2020-09-15 00:00:00,"Omas gegen Rechts, Erfurt","Gedenken Jahrestag Terroranschlag Synagoge Halle, Demo gegen rechte Gewalt in Erfurt",Synagoge Max-Cars-Platz (Standkundgebung) --> Max- Cars-Platz --> Juri-Gagarin-Ring --> Kreuzung Löberstraße --> Neuwerkstraße zum Hirschgarten --> Hirschgarten (Abschlusskundgebung),2020-10-09 00:00:00,16:00 - 19:00 Uhr,20.0,,,,,,,,,,,20.0
271.0,2020-09-16 00:00:00,Thüringer Bauernverband e.V.,Deutscher Bauerntag 2020,Vorplatz Messe Erfurt (Standkundgebung) --> Aufzug: Gothaer Straße (von Abfahrt Gothaer Platz bis Wirtschaftseinfahrt Messe - Hauptfläche Einfahrt Messeparkplatz bis Wirtschaftseinfahrt Messe),2020-10-16 00:00:00,07:00 - 18:00 Uhr,20.0,,,,,,,,,,,20.0
272.0,2020-09-17 00:00:00,Critical Mass Erfurt,"Radverkehrspolitische Tour: Wir beindern nicht den Verkehr, wir sind Verkehr",Aufzug Innenstadt,2020-09-25 00:00:00,18.30 - 20.30 Uhr,20.0,,,,,,,,,,,20.0
273.0,2020-09-17 00:00:00,Brennessel e.V. - Zentrum gegen Gewalt an Frauen,Internationaler Tag gegen Gewalt an Frauen - Gedenken der Opfer,Fischmarkt,2020-11-25 00:00:00,16.30 - 18.30 Uhr,20.0,,,,,,,,,,,20.0
274.0,2020-09-23 00:00:00,Seebrücke Erfurt,Weigerung der Ausländer*innenbehörde Auflagen des Stadtrates umzusetzen und ihre Aufgaben zu erfüllen,Ausländerbehörde,2020-09-24 00:00:00,12:30 - 14:30,20.0,,,,,,,,,,,20.0
275.0,2020-09-25 00:00:00,Einzelperson,Für die Freiheit und die Rechte des Menschen,Anger (vor Lutherdenkmal),2020-10-03 00:00:00,15.30 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
276.0,2020-09-25 00:00:00,Einzelperson,Für die Freiheit und die Rechte des Menschen,Anger (vor Lutherdenkmal),2020-10-10 00:00:00,15.30 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
277.0,2020-09-25 00:00:00,Augustiner Kantorei / Evangelischer Kirchenkreis,"Bundesweite Aktion ""Deutschland singt""",Fischmarkt,2020-10-03 00:00:00,18.00 - 20.00 Uhr,20.0,,,,,,,,,,,20.0
278.0,2020-09-28 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Fischmarkt,2020-10-17 00:00:00,15:00 - 18:00 Uhr,20.0,,,,,,,,,,,20.0
279.0,2020-09-28 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Fischmarkt,2020-11-07 00:00:00,16:00 - 19:00 Uhr,20.0,,,,,,,,,,,20.0
280.0,2020-09-28 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Protest gegen Massentierhaltung / Massentierhaltung gefährdet die Gesundheit / Karnismus,Fischmarkt,2020-10-03 00:00:00,13:30 - 16:30 Uhr,20.0,,,,,,,,,,,20.0
281.0,2020-09-28 00:00:00,ver.di Thüringen,Warnstreik TVöD,Aufzugsstrecke,2020-10-01 00:00:00,08.00 - 11.00 Uhr,20.0,,,,,,,,,,,20.0
282.0,2020-10-05 00:00:00,DGB Hessen-Thüringen,Welttag der menschenwürdigen Arbeit - Lieferkettengesetz jetzt!,Willy-Brandt-Platz,2020-10-07 00:00:00,12:00 - 14:00 Uhr,20.0,,,,,,,,,,,20.0
283.0,2020-10-05 00:00:00,Bund für Umwelt- und Naturschutz Landesverband Thüringen e.V.,Kein Gifteinsatz gegen Feldmauspopulation,Hirschgarten,2020-10-06 00:00:00,09.30 - 10.30 Uhr,20.0,,,,,,,,,,,20.0
284.0,2020-10-05 00:00:00,Initiative Decolonize Erfurt,Für die Umbenennung des Nettelbeckufers in Gert-Schramm-Ufer,Fischmarkt,2020-10-13 00:00:00,15:30 - 19:30 Uhr,20.0,,,,,,,,,,,20.0
