"Lfd.
Nr.",PE,Versammlungsmelder,Thema,Ort d. Versammlung / Aufzugsstrecke,"Datum der
Versammlung",Uhrzeit der Versammlung
128,2019-05-04 00:00:00,Der III. Weg,"Es wird Zeit den III.Weg zu wählen! - Politik, Kultur und Gemeinschaft - Drei Säulen unserer Stadt!","Melchendorfer Markt, Berliner Platz, Marbach, Leipziger Platz, Fischmarkt",2019-05-20 00:00:00,09.00 - 18.00 Uhr
129,2019-05-06 00:00:00,AEGEE-Erfurt e.V. ABGESAGT,Europawahl,Angerdreieck,2019-05-10 00:00:00,12.15 - 13.45 Uhr
130,2019-05-04 00:00:00,Der III. Weg,"Es wird Zeit den III.Weg zu wählen! - Politik, Kultur und Gemeinschaft - Drei Säulen unserer Stadt!","Wiesenhügel, Moskauer Straße, Bindersleben, Europaplatz, Domplatz",2019-05-21 00:00:00,09.00 - 18.00 Uhr
131,2019-05-04 00:00:00,Der III. Weg ,"Es wird Zeit den III.Weg zu wählen! - Politik, Kultur und Gemeinschaft - Drei Säulen unserer Stadt!","Linderbach, Azmannsdorf, Vieselbach, Gothaer Platz, Willy-Brandt-Platz",2019-05-22 00:00:00,09.00 - 18.00 Uhr
132,2019-05-04 00:00:00,Der III. Weg ,"Es wird Zeit den III.Weg zu wählen! - Politik, Kultur und Gemeinschaft - Drei Säulen unserer Stadt!","Abzweig Wiesenhügel, Thüringenpark, Bischleben, Egstedt, Anger 1",2019-05-23 00:00:00,09.00 - 18.00 Uhr
133,2019-05-04 00:00:00,Der III. Weg,"Es wird Zeit den III.Weg zu wählen! - Politik, Kultur und Gemeinschaft - Drei Säulen unserer Stadt!","Stotternheim, Niedernissa, Windischholzhausen, Dittelstedt, Urbich",2019-05-24 00:00:00,09.00 - 18.00 Uhr
134,2019-05-04 00:00:00,Der III. Weg,"Es wird Zeit den III.Weg zu wählen! - Politik, Kultur und Gemeinschaft - Drei Säulen unserer Stadt!",Am Sibichen,2019-05-26 00:00:00,11.00 - 17.00 Uhr
135,2019-05-09 00:00:00,Fridays For Future Erfurt,Fridays for Future - Klimastreik,Angerdreieck --> Bahnhofstraße --> Juri-Gagarin-Ring --> Krämpferstraße --> Meienbergstraße --> Rathausbrücke --> Fischmarkt --> Schlösserstraße --> Anger,2019-05-24 00:00:00,12:00 - 16:00 Uhr
136,2019-05-10 00:00:00,Jusos in der SPD Erfurt,"Für die Freiheit, für das Leben, gegen rassistisches Herrschaftsstreben","Anger, vor dem Lutherdenkmal bis Straßenbahnschienen",2019-05-18 00:00:00,12:00 - 18:00 Uhr
137,2019-05-13 00:00:00,Einzelperson,Protestzug der Anwohner gegen die geplante Umgestaltung der Südeinfahrt,Martin-Andersen-Nexö-Straße (Ecke Arnstädter Straße) --> Martin-Andersen-Nexö-Straße (Ecke Rankestraße),2019-05-17 00:00:00,16.00 - 17.00 Uhr
138,2019-05-12 00:00:00,GRÜNE JUGEND Thüringen,Das Sterben im Mittelmeer beenden,Angerdreieck,2019-05-25 00:00:00,11.00 - 14.00 Uhr
139,2019-04-24 00:00:00,Giordona-Bruno-Stiftung,Kirchenstaat? Nein Danke. 100 Jahre Verfassungsbruch sind genug,Anger,2019-05-26 00:00:00,12.00 - 18.00 Uhr
140,2019-05-10 00:00:00,heinrich-Böll-Stiftung Thüringen e.V.,Solidarität mit Opfern von rassistischer Gewlt (in der DDR),Angerdreieck,2019-06-01 00:00:00,16.00 - 17.30 Uhr
141,2019-05-14 00:00:00,AEGEE-Erfurt e.V.,Anstehende Europawahl,vor Anger 1,2019-05-17 00:00:00,12:15 - 13:45 Uhr
142,2019-05-15 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Mahnwache: Tierschutz/gegen Massentierhaltung,Schlösserbrücke (zwischen Schlösserstraße 23 - 25 und Junkersand 4 bis Schlösserstraße 34),2019-06-01 00:00:00,14:00 - 17:30 Uhr
143,2019-05-15 00:00:00,Grüne Jugend Erfurt,Diskriminierung von LGBTQ+ beenden,Angerdreieck,2019-05-17 00:00:00,12:00 - 14:00 Uhr
144,2019-05-16 00:00:00,"Bürgerbegehren ""Gegen den Verkauf der KOWO""",Schulsanierung JA - Verkauf der KOWO-NEIN,Fischmarkt,2019-05-22 00:00:00,18.45 - 20.00 Uhr
145,2019-05-16 00:00:00,Auf die Plätze - Bündnis,Den rechten Konsens brechen - für ein Europa der Soldarität!,Aufzug Hanseplatz --> Domplatz,2019-05-25 00:00:00,10.00 - 16.00 Uhr
146,2019-05-19 00:00:00,Grüne Jugend,The seas are rising. So we are - die Klimakrise wartet nicht,Anger  vor Anger 1,2019-05-23 00:00:00,13:00 -16:00 Uhr
147,2019-05-29 00:00:00,EinzelpersonABGESAGT,SED-Diktatur und Unrecht,Thüringer Landtag,2019-05-29 00:00:00,09:00 - 10:00 Uhr
148,2019-05-10 00:00:00,Heinrich-Böll-Stiftung Thüringen e.V.,Progromartige Ausschreitungen in Erfurt 1975,Angerdreieck,2019-06-07 00:00:00,18:00 - 19:30 Uhr
149,2019-05-10 00:00:00,Heinrich-Böll-Stiftung Thüringen e.V.,Alltagsrassismus früher und heute,Angerdreieck,2019-06-11 00:00:00,18:00 - 19:30 Uhr
150,2019-05-10 00:00:00,Heinrich-Böll-Stiftung Thüringen e.V.,Die Situation von Vertragsarbeiter*innen in der DDR und heute,Angerdreieck,2019-06-18 00:00:00,18:00 - 19:30 Uhr
151,2019-05-10 00:00:00,Heinrich-Böll-Stiftung Thüringen e.V.,Antirassistische Mahnwache,Angerdreieck,2019-06-22 00:00:00,16:00 - 18:00 Uhr
152,2019-05-22 00:00:00,Einzelperson,Die Stadt sozial bewegen. Am Sonntag SPD wählen!,Anger,2019-05-24 00:00:00,10:00 - 15:00 Uhr
153,2019-05-22 00:00:00,Critical Mass Erfurt,Verkehrspolitische Radtour - Wir behindern nicht den Verkehr-wir sind der Verkehr,Willy-Brand-Platz (Start)->Bahnhofstr.->Augustmauer-> Mühlgasse->Borngasse->Faußtgäßchen->Schlösserstr.->Junkersand->Kürschnergasse->Wenigemarkt->Meienbergstr.->Krämpferstr.->Juri-Gagarin-Ring->Lutherstr.->Regierungsstr.->Holzheienstr.->Theaterplatz->Maximilian-Welsch-Str.->Bonemilchstr.->Benaryplatz->Alfred-Hess-Str.->Richard-Breslau-Str.->Hermann-Schmidt-Str.->Nerlystr.->Steigerstr.->Pförtchenstr.->Str. des Friedens->Brühlerwallstr.->Bonifaciusstr.->Walkmühlstr.->Dalbergsweg->Neuwerkstr.->Regierungsstr.->Lange Brücke->Große Arche->Marktstr.->Domplatz->Kettenstr.->Lange Brücke->Eichenstr.->Neuwerkstr.->Anger->Johannesstr.->Augustinerstr.->Am Hügel->Huttenstr.->Grünstr.->Pfeifersgasse->Schinkelstr.->Boyneburgufer->Talstr.->Auenstr.->Moritzstr.->Michaelisstr.->Benediktsplatz->Fischmarkt (Ende),2019-05-31 00:00:00,18:30 - 20:30 Uhr
154,2019-05-17 00:00:00,ADFC Kreisverband Erfurt,#MehrPlatzFürsRad am Weltfahrradtag,Fischmarkt (Start)--> Benediktsplatz--> Nichaelisstraße--> Moritzstraße --> Schlüterstraße--> Auenstraße--> Riethstraße--> Nordhäuser Str.--> Andreas-Gorden-Straße--> Mühlhäuser Str.--> Erhard-Etzlaub-Straße--> Nordhäuser Str.--> Baumerstr.--> An der Auenschanze --> Treppenstr.--> Nordhäuser Str.--> Moritzwallstr.--> Schlüterstraße--> Stauffenbergallee--> Fritz-Büchner-Str.--> Rosa-Luxemburg-Str.--> Bebelstr.--> Magdeburger Allee--> (Wede in Höhe Eislebener Str.) --> Magdeburger Allee Stadteinwärts--> Stauffenbergallee--> Fritz-Büchner-Str.--> Liebknechtstr.--> Leipziger Str.--> Rathenaustr.--> Iderhoffstr.--> Thälmannstr.--> Leipziger Platz--> Stauffenbergallee--> Schillerstr.--> Löberstr.--> Juri-Gagarin-Ring-->Karl-Marx-Platz--> Neuwerkstraße--> Anger--> Schlösserstraße--> Fischmarkt (Ende),2019-06-03 00:00:00,17:30 - 19:15 Uhr
155,2019-05-24 00:00:00,Die Partei,Für Europa reicht's,Anger vor Lutherdenkmal,2019-05-25 00:00:00,14:00 - 20:00 Uhr
156,2019-05-28 00:00:00,Fridays For Future Erfurt,Fridays for Future - Klimastreik,Angerdreieck,2019-06-07 00:00:00,12.00 - 14.00 Uhr
157,2019-06-03 00:00:00,"VOS-Landesgruppe Thüringen, Thüringer Landtag",Gedenkveranstaltung für die Opfer des 17. Juni 1953 mit Kranzniederlegung,Andreasstraße 37 in 99084 Erfurt,2019-06-17 00:00:00,14.00 - 15.00 Uhr
158,2019-05-28 00:00:00,PETA Deutschland e.V.,Hunde BBQ? Go vegan!,Neuwerkstraße 1,2019-06-11 00:00:00,12.00 - 13.30 Uhr
159,2019-05-23 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleids durch Veganismus,Angerdreieck,15..06.2019,15.00 - 18.00 Uhr
160,2019-05-15 00:00:00,DGB Thüringen,Aktion Lost in Work - Fotoausstellung sowie Diskussionsrunden,Angerdreieck,2019-09-28 00:00:00,07.00 - 20.00 Uhr
161,2019-05-15 00:00:00,ReiterInnen für den Frieden,Worte statt Waffen - Abrüsten statt Aufrüsten,Am Tannenwäldchen --> Anger 1 --> Petersberg --> Am Tannenwäldchen 26 (Lutherpark),2019-07-27 00:00:00,09.00 - 16.00 Uhr
162,2019-05-20 00:00:00,wohnopia e.V.,Bezahlbarer Wohnraum für Alle - ein Straßenfest,Talstraße 15 / 16,2019-06-16 00:00:00,12.00 - 19.00 Uhr
163,2019-06-06 00:00:00,Ver.di Thüringen,"Tarifverhandlungen des Einzel- und Versandhandels Sachsen, Sachsen-Anhalt, Thüringen",Aufzug: Anger 1 --> Schillerstraße,2019-06-14 00:00:00,11.00 - 13.00 Uhr
164,2019-06-03 00:00:00,Landesverband Thüringen des Verkehrsgewerbes (LTV) e.V.,Scheuerwehr-Tour: unter dem Motto ?Scheuerwehr protestieren die Kolleginnen und Kollegen seit Bekanntwerden gegen das Eckpunktepapier von Bundesverkehrsminister Scheuer,"Regierungsstraße 73, Hirschgarten ggü. Staatskanzlei",2019-06-20 00:00:00,09.00 - 12.00 Uhr
165,2019-06-06 00:00:00,Bürgerallianz Thüringen gegen überhöhte Kommunalabgaben e.V.,Mahnwache zwecks Abschaffung Straßenausbauträge,"Thüringer Landtag, Jürgen-Fuchs-Straße 1",2019-06-27 00:00:00,08.30 - 09.30 Uhr
166,2019-06-11 00:00:00,"Bund der Heimtvertriebenen e.V., Landesverband Thüringen",Gedenken an die Opfer von Flucht und Vertreibung,Hauptfriedhof Erfurt,2019-06-26 00:00:00,10.00 - 10.45 Uhr
167,2019-06-07 00:00:00,Ortsteilrat Bindersleben,Bombenabwurf 1944 - Gedenken,Friedhof Bindersleben,2019-07-20 00:00:00,10.00 - 10.20 Uhr
168,2019-06-17 00:00:00,Fridays For Future Erfurt,Fridays for Future - Klimastreik,"Angerdreieck
Aufzug: Angerdreieck  --> Bahnhofstraße--> Schillerstraße --> Friedrich-Schiller-Schule --> Puschkinstraße --> Lessingstraße --> Herderstraße --> Heinrich-Mann-Straße --> Heinrich-Mann-Gymnasium --> Arnstädter Straße --> Johann-Sebastian-Bach-Straße --> Jürgen Fuchs-Straße --> Thüringer Landtag",2019-06-21 00:00:00,12:00 - 16:00 Uhr
169,2019-06-17 00:00:00,Bund für Umwelt und Naturschutz Deutschland (BUND) Thüringen e.V.,Insektensterben; keine Pestizide in Schutzgebieten!,Angerdreieck,2019-06-19 00:00:00,16.00 - 18.00 Uhr
170,2019-06-13 00:00:00,Aufstehen Erfurt - Sammelbewegung,Aufstehen Buntwesten Thüringen ABGESAGT,vor Anger 1,2019-06-22 00:00:00,11.15 - 13.00 Uhr
171,2019-06-14 00:00:00,Freiheit und Demokratie e.V.,1000 und 1 Kerze für die Freiheit,Andreasstraße (vor Gedenkstätte),2019-10-03 00:00:00,17.00 - 20.00 Uhr
172,2019-06-20 00:00:00,VCD Erfurt,"Critical Mass: F""Fahr Rad - fürs Klima auf Tour - Friday for Future",Stadtgebiet Erfurt,2019-06-28 00:00:00,18.30 - 20.00 Uhr
173,2019-06-20 00:00:00,AfD Thüringen,Familienfest der AfD zur Landtagswahl,vor Anger 1,2019-10-12 00:00:00,12.00 - 18.00 Uhr
174,2019-06-26 00:00:00,Fridays For Future Erfurt,Fridays for Future - Klimastreik,vor Anger 1,2019-07-05 00:00:00,12.00 - 16.00 Uhr
175,2019-06-26 00:00:00,Fridays For Future Erfurt,Fridays for Future - Klimastreik,Hirschgarten --> Anger --> Fischmarkt --> Wenigemarkt --> Stauffenbergalleee --> Schillerstraße --> Arnstädter Straße --> Beethovenpark,2019-07-27 00:00:00,12.00 - 22.00 Uhr
176,2019-06-28 00:00:00,Fridays For Future Erfurt und Extinction Rebellion Erfurt,Ruft den Klimanotstand aus!,vor Landtag,2019-07-03 00:00:00,15.00 - 17.00 Uhr
177,2019-06-27 00:00:00,Drogenhilfe Knackpunkt SiT - Suchthilfe in Thrüingen GmbH,Versammlung anlässlich des Drogentotengedenktages,Willy-Brandt-Platz,2019-07-21 00:00:00,10.00 - 15.00 Uhr
178,2019-07-02 00:00:00,AfD Thüringen,Landtagswahl 2019 - Familienfest,Platz der Völkerfreundschaft,2019-09-21 00:00:00,12.00 - 18.00 Uhr
179,2019-07-09 00:00:00,Fridays For Future Erfurt,Fridays for Future - Klimastreik,"Angerdreieck
Aufzug: Angerdreieck --> Krämpferstraße --> Juri-Gagarin-Ring --> Johannesstraße --> Magdeburger Allee --> Ilversgehofener Platz",2019-07-19 00:00:00,12:00 - 16:00 Uhr
180,2019-07-08 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleids durch Veganismus,Angerdreieck,2019-07-20 00:00:00,15:00 - 18:00 Uhr
181,2019-07-11 00:00:00,European Initiative e.V.,Demonstration für christliche Werte in unserer Gesellschaft,Anger (bei Maus und Elefant),2019-07-19 00:00:00,15:00 - 19:00 Uhr
182,2019-07-11 00:00:00,European Initiative e.V.,Demonstration für christliche Werte in unserer Gesellschaft,Anger (bei Maus und Elefant),2019-07-20 00:00:00,13:00 - 19:00 Uhr
183,2019-07-11 00:00:00,European Initiative e.V.,Demonstration für christliche Werte in unserer Gesellschaft,Wenigemarkt,2019-07-21 00:00:00,14:00 - 17:00 Uhr
184,2019-07-10 00:00:00,Dyke*March Erfurt,Dyke*March Erfurt 2019,Aufzug Stadtgebiet Erfurt,2019-08-23 00:00:00,19.00 - 21.00 Uhr
185,2019-07-15 00:00:00,Frauenverband Courage,Bekanntmachung des Frauenpolitischen Ratschlags,Angerdreieck,2019-09-14 00:00:00,12.00 - 16.00 Uhr
186,2019-07-16 00:00:00,Extinction Rebellion Deutschland,Prinzipien von Extinction Rebellion und deren Forderungen an die Politik,Rathausbrücke,2019-07-18 00:00:00,17.30 - 18.00 Uhr
187,2019-07-05 00:00:00,Culture Goes Europe (CGE) - Soziokulturelle Initiative Erfurt e.V.,"im Rahmen der Europäischen Mobilitätswoche: ""Open University""",Anger,2019-09-21 00:00:00,14.00 - 17.00 Uhr 
188,2019-07-15 00:00:00,DGB Stadtverband Erfurt,"Landtagswahl in Thüringen, Gespräch mit Direktkandidatinnen",Angerdreieck,2019-09-30 00:00:00,16.00 - 20.00 Uhr
189,2019-07-15 00:00:00,DGB Stadtverband Erfurt,"Landtagswahl in Thüringen, Gespräch mit Direktkandidatinnen",Moskauer Platz (Wochenmarkt),2019-09-23 00:00:00,12.00 . 16.00 Uhr
190,2019-07-09 00:00:00,DIE LINKE,Wahlkampfauftakt zur Landtagswahl,vor Anger 1,2019-09-06 00:00:00,08.00 - 13.00 Uhr
191,2019-07-19 00:00:00,Der III. Weg,Erfurt erwache - Gemeinsam gegen Homopropaganda! - Für die traditionelle Deutsche Familie!,Angerdreieck,2019-08-24 00:00:00,12.00 - 14.00 Uhr
192,2019-07-22 00:00:00,Critical Mass Erfurt,Forderung nach mehr Rücksicht für Radfahrer im Straßenverkehr und Ausbau der Radverkehrsanlagen,Erfurt - Stadtgebiet,2019-07-26 00:00:00,18.30 - 20.30 Uhr
193,2019-07-24 00:00:00,Fridays For Future Erfurt,Fridays for Future - Klimastreik,Stadtgebiet Erfurt,2019-08-02 00:00:00,12.00  - 15.00 Uhr
194,2019-07-23 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz/ gegen Massentierhaltung,Anger 39 --> Anger 9,2019-09-28 00:00:00,14.00 - 18.00 Uhr
195,2019-07-22 00:00:00,Frauenverband Courage e.V.,Frauenpolitischer Ratschlag,Angerdreieck,2019-11-02 00:00:00,10.00 - 12.00 Uhr
196,2019-07-24 00:00:00,DBG-Bildungswerk Thüringen e.V.,Zusammengekarrt. Gegen die Arbeitsbedingungen in der Produktion und dem Transport von Lebensmitteln,vor Anger 1,2019-09-26 00:00:00,13.00 - 18.00 Uhr
197,2019-08-02 00:00:00,Erfurt zeigt Gesicht,Mahnwache für die Opfer der Gewalt durch die deutsche Willkommenskultur,Willy-Brandt-Platz,2019-08-05 00:00:00,20.30 - 21.30 Uhr
198,2019-07-31 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleids durch Veganismus,Angerdreieck,2019-08-15 00:00:00,17.00 - 20.00 Uhr
199,2019-08-04 00:00:00,Einzelperson,Gegen die Instrumentalisierung von Opfern von Straftaten durch Rechtspopulisten und Rechtsextreme,Willy-Brandt-Platz,2019-08-05 00:00:00,20.00 - 21.00 Uhr
200,2019-07-15 00:00:00,DGB Stadtverband Erfurt,"Landtagswahl in Thüringen, Gespräch mit Direktkandidatinnen","vor Lutherkirche, Magdeburger Allee 48",2019-09-17 00:00:00,16.00 - 18.00 Uhr
201,2019-07-30 00:00:00,PETA Deutschland e.V.,Demo & Petitionsübergabe für ein Verbot von Totschlagfallen,Werner-Seelenbinder-Straße 8,2019-10-10 00:00:00,12.00 - 14.00 Uhr
202,2019-08-11 00:00:00,MLPD ,Einladung zur Kundgebung der Internationalistischen Liste - MLPD,GVZ Erfurt Zalando Süd,2019-08-12 00:00:00,12.30 - 15.30 Uhr
203,2019-08-11 00:00:00,Fridays For Future Erfurt,Fridays for Future - Klimastreik,Angerdreieck + Aufzug Innenstadt,2019-08-16 00:00:00,12.00 - 15.00 Uhr
204,2019-08-08 00:00:00,Aufstehen Erfurt,Uns reicht`s - Trauer für Demokratie,Angerdreieck,2019-08-16 00:00:00,18.30 - 20.00 Uhr
205,2019-08-13 00:00:00,MLPD Thüringen,Protest gegen das verbot der Thälmann-Gedenkkundgebung des internationalistischem Bündnis am 17.08.2019 durch die Versammlungsbehörde Weimar,Angerdreieck,2019-08-14 00:00:00,18.00 - 19.30 Uhr
206,2019-08-16 00:00:00,Freie Wähler Erfurt e.V.,Samstags VOR lesen  friedlich gegen die Schließzeiten der Bibo,Domplatz (vor der Bibliothek),2019-08-24 00:00:00,10.00 - 15.00 Uhr
207,2019-08-15 00:00:00,DIE LINKE Thüringen ABGESAGT,Weltkindertag - mehr Zeit für Familie,Brühler Garten - Freiluftbühne,2019-09-20 00:00:00,10.00 - 20.00 Uhr
208,2019-08-19 00:00:00,Migranten Omid Verein MOVE e.V.,Solidaritätskundgebung mit den Opfern in Kabul,Angerdreieck,2019-08-20 00:00:00,19.00 - 21.00 Uhr
209,2019-08-20 00:00:00,VCD Erfurt,Critical Mass: Die offene Gesellschaft in Bewegung,Willy-Brandt-Platz --> Innenstand --> Fischmarkt,2019-08-30 00:00:00,18.30 - 20.00 Uhr
210,2019-08-22 00:00:00,EHC Erfurt Tec Art Black Dragon,"Erhalt, Sanierung, Erweiterung der kleinen Eishalle",Fischmarkt,2019-08-22 00:00:00,16.00 - 17.00 Uhr
211,2019-08-23 00:00:00,Fridays For Future Erfurt,Fridays for Future - Klimastreik,Angerdreieck --> Stadtgebiet --> Werner-Seelenbinder-Straße 6,2019-08-30 00:00:00,12.00 - 15.00 Uhr
212,2019-08-23 00:00:00,MLPD,Beteiligung an der Landtagswahl in Thüringen,Angerdreieck,2019-10-26 00:00:00,14.00 - 22.00 Uhr
213,2019-08-27 00:00:00,Freie Wähler Erfurt e.V.,Samstags VOR lesen  friedlich gegen die Schließzeiten der Bibo,Domplatz (vor der Bibliothek),2019-08-31 00:00:00,10.00 - 15.00 Uhr
214,2019-08-23 00:00:00,Alles muss man selber machen,"Alles muss man selber machen - für eine antirassistische, feministische & klimagerechte Gesellschaft",Aufzug: Willy-Brandt-Platz --> Ilversgehovener Platz,2019-10-12 00:00:00,12.00 - 20.00 Uhr
215,2019-08-27 00:00:00,TVVdN/BdA e.V.,Gedenken am Ehrenhain der antifaschistischen Widerstandskämpfer,Hauptfriedhof Erfurt,2019-09-08 00:00:00,10.00 - 10.45 Uhr
216,2019-08-28 00:00:00,SPD ,"Auftakt zur Landtagswahl 2019 im Wahlkreis 26, Eröffnung Wahlkampf und Büro",Bürgersteig vor der Rathenaustraße 64,2019-09-03 00:00:00,18.00 - 21.00 Uhr
217,2019-08-27 00:00:00,MLPD / Internationalistische Liste,Wahlkampf-Veranstaltung, Kundgebung Angerdreieck am 09.09.2019 und 28.09.2019,"09.09.2019
28.09.2019
","16.00 - 17.30 Uhr
14.00 - 16.00  Uhr
"
218,2019-08-22 00:00:00,Arbeitsgemeinschaft bäuerliche Landwirtschaft Mitteldeutschland (AbL),Du hast die Wahl: Bauern und Bäuerinnen mobilisieren zur Landtagswahl,vor dem Thüringer Landtag,2019-09-25 00:00:00,13.30 - 14.30 Uhr
219,2019-08-23 00:00:00,DIE LINKE Erfurt,Landtagswahlkampf - Unterstützung von Petra Pau für Bodo Ramelow und die drei Direktkandidaten,Angerdreieck,2019-09-30 00:00:00,11.00 - 19.30 Uhr
220,2019-08-24 00:00:00,FDP Thüringen,Politische Kundgebung,Wenigemarkt,2019-10-20 00:00:00,09.00 - 14.00 Uhr
221,2019-08-28 00:00:00,Linksjugend solid Thüringen,Vorstellung der Jugendkampagne der Linksjugend Thüringer zur Landtagswahl,Stadtpark gepflasteter Platz oberhalb der Eingangstreppe,2019-09-07 00:00:00,16:00-22:00 Uhr
222,2019-08-30 00:00:00,FAU Jena,Mall of Shame- Pay your Workers,"Hugo-Preuß-Platz 1, (Haupteingang Bundesarbeitsgericht)",2019-10-16 00:00:00,08:00-10:00 Uhr
223,2019-09-02 00:00:00,Bundesweite Montagsdemobewegung ,"Gegen Hartz IV, für gleiche Löhne, 4 mobile Lautsprecheranlagen, Transparente, fahnen , Redner, Flugblätter und weiteres","Anger - Regierungsstraße, Lutherstraße, Juri-Gagarin-Ring- Bahnhofstraße, Anger ",2019-10-03 00:00:00,11:00 -15:00 Uhr
224,2019-09-03 00:00:00,Fridays for Future,Fridays for Future,"Angerdreieck, Bahnhofstraße, Willy-Brandt-OPlatz, Schillerstraße, Löberstraße, Regierungsstraße Meister-Eckhard-Straße, Predigerstraße, Fischmarkt Rathausbrücke Wenigemarkt ",2019-09-20 00:00:00,12:00-16:00 Uhr
225,2019-09-03 00:00:00,International Justice Mission Deutschland e.V.,Menschenhandel und moderne Sklaverei,Angerdreieck ist SONU- Vorgang an Sondernutzung 13.10.2019,2019-10-18 00:00:00,13:00-18:00 Uhr
226,2019-09-05 00:00:00,Aufstehen Erfurt,Uns reichts- Trauer um Demokratie,Angerdreieck,2019-09-16 00:00:00,18:30-20:00 Uhr
227,2019-09-03 00:00:00,AfD Thüringen,Landtagswahl 2019 - AfD Familienfest,Drosselberg,2019-10-05 00:00:00,12:00 -18.00 Uhr
228,2019-09-09 00:00:00,Grüne Jugend Erfurt ,Aktion für Seenotrettung,Angerdreieck,2019-09-11 00:00:00, 17:00 -19:00 Uhr
229,2019-08-21 00:00:00,Die Linke,Landtagswahlkampf - ,"Platz der Völkerfreundschaft, Moskauer Platz, Bereich vor dem Einkaufszentrum Roter Berg","10.09.2019, 16.09.2019, 24.09.2019",13:00 -18:00 Uhr
230,2019-09-10 00:00:00,Criticall Mass Erfurt,"Radtour, da wo man nicht Fahrrad fahren kann, muss man laufen","Angerdreieck, Anger, Meienbergstraße, Wenigemarkt, Rathausbrücke, Fischhmarkt, Marktstraße, große Arche, Domplatz, Kettenstraße, Lange Brücke, Eichenstraße, Neuwerkstraße, Verbindung zum Hirschlachufer, Bahnhofstraße, Bahnhofsunterführung, Schillerstraße, Richard-Eiling-Straße Löberwallgraben, Bahnhofsunterführung, Bahnhofstraße, Verbindung Reglermauer, Trommsdorfstraße, Anger, Regierungsstraße, Meister Eckehart-Straße, Predigerstraße, Schuhgasse, Fischmarkt",2019-09-15 00:00:00,11-12:30 Uhr
231,2019-09-11 00:00:00,Seebrücke Erfurt,"Argumentation pro Thüringen als ""sicherer Hafen""","Thüringer Landtag, Jürgen-Fuchs-Straße 1",2019-09-13 00:00:00,08:00 - 10:00 Uhr
232,2019-09-12 00:00:00,Erfurter Rollrunde e.V.,Bikes vs. Cars -Bahn frei für alternative Fortbewegungsmittel und Rollsportarten ,"Willy-Brandt-Platz,  Bürgermeister-Wagner-Straße, Juri-Gagarin-Ring, Löberstraße, Kaffeetrichter, Schillerstraße, Staufenbergallee, Trommsdorfstraße, Juri-Gagarin-Ring, Am Hügel, Augustinerstraße, Michaelisstraße, Moritzstraße, Auenstraße, Riethstraße, Hinter der Radrennbahn, Radrennbahn Andreasried",2019-09-18 00:00:00,18-19:00 Uhr
233,2019-09-13 00:00:00,VCD Erfurt,"Kidical Mass, Fahrraddemonstration für die ganze Familie innerhalb der EMW 2019",Aufzug Wenigemarkt --> Innenstadt --> Theaterplatz,2019-09-20 00:00:00,17.00 - 17.00 Uhr
234,2019-09-17 00:00:00,Einzelperson,Wir sind alle Deutschland - Liebe für Alle - Hass für keinen,Platz der Völkerfreundschaft,2019-09-21 00:00:00,10.00 - 17.00 Uhr
235,2019-09-10 00:00:00,SPD Erfurt,Zur Landtagswahl Wolfgang Tiefensee und die SPD wählen!,vor Anger 1,2019-09-21 00:00:00,12.00 - 15.00 Uhr
236,2019-09-16 00:00:00,Critical Mass Erfurt,"Verkehrspolitische Radtour- Wir behindern nicht den Verkehr, wir sind der Verkehr",Willy-Brandt-Platz --> Schillerstraße --> Weimarische Str. --> Azmansdorfer Weg --> Leinefelder Weg --> Wagenfeldstraße --> Benita-Otte-Straße --> Grete-Reichardt-Straße --> Gerhardt-Marcks-Straße --> Gunta-Stözl-Straße --> Oskar-Schlemmer-Straße --> Feiningerstraße --> Walter-Gropius-Straße --> Leipziger Straße --> Liebknechtstraße --> Eugen-Richter-Straße --> Paul-Schäfer-Straße --> Hugo-John-Straße --> Stotternheimer Straße --> Am Roten Berg --> Mittelhäuser Straße --> Magdeburger Allee --> Johannesstraße --> Juri-Gagarin-Ring --> Bahnhofstraße --> Anger --> Johannesstraße --> Futterstraße --> Rathausbrücke --> Fischmarkt,2019-09-27 00:00:00,18:30 - 20:30 Uhr
237,2019-09-24 00:00:00,BÜNDNIS 90/DIE GRÜNEN Thüringen,Mobilität,Willy-Brandt-Platz,2019-09-24 00:00:00,13:30 - 15:30 Uhr
238,2019-09-21 00:00:00,Einzelperson,"""Erfurt erwache - Gemeinsam gegen Kapitalismus und Kommunismus - Für unser Deutsches Vaterland""",Stieler Straße 1,2019-09-21 00:00:00,14:00 - 21:00 Uhr
239,2019-09-26 00:00:00,Einzelperson,Liebe für Alle - Hass für Keinen,Angerdreieck,2019-10-12 00:00:00,12.00 - 18.00 Uhr
240,2019-09-26 00:00:00,Einzelperson,Die Stadt sozial bewegen- ins Gespräch kommen mit der Spd,Angerdreieck,2019-09-26 00:00:00,12.30 - 17.30 Uhr
