Lfd. Nr,PE,Versammlungsanmelder,Thema,Ort der Versammlung / Aufzuggstrecke,Datum der Versammlung,Uhrzeit der Versammlung
81.0,2016-04-12,Ver.di Thüringen,Tarifauseinandersetzung öffentlicher Dienst,Aufzug Willy-Brandt-Platz à Fischmarkt à Willy-Brandt-Platz,2016-04-22 00:00:00,06.00 – 11.00 Uhr
82.0,2016-04-08,Netzwerk Care-Revolution,"Care-revolutionärer Stadtrundgang zur Krise der Reproduktion: Lebens- und Arbeitsbedingungen in den Bereichen Pflege, Bildung, Beratung, Erziehung, Ernährung, Raumpflege etc.",Willy-Brandt-Platz à Anger à Fischmarkt,2016-05-20 00:00:00,15.00 – 18.00 Uhr
83.0,2016-04-14,Einzelperson,Gegen jeden Antisemitismus,Juri-Gagarin-Ring 16,2016-05-08 00:00:00,09.30 – 18.00 Uhr
84.0,2016-04-15,Martin-Niemöller-Stiftung / Ev. Kirchenkreis / Förderkreis Erinnerungsort Tpof & Söhne e.V.,Ohne Angst verschieden sein können Begegnungsräume statt Angsträume schaffen,Trottoir vor der Unterkunft für Geflüchtete,2016-05-01 00:00:00,12.00 – 18.00 Uhr
85.0,2016-04-12,Förderverein Dreienbrunnenbad e.V.,Bäderkonzept – Rettet das Dreienbrunnenbad,Fischmarkt,2016-04-27 00:00:00,15.00 – 17.30 Uhr
86.0,2016-04-18,JUSOS in der SPD Erfurt,"Gegen Nationalismus, gegen die Alte und Neue Rechte – für ein gutes Leben für Alle!","Stadtparktreppe, Südseite des Bahnhofes, ggf. auf der Fußgängerbrücke",2016-05-01 00:00:00,10.00 – 20.00 Uhr
87.0,2016-04-09,Deutsch-Russische Freundschaftsgesellschaft in Thüringen e.V.,Gedenkveranstaltung ,Hauptfriedhof,2016-05-08 00:00:00,11.00 – 12.00 Uhr
88.0,2016-04-21,JUSOS in der SPD,"8. Mai – Tag der Befreiung – Wer nicht feiert, hat verloren!""",Haus der Sozialen Dienste vor Haupteingang,2016-05-08 00:00:00,10.00 – 20.00 Uhr
89.0,2016-04-25,"Gehörlosenverein Erfurt ""1888"" e.V.",Europäischer Protesttag Gleichstellung von Menschen mit Behinderungen,Jürgen-Fuchs-Straße 1,2016-05-02 00:00:00,13.45 – 16.45 Uhr
90.0,2016-04-25,IG Metall Erfurt,Wir für Mehr,Hugo-John-Straße / Salinenstraße,2016-05-11 00:00:00,13.00 – 15.00 Uhr
91.0,2016-04-29,RedRoxx,Erfurt – Kulturstadt ?,Angerdreieck,2016-05-02 00:00:00,16.00 – 18.00 Uhr
92.0,2016-04-29,RedRoXX,Flucht & Asyl in Erfurt,Angerdreieck,2016-05-23 00:00:00,16.00 – 18.00 Uhr
93.0,2016-04-28,Martin-Niemöller-Stiftung e.V.,Campus Anger,Angerdreieck,2016-05-03 00:00:00,11.00 – 17.30 Uhr
,,,,,2016-05-04 00:00:00,
94.0,2016-04-25,Die PARTEI LV Thüringen,Erfurter Parteitag 1891 – 2016 - 125 Jahre Die PARTEI,Stadtpark à Juri-Gagarin-Ring ,2016-05-21 00:00:00,13.30 – 14.30 Uhr
95.0,2016-04-25,Einzelperson,Weimar Freiheit Lieben,Jürgen-Fuchs-Straße 1 / Messe,2016-06-09 00:00:00,07.00 – 13.00 Uhr
96.0,2016-05-02,Einzelpersonen,Solidarität für Aleppo – Gegen Krieg in Syrien,Anger à Fischmarkt à Domplatz,2016-05-06 00:00:00,14.30 – 19.00 Uhr
97.0,2016-05-03,Ver.di,Warnstreik T-Systems GmbH,Andreasstraße 38,2016-05-10 00:00:00,11.30 – 14.30 Uhr
98.0,2016-04-25,Bildungskollektiv Biko,Rassismus und antirassistisches Engagement von Geflüchteten,Staatskanzlei à Anger à Schlösserstraße à Fischmarkt à Marktstraße à Allerheiligenstraße à Michaeliskirche,2016-06-02 00:00:00,16.00 – 18.30 Uhr
99.0,2016-04-27,Jugendwerk der AWO Erfurt,"Jetzt erst recht. Wir können was dafür, wenn wir nichts dagegen tun",Domplatz,2016-05-18 00:00:00,18.00 – 22.00 Uhr
100.0,2016-05-06,BUND Thüringen e.V.,Energiewende retten ,Jürgen-Fuchs-Straße 1,2016-05-10 00:00:00,11:00 – 11:30 Uhr
101.0,2016-05-09,Einzelperson,""" Auf die Plätze, Fertig: Mittwoch! Für ein bedingungsloses Bleiberecht!""",Anger-Schlösserstraße-Fischmarkt-Marktstraße-Domplatz ZK- Domplatz – Marktstraße-Fischmarkt-Schlösserstraße-Anger,18:05.2016,17:30 – 23:00 Uhr
102.0,2016-04-29,Grüne Jugend Erfurt,IDAHOT – Same Sex Hand Holding,Angerdreieck,2016-05-17 00:00:00,18.45 – 20.00 Uhr
103.0,2016-05-12,Einzelperson,,Aufzug Willy-Brandt-Platz à Domplatz,2016-06-04 00:00:00,11.00 – 18.00 Uhr
104.0,2016-05-10,AfD Thüringen,Thüringen und Deutschland dienen – Asylchaos beenden!,Aufzug Löberstraße -> Johann-Sebastian-Bach-Straße ABGESAGT,2016-08-31 00:00:00,19.00 – 21.00 Uhr
105.0,2016-05-17,Einzelperson,Kulturprotest: Die Bestattung der Königin Kultur – Ein Trauermarsch in E-Moll,Fischmarkt + Aufzug Fischmarkt à Anger à Fischmarkt,2016-05-25 00:00:00,16.00 – 20.00 Uhr
106.0,2016-05-20,Critical Mass Erfurt,"Wir behindern nicht den Verkehr, wir sind Verkehr",Willy-Brandt-Platz à Fischmarkt,2016-06-02 00:00:00,18.30 – 20.30 Uhr
107.0,2016-05-24,Ver.di,Streik T-Systems Tarifrunde 2016,Andreasstraße 38,2016-05-24 00:00:00,07.30 – 10.00 Uhr
108.0,2016-05-24,Gewerkschaft der Polizei e.V.,Wir brauchen Verstärkung,Jürgen-Fuchs-Straße / Domplatz,2016-06-11 00:00:00,10.00 – 15.00 Uhr
109.0,2016-05-23,Einzelperson,Gedenkfeier,Hauptfriedhof,2016-06-04 00:00:00,16.30 – 17.15 Uhr
110.0,2016-06-06,Ver.di,T-Systems Tarifrunde,Andreasstraße 38a,2016-06-08 00:00:00,07.30 – 10.00 Uhr
111.0,2016-06-06,DIE LINKE ,Sozialticket retten,Fischmarkt,2016-06-15 00:00:00,15.30 – 17.00 Uhr
112.0,2016-06-13,LSVD Thüringen e.V.,In stillem Gedenken an die Opfer von Zalando,Angerdreieck,2016-06-14 00:00:00,18.00 – 19.00 Uhr
113.0,2016-06-03,Vereinigung der Opfer des Stalinismus e.V.,Kranzniederlegung,Gedenk- und Bildungsstätte Andreasstraße ,2016-06-17 00:00:00,10.00 – 11.00 Uhr
114.0,2016-06-07,Jugendwerk der AWO,Für eine vielfältige Gesellschaft,Aufzug Willy-Brandt-Platz à Anger à Domplatz,2016-06-22 00:00:00,17.00 – 19.00 Uhr
115.0,2016-06-13,AIDS-Hilfe Thüringen e.V.,Gedenkveranstaltung ,Domplatz,2016-11-04 00:00:00,15.00 – 20.00 Uhr
116.0,2016-06-20,Bund der Heimatvertriebenen e.V. Landesverband ,TGedenkveranstaltung für die Opfer von Flucht und Vertreibung ,Hauptfriedhof Erfurt,2016-06-28 00:00:00,10:00 -11:00 Uhr
117.0,2016-06-22,Critical Mass Erfurt,"Wir behindern nicht den Verkehr, wir sind der Verkehr","Willy-Brandt-Platz, Thälmannstraße, Leipziger Platz, Anger Regierungsstraße., Gothaer Platz, Binderslebener Knie, Stadtring bis Liebknecht, F-Engels bis Ammertal, Magdeburger Allee, Johannesstraße, Ziel Fischmarkt",2016-07-07 00:00:00,18:30-20:30
118.0,2016-06-24,DGB Thüringen,UmFAIRteilung,Angerdreieck,2016-06-27 00:00:00,14.00 – 18.00 Uhr
119.0,2016-06-25,Einzelperson,Protest gegen Totengräber der Rechtsstaatlichkeit am Landgericht Erfurt und in den Verfassungsgerichten,Domplatz 37 (Bürgersteig vor Landgericht),2016-06-27 00:00:00,10.30 – 16.00 Uhr
120.0,2016-06-29,Gewerkschaft Erziehung und Wissenschaft – Landesverband Thüringen,Akzeptanz von Vielfalt – Der Thüringer Bildungsplan bis 18 Jahre,Jürgen-Fuchs-Straße 1 (vor Landtag),2016-07-05 00:00:00,14.00 – 16.00 Uhr
121.0,2016-07-01,Campact e.V.,Für Europa und gegen Ceta,Bürgersteig vor Wirtschaftseingang Messe Erfurt,2016-07-06 00:00:00,12.30 – 15.30 Uhr
122.0,2016-07-04,Einzelperson,Erfurt grüßt die Kanzlerin,Gothaer Straße 34,2016-07-06 00:00:00,13.00 – 17.00 Uhr
123.0,2016-07-01,SOKA Freunde Thüringen e.V.,"Erst kennenlernen, dann urteilen !",Domplatz à Innenstadt à Domplatz,2016-10-15 00:00:00,14.00 – 17.00 Uhr
124.0,2016-07-05,Einzelperson,"Trauerveranstaltung, Terroranschlag in Irak, Bagdad 03.07.16",Domplatz,2016-07-08 00:00:00,17.30 – 20.00 Uhr
125.0,2016-07-05,Einzelperson,5 Jahre Utoya – Im Gedenken an die Opfer von Rechtsterrorismus,Willy-Brandt-Platz ,2016-07-22 00:00:00,17.30 – 18.30 Uhr
126.0,2016-07-11,Die Rechte Mittelthüringen,Familienfest für hilfsbedürftige deutsche Familien – Deutsche Familien zuerst !,Nähe Körnerstraße,2016-07-30 00:00:00,10.00 – 16.00 Uhr
127.0,2016-07-13,Ortseilrat Bindersleben,Gedenken Bombenabwurf 1944,Friedhof Bindersleben,2016-07-16 00:00:00,10.00 – 10.30 Uhr
128.0,2016-07-14,BUND Thüringen,TTIP/ CETA-Veranstaltung zur Information und Mobilisierung für die Großkundgebung am 17.09.2016 in Leipzig,Angerdreieck,2016-08-13 00:00:00,10.00 – 18.00 Uhr
129.0,2016-07-19,Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,Anger 1 / 3 vor Anger 1,2016-06-26 00:00:00,11.00 – 19.00 Uhr
