lfd. Nr.,Posteingang,Veranstalter/Vertreter,Thema,Versammlungsort,Datum der Vers.,Zeit
39,2013-02-14 00:00:00,"BÜNDNIS 90/DIE GRÜNEN, Landtagsfraktion","""Equal Pay Day 2013""","Thüringer Landtag, Jürgen-Fuchs-Straße 1",2013-03-21 00:00:00,08.30 - 09.15
,,am 07.03.13 abgesagt,,,,
40,2013-02-19 00:00:00,"dbb, Beamtenbund","""Einkommensrunde für den öffentlichen Dienst der Länder 2013""","Anger, Lutherdenkmal (Auftaktkundgebung) à Anger à Regierungsstraße à Staatskanzlei (Abschlusskundgebung)",2013-02-27 00:00:00,13.00 - 14.00
41,2013-02-21 00:00:00,Piratenpartei,"""International Day for Privacy""",Angerkreuz,2013-02-23 00:00:00,14.00 - 17.00
,,am 22.02.13 abgesagt,,,,
42,2013-02-21 00:00:00,CSD in der Mitte Deutschlands-Erfurt e.V.,"""Christopher Street Day""",Willy-Brandt Platz (Auftaktkundgebung) à Bürgermeister-Wagner-Straße à Juri-Gagarin-Ring à Karl-Marx-Platz à Neuwerkstraße à Regierungsstraße à Staatskanzlei (Zwischenkundgebung) à Anger (Abschlusskundgebung),2013-06-29 00:00:00,13.00 -14.30
43,2013-02-25 00:00:00,BPW Germany Club Erfurt e.V.,"""Equal-Pay-Day: Lohngerechtigkeit für Frauen""","Erfurt, Angerdreieck",2013-03-21 00:00:00,16.00 - 18.00
44,2013-02-25 00:00:00,"Vereinte Dienstleistungsgewerkschaft ver.di, Frauenrat","""Internationaler Frauentag""","Anger, vor dem neuen Angerbrunnen",2013-03-08 00:00:00,13.00 - 15.00
45,2013-02-26 00:00:00,VVN BdA Ortsgruppe Erfurt,"""Kein Fußbreit den Faschisten - Erfurt bleibt Nazifrei""",Kreuzung Stauffenbergallee / Krämpferstraße,2013-05-01 00:00:00,10.00 - 19.00
46,2013-02-27 00:00:00,Einzelperson,"""Polizeigewalt ist nicht nett - Solidartät mit Yve/tte. Reloaded!""",Platz vor dem Amtsgericht in Erfurt (Haupteingang),2013-03-06 00:00:00,07.55 - 09.00
47,2013-02-28 00:00:00,Flüchtlingsrat Thüringen e.V.,"""Bewegungsfreiheit ist ein Menschenrecht. Residenzpflicht abschaffen!""","Jürgen-Fuchs-Straße 1, vor dem Haupteingang",2013-03-21 00:00:00,08.30 - 10.00
48,2013-03-01 00:00:00,"Grüne Jugend Erfurt, ADFC Erfurt","Critical Mass - Wir behindern nicht den Verkehr - Wir sind der Verkehr""",Willy-Brand-Platz à Juri-Gagarin Ring à Liebknechtstraße à Friedrich-Engels-Straße à Mittelhäuser Straße à Riethstraße à Mainzer Straße à Nordhäuser Straße à Magdeburger Alle à Bergstraße à Andreasstraße à Domplatz,2013-03-23 00:00:00,13.50 - 15.30
49,2013-03-01 00:00:00,ADFC Kreisverband Erfurt,"""Radtour critical mass Erfurt: Wir behindern nicht den Verkehr, wir sind der Verkehr.""",wird nachgereicht,2013-04-24 00:00:00,18.00 - 19.30
50,2013-03-05 00:00:00,DIE LINKE,Wahlkampfabschlussveranstaltung,Anger (Angerkreuz),2013-09-19 00:00:00,12.00 - 21.00
,,am 22.07.13 abgesagt,,,,
51,2013-03-05 00:00:00,Kulturverein Mesopotamien e.V,"""Rassismus in der Gesellschaft""",Angerdreieck,2013-05-16 00:00:00,16.00 - 19.00
52,2013-03-06 00:00:00,Anti-Atom-Bündnis Erfurt,Mahnwache zum Gedenken an Fukushima,Angerkreuz,2013-03-11 00:00:00,17.00 - 18.00
53,2013-03-12 00:00:00,Bürgerbewegung pro Deutschland,"""Bundestagswahl 2013 - pro Deutschland auf den Stimmzettel bringen""","Am Anger, Lutherdenkmal",2013-03-16 00:00:00,14.00 - 18.00
54,2013-03-14 00:00:00,Einzelperson,"Mahnwache ""Gewaltsamer Tod von Daniel S.""","Domplatz, Tiefgarage, Bechtheimer Str.",2013-03-14 00:00:00,19.00 - 19.30
55,2013-03-14 00:00:00,"Piratenpartei Deutschland, Kreisverband Erfurt, Windisch",Anti -GEMA - Proteste wegen Tariferhöhungen,Angerdreieck à Lachsgasse à Hirschlachufer à Eichenstraße à Hirschgarten (Staatskanzlei mit Zwischenkundgebung) à Hirschlachufer à Bahnhofstraße à Angerdreieck,2013-04-06 00:00:00,15.00 - 17.00
56,2013-03-18 00:00:00,Evangelische Andreasgemeinde,"""Nächstenliebe verlangt Klarheit""","vor der Andreaskirche , Andreasstraße 14",2013-05-01 00:00:00,09.00 - 16.00
57,2013-03-18 00:00:00,IG Metall Bezirk Mitte,"""Tarifrunde 2013 - plus für uns - plus für alle""",vor Hotel Radisson Blue - Freifläche zwischen Wendeschleife Hotel und Krämpferstraße,2013-03-22 00:00:00,09.30 - 11.30
58,2013-03-20 00:00:00,DIE LINKE. Erfurt,Wahlkampfveranstaltung des Bundes,Anger 1,2013-09-10 00:00:00,12.00 -21.00
59,2013-03-21 00:00:00,Pro Erfurt e.V.,"""Gemeinsam gegen das Vergessen""","Anger, Lutherdenkmal",2013-03-23 00:00:00,18.00 - 19.00
60,2013-03-26 00:00:00,Bündnis von Einzelpersonen,Last's krachen!,"Willy-Brandt-Platz - Bahnhofstraße, Anger, Regierungsstraße, Staatskanzlei, Regierungsstraße, Meister-Eckehart-Straße Paulstraße Kettenstraße, Domplatz Pergermentergasse Michaelisstraße Benediktsplatz Meienbergstraße Wenigemarkt Meienbergstraße Anger",2013-04-30 00:00:00,17:00 -22:00
61,2013-03-27 00:00:00,Vereinte Dienstleistungsgewerkschaft ver.di,Millionäre für Merkel,Anger rechts vor dem Anger,2013-04-13 00:00:00,15:00 -16:30
,,,,,,
62,2013-04-02 00:00:00,Einzelperson,"""1.Mai - Nazifrei""","Marktplatz am Johannesplatz, neben Wendenstraße",2013-05-01 00:00:00,10.00 - 18.00
63,2013-04-02 00:00:00,Piratenpartei Deutschland LV Thüringen,"""Neuregelung der Bestandsdatenauskunft""",Anger à Regierungsstraße à Hirschgarten/Staatskanzlei à Neuwerkstraße à Anger,2013-04-14 00:00:00,14.00 - 17.00 
64,2013-04-04 00:00:00,Einzelperson,"""Internationaler Tag der Roma""",zwischen Anger 1 und neuem Angerbrunnen,2013-04-08 00:00:00,13.00 -17.00
65,2013-04-02 00:00:00,Thüringer Folklore Ensemble,"""Tanz verbindet Kulturen""",Domplatz à Kettenstraße à Lange Brücke à Eichenstraße à Neuwerkstraße à Anger à Kaufmannskirche à Meienbergstraße à Wenigemarkt à Benediktsplatz à Michaelisstraße à Allerheiligenstraße Marktstraße à Domplatz,2013-07-13 00:00:00,10.00 - 12.00
66,2013-04-08 00:00:00,Flüchtlingsrat Thüringen e:V.,"""Residenzpflicht abschaffen""",Erfurt Jürgen-Fuchs-Straße 1,2013-04-25 00:00:00,8:30-9:30
67,2013-04-04 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,"""Tierschutz gegen Massentierhaltung""",Angerkreuz,2013-04-18 00:00:00,11:00 -19:00
68,2013-04-12 00:00:00,Bündnis 90 / Die Grünen,"""Verkehrssicherheit""",Angerkreuz,2013-05-06 00:00:00,12.30 - 13.30
69,2013-04-10 00:00:00,"Gewerkschaft Nahrung-Genuss-Gaststätten, Region Thüringen","""Kommen wir nicht rein - dann bleiben wir hier""","Langer Graben 82, vor der Ernst Benary Schule, 99092 Erfurt",2013-05-13 00:00:00,08.00 - 15.00
70,2013-04-15 00:00:00,Offene Arbeit des Evangelischen Kirchenkreises Erfurt,Evangelische Kirche gegen Rechtsextremismus - Nächstenliebe verlangt Klarheit,Spielbergtor / Ecke Schillerstraße,2013-05-01 00:00:00,10.00 - 19.00
71,2013-04-12 00:00:00,Gewerkschaft Erziehung und Wissenschaft Thüringen,"""Erfurt nazifrei""",Kreuzung Stauffenbergallee / Ernst-Thälmann-Straße (netto-Markt),2013-05-01 00:00:00,10.00 - 18.00
72,2013-04-15 00:00:00,Jusos in der SPD Erfurt / LV Thüringen,Mobilisierung für die Protestveranstaltungen am 1. Mai,Angerdreieck,2013-04-19 00:00:00,13.00 - 15.00
