Lfd. Nr,PE,Versammlungsanmelder,Thema,Ort der Versammlung / Aufzugsstrecke,Datum der Versammlung,Uhrzeit der Versammlung
30.0,2018-01-22 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz gegen Massentierhaltung ,Anger (vor Anger 1),2018-01-24 00:00:00,14:00 -17:00 Uhr
31.0,2018-01-25 00:00:00,Animal Rights Watch e.V.  + Tierbefreier e.V.,"""Reiten, Jagen, Fischen"" – Mord ist ihr Hobby",Eingangsbereich Messe,2018-03-17 00:00:00,11.00 – 14.00 Uhr
,,,,,,
32.0,2018-01-26 00:00:00,Einzelperson,"""We shall call out your name""",Willy-Brandt-Platz,2018-01-27 00:00:00,13.00 – 14.00 Uhr
33.0,2018-01-30 00:00:00,IG Metall Erfurt,Ganztags-Warnstreik mit Infoständen und Kundgebung,Werner-von-Siemens-Straße 1 und Schwerborner Straße 1,02.02. – 03.02.2018,06.00 – 06.00 Uhr
34.0,2018-01-30 00:00:00,Einzelperson,Solidarität für Afrin,"Regierungsstraße(Staatskanzlei), Anger, Angerdreieck",2018-02-02 00:00:00,13:00 – 16:00 Uhr
35.0,2018-02-01 00:00:00,DGB Jugend Erfurt,Jugend heraus zum 01. Mai,Aufzug: Anger 1 à Schillerstraße à Anger,2018-05-01 00:00:00,11.30 – 15.00 Uhr
36.0,2018-02-05 00:00:00,Einzelperson,"Moscheeneubau, Islamisierung",Fischmarkt,07.02. – 11.04.2018,17.00 – 18.30 Uhr
37.0,2018-02-05 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz gegen Massentierhaltung,Anger (vor Anger 1),2018-02-07 00:00:00,14.00 – 16.00 Uhr
38.0,2018-02-05 00:00:00,Einzelperson,Heraus zum 1. Mai,Verkehrsinsel an Stadtpark-Treppe,2018-05-01 00:00:00,11.00 – 20.00 Uhr
39.0, 12.02.2018,Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz gegen Massentierhaltung,Anger (vor Anger 1),2018-02-19 00:00:00,15.00 – 17.00 Uhr
,,ABGESAGT ,,,,
40.0,2018-02-15 00:00:00,Einzelperson,Ein christliches Zeichen setzen. Mahnwache,St. Christophorus-Straße ,2018-02-19 00:00:00,19.00 – 20.30 Uhr
,,,,,Jeden Montag (außer Feiertag),
41.0,2018-02-19 00:00:00,Thüringer Allianz für den freien Sonntag,3. März – Tag des arbeitsfreien Sonntags,Angerdreieck,2018-03-02 00:00:00,11.00 – 12.30 Uhr
42.0,2018-02-19 00:00:00,Anonymous for the Voiceless,Aufklärung über Tierleid und Informationen zum Veganismus,Vor Anger 1,2018-03-02 00:00:00,16.00 – 19.00 Uhr
,,,,,,
,,,,,Verschoben auf den 24.03.2018,
43.0,2018-02-20 00:00:00,Einzelperson,Für Religionsfreiheit,Vor Fischmarkt 13,2018-02-21 00:00:00,17.00 – 19.00 Uhr
44.0,2018-02-21 00:00:00,Einzelperson,Unterstützung für Kandel,Fischmarkt ,2018-02-22 00:00:00,16:00-17:00 Uhr
45.0,2018-02-23 00:00:00,AfD Thüringen,Frauenrechte und die Folgen der Massenmigration,Fischmarkt,2018-03-08 00:00:00,16.30 – 17.30 Uhr
46.0,2018-02-23 00:00:00,DIE LINKE Erfurt,Sarah Wagenknecht unterstützt OB – Wahlkampf,Angerdreieck,2018-03-22 00:00:00,15.00 – 19.00 Uhr
47.0,2018-02-26 00:00:00,Einzelperson,Für Religionsfreiheit,Fischmarkt,2018-02-28 00:00:00,17.00 – 19.00 Uhr
