lfd.,Posteingang,Veranstalter/Vertreter,Thema,Versammlungsort,Datum der Vers.,Zeit
Nr.,,,,,,
49,2012-03-26 00:00:00,IG Metall Jugend,Laut und Stark für die unbefristete Übernahme,Domplatz-Marktstr.- Fischmarkt,2012-03-28 00:00:00,16:00 18:30
50,2012-04-02 00:00:00,Einzelperson,Politische Lage in der Türkei,Angerdreieck,2012-04-03 00:00:00,14:30-17:00
51,2012-04-05 00:00:00,ver.di Fachbereich 9,Streikversammlung im Rahmen der Tarifrunde 2012 im Telekom-Konzern,Andreasstr. 38 a,2012-04-25 00:00:00,06:00.18:00
52,2012-04-05 00:00:00,ver.di Fachbereich 9,Streikversammlung im Rahmen der Tarifrunde 2012 im Telekom-Konzern,Andreasstr. 38 a,2012-04-24 00:00:00,06:00.18:00
53,2012-04-05 00:00:00,ver.di Fachbereich 9,Streikversammlung im Rahmen der Tarifrunde 2012 im Telekom-Konzern,Hallesche Str. 20,2012-04-19 00:00:00,06:00.18:00
54,2012-04-04 00:00:00,Hebammenlandesverband Thür.e. V.,Hebammenprotest,Angerkreuz,2012-05-05 00:00:00,10:00 - 12:00
55,2012-04-11 00:00:00,Occupy Thüringen Mario Beetz,"""Uns reichts"" - Empörte Bürger für Veränderungen",Bahnhofsvorplatz-BMW-Str.-J.G.Ring-Löbertor-Lange Brücke-Arche-Marktstr.-Anger,2012-05-12 00:00:00,14:00 - 16:30
56,2012-03-02 00:00:00,Alber Schweitzer Stiftung,Tierschutz gegen Massentierhaltung,Bahnhofsvorplatz,2012-04-19 00:00:00,11:00 - 19:00
57,2012-04-03 00:00:00,Einzelperson,"""Keine Mordwaffen als Sportwaffe""",Demonstration vom MDR zum Gutenberg Platz,2012-04-27 00:00:00,ab 11:00
58,2012-04-13 00:00:00,Europabüro Gabi Zimmer MdEP,Europatag 2012,Anger 1,2012-05-09 00:00:00,ab 13:00
59,2012-04-17 00:00:00,IG Metall Erfurt,Mehr ist fair - Tarifauftakt in der Metall- und Elektroindustrie 2012,"HSD, J.G.Ring - Stadtwerke",2012-04-24 00:00:00,16:50 - 17:15 + 17:00 - 19:00 
60,2012-04-20 00:00:00,Einzelperson,Menschenrechtslage in der Türkei,Jürgen -Fuchs-Straße Thüringer Landtag,2012-04-23 00:00:00,8:30-12:00
61,2012-04-20 00:00:00,DGB Jugend Erfurt,Wir kommen auf Touren-Dem Verfassungsschutz immer einen Schritt voraus,Angerdreieck,2012-04-25 00:00:00,14:00 - 16:00
62,2012-04-19 00:00:00,Deutsch-Russische Freundschaftsge. Thüringen,Kranzniederlegung,Hauptfriedhof,2012-05-08 00:00:00,ab 10:00
63,2012-01-13 00:00:00,Bündnis für soz. Gerechtigkeit,Donnerstagskundgebungen,Anger,Mai - August,ab 17:00
64,2012-04-25 00:00:00,Einzelperson,Abschaffung der Tierversuche,vor Anger 1,2012-04-28 00:00:00,11:00 - 16:00
65,2012-05-03 00:00:00,Einzelperson,Vorlesungen,Angerkreuz und Bahnhofsvorplatz,07./08./09.05.12,13:00 -18:00
66,2012-05-04 00:00:00,verdi Ortsverein Mittelthüringen Fachbereich Telekommunikation,ständiges Streitlokal,Andreasstraße 38 a neben Telekomgebäude,2012-05-07 00:00:00,06:00 - 13:00
67,2012-05-07 00:00:00,verdi Ortsverein Mittelthüringen Fachbereich Telekommunikation,ständiges Streitlokal,Erfurt Mühlweg 16 ,2012-05-08 00:00:00,06:00 - 13:00
68,2012-05-07 00:00:00,verdi Ortsverein Mittelthüringen Fachbereich Telekommunikation,ständiges Streitlokal,Erfurt Mühlweg 16,2012-05-09 00:00:00,06:00-13:00
69,2012-05-02 00:00:00,CDU Erfurt,51 Jahre Mauerbau,Angerdreieck,2012-08-13 00:00:00,10:00 -18:00
70,2012-04-27 00:00:00,verdi Ortsverein,Streiklokal,Mühlweg 16,2012-05-02 00:00:00,06:00-13:00
71,2012-05-09 00:00:00,IG Metall ERfurt,Mehr ist fair ! Tarifbewegung in der Metall- und Elektroindustrie,"Siemensstraße 1 Grubenstraße, Salinenstraße, Hugo-John-Straße zurück bis Schuler-Pressenwerk und SchulerPressen(Sternenmarsch) ",2012-05-10 00:00:00,13:00-15:00
72,2012-05-09 00:00:00,Grüne Jugend Erfurt,Vortag des Internationalen Tags gegen Homophobie,Anger,2012-05-16 00:00:00,16:00 -16:15
73,2012-06-01 00:00:00,Studierendenrat der Universität Erfurt,"Offener Campus in der Aktionswoche""Campus ohne Grenzen-gegen Menschenfeindlichkeit",Anger,2012-06-06 00:00:00,10-16:00 
74,2012-06-03 00:00:00,Vereinigung der Opfer des Stalinismus e.V.,Kranzniederlegung für die Opfer des Volksaufstandes vom 17.06.1953,Andreasstraße 37 in der ehemaligen JVA,2012-06-17 00:00:00,10:00 -11:00
75,2012-05-25 00:00:00,CGE Erfurt e.V.,Rhythmusbrücke- musikalische Brücke als Integrationsarbeit,von Magdeburger Allee bis Thomaskirche,2012-06-23 00:00:00,15:00 -15:15
76,2012-06-04 00:00:00,NPD -LV Thueringen,Deutsche Kinder braucht das Land-Demokratischen Wandel erkämpfen!,Thüringer Landtag,2012-09-20 00:00:00,16:30-22:00
77,2012-05-25 00:00:00,"Occupy Erfurt, Anonymous Erfurt",ANTI ACTA Erfurt III,"Willy-Brandt-Olatz, BGM WAgner Straße, Juri-Gagrin-Ring, Löbertot, Neuwerkstraße, Regierungsstraße",2012-06-09 00:00:00,14:00 -16:00
78,2012-06-07 00:00:00,Bündnis 90 /Die Grünen,"""Clever einkaufen - Ressourcen sparen!",Angerkreuz,2012-07-13 00:00:00,15:00-16:00
79,2012-06-14 00:00:00,Bündnis 90/Die Grünen,Versammlung zum Thema Rio 20 Positionserläuterungen der Fraktion,Jürgen Fuchs Straße ,2012-06-20 00:00:00,13:30- 14:00
80,2012-06-14 00:00:00,Einzelperson,Kinderschänder (Häusliche Gewalt Erfurt gegen Sexualstraftäter,Roter Berg vor Einkaufszentrum,2012-06-23 00:00:00,14:00 -16:00
81,2012-06-14 00:00:00,Aids Hilfe Thüringen e.V.,Nacht der Solidarität - Veranstaltung zur globalen HIV/AIDS-Epedemie,Fischmarkt,2012-07-20 00:00:00,20:00-24:00
82,2012-06-19 00:00:00,ver.di Jugend Erfurt,Übernahme als Balance-Akt,Anger,2012-07-07 00:00:00,14:00 - 17:00
83,2012-06-21 00:00:00,AG Nachhaltigkeit / Grüne Jugend,,Willy-Brandt-Platz bis Domplatz,2012-06-25 00:00:00,18:00 -19:30
84,2012-03-24 00:00:00,ISVD Thüringen e.V,Demo/Kundgebung,Innenstadt,2012-07-21 00:00:00,ab 14:OO
85,2012-07-09 00:00:00,Ortsteilrat Bindersleben,68. Jahrestag des Bombenabwurfes auf Binderleben,Friedhof Bindersleben,2012-07-21 00:00:00,von 10:00 - 10:45
86,2012-07-12 00:00:00,Einzelperson,"""Legalisierung Jetzt!""","Domplatz, Marktstraße , Fischmarkt, Schlösserstraße Bahnhofstraße, Willy-Brandt-Platz",2012-07-14 00:00:00,15:00 -19:00
87,2012-07-17 00:00:00,"Jusos Thüringen,",Gedenken anlässlich des Jahrestages des Massakers in Utoya,"Willi-Brandt-Platz, Erfurt",2012-07-22 00:00:00,17.30 - 19.00
,,,,,,
88,2012-07-19 00:00:00,Einzelperson,INDECT (Forschungsprojekt der EU),Anger Kreuz,2012-07-27 00:00:00,16.00 - 17.30
,Änderung am 24.07.12,,,"Fischmarkt (neben Denkmal ""Roland"")",2012-07-28 00:00:00,15.00 - 16.00
89,2012-07-25 00:00:00,Amnesty International Hochschulgruppe Erfurt und Bezirk Thüringen,"16. Radtour für die Menschenrechte, Verhandlungen bei der UNO zur Waffenkontrolle",Erfurt Hirschgarten,2012-08-04 00:00:00,14.00 - 15.00
,,,,,,
90,2012-07-31 00:00:00,NPD,"""Wir wollen nicht Zahlmeister Europas sein - Raus aus dem Euro!""",Bereich vor Anger 1,2012-08-06 00:00:00,11.00 bis 14.00
,,,,,,
91,2012-07-31 00:00:00,VVN BdA Erfurt,"""Erfurt gegen Rechts""",Willy-Brandt-Platz,2012-08-03 00:00:00,10.00 - 15.00
,,,,,,
92,2012-07-31 00:00:00,VVN BdA Erfurt,"""Erfurt gegen Rechts""",Willy-Brandt-Platz,2012-08-06 00:00:00,10.00 - 15.00
,,,,,,
93,2012-07-31 00:00:00,SPD ,"""Erfurt gegen Rechts""",Anger -Angerdreieck,2012-08-06 00:00:00,10.00 - 15.00
,,,,,,
94,2012-07-31 00:00:00,Vereinte Dienstleistungsgewerkschaft,"""Erfurt gegen Rechts""","Platz vor der Staatskanzlei, Erfurt",2012-08-03 00:00:00,10.00 -15.00
,,,,,,
95,2012-07-31 00:00:00,Vereinte Dienstleistungsgewerkschaft ,"""Erfurt gegen Rechts""","Platz vor der Staatskanzlei, Erfurt",2012-08-06 00:00:00,10.00 - 15.00
,,,,,,
96,2012-07-31 00:00:00,SPD,"""Erfurt gegen Rechts""",Domplatz,2012-08-03 00:00:00,10.00 - 15.00
,,,,,,
97,2012-07-31 00:00:00,SPD ,"""Erfurt gegen Rechts""",Domplatz,2012-08-06 00:00:00,10.00 - 15.00
,,,,,,
98,2012-07-31 00:00:00,DIE LINKE,"""Erfurt gegen Rechts""",Anger / vor Anger 1,2012-08-06 00:00:00,10.00 - 15.00
,,,,,,
99,2012-07-31 00:00:00,ADFC Erfurt,"""Critical Mass - Wir behindern nicht den Verkehr, wir sind der Verkehr""",Willy-Brandt-Platz,2012-08-13 00:00:00,ab 18.00 Uhr
,,,,,,
100,Anmeldung wurde durch die Poststelle dem Briefkasten am 30.07.12 entnommen,Einzelperson,"""Gegen Repression und Polizeigewalt""",Anger - Fischmarkt - Domplatz - Staatskanzlei - Anger,2012-07-28 00:00:00,19.00 - 21.00
101,2012-08-06 00:00:00,"Erfurter Bündnis für soziale Gerechtigkeit,","""Leben mit Hartz IV""",Angerkreuz,2012-08-16 00:00:00,jeweils 17.00 - 18.00
,,,Mahnwache,,2012-08-23 00:00:00,
,,,"""Krankes Gesundheitswesen""",,2012-08-30 00:00:00,
,,,"""Weltfriedenstag""",,2012-09-06 00:00:00,
,,,Mahnwache,,2012-09-13 00:00:00,
,,,"""D -ein kinderfreundliches Land?""",,2012-09-20 00:00:00,
,,,Mahnwache,,2012-09-27 00:00:00,
,,,"""Brauchen wir ein besseres Streikrecht""",,2012-10-04 00:00:00,
,,,Mahnwache,,2012-10-11 00:00:00,
,,,"""Neues aus Griechenland""",,2012-10-18 00:00:00,
,,,Mahnwache,,2012-10-25 00:00:00,
,,,"""Nie wieder Faschismus""",,2012-11-01 00:00:00,
,,,Mahnwache,,2012-11-08 00:00:00,
102,2012-08-09 00:00:00,Thüringer Landtagsfraktion von Bündnis 90 / Die Grünen,Earth Overshoot Day 2012,Angerkreuz,2012-08-21 00:00:00,12.00 - 13.00
,,,,,,
103,2012-08-10 00:00:00,Grüne Jugend,"""Lieb doch wen du willst""",Fischmarkt,2012-08-14 00:00:00,10.00 - 12.00
104,2012-08-15 00:00:00,Antifaschistische Koordination Erfurt,"""Nazis wegkicken""",Gesamte Grünfläche am Landtag zwischen Jürgen-Fuchs-Straße 7 Beethovenstraße,2012-09-20 00:00:00,15.00 - 19.00
,,,,,,
105,2012-08-21 00:00:00,The VOICE Refugee Forum,"""Stoppt den Rassismus ! Gegen rassistische Polizeikontrollen !""",Willy - Brandt - Platz,2012-08-23 00:00:00,17.00 - 20.00
106,2012-08-23 00:00:00,SPD,"""Erfurt gegen Rechts""",Jürgen-Fuchs-Straße /Ecke Tschaikowskistraße,2012-09-20 00:00:00,15.00 - 22.00
107,2012-07-23 00:00:00,Vereinte Dienstleistungsgewerkschaft ver.di,"""Öffentlich gegen Rechts""","Jürgen-Fuchs-Straße, Johann-Sebastian-Bach-Straße",2012-09-20 00:00:00,14.00 - 19.00
108,2012-08-27 00:00:00,Einzelperson,"""Wir wollen leben - Zukunft statt EU-Wahn""",Aufzug,2012-09-29 00:00:00,13.00 - 17.00
,,,,,,
109,2012-08-28 00:00:00,"Piratenpartei Deutschland, Kreisverband Erfurt,","""Aktionstag zur GEMA Tariferhöhung""",Angerkreuz (Auftaktkundgebung) à Schlösserstraße à Fischmarkt à Domplatz à Regierungsstraße à Platz gegenüber Staatskanzlei,2012-09-06 00:00:00,15.00 - 18.00
,,,,,,
110,2012-08-29 00:00:00,ADFC Kreisverband Erfurt,"Für bessere Rad-, Verkehrs- und Umweltpolitik in Erfurt",Fahrraddemo: Bahnhofsvorplatz à stadtauswärts Clara-Zetkin-Straße à stadteinwärts Arnstädter Straße à Domplatz,2012-09-19 00:00:00,18.00 - 19.30
111,2012-09-03 00:00:00,Einzelperson,,Kreuzung Arnstädter Str. / J. S. Bach-Str.,2012-09-20 00:00:00,15:00 - 20:00 
112,2012-09-05 00:00:00,ver.di,Ladenöffnungsgesetz,Landtag,2012-09-13 00:00:00,8:30 - 11:00
113,2012-09-04 00:00:00,TVVdN/BdA - e. V.,Kranzniederlegung,Hauptfriedhof,2012-09-09 00:00:00,10:00 - 10:30
114,2012-09-07 00:00:00,Thüringer Landesregierung,Festakt,Theater + Theatervorplatz,2012-10-03 00:00:00,18:00 - 21:00
115,2012-09-13 00:00:00,Bündnis 90/Grüne,Aspekte der Energiewende in Thüringen,Thüringer Landtag,2012-09-16 00:00:00,13:30 - 14:00
,,,,,,
116,2012-09-13 00:00:00,Bürgerinitiative pro ländl. Raum,VG - Auflösung!! Gemeindeeingliederung,Thüringer Landtag,2012-09-19 00:00:00,14:00 - 16:30
117,2012-09-17 00:00:00,The Voice,Die Isolation durchbrechen: Bewegungsfreiheit für Alle,Thüringer Landtag anschl. Aufzug,2012-09-18 00:00:00,ab 11:00 Uhr
118,2012-09-13 00:00:00,DGB - Thüringen,Umfairteilen,Aufzug,2012-09-29 00:00:00,ab 11:30 Uhr
119,2012-09-17 00:00:00,Erfurt auf Achse,Gedenkmarsch,Aufzug vom Bahnhof zum Stadion,2012-09-22 00:00:00,ab 11:30
120,2012-09-14 00:00:00,Occupy,Im Rahmen der Woche des BGE,Angerkreuz,2012-09-20 00:00:00,16:00 - 18:30
121,2012-09-14 00:00:00,Einzelperson,"Der Frust muss raus -Konsequent Handeln gegen Nazis, Rassismus und Staatliche Repression!",Aufzug/Kundgebung,2012-10-13 00:00:00,16:00 - 20:00
122,2012-09-26 00:00:00,"BÜNDNIS 90 / DIE GRÜNEN, Kunsthaus",Stadt der Toleranz / Für Vielfalt und Interkultur,"Allerheiligenstraße bis Engelsburg, Michaelisstraße bis Pergamentergasse, Michaelisstraße bis Allerheiligenstraße",2012-09-29 00:00:00,14.00 21.00
,,,,,,
123,2012-09-27 00:00:00,Konzil Deutschland,"Menschenrechtsverletzung und Demokratie. Unveräußerlich, Undelegierbar, nicht repräsentativ",Jürgen-Fuchs-Straße,ab 01.10.12 montags,10.00 - 13.00
,,,,Anger (Lutherdenkmal),,13.00 - 18.00
,,,,,,
124,2012-09-28 00:00:00,FDP-Fraktion im Thüringer Landtag,"""Thüringer Ladenöffnungsgesetz""",Jürgen-Fuchs-Straße 1,2012-10-11 00:00:00,09.00 - 12.00
,,,,,,
125,2012-09-26 00:00:00,Einzelperson,"""Öffentlicher Protest""",keine Angabe,2012-10-03 00:00:00,keine Angabe
126,2012-10-01 00:00:00,Vereinte Dienstleistungsgewerkschaft ver.di,"""Einzelhandelsbeschäftigt - Für den freien Samstag""","Jürgen-Fuchs-Straße, vor dem Landtag",2012-10-11 00:00:00,08.30 - 11.00
127,2012-10-01 00:00:00,AIDS-Hilfe Thüringen e.V.,"""Namen und Steine""","Domplatz, vor den Domstufen",2012-11-05 00:00:00,15.00 - 20.00
,,,,,,
128,2012-10-10 00:00:00,DIE LINKE,"""Kommunen in Not""","Erfurt, Jürgen-Fuchs-Straße",2012-10-18 00:00:00,13.00 - 15.00
,,,,,,(Aufbau ab 12.00)
129,2012-10-11 00:00:00,Vereinte Dienstleistungsgewerkschaft ver.di,"""Erhalt der Samstagsregelung im Ladenschlussgesetz""","Jürgen-Fuchs-Straße, vor dem Landtag",2012-11-15 00:00:00,08.30 - 11.00
,,,,,,
130,2012-10-12 00:00:00,"Grüne Jugend Erfurt, ADFC Erfurt, AG Nachhaltigkeit","""Critical Mass - Wir behindern nicht den Verkehr, wir sind der Verkehr""",Aufzug mit Fahrrädern,2012-10-30 00:00:00,16.50 - 18.15
131,2012-10-16 00:00:00,Einzelperson,"""Hände weg von den Besetzer_innen der nigerianischen Botschaft in Berlin""",Aufzug,2012-10-17 00:00:00,16.00 - 19.00
132,2012-10-16 00:00:00,"Piratenpartei, Kreisverband Erfurt","""Bundesweiter Aktionstag gegen INDECT""",Aufzug,2012-10-20 00:00:00,15.30. -17.00
133,2012-10-23 00:00:00,Einzelperson,"""Menschenrechtslage in der Türkei""",Standkundgebung,2012-10-27 00:00:00,11.00 -13.00
134,2012-10-25 00:00:00,"DGB Thüringen, Stadtverband Erfurt","""Fairteilertour""",Standkundgebung (Angerkreuz),2012-11-07 00:00:00,13.00 - 17.00
135,2012-10-30 00:00:00,"Universität Erfurt, Förderkreis Erinnerungsort Topf & Söhne","""Campus Anger - Historische Bildung als Menschenrechtsbildung und öffentliche Vernunftsbildung - Gedenken an die Novemberpogrome 1938 und Kritik gruppenbezogener Menschenfeindlichkeiten.""",Angerdreieck,2012-11-05 00:00:00,16.00 - 18.00
136,2012-10-30 00:00:00,"Universität Erfurt, Förderkreis Erinnerungsort Topf & Söhne","""Campus Anger - Historische Bildung als Menschenrechtsbildung und öffentliche Vernunftsbildung - Gedenken an die Novemberpogrome 1938 und Kritik gruppenbezogener Menschenfeindlichkeiten",Angerdreieck,2012-11-06 00:00:00,15.30 - 17.45
137,2012-11-01 00:00:00,Kulturverein Mesopotamien e.V.,Menschenrechtslage in der Türkei,Aufzug,2012-11-03 00:00:00,13:30 - 16:00
138,2012-11-01 00:00:00,Piratenpartei,Kundgebung für das Refugeecamp in Berlin und Frankfurt,Kundgebung,2012-11-01 00:00:00,18:00 - 21:00
139,2012-11-06 00:00:00,Kulturverein Mesopotamien e.V.,"Kundgebung ""Hungerstreik in Gefängnissen der Türkei""",Kundgebung (Mahnwache),2012-11-08 00:00:00,14.00 - 18.30
,,,,,2012-11-09 00:00:00,14.00 - 18.30
,,,,,2012-11-10 00:00:00,11.00 - 15.30
140,2012-11-07 00:00:00,Marinekameradschaft Erfurt,Kranzniederlegung,Mahnwache,2012-11-17 00:00:00,10.00. - 11.00
141,2012-11-08 00:00:00,Terre de hommes Deutschland e.V.,"""Jedes Kind hat das Recht auf eine gesunde Umwelt""",Kundgebung,2012-11-24 00:00:00,14.30. - 17.00
142,2012-11-13 00:00:00,Kulturverein Mesopotamien e.V.,Hungerstreik in den Gefängnissen der Türkei,Kundgebung,2012-11-15 00:00:00,15.00 - 18.00
,,,,,2012-11-16 00:00:00,15.00 - 18.00
,,,,Aufzug,2012-11-17 00:00:00,14.00 - 17.00
143,2012-11-15 00:00:00,Evangelische Kirche,"""Landwirtschaft und Kirche""",Kundgebung,2012-11-21 00:00:00,10.00 - 11.00
144,2012-11-21 00:00:00,DIE LINKE.,"""""Nein zur Bildung der Gemeinde Amt Wachsenburg""",Kundgebung,2012-11-22 00:00:00,12.00 - 14.00
145,2012-11-22 00:00:00,Einzelperson,"""Soziale Arbeit ist Pflicht - keine Kürzung in der Jugendarbeit, Jugendverbandsarbeit und Schulsozialarbeit""",Kundgebung,2012-11-28 00:00:00,15.30 - 17.30
