Lfd. Nr,PE,Versammlungsanmelder,Thema,Ort der Versammlung /,Datum der Versammlung,Uhrzeit der Versammlung
55.0,2017-04-18,BUND Thüringen,Tschernobyl Mahnwache,Angerdreieck,2017-04-28 00:00:00,17.30 – 19.00 Uhr
56.0,2017-04-19,Pulse of Europe Erfurt,Pulse of Europe Erfurt – ein pro-europäische Kundgebung,Wenigemarkt,2017-04-30 00:00:00,13.30 – 15.30 Uhr
57.0,2017-04-21,THÜGIDA/ Wir lieben Sachsen e.V.,Gegen den Moscheebau in Erfurt und die Folgen der Islamisierung von Europa,Donaustraße / Saalestraße,2017-04-25 00:00:00,17.30 – 19.30 Uhr
58.0,2017-04-24,Sprachcafe Erfurt,Prostest gegen Abschiebung nach Afghanistan,Angerdreieck,2017-04-24 00:00:00,17.30 – 19.00 Uhr
59.0,2017-04-25,Einzelperson,Protest gegen Bombardierungen in Syrien und Irak,Willy-Brandt-Platz à Domplatz,2017-04-29 00:00:00,13.30 – 16.00 Uhr
60.0,2017-04-25,Pulse of Europe Erfurt,Pulse of Europe Erfurt – ein pro-europäische Kundgebung,Wenigemarkt,2017-05-07 00:00:00,13.30 – 15.30 Uhr
61.0,2017-04-26,Einzelperson,Nordhausen ist und bleibt Kreisstadt,Hirschgarten,2017-05-02 00:00:00,08.00 – 10.30 Uhr
62.0,2017-04-25,Erfurter Bündnis für soziale Gerechtigkeit – gegen Rechtsextremismus,"Kundgebungen, Mahnwachen",Angerdreieck,04.05.2017 –,17.00 – 18.00 Uhr
,,,,,2017-09-14 00:00:00,
63.0,2017-04-27,"Verein (iG) ""Statt Urwald – Kulturwald am Possen und Hainleite""",Keine weitere Einschränkung der nachhaltigen Forstwirtschaft in Thüringen,"Thüringer Ministerium für Umwelt, Energis und Naturschutz, Beethovenstraße 3",2017-05-11 00:00:00,14.30 – 15.30 Uhr
64.0,2017-05-01,Aktionskreis für Frieden e.V.,Tag der Befreiung – Gedenkveranstaltung,"Petersberg, Denkmal des unbekannten Wehrmachtsdeserteurs",2017-05-08 00:00:00,16.30 – 17.30 Uhr
65.0,2017-05-08,Deutsch-Russische Freundschaftsgesellschaft in Thüringen e.V.,Gedenkveranstaltung 72. Jahrestag der Befreiung vom Hitlerfaschismus,Erfurter Hauptfriedhof,2017-05-08 00:00:00,10.00 – 11.00 Uhr
66.0,2017-05-02,Eisenbahn- und Verkehrsgewerkschaft,Gegen die Verkaufspläne für die Erfurter Bahn,Fischmarkt,2017-05-10 00:00:00,16.00 – 17.00 Uhr
67.0,2017-05-10,AfD Thüringen,,Domplatz,2017-09-20 00:00:00,19.00 – 21.00 Uhr
68.0,2017-05-09,Spirit of Football e.V.,Finaltag Thüringer Pokalfinale,Aufzug Junkersand à Steigerwaldstadion,2017-05-25 00:00:00,10.40 – 12.00 Uhr
69.0,2017-05-12,Einzelperson,Für Solidarität und ein demokratisches Miteinander – Gegen Rassismus und Ausgrenzung,Vorplatz Kaufmannskirche / Lutherdenkmal,2017-06-24 00:00:00,09.30 – 20.30 Uhr
,,,,,,
,,ABGESAGT,,,,
70.0,2017-05-09,Einzelperson,Dem rechten Konsens entgegentreten!,Angerdreieck,2017-06-24 00:00:00,09.30 – 20.30 Uhr
71.0,2017-05-09,Einzelperson,"Liebe, Sex und Widerstand – Für eine Welt für Alle!",Hirschlachufer,2017-06-24 00:00:00,09.30 – 20.30 Uhr
,,,,,,
,,ABGESAGT,,,,
72.0,2017-05-09,Offenes Jugend- und Wahlkreisbüro RedROXX,Linke Antwort auf die Gefahr von rechts,Vor Anger 1,2017-06-24 00:00:00,09.30 – 20.30 Uhr
,,,,,,
