lfd. Nr.,Posteingang,Veranstalter/Vertreter,Thema,Versammlungsort,Datum der Versammlung,Zeit
116.0,2015-04-10 00:00:00,Offene Arbeit des Evangelischen Kirchenkreises Erfurt,"Evangelische Kirche gegen Rechtsextremismus ""Für ein buntes Erfurt""",Spielbergtor / Schillerstraße,2015-05-01 00:00:00,10:00 -20:00
117.0,2015-04-10 00:00:00,Offene Arbeit des Evangelischen Kirchenkreises Erfurt,"Evangelische Kirche gegen Rechtsextremismus ""Nächstenliebe verlangt Klarheit""",Ecke Lauenstraße / Maximilian-Welsch-Straße / Peterstraße,2015-05-02 00:00:00,11:00 -21:00
,,,,,,
119.0,2015-04-10 00:00:00,Offenes Jugendbüro  RedRoXX,Kein Raum und keine Straße für rechte Holligans,Schmidtstedter Tor / Kreuzung Weimarische Straße ,2015-05-02 00:00:00,11:00 -21:00
,,,,Schillerstraße Clara-Zetkin-Straße ,,
120.0,2015-04-10 00:00:00,Linksjugend Thüringen,Gegen Rassismus und Fremdenfeindlichkeit,Angerdreieck ,2015-04-13 00:00:00,17.30 – 23.00
121.0,2015-04-10 00:00:00,Offenes Jugendbüro RedRoXX,Kein Raum und keine Straße für rechte Hooligans,Bahnhofstraße / Hirschlachufer / - Blume 2000 / Erfurter Bang e.G.,2015-04-13 00:00:00,17.30 – 21.00
122.0,2015-04-12 00:00:00,Einzelperson,Schleichende Menschenrechtsverletzungen in Polizei und Justiz,Vom Amtsgericht zum Landgericht Domplatz,2015-04-14 00:00:00,08.00 – 10.30
,,,,,,10.30 – 15.00
123.0,2015-04-13 00:00:00,Einzelperson,"Für ein Erfurt ohne Rassismus, Homophobie, Transphobie und Antisemitismus",Staufenbergallee / Leipziger Platz (vor MatratzenConcord),2015-05-02 00:00:00,11:00 – 21:00
124.0,2015-04-13 00:00:00,Einzelperson ,Friedensmahnwache,Angerdreieck,2015-04-15 00:00:00,18.00 – 20.00
125.0,2015-04-13 00:00:00,Einzelperson,Abschiebungen stoppen – Bleiberecht für Alle,Bürgermeister-Wagner-Straße,2015-04-21 00:00:00,15.30 – 17.30
126.0,2015-04-16 00:00:00,Aktionskreis für Frieden e.V.,70 Jahre Ende des 2. Weltkrieges – 70 Jahre Befreiung,Petersberg,2015-05-09 00:00:00,15.00 – 16.00
127.0,2015-04-16 00:00:00,Wir helfen Tieren in Not,Wir helfen Tieren in Not,Aufzug: Gutenbergplatz à Gutenbergstraße à Blumenstraße à Andreasstraße à Marktstraße à Fischmarkt,2015-04-18 00:00:00,13.30 – 15.00
128.0,2015-04-08 00:00:00,Dt.Russische Freundschaftsgesellschaft Thüringen e.V.,Gedenkveranstaltung,Hauptfriedhof,2015-05-08 00:00:00,10.00
129.0,2015-04-15 00:00:00,Die Partei Landesverband Thüringen,1. Mai Tag der Arbeiterklasse,"Südl. J.G-Ring, Grünfläche Höhe Neue Synagoge ",2015-05-01 00:00:00,09.00 – 12.00
130.0,2015-04-20 00:00:00,Stadtfraktion BÜNDNIS 90 / Die GRÜNEN,Erfurt ist & bleibt bunt - Refugees welcome,Gutenbergplatz,2015-05-02 00:00:00,11.00 – 20.00
131.0,2015-04-23 00:00:00,Einzelperson,""" Klassik gegen Rechts "" in ERfurt",Willy- Brandt-Platz ggf Stadtparktreppe entlang der Aufmarschroute der NPD,2015-05-01 00:00:00,10:00 -18:00
132.0,2015-04-23 00:00:00,Verdi Thüringen,Arbeitskampf / Streik Postbank Fialilbetrieb,Löberwallgraben Löberstraße Juri Gagarin Ring bis Bahnhofstrae vor Gebäude Deutsche Bank,2015-04-29 00:00:00,11:30 – 12:30
133.0,2015-04-23 00:00:00,Friedensmahnwache Erfurt,Friedensmahnwache - Infoveranstaltung,Lutherdenkmal Erfurt,2015-04-27 00:00:00,18:00 -20:00
134.0,2015-04-23 00:00:00,Junge Europäische Förderalisten Landesverband Thüringen e.V.,25 / 30 Jahre Schengen – Sind Grenzen noch zeitgemäß ?,Vor Anger 1,2015-05-07 00:00:00,17:45 – 20:30
135.0,2015-04-27 00:00:00,Critical Mass Erfurt,"Radverkehrspolitische Tour durch Erfurt, Wir behindern nicht den Verkehr, wir sind der Verkehr.""","Bahnhofsvorplatz Anger Magdeburger hin – und zurück, Nordhäuser mit Wende Markt Schlösserstraße und kleine Schleife über Meienbergstrasße , Ziel Fischmarkt",2015-05-07 00:00:00,18:30 -20:00
136.0,2015-04-22 00:00:00,Thüringer Tourismus GmbH,Deutschland ein Reiseland – Erfurt ist schön,Aufzug Innenstadt,2015-04-27 00:00:00,17.00 – 18.30
137.0,2015-04-28 00:00:00,Einzelperson,Rassismus und seine Akteure benennen ! Rassistische Polizeikontrollen stoppen,Amtsgericht Erfurt,2015-04-28 00:00:00,13.00 – 14.00
138.0,2015-04-29 00:00:00,Einzelperson,Gegen die Umdeutung der Geschichte – 8. Mai Tag der Befreiung,Jürgen-Fuchs-Straße,2015-05-07 00:00:00,16.00 – 18.30
139.0,2015-04-29 00:00:00,Bund der Heimatvertriebenen,Gedenken an die Opfer von Flucht und Vertreibung,Hauptfriedhof,2015-05-05 00:00:00,10.00 – 11.00
140.0,2015-04-30 00:00:00,Landesarbeitsgemeinschaft der freien Schulträger,Faire Chancen für Freie Schulen,Hirschgarten,2015-05-12 00:00:00,11.45 – 12.15
141.0,2015-04-29 00:00:00,Piratenpartei ,Menschen begegnen sich,Fischmarkt,2015-05-09 00:00:00,10.00 – 17.00
142.0,2015-05-05 00:00:00,Einzeperson,Nachttanzdemo: 8. Mai – Tag der Befreiung,Willy-Brandt-Platz à Domplatz,2015-05-08 00:00:00,20.00 – 22.00
143.0,2015-05-08 00:00:00,Grüne Jugend Erfurt ,Same Sex Hand Holding,Angerdreieck,2015-05-17 00:00:00,16:30 – 17:30
144.0,2015-05-05 00:00:00,Erfurter Rollrunde e.V.,Spaß am Rollen,Aufzug,2015-06-13 00:00:00,12.00 – 13.00
145.0,2015-05-11 00:00:00,Landeselternvertretung für Kindergärten,Wir wollen unsere Erzieher zurück,Fischmarkt,2015-05-13 00:00:00,16.00 – 16.00
146.0,2015-05-11 00:00:00,Einzelperson,Tarifauseinandersetzung Sozial- und Erziehungsdienst,Fischmarkt,2015-05-13 00:00:00,16.00 – 17.00
147.0,2015-05-08 00:00:00,Kinderhilfe Nepal e.V.,Erdbeben Nepal Benefizaktion,Anger (Angerdreieck),2015-05-16 00:00:00,14.00 – 21.00
148.0,nicht erfasst,Piratenpartei,Freiheit statt Angst,nicht erfasst,2015-09-12 00:00:00,nicht erfasst
,,,,,,
149.0,nicht erfasst,BUND,TTIP freies Erfurt,nicht erfasst,2015-05-27 00:00:00,nicht erfasst
150.0,nicht erfasst,Bürgerinitiative Schwerborn kämpft,Nein zum Bau der Hühnermastanlage in Schwerborn!,nicht erfasst,2015-05-27 00:00:00,nicht erfasst
151.0,nicht erfasst,GEW,Wir wollen verhandeln,nicht erfasst,2015-05-21 00:00:00,nicht erfasst
152.0,nicht erfasst,Netzwerk Inklusion Deutschland e.V.,"Inklusion als gesellschaftliche Teilhabe aller benachteiligten Gruppen, insbesondere behinderter Menschen",nicht erfasst,2015-06-19 00:00:00,nicht erfasst
153.0,nicht erfasst,Critical Mass Erfurt,"Radverkehrspolitische Tour durch Erfurt ""Wir behindern nicht den Verkehr, wir sind der Verkehr""",nicht erfasst,2015-06-04 00:00:00,nicht erfasst
154.0,nicht erfasst,,,nicht erfasst,,nicht erfasst
155.0,nicht erfasst,Campusgrün - Hochschulgruppe der Universität Erfurt,Radkundgebung für den Ausbau der Nordhäuser Straße ,nicht erfasst,2015-06-04 00:00:00,nicht erfasst
156.0,nicht erfasst,Grüne Jugend Erfurt,Weltumwelttag,nicht erfasst,2015-06-05 00:00:00,nicht erfasst
157.0,nicht erfasst,DFG-VK Landesverband Baden – Württemberg,2. Pacemakers Berlin Tour ,nicht erfasst,2015-07-03 00:00:00,nicht erfasst
158.0,nicht erfasst,Verdi Fachbereich Handel,Tarifauftakt im Thüringer Einzelhandel,nicht erfasst,2015-06-04 00:00:00,nicht erfasst
159.0,nicht erfasst,Einzelperson,Rassistische Gewalt beginnt in den Amtsstuben! Kontrollier t die Polizei,nicht erfasst,2015-06-10 00:00:00,nicht erfasst
160.0,nicht erfasst,VOS – Vereinigung der Opfer des Stalinismus e.V.,Gedenkveranstaltung 17. Juni 1953,nicht erfasst,2015-06-17 00:00:00,nicht erfasst
161.0,nicht erfasst,Thüringer Bauernverband e.V.,Demonstrative Aktion zum Deutschen Bauerntag 2015,nicht erfasst,2015-06-25 00:00:00,nicht erfasst
162.0,nicht erfasst,Bund Stadtverband Erfurt e.V. ,Erfurt – Stadt der Bäume,nicht erfasst,2015-06-14 00:00:00,nicht erfasst
163.0,nicht erfasst,SPD Stadtratsfraktion,Bürgersprechstunde SPD Stadtratsfraktion,nicht erfasst,18.06.15 fällt aus,nicht erfasst
164.0,nicht erfasst,GEW Thüringen,Laufende Tarifverhandlungen im Sozial- und Erziehungsdienst,nicht erfasst,2015-06-19 00:00:00,nicht erfasst
,,,,,,
165.0,nicht erfasst,Einzelperson,Aushöhlung des Asylrechts? No Way !,nicht erfasst,2015-06-29 00:00:00,nicht erfasst
166.0,nicht erfasst,verdi,Tarifverträge,nicht erfasst,2015-06-23 00:00:00,nicht erfasst
167.0,nicht erfasst,Critical Mass Erfurt,Radverkehrspolitische Tour,nicht erfasst,2015-07-02 00:00:00,nicht erfasst
168.0,nicht erfasst,Verdi Thüringen,Streikkundgebung Tarifrunde Post,nicht erfasst,2015-07-02 00:00:00,nicht erfasst
169.0,nicht erfasst,Kulturverein Mesopotamien,Menschenrechtslage in Syrien,nicht erfasst,2015-06-26 00:00:00,nicht erfasst
170.0,nicht erfasst,KPD,"Dona nobis pacem! ""Der Krieg ist kein Gesetz der Natur und der Frieden ist kein Geschenk",nicht erfasst,2015-09-01 00:00:00,nicht erfasst
171.0,nicht erfasst,Einzelperson,Rassistische Polizeikontrollen stoppen! Kontrolliert die Polizei,nicht erfasst,2015-07-02 00:00:00,nicht erfasst
172.0,nicht erfasst,Kulturverein Mesopotamien e.V.,Menschenrechtslage in Kobane Syrien,nicht erfasst,2015-06-30 00:00:00,nicht erfasst
173.0,nicht erfasst,DGB Bildungswerk Thüringen e.V.,Erfurt im Nationalsozialismus,nicht erfasst,06.07.2015 siehe Aktennotiz vom 06.07.2015,nicht erfasst
174.0,nicht erfasst,Ortsteilrat Bindersleben,Gedenken Bombenabwurf 1944,nicht erfasst,2015-07-18 00:00:00,nicht erfasst
175.0,nicht erfasst,Bernhard Schmidtmann BI Stadtbäume,"""Flashmob""",nicht erfasst,2015-07-01 00:00:00,nicht erfasst
176.0,nicht erfasst,Grüne Jugend Thüringen,Aktion zur Cannabislegalisierung,nicht erfasst,2015-08-22 00:00:00,nicht erfasst
177.0,nicht erfasst,Thüringer Folklore Ensemble Erfurt e.V.,Tanz verbindet Kulturen!,nicht erfasst,2015-07-11 00:00:00,nicht erfasst
178.0,nicht erfasst,,,nicht erfasst,,nicht erfasst
179.0,nicht erfasst,NPD Erfurt,Crystal Wegbolzen,nicht erfasst,2015-08-15 00:00:00,nicht erfasst
,,,,,Anmeldung zurückgezogen,
180.0,nicht erfasst,Einzelperson,Protestaktion aufgrund Anschlag auf kurdische Jugendliche,nicht erfasst,2015-07-20 00:00:00,nicht erfasst
181.0,nicht erfasst,Einzelperson,Flashmob Rettet das Dreibrunnenbad,nicht erfasst,2015-07-23 00:00:00,nicht erfasst
182.0,nicht erfasst,Run the Race e.V.,"Werte unserer Verfassung, wo sind sie geblieben ?",nicht erfasst,2015-08-15 00:00:00,nicht erfasst
183.0,nicht erfasst,Critical Mass Erfurt,"Wir behindern nicht den Verkehr, wir sind der Verkehr",nicht erfasst,2015-08-06 00:00:00,nicht erfasst
184.0,nicht erfasst,Run the Race e.V.,"Werte unserer Verfassung, wo sind sie geblieben ?",nicht erfasst,2015-08-17 00:00:00,nicht erfasst
185.0,nicht erfasst,Einzelperson,Stoppt Erdogans Krieg gegen Kurdistan!,nicht erfasst,2015-07-31 00:00:00,nicht erfasst
186.0,nicht erfasst,THÜGIDA,Verfehlte Asylpolitik Überfremdungsangst der Erfurter Bürger,nicht erfasst,2015-08-17 00:00:00,nicht erfasst
187.0,nicht erfasst,Einzeperson,"Gegen Faschismus, Rassismus, Fremdenfeindlichkeit, geistige Brandstiftung. Gegen THÜGIDA",nicht erfasst,2015-08-17 00:00:00,nicht erfasst
188.0,nicht erfasst,Marinekameradschaft Erfurt 1886/1992 e.V.,Kranzniederlegung,nicht erfasst,2015-11-21 00:00:00,nicht erfasst
189.0,nicht erfasst,DIE RECHTE Thüringen,Deutsche Politik für das eigene Volk statt Massenzuwanderung,nicht erfasst,2015-08-22 00:00:00,nicht erfasst
190.0,nicht erfasst,Erfurter Rollrunde e.V.,"Europäische Woche der Mobilität. Change, Choose and Combine (Wechsel, Wähle und Kombiniere)  ",nicht erfasst,2015-09-20 00:00:00,nicht erfasst
,,,,,,
191.0,nicht erfasst,Erfurter Rollrunde e.V.,Park(ing) Day,nicht erfasst,2015-09-19 00:00:00,nicht erfasst
,,,,,,
192.0,nicht erfasst,Critical Mass Erfurt,"""Critical Mass - Wir behindern nicht den Verkehr – Wir sind der Verkehr""",nicht erfasst,2015-09-03 00:00:00,nicht erfasst
,,,,,,
193.0,nicht erfasst,Piratenpartei Deutschland Landesverband Thüringen,"""After Demo"" Ausklang zur Freiheit statt Angst Demo",nicht erfasst,2015-09-12 00:00:00,nicht erfasst
,,,,,entfällt,
194.0,nicht erfasst,Bürgerallianz Thüringen ,"Mahnwache ""Abschaffung Straßenausbaubeiträge"" (Landtag)",nicht erfasst,2015-09-09 00:00:00,nicht erfasst
195.0,nicht erfasst,Thüringer Verband der Verfolgten des Naziregimes,Gedenkstunde mit Kranzniederlegung für die Opfer des Faschismus,nicht erfasst,13.09.2015 (Hauptfriedhof),nicht erfasst
196.0,nicht erfasst,Brennessel e.V.,Gedenken an die Opfer von Gewalt,nicht erfasst,25.11.2015 (Fischmarkt),nicht erfasst
197.0,nicht erfasst,Linksjugend (solid)-  Erfurt,"""Refugees Welcome""",nicht erfasst,07.09.2015 (Bahnhofsvorplatz),nicht erfasst
198.0,nicht erfasst,"Malteser Hilfsdienst e.V.,",Jahrestag Regenbogenwald – Gedenktag für gestorbene Kinder,nicht erfasst,2015-09-13 00:00:00,nicht erfasst
,nicht erfasst,Ambulanter Hospizdienst ,,,,
199.0,nicht erfasst,Siedlerverein Erfurt - Peterborn e.V.,Verlängerung der Härtefallregelung Abwasser,nicht erfasst,2015-09-16 00:00:00,nicht erfasst
200.0,nicht erfasst,AfD - Thüringen,Thüringen und Deutschland dienen – Asylchaos beenden!,nicht erfasst,2015-09-16 00:00:00,nicht erfasst
201.0,nicht erfasst,von Polizei unbekannter Aushang ,Von Polizei unbekannter Aushang,nicht erfasst,2015-09-10 00:00:00,nicht erfasst
202.0,nicht erfasst,Kulturverein Mesopotamien e.V. ,Menschenrechtslage in Südosten Türkei,nicht erfasst,2015-09-12 00:00:00,nicht erfasst
203.0,nicht erfasst,Offenes Jugendbüro RedRoxx Die Linke,"""Refugees Welcome - Soldarität mit Geflüchteten""",nicht erfasst,16.09.2015 (Marktstraße Ecke Allerheiligenstraße),nicht erfasst
204.0,nicht erfasst,Jusos in der SPD Erfurt,"Rechtspopulismus entlarven, Refugees welcome!",nicht erfasst,16.09.2015 (Lange Brücke Ecke Marstallstraße),nicht erfasst
205.0,nicht erfasst,Erfurt – Refugees Welcome! Starthilfe!,Hand in Hand für Toleranz,nicht erfasst,19.09.2015 (Domplatz/Obelisk),nicht erfasst
206.0,nicht erfasst,Ver.di Bezirk Thüringen,Arbeitszeit ist Lebenszeit – Information der Beschäftigten bei KNV,nicht erfasst,2015-09-22 00:00:00,nicht erfasst
207.0,nicht erfasst,VCD Ortsgruppe Erfurt,Ein roter Teppich für Fahrräder,nicht erfasst,2015-09-22 00:00:00,nicht erfasst
208.0,nicht erfasst,Einzelperson,Preis für die größte Gemeinheit an die organisierte Verantwortungslosigleit – gegen die Flüchtlingspolitik der EU,nicht erfasst,2015-10-02 00:00:00,nicht erfasst
209.0,nicht erfasst,Gemein für Deutschland,Masseneinwanderung von Wirtschaftsflüchtlingen stoppen gegen die Islamierung Europa,nicht erfasst,2015-10-10 00:00:00,nicht erfasst
,,,,,,
210.0,nicht erfasst,Linksjugend (solid) Thüringen,Für offene Grenze und humane Flüchtlingspolitik,nicht erfasst,2015-09-23 00:00:00,nicht erfasst
211.0,nicht erfasst,AfD Thüringen,Thüringen und Deutschland dienen – Asylchaos beenden,nicht erfasst,2015-09-23 00:00:00,nicht erfasst
212.0,nicht erfasst,Einzelperson,"Nazis morden, der Staat schiebt ab!",nicht erfasst,2015-09-23 00:00:00,nicht erfasst
213.0,nicht erfasst,Deutsche Kommunistische Partei(DKP),TTIP verhindern- Nein zum Freihandelsabkommen,nicht erfasst,2015-10-05 00:00:00,nicht erfasst
,,,,,,
214.0,nicht erfasst,Jusos in der SPD Erfurt,Rechtspopulismus ,nicht erfasst,2015-09-23 00:00:00,nicht erfasst
,,,"entlarven, Refugees welcome!",,,
215.0,nicht erfasst,Bündnis 90/ Die Grünen Kreisverband Erfurt,"""Erfurt ist bunt""",nicht erfasst,2015-09-23 00:00:00,nicht erfasst
216.0,nicht erfasst,Critical Mass Erfurt,Radverkehrspolitische ,nicht erfasst,2015-10-01 00:00:00,nicht erfasst
,,,Tour durch Erfurt,,,
,,,"""Wir behindern nicht den Verkehr, wir sind der Verkehr"" ",,,
217.0,nicht erfasst,Jugendwerk der AWD,Refugees Welcome,nicht erfasst,Ab 30.0.9.2015 jeden Mittwoch bis Ende des Jahres,nicht erfasst
,,,,,,
218.0,nicht erfasst,DGB Stadtverband Erfurt,Refugees Welcome,nicht erfasst,Ab 30.0.9.2015 jeden Mittwoch bis Ende des Jahres,nicht erfasst
,,,,,,
219.0,nicht erfasst,Naturfreundejugend Thüringen,Capture your City – Refugee Welcome,nicht erfasst,Ab 30.0.9.2015 jeden Mittwoch bis Ende des Jahres,nicht erfasst
,,,,,,
220.0,nicht erfasst,Naturfreundejugend Erfurt,Refugees Welcome,nicht erfasst,Ab 30.0.9.2015 jeden Mittwoch bis Ende des Jahres,nicht erfasst
,,,,,,
221.0,nicht erfasst,Jusos in der SPD,Refugees Welcome,nicht erfasst,Ab 30.0.9.2015 jeden Mittwoch bis Ende des Jahres,nicht erfasst
,,,,,,
222.0,nicht erfasst,Jusos in der SPD ,Refugges Welcome!,nicht erfasst,Ab 30.0.9.2015 jeden Mittwoch bis Ende des Jahres,nicht erfasst
,,,,,,
223.0,nicht erfasst,Jusos in der SPD ,Refugees Welcome,nicht erfasst,Ab 30.0.9.2015 jeden Mittwoch bis Ende des Jahres,nicht erfasst
,,,,,,
,,,,,,
224.0,nicht erfasst,Einzelperson,"Nazis morden, der Staat schiebt ab!",nicht erfasst,2015-09-30 00:00:00,nicht erfasst
225.0,nicht erfasst,AfD ,Thüringen und Deutschland dienen- Asylchaos beenden!,nicht erfasst,2015-09-30 00:00:00,nicht erfasst
,,,,,,
226.0,nicht erfasst,AfD ,Thüringen und Deutschland dienen- Asylchaos beenden!,nicht erfasst,2015-10-07 00:00:00,nicht erfasst
,,,,,,
227.0,nicht erfasst,AfD ,Thüringen und Deutschland dienen- Asylchaos beenden!,nicht erfasst,2015-10-14 00:00:00,nicht erfasst
,,,,,,
228.0,nicht erfasst,AfD ,Thüringen und Deutschland dienen- Asylchaos beenden!,nicht erfasst,2015-10-21 00:00:00,nicht erfasst
,,,,,,
229.0,nicht erfasst,AfD ,Thüringen und Deutschland dienen- Asylchaos beenden!,nicht erfasst,2015-10-28 00:00:00,nicht erfasst
,,,,,,
230.0,nicht erfasst,AfD ,Thüringen und Deutschland dienen- Asylchaos beenden!,nicht erfasst,2015-11-04 00:00:00,nicht erfasst
,,,,,,
231.0,nicht erfasst,AfD ,Thüringen und Deutschland dienen- Asylchaos beenden!,nicht erfasst,2015-11-11 00:00:00,nicht erfasst
,,,,,,
232.0,nicht erfasst,AfD ,Thüringen und Deutschland dienen- Asylchaos beenden!,nicht erfasst,2015-11-18 00:00:00,nicht erfasst
,,,,,,
233.0,nicht erfasst,AfD ,Thüringen und Deutschland dienen- Asylchaos beenden!,nicht erfasst,2015-11-25 00:00:00,nicht erfasst
,,,,,,
234.0,nicht erfasst,AfD ,Thüringen und Deutschland dienen- Asylchaos beenden!,nicht erfasst,2015-12-02 00:00:00,nicht erfasst
,,,,,,
235.0,nicht erfasst,AfD ,Thüringen und Deutschland dienen- Asylchaos beenden!,nicht erfasst,2015-12-09 00:00:00,nicht erfasst
,,,,,,
236.0,nicht erfasst,Junge Alternative Thüringen,Asylchaos beenden!,nicht erfasst,2015-10-14 00:00:00,nicht erfasst
,,,ABGESAGT,,,
237.0,nicht erfasst,Junge Alternative Thüringen,Asylchaos beenden!,nicht erfasst,2015-10-21 00:00:00,nicht erfasst
,,,ABGESAGT,,,
238.0,nicht erfasst,Junge Alternative Thüringen,Asylchaos beenden!,nicht erfasst,2015-10-28 00:00:00,nicht erfasst
,,,ABGESAGT,,,
239.0,nicht erfasst,Junge Alternative Thüringen,Asylchaos beenden!,nicht erfasst,2015-11-04 00:00:00,nicht erfasst
,,,ABGESAGT,,,
240.0,nicht erfasst,Junge Alternative Thüringen,Asylchaos beenden!,nicht erfasst,2015-11-11 00:00:00,nicht erfasst
,,,ABGESAGT,,,
241.0,nicht erfasst,Junge Alternative Thüringen,Asylchaos beenden!,nicht erfasst,2015-11-18 00:00:00,nicht erfasst
,,,ABGESAGT,,,
242.0,nicht erfasst,Grüne Jugend Erfurt,Refugees Welcome,nicht erfasst,30.0.9.2015,nicht erfasst
243.0,nicht erfasst,SJR Erfurt,Refugees Welcome,nicht erfasst,2015-09-30 00:00:00,nicht erfasst
244.0,nicht erfasst,Linksjugend [´solid]/SDS Erfurt ,Gegen die Herbstoffensive der AfD ,nicht erfasst,2015-09-30 00:00:00,nicht erfasst
245.0,nicht erfasst,Einzelperson,Wir wollen politischen Asyl,nicht erfasst,2015-10-02 00:00:00,nicht erfasst
246.0,nicht erfasst,AfD Thüringen,Thüringen und Deutschland dienen – Asylchaos beenden!,nicht erfasst,2015-10-07 00:00:00,nicht erfasst
247.0,nicht erfasst,Linksjugend Erfurt,Auf die Plätze fertig: Mittwoch!,nicht erfasst,2015-10-07 00:00:00,nicht erfasst
248.0,nicht erfasst,THÜGIDA,Überfremdung der Heimat,nicht erfasst,2015-10-26 00:00:00,nicht erfasst
,,,,,,
249.0,nicht erfasst,Grüne Jugend Erfurt,Noch offen,nicht erfasst,2015-10-07 00:00:00,nicht erfasst
,,,,,,
250.0,nicht erfasst,Martin Niemöller Stiftung e.V. / Förderkreis Erinnerungsort Topf & Söhne e.V.,"""Die Würde des Menschen ist und bleibt unantastbar"" ",nicht erfasst,2015-10-07 00:00:00,nicht erfasst
251.0,nicht erfasst,Einzelperson,Asylrechtsverschärfung stoppen,nicht erfasst,2015-10-13 00:00:00,nicht erfasst
252.0,nicht erfasst,AIDS-Hilfe Thüringen e.V. ,Namen und Steine,nicht erfasst,2015-11-04 00:00:00,nicht erfasst
253.0,nicht erfasst,"""Erfurt lacht…""","""Erfurt ist und bleibt bunt""",nicht erfasst,2015-10-14 00:00:00,nicht erfasst
,,,ABGESAGT,,,
254.0,nicht erfasst,"""Das Haus der Solidarität""","Kundgebung des ""Hauses der Solidarität""",nicht erfasst,2015-10-24 00:00:00,nicht erfasst
,,,,,,
255.0,nicht erfasst,"Bündnis ""Auf die Plätze fertig: Mittwoch!""",""" Für ein bedingungsloses Bleiberecht""",nicht erfasst,2015-10-14 00:00:00,nicht erfasst
,,,,,,
256.0,nicht erfasst,"Bündnis ""Auf die Plätze fertig: Mittwoch!""",""" Für ein bedingungsloses Bleiberecht""",nicht erfasst,2015-10-21 00:00:00,nicht erfasst
,,,,,,
257.0,nicht erfasst,Martin-Niemöller-Stiftung,"""Mitmenschlich in Thüringen: Für eine politische Kultur des Gesichtzeigens für die Unantastbarkeit der Menschenwürde und des Neinsagens gegen jede Form gruppenbezogener Menschenfeindlichkeit""",nicht erfasst,2015-10-21 00:00:00,nicht erfasst
,,,,,,
258.0,nicht erfasst,Einzelperson,"Friedliche Mahnwache für Toleranz, Mitgefühl und Frieden",nicht erfasst,2015-10-21 00:00:00,nicht erfasst
259.0,nicht erfasst,DGB Bezirk Hessen-Thüringen-Bündnis Mitmenschlich in Thüringen,"Mitmenschlich in Thüringen – Bündnis für ein Thüringen der Demokratie, Vielfalt und Mitmenschlichkeit",nicht erfasst,2015-11-09 00:00:00,nicht erfasst
260.0,nicht erfasst,Einzelperson,Sign – ein Menschenversuch zu Toleranz – Religionen verbinden,nicht erfasst,2015-10-23 00:00:00,nicht erfasst
261.0,nicht erfasst,Animal Rights Watch e. V.,Nein zum Pelzhandel in Erfurt,nicht erfasst,2015-11-14 00:00:00,nicht erfasst
262.0,nicht erfasst,Ortsteilbürgermeister Melchendorf,Für eine aktive Willkommenskultur für Flüchtlinge in Melchendorf,nicht erfasst,2015-10-26 00:00:00,nicht erfasst
263.0,nicht erfasst,Einzelperson,"Auf die Plätze, Fertig: Mittwoch! Für ein bedingungsloses Bleiberecht",nicht erfasst,2015-10-28 00:00:00,nicht erfasst
,,,,,,
264.0,nicht erfasst,Einzelperson,"""Mitmenschlich in Thüringen: Für eine politische Kultur des Gesichtzeigens für die Unantastbarkeit der Menschenwürde und des Neinsagens gegen jede Form gruppenbezogener Menschenfeindlichkeit""",nicht erfasst,2015-10-28 00:00:00,nicht erfasst
265.0,nicht erfasst,Kulturverein Mesopotamien e.V.,Solidarität mit Kobane,nicht erfasst,2015-11-01 00:00:00,nicht erfasst
,,,,,,
266.0,nicht erfasst,Arbeitsgemeinschaft Kirche und Judentum in Thüringen,"Künstlerische Aktion zum Verhältnis "" Luther und die Juden""",nicht erfasst,2015-11-10 00:00:00,nicht erfasst
,nicht erfasst,,,,,
267.0,nicht erfasst,Einzelperson,"Auf die Plätze, Fertig: Mittwoch! Für ein bedingungsloses Bleiberecht",nicht erfasst,2015-11-04 00:00:00,nicht erfasst
268.0,nicht erfasst,"Ver.di, Landesbezirksfachbereich 9, Sachsen, Sachsen-Anhalt, Thüringen",Kundgebung zum Auftakt der Tarifrunde2016 bei IBM in Form einer aktiven Mittagspause ,nicht erfasst,2015-11-03 00:00:00,nicht erfasst
269.0,nicht erfasst,"Bund für Umwelt- und Naturschutz Deutschland, Landesverband Thüringen",Klimaschutz ,nicht erfasst,2015-12-10 00:00:00,nicht erfasst
,,,(Fotoaktion 15-20 Teilnehmer),,,
270.0,nicht erfasst,Martin Niemöller Stiftung e.V. / Förderkreis Erinnerungsort Topf & Söhne e.V.,"""Mitmenschlich in Thüringen: Für eine politische Kultur des Gesichtzeigens für die Unantastbarkeit der Menschenwürde""",nicht erfasst,2015-11-04 00:00:00,nicht erfasst
271.0,nicht erfasst,"Bündnis ""Auf die Plätze fertig: Mittwoch: Für ein bedingungsloses Bleiberecht""",Auf die Plätze fertig: Mittwoch: Für ein bedingungsloses Bleiberecht,nicht erfasst,2015-11-11 00:00:00,nicht erfasst
272.0,nicht erfasst,Arbeitsgemeinschaft bäuerliche Landwirtschaft Mitteldeutschland,Anregung der Synodalen zur kritischen Hinterfragung der Kriterien zur Verpachtung von Kirchenland,nicht erfasst,2015-11-19 00:00:00,nicht erfasst
273.0,nicht erfasst,Kulturverein Mesopotamien e.V.,Menschenrechtslage in Silvan (Türkei),nicht erfasst,2015-11-14 00:00:00,nicht erfasst
