"Lfd.
Nr.",PE,Versammlungsmelder,Thema,Ort d. Versammlung / Aufzugsstrecke,"Datum der
Versammlung",Uhrzeit der Versammlung,Jahr,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Datum
207.0,2021-06-23,Einzelperson,In solidarity we trust - Für einen konsequenten Antifaschismus,"Hirschgarten, Regierungsstraße (Auftaktkundgebung) --> Regierungsstraße --> Lange Brücke -->  Kettenstraße --> Domplatz, vor Landgericht (Zwischenkundgebung)--> Marktstraße --> Fischmarkt --> Schlösserstraße --> Angerdreieck (Zwischenkundgebung) --> Bahnhofstraße --> Willy-Brandt-Platz (Zwischenkundgebung) --> Bahnhofsunterführung --> Schillerstraße --> Kaffeetrichter (Zwischenkundgebung) --> Löberstraße --> Juri-Gagarin-Ring --> Karl-Marx-Platz --> Neuwerkstraße --> Hirschgarten, i.H. Neuwerkstraße (Abschlusskundgebung)",2021-07-17 00:00:00,13:30 - 18:00 Uhr,21.0,,,,,,,,,,21.0
208.0,2021-06-23,Wohnopia e.V.,Mietenpolitik - bezahlbares Wohnen in Erfurt - Mehr Hausprojekte für Erfurt,Talstraße 15 / 16,2021-07-18 00:00:00,10:00 - 19:00 Uhr,21.0,,,,,,,,,,21.0
209.0,2021-06-15,Einzelperson,Klima - Mahnwache,Fischmarkt,27.06.-28.06.21,17:00 - 17:15 Uhr,21.0,,,,,,,,,,21.0
210.0,2021-06-25,Seebrücke Erfurt,Klage jetzt! Landesaufnahmeprogramm durchsetzen!,"Jürgen-Fuchs-Straße 1, 99096 Erfurt",2021-07-08 00:00:00,14:00 - 17:30 Uhr,21.0,,,,,,,,,,21.0
211.0,2021-06-27,Einzelperson,Klima - Mahnwache,Fischmarkt,29.06. - 15.07.2021,17.00 - 17.15 Uhr,21.0,,,,,,,,,,21.0
212.0,2021-06-28,Sozialdemokratische Partei Deutschland,Wahlkampfveranstaltung der SPD Thüringen mit Olaf Scholz,Moskauer Straße 83a,2021-07-07 00:00:00,15:00 - 20:00 Uhr,21.0,,,,,,,,,,21.0
213.0,2021-06-29,Bündnis 90 / Die Grünen,Deutschlandtour,Domplatz,2021-09-14 00:00:00,09:00 - 21:00 Uhr,21.0,,,,,,,,,,21.0
214.0,2018-02-15,Einzelperson,Ein christliches Zeichen setzen - Mahnwache,St. Christophorus-Straße ,"05.07., 12.07., 19.07., 26.07.2021",19.00 - 20.30 Uhr,21.0,,,,,,,,,,21.0
215.0,2021-07-04,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2021-07-17 00:00:00,15:00 - 18:00 Uhr,21.0,,,,,,,,,,21.0
216.0,2021-07-04,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2021-08-28 00:00:00,15:00 - 18:00 Uhr,21.0,,,,,,,,,,21.0
217.0,2021-07-04,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2021-09-04 00:00:00,13:00 - 18:00 Uhr,21.0,,,,,,,,,,21.0
218.0,2021-07-04,MLPD Thüringen und das Internationalistische Bündnis,"Wahlkampfauftakt der Internationalistischen Liste / MLPD für den Landtags- und Bundestagswahlkampf und Protestkundgebung gegen die Einstufung von Stefan Engel als ""Gefährder""",Anger (Auftaktkundgebnung von 16:00 - 17:00 Uhr) --> Bahnhofstraße --> Schillerstraße --> Löberstraße --> Eichenstraße --> Regierungsstraße --> Staatskanzlei (Abschlusskundgebung von ca. 17:40 - 18:30 Uhr),2021-08-03 00:00:00,16:00 - 18:30 Uhr,21.0,,,,,,,,,,21.0
219.0,2021-07-02,Bündnis 90 / Die Grünen,Lass uns reden mit Katrin Dagmar Göring-Eckardt MdB,Hirschgarten,2021-07-15 00:00:00,17:30 - 20:30 Uhr,21.0,,,,,,,,,,21.0
220.0,2021-06-23,AfD Thüringen,Bundes- und Landtagswahl 2021,Angerdreieck,2021-08-14 00:00:00,12.00 - 18.00 Uhr,21.0,,,,,,,,,,21.0
221.0,2021-06-23,AfD Thüringen ABGESAGT !!,Bundes- und Landtagswahl 2021,Platz der Völkerfreundschaft,2021-09-18 00:00:00,12.00 - 18.00 Uhr,21.0,,,,,,,,,,21.0
222.0,2021-09-23,AfD Thüringen,Bundes- und Landtagswahl 2021,Angerdreieck,2021-09-23 00:00:00,12.00 - 18.00 Uhr,21.0,,,,,,,,,,21.0
223.0,2021-07-02,Bündnis 90 / Die Grünen,Wahlkampftour Bundestagswahl 2021,Domplatz,2021-09-14 00:00:00,09.00 - 21.00 Uhr,21.0,,,,,,,,,,21.0
224.0,2021-07-06,AfD Fraktion Thüringen,Gedenken an den 13. August 1961,Anger,2021-08-13 00:00:00,10:00 - 15:00 Uhr,21.0,,,,,,,,,,21.0
225.0,2021-07-08,Students For Future Germany,Ohne Kerosin nach Berlin Südwesttour,,30.08.2021 + 31.08.2021,,21.0,,,,,,,,,,21.0
226.0,2021-07-08,Einzelperson,Haltet Euer Versprechen! - Für eine glaubhafte Schulpolitik in Erfurt,Freifläche vor Thüringenhalle,2021-07-14 00:00:00,16:00 - 17:30 Uhr,21.0,,,,,,,,,,21.0
227.0,2021-07-07,Bündnis Solidarisches Thüringen ABGESAGT !!,Neuwahlen jetzt!,"Jürgen-Fuchs-Straße 1, 99096 Erfurt",2021-07-19 00:00:00,09.00 - 16.00 Uhr,21.0,,,,,,,,,,21.0
228.0,2021-07-07,DGB Thüringen,die Realität der Saisonbeschäftigten in der Thüringer Landwirtschaft,Neuwerkstraße / Hirschlachufer,2021-07-15 00:00:00,14.00 - 17.30 Uhr,21.0,,,,,,,,,,21.0
229.0,2021-07-09,Klimacamp Erfurt,Klimaprotestcamp - Bürgerbeteiligung beim Klimaschutzkonzept ernst nehmen. Damit Erfurt nicht weiter bei Klimafragen schläft!,Fischmarkt,30.07. - 01.10.2021,ganztätig,21.0,,,,,,,,,,21.0
230.0,2021-07-13,Neue Stärke ,Erfurt bleibt Deutsch - Unsere Stadt hat Kommunisten satt!,Schillerstraße,2021-07-17 00:00:00,14.00 - 15.30 Uhr,21.0,,,,,,,,,,21.0
231.0,2021-07-13,Neue Stärke,Erfurt bleibt Deutsch - Unsere Stadt hat Kommunisten satt!,Pilse,2021-07-17 00:00:00,16.00 - 17.30 Uhr,21.0,,,,,,,,,,21.0
232.0,2021-07-14,Einzelperson,Klima - Mahnwache,Fischmarkt,16.07. - 29.07.2021,17.00 - 17.15 Uhr,21.0,,,,,,,,,,21.0
233.0,2021-07-15,Ahmadiyya Muslim Jamaat KdöR,Muslime gegen Rassismus / Liebe für Alle Hass für Keinen,vor Anger 1 ,2021-07-17 00:00:00,14.00 - 18.00 Uhr,21.0,,,,,,,,,,21.0
234.0,2021-07-16,ver.di Thüringen,Ohne uns kein Geschäft - Für bessere Tarife im Einzel- und Versandhandel,Aufzug Innenstadt,2021-07-22 00:00:00,10.00 - 12.30 Uhr,21.0,,,,,,,,,,21.0
235.0,2021-07-15,Bündnis für Klimagerechtigkeit Erfurt,Globaler Klimastreiktag,Domplatz,2021-09-24 00:00:00,12.00 - 16.00 Uhr,21.0,,,,,,,,,,21.0
236.0,2021-07-15,Jesidische Gemeinschaft e.V. in Thüringen,Yesidischer Gedenktag,Angerdreieck,2021-08-03 00:00:00,13.00 - 18.00 Uhr,21.0,,,,,,,,,,21.0
237.0,2021-07-15,Einzelperson,Protest gegen die Radikalischen islamischen Bewegungen vom Iran,Anger,2021-08-03 00:00:00,18.00 - 19.00 Uhr,21.0,,,,,,,,,,21.0
238.0,2021-07-22,Coronainfo Tour,Coronainfo,Domplatz,2021-07-25 00:00:00,11.00 - 13.00 Uhr,21.0,,,,,,,,,,21.0
239.0,2021-07-23,Critical Mass Erfurt,Wir behindern nicht den Verkehr -wir sind der Verkehr,"Willy-Brandt-PLatz Thälmannstraße, Krämpferstraße, WEnigemarkt Barfüßerstraße Lutherstraße Magdeburger Allee Juri-Gagarin-Ring Heinrichstraße Blumenstraße Moritzstraße Ende Fischmarkt oder Domplatz",2021-07-30 00:00:00,18:30-21:00,21.0,,,,,,,,,,21.0
240.0,2021-07-21,Volt Deutschland - Landesverband Thüringen,Endlich neue Politik,"ANger-->Wenigemarkt--Domplatz-->über ""Lange Brücke""--> Staatskanzlei-->Anger ",2021-07-31 00:00:00,17:00 - 17:45 Uhr,21.0,,,,,,,,,,21.0
241.0,2018-02-15,Einzelperson,Ein christliches Zeichen setzen - Mahnwache,St. Christophorus-Straße ,"02.08., 09.08., 16.08., 23.08., 30.08.2021",19:00 - 20:30 Uhr,21.0,,,,,,,,,,21.0
242.0,2021-07-29,Einzelperson,Klima - Mahnwache,Fischmarkt,30.07.2021 - 01.08.2021,17:00 - 17:15 Uhr,21.0,,,,,,,,,,21.0
243.0,2021-07-30,Ahmadiyya Muslim Jamaat KdöR,"Liebe für Alle, Hass für Keinen/Muslime gegen Rassismus",Schlösserbrücke Erfurt,2021-07-31 00:00:00,12:30-17:30,21.0,,,,,,,,,,21.0
244.0,2021-07-30,Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,Rathausbrücke,2021-08-14 00:00:00,14:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
245.0,2021-07-28,Students For Future Germany,Ohne Kerosin nach Berlin Südtour,,27.08.2021 + 29.08.2021,,21.0,,,,,,,,,,21.0
246.0,2021-08-04,Deutscher Falum Dafa Verein,Falum Dafa und die Verfolgung durch die kommunistische Partei Chinas,vor Anger 1 ,2021-08-21 00:00:00,11:00 - 18:30 Uhr,21.0,,,,,,,,,,21.0
247.0,2021-08-06,Einzelperson,Klima - Mahnwache,Fischmarkt,07.08.2021 - 31.08.2021,17:00 - 17:15 Uhr,21.0,,,,,,,,,,21.0
248.0,2021-08-06,Menschliche Welt,Für die Menschlichkeit,Domplatz am Obelisk,17.08.2021-25.09.2021,16:00-17:30,21.0,,,,,,,,,,21.0
249.0,2021-08-06,Einzelperson,"Vor Gericht stehen zwei, gemeint sind wir alle! - Solidarität mit den Betroffenen von Repressionen.""",Amtsgericht ERfurt Rudolfstraße 46,2021-08-24 00:00:00,7:30-15:00 ,21.0,,,,,,,,,,21.0
250.0,2021-08-06,Fridays for Future Erfurt,Wer hat der gibt- Reichtum konsequent besteuern,"Willy-Brandt-Platz, Bahnhofstraße, Angerdreieck(ZW) Schlösserstraße, Fischmarkt (ZW) Marktstraße, Domstraße Mainzerhofstraße Theaterplatz, Ecke Theaterplatz/Maximilian Welsch-Straße (ZW) Maximiliean-Welsch-Straße Lauentor, Domplatz Andreasstraße Nordhäuser Straße Fußweg und Fläche neben der Zufahrt zum Helios Notfallzentrum (Abschlußkundgebung) ",2021-08-21 00:00:00,13:30- 17:30,21.0,,,,,,,,,,21.0
251.0,2021-08-07,Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,"Weltfriedenstag und 17-Jähriges der Donnerstagsdemo , ",Angerdreieck,"02.09.2021,  ",17:00-18:00 ,21.0,,,,,,,,,,21.0
252.0,2021-08-07,Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,Corona Krisenmanagement,Angerdreick,2021-09-30 00:00:00,17:00 - 18:00,21.0,,,,,,,,,,21.0
253.0,2021-08-07,Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,Der Mietpreis-Wahnsinn und seine Ursachen,Angerdreieck,2021-10-22 00:00:00,17:00-18:00,21.0,,,,,,,,,,21.0
254.0,2021-08-07,Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,Gedenken an die Reichsprogromnacht,Angerdreieck,2021-11-11 00:00:00,17:00 -18:00 ,21.0,,,,,,,,,,21.0
255.0,2021-08-05,dieBasis LV Thüringen,Wahlkampfkundgebung,Domplatz,2021-09-04 00:00:00,14:00 - 17:00 ,21.0,,,,,,,,,,21.0
256.0,2021-08-11,GDL,GDL Streik,Willy-Brandt-Platz,2021-08-12 00:00:00,11.00 - 12.00 Uhr,21.0,,,,,,,,,,21.0
257.0,2021-08-16,Migranten Omid Verein (MOVE) e.V.,Evakuierung aller Gefährdeten aus Afghanistan jetzt!,"vor Thüringer Staatskanzlei, Regierungsstraße 73",2021-08-18 00:00:00,16.30 - 18.30 Uhr,21.0,,,,,,,,,,21.0
258.0,2021-08-13,Thüringer Verband der verfolgten des Naziregimes / Bund der Antifaschisten e.V.,Erinnern - Mahnen - Gedenken,"Hauptfriedhof, Denkmal Opfer des Faschismus",2021-09-12 00:00:00,10.00 - 11.00 Uhr,21.0,,,,,,,,,,21.0
259.0,2021-08-20,Critical Mass Erfurt,Fahrraddemo: Wir behindern nicht Verkehr - wir sind Verkehr,Willy-Brandt-Platz --> Bahnhofstunnel (zu Fuß) --> Schillerstraße --> Spielbergtor --> Weimarische Straße --> Azmannsdorfer Weg --> Geschwister-Scholl-Straße --> Am Alten Nordhäuser Bahnhof --> Leipziger Straße --> Greifswalder Straße --> Eugen-Richter-Straße --> Dieselstraße --> Paul-Schäfer-Straße --> Stotternheimer Straße --> Am Roten Berg --> Straße der Nationen --> Mittelhäuser Straße -->  Kreisverkehr (2 mal) --> Ilversgehofener Platz --> Magdeburger Allee --> Johannesstraße --> Juri-Gagarin Ring --> Krämpferstraße --> Johannesstraße --> Futterstraße --> Wenigemarkt --> Rathausbrücke --> Benediktsplatz --> Fischmarkt,2021-08-27 00:00:00,18:30 - 20:45 Uhr,21.0,,,,,,,,,,21.0
260.0,2021-08-20,GDL,GDL Streik,Willy-Brandt-Platz,2021-08-23 00:00:00,11:00 - 12:00 Uhr,21.0,,,,,,,,,,21.0
261.0,2021-08-20,GDL,GDL Streik,Willy-Brandt-Platz,2021-08-24 00:00:00,11:00 - 12:00 Uhr,21.0,,,,,,,,,,21.0
262.0,2021-08-19,pro familia Landesverband Thüringen e.V.,Aktionstag International Safe Abortion Day - glob. Aktionstag für freie und legale Schwangerschaftsabbrüche,Angerdreieck,2021-09-28 00:00:00,11:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
263.0,2021-08-23,CDU Erfurt,Wahlkampfauftritt des Spitzenkandidaten der CDU Deuschland Armin Laschet MdL,Angerdreieck,2021-09-03 00:00:00,14.00 - 22.00 Uhr,21.0,,,,,,,,,,21.0
264.0,2021-08-23,Landesarbeitsgemeinschaft Frieden und Internationale Politik / DIE LINKE Thüringen,Friedenstour 2021 - Thüringen entrüstet - Jetzt!,vor Anger 1 ,2021-09-03 00:00:00,10.00 - 13.00 Uhr,21.0,,,,,,,,,,21.0
265.0,2021-08-26,Einzelperson,"Aktion Wohnen - ""Gutes Wohnen überall""","Hirschgarten, Neuwerkstraße ggü. der Baumreihe am Hirschlachufer",2021-09-02 00:00:00,17.00 - 19.00 Uhr,21.0,,,,,,,,,,21.0
266.0,2021-08-26,SPD Kreisverband Erfurt,Gedenkveranstaltung anlässlich des 100. Todestages von Paul Reißhaus,"Hauptfriedhof, Grabfeld 5 am Grabmal von Paul Reißhaus",2021-09-05 00:00:00,10.00 - 10.30 Uhr,21.0,,,,,,,,,,21.0
267.0,2021-08-27,MdB,Abschlussveranstaltung Bundestagswahl,Freifläche Ecke Neuwerkstraße / Hirschlachufer,2021-09-25 00:00:00,09.00 - 16.00 Uhr,21.0,,,,,,,,,,21.0
268.0,2021-08-30,AIDS-Hilfe Thüringen e.V.,Gedenkveranstaltung,Domplatz,2021-11-04 00:00:00,16.00 - 18.00 Uhr,21.0,,,,,,,,,,21.0
269.0,2021-08-31,Auf die Plätze Bündnis Erfurt,Keinen Millimeter den Faschist:innen,Anger,2021-09-23 00:00:00,13.00 - 19.00 Uhr,21.0,,,,,,,,,,21.0
270.0,2021-08-31,GDL,GDL Streik,Willy-Brandt-Platz,2021-09-02 00:00:00,11:00 - 12:00 Uhr,21.0,,,,,,,,,,21.0
271.0,2021-08-31,GDL,GDL Streik,Willy-Brandt-Platz,2021-09-03 00:00:00,11:00 - 12:00 Uhr,21.0,,,,,,,,,,21.0
272.0,2021-08-31,GDL,GDL Streik,Willy-Brandt-Platz,2021-09-06 00:00:00,11:00 - 12:00 Uhr,21.0,,,,,,,,,,21.0
273.0,2021-08-31,Einzelperson,"Impfung gegen Corona, vor allem bei Kindern",Gehweg Gothaer Straße zwischen EGA und MDR Gebäude,2021-09-03 00:00:00,15.00 - 16.00 Uhr,21.0,,,,,,,,,,21.0
274.0,2021-09-01,Einzelperson,Klima - Mahnwache,Fischmarkt,01.09.2021 - 30.09.2021,17:00 - 17:15 Uhr,21.0,,,,,,,,,,21.0
275.0,2018-02-15,Einzelperson,Ein christliches Zeichen setzen - Mahnwache,St. Christophorus-Straße ,"06.09.2021, 13.09.2021, 20.09.2021, 27.09.2021",19:00 - 20:30 Uhr,21.0,,,,,,,,,,21.0
276.0,2021-09-01,ADFC Kreisverband Erfurt,Transport der Klimabänder von Erfurt nach Jena,Radhaus --> Krämpfervorstadt --> Vieselbach --> Wallichen,2021-09-03 00:00:00,14:00 - 14:15 Uhr,21.0,,,,,,,,,,21.0
277.0,2021-09-01,Frauenzentrum Brennessel e.V.,Für mehr Personal und mehr finanzielle Mittel für Kitas in Thüringen,"vor dem Thüringer Landtag, Jürgen-Fuchs-Straße 1",2021-09-09 00:00:00,16.30 - 19.00 Uhr,21.0,,,,,,,,,,21.0
278.0,2021-08-31,DIE LINKE Stadtverband Erfurt,Wahlkampfevent,Am Platz vor dem Lutherdenkmal an der Berliner Brücke an der Karlsstraße,2021-09-03 00:00:00,15.00 - 20.00 Uhr,21.0,,,,,,,,,,21.0
279.0,2021-09-02,Volt Thüringen,"Deutschland, mach Mal neue Politik",Angerdreieck --> Schlösserstraße --> Predigerstraße --> Meister-Eckehart-Straße --> Regierungsstraße --> Eichenstraße (in Höhe Regierungsstraße 65) --> Neuwerkstraße --> Anger --> Angerdreieck,2021-09-07 00:00:00,14:00 - 18:00 Uhr,21.0,,,,,,,,,,21.0
280.0,2021-09-02,Grüne Jugend Erfurt,Bemalen von Stoffbeuteln,Fischmarkt,2021-09-05 00:00:00,15:00 - 19:00 Uhr,21.0,,,,,,,,,,21.0
281.0,2021-09-02,Bündnis 90 / Die Grünen,Bundesweiter Aktionstag Tierschutz zur Bundestagswahl,Fischmarkt,2021-09-11 00:00:00,10.00 - 11.30 Uhr,21.0,,,,,,,,,,21.0
282.0,2021-09-05,Wählerinitiative des Direktkandidaten Tassilo Timm,Wahlkampf der internationalistischen Liste / MLPD,Ilversgehofener Platz --> Magdeburger Allee --> Ammertalweg --> Maximilian-Kolbe-Straße --> Lilo-Hermann-Straße --> Wendenstraße,2021-09-08 00:00:00,15:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
283.0,2021-08-24,International Justice Mission Deutschland e.V.,Menschenhandel und moderne Sklaverei,Anger,2021-10-16 00:00:00,10.00 - 17.00 Uhr,21.0,,,,,,,,,,21.0
284.0,2021-09-06,Einzelperson,"Impfung gegen Corona, vor allem bei Kindern",Gothaer Straße ggü. MDR Gebäude,2021-09-10 00:00:00,15.00 - 16.00 Uhr,21.0,,,,,,,,,,21.0
285.0,2021-09-08,Einzelperson,Politische Situation in Afghanistan (Taliban),Angerdreieck,2021-09-11 00:00:00,15.00 - 17.00 Uhr,21.0,,,,,,,,,,21.0
286.0,2021-09-07,Eisenbahn- und Verkehrsgewerkschaft EVG,Klimagerechtigkeit,Willy-Brandt-Platz,2021-09-24 00:00:00,13.00 - 16.00 Uhr,21.0,,,,,,,,,,21.0
287.0,2021-09-10,VCD Erfurt,"Parking Day ""12qm Kultur""",Parkplätze Andreasstraße 32-37,2021-09-17 00:00:00,16.00 - 19.00 Uhr,21.0,,,,,,,,,,21.0
288.0,2021-09-09,MigraNetz Thüringen,Symbolische Wahlen - Wahlrecht für alle,Angerdreieck,2021-09-26 00:00:00,13.00 - 18.00 Uhr,21.0,,,,,,,,,,21.0
289.0,2021-09-11,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Fischmarkt,2021-09-18 00:00:00,15.00 - 18.00 Uhr,21.0,,,,,,,,,,21.0
290.0,2021-09-12,FDP Landesverband Thüringen,Bundestagswahl 2021,Anger (vor Lutherdenkmal),2021-09-24 00:00:00,15.00 - 19.00 Uhr,21.0,,,,,,,,,,21.0
291.0,2021-09-13,Kidical Mass Erfurt,Die KIDICAL MASS setzt sich für kinderfreundliche und lebenswerte Städte ein.,Aufzug Juri-Gagarin-Ring --> Innenstadt --> Juri-Gagarin-Ring,2021-09-19 00:00:00,15.00 - 17.00 Uhr,21.0,,,,,,,,,,21.0
292.0,2021-09-13,Einzelperson,"Impfung gegen Corona, vor allem bei Kindern",Gothaer Straße ggü. MDR Gebäude,2021-09-17 00:00:00,15.00 - 16.00 Uhr,21.0,,,,,,,,,,21.0
293.0,2021-09-15,Grüne Jugend Erfurt,"Aktion Venedig - ""eine bessere Welt ist möglich""",Klein Venedig ggü. der Fußgängerbrücke,2021-09-17 00:00:00,17.00 - 20.00 Uhr,21.0,,,,,,,,,,21.0
294.0,2021-09-15,Bündnis 90 / Die Grünen ABGESAGT !!,Bundestagswahl 2021,Hirschgarten (Fläche vor der Staatskanzlei),2021-09-25 00:00:00,11.00 - 15.00 Uhr,21.0,,,,,,,,,,21.0
295.0,2021-09-17,Linksjugend [´solid] Ortsgruppe Erfurt,Kein Fest für Faschist*innen!,Ecke Pilse / Schlösserstraße (beim Brunnen),2021-09-23 00:00:00,14.00 - 18.45 Uhr,21.0,,,,,,,,,,21.0
296.0,2021-09-16,Grüne Jugend Erfurt ABGESAGT !!,"Aktion Demokratie - ""Demokratie stärken - jetzt""",Am Alten Angerbrunnen,2021-09-23 00:00:00,14.30 - 18.00 Uhr,21.0,,,,,,,,,,21.0
297.0,2021-09-16,Alternative Kultur Nürnberg e.V. ABGESAGT !!,"Finger weg von unseren Freiräumen, Räumungsklage gegen Projekt 31 bzw. Alternative Kultur Nürnberg e.V.",Löwengasse 4 / Kreuzung Trommsdorffstraße ,2021-09-25 00:00:00,14.00  - 17.00 Uhr,21.0,,,,,,,,,,21.0
298.0,2021-09-19,Critical Mass Erfurt,"Aufmerksamkeit schaffen, für Verbesserung der Radverkehrsbedingungen in und um Erfurt",Aufzug Willy-Brandt-Platz --> Stadtgebiet --> Fischmarkt,2021-09-24 00:00:00,18.30 - 20.00 Uhr,21.0,,,,,,,,,,21.0
299.0,2021-09-16,Thüringer Ökoherz e.V.,Lebensmittelverschwendung stoppen,Fischmarkt,2021-09-29 00:00:00,12.00 - 16.00 Uhr,21.0,,,,,,,,,,21.0
300.0,2021-09-21,Bundesverband Deutscher Milchviehhalter (BDM) e.V.,Unsere Milch - unser Markt - unsere Zukunft,Leipziger Straße 100,2021-09-22 00:00:00,11.00 - 14.00 Uhr,21.0,,,,,,,,,,21.0
301.0,2021-09-21,Einzelperson,"Impfung gegen Corona, vor allem bei Kindern",Gothaer Straße ggü. MDR Gebäude,"24.09.2021
01.10.2021
08.10.2021",15.00 - 17.00 Uhr,21.0,,,,,,,,,,21.0
302.0,2021-09-21,Jusos in der SPD - Kreisverband Erfurt,Information von Bürgerinnen und Bürgern hinsichtlich der Wahl des 20. Deutschen Bundestages,Fläche vor dem Angermuseum (Anger 18) in 99084 Erfurt,2021-09-23 00:00:00,13.00 - 21.00 Uhr,21.0,,,,,,,,,,21.0
303.0,2021-09-23,A21,Walk for Freedom - moderne Sklaverei,Anger --> Innenstadt --> Anger,2021-10-16 00:00:00,14.00 - 15.30 Uhr,21.0,,,,,,,,,,21.0
304.0,2021-09-24,ver.di Thüringen Fachbereich Handel,Ohne uns kein Geschäft! Mehr Wertschätzung für Beschäftigte im Handel!,Aufzug Anger --> Innenstadt --> Schillerstraße,2021-10-01 00:00:00,10.00 - 12.30 Uhr,21.0,,,,,,,,,,21.0
305.0,2021-09-27,Neue Stärke ,Für die traditionalle Familie gegen Homopropaganda!,Angerdreieck,2021-10-09 00:00:00,12.00 - 17.00 Uhr,21.0,,,,,,,,,,21.0
306.0,2021-09-27,Einzelperson,"Vor Gericht stehen zwei, gemeint sind wir alle! - Solidarität mit den Betroffenen von Repressionen.""",Rudolfstraße 46 (vor AG Erfurt),2021-10-01 00:00:00,08.30 - 15.00 Uhr,21.0,,,,,,,,,,21.0
307.0,2018-02-15,Einzelperson,Ein christliches Zeichen setzen - Mahnwache,St. Christophorus-Straße ,"04.10.2021
11.10.2021
18.10.2021
25.10.2021",19.00 - 20.30 Uhr,21.0,,,,,,,,,,21.0
308.0,2021-09-28,Einzelperson,Menschenrechte in Krisenzeiten,Aufzug Innenstadt,2021-10-04 00:00:00,19.15 - 20.15 Uhr,21.0,,,,,,,,,,21.0
309.0,2021-09-30,Einzelperson,Klima-Mahnwache,Fischmarkt,01.10.2021-31.10.2021,17:00 -17:15,21.0,,,,,,,,,,21.0
310.0,2021-10-05,Einzelperson,Menschenrechte in Krisenzeiten,Aufzug Innenstadt,"11.10.2021
18.10.2021
25.10.2021",jeweils von 19.15 - 20.15 Uhr,21.0,,,,,,,,,,21.0
311.0,2021-10-06,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2021-10-16 00:00:00,15.30 - 18.30 Uhr,21.0,,,,,,,,,,21.0
312.0,2021-10-06,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2021-11-06 00:00:00,15.00 - 18.00 Uhr,21.0,,,,,,,,,,21.0
313.0,2021-10-07,Förderkreis Erinnerungsort Topf & Söhne,Antisemitismus ist keine Meinung und Wegschauen keine Option,"Petersberg, und Hirschgarten",2021-10-09 00:00:00,"11.40 - 12.25 Uhr
12.45 - 14.00 Uhr",21.0,,,,,,,,,,21.0
314.0,2021-10-11,Einzelperson,"Impfung gegen Corona, vor allem bei Kindern",Gothaer Straße ggü. MDR Gebäude,"15.10.2021
22.10.2021
29.10.2021",jeweols von 15.00 - 16.00 Uhr,21.0,,,,,,,,,,21.0
315.0,2021-10-12,tbb beamtenbund und tarifunion thüringen e.V.,Mittagspausenaktion Einkommensrunde 2021 TV-L,Ludwig-Ehrhardt-Ring (zwischen Thüringer Landesamt für Finanzen und dem Thüringer Finanzministerium),2021-10-28 00:00:00,11.00 - 13.30 Uhr,21.0,,,,,,,,,,21.0
316.0,2021-10-17,Einzelperson,Ausgrenzung durch 3G sofort beenden,Fischmarkt,2021-10-19 00:00:00,17.00 - 18.00 Uhr,21.0,,,,,,,,,,21.0
317.0,2021-10-16,Umweltgewerkschaft e.V.,Weltklimatag,Angerdreieck,2021-11-06 00:00:00,11.00 - 12.30 Uhr,21.0,,,,,,,,,,21.0
318.0,2021-10-18,VCD Erfurt,"Critical Mass - ""Sommerziet - Winterzeit = Fahrradzeit""",Aufzug Willy-Brandt-Platz --> Stadtgebiet --> Domplatz,2021-10-29 00:00:00,18.30 - 20.00 Uhr,21.0,,,,,,,,,,21.0
319.0,2018-02-15,Einzelperson,Ein christliches Zeichen setzen - Mahnwache,St. Christophorus-Straße ,"01.11.2021
08.11.2021
15.11.2021
22.11.2021
29.11.2021",19.00 - 20.30 Uhr,21.0,,,,,,,,,,21.0
320.0,2021-10-18,Scientists4Future Thüringen,Deutscher Städtetag: Ruf nach ambitioniertem Klimaschutz in allen Kommunen Deutschlands!,vor der Messe Erfurt,2021-11-16 00:00:00,11.00 - 14.30 Uhr,21.0,,,,,,,,,,21.0
321.0,2021-10-18,Scientists4Future Thüringen,Deutscher Städtetag: Ruf nach ambitioniertem Klimaschutz in allen Kommunen Deutschlands!,vor der Messe Erfurt,2021-11-17 00:00:00,11.00 - 13.30 Uhr,21.0,,,,,,,,,,21.0
