"Lfd.
Nr.",PE,Versammlungsmelder,Thema,Ort d. Versammlung / Aufzugsstrecke,"Datum der
Versammlung",Uhrzeit der Versammlung,Jahr,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Datum
23.0,2021-02-05,Friseurinnung Erfurt,Lockdown-Mahnwache des Friseur- und Kosmetikhandwerks,Regierungsstraße 73,2021-02-10 00:00:00,11.30 - 12.30 Uhr,21.0,,,,,,,,,,21.0
24.0,2021-02-05,Landwirtschaft verbindet LSV Thüringen e.V. i.G.,Insektenschutzgesetz nicht gegen uns sondern mit uns,Juri-Gagarin-Ring 158 --> Friedrich-Ebert-Straße 63,2021-02-09 00:00:00,10.00 - 12.00 Uhr,21.0,,,,,,,,,,21.0
25.0,2021-02-08,Initiative Abschiebestopp Thüringen,Mahnwache zur Geplanten Abschiebung von München nach Afghanistan am 09.02.2021,Angerdreieck,2021-02-08 00:00:00,17:00 - 18:30 Uhr,21.0,,,,,,,,,,21.0
26.0,2021-02-09,Einzelperson,Verabschiedung Insektenschutzgesetz,Friedrich-Ebert-Straße 63 --> Häßlerstraße --> Clara-Zetkin-Straße --> Trommsdorrstraße --> Juri-Gagarin-Ring,2021-02-10 00:00:00,12:00 - 15:00 Uhr,21.0,,,,,,,,,,21.0
27.0,2021-02-09,"Abschiebestopp Thüringen, MOVE e.V.","Erinnerung, Gerechtigkeit, Aufklärung und Konsequenzen des Hanau-Anschlag",Anger,2021-02-19 00:00:00,17:00  - 20:00 Uhr,21.0,,,,,,,,,,21.0
28.0,2021-02-11,Querdenken-361 Erfurt,Ein Jahr Lockdown,Domplatz,2021-03-13 00:00:00,15.30 - 18.00 Uhr,21.0,,,,,,,,,,21.0
29.0,2021-02-12,Bündnis Auf die Plätze ABGESAGT!!,Kein Fußbreit den Faschisten,Bahnhofsüdseite / Schillerstraße (Ecke Bahnhofsunterführung) bis Windthorststraße,2021-05-01 00:00:00,12.00 - 16.00 Uhr,21.0,,,,,,,,,,21.0
30.0,2021-02-15,linksjugend ['solid] Erfurt ABGESAGT !!,Kein Platz für Neonazis! Kundgebung gegen die Versammlung des Neue Stärke Erfurt e.V.,Willy-Brandt-Platz,2021-05-01 00:00:00,11.00 - 17.00 Uhr,21.0,,,,,,,,,,21.0
31.0,2021-02-15,Einzelperson,Wir klagen an! Ein Jahr nach dem rassistischen Terroranschlag von Hanau!,Johannesstraße 127,2021-02-19 00:00:00,11:00 - 16:00 Uhr,21.0,,,,,,,,,,21.0
32.0,2021-02-18,Freies Kollektiv Kaffeetrichter ABGESAGT !!,"Gegenprotest zu Coronaleugner*Innen & neurechtem, völkischen Gedankengut",Domplatz,2021-02-27 00:00:00,16:30 - 20:00 Uhr,21.0,,,,,,,,,,21.0
33.0,2021-02-17,RedRoxx,Kein Fußbreit den Faschist*innen,Domplatz,2021-05-01 00:00:00,12:00 - 16:00 Uhr,21.0,,,,,,,,,,21.0
34.0,2021-02-23,Initiative # Alarmstufe Rot Thüringen,"Autokorso ""FirstIn365"" - 365 Tage Lockdown d. Veranstaltungsbranche ohne wirksame Hilfen u. Perspektive",Domplatz --> Andreasstraße --> Schlüterstraße --> Johannesstraße --> Holzheienplatz --> Theaterplatz --> Maximilian-Welsch-Straße --> Domplatz,2021-02-28 00:00:00,12:05 - 15:30 Uhr,,,,,,,,,,,21.0
35.0,2021-02-23,Initiative # Alarmstufe Rot Thüringen,"""Pandemische Eulenspiegelei"" - Untertitel ""Der Drahtseilakt der Künstler und Veranstaltungswirtschaft""",Domplatz,2021-03-15 00:00:00,12:00 - 18:00 Uhr,21.0,,,,,,,,,,21.0
36.0,2021-02-22,Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,Zum Weltfrauentag,Fischmarkt,2021-03-11 00:00:00,17:00 - 18:00 Uhr,21.0,,,,,,,,,,21.0
37.0,2021-02-22,Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,Ostermarsch-Friedenskundgebung,Fischmarkt,2021-04-01 00:00:00,17:00 - 18:00 Uhr,21.0,,,,,,,,,,21.0
38.0,2021-02-22,Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,Zum Tag der Befreiung vom Faschismus,Angerkreuz (geä. 20.04.2021 SNE),2021-05-06 00:00:00,17:00 - 18:00 Uhr,21.0,,,,,,,,,,21.0
39.0,2021-02-22,Bündnis für Klimagerechtigkeit Erfurt,Klimagerechtigkeit No More Promises,Schmidtstedter Knoten (ca. 30 Minuten) --> Stauffenbergallee --> Trommsdorffstraße --> Juri-Gagarin-Ring --> Bahnhofstraße --> Willy-Brandt-Platz (Zwischenkundgebung (ca. 30 Minuten) --> Bahnhofstraße --> Angerdreieck (Abschlusskundgebung ca. 30 - 45 Minuten,2021-03-19 00:00:00,15:00 - 18:00 Uhr,21.0,,,,,,,,,,21.0
40.0,2021-02-22,Einzelperson,Stadtilm nimmt ab-ZfuH,Am Hirschgarten,2021-02-27 00:00:00,17.30 - 18.30 Uhr,21.0,,,,,,,,,,21.0
41.0,2021-02-22,Mandy Bialas ABGESAGT !!,Wir geben Kondern eine Stimme,Fischmarkt,2021-02-27 00:00:00,17.30 - 18.30 Uhr,21.0,,,,,,,,,,21.0
