Datum,Ort(e) der Kundgebung,"Zahl der Teilnehm er / -
innen",Thema,Unnamed: 4
2018-03-30 00:00:00,Domplatte (Römerbogen),20,Zum Teufel mit dem Tanzverbot,
2018-04-07 00:00:00,Domplatte (Römerbogen),25-35,"Freiheit für Verwandte von politischen Migranten
in Aserbaidjan",
00.01.1900,Rudolfplatz,300,Trans Pride,
2018-04-07 00:00:00,Wallrafplatz,20-40,"Tierrechte, vegane Ernährung u.
Lebensweise",
2018-04-13 00:00:00,,,,
2018-04-21 00:00:00,,,,
2018-04-24 00:00:00,,,,
2018-03-26 00:00:00,Bahnhofsvorplatz,30-100,Protest gegen Sammelabschiebungen,
2018-04-30 00:00:00,Domplatte (Blau-Gold-Haus),30,Demonstration für christliche Werte in unserer Gesellschaft,
2018-05-01 00:00:00,,,,
2018-05-02 00:00:00,,,,
2018-06-27 00:00:00,Alter Markt,4-8,kfd on road,
2018-08-29 00:00:00,Wiener Platz,20-30,"Wohnungsnot, Gentrifizierung, Vertreibung, Alles für Alle, No Broders",
2018-08-30 00:00:00,,,,
2018-08-31 00:00:00,,,,
2018-09-01 00:00:00,,,,
2018-09-02 00:00:00,,,,
"29.08.18-
02.09.18","Grünanlage hinter Stadthalle
Mülheim",20-30,"Wohnungsnot, Gentrifizierung, Vertreibung,
Alles für Alle, No Broders",
2018-04-13 00:00:00,"Zeughausstr. 8, vor Bezirks-
regierung",50-100,"BlueRide-Fahrraddemo: für einen sicheren und
gesunden Fahrrdaverkehr in Köln",
2018-04-04 00:00:00,Bahnhofsvorplatz,50-100,Freiheit für Öcalan,
2018-03-29 00:00:00,"Domplatte (Blau-Gold-Haus)
Schildergasse/ Antoniterkirche",30,"Wo sind die Wurzeln unserer christl.
Grundwerte?",
2018-03-26 00:00:00,Wallrafplatz,20,Festname von Carles Puigdemont,
2018-04-11 00:00:00,Chlodwigplatz,3000,Tarifbewegung 2018,
2018-03-28 00:00:00,Schildergasse/ Zeppelinstr.,5,"Frieden und Abrüstung, Ostermarsch 2018",
2018-03-31 00:00:00,Liverpooler Platz,10-20,Zelebrierung des Osterfests,
2018-04-05 00:00:00,"Leverkusen, Friedrich-Ebert-
Platz, Hauptstr. 114",100,Gegen die EU-Entscheidung Bayer/ Monsanto,
2018-03-31 00:00:00,Zülpicher Platz,5,"CoexistDay als Alternative zu Intoleranz,
Unterdrückung und Rassismus",
2018-03-31 00:00:00,Laurensplatz,20,"Konferenz zu 100-jähriger Gründung der
Aserbaidschanischen Republik",
2018-04-14 00:00:00,Severinskirchplatz,10,Wohnen/ Recht auf Stadt,
2018-04-10 00:00:00,"Appellhofplatz 23-25, EL-DE
Haus",250,Tarifrunde Öffentlicher Dienst,
2018-03-31 00:00:00,"Leverkusen, Neulandpark",30,"Ostereisuche gegen die Öffnung der Altlast
Dhünnaue",
2018-04-14 00:00:00,Domplatte (Blau-Gold-Haus),50,Freiheit für Präsidenz Puigdemont,
2018-04-09 00:00:00,"Neusser Straße 18
Ecke Schillingstraße",5-10,Mahnwache Wohnungskündigungen,
2018-04-10 00:00:00,Schillingstr. 37-39,5-10,Mahnwache Wohnungskündigungen,
2018-04-08 00:00:00,"Kölnstr., Wiesenplatz Nähe
Friedhof",25,"artgerecht ist nur die Freiheit- Tiere raus aus dem
Zirkus!",
2018-04-07 00:00:00,Domplatte (Blau-Gold-Haus),60,"Welche christl. Werte haben wir noch in der
Gesellschaft?",
2018-04-14 00:00:00,Heumarkt  ?,200,Volksverhetzug und Meinungsfreiheit,
2018-05-12 00:00:00,Wallrafplatz,10,"Eine Frau wie Du- Aufruf zur Gleichbehandlung
alle Frauen",
2018-04-07 00:00:00,Heumarkt,5-7,"Türken und Kurden sind Brüder aber PKK ist
Terror",
2018-04-06 00:00:00,"Vor Herz Jesu Kirche am
Zülpicher Platz, Seite Hohenstaufenring",10-15,"CoexistDay als Alternative zu Intoleranz, Unterdrückung und Rassismus",
2018-04-28 00:00:00,Domplatte (Römerbogen),25-35,"Freiheit für Verwandte von politischen Migranten
in Aserbaidjan",
2018-04-08 00:00:00,"Aachener Weiher, nahe des
Biergartens",200-500,Kölns Speakers Corner,
2018-04-11 00:00:00,Bahnhofsvorplatz,30-50,Nein zum Krieg in Afrin,
2018-04-12 00:00:00,,,,
2018-04-13 00:00:00,,,,
2018-04-07 00:00:00,"Aachener Weiher, Ostseite",5000,"Die Erteilung von Genehmigungen für subkulturelle Musikveranstaltungen am Aachener
Weiher",
2018-04-10 00:00:00,Laurenzplatz,20,Mahnwache gegen Atomwaffen,
2018-04-07 00:00:00,Roncalliplatz,50-70,Menschenrechtsverletzung im Iran,
2018-04-13 00:00:00,"Venloer Str. 239 a Friesenwall 116 Wallrafplatz Salzgasse 13
Schildergasse, Nordsee Händelstr. 37
Sternplatz",80-100,Arbeitsbedingungen beim Lieferdienst Deliveroo,
2018-04-10 00:00:00,Offenbachplatz,250,Warnstreik,
2018-04-14 00:00:00,Schildergasse 65-70 (P&C),3-8,Tierschutz/ gegen Massentierhaltung,
2018-05-06 00:00:00,Merianstraße (dortiger Parkplatz),100,"8.Mai, Tag der Befreiung von Faschismus",
2018-05-16 00:00:00,"Ottoplatz
Auenweg
Niehler Str./ Boltensternstr. Innere Kanalstr./ Subbelrather Str
IKS/ Aachener Str.
Rhöndorfer Str./ Gottesweg Vorgebirgsstr. 63",500,Ride of Silence Köln,
2018-04-26 00:00:00,Roncalliplatz,ca. 20,32. Jahrestag Super-GAU Tschernobyl,
2018-07-28 00:00:00,Schildergasse (vor P&C),ca. 50,"Tierrechte, Speziesismus",
2018-05-06 00:00:00,Roncalliplatz,1500,Pulse of Europe - Demokratie in Europa,
2018-05-11 00:00:00,"Breslauer Platz Krefelder Str. 0
Salierring 37 Zülpicher Platz
Luxemburger Str. 93",1200,Recht auf Stadt,
2018-04-12 00:00:00,"Bahnhof Ehrenfeld, vor
Hinrichtungsgedenkstätte",15,"Jom HaShoah Tag des Gedenkens an Holocaust
und Heldentum",
2018-04-20 00:00:00,Domplatte (Römerbogen),50,Int. Weltcannabistag,
2018-04-14 00:00:00,Delmenhorster Str. 2,100-120,7. Imam-Gedenktag,
2018-04-25 00:00:00,Wallrafplatz,ca. 10,Solidarität mit Afrin; humanitäre Hilfe,
2018-04-21 00:00:00,Wiener Platz,20-30,"""Oben bleiben"" Ost-West-Bahn",
2018-04-26 00:00:00,"Deutz,  Reiterdenkmal an der
Hohenzollernbrücke",20-30,Solidarität mit Ayotzinapa,
2018-04-13 00:00:00,Domplatte (Römerbogen),10,GaZa,
2018-05-11 00:00:00,Roncalliplatz,100-150,"""Die Rosen Bulgariens"" - Ehrentag der Gebrüder
Kryll und Methe",
2018-06-03 00:00:00,Roncalliplatz,1500,Pulse of Europe - Demokratie in Europa,
2018-07-01 00:00:00,Roncalliplatz,1500,Pulse of Europe - Demokratie in Europa,
"16.04.2018
17.04.2018
18.04.2018
19.04.2018
20.04.2018",Domplatte (hinter dem Römerbogen),k.A.,Gegen die Hinrichtung von einer politisch aktiven Person im Iran,
2018-05-16 00:00:00,"Venloer Straße Bickendorf Bahnunterführung an der Matthias-Brüggen-Straße
am Mahnmal der Sinti und Roma",ca. 50,Gedenkveranstaltung: Erinnerung Deportation Sinti und Roma 1940,
2018-04-15 00:00:00,"Domplatte (hinter dem
Römerbogen)",50,Gegen die Hinrichtung von Ramin Hosienpanahi,
2018-04-15 00:00:00,Athener Ring 3,6-10,"Mahnwache ""Auf Nimmerwiedersehen Pro Köln""",
2018-04-16 00:00:00,Bahnhofsvorplatz,150,"Freiheit für Adil Demirci und alle Jounalistinnen in
der Türkei",
2018-04-19 00:00:00,"Breitestraße
(am Neven-Du-Mont Brunnen)",5-10,Köln für deutschen Sozialismus,
2018-04-18 00:00:00,Schildergasse / Ecke Zeppelinstraße,20-30,"Krieg gegen Syrien
(Luftanagriffe wg. Mutmaßlichem Giftgaseinsatz der syrischen Regierungstruppen)",
2018-04-18 00:00:00,Pariser Platz,ca. 100,Gegen rassistische Hetze in Chorweiler,
2018-04-20 00:00:00,Domplatte (Römerbogen),10,GAZA,
"05.05.2018
12.05.2018",Alter Markt,20 - 250,"Keine antisemitische, rassistische und extreme rechte Hetze im Netz",
2018-05-17 00:00:00,Wallrafplatz,80,"Internationaler Tag gegen Homo-, Bi und
Transphobie",
2018-04-21 00:00:00,Schildergasse (vor P&C),20,"Demmonstration für christliche Werte in der
Gesellschaft",
2108-06-30 00:00:00,Schaefenstraße,1.8,"Hochzeitstag der Ehe für Alle - unsere Rechte
sind nicht verhandelbar",
2018-04-18 00:00:00,"Köln-Zollstock
(vor dem Haupteingang des Alfred-Müller-Armack- Berufskolleg)",3 - 10,Kein neues Braunkohlekraftwerk in Niederaußem und die Stadt Köln soll ihre RWE-Aktien veräußern,
"23.04.2018
24.04.2018
25.04.2018
26.04.2018
27.04.2018
28.04.2018","Rudolfplatz
-------------
Bahnhofsvorplatz","30 - 50
bei der Abschluss kundgebu ng = 500 - 800",Nein zur Isolation! Freiheit für Abdullah Öcalan jetzt und sofort!,
2018-04-21 00:00:00,"Wiener Platz (Wollworth -
Rolltreppe zur U-Bahn)",5 - 6,Kommunalpolitische Themen,
2018-04-20 00:00:00,"Leverkusen
vor dem Rathaus",150,Im Gedenken der in Afrin gestorbenen Kindern,
2018-04-26 00:00:00,Rendsburger Platz,30-50,"""Die LKW sind wieder da und es ist unhöflich,
sie nicht begrüßen zu wollen""",
2018-04-21 00:00:00,"Zülpicher Platz
(vor Herz-Jesu-Kirche)",5,CoexistDay Gib Antisemitismus keine Chance,
2018-04-23 00:00:00,Domplatte (Römerbogen),30-100,Protest gegen Sammelabschiebungen,
2018-04-24 00:00:00,"Reiterstandbild Wilhelm II
Hohenzollernbrücke",75,"""Dieser Schmerz betrifft uns alle""",
2018-04-25 00:00:00,Domplatte (Römerbogen),100,"Solidarität mit der jüdischen Gemeinde Berlin:
Kippa Colonia",
"05.05.2018
19.05.2018
26.05.2018
02.06.2018
16.06.2018
30.06.2018
07.07.2018
21.07.2018
04.08.2018
18.08.2018
09.06.2018
14.07.2018
28.07.2018
11.08.2018","Domplatte (am Blau-Gold-Haus)
Wallrafplatz",20 - 45,Aktion von Anonymous for the Voiceless,
2018-04-27 00:00:00,Domplatte (Römerbogen),10,Die Lage im Gaza,
2018-04-25 00:00:00,Hans-Böckler-Platz,80-150,Neues Polizeigesetz NRW stoppen,
2018-05-06 00:00:00,Bahnhofsvorplatz,90,Macht Frieden - Zivile Lösungen für Syrien,
2018-05-13 00:00:00,Bahnhofsvorplatz,10-20,Heimat und Weltfrieden,
2018-04-28 00:00:00,Heumarkt,50,Solidarität mit Nicaragua,
2018-04-26 00:00:00,Alter Markt,30,"""Grow-Smarter"", Stegerwaldsiedlung",
"05.05.18
06.05.18
12.05.18
13.05.18
19.05.18
20.05.18
26.05.18
27.05.18
02.06.18
03.06.18
09.06.18
10.06.18
16.06.18
17.06.18
30.06.18",Domplatte (Römerbogen),"2-15
------------
am 13.05.18
bis zu 50","Protest gegen Folter, Mord und illegale Organentnahme an Falun Gong Praktizierneden in China",
2018-04-24 00:00:00,"Boltensternstr.,
Höhe Niehler Gürtel",100,Mahnwache bezgl. tödich verunglückter Radfahreri,
2018-04-26 00:00:00,Domplatte (Römerbogen),20,"Friedenskundgebung für Nicaragua zur
aktuellen Situation",
2018-05-04 00:00:00,"Heumarkt -
Brüsseler Straße -/Platz",250,Psychotherapeuten in Ausbeutung /PiA Protest,
2018-05-01 00:00:00,"Brüsseler Platz, vor der
St. Michaels Kirche",200-300,"Kölns Speakers Corner zur Zukunft der St.
Michaels Kirche",
2018-05-26 00:00:00,"Bonner Straße /
Schönhauser Straße",5,Ost-West-Achse,
2018-05-04 00:00:00,Bahnhofsvorplatz,300,Zum Gedenken an Dersim Genozid 1938,
2018-04-28 00:00:00,"Wiener Platz (14.00 Uhr)
Waldecker Str,/ Heidelberger Str. (15.00 Uhr)
Kalker Hauptstr. Höhe Arcaden",10,Gegen Faschismus und Krieg. Organisiere Dich.,
2018-05-03 00:00:00,Domplatte (Blau-Gold-Haus),,"Tierrechte, vegane Ernährung u.",
2018-05-10 00:00:00,,,,
2018-05-17 00:00:00,,,,
2018-05-24 00:00:00,,,,
2018-05-31 00:00:00,,,,
2018-06-07 00:00:00,Wallrafplatz,20-40,Lebensweise,
2018-04-26 00:00:00,"Bezirksrathaus Nippes,
Seiteneingang",5,"Spontankundgebung wegen Radverkehrs-
Themen auf der Tagesordnung",
2018-08-24 00:00:00,Bahnhofsvorplatz,20,Digitalisierung in NRW,
2018-08-25 00:00:00,,,,
"02.05.2018
bis 25.07.2017
immer
Mittwochs",Wallrafplatz,10-20,Freiheit für Adil Demirci und alle Jounalistinnen in der Türkei,
"04.05.2018
11.05.2018","1. Zeughausstr. 8, vor Bezirks- regierung
2. Boltensternstr./ Niehler Gürtel",80-150,Blue Ride-Fahrraddemo: für einen sicheren und gesunden Fahrrdaverkehr in Köln,
2018-05-07 00:00:00,Wiener Platz,20-30,Befreiung Deutschlands von der Hitlerdiktatur,
2018-05-25 00:00:00,Bahnhofsvorplatz,30,Moderne Sklaverei,
2018-07-24 00:00:00,Rudolfplatz,20,Truck you-Tiertransporte unzensiert,
2018-05-12 00:00:00,Heumarkt,30,70 Jahre Vertreibung,
2018-06-22 00:00:00,Aachener Weiher,200-300,Kölns Speakers Corner zu 50 Jahren 1968,
2018-05-04 00:00:00,Schildergasse (am Brunnen),k- A.,Solidarität für Venezuela,
2018-05-06 00:00:00,"Volksgarten, Südwestseite",200-500,Kölns Speakers Corner,
2018-05-05 00:00:00,Wallrafplatz,50-70,Aktion gegen Hinrichtungen im Iran,
2018-05-05 00:00:00,Alter Markt,30-50,200. Geburtstag von Karl,
2018-05-05 00:00:00,Bahnhofsvorplatz,15-20,Korruption in Russland/ Kreml,
2018-05-09 00:00:00,"Luxemburger Str. 1, vor dem
Landgericht",30-60,"Dumme Justizmitarbeiter tyrannisieren die
Menschen- der Pulverteufel räumt auf",
2018-05-05 00:00:00,Rudolfplatz- Westseite,6-10,Menschenrechtsverletzung im Iran,
2018-05-08 00:00:00,Grünanlage des Hansaplatzes (am Mahnmal),50,Gedenkfeier anlässlich des 73. Jahrestages der Befreiung vom Faschismus,
2018-06-22 00:00:00,"Bergisch-Gladbacher-Str. ,
beide Fahrspuren",200,Verkehrspolitische Themen,
2018-05-08 00:00:00,Ottoplatz,10-15,8. Mai- Tag der Befreiung,
2018-05-08 00:00:00,"Hansaring (Start)
Hans-Böckler-Platz (Ende)",20,Tag der Befreiung vom Faschismus,
"09.05.2018
12.05.2018","Domplatte (Römerbogen)
Domplatte (Blau-Gold-Haus)",10,Menschenrechtsverletzung im Iran,
2018-05-14 00:00:00,"Luxemburger Str. 1, vor dem
Landgericht",30-60,"Dumme Justizmitarbeiter tyrannisieren die
Menschen- der Pulverteufel räumt auf",
2018-05-19 00:00:00,Roncalliplatz,500,Schaffung geeigneter Plätze für spontane Open Air Partys,
,Aachener Weiher,,,
,"Grüngürtel, südl. vom Parkcafe",,,
2018-05-27 00:00:00,Riehler Str. vor dem Zoo,20,Zoos- Gefängnisse für Tiere,
2018-07-14 00:00:00,"Severinswall, zw. Karl-Korn-Str. und An der Bottmühle",300,Antifaschismus und Rechtsdruck,
2018-05-11 00:00:00,"Luxemburger Str. 1, vor dem Landgericht",30-100,"Dumme Justizmitarbeiter tyrannisieren die
Menschen im Namen von Lobbyisten- aber der Pulverteufel räumt nun auch hier auf!",
2018-05-12 00:00:00,Wiener Platz,30,Solidarität mit der HDP,
2018-05-11 00:00:00,Köln-Nippes (Wilhelmplatz),10 - 20,"HDP - die Türkeit zur Demokratie oder zu
Diktatur",
2018-08-11 00:00:00,Schildergasse (Brunnen),5 - 20,Alternative Religionen,
2018-06-30 00:00:00,Roncalliplatz,200,Wildtiere raus aus dem Zirkus,
2018-05-16 00:00:00,Domplatte,10,Menschenrechtsverletzung im Iran,
2018-05-16 00:00:00,Äußere Kanalstr./ Venloer Str.,10-20,"Solidarität mit HDP, Solidarität mit Selahattin
Demirtas",
2018-05-19 00:00:00,"Nippes, Wilhelmplatz",10-20,"Solidarität mit HDP, Solidarität mit Selahattin
Demirtas",
2018-05-19 00:00:00,Bahnhofsvorplatz,20,Demonstration für christliche Werte,
2018-06-08 00:00:00,Keupstrasse von Schanzenstr. - Holweider Str.,1000,Demonstration für ein friedliches Leben in unserer Gesellschaft,
2018-05-17 00:00:00,"Blumenthalstr. /vor
Arbeitsgericht",10,Rücknahme der Abmahnung gegen Ford-Arbeiter,
2018-05-16 00:00:00,Schildergasse/ Zeppelinstr.,5,Frieden und Abrüstung,
2018-06-16 00:00:00,Bahnhofsvorplatz,10-20,Heimat und Weltfrieden,
2018-05-21 00:00:00,Domplatte,100,"Gedenkkundgebung zum Genozid an den
Tscherkessen am 21.05.1864",
2018-06-23 00:00:00,"Rheinauhafen, Beach-Volleyball-
Plätze",80,Kinderrechte,
2018-05-17 00:00:00,Bahnhofsvorplatz,50-100,70 Jahre Nakbeh,
2018-05-19 00:00:00,Wiener Platz,30,"Solidarität mit den politisch Gefangenen in der
Türkei",
2018-07-07 00:00:00,Rudolfplatz,400,Globaler Weltfrieden- wie Innen so Außen,
2018-05-17 00:00:00,Theo-Burauen-Platz,30,"Protest für den Erhalt des alten Standortes einer
neuen Grundschule in Porz",
2018-05-19 00:00:00,Wiener Platz,30,ÖPNV/ Ost-West- U-Bahn,
2018-05-18 00:00:00,Wallrafplatz,10,Menschenrechtsverletzung im Iran,
2018-06-16 00:00:00,"Volksgarten, Südwestseite",8,"Menschenrechtsverteidiger/ -innen (Aufhänger ist
die Fussball-WM)",
2018-06-29 00:00:00,"Kalk, Taunusplatz",230,Marsch der Kinderrechte,
2018-05-17 00:00:00,"Leverkusen, Friedrich-Ebert-
Platz,",10-20,Solidarität mit Demirtasch,
2018-05-22 00:00:00,Bahnhofsvorplatz,5,"Probleme mit dem Wohnungsamt und
Familienzusammenführung",
2018-05-21 00:00:00,Bahnhofsvorplatz,30-100,Keine Abschiebungen in den Tod!,
2018-05-23 00:00:00,Wallrafplatz,10,Menschenrechtsverletzung im Iran,
2018-05-26 00:00:00,Neumarkt,2500-3000,"Die Anti-Demokratische Situation in der Türkei
und die Wahlen. (Solidarität mit der HDP)",
2018-05-22 00:00:00,"Porz, Josefstr. 12",10-15,Die Anti-Demokratische Situation in der Türkei und die Wahlen. (Solidarität mit der HDP),
2018-05-23 00:00:00,"Porz, Rudolf-Diesel-Str. 36,
Autokino",,,
2018-06-08 00:00:00,Albert-Magnus-Platz,ca. 100,Köln spricht,
2018-05-27 00:00:00,"Eburonenstrasse, Höhe Nr.1-10",100-200,"Demo für eine lebenswerte Stadt und einen
nachhaltigen Verkehr in der Eburonenstrasse",
2018-05-25 00:00:00,"Porz, Josefstr. 12",10-15,"Die Anti-Demokratische Situation in der Türkei
und die Wahlen. (Solidarität mit der HDP)",
2018-05-26 00:00:00,Wallrafplatz,10,Menschenrechtsverletzung im Iran,
2018-05-25 00:00:00,"Ostheimer Str./ Sigrid-Undset-
Str.",10,Wahlen in der Türkei/ Freiheit für Demirtas,
2018-05-26 00:00:00,Aachener Str./ Moltkestr.,10,Ost-West-Achse,
2018-05-26 00:00:00,Schildergasse 65-70 (P&C),3-8,Tierschutz/ gegen Massentierhaltung,
2018-05-21 00:00:00,Roncalliplatz,400,"Pfingsten- gemeinsames Singen einer
Christengemeinschaft",
2018-05-24 00:00:00,"Lev. Opladen, Kölner Str.
vor der Aloysius Kapelle",10,Dem Gedenken an Demirtasch,
2018-06-02 00:00:00,Bahnhofsvorplatz,15-20,Gegen Polizeistaat und Polizeigewalt,
2018-06-09 00:00:00,Roncalliplatz,ca. 70,Gegen Hinrichtung von Ramin Hosienpanahi,
2018-06-16 00:00:00,Wiener Platz,30-65,Die offene Gesellschaft,
2018-06-02 00:00:00,Wiener Platz (nähe Woolworth),20-30,ÖPNV/ Ost-West- U-Bahn,
2018-05-30 00:00:00,Domplatte (Römerbogen),,,
2018-06-06 00:00:00,,,,
2018-06-13 00:00:00,,,,
2018-06-20 00:00:00,,,,
2018-06-02 00:00:00,Wallrafplatz,10,Menschenrechtsverletzung im Iran,
2018-06-08 00:00:00,,,,
2018-06-16 00:00:00,,,,
2018-06-23 00:00:00,,,,
2018-05-29 00:00:00,Mathesenhofweg,100,Spontankundgebung wg. getötetem Kind,
"04.06.2018
05.06.2018
06.06.2018",Schildergasse (vor P&C),7-15,Tierschutz/ gegen Massentierhaltung,
2018-06-03 00:00:00,"Aachener Weiher, nahe des
Biergartens",200-500,Kölns Speakers Corner,
2018-05-30 00:00:00,"Liverpooler Platz;
vor dem City-Center",20,Solidarität mit der HDP,
2018-06-03 00:00:00,"Riehler Str. 173, vor dem Zoo",15,"Artgerecht ist nur die Freiheit- Tiere raus aus
dem Zoo",
2018-06-04 00:00:00,"Reiterstandbild Wilhelm II
Hohenzollernbrücke",50,"""Dieser Schmerz betrifft uns alle""",
2018-06-03 00:00:00,Bahnhofsvorplatz,3-10,Fahrscheinloser ÖPNV,
2018-06-02 00:00:00,Wiener Platz,10,"Solidaritat mit der HDP, Unterstützung der
Demokratie",
"28.06.2018
29.06.2018
30.06.2018",Bahnhofsvorplatz,40,Demonstration für christliche Werte in unserer Gesellschaft,
2018-06-01 00:00:00,Aloysius-Kapelle in Opladen,10,Dem Gedenken an Demirtasch,
2018-06-08 00:00:00,Domplatte (Römerbogen),20,GAZA,
2018-06-02 00:00:00,"Neuer Weyerstraßenweg/
Gottesweg",2,Ost-West-Achse,
,Neusser Str./ Ebertplatz,2,,
,Chlodwigplatz/ Ubierring,2,,
2018-06-23 00:00:00,"Albert-Magnus-Platz
Rudolfplatz",300,"Hochschulgesetznovellierung der
Landesregierung NRW",
2018-06-03 00:00:00,Wallrafplatz,15-20,"""Töte mich nicht""
Solidarität für Georgien",
2018-06-17 00:00:00,"Brück, Marktplatz",300,Saubere Luft für Köln- Verkehrswende jetzt,
2018-06-08 00:00:00,Andreaskloster (am U-Bahn- Abgang),2-3,"Protest gegen Folter, Mord und illegale Organentnahme an Falun Gong Praktizierneden
in China",
2018-06-07 00:00:00,"Venloer Straße
Bahnhof Köln-Ehrenfeld",2-6,Nein zum neuen Polizeigesetz NRW!,
2018-06-05 00:00:00,"Kalker Hauptstraße
Vor Bezirksrathaus",10,"50 Jahre Abeiterbund für den Wiederaufbau der
KPD",
2018-06-09 00:00:00,Domplatte,500,"Solidaritätsbekundung für Afrin/ Gegen die
türkische Besatzung",
2018-06-05 00:00:00,Aloysius-Kapelle in Opladen,10,Dem Gedenken an Demirtasch,
2018-06-16 00:00:00,Rudolfplatz (Westseite),15-20,Nein zum Polizeigesetz NRW,
2018-06-15 00:00:00,Wiener Platz,50-100,Int. Frauenrechte,
2018-06-09 00:00:00,Heumarkt,20-30,Frieden in der Welt,
2018-06-09 00:00:00,"Brück, Marktplatz",30,"Bannermal-Aktion ""Saubere Luft für Köln-
Verkehrswende jetzt""",
2018-06-25 00:00:00,Bahnhofsvorplatz,30-100,Protest gegen Sammelabschiebungen,
2018-06-09 00:00:00,Neumarkt,20,Freiheit katalanisch politische Gefangene,
2018-06-16 00:00:00,"Leverkusen, Wiesdorfer Platz",18,"Christliche Werte sind wertvoll für die
Gesellschaft?!",
2018-09-02 00:00:00,"Franz-Hitze-Straße/
Peter-Dedenbach-Straße",200,Solidarische Innenstadt für alle,
2018-07-02 00:00:00,Bahnhofsvorplatz,400,Gedenkveranstaltung für Sivas-Pogrom,
2018-06-29 00:00:00,"Heumarkt (Auftakt)
Neumarkt (Abschluss)",300-500,"Gegen neuen U-Bahn Tunnel und für eine
Verkehrswende in Köln",
2018-06-16 00:00:00,Leverkusen/Opladen,50-60,"Ausbau Balkantrasse vom Imbacher Weg
bis Bahnhof Opladen",
2018-06-09 00:00:00,Neumarkt,2000,"Unterstützung AKP für eine stabile und sichere
Zukunft der Türkei",
2018-09-08 00:00:00,Bahnhofsvorplatz,50-100,Jesus Christus - Retter der Welt,
2018-06-23 00:00:00,"Rheingarten (Grünfläche am
Weltjugendtagsweg)",20,"Demonstration für christliche Werte in der
Gesellschaft",
"09.06.2018
23.06.2018",Schildergasse (Höhe P&C),10 - 15,Tierschutz/ gegen Massentierhaltung,
2018-06-23 00:00:00,"Ebertplatz
Brüsseler Platz",500,March for a new Europe,
2018-06-24 00:00:00,Roncalliplatz,600,"Beobachtung der Wahlergebnisse an einer
Leinwand /Live-Übertragung",
2018-06-24 00:00:00,Domplatte (am Römerbogen),50 - 150,Stop Kohle! / Schneller Kohleausstieg,
2018-06-14 00:00:00,Wiener Platz,10,"Syrischer Bürgerkrieg und seine Auswirkungen
auf Deutschland",
2018-06-23 00:00:00,Bahnhofsvorplatz,120,Ahmadi Muslime radeln für Deutschland,
2018-06-22 00:00:00,"Roncalliplatz (Auftakt) Breite Straße (Zwischenkundg.) Ringstraße (Zwischenkundg.)
Zülpicher Platz (Abschluss)",200-300,Nein zum Polizeigesetz NRW und zur Video- überwachung des öffentlichen Raums,
2018-06-16 00:00:00,Kalker Stadtgarten,5-50,Sit-In als Austausch über offene Gesellschaft,
2018-06-14 00:00:00,Wallrafplatz,20-40,Cube of Truth,
2018-07-14 00:00:00,Augustinerstraße 6,15,"Thomas Cook, stop supporting Sea World!",
2018-06-16 00:00:00,Domplatte (am Römerbogen),20-40,Freiheit für gefangene Derwische im Iran,
2018-07-08 00:00:00,Roncalliplatz,100 - 2500,"Gegen ein Verfälschen der grichischen Geschichte
Gegen die Namensvergabe der Nordgrichischen
Republik Makedonien an einen anderen Staat",
2018-06-30 00:00:00,Eigelsteintorburg,10,"Kundgebung unserer politischen Meinung,
angelehnt an unser Parteilprogramm",
2018-06-19 00:00:00,"Ulitzkastraße
Edith-Stein-Straße",20,"Nein zu Mietpreissteigerungen /
Gentrifizierungen",
2018-06-20 00:00:00,Justizzentrum,10-15,TTIP/CETA Game Over,
2018-07-21 00:00:00,"Köln, Venloer Straße 354e (Bahnhof Ehrenfeld), neben dem
Kiosk ""Yilmaz""",20-40,Cube of Truth,
"19.06.2018
21.06.2018",Venloer Straße Bahnhof Köln-Ehrenfeld,2-6,Nein zum neuen Polizeigesetz NRW!,
2018-09-23 00:00:00,"Rudolfplatz (Auftakt)
Heumarkt (Abschluss)",500,Kidical Mass - Kinder aufs Fahrrad,
2018-06-23 00:00:00,Domplatte (Römerbogen),50,Unterstützung: Gegen Hinrichtung im Iran,
2018-07-21 00:00:00,Bahnhofsvorplatz,10-20,Heimat und Weltfrieden,
2018-06-20 00:00:00,Ford-Werke vor Tor 1,40-80,Kundgebung Werkschließung FAI Bordeaux,
2018-06-20 00:00:00,Schildergasse/ Zeppelinstr.,8,Frieden und Abrüstung,
2018-06-23 00:00:00,"Venloer Straße
Bahnhof Köln-Ehrenfeld",2-6,Nein zum neuen Polizeigesetz NRW!,
2018-08-25 00:00:00,"Ebertplatz (Auftakt)
Bahnhof Ehrenfeld (Abschluss)",150,Tanzen für das Klima,
2018-06-22 00:00:00,Amsterdamer Str. 192,10,Nicht-Erwähung der AfD in der Presse Köln,
2018-08-04 00:00:00,Wallrafplatz,15,"Stop Grind - Stopp das Wal- und Delfintöten
Färöer Inseln/",
2018-06-30 00:00:00,"Köln (Fischmarkt, am Rhein)",15,Solidarität mit den Menschen in Venezuela,
2018-06-23 00:00:00,Rudolfplatz,20-30,Cube of Truth,
2018-06-23 00:00:00,Einkaufscenter Weiden,10,Nicht-Erwähung der AfD in der Presse Köln,
2018-06-25 00:00:00,"Köln Messe, Eingang Nord",5-10,Deutsch-Brasilianische Wirtschaftstage,
2018-06-22 00:00:00,"Köln (Olpener
Straße/Höhenberger Straße)",100,Spontankundgebung/Mahnwache,
