Datum,Unnamed: 1,erwartete TN-Zahl,Thema
2023-07-01 00:00:00,Heumarkt                 Breslauer Platz                     Bahnhofsvorplatz Kurt-Hackenberg-Platz               Appellhofplatz,1000,"NRW erwacht für Frieden, Freiheit und Selbstbestimmung"
2023-07-01 00:00:00,Mathias-Kann-Pfad Park (Vingst),30,Gegen Krieg und Aufrüstung
2023-07-01 00:00:00,Heumarkt/Gürzenichstraße,20,"Klare Kante gegen friedensbewegte Querdenker:innen, Antisemit:innen und rechte Verschwörungsideologien"
2023-07-01 00:00:00,Heumarkt/Gürzenichstraße,20,"Klare Kante gegen friedensbewegte Querdenker:innen, Antisemit:innen und rechte Verschwörungsideologien"
2023-07-01 00:00:00,"Kalk Kapelle
Kalk Post",30,Erinnerung an den vor 20 Jahren ermordeten Erol Ispir
2023-07-01 00:00:00,Domplatte (Kreuzblume),4,Be Vegan - Make Peace (Vegan für den Frieden)
2023-07-01 00:00:00,"Wallrafplatz,                       vor Max Mara",15,Pelzdemo
2023-07-01 00:00:00,Röhrergasse,20,"Klare Kante gegen friedensbewegte Querdenker:innen, Antisemit:innen und rechte Verschwörungsideologien"
2023-07-03 00:00:00,Vingst (H),25,Gegen Teuerungen und Preisexplosionen
2023-07-05 00:00:00,Bahnhofsvorplatz,30,Politische Haft in der Türkei und im Iran
2023-07-05 00:00:00,Mudersbacher Straße 69,7,Schafft die Obdachlosigkeit ab!
2023-07-06 00:00:00,Dillenburger Straße 25,10,Entzug der Aufenthalte mehrerer Personen
2023-07-06 00:00:00,Breite Straße/Auf der Ruhr,20,Wir wollen den runden Tisch mit dem ÖFR
2023-07-08 00:00:00,Hans-Böckler-Platz bis Kurt-Hackenberg-Platz,500,queer - wütend - revolutionär
2023-07-08 00:00:00,Bahnhofsvorplatz,25,Christliche Werte in Politik und Gesellschaft
2023-07-08 00:00:00,Schildergasse (P&C),10,Liebe und die Freiheit
2023-07-08 00:00:00,Domplatte ,6,"Gegen Koranverbrennung in Schweden, gegen LGBTQ"
2023-07-08 00:00:00,Breslauer Platz,40,Gegen Hinrichtungen im Iran
2023-07-08 00:00:00,Im Hasengarten 11,11,Wir wollen unser Zuhause nicht verlieren! Bauantrag stellen und Obdachlosigkeit verhindern!
2023-07-09 00:00:00,Mindener Straße,40000,CSD Demo 2023 - Gleichstellung und gesellschaftliche Akzeptanz von LGBTIQA* Menschen
2023-07-09 00:00:00,Unter Goldschmied 6,20,LGBTQ+ für alle
2023-07-09 00:00:00,Domplatte (Domforum),10,Evangelisation
2023-07-10 00:00:00,Kurt-Rossa-Platz,30,Dieser Schmerz betrifft uns alle
2023-07-12 00:00:00,Schildergasse (P&C),10,Krieg in der Ukraine
2023-07-12 00:00:00,Universitätsstraße 37,50,Für einen Tarifvertrag für studentische Beschäftigte - Senatsantrag annehmen
2023-07-12 00:00:00,Albertus-Magnus-Platz,10,"Nieder mit dem Krieg. Solidarität mit den Kommunistinnen und Kommunisten in Russland und der Ukraine, eine Solidaritätskampagne zur Unterstützung von Kommunisten, die sich in Russland aufhalten"
2023-07-13 00:00:00,Breite Straße/Mörsergasse,20,Wir wollen den runden Tisch mit dem ÖFR
2023-07-13 00:00:00,Dillenburger Straße 25,10,Entzug der Aufenthalte mehrerer Personen
2023-07-14 00:00:00,"Heumarkt
Roncalliplatz",500,Tarifrunde Einzelhandel und Großhandel NRW
2023-07-15 00:00:00,Bahnhofsvorplatz,13,Klare Kante gegen rechtsextreme Islamophobie in Köln! 
2023-07-15 00:00:00,Rudolfplatz,60,Gedenken an Dr. Abdul Rahman Ghassemlou
2023-07-15 00:00:00,Wiener Platz,10,Gesellschaftspolitische Themen im Einklang mit der Bibel
2023-07-15 00:00:00,Weltjugendtagsweg,15,Ächtung von Streubomben
2023-07-17 00:00:00,Vingst (H),40,Gegen Teuerungen und Preisexplosionen
2023-07-19 00:00:00,Bahnhofsvorplatz,50,Protest gegen die Hinrichtung im Iran
2023-07-20 00:00:00,Wiener Platz,40,Gedenken an das Massaker in Suruc
2023-07-20 00:00:00,Erich-Klibansky-Platz,200,Öffentliches Gedenken anlässlich der 81. Jahrestages der Deportation von 1164 jüdischen Menschen von Köln nach Minsk
2023-07-20 00:00:00,Breite Straße/Auf der Ruhr,20,Wir wollen den runden Tisch mit dem ÖFR
2023-07-20 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
2023-07-22 00:00:00,Bahnhofsvorplatz,30,Christliche Werte in Politik und Gesellschaft
2023-07-22 00:00:00,Rudolfplatz,50,Gegen Hinrichtungen im Iran
2023-07-22 00:00:00,Heumarkt,50,Gegen Hinrichtungen im Iran
2023-07-22 00:00:00,Domplatte (Domforum),50,Kindesentziehung durch den Staat
2023-07-22 00:00:00,Schildergasse/Zeppelinstraße,20,"Liebe, Demut, Einigkeit"
2023-07-22 00:00:00,Louis Vuitton                    Max Mara,20,Pelzdemo
2023-07-23 00:00:00,Riehler Straße (Zoo),10,Zoo: Gefängnis für Tiere
2023-07-24 00:00:00,Domplatte (Blau-Gold-Haus),30,"40. Jahrestag des ""Schwarzen Juli"" - Pogrom gegen Tamilen in Sri Lanka"
2023-07-27 00:00:00,Breite Straße/Auf der Ruhr,20,Wir wollen den runden Tisch mit dem ÖFR
2023-07-27 00:00:00,Rathausplatz LEV,30,Zweiter Jahrestag der Currenton-Explosion in Leverkusen
2023-07-29 00:00:00,Bahnhofsvorplatz,13,Klare Kante gegen rechtsextreme Islamophobie in Köln! 
2023-07-29 00:00:00,Schildergasse (P&C),8,Friede in der Welt
2023-07-29 00:00:00,Hasengarten 11,11,Wir wollen unser Zuhause nicht verlieren! Bauantrag stellen und Obdachlosigkeit verhindern!
2023-07-29 00:00:00,Bahnhofsvorplatz,50,Menschenrechtsverletzung im Iran
2023-07-30 00:00:00,Bahnhofsvorplatz - Aachener Weiher,888,Human-Trafficking-Awarness Day Menschenhandel und Kinderschutz
2023-07-30 00:00:00,"Friesenplatz
Heumarkt",500,Gegen Elterngeldkürzung
2023-08-02 00:00:00,Bahnhofsvorplatz,35,Politische Haft in der Türkei und im Iran
2023-08-02 00:00:00,Bahnhofvorplatz,100,Gedenken an die Opfer des Jesiden-Völkermordes in Shingal
2023-08-02 00:00:00,Bahnhofsvorplatz,50,Menschenrechtsverletzung im Iran
2023-08-03 00:00:00,Bahnhofsvorplatz,100,Gedenken an den Genozid an den Jesiden und die Forderung einer Schutzzone
2023-08-03 00:00:00,Roncalliplatz,15,Flut und andere Wetterextreme / Naturkatastrophen
2023-08-03 00:00:00,Breite Straße/Auf der Ruhr,20,Wir wollen den runden Tisch mit dem ÖFR
2023-08-04 00:00:00,"Platzfläche vor St. Heribert
Wiese vor dem Skatepark unter der Zoobrücke",50,Aufruf zum Großstreik am 15.09.
2023-08-04 00:00:00,Schildergasse (P&C),10,"Tierrechte, Veganismus"
2023-08-05 00:00:00,Hiroshima Nagasaki Park,30,Gedenken 78 Jahre Atomwaffenabwürfe auf Hiroshima und Nagasaki
2023-08-05 00:00:00,Roncalliplatz,1500,Revolution im Iran am 05.08.1906 - Alle sind vor dem Gesetz gleich und die Willkürlichkeit und der Absolutismus sind nicht richtig
2023-08-05 00:00:00,Domplatte,70,Massentierhaltung abschaffen
2023-08-05 00:00:00,Bezirksrathaus Kalk,5,Kinderarmut - Kindergrundsicherung
2023-08-05 00:00:00,Breslauer Platz,50,Menschenrechtsverletzung im Iran
2023-08-05 00:00:00,Ludwigstraße 17,15,Tierrechte/Veganismus
2023-08-06 00:00:00,Blücherpark,60,Bilderstöckchen spricht! 7 Speaker Corner: Ziviler Ungehorsam und Klimapolitik
2023-08-08 00:00:00,Danteweg,30,Protest gegen die Aberkennung lesbischer Elternschaft/Austragung eingetragener Elternschaft in gleichgeschlechtlichen Beziehungen in Italien
2023-08-09 00:00:00,Luxemburger Straße 93,20,Gegen die Zwangsräumung von Obdachlosen
2023-08-10 00:00:00,Innere Kanalstaße (Höhe Lis-Böhle-Park),15,"Frieden schaffen ohne Waffen, Keine Waffenlieferungen in Kriesengebiete"
2023-08-10 00:00:00,Breite Straße ,10,Öffentlich-rechtlicher Rundfunk und freie Presse stärken und erhalten! Kein Platz für Fake News & Manipulation!
2023-08-10 00:00:00,Breite Straße/Auf der Ruhr,20,Wir wollen den runden Tisch mit dem ÖFR
2023-08-11 00:00:00,Wilhelmsplatz Bahnhofsvorplat,100,Aufruf zum Großstreik  von Fridays For Future am 15.09
2023-08-12 00:00:00,Bahnhofsvorplatz,30,"Rabaa al- Adawiya, Blut trocknet nicht: 10 Jahre seit dem Massaker von Rabaa al-Adawiya in Ägypten 2013"
2023-08-12 00:00:00,"Josef-Haubrich-Hof
Kaiser-Wilhelm-Ring",20,Gegen polizeiliche Videoüberwachung im öffentlichen Raum
2023-08-12 00:00:00,Breslauer Platz,50,Gegen islamische Regierungen im Iran und Afghanistan
2023-08-12 00:00:00,Alter Markt,100,Demokratie für Belarus! Keine Diktatur: Nicht vergssen! Nicht verzeihen!
2023-08-12 00:00:00,Schildergasse/Zeppelinstraße,8,Friede in der Welt
2023-08-12 00:00:00,Rösrather Straße 2,15,globale Disparitäten in der Klimakrise
2023-08-12 00:00:00,Hohenstaufernring 28,8,Protest gegen die reine Stallhaltung von Milchkühen
2023-08-12 00:00:00,Neumarkt/Apostelnstraße,10,Klimakrise und globaler Klimastreik
2023-08-12 00:00:00,Wiener Platz,10,Gesellschaftspolitische Themen im Einklang mit der Bibel
2023-08-13 00:00:00,Hans-Böckler-Platz           Friesenplatz,200,Situation afghanischer Geflüchteter 
2023-08-14 00:00:00,"Leverkusen, Friedrich-Ebert-Platz",100,"1. Jahrestag der Versammlung ""Ich möchte mein Aufenthaltsrecht zurück"""
2023-08-15 00:00:00,Bahnhofsvorplatz                Heumarkt,400,Es lebe der Widerstand des Kurdischen Volkes gegen den Terrorstaat Türkei
2023-08-15 00:00:00,"Kerpener Straße 62, Uniklinik",30,Schluss mit den erniedrigenden Methoden der Uniklinik Köln gegen politische Gefangene
2023-08-15 00:00:00,JVA Ossendorf,30,Schluss mit den erniedrigenden Methoden der Uniklinik Köln gegen politische Gefangene
2023-08-16 00:00:00,Domplatte (Blau-Gold-Haus),10,Evangelium / Evangelisation / Christenverfolgung
2023-08-17 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
2023-08-17 00:00:00,Grüngürtel ,20,Klimaschutz ist Gesundheitsschutz
2023-08-17 00:00:00,Theo-Burauen-Platz,12,Schafft die Obdachlosigkeit ab!
2023-08-17 00:00:00,Breite Straße / Auf der Ruhr,20,Wir wollen den runden Tisch mit dem ÖFR
2023-08-18 00:00:00,"Str. des 17. Juni 4, Kannebäcker Straße/Höhrer Weg",20,Wir tragen die soziale Verantwortung der GAG zu Grabe
2023-08-18 00:00:00,"Kalk Post
Bürgerpark Kalk",50,Klimakrise und globaler Klimastreik
2023-08-18 00:00:00,Bahnhofstraße / Mühlenstraße / An der Sparkasse,10,Klimakrise und globaler Klimastreik
2023-08-19 00:00:00,Rudolfplatz,100,"Aktionstag #IchBinArmutsbetroffen Wohnen, Energie, Ernährung"
2023-08-19 00:00:00,Kalk Post - Dillenburger Straße ,200,Weniger Autos und mehr Grün in Kalk
2023-08-19 00:00:00,Wiener Platz,1000,100 Jahere Lausanne-Abkommen
2023-08-19 00:00:00,Bahnhofsvorplatz,100,Stoppt die Unterdrückung der Frauen im Iran
2023-08-19 00:00:00,Vietorstraße/Kalker Hauptstraße,10,Klimakrise und globaler Klimastreik
2023-08-19 00:00:00,Schildergasse (P&C),40,Wo sind die Wurzeln unserer christlichen Grundwerte?
2023-08-20 00:00:00,Schildergasse (P&C),25,Frieden und Freiheit für Mensch und Gesellschaft
2023-08-20 00:00:00,Deutzer Werft bis Deutzer Werft,1000,Frieden mit Russland
2023-08-20 00:00:00,Am Schokoladenmuseum 1 A,50,Keine Putin-Propaganda in Köln
2023-08-20 00:00:00,Heinrich-Böll-Platz,150,Weltweit Aktion zum dritten Jahrestag des Attentatsversuchs auf Alexej Nawalny
2023-08-20 00:00:00,Kalscheurer Weiher,200,Spiritueller Beitrag für den Frieden
2023-08-20 00:00:00,Schokoladenmuseum,,Kinderschutz:Ukrainische Demonstration 
2023-08-20 00:00:00,Heumarkt,100,Protest gegen Prop-Kreml Autokorso
2023-08-22 00:00:00,Neumarkt,4,Folterung Mohamed Abdallah
2023-08-23 00:00:00,Bahnhofsvorplatz,50,Für Freiheit der politischen Gefangenen
2023-08-24 00:00:00,Heumarkt,5000,"Ukrainischer Unabhängigkeitstag: Gemeinsam für ein freies, friedliches und gerechtes Europa"
2023-08-24 00:00:00,Kalk Post,10,Antikrieg
2023-08-24 00:00:00,Dillenburger Straße 25,10,Entzug der Aufenthalte mehrerer Personen
2023-08-24 00:00:00,Breite Straße/Auf der Ruhr,20,Wir wollen den runden Tisch mit dem ÖFR
2023-08-25 00:00:00,Ausgang Bahnhof Deutz,10,Krieg ist kein Spiel
2023-08-26 00:00:00,Barthonia-Forum bis Sudermannplatz,150,Verkehrswende und IAA in NRW 
2023-08-26 00:00:00,Bahnhofsvorplatz,30,Gentechnik
2023-08-26 00:00:00,Roncalliplatz,40,Solidarität mit den Samstagsmüttern
2023-08-26 00:00:00,Grünfläche Am Kölnberg/Auf der Fuhr,15,Love & Peace Tour 2023
2023-08-27 00:00:00,Fühlinger See,300,50 Jahre Fordstreik und die Bilanz migrantischer Kämpfe
2023-08-27 00:00:00,Wallrafplatz,10,"Tierrechte, Veganismus"
2023-08-27 00:00:00,Domplatte (Domforum),20,Verkündigung des Evangeliums
2023-08-28 00:00:00,Kölner Zoo,10,Tiergefängnisse abschaffen!
2023-08-28 00:00:00,Bahnhofsvorplatz,150,Terrorstaat Türkei tötet in Süd- und Westkurdistan
2023-08-29 00:00:00,Theo-Burauen-Platz,50,Erhalt der Kölner Kindertagespflege
2023-08-30 00:00:00,Dellbrücker Hauptstraße,10,Klimakrise und globaler Klimastreik
2023-08-30 00:00:00,Obenmarspforten 40,20,Wir wollen den runden Tisch mit dem ÖFR
2023-08-31 00:00:00,Zülpicher Straße/Alfons-Silbermann-Weg,10,"Frieden, Verhandlungen in der Ukraine, nur zivile Forschung und Bildung an Universitäten"
2023-08-31 00:00:00,Dillenburger Straße 25,10,Entzug der Aufenthalte mehrerer Personen
2023-09-01 00:00:00,"Schaafenstraße
Ebertplatz",150,5. Cologne naked bike ride
2023-09-01 00:00:00,Hans-Böckler-Platz,25,Krieg dem Krieg - Arbeiter schießen nicht auf Arbeiter
2023-09-01 00:00:00,Wiener Platz,100,Krieg dem Krieg   
2023-09-01 00:00:00,Gerhard-Wilczek-Platz bis Lindenbornstraße,150,"Fahrradschulbus, Anmahnen von sicherer Radinfrastruktur für Schüler*innen"
2023-09-01 00:00:00,Venloer Straße/Spichern Straße,30,"Mahnwache für den Frieden. Exit Fossils, Enter Peace"
2023-09-01 00:00:00,Breslauer Platz,80,"Für Frieden statt Kriege, Toleranz zwischen den Religionen"
2023-09-01 00:00:00,Alter Markt,500,Instandsetzung Gymnasium Kreuzgasse
2023-09-01 00:00:00,Wiener Platz,50,Aufruf zum Großstreik am 15.09.
2023-09-02 00:00:00,Neumarkt,500,Schlachthäuser schließen
2023-09-02 00:00:00,Bahnhofsvorplatz,15,Jesus Christus - Retter der Welt
2023-09-02 00:00:00,Roncalliplatz,50,"Hoffnung, Liebe, Einheit"
2023-09-02 00:00:00,Rudolfplatz ,200,Aufklärungsmarsch zum Thema Endometriose
2023-09-02 00:00:00,Schanzenstraße,350,Gedektag von Iman Hussein - Enkelsohn des Propheten Mohammed
2023-09-02 00:00:00,Domplatte BGH,15,"Für Glaube, Liebe, Hoffnung - Gemeinsam durch die Krisen der heutigen Zeit"
2023-09-02 00:00:00,Schildergasse/Zeppelinstraße,8,Die Liebe und die Freiheit
2023-09-02 00:00:00,Ludwigstraße 17,35,Pelzdemo
2023-09-02 00:00:00,Deutzer Freiheit/Siegburger Straße,10,Klimakrise und globaler Klimastreik
2023-09-02 00:00:00,Barthonia Forum,10,Klimakrise und globaloer Klimastreik
2023-09-03 00:00:00,Roncalliplatz 4,50,Waffenlieferunge & Gedenken an Opfer des Terroranschalges vom 01.09.2009
2023-09-03 00:00:00,Luxemburger Straße,50,Pop-up Bikelane zur Demonstration für mehr und sichere Fahrradwege in Köln
2023-09-04 00:00:00,Breite Straße / Cafe Extrablatt,50,Mobilitätswende Pro Bahn / ÖPNV
2023-09-05 00:00:00,Ebertplatz,500,Seenotrettung
2023-09-06 00:00:00,Bahnhofsvorplatz,40,Politische Haft in der Türkei und im Iran
2023-09-06 00:00:00,Severinskirchplatz,10,Klimakrise und globaler Klimastreik
2023-09-07 00:00:00,Theo-Burauen-Platz,40,Erhalt des Krankenhauses Holweide und der Kinderklinik Amsterdamer Straße
2023-09-07 00:00:00,Rathausplatz,5,"Verkehrswende Köln, Ost-West-Achse"
2023-09-07 00:00:00,Alter Markt,200,Sitzung des Rats der Stadt Köln - Erhalt des Kölner Großmarkts als städtischer Betrieb bzw. mit städtischer Beteiligung. Verlängerung des Betriebs am jetzigen Standort bis zur Verlagerung an einen neuen Standort.
2023-09-07 00:00:00,Marsplatz,12,Mahnwache zur  27. Ratssitzung
2023-09-07 00:00:00,Glülichplatz,12,Schafft endlich die Obdachlosigkeit ab
2023-09-07 00:00:00,Roncalliplatz,50,Anti-Rammstein-Demo
2023-09-07 00:00:00,Breite Straße 28,13,Öffentlich rechtlichen Rundfunk & freie Presse stärken und erhalten! Kein Platz für Fakenews und Manipulation!
2023-09-07 00:00:00,Dillenburger Straße 25,10,Entzug der Aufenthalte mehrerer Personen
2023-09-07 00:00:00,Breite Straße/Mörsergasse,20,Wir wollen den runden Tisch mit dem ÖFR
2023-09-09 00:00:00,Bahnhofsvorplatz,50,Flashmob mit dem Thema: Gleichstellung von Frauen in der Katholischen Kirche
2023-09-09 00:00:00,"Roncalliplatz
Heumarkt",8000,Menschenrecht auf Asyl
2023-09-09 00:00:00,Zehntstraße 21-45,80,Mehr Raum für Kinder - Autofreier Nachmittag
2023-09-09 00:00:00,"Breslauer Platz, Bahnhofsvorplatz",25,Christliche Werte in Politik und Gesellschaft
2023-09-09 00:00:00,Liverpooler Platz,10,Klimakrise und globaler Klimastreik
2023-09-09 00:00:00,Wiener Platz,10,Klimakrise und globaler Klimastreik
2023-09-10 00:00:00,Neusser Straße,500,Freiraumdemo: Die Neusser Straße als Ort der Begegnung und Gemeinschaft
2023-09-10 00:00:00,Volksgarten (Höhe Eifeler Str.),50,Christlicher Glauben in der heutigen Gesellschaft
2023-09-10 00:00:00,Domplatte (Blau-Gold-Haus),20,Suizidprävention - Wertschätzung des Lebens
2023-09-10 00:00:00,in Kooperation ,10,Erinnerung an den laufenden Krieg in der Ukraine
2023-09-12 00:00:00,Heinrich-Lübke-Ufer bis Rodenkirchener Leinpfad,50,"Rodenkirchener Brücke, erhalten, was verbindet"
2023-09-12 00:00:00,Justizzentrum,40,Klima schützen ist kein Verbrechen - Shell to hell
2023-09-12 00:00:00,Domplatte (Römerbogen),20,Klimagerechtigkeit und globaler Klimastreik
2023-09-14 00:00:00,Neptunplatz,10,Die globalen Auswirkungen der Pandemie auf die Gesundheit von Frauen und Kindern
2023-09-14 00:00:00,Melchiorstraße ,200,Temporäre Spielstraße: Anmahnen von mehr Freiräumen und Sicherheit für Kinder und Jugendliche im öffentlichen Raum
2023-09-14 00:00:00,Breite Straße/Auf der Ruhr,20,Wir wollen den runden Tisch mit dem ÖFR
2023-09-14 00:00:00,"Leverkusen, Kaiser-Wilhelm-Allee",30,Protest gegen Glyphosat-Verlängerung in der EU
2023-09-15 00:00:00,"Komödienstraße (Höhe Marzellenstraße bis Tunistraße); Überlauf: Tunisstraße (Höhe Komödienstraße bis Unter Sachsenhausen) Alter Markt, Heumarkt, Chlodwigplatz      Parking Day: Bonner Straße (Höhe Teuteburger Str. bis Bonner wall) inkl. Parkplätze links und rechts; Überlauf: Bonner Straße (Chlodwigplatz bis Teuteburger Str)",10000,"13. Globaler Klimastreik unter dem Motto „Don’t talk – FIGHT!FIGHT!“ (Aufzug zu Fuß, Fahrrad und Parking Day)"
2023-09-15 00:00:00,Heumarkt bis Neumarkt,200,Jahrestag des Todes der durch das iranische Regime getöteten Jina Amini und Solidarität mit Iran
2023-09-15 00:00:00,"Leverkusen, Overfeldweg
Leverkusen, Friedricht-Ebert-Platz",50,Internationaler Klimastreik
2023-09-15 00:00:00,Breslauer Platz,100,Gegen islamische Republik im Iran
2023-09-15 00:00:00,Domplatte Domforum,50,Kindesentziehung durch den Staat
2023-09-15 00:00:00,Berliner Straße 33-37,20,"Green Parking Day. Für eine Nutzung von öffentlichem Raum, die allen Menschen zugute kommt."
2023-09-15 00:00:00,Deutzer Freiheit 63-65,15,Lebenswerte Deutzer Freiheit: Mehr Aufenthaltsqualität durch weniger Parkplätze im öffentlichen Raum
2023-09-15 00:00:00,"Leverkusen, Kölner Straße 65-67",7,Ineternationaler Parking Day
2023-09-16 00:00:00,Heumarkt,1000,Marsch für das Leben
2023-09-16 00:00:00,Bahnhofsvorplatz,100,Protest gegen iranische Politik
2023-09-16 00:00:00,Domplatte BGH,25,Für Demokratie und gegen Diktatur im Iran
2023-09-16 00:00:00,Aachener Weiher,500,Für Demokratie und gegen Diktatur im Iran
2023-09-16 00:00:00,Ottoplatz,400,"Jahrestag der Bewegung Frau, Leben, Freiheit"
2023-09-16 00:00:00,Deutzer Werft,200,Freiheit für Iran
2023-09-16 00:00:00,Ebertplatz,700,"Jahrestag der Ermordung von Jina Amini durch iranische Sicherheitskräfte. Gedenken an Jina und viele andere, die ihr Leben für Freiheit geopfert haben"
2023-09-16 00:00:00,Heumarkt,2500,Gegenprotest zum Marsch für das Leben 2023
2023-09-16 00:00:00,Schildergasse (P&C),30,Jahrestag iranische Bewegung
2023-09-16 00:00:00,Cäcilienstraße,5,Das Abtreibungskartell der Katholischen Kirche
2023-09-16 00:00:00,Heumarkt bis Heumarkt,500,"LGBTQI* gegen den og. ""Marsch für das Leben"" und für Frauenrechte"
2023-09-16 00:00:00,Cäcilienstraße,35,Klare Kante gegen fundamentalistische Abtreibungsgegener und Faschisten
2023-09-16 00:00:00,Apostelkloster,20,"Frauenrechte gestern und heute, Selbstbestimmung der Frau"
2023-09-16 00:00:00,Appellhofplatz,20,Freiheit und Selbstbestimmungsrecht 
2023-09-16 00:00:00,Bahnhofsvorplatz bis Kurt-Hackenberg-Platz,70,Klare Kante gegen fundamentalistische Abtreibungsgegner und Faschisten
2023-09-16 00:00:00,"Bahnhofsvorplatz
Rheinufer",50,Jahrestag Hinrichtungen der tausenden politischen Gefangenen
2023-09-16 00:00:00,Piazza im Gerling-Quartier,500,En unserem Veedel - gegen Privatisierun im öffentlichen Raum
2023-09-16 00:00:00,Unter Goldschmied 6,25,Sex vor Schwangerschaft verbieten!
2023-09-17 00:00:00,Bahnhofsvorplatz - Alte Feuerwache,100,"6.Fancy Women Bike Ride Köln, Selbstbestimmte Mobilität für Frauen"
2023-09-17 00:00:00,Wiener Platz,1000,Ein Jahr Jina-Revolution im Iran - Gedenken an die Opfer
2023-09-19 00:00:00,Porz Markt/Hermannstraße,5,Europa und das Klima
2023-09-20 00:00:00,Roncalliplatz,200,"Zuspruch statt Abmahnung - Segen für Köln, Segnung aller liebenden Paare"
2023-09-20 00:00:00,Friedrich-Ebert-Platz,150,Weltkindertag 2023 - Jedes Kind braucht eine Zukunft
2023-09-20 00:00:00,Bahnhofsvorplatz,20,Für die Pro-Familien-Bewegung und die katholische Ehe und Sittenlehre
2023-09-20 00:00:00,Breslauer Platz,150,Nato Bündnispartner & Terrorstaat Türkei tötet in Süd- und West Kurdistan
2023-09-21 00:00:00,Magnusstraße 18,10,Kindergeldkürzung
2023-09-21 00:00:00,Stadtgarten/Venloer Straße,30,"Mahnwache für den Frieden. Exit Fossils, Enter Peace"
2023-09-21 00:00:00,Breite Straße/Auf der Ruhr,20,Wir wollen den runden Tisch mit dem ÖFR
2023-09-22 00:00:00,Kugelbrunnen Thielenbruch bis Graf-Adolf-Straße,106,Fahrradbus - Fahrraddemo
2023-09-22 00:00:00,Gertrud-Luckner-Karree,70,"Fahrradbus, Anmahnen von sicherer Radinfrastruktur für Schüler*innen"
2023-09-22 00:00:00,Bertha-Sander-Straße bis Rochusstraße,150,"Fahrradbus, Anmahnen von sicherer Radinfrastruktur für Schüler*innen"
2023-09-22 00:00:00,Domplatte Domforum,30,Menschenrechtslage in Sri Lanka
2023-09-22 00:00:00,Schillplatz bis Grundschule Kretzerstraße,150,Fahrradbus - Anmahnen von sicherer Radinfrastruktur für Schüler*innen
2023-09-22 00:00:00,Kretzerstraße 5-7,300,Schulstraße: Anmahnen von sicheren Schulwegen und Freiräumen für Kinder im Rahmen der Kinderrechte
2023-09-22 00:00:00,Pfarrer-Maybaum-Weg 47 bis Am Rosenmaar 3,70,"Fahrradbus, Anmahnen von sicherer Radinfrastruktur für Schüler*innen"
2023-09-22 00:00:00,Kirchplatz St. Hermann-Josef Amselstraße,350,"Kidical Mass Köln, Anmahnen von sicherer Radinfrastruktur und Freiräumen für Kinder und Jugendliche"
2023-09-22 00:00:00,Kyllburger Straße,300,Schulstraße: Anmahnen von sicheren Schulwegen und Freiräume für Kinder
2023-09-22 00:00:00,Freiligrathstraße,200,Schulstraße: Anmahnen von sicheren Schulwegen und Freiräume für Kinder und Jugendliche
2023-09-22 00:00:00,Sechzigstraße bis Bernhard-Letterhaus-Straße,50,Fahrradbus zur Nikolaus-Groß-Schule
2023-09-22 00:00:00,Weinsbergstraße/Fröbelstraße,50,"Pop-up-Zebrastreifen, Anmahnen zur Umsetzung der beschlossenen Einrichtung eines Zebrastreifen"
2023-09-22 00:00:00,Gillbachstraße,200,Schulstraße: Anmahnen von sicheren Schulwegen und Freiräumen für Kinder und Jugendliche
2023-09-22 00:00:00,Bernhard-Letterhaus-Straße,200,Schulstraße: Anmahnen von sicheren Schulwegen und Freiräumen für Kinder und Jugendliche
2023-09-22 00:00:00,Heumarkt,150,Brücken bauen für Europa - Das Rheinland für die Uraine
2023-09-22 00:00:00,Rhöndorfer Straße/Gottesweg bis Am Wassermann (Heliosschule),100,"Fahrradbus, Anbahnen von sicherer Radinfrastruktur für Schüler*innen"
2023-09-22 00:00:00,"Holsteinstraße
Ferdinandstraße (Montessoristraße)",50,"Fahrradbus, Anmahnen von sicherer Radinfrastruktur für Schüler*innen"
2023-09-22 00:00:00,St. Anna bis Am Wassermann 33,100,"Fahrradbus, Anmahnen von sicherer Radinfrastruktur für Schüler*innen"
2023-09-22 00:00:00,"Leverkusen, Am Stadtpark 50",15,Elterntaxis - wir sind dagegen
2023-09-23 00:00:00,Burgunderstraße/Am Duffesbach,200,Mehr Freiraum fürs Winzerveedel
2023-09-23 00:00:00,Domplatte (Domforum),60,"Tierrechte, Veganismus"
2023-09-23 00:00:00,Heumarkt,3500,Bildungswende Jetzt!
2023-09-23 00:00:00,Bergerstraße,150,Temporäre Spielstraße: Anmahnen von mehr Freiräumen und Sicherheit für Kinder und Jugendliche im öffentlichen Raum
2023-09-23 00:00:00,Wiener Platz,80,Echter Sozialismus statt Rechtsentwicklung und AFD
2023-09-23 00:00:00,Hohe Straße / Grüzenichstraße,20,Tierrechtsaktivismus
2023-09-23 00:00:00,Ludwigstraße 17,15,Tierrechte/Veganismus
2023-09-24 00:00:00,An St Andreas bis Am Stadtpark (Leverkusen)       Zubringer: Bürrig bis Konrad-Adenauer-Platz,250,Kidical Mass Leverkusen
2023-09-24 00:00:00,Rudolfplatz bis Kreutzerstraße 5-9            ,1000,Kidical Mass
