Datum,Unnamed: 1,erwartete TN-Zahl,Thema
2023-01-30 00:00:00,Bahnhofsvorplatz,25,Afghanistan not Safe
2023-02-01 00:00:00,Heumarkt ,100,Gegen Hijab Day
2023-02-01 00:00:00,Bahnhofsvorplatz,25,Politische Haft in der Türkei und im Iran
2023-02-02 00:00:00,Dillenburger Straße 25,10,Entzug der Aufenthalte mehrerer Personen
2023-02-03 00:00:00,Domplatte (Blau-Gold-Haus),20,Stoppt die Hinrichtungen - Menschenrechte im Iran
2023-02-04 00:00:00,Domplatte (Blau-Gold-Haus),70,"Freude, Friede, Hoffnung, Liebe"
2023-02-04 00:00:00,Heumarkt ,3000,"Frauen Leben Freieheit Köln, Iran Demo"
2023-02-04 00:00:00,Wuppertalstr.8 Leverkusen,20,Fuchsjagd stoppen!
2023-02-04 00:00:00,Schildergasse,25,Tierrechtsaktivismus
2023-02-04 00:00:00,Roncalliplatz,1000,Unterstützung der Freiheitsbewegung im Iran - Vereinigung der politischen Parteien/Opposition
2023-02-04 00:00:00,Rudolfplatz,200,Safe Abortion! Solidaritätskundgebung mit Justyna Wydrzynska
2023-02-04 00:00:00,Neumarkt ,3000,"Frauen Leben Freieheit Köln, Iran Demo"
2023-02-04 00:00:00,Alter Markt,200,Friedensdemo
2023-02-04 00:00:00,Bahnhofsvorplatz,25,Politischer Islam - Muezzinruf
2023-02-04 00:00:00,Wallrafplatz,5,Tierrechte
2023-02-04 00:00:00,Friedrich-Engels-Straße/Berrenrather Straße,12,Schafft die Obdachlosigkeit ab!
2023-02-04 00:00:00,Alter Markt,10,"Gegen Querdenker*innen, die heute friedensbewegt sind"
2023-02-05 00:00:00,Roncalliplatz,1000,Unterstützung der Freiheitsbewegung im Iran - Vereinigung der politischen Parteien/Opposition
2023-02-07 00:00:00,Breite Straße/Auf dem Berlich,10,Für mehr Klimaschutz
2023-02-08 00:00:00,Hans-Böckler-Platz,30,Unterstützung der Arbeiterbewegung im Iran
2023-02-09 00:00:00,Theo-Burauen-Platz,10,Verkehrswende
2023-02-09 00:00:00,Alter Markt,1000,Tarifrunde öffentlicher Dienst - Streikversammlung
2023-02-09 00:00:00,Theo-Burauen-Platz,30,Erhalt des Krankenhauses Holweide
2023-02-09 00:00:00,Offenbachplatz,100,Warnstreik öffentlicher Dienst
2023-02-09 00:00:00,Theo-Burauen-Platz,12,Schafft die Obdachlosigkeit ab!
2023-02-10 00:00:00," - Bahnhofplatz
 - Schanzenstraße 8",10,Krieg in der Ukraine
2023-02-11 00:00:00,Roncalliplatz ,200,Freiheit für Iran
2023-02-11 00:00:00,Heumarkt ,3000,"Frauen Leben Freieheit Köln, Iran Demo"
2023-02-11 00:00:00,Deutzer Werft,800,Gegen das Mullah-Regime im Iran zum Jahrestag der iranischen Revolution 1979
2023-02-11 00:00:00,Bahnhofsvorplatz,100,Protest gegen Politik im Iran
2023-02-11 00:00:00,"Zoo/Flora, Wilhelmplatz",1500,"Geisterzug „Fastelovend es för all – halal, koscher un liberal“, Mir fiere politisch"
2023-02-11 00:00:00,"Ludwigstraße 17/Ecke Minoritenstraße
Domplatte",20,Pelzdemo/Tierrechtsaktivismus
2023-02-11 00:00:00,Engelbertstraße 37,10,Gegen Leerstand
2023-02-11 00:00:00,Bahnhof Mülheim bis Wiener Platz,,"Nicht das Erdbeben, sondern der türkische Staat tötet"
2023-02-13 00:00:00,Am Büchelter Hof 9 bis Friedrich-Ebert-Platz,100,Laufende Tarifverhandlungen für den öffentlichen Dienst VKA/Bund
2023-02-14 00:00:00,Neumarkt,300,One Billion Rising - weltweiter Aktionstag gegen Gewalt an Frauen
2023-02-14 00:00:00,"Leverkusen, Hauptstraße 150",250,Keinen Meter mehr! - Aufruf zum friedlichen Protest am 14. Februar 2023 an der Bürgerhalle in Wiesdorf
2023-02-14 00:00:00,Bahnhofsvorplatz,20,Mahnwache für die Verstorbenen auf der Sea-Eye 4 und alle weiteren bei der Flucht über das Mittelmeer Verstorbenen
2023-02-14 00:00:00,L. Fritz-Gruber-Platz,300,Warnstreik TVÖD
2023-02-14 00:00:00,Hertha-Kraus-Straße/Boltensternstraße,120,Warnstreik Tarifauseinandersetzung Öffentlicher Dienst/Sozialbetriebe Köln gGmbH
2023-02-14 00:00:00,Breite Straße/Auf dem Berlich,8,Für mehr Klimaschutz
2023-02-15 00:00:00,Bahnhofsvorplatz,100,Der internationale Komplott gegen Abdullah Öcalan und das kurdische Volk
2023-02-15 00:00:00,Roncalliplatz,50,Gegen Exekution
2023-02-15 00:00:00,Breslauer Platz,50,Unterstützung des iranischen Volkes
2023-02-15 00:00:00,Schildergasse Antoniterkirche vor P&C,25,Solidaritätskundgebung mit den Betroffenen des Erdbebens in der Türkei
2023-02-15 00:00:00,Severinstorburg,40,Verhandeln statt Töten!
2023-02-16 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
2023-02-17 00:00:00,Keupstraße/Schanzenstraße,25,Solidaritätskundgebung mit den Betroffenen des Erdbebens in der Türkei
2023-02-18 00:00:00,Wilhelmplatz,1500,"Geisterzug „Fastelovend es för all – halal, koscher un liberal“"
2023-02-18 00:00:00,Domplatte BGH,25,Tierrechtsaktivismus
2023-02-18 00:00:00,Bahnhofsvorplatz,30,Gegen Muessinruf
2023-02-18 00:00:00,Roncalliplatz,300,Solidarität Erdbebenopfer
2023-02-18 00:00:00,Domplatte (Blau-Gold-Haus),20,Tierrechte & Veganismus
2023-02-19 00:00:00,Wiener Platz,200,3 Jahre nach dem Anschlag in Hanau
2023-02-19 00:00:00,Wilhelmplatz                             Ebertplatz,400,Anti-Rassismus
2023-02-19 00:00:00,Kalk Post bis Ottmar-Pohl-Platz,400,Gegen Rassismus
2023-02-20 00:00:00,Heumarkt ,100,Ov krüzz oder quer - umverteilen muss her! 
2023-02-20 00:00:00,Ottoplatz,30,Zug vor dem Zug - ov krüzz und quer
2023-02-21 00:00:00,Breite Straße/Auf dem Berlich,8,Für mehr Klimaschutz
