"Datum
",Ort/e der Kundgebung,"erwartete TN-Zahl
",Thema
2022-02-26 00:00:00,Heumarkt,200,Nein zum Krieg  
2022-02-26 00:00:00,"Rathausvorplatz, Leverkusen",100,Für eine Welt ohne Krieg und Gewalt 
2022-02-27 00:00:00,Boisseréestraße 14-18,12,Mehr Grün im Stadtteil und Freiräume für Kinder
2022-02-27 00:00:00,Frankenplatz,50,Gedenkmarsch für Boris Nemzow
2022-02-27 00:00:00,Roncalliplatz,1000,Frieden für Europa! Solidarität mit der Ukraine jetzt!
2022-02-27 00:00:00,"Höninger Weg/Ecke Gottesweg (keine Kundgebung, nur Aufzug) ",100,Zollstocker Friedensdemonstration
2022-02-27 00:00:00,"Start Lembacher Weg 87 (keine Kundgebung, nur Aufzug)",60,FFF-Feinripps für Frieden in der Ukraine
2022-02-28 00:00:00,Eierplätzchen                             Bonner Straße/Kurfürstenstraße             Chlodwigplatz Severinskirchplatz,25,"""All dat hät sing Zick eröm"" - Schluss mit Braunkohle, Rüstungsexporten und Wachstumswahn"
2022-02-28 00:00:00,Deutzer Werft,1500,Nie wieder Faschismus! Stoppt den Impfzwang! Schluss mit der Spaltung der Gesellschaft!
2022-02-28 00:00:00,Ottoplatz,150,Wir sind solidarisch!
2022-02-28 00:00:00,Friedrich-Ebert-Platz,100,"Freiheit, Demokratie, Menschenrechte, freie Gesellschaft"
2022-02-28 00:00:00,Chlodwigplatz,30000,Kölner Karneval für Frieden in Europa
2022-03-01 00:00:00,Ensen Marktplatz,15,Politischer Musik-Spaziergang für Frieden - gegen die falsche Maskerade und Pseudo-Lockerungen 
2022-03-01 00:00:00,Marktplatz Porz Ensen,50,Schluss mit Lustig - Gegen Verschwörungsirrsinn
2022-03-01 00:00:00,Martin-Luther-Platz,50,Für Frieden - Kein Krieg in der Ukraine!
2022-03-02 00:00:00,Domplatte (Kreuzblume),80,Wem gehört die Kirche
2022-03-02 00:00:00,Bahnhofsvorplatz,40,Politische Haft in der Türkei
2022-03-02 00:00:00,"Freitreppe, Rheinboulevard",50,Erinnern an die Opfer der Pandemie
2022-03-03 00:00:00,"Leverkusen, Königsberger Platz",20,"Grundrechte, Freiheit"
2022-03-03 00:00:00,Heumarkt,2000,Solidarität mit der Ukraine
2022-03-03 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
2022-03-04 00:00:00,Wiener Platz,100,Menschenleben vor Profite
2022-03-04 00:00:00,Zeppelinstraße/Schildergasse,8,Frieden - Freiheit - Kein Krieg
2022-03-04 00:00:00,Wallrafplatz,5,Tierrechte
2022-03-05 00:00:00,St. Engelbert bis Naumannplatz,100,"Für Solidarität, Meinungsfreiheit und Demokratie - auch in der Pandemie"
2022-03-05 00:00:00,"Kalk Post, PP Köln",100,Nein zur Kamera-Überwachung in Kalk
2022-03-05 00:00:00,Kalk Post,25,Teilhabe von Jugendlichen
2022-03-05 00:00:00,Roncalliplatz,400,Nie wieder Krieg! Nie wieder Faschismus! Stoppt den Impfzwang! Schluss mit der Spaltung!
2022-03-05 00:00:00,"Neumarkt
Heumarkt",500,Protest gegen die Coronapolitik an den Schulen bundesweit
2022-03-05 00:00:00,Dellbrücker Hauptstraße 64,150,Frieden in der Ukraine und überall
2022-03-05 00:00:00,Chlodwigplatz,50,"Die Waffen müssen schweigen, überall!"
2022-03-06 00:00:00,Roncalliplatz,500,Demokratie in Europa
2022-03-06 00:00:00,Lenauplatz,20,Solidarität mit den Opfern des Ukrainekrieges
2022-03-06 00:00:00,Wiener Platz,600,Köln gegen Rassismus an den ukrainischen Grenzen
2022-03-06 00:00:00,Chlodwigplatz,100,Gegen ihre Kriege
2022-03-07 00:00:00,"Alter Markt, Heumarkt, Rautenstrauch-Joest-Museum, Neumarkt, Rudolfplatz, Friesenplatz, Bahnhofsvorplatz",5000,Köln ist solidarisch - Klare Kante zeigen für Demokratie
2022-03-07 00:00:00,Wiener Platz,20,Frauenstreik Café 
2022-03-07 00:00:00,Heumarkt,20,Köln ist solidarisch
2022-03-07 00:00:00,"Leverkusen, Friedrich-Ebert-Platz",100,"Freiheit, Demokratie, Menschenrechte, freie Gesellschaft"
2022-03-08 00:00:00,"Wiener Platz, Kalk Post",150,Internationaler Frauentag
2022-03-08 00:00:00,Deutzer Werft bis Heumarkt,1200,Warnstreik kommunale Kitas und soziale Arbeit
2022-03-08 00:00:00,Hans-Böckler-Platz,50,Versammlung im Rahmen der Tarifrunde TvöD
2022-03-08 00:00:00,Ebertplatz bis Alter Markt,3000,"Feministischer Kampftag: Überlastet, Ungesehen, Un(ter)bezahlt"
2022-03-08 00:00:00,Chlodwigplatz,10,Aufmerksam machen auf moderne Sklaverei insbesondere von Frauen anlässlich Weltfrauentag
2022-03-08 00:00:00,Alter Markt,20,Weltfrauentag
2022-03-08 00:00:00,Alter Markt,15,Aufklärung zu frauenpolitischen Themen
2022-03-08 00:00:00,Roncalliplatz,50,Mahnwache zum feministischen Kampftag
2022-03-08 00:00:00,Joseph-Stelzmann-Straße 9,15,Internationaler Frauentag
2022-03-08 00:00:00,-,280,Friedensdemo gegen den Krieg in der Ukraine
2022-03-08 00:00:00,Stellwerk 60,30,Frieden für die Ukraine 
