ab August 2022,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,,,,,,,,,,,,,,,,,,,,,,,,,
Datum,Beginn,Ende,Örtlichkeit (ink. AKG + SKG),Art,Organisation,Thema,angezeigte Teilnehmerzahl,,,,,,,,,,,,,,,,,,,
2022-08-20 00:00:00,18.00,20.45,Neuhauser Str. Höhe Fischereimuseum,stationär,Anonymous for the voiceles,Activists for the Victims,5-20,,,,,,,,,,,,,,,,,,,
2022-08-20 00:00:00,11.45,19.30,Hohenzollernplatz,stationär,Falun Gong ,Beendigung der Verfolgung und des Organraubs ,30,,,,,,,,,,,,,,,,,,,
2022-08-20 00:00:00,10.00,12.00,Max-Joseph-Platz,stationär,,Wir die Bürgerinitiative Königsberg zurück! Möchten die Öffentlichkeit über unsere Petition in den Bundestag informieren,5,,,,,,,,,,,,,,,,,,,
2022-08-20 00:00:00,14.00,18.00,Oertelplatz,stationär,,"christliche Werte, Freiheit",5-10,,,,,,,,,,,,,,,,,,,
2022-08-21 00:00:00,17.00,22.00,MPL,stationär,Active Love,Active Love,,,,,,,,,,,,,,,,,,,,
2022-08-21 00:00:00,13.30,15.30,Tierpark Hellabrunn (Tierparkstr. / Schlichtweg),stationär,,"Tierpark aus Sicht der eingesperrten, vor Allem nicht einheimischer Tiere, den Besuchenden näher bringen.",8,,,,,,,,,,,,,,,,,,,
2022-08-23 00:00:00,18.00,20.45,Karlsplatz,stationär,Anonymous for the voiceles,Activists for the Victims,5-20,,,,,,,,,,,,,,,,,,,
2022-08-23 00:00:00,15.00,18.00,Sendlinger Str. 8,stationär,Verein für vedische Kultur e.V.,Veganismus,10,,,,,,,,,,,,,,,,,,,
2022-08-24 00:00:00,18.00,21.30,Friedensengel – Friedensengel,sfv,München steht auf,"Wir laufen für öffentliche Aufklärung über Impfschäden und eine kritische Aufarbeitung der eingesetzten Mittel zur Coronaproblematik, Versammlungsfreiheit und Selbstbestimmung und setzen uns für die gewaltfreie Schaffung von Frieden ein",1000,,,,,,,,,,,,,,,,,,,
2022-08-24 00:00:00,18.00,20.00,Karlsplatz/Stachus,stationär,,Gemeinsam gegen Krieg,350,,,,,,,,,,,,,,,,,,,
2022-08-25 00:00:00,11.45,14.45,Kistlerhofstraße 60 ggü. Chin. Konsulat,stationär,,"Beendigung der 21. Jahre Folter, Organraubs und Mord an Falun Gong Praktizierenden in China",5,,,,,,,,,,,,,,,,,,,
2022-08-25 00:00:00,10:00:00,13:00:00,St.-Pauls-Platz – Geschwister-Scholl-Platz,sfv,Helfer Deutschland e.V.,"Gebet für von vorgeburtlicher Tötung bedrohte Menschen, deren Eltern und für alle Menschen, die in pränatale Kindstötung involviert sind, insbesondere Abtreibungsärzte, deren bei der Tötung assistierendes Personal und den Tod des Kindes befürwortende Berater/-innen der Mutter",25,,,,,,,,,,,,,,,,,,,
2022-08-25 00:00:00,17.00,19.00,Hopfenstraße (vor BR Hochhaus) auf öffentlicher Gehwegfläche bzw. Verkehrsfläche ,stationär,,"Mahnwache vor dem Bayerischen Rundfunk: Schluss mit Propaganda und Desinformation, Rückkehr zu einer ausgewogenen Berichterstattung. Aktionsbündnis www.LeuchtturmARD.de",5-20,,,,,,,,,,,,,,,,,,,
2022-08-25 00:00:00,18.00,19.00,Paul-Heyse-Str. 2-4 bei Merkur auf der öffentlichen Gehwegfläche,stationär,,Mahnwache für Multipolare Ausgewogene Staatsferne Medien,2-20,,,,,,,,,,,,,,,,,,,
2022-08-25 00:00:00,09.25,20.30,Karlsplatz,stationär,,Menschrechtsverletzungen im Iran,6,,,,,,,,,,,,,,,,,,,
2022-08-25 00:00:00,09.25,20.30,Sendlinger Str. 8,stationär,,Menschrechtsverletzungen im Iran,6,,,,,,,,,,,,,,,,,,,
2022-08-26 00:00:00,14.00,20.00,Max-Joseph-Pl.,stationär,(Piratenpartei) aber nicht als VA angegeben,Für eine Impfpflicht gegen Covid-19 Folgen wir dem Beispiel von Max Joseph vor 215 Jahren,20,,,,,,,,,,,,,,,,,,,
2022-08-26 00:00:00,13.00,14.00,Marienplatz,stationär,Frauen in Schwarz,Mahnwache der Frauen in Schwarz,8-15,,,,,,,,,,,,,,,,,,,
2022-08-26 00:00:00,09.25,20.30,Münchner Freiheit,stationär,,Menschrechtsverletzungen im Iran,6,,,,,,,,,,,,,,,,,,,
2022-08-26 00:00:00,09.25,20.30,Sendlinger Str. 8,stationär,,Menschrechtsverletzungen im Iran,6,,,,,,,,,,,,,,,,,,,
2022-08-27 00:00:00,13.00,16.00,Stachus ,stationär,,Bilder von unschuldigen Menschen,20,,,,,,,,,,,,,,,,,,,
2022-08-27 00:00:00,14.00,16.30,Rotkreuzplatz,stationär,,Info`s auf d`Straß ,20,,,,,,,,,,,,,,,,,,,
2022-08-27 00:00:00,16:30:00,18:30:00,Max-Joseph-Pl.,stationär,,Iran,15,,,,,,,,,,,,,,,,,,,
2022-08-27 00:00:00,11.45,16.45,Marienplatz,stationär,Falun Gong ,"Beendigung der 21. Jahre Folter, Organraubs und Mord an Falun Gong Praktizierenden in China",30,,,,,,,,,,,,,,,,,,,
2022-08-27 00:00:00,09.25,20.30,Sendlinger-Tor-Platz (AIDS-Memorial),stationär,,Menschrechtsverletzungen im Iran,6,,,,,,,,,,,,,,,,,,,
