2022 bis einschließlich Juli,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Datum Versammlung,Versammlungsbeginn,Versammlungsende,Örtlichkeit (ink. AKG + SKG),Stationär / sfv,Organisation,Thema,TN-Zahl
2022-01-12 00:00:00,16:45:00,17:50:00,Am Harras - Plinganserstraße - Lindwurmstr - Sonnenstr - Stachus - Lenbach Platz - Maximiliansplatz - Brienner Str. - Wittelsbacher Platz,sfV,,Für gesellschaftlichen Zusammenhalt und individuelle Selbstbestimmung,20
2022-01-12 00:00:00,18:00:00,19:00:00,"Marienplatz Dienerstr. Residenzstr. Briennerstr.
Maximiliansplatz, Karlsplatz, Neuhauserstr. Marienplatz",sfV,,Für Versammlungsfreiheit in München,12
2022-01-12 00:00:00,18:00:00,20:30:00,HBF-München über Marienplatz in Richtung Odeonsplatz.,sfV,,"Gesunderhaltung durch Bewegung an der frischen Luft.
Eventuell noch ein bischen Shopping",20
2022-01-12 00:00:00,18:00:00,20:30:00,Odeonsplatz,Stationär,,"Freiheitsrechte, freie (Impf)Entscheidungen",20
2022-01-12 00:00:00,18:00:00,20:30:00,"Karlsplatz, Theatinerstr., Marienplatz, Isartor",sfV,,"Für Wissenschaft, gegen Geschwurbel.",5
2022-01-12 00:00:00,18:00:00,20:00:00,"Königsplatz, Marienplatz, Karlsplatz, Sendlinger Tor",sfV,,Für freies Schaufensterbummeln in der Stadt,5
2022-01-12 00:00:00,18:00:00,20:30:00,"Geschwister-Scholl-Platz, Ludwigstraße, Von-der-Tann-Str., Prinzregentenstr, Wagmüllerstraße, Thierschstraße, Maximilianstr, Max-Planck-Str, Maximilianstr, Hofgraben, Bergstraße, Marienplatz, Weinstraße, Theatinerstr., Odeonsplatz",sfV,,"Für Wissenschaft, gegen Geschwurbel.",20
2022-01-12 00:00:00,20:45:00,22:35:00,Odeonsplatz,Stationär,,Abwehrkräfte stärken,20
2022-01-12 00:00:00,17:45:00,20:30:00,Marienplatz,Stationär,,"Für Wissenschaft, gegen indirekte und direkte Impfpflicht",20
2022-01-13 00:00:00,11.00,11:30:00,Wittelsbacherpl – OPL – Wittelsbacherpl,sfv,,Wichtigkeit der Einhaltung der Infektionsschutzvorschriften.,50
2022-01-13 00:00:00,18.00,20.00,Münchner Freiheit – Münchner Freiheit,sfv,,noch offen,500
2022-01-13 00:00:00,17.00,18:15:00,Marienplatz,stationär,Parents For Future München,Mahnwache zum Klimawandel,25
2022-01-13 00:00:00,11:45:00,12:30:00,Leopoldstr. 13A zur LMU Mensa,sfV,,Für ein normales Spaziergehen ohne Anmeldung und Kessel.,10
2022-01-13 00:00:00,17:45:00,20.30,Geschwister_Scholl_Platz,Stationär,,"Gegen politische Instrumentalisierung der Polizei, für weniger Polizei-Überstunden durch rechtsstaatliche Anwendung des Versammlungsrechts.",20
2022-01-13 00:00:00,18:00:00,18:30:00,Marienplatz,Stationär,,gegen Impfpflicht,2
2022-01-13 00:00:00,17:45:00,19:30:00,Fußgängerunterführung Ascherbach,sfV,,"Für Freiheit, gegen Diskriminierung",5
2022-01-13 00:00:00,17:45:00,20:30:00,Münchner Freiheit – Ludwigsstr. Von der Münchner Freiheit zum Siegestor,sfV,,Für freie Impfentscheidung für alle! Gegen Impfzwang!,35
2022-01-13 00:00:00,18:00:00,19:000,Friedensengel,Stationär,,Frieden am Engel,20
2022-01-13 00:00:00,16:00:00,18:00:00,"Giesinger Bahnhof zum Karl-Preis-Platz und Rosenheimer Str. in den Park, Giesinger Bahnhof",sfV,,Gesunde Ernährung trotz systematischer Vergiftung der landwirtschaftlichen Nutzflächen und des Trinkwassers,30
2022-01-13 00:00:00,18:00:00,20:30:00,Karlsplatz bis Hbf,sfV,,Für Wissenschaftliches chillen,20
