2018,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Datum Versammlung,Örtlichkeit (ink. AKG + SKG),Stationär / sfv,Organisation,Thema,TN-Zahl
2018-03-06 00:00:00,Marienplatz,stationär,Cannabis Verband Bayern,Cannabis als Medizin,20-30
2018-03-07 00:00:00,Odeonsplatz - vor dem Reiterdenkmal,stationär,Trägerkreis Volksbegehren Betonflut eindämmen,Betonflut eindämmen,30-50
2018-03-07 00:00:00,Neuhauser Str. 8,stationär,Cannabis Verband Bayern,Cannabis als Medizin,20-30
2018-03-07 00:00:00,Marienplatz,stationär,Pegida München e.V.,Islamkritik,10-15
2018-03-07 00:00:00,Marienplatz,stationär,CBG Gospel Church,Glaube für die Zukunft,50
2018-03-08 00:00:00,Karlsplatz,stationär,,Frauentag,10
2018-03-08 00:00:00,Marienplatz,stationär,Slutwalk München,Weltfrauentag mit dem Slutwalk München,100
2018-03-08 00:00:00,Odeonsplatz (Fläche vor der Feldherrnhalle),stationär,Amnesty International Hochschulgruppe München,Weltfrauentag 2018,20
2018-03-08 00:00:00,Marienplatz – Marienplatz,sfv,,"Frauen die kämpfen, sind Frauen die leben. Frieden, Freiheit und Demokratie für Afrin",400
2018-03-08 00:00:00,Max-Joseph-Platz,stationär,Cannabis Verband Bayern,Cannabis als Medizin,20-30
2018-03-09 00:00:00,Obere Grasstr. 1,stationär,HeimatGiesing,Mahnwache gegen den illegalen Abriss,20-30
2018-03-09 00:00:00,"Romanstr. 107, ggüber Chinesischen Konsulat",stationär,,Beendigung der Verfolgung FalunGong,2-10
2018-03-09 00:00:00,Marienplatz,stationär,,Für einen gerechten Frieden im Nahen Osten,10-15
2018-03-09 00:00:00,Marienplatz,stationär,,Anonymous for the Voiceless,8-20
2018-03-09 00:00:00,Odeonsplatz (Fläche vor der Feldherrnhalle),stationär,Cannabis Verband Bayern,Cannabis als Medizin,20-30
2018-03-09 00:00:00,Karlsplatz,stationär,Pegida München e.V.,Islamkritik,10-15
2018-03-09 00:00:00,Max-Joseph-Platz,stationär,,Stand behind Slovakia,100
2018-03-10 00:00:00,Karl-Stützel-Platz bis Marienplatz,sfv,Tibet Initiative Deutschland e. V.,Demonstration anlässlich des Jahrestages des Tibetischen Aufstandes,50
2018-03-10 00:00:00,Neuhauser Str. 8,stationär,Cannabis Verband Bayern,Cannabis als Medizin,20-30
2018-03-10 00:00:00,Marienplatz,stationär,,Hände weg von Afrin,20
2018-03-10 00:00:00,Odeonsplatz,stationär,Amnesty International Jugendgruppe München,Mahnwache für die Meinungsfreiheit in der Türkei,10
2018-03-11 00:00:00,Max-Joseph-Platz,stationär,Junge Liberale München e.V.,Liberalisierung des Ladenschlussgesetzes,30
2018-03-12 00:00:00,Nymphenburger Str. 16 vor dem Gericht,stationär,Freie Deutsche Jugend,Wir sind die Gefährder ihrer Leitkultur,25
2018-03-12 00:00:00,Neuhauser Str. 8,stationär,Pegida München e.V.,Islamkritik,10-15
2018-03-12 00:00:00,Karlsplatz,stationär,,bevorstehender Angriff der türkischen Armee auf Afrin,20
2018-03-12 00:00:00,"Europaplatz, ggüber Russischem Konsulat",stationär,,"Stoppt das Massaker der türkischen Armee in Afrin,  YPG/PYD/YPJ-Fahnen",20
2018-03-13 00:00:00,Richard-Strauss-Brunnen,stationär,Haus der Bayerischen Wirtschaft,Bauer sucht dich - Landwirtschaft hautnah,65
2018-03-13 00:00:00,Sendlinger Str. 8,stationär,verdi,Aktion Roter Teppich im Rahmen der Tarifrunde,50
2018-03-13 00:00:00,"von-der-Tann-Str, ggüber US-Konsulat",stationär,,"Stoppt das Massaker der türkischen Armee in Afrin,  YPG/PYD/YPJ-Fahnen",20
2018-03-13 00:00:00,Franz-Joseph-Strauß-Ring ggüber Staatskanzlei,stationär,,"Stoppt das Massaker der türkischen Armee in Afrin,  YPG/PYD/YPJ-Fahnen",20
2018-03-14 00:00:00,Hermann-Lingg-Str. 3,stationär,dbb,Jugendmahnwache im Rahmen der Einkommensrunde,5
2018-03-14 00:00:00,Marienplatz,stationär,Pegida München e.V.,Islamkritik,10-15
2018-03-14 00:00:00,Neuhauser Str. 8,stationär,CBG Gospel Church,Glaube für die Zukunft,50
2018-03-15 00:00:00,Marienplatz,stationär,Weltkongress der Uiguren e. V.,Menschenrechtsverletzungen in China,50
2018-03-15 00:00:00,Marsstraße 43,stationär,,Tierhaltung im Zirkus Krone,2
2018-03-15 00:00:00,Mies-van-der-Rohe-Str.,stationär,,"Einhaltung der UN-Waffenruhe, YPG/PYD/YPJ-Fahnen",80
2018-03-16 00:00:00,Marienplatz Fischbrunnen,stationär,DGB Region München,Equal Pay Day,20
2018-03-16 00:00:00,"Romanstr. 107, ggüber Chinesischen Konsulat",stationär,,Beendigung der Verfolgung FalunGong,2-10
2018-03-16 00:00:00,Marienplatz,stationär,Stone Collective,Meinungsfreiheit und Demokratie,40
2018-03-16 00:00:00,Sendlinger Str. 8,stationär,Verein zur Förderung ethn. Minderheiten,Mahnwache zum Gedenken der Opfer in Halabja,50
2018-03-16 00:00:00,Karlsplatz,stationär,Pegida München e.V.,Islamkritik,10-15
2018-03-16 00:00:00,Odeonsplatz,stationär,,Anonymous for the Voiceless,8-20
2018-03-16 00:00:00,Karl-Stützel-Platz – Geschwister-Scholl-Platz,sfv,,"Stoppt das Massaker der türkischen Armee in Afrin, YPG/PYD/YPJ-Fahnen",300
2018-03-16 00:00:00,Max-Joseph-Platz,stationär,,Stand behind Slovakia,50
2018-03-17 00:00:00,Marienplatz – Marienplatz,sfv,Pegida Förderverein e. V.,Pegida das Original in München,200
2018-03-17 00:00:00,Max-Joseph-Platz,stationär,Bellevue di Monaco e.G.,"NED WURSCHT! München gemeinsam gegen Neonationalismus, Rassismus, Antisemitismus und Ausgrenzung",500
2018-03-17 00:00:00,Neuhauser Str. 8,stationär,,Der Jahrestag der syrischen Revolution,100
2018-03-18 00:00:00,Max-Joseph-Platz,stationär,,Tag der syrischen Revolution,200
2018-03-18 00:00:00,Sendlinger Str. 8,stationär,,Stoppt Repression gegen Katalonien,15
2018-03-18 00:00:00,Karlsplatz,stationär,,Marielle Franco präsent!,70
2018-03-19 00:00:00,Neuhauser Str. 8,stationär,,Weg mit Hartz IV,30-40
2018-03-19 00:00:00,Odeonsplatz - vor dem Reiterdenkmal,stationär,Freie Wähler Bayern e.V.,Übergabe Unterschriftenliste für Bürgerbegehren zu Straßenausbaubeiträgen,50-100
2018-03-19 00:00:00,Marienplatz,stationär,Pegida München e.V.,Islamkritik,10-15
2018-03-20 00:00:00,Marienplatz,stationär,,Nevroz Neujahrsfest der Kurden,300
2018-03-20 00:00:00,Marsplatz 4,stationär,ver.di FB 09 München,Warnstreik der Beschäftigten der Deutschen Telekom,300
2018-03-21 00:00:00,Pariser Platz,stationär,AWO München,Lautstark gegen Rassismus,80
2018-03-21 00:00:00,Erhardstr. - Bob-van-Bentheim-Platz,stationär,IGEPA München,Keine Abschaffung des Beamtenstatus (Europ. Patentamt),2500
