Datum von,Ort (ausschließlich Dresden),Thema,Teilnehmerzahl Anmeldung
2021-03-08,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",500
2021-03-08,Altmarkt,GERADEDENKEN,80
2021-03-08,Altmarkt,"Für Bürgerrechte, Frieden und Meinungsfreiheit",400
2021-03-08,Maxim-Gorki-Straße,Fürs Leben lernen? Fürs Leben kämpfen!,100
2021-03-10,Oschatzer Straße,Trauerkundgebung zum Abschied von Halil Sen,300
2021-03-11,Roßbachstraße,Putzi bleibt,25
2021-03-13,Elbwiese,Mit Anstand und Abstand gegen Nazis und Antisemit:innen,1000
2021-03-13,Carolabrücke,Solidarisch gegen die Pandemie - Verantwortung zeigen statt querdenken!,30
2021-03-13,Königsufer,Gegenprotest zu Querdenken,50
2021-03-13,Brühlsche Terrassen,Querdenken und Nazis Hand in Hand - Unsere Antwort: Widerstand,30
2021-03-13,Landtag,Es reicht - 1 Jahr Lockdown ist genug!,100
2021-03-13,Altmarkt,GERADEDENKEN,300
2021-03-13,Cockerwiese,Querdenken entgegentreten,300
2021-03-13,Neumarkt,"Die Kirche im Dorf lassen´ - Protest gegen die Ausweitung des Tagebaus Garzweiler 3
",3
2021-03-13,Prager Straße,Stoppt den Organraub an lebenden Falun Gong Praktizierenden in China!,10
2021-03-13,Prager Straße,Belarus. Briefe an politische Gefangene in Belarus,30
2021-03-13,Neumarkt,Gegen Testpflicht an Schulen,150
2021-03-15,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",500
2021-03-15,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-03-15,Jorge-Gomondai-Platz,Internationaler Tag gegen Polizeigewalt,50
2021-03-15,Altmarkt,"Jetzt erst Recht, Querdenker*innen und Rassisten*innen entgegen treten",400
2021-03-16,Hamburger Dtraße,Stop Deportations! Keine Abschiebungen nach Pakistan,100
2021-03-19,Terrassenufer,"Jahrestag des Lockdowns und damit der dadurch seitdem immer noch andauernde Stillstand in der
Kulturbranche",11
2021-03-19,Stadtgebiet,1000 Kreuzungen,500
2021-03-21,Elbufer,Solidarität mit den Yezid*innen im Shengal - Newroz für einen internationalistischen Frühling,70
2021-03-22,Altmarkt,Grundgesetz und Demokratie schützen,500
2021-03-22,Altmarkt,"Wir fordern, das der 6.Senat des SOVG vor dem Internationalen Strafgerichtshof in Den Haag angeklagt wird, weil dieser sich gem. § 7 Abs. 1 Nr. 10 des Völkerstrafgesetzbuches duch seine Rechtssprechung …",500
2021-03-22,Alaunplatz - Altmarkt,Querdenken und Nazis Hand in Hand - UNSERE ANTWORT: WIDERSTAND! ,100
2021-03-22,Altmarkt,Geradedenken,80
2021-03-29,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",500
2021-03-29,Altmarkt,Geradedenken,200
2021-04-03,Neumarkt,Dresden zum sicheren Hafen ,50
2021-04-03,Hauptallee,Verhältnismäßigkeit der Corona-Maßnahmen,200
2021-04-03,Theaterplatz,Klar statt Querdenken,1000
2021-04-05,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",500
2021-04-10,Messering,Gegen Hetze und Verantwortslosigkeit - keinen Millimeter nach rechts!,200
2021-04-10,Messering,Versammlungen - Räume gelebter Demokratie,7
2021-04-10,Messering,Fahrradkorso gegen Faschismus - alle zusammen gegen den Parteitag der AfD,40
2021-04-10,Messering,"feministisch, antifaschistisch, solidarisch - Gemeinsam gegen den Bundesparteitag der AfD",100
2021-04-11,Messering,Versammlungen - Räume gelebter Demokratie,7
2021-04-12,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",500
2021-04-12,Altmarkt,"Für Bürgerrechte, Frieden und Meinungsfreiheit",500
2021-04-12,Altmarkt,Geradedenken,80
2021-04-12,Fritz-Förster-Platz,Präsent für Präsenz,50
2021-04-17,Theaterplatz,"Jetzt erst Recht, Querdenkerinnen und Rassisteninnen entgegen treten",250
2021-04-17,Akademiestraße,Nationalismus und Rassismus entgegentreten,50
2021-04-17,Königsufer ,Menschen mit Liebe für Reptiloid,100
2021-04-17,Cockerwiese,Querdenken entgegentreten,300
2021-04-17,Neumarkt,Solidarisch gegen die Pandemie - Verantwortung zeigen statt querdenken,200
2021-04-17,Altmarkt,Solidarisch gegen die Pandemie - Verantwortung zeigen statt querdenken,200
2021-04-18,Carolaplatz,Keinen Meter den Nazis,100
2021-04-18,Carolaplatz,Linksterror stoppen - Antifa verbieten,30
2021-04-18,Neustädter Hafen,Dresden zum sicheren Hafen machen,70
2021-04-19,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",500
2021-04-19,Neumarkt,Geradedenken,50
2021-04-20,Rathausplatz,"Politische Kundgebung. Gegen Rechtsextremismus, Rassismus und Antisemitismus",250
2021-04-24,Neumarkt,Es reicht! Wir machen den Mund auf!,500
2021-04-26,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",500
2021-04-26,Neumarkt,Geradedenken,80
2021-05-01,Dresden  - Größschönau,Autokorso zur Wiederherstellung der Demokratie und Grundrechte,200
2021-05-01,Schützenplatz,Solidarität ist Zukunft,15
2021-05-01,Alaunplatz,politische Austausch zum 1. Mai,600
2021-05-01,Goldener Reiter,"Berufsverbot, Insolvenzen, Kurzarbeit, Arbeitslosigkeit und die Auswirkung auf jeden von uns",500
2021-05-01,Wiener Platz,Kundgebung zum 1. Mai,50
2021-05-01,Wettiner Platz,Soldarität ist Zukunft“,20
2021-05-01,Prager Straße,Stoppt den Organraub an lebenden Falun Gong Praktizierenden in China,10
2021-05-01,Terrassenufer,Wir für Sport – Initiative für eine kontrollierte Öffnung der Sportstätten,20
2021-05-01,Bautzner Straße,2021-05-01 00:00:00,50
2021-05-01,Filmnächteareal,"1.Mai, Tag der Arbeit",20
2021-05-01,Neustädter Markt,Internationaler Kampftag der Arbeiterklasse,20
2021-05-01,Jorge-Gomondai-Platz,Internationaler Kampftag der Arbeiterklasse,20
2021-05-02,Albertstraße,Protest gegebn die aktuelle Schließungsvorgabe des SMS - Hier zerplatzen Blumenträume,40
2021-05-03,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",500
2021-05-03,Altmarkt,Geradedenken,80
2021-05-03,Altmarkt,"Für Bürgerrechte, Frieden und Meinungsfreiheit",500
2021-05-08,Neumarkt,"Nie wieder Faschismus, nie wieder Krieg",50
2021-05-08,Altmarkt,Es reicht! Wir machen den Mund auf!,500
2021-05-08,Hammerweg,Ihr seid keine Sicherheit - Gegen Rassismus und Nazis in den Sicherheitsbehörden,30
2021-05-08,Brühischen Garten,"Mahnwache an den Stoipersteinen - zur Erinnerung an die deportierten Männer, Frauen und Kinder",5
2021-05-10,Altmarkt,Geradedenken,80
2021-05-10,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",500
2021-05-14,Prager Straße,Gegen die Besetzung von paiästinensischen Wohnraum in Sheika Ai Jarrah durch Israel. Free Palestina,100
2021-05-15,Königsufer,Querdenkern den Tag versauen!,100
2021-05-15,Hauptallee 10,Für eine lebenswerte Zukunft,10
2021-05-17,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",500
2021-05-17,Altmarkt,Geradedenken,80
2021-05-17,Altmarkt,"Für Bürgerrechte, Frieden und Meinungsfreiheit",500
2021-05-17,Alaunplatz-Görlitzer Str.-Louisenstr.-Albertplatz-Ritterstr.-Albertstr.-Carolaplatz-Petersburger Str.-Dr.-Külz-Ring-Postplatz-Altmarkt,Querdenken und Nazis Hand in Hand - UNSERE ANTWORT: WIDERSTAND! ,150
2021-05-21,"Hammer 26, OLG",Emanzipatorisch gegen Islamismus und Queerfeindlichkeit,50
2021-05-21,Altmarkt,Gegen die Angriffe des Landes Israel.,500
2021-05-22,Bautzner Straße,Situation der Pflege/Jugend,15
2021-05-28,Roßbachstraße,Besetzungen entkriminalisieren,200
2021-05-31,Neumarkt,Geradedenken,80
2021-05-31,Altmarkt,"Für Bürgerrechte, Frieden und Meinungsfreiheit",500
2021-05-31,Altmarkt,Demokratie wird auf der Straße verteidigt. Den Alten und Neuen Rechten widersprechen.,100
2021-05-31,Altmarkt,"Wir fordern, das der 6.Senat des SOVG vor dem Internationalen Strafgerichtshof in Den Haag angeklagt wird, weil dieser sich gem. § 7 Abs. 1 Nr. 10 des Völkerstrafgesetzbuches duch seine Rechtssprechung …",500
2021-05-31,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-06-06,Schlesischer Platz - A4 Schlesischer Platz,Gegen den Ausbau der A4,500
2021-06-07,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-06-11,Alaunstraße,Lesen & Bildung - Manifest der demokratischen Zivilisation (Info: Abdullah Öcalan),15
2021-06-12,Dresden - Neustadt - Großschönau,Autokorso zur Wiederherstellung der Demokratie und Grundrechte,100
2021-06-14,Altmarkt,Geradedenken,200
2021-06-14,Altmarkt,"Für Bürgerrechte, Frieden und Meinungsfreiheit",500
2021-06-14,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-06-17,Straße des 17. Juni,17. Juni 1953 - Damals wie heute: Freiheit lässt sich nicht verbieten!,10
2021-06-19,Altmarkt - HBF - Altmarkt,1 Jahr Lockdown-Politik - Es reicht,1000
2021-06-19,Alaunplatz,Solidarität mit der Friedensdelegation - Gegen die türkischen Angriffe auf Südkurdistan,50
2021-06-20,Alaunpark - Albertbrücke - Wiener Platz - Neumarkt,Dresden zum sicheren Hafen machen!,200
2021-06-20,Neumarkt,Dresden zum sicheren Hafen,300
2021-06-20,Vorplatz Scheune - Alaunstraße  - Rothenburger Str.,Stadtteilfeste sind wichtiger Teil der Stdtkultur - BRN Gedenken,50
2021-06-21,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-06-21,Altmarkt - Postplatz - Wilsdruffer Straße,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-06-24,Synagoge,Antisemitismus bleibt Antisemitismus ,300
2021-06-28,Altmarkt,Geradedenken,200
2021-06-28,Kulturpalast - Wilsdruffer Straße - Ostseite des Altmarkts - An der Kreuzkirche - Pfarrgasse - zum Külz Ring,Menschenkette gegen Rassismus,250
2021-06-28,Altmarkt,"Für Bürgerrechte, Frieden und Meinungsfreiheit",500
2021-06-28,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-06-28,Altmarkt,Wer schweigt stimmt zu! Schaut hin und handelt!,10
2021-07-03,Schanzenstraße - Schloßplatz,Freiheit für Lina - Feuer und Flamme der Pepression,300
2021-07-05,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-07-05,Altmarkt- Pirnaischer Platz - Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-07-12,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-07-13,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-07-16,Bischofsweg  - Louisenstraße,Stadt muss atmen – Verkehrswende Demo,200
2021-07-16,Prager Straße - Gomondaiplatz,85 Jahre FDJ,15
2021-07-18,Altmarkt - Alaunplatz ,"Jahrestag der Revolution: Frieden, Selbstbestimmung, Frauenbefreiung und eine ökologische Gesellschaft - Freiheit für Öcalan",500
2021-07-19,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-07-19,Altmarkt - Georgplatz - Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-07-19,Alaunplatz - Altmarkt,Es geht los?,150
2021-07-26,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-07-26,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-07-26,Neumarkt,Coronainfo-Tour.de,200
2021-08-02,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-08-02,südlicher Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-08-07,Goldener Reiter,Dresden zum sicheren Hafen,300
2021-08-09,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-08-09,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-08-09,Altmarkt-Wilsdruffer-Pirnaischer Platz-Külz-Ring-Seestraße-Altmarkt,Grundgesetz und Demokratie schützen,400
2021-08-09,Altmarkt,Nationalismus raus aus den Köpfen,300
2021-08-11,Albertplatz,Porutest gegen Abschiebungen,30
2021-08-16,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-08-16,Altmarkt - Postplatz - Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-08-18,Neumarkt,Luftbrücke jetztl,nb
2021-08-20,Alaunplatz,Luftbrücke jetztl,200
2021-08-23,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-08-23,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-08-23,Altmarkt,#Luftbrücke jetzt ,200
2021-08-28,Rudolf-Leonhard-Straße,"So wie früher, aber normal.",500
2021-08-29,Albertbrücke - Alaunplatz,Tekno against facism and racism,200
2021-08-30,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-08-30,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-08-30,Altmarkt-Wilsdruffer-Pirnaischer Platz-Külz-Ring-Seestraße-Altmarkt,Grundgesetz und Demokratie schützen,400
2021-08-30,Altmarkt,Nationalismus raus aus den Köpfen,300
2021-08-30,Alaunplatz - Altmarkt,Kein Fußbreit den Faschisten,200
2021-09-03,Jorge-Gomondai-Platz - ostüplatz - Jorge-Gomondai-Platz,Gemeinsam für`s Klima,140
2021-09-06,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-09-06,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-09-08,Hammerweg,"Für einen starken und konsequenten Antifaschismus, das Ende der Kriminalisierung und die sofortige Freilassung von Lina.",50
2021-09-09,Theaterplatz - Albertinum,Gegen-Demostration anlässlich Frau Merkels Besuchs,200
2021-09-11,Neumarkt -  Altmarkt,"Demonstration für einen menschenwürdigen, verhältnismäßigen und verfassungskonformen Umgang der Polizei mit friedlichen Demonstranten",1000
2021-09-11,Marianplatz,Gib Antikommunismus keine Chance,10
2021-09-13,Wiener Platz,Alle zusammen gegen den Faschismus ,1000
2021-09-13,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-09-13,Altmarkt-Wilsdruffer-Pirnaischer Platz-Külz-Ring-Seestraße-Altmarkt,Grundgesetz und Demokratie schützen,400
2021-09-13,Hauptbahnhof,Alle zusammen gegen den Faschismus!  ,50
2021-09-13,Wiener Platz,Alle zusammen gegen den Faschismus - Grünes gegen Braunes,400
2021-09-13,Wiener Platz,Mehr Freiheit für Sachsen,6
2021-09-13,Alaunplatz - Wiener Platz,Kein Fußbreit den Faschist*innen,200
2021-09-17,Prager Straße,Gib Antikommunismus keine Chance,10
2021-09-17,Königsbrücker Str.,Gib Antikommunismus keine Chance,10
2021-09-17,Prager Straße,Gib Antikommunismus keine Chance,10
2021-09-18,Theaterplatz,Bundeswahl ,500
2021-09-19,Postplatz,Wahlkampfabschluss Frank Hannig,300
2021-09-20,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-09-27,Prager Straße,Wir widersprechen wo immer wir auf euch treffen ,130
2021-09-27,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-09-27,Wiener Platz - Waisenhausstraße - Wiener Platz,Grundgesetz und Demokratie schützen,400
2021-09-27,Alaunplatz - Prager Straße,Kein Fußbreit den Faschisten,100
2021-10-03,Neustädter Markt ,Wir summen die Nationalhymne und feiern den tag der Deutschen Einheit,200
2021-10-04,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-10-04,Schlossstraße,1. Jahrestag des islamistischen Terroranschlages vom 04.10.2020,100
2021-10-09,Friedrich-List-Platz - Theaterplatz,"Versammlung für die Freiheit, Demokratie und Selbstbestimmung",300
2021-10-10,Schlesischer Platz - BAB 4 - Schlesischer Platz,Stoppt den Ausbau der A4! Sozial-ökologische Verkehrswende jetzt!,800
2021-10-11,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-10-11,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-10-17,Altmarkt,7 Jahre PEGIDA - / Jahre bürgerlicher Widerstand der Zivilgesellschaft ,6000
2021-10-17,Alaunplatz - Altmarkt - Alaunplatz,Kein Fußbreit den Faschisten:innen,2500
2021-10-17,Bergstraße - HBF - Altmarkt,"Alle zusammen für Vielfalt, Toleranz und Weltoffenheit",1000
2021-10-17,Neumarkt,Nationalismus raus aus den Köpfen,1600
2021-10-17,Wiener Platz,Rassist:innen den Ausgang zeigenl,100
2021-10-17,Altmarkt,Säxit - raus aus dem Wahnsinn,50
2021-10-17,Altmarkt,Für ein weltoffenes Dresden und gegen Rassist:innen,100
2021-10-17,Altmarkt,5G und besonders Eigenverantwortung,nb
2021-10-18,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-10-18,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-10-25,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-10-25,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-10-30,Sophienstraße-Schloßplatz-Augustusstraße-Töpferstraße-An der Frauenkirche-Neumarkt-Kleine Kirchgasse-Wilsdruffer Straße-Pirnaischer Platz-St. Petersburger Straße-Georgplatz… zurück zu Sophienstraße,Demonstration Freedom Day für die Aufhebung aller Corona-Beschränkungen  und das Ende der Pandemie,1000
2021-11-01,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-11-01,Neumarkt - Seestraße - Neumarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",100
2021-11-04,"Schlesischen Platz, Dammweg, Bischofsplatz, Rudolf-Leonhard-Straße, Stauffenbergallee zum Hammerweg ",Ein Jahr U-Haft ist genug! Freiheit für Lina! ,100
2021-11-08,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-11-08,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-11-13,Hamburger  Straße - Schäferstraße - Könneritzstraße - Marienbrücke - Antonstraße - Königsbrücker Straße - Stauffenbergallee -Hammerweg,Für eine Gesellschaft ohne Gefängnisse,50
2021-11-15,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-11-15,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-11-15,Theaterplatz,Freiheit statt 2G-Lockdown,500
2021-11-18,Landtag,"Meinung kund tun, friedlich. Wir stehen auf!",49
2021-11-18,Albertplatz,Giftgas-Einsatz Stoppen - türkische Invasion beenden,20
2021-11-19,Prager Str.,Aufklärung über Corona-Impfungen und deren Nebenwirkungen,10
2021-11-19,Albertplatz,Giftgas-Einsatz Stoppen - türkische Invasion beenden,20
2021-11-22,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-11-22,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-11-23,"Friesenstraße, Zittauer Straße, Nieskyer Straße ",Spaltung beenden - keinen Ausgrenzen,10
2021-11-25,Messering,Demonstration zur Aufklärung des Stadtrats über Corona-Impfungen und deren Nebenwirkungen,10
2021-11-29,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-11-29,Ammonstraße - Lenneplatz - Ammonstraße,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G Apartheit,150
2021-12-06,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-12-06,Pieschener Allee - Prohlis - Pieschener Allee,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G Apartheit,100
2021-12-08,Neumarkt/Kulturpalast,Sachsen vereint gegen 2G und Impfzwang,10
2021-12-13,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-12-13,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-12-13,Pieschener Allee - Weißeritzstr. - Schäferstr. - Hamburger Str. - Flügelwegbrücke - Washingtonstr. - Kötzschenbrodaer Str. - Vorwerkstr. - Hermann-Ilgen-Str. Bahnhofstr. - Meißner Str. - Leipziger Str. - Antonstr. - Marienbrücke - Ostra-Ufer,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G Apartheit,150
2021-12-18,Pieschener Allee - Schillerplatz - Pieschener Allee,Autokorsovfür eine lautstarke Impfaufklärung und gegen die Impfpflicht,100
2021-12-18,Carolabrücke,#SaveThem ,10
2021-12-19,Carolabrücke,#SaveThem ,10
2021-12-20,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-12-20,Klinikum Friedrichstadt,"Soolidarisch, statt solide arisch - wir lassen uns nicht spalten!",10
2021-12-20,Pieschener Allee - Schillerplatz - Pieschener Allee,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G Apartheit,150
2021-12-20,Dr.-Külz-Ring,Kein Platz für Querdenker,10
2021-12-23,Prager Str.,Ist die Impfung ein Geschenk?,10
2021-12-23,Neumarkt,Ist die Impfung ein Geschenk?,10
2021-12-24,Rathausplatz,Errichtung einer direkten Demokratie,800
2021-12-27,Pieschener Allee - Magdeburger Str.,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G Apartheit,150
2021-12-27,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-12-27,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",400
2021-12-27,Neumarkt,Lichter für die Freiheit,100
2021-12-30,Dr.-Külz-Ring,Kein Platz für Querdenker,10
2021-12-31,Hammerweg,Solidarität zu Silvester - das Knastsystem überwinden,10
