Versammlungsgeschehen in Dresden März bis Dezember 2023,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
 Datum ,Ort,Thema,Teilnehmerzahl Anmeldung
2023-06-12 00:00:00,Dresden,Nein zum Air Defender 23,100
2023-06-12 00:00:00,Dresden,Dresden vereint - Das Original,500
2023-06-12 00:00:00,Dresden,Stop Ecocide in Ukraine,800
2023-06-12 00:00:00,Dresden,"Montagsdemonstration ""Dresden vereint - Das Original"" an der Torwirtschaft für Frieden, Fr iheit, Tradition",500
2023-06-14 00:00:00,Dresden,Nein zum AIR DEFENDER 23,100
2023-06-14 00:00:00,Dresden,Nein zum Air Defender 23,100
2023-06-14 00:00:00,Dresden,Nein zum Heim! Wir fordern einen Bürgerentscheid!,250
2023-06-15 00:00:00,Dresden,Leben mit Vision – Für Christliche Werte in der Politik und Gesellschaft - Gegen Egoismus und Machtmissbrauch,500
2023-06-15 00:00:00,Dresden ,Eilversammlung zur Petition Bürgerbeteiligung,10
2023-06-17 00:00:00,Dresden,Antifaschistische Republik Neustadt - Tanzdemo,3000
2023-06-17 00:00:00,Dresden,Wir bauen Brücken - Dresden ist Sicherer Hafen,1500
2023-06-17 00:00:00,Dresden,Feministische Oben-Ohne-Fahrrad-Demo,100
2023-06-17 00:00:00,Dresden,Volksaufstand gegen die Diktatur eines Regimes - 17. Juni 1953“,500
2023-06-17 00:00:00,Dresden,70. Jahrestag des 17. Juni 1953 - Volksaufstand für Freiheit damals und heute,50
2023-06-17 00:00:00,Dresden,Frieden schaffen ohne Waffen ,100
2023-06-17 00:00:00,Dresden,Tag für Frieden,8000
2023-06-18 00:00:00,Dresden,Ramba Samba- Parade deer migrantischen Organisationen in der Neustadt ,500
2023-06-18 00:00:00,Dresden,"Neustadt, Autofrei!",200
2023-06-19 00:00:00,Dresden,"""Keine trommelnden Nazis an der Synagoge!"".",25
2023-06-19 00:00:00,Dresden,"Montagsdemonstration ""Dresden vereint - Das Original"" an der Torwirtschaft für Frieden, Fr iheit, Tradition",500
2023-06-21 00:00:00,Dresden ,Nein zum Heim -Wir fordern einen Volksentscheid!,250
2023-06-24 00:00:00,Dresden,FUCK NATO! Sachsen ist nicht im Krieg mit Russland,250
