Versammlungen unter freiem Himmel & Aufzüge 2023,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,tatsächliche Teilnehmerzahl wurde nicht erhoben
Datum,Beginn,Ende,Ort,Organisation,Thema,Art,angemeldete Teilnehmerzahl,
2023-05-13 00:00:00,12:45:00,16:15:00,Mauritiusplatz,Activists for the Victims e. V.,Tierrechte / Veganismus,Versammlung,15-20,
2023-05-13 00:00:00,13:00:00,16:30:00,Kirchgasse Ecke Faulbrunnenstraße,Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / gegen Massentierhaltung,Versammlung,10,
2023-05-13 00:00:00,16:15:00,17:45:00,Mauritiusplatz,Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,Versammlung,20,
2023-05-15 00:00:00,05:45:00,15:15:00,Aukammallee 33,Ver.di,Warnstreik DKD Helios Klinik Wiesbaden / Tarifrunde,Versammlung & Aufzug,50,
2023-05-17 00:00:00,15:00:00,18:00:00,Mauritiusplatz,Warmes Wiesbaden e. V.,IDAHOBIT - Internationaler Tag gegen Queerfeindlichkeit,Versammlung & Aufzug,50,
2023-05-20 00:00:00,13:00:00,15:00:00,Schulgasse Ecke Neugasse,Mahnwache Demokratie WI RTK e. V.,Erhaltung unserer Grundrechte,Versammlung,30,
2023-05-20 00:00:00,14:00:00,17:00:00,Kirchgasse Ecke Faulbrunnenstraße,Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,Versammlung,60,
2023-05-25 00:00:00,15:30:00,17:00:00,Langgasse 21,LeuchtturmARD,Für eine freie und unabhängige Medienberichterstattung,Versammlung, 2-10 ,
2023-05-27 00:00:00,13:00:00,15:00:00,Schulgasse Ecke Neugasse,Mahnwache Demokratie WI RTK e. V.,Erhaltung unserer Grundrechte,Versammlung,20,
2023-05-27 00:00:00,13:00:00,16:00:00,Warmer Damm bis Murnaustraße,Warmes Wiesbaden e. V.,Christopher Street Day,Versammlung & Aufzug,2500,
2023-05-31 00:00:00,09:30:00,15:00:00,Marktstraße Ecke Friedrichstraße,,Untersuchungsausschuss zu Hanau,Versammlung,35,
2023-06-01 00:00:00,14:00:00,16:30:00,Mauergasse,,"gegen Putins Angriffskrieg, für ein vereintes Europa",Versammlung, 10-30,
2023-06-02 00:00:00,14:00:00,17:00:00,"Kirchgasse 17, 65185 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz,Versammlung,5,
2023-06-03 00:00:00,13:00:00,15:00:00,Schulgasse Ecke Neugasse,Mahnwache Demokratie WI RTK e. V.,Erhaltung unserer Grundrechte,Versammlung,20,
2023-06-03 00:00:00,16:00:00,17:30:00,Marktstraße Ecke Michelsberg,Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,Versammlung,20,
2023-06-10 00:00:00,13:00:00,15:00:00,Schulgasse Ecke Neugasse,Mahnwache Demokratie WI RTK e. V.,Erhaltung unserer Grundrechte,Versammlung,15,
2023-06-10 00:00:00,14:00:00,17:00:00,"Kirchgasse 17, 65185 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz,Versammlung,5,
2023-06-14 00:00:00,09:00:00,15:00:00,Kochbrunnenplatz,Hessischer Apothekerverband,Apotheken kaputtsparen? Nicht mit uns!,Versammlung,500,
2023-06-15 00:00:00,15:30:00,17:00:00,Langgasse 21,LeuchtturmARD,Für eine freie und unabhängige Medienberichterstattung,Versammlung,15,
2023-06-17 00:00:00,10:00:00,17:00:00,Rheinufer - Kloberstraße - Elisabethenstraße - Paulusplatz,Friedens- und Zukunftswerkstatt e. V.,Stoppt Air-Defender 2023,Versammlung & Aufzug,100,
2023-06-17 00:00:00,16:00:00,17:30:00,Marktstraße Ecke Michelsberg,Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,Versammlung,20,
2023-06-22 00:00:00,05:45:00,15:15:00,Aukammallee 33,"Ver.di, Bezirk Wiesbaden",Warnstreik DKD Helios Klinik Wiesbaden / Tarifrunde,Versammlung & Aufzug,30 - 80,
2023-06-22 00:00:00,15:30:00,17:00:00,Langgasse 21,LeuchtturmARD,Für eine freie und unabhängige Medienberichterstattung,Versammlung,15,
2023-06-23 00:00:00,14:00:00,16:30:00,Bahnhofsvorplatz - Mauritsiusplatz - Bahnhofsvorplatz,Fridays for Future,Klimagerechtigkeit / Klimaschutz (Landtagswahlen Hessen 2023),Versammlung & Aufzug,500,
2023-06-23 00:00:00,14:15:00,17:00:00,Kulturpark,Fridays for Future,"Klimagerechtigkeit ""Warum sind wir hier""",Versammlung,150,
2023-06-24 00:00:00,14:00:00,17:00:00,Kirchgasse / Ecke Faulbrunnenstraße,Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,Versammlung,60,
2023-06-24 00:00:00,13.45,17:00:00,jetzt: Kirchgasse Ecke Luisenstraße,Activists for the Victims e.V,Tierrechte / Veganismus,Versammlung,10-20,
2023-06-26 00:00:00,10:30:00,12:00:00,Schloßplatz im Bereich Rathaus und Marktkirche,FDP Landesverband Hessen,Kampagnenvorstellung zur Landtagswahl,Versammlung,15,
2023-06-27 00:00:00,08:00:00,18:00:00,Schloßplatz,Freedom for Iran,Solidaität mit Frauenbewegung im Iran,Versammlung,50 - 100,
2023-06-28 00:00:00,13:00:00,15:00:00,Sonnenberger Straße 2-2a,EX-IN Hessen .e.V.,Umsetzung des BTHGs in Hessen in Bezug auf zertifizierte EX-IN Genesungsbegleitende,Versammlung,24 - 50,
2023-06-29 00:00:00,15:00:00,17:00:00,Mauergasse,,"gegen Putins Angriffskrieg, für ein vereintes Europa",Versammlung, 10-30,
2023-07-03 00:00:00,14:30:00,18:00:00,Schlossplatz,"Parents for future, BI für ein klimaneutrales Wiesbaden",Mahnwache für eine Mobilitätswende zur Erreichung der Klimaschutzziele,Versammlung,50,
2023-07-06 00:00:00,15:00:00,17:00:00,Mauergasse,,"gegen Putins Angriffskrieg, für ein vereintes Europa",Versammlung,  10-30,
2023-07-06 00:00:00,15:30:00,17:00:00,Langgasse 21,LeuchtturmARD,Für eine freie und unabhängige Medienberichterstattung,Versammlung, 02 - 15,
2023-07-07 00:00:00,09:00:00,19:30:00,Dernsches Gelände,,Untersuchungsausschuss zu Hanau,Versammlung,30,
2023-07-07 00:00:00,18:30:00,21:00:00,Dernsches Gelände zum Innenministerium,AKU,UNA Hanau - keine Gerechtigkeit ohne Konsequenzen,Versammlung & Aufzug,200,
2023-07-08 00:00:00,13:00:00,16;00,Kirchgasse Ecke Faulbrunnenstraße,Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / gegen Massentierhaltung,Versammlung,10,
2023-07-11 00:00:00,12:00:00,15:00:00,Dernsches Gelände (Marktsäule),DIE LINKE Wiesbaden,"Macht Hessen gerecht, dafür steht Die LINKE",Versammlung,25,
2023-07-13 00:00:00,08:00:00,16:00:00,Johannes-Maaß-Straße bis Kepler Straße,Arbeitskreis Schulweg & Sicherheit der Johannes-Maaß-Schule,Schulstraße / Sicherheit zu Fuß zur Schule,Versammlung,300,
2023-07-13 00:00:00,15:00:00,17:00:00,Mauergasse,,"gegen Putins Angriffskrieg, für ein vereintes Europa",Versammlung, 10-30,
2023-07-14 00:00:00,08:00:00,16:00:00,Johannes-Maaß-Straße bis Kepler Straße,Arbeitskreis Schulweg & Sicherheit der Johannes-Maaß-Schule,Schulstraße / Sicherheit zu Fuß zur Schule,Versammlung,300,
2023-07-15 00:00:00,10:30:00,12:30:00,Schlossplatz,Bürgerinitiative Ultranet Idstein,Ultranet - Neubau Hochspannungs-Leitung,Versammlung,100,
2023-07-15 00:00:00,14:00:00,17:00:00,Kirchgasse Ecke Friedrichstraße,Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,Versammlung,30,
2023-07-20 00:00:00,15:00:00,17:00:00,Michelsberg/Ecke Kirchgasse,,"gegen Putins Angriffskrieg, für ein vereintes Europa",Versammlung, 10-30,
2023-07-20 00:00:00,15:30:00,17:00:00,Langgasse 21,LeuchtturmARD,Für eine freie und unabhängige Medienberichterstattung,Versammlung, 02 - 15,
2023-07-21 00:00:00,11:00:00,15:00:00,Luisenplatz,JES Drogenselbsthilfe Wiesbaden,Gedenktag für verstorbene Drogengebraucher,Versammlung,60,
2023-07-21 00:00:00,13:45:00,17:00:00,Kirchgasse vor dem Luisenforum,Activists for the Victims e.V,Aufklärung zu Veganismus/Tierrechten,Versammlung,12,
2023-08-03 00:00:00,15:00:00,17:00:00,Michelsberg/Ecke Kirchgasse,,"gegen Putins Angriffskrieg, für ein vereintes Europa",Versammlung, 10-30,
2023-08-03 00:00:00,15:30:00,17:00:00,Langgasse 21,LeuchtturmARD,Für eine freie und unabhängige Medienberichterstattung,Versammlung, 2-15,
2023-08-05 00:00:00,13:45:00,17:00:00,Kirchgasse (vor Luisenforum),Activists for the victims,Tierrechte / Veganismus,Versammlung,10,
2023-08-05 00:00:00,16:00:00,20:00:00,Dernsches Gelände oder Schlossplatz,Frankfurt Mulal Missionary Choir e. V.,Demonstration für christliche Werte,Versammlung,50,
2023-08-06 00:00:00,15:00:00,19:00:00,Bahnhofsplatz zwischen Chillers und der Bushaltestelle,Dienst der Buße & Heiligung e.V.,Religion - Für ein christliches Miteinander,Versammlung,4,
2023-08-10 00:00:00,15:00:00,17:00:00,Michelsberg/Ecke Kirchgasse,,"gegen Putins Angriffskrieg, für ein vereintes Europa",Versammlung, 10-30,
2023-08-12 00:00:00,13:00:00,16:30:00,Kirchgasse zw. Faulbrunnenstraße und Mauritiusplatz,Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / gegen Massentierhaltung,Versammlung,10,
2023-08-12 00:00:00,14.00,16.30,Kirchgasse Ecke Faulbrunnenstraße,Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,Versammlung,35,
2023-08-13 00:00:00,10:00:00,13:00:00,Hafenweg,Nix in den (Mainzer) Sand setzen,Kaien Autobahnausbau im Lennebergwald und Mainzer Sand - Verkehrswende Jetzt,Versammlung,50-100,
2023-08-13 00:00:00,15:00:00,19:00:00,Bahnhofsplatz zwischen Chillers und der Bushaltestelle ,Dienst der Buße & Heiligung e.V.,Religion - Für ein christliches Miteinander,Versammlung,4,
