Lfd. Nr. ,Datum der Vers,Thema,Unnamed: 3,Unnamed: 4
,,,TN angemeldet,TN anwesend
278.0,2023-10-11 00:00:00,Solidarität mit den Menschen in Israel,200,140
279.0,2023-10-13 00:00:00,Frieden für Kurdistan,100,
280.0,2023-10-16 00:00:00,Recht auf Leben und Selbstbestimmung,200,70
281.0,2023-10-23 00:00:00,Recht auf Leben und Selbstbestimmung,200,85
282.0,2023-10-13 00:00:00,Frieden für Palästina,100,
283.0,2023-10-17 00:00:00,"Tag der Armut, Kundgebung und Spendensammlung",15,
284.0,2023-10-18 00:00:00,Menschenrechte für Palästiner,300,
285.0,2023-10-05 00:00:00,Kundgebung im Rahmen der Tarifrunde im öffentlichen Dienst der Länder,1000,
286.0,2023-10-21 00:00:00,"""Cube of Truth"" - Aufklärung über Tierrechte",10,11
287.0,2023-11-04 00:00:00,"""Cube of Truth"" - Aufklärung über Tierrechte",10,
288.0,2023-11-18 00:00:00,"""Cube of Truth"" - Aufklärung über Tierrechte",10,
289.0,2023-10-20 00:00:00,Frieden in Kurdistan,150,35
290.0,2023-10-23 00:00:00,Montagsdemo,20,15
291.0,2023-10-25 00:00:00,Friedenslieder singen,10,3
292.0,2023-11-03 00:00:00,Spendenaktion und die Durchführung einer Kerzenlicht Maahnwache in der Stadt Magdeburg,50,53
293.0,2023-10-27 00:00:00,Für eine humanitäre Waffenruhe!,200,
294.0,2023-10-30 00:00:00,Recht auf Leben und Selbstbestimmung,150,61
295.0,2023-11-06 00:00:00,Recht auf Leben und Selbstbestimmung,150,74
296.0,2023-11-13 00:00:00,Recht auf Leben und Selbstbestimmung,150,30
297.0,2023-10-27 00:00:00,Grundrechte schützen – Menschenrechte wahren!“,30,
298.0,2023-10-27 00:00:00,Gegen Die Einschränkung der VErsammlungsfreiheit aus Rassistishcen Motiven ,30,36
299.0,2023-11-01 00:00:00,Friedenslieder singen,10,
300.0,2023-11-10 00:00:00,Forderung nach einer humanitären Waffenruhe für Gaza – stoppt den Krieg in Nahost! ,1000,300
301.0,2023-11-06 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,12
302.0,2023-11-13 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,8
303.0,2023-11-20 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,6
304.0,2023-11-27 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,4
305.0,2023-11-08 00:00:00,Friedenssingen,10,
306.0,2023-11-09 00:00:00,Pogromgedenken,40,130
307.0,2023-11-01 00:00:00,Stoppt den Genozid in Palästina,6,
308.0,2023-11-23 00:00:00,Einkommensrunde für die Beschäftigten des öffentlichen Dienstes der Länder (TV-L),300,280
309.0,2023-11-14 00:00:00,"aktive Mittaagspause, Einkommensrunde TV-L",60,50
310.0,2023-11-15 00:00:00,Warnstreik,150,100
311.0,2023-11-16 00:00:00,"„Mittagsdemo, da systemrelevant"" TVL - Tarifrunde der Länder 2023 im öffentlichen Dienst",100,
