Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung
227.0,2015-11-18 00:00:00,18.15-18.45,Magdeburg,Gegen Flüchtlingspolitik,2015-11-17
228.0,2015-11-20 00:00:00,14.30-17.00,Magdeburg,Gemeinsam gegen den Terror,2015-11-18
229.0,2015-12-02 00:00:00,14.30-16.00,Magdeburg,PETA gegen das Tragen von Tierhäuten,2015-11-18
230.0,2015-12-16 00:00:00,19.00-22.00,Magdeburg,Demonstration gegen Politikversagen,2015-11-17
231.0,2015-12-16 00:00:00,19.00-22.00,Magdeburg,Demo zur Landtagswahl 2016,2015-11-17
232.0,2015-12-16 00:00:00,19.00-22.00,Magdeburg,Demonstration gegen TTIP,2015-11-17
233.0,2015-12-16 00:00:00,19.00-22.00,Magdeburg,Demo zur Landtagswahl 2016,2015-11-17
234.0,2015-12-16 00:00:00,19.00-22.00,Magdeburg,Demonstration gegen Politikversagen,2015-11-17
235.0,2015-12-05 00:00:00,11.55-15.00,Magdeburg,5 vor 12 für die Umwelt zur Weltklimakonferenz,2015-11-19
236.0,2015-12-17 00:00:00,17.00-20.00,Magdeburg,,2015-11-24
237.0,2015-12-07 00:00:00,17.00-21.30,Magdeburg,Bunt statt Braun ,2015-12-01
238.0,2015-12-01 00:00:00,17.45-20.00,Magdeburg,Gemeinsam für eine bessere Zukunft,2015-12-03
239.0,2015-12-17 00:00:00,17.00-21.00,Magdeburg,Herz statt Hetze,2015-12-03
240.0,2015-12-10 00:00:00,08.00-09.00,Magdeburg,Verhinderung der Privatisierung des Winterdienstes,2015-12-07
241.0,2015-12-12 00:00:00,18.00-21.00,Magdeburg,Prolopen! Für die Freiheit jeder Lope!,2015-12-10
242.0,2015-12-17 00:00:00,16.00-19.00,Magdeburg,Stille Mahnung für den Frieden,2015-12-15
243.0,2015-12-19 00:00:00,19.00-21.00,Magdeburg,Stille Mahnung für den Frieden,2015-12-15
244.0,2015-12-16 00:00:00,18.00-19.00,Magdeburg,Gemeinsam zum Domplatz - gegen die Flüchtlingspolitik der Regierung,2015-12-15
245.0,2015-12-16 00:00:00,18.00-22.00,Magdeburg,No AfD,2015-12-16
