Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung
213.0,2020-09-18 00:00:00,14.30-16.00,Aufzug,Critical Mass im Rahmen der Europäischen Mobilitätswoche - Ein Zeichen setzen für nachhaltige Mobilität,2020-09-07
214.0,2020-09-11 00:00:00,15.00-18.00,Ulrichplatz,Den Mangel beenden - Unseren Kindern Zukunft geben!,2020-09-07
215.0,2020-09-12 00:00:00,10.00-15.00,Breiter Weg (Karstadt),Den Mangel beenden - Unseren Kindern Zukunft geben!,2020-09-07
216.0,2020-09-12 00:00:00,10.00-15.00,Goldschmiedebrücke,Den Mangel beenden - Unseren Kindern Zukunft geben!,2020-09-07
217.0,2020-09-18 00:00:00,15.00-19.00,Sternstraße ,Sei ein Künstler!,2020-09-07
218.0,2020-09-10 00:00:00,08.00-14.00,Domplatz,Abschaffung Straßenausbaubeiträge ,2020-09-08
219.0,14.09.2020   bis         17.09.2020,,"LK BÖ, MD, LK JL",Ohne Kerosin nach Berlin  ,2020-08-28
220.0,2020-09-12 00:00:00,15.30-17.30,Domplatz,Recht auf Leben,2020-09-08
221.0,2020-10-13 00:00:00,07.30-18.00,Halberstädter Straße ,Solidarität mit den Betroffenen und Nebenkläger*innen,2020-09-08
222.0,2020-10-14 00:00:00,07.30-18.00,Halberstädter Straße ,Solidarität mit den Betroffenen und Nebenkläger*innen,2020-09-08
223.0,2020-09-18 00:00:00,14.00-18.00,Sternstraße,Parking Day & lebenswerter Hassel,2020-09-08
224.0,2020-09-09 00:00:00,19.00-22.00,Willy-Brandt-Platz,"Brand im Flüchtlingslage ""Moria"" auf Lesbos",2020-09-09
225.0,2020-10-03 00:00:00,15.00-18.00,Thiemplatz,Sozialismus als Ausweg aus der Krise des Kapitalismus,2020-09-09
226.0,2020-09-18 00:00:00,12.00-01.00,Sternstraße,Parking Day 2020,2020-09-09
227.0,2020-09-15 00:00:00,08.00-18.00,Halberstädter Straße ,"Prozess - Solidarität mit den Betroffenen, keine Bühne dem Täter",2020-09-10
228.0,2020-09-18 00:00:00,09.00-10.30,Hartstraße,"""Einsteigen und einmischen"" Aktion zum Tag der Zivilcourage",2020-09-10
229.0,2020-09-16 00:00:00,08.00-18.00,Halberstädter Straße ,"Prozess - Solidarität mit den Betroffenen, keine Bühne dem Täter",2020-09-11
230.0,2020-09-26 00:00:00,13.00-15.00,Hasselbachplatz,Nein zu Hinrichtungen,2020-09-15
231.0,2020-09-19 00:00:00,15.30-17.30,Domplatz,Recht auf Leben,2020-09-16
232.0,2020-09-20 00:00:00,14.00-18.00,Aufzug,Evakuiert alle Lager #LeaveNoOneBehind,2020-09-16
233.0,2020-10-21 00:00:00,08.00-15.00,Domplatz,Warnstreik Tarifrunde öD,2020-09-17
234.0,2020-10-03 00:00:00,15.00-18.00,Olvenstedter Platz,Mieten runter Löhne rauf,2020-09-14
235.0,2020-10-03 00:00:00,15.00-18.00,Nicolaiplatz,Greepeace gegen zu viel Plastikmüll in Magdeburg,2020-09-17
236.0,2020-09-23 00:00:00,07.30-18.00,Halberstädter Straße ,"Prozess: Solidarität mit den Betroffenen, Keine Bühne dem Täter",2020-09-18
237.0,2020-09-26 00:00:00,15.30-17.30,Domplatz,Recht auf Leben,2020-09-17
238.0,2020-09-30 00:00:00,07.30-18.00,Halberstädter Straße ,Solidarität mit den Betroffenen! Keine Bühne dem Täter,2020-09-21
239.0,2020-10-03 00:00:00,18.00-19.30,Brenneckestraße,Gemeinsam stark: Ein Licht für die Tiere im Versuchslabor!,2020-09-22
240.0,2020-10-01 00:00:00,06.30-13.00,Otto-von-Guericke-Straße,In Zusammenhang der TRöD - landesweiter Aktionstag in der Abfallentsorgung,2020-09-24
241.0,2020-10-17 00:00:00,15.00-19.00,Domplatz,Was Menschen bewegt,2020-09-24
242.0,2020-10-03 00:00:00,10.00-17.00,Willy-Brandt-Platz,Verfolgung von Falun Dafa,2020-09-27
243.0,2020-09-29 00:00:00,13.00-19.00,Willy-Brandt-Platz,Sozial-ökologische Verkehrswende JETZT,2020-09-29
244.0,2020-10-09 00:00:00,15.00-18.00,Zufahrtsstraße,Der extrem rechte Anschlag von Halle jährt sich zum ersten Mal,2020-09-29
245.0,2020-09-30 00:00:00,15.00-16.00,Domplatz,Aufklärung zum Thema Corona Fakten,2020-09-30
246.0,2020-10-17 00:00:00,15.00-17.00,Breiter Weg,Greenpeace gegen zu viel Billigfleisch in Einkaufsmärkten,2020-10-01
247.0,2020-10-03 00:00:00,19.00-19.30,Neustädter Platz,offenes Singen von Friedensliedern zum Jahrestag der deutschen Einheit,2020-10-02
248.0,2020-10-10 00:00:00,15.30-17.30,Regierungsstraße ,Recht auf Leben,2020-10-06
249.0,2020-10-09 00:00:00,13.00-16.00,Breiter Weg,Freiheit für Öcalan,2020-10-07
250.0,2020-10-10 00:00:00,13.00-16.00,Breiter Weg,Freiheit für Öcalan,2020-10-07
251.0,2020-10-03 00:00:00,13.00-15.00,Wilhelmstädter Platz,30 Jahre Kapitalismus und immer noch nicht frei!,2020-10-06
252.0,2020-11-03 00:00:00,16.30-17.30,Liebknechtstraße,Gedenkveranstaltung der Frauen des ehemaligen Frauen-KZ,2020-10-06
253.0,2020-10-14 00:00:00,08.00-10.00,Wihelm-Höpfner-Ring,Warnstreik Tarifrunde öD,2020-10-08
254.0,2020-10-14 00:00:00,12.00-14.00,An der Steinkuhle,Warnstreik Tarifrunde öD,2020-10-08
255.0,2020-10-14 00:00:00,16.00-18.00,Domplatz,Krieg beginnt hier!,2020-10-09
256.0,2020-10-31 00:00:00,15.30-17.30,Domplatz,Recht auf Leben,2020-10-11
257.0,2020-10-21 00:00:00,08.00-20.00,Ernst-Reuter-Allee,Magdeburg 2025/ Bunte Stadt Magdeburg/ Regenbogen Zebrastreifen,2020-10-12
258.0,2020-10-21 00:00:00,08.00-11.00,neben Rathaus,Warnstreik Tarifrunde öD,2020-10-13
259.0,2020-10-20 00:00:00,17.00-20.00,Gustav-Adolf-Straße,FAU-Kü - Offen - Solidarisch - Kostengümstig,2020-10-15
260.0,2020-11-03 00:00:00,07.30-18.00,Halberstädter Straße ,Halle Prozess: Solidarität mit den Betroffenen - Keine Büne dem Täter,2020-10-26
261.0,2020-11-04 00:00:00,07.30-18.00,Halberstädter Straße ,Halle Prozess: Solidarität mit den Betroffenen - Keine Büne dem Täter,2020-10-26
262.0,2020-10-30 00:00:00,11.30-19.00,Otto-von-Guericke-Straße,Deutsche Banken raus aus Kohle und Rüstung,2020-10-28
263.0,2020-10-20 00:00:00,,Hegelstraße ,Situation der Disco- und Barbesitzer,
264.0,2020-10-31 00:00:00,10.30-14.00,Ernst-Reuter-Allee,Christliche Werte sind wertvoll für die Gesellschaft?!,2020-10-29
265.0,2020-10-30 00:00:00,16.00-18.00,Ernst-Reuter-Allee,Forderung eines umfassenden und vollständigen Gesundheitsschutzes,2020-10-29
266.0,2020-11-05 00:00:00,10.00-11.00,Domplatz,Sanierung Giftgrube Brüchau: Auskoffern! Keine Kostenermittlung für untaugliche Maßnahmen!,2020-11-03
267.0,2020-11-14 00:00:00,14.30-16.30,Domplatz,Recht auf Leben,2020-11-03
268.0,2020-11-09 00:00:00,10.00-16.00,Julius-Brehmer-Straße ,Pogromgedenken,2020-11-05
269.0,2020-11-17 00:00:00,08.30-18.00,Halberstädter Straße ,Versammlung anlässlich des Prozesses gegen den Attentäter von Halle am Landgericht Magdeburg,2020-11-03
270.0,2020-11-25 00:00:00,11.00-14.00,Alter Markt,Internationalter Tag gegen Gewalt an Frauen,2020-11-10
271.0,2020-11-14 00:00:00,13.00-15.00,Goldschmiedebrücke,Die Zeit ist reif. Freiheit für Öcalan!,2020-11-10
272.0,2020-11-18 00:00:00,08.00-17.00,Halberstädter Straße ,Mahnwache Halle-Prozess: Solidarität mit den Betroffenen,2020-11-11
273.0,2020-11-20 00:00:00,10.00-11.30,Domplatz,Die Club- und Kulturszene retten!,2020-11-19
274.0,2020-11-25 00:00:00,15.00-18.00,Willy-Brandt-Platz,Gewalt an Frauen,2020-11-29
275.0,2020-12-02 00:00:00,07.30-18.00,Halberstädter Straße ,Solidarität mit den Betroffenen! Keine Bühne dem Täter,2020-11-23
276.0,2020-12-01 00:00:00,16.00-18.30,Ernst-Reuter-Allee,Red Ribben Aktion zum Welt Aids Tag,2020-11-23
277.0,2020-11-28 00:00:00,14.30-16.30,Regierungsstraße ,Recht auf Leben,2020-11-24
278.0,2020-12-01 00:00:00,07.30-17.00,Halberstädter Straße ,"#Halle Prozess, Keine Bühne dem Täter - Solidarität mit den Betroffenen",2020-11-24
279.0,2020-12-05 00:00:00,11.00-14.00,Breiter Weg,Aktionstag für Abrüstung,2020-11-24
280.0,2020-12-02 00:00:00,16.30-19.30,Alter Markt,Aufnahme von Flüchtlingen in Magdeburg als Sicherer Hafen,2020-11-24
281.0,2020-12-03 00:00:00,13.30-19.00,Alter Markt,Aufnahme von Geflüchteten - jetzt! Magdeburg als Sicherer Hafen,2020-11-24
282.0,2020-12-09 00:00:00,08.30-18.00,Halberstädter Straße ,Solidarität mit den Betroffenen - Keine Bühne dem Täter,2020-11-25
283.0,2020-12-14 00:00:00,18.00-22.00,Domplatz,Vernunft statt Panikmache - Zwangsmaßnahmen beenden!,2020-11-25
284.0,2020-11-27 00:00:00,15.00-19.00,Ernst-Reuter-Allee,Wohlstand neu denken,2020-11-26
285.0,2020-12-05 00:00:00,14.30-16.30,Regierungsstraße ,Recht auf Leben,2020-12-01
286.0,2020-12-05 00:00:00,13.00-18.00,Große Diesdorfer Straße ,Weihnachten zur Corona Zeit,2020-12-01
287.0,2020-12-10 00:00:00,14.00-16.00,Domplatz,Kuscheltieraktion - Wir geben Kindern eine Stimme,2020-12-02
288.0,2020-12-03 00:00:00,13.00-14.00,Alter Markt,Rettung der beiden Freiräume in:takt und schauwerk.,2020-12-03
289.0,2020-12-12 00:00:00,10.00-18.00,Willy-Brandt-Platz,21-jährige Verfolgung von Falun Dafa durch die Regierung China's,2020-12-03
290.0,2020-12-12 00:00:00,10.00-16.00,Hasselbachplatz,Der Hasselbachplatz als Ort der Vielfalt und Toleranz,2020-12-02
291.0,2020-12-08 00:00:00,07.30-18.00,Halberstädter Straße ,Prozess: Solidarität mit den Betroffenen - Keine Bühne dem Täter,2020-12-03
292.0,2020-11-26 00:00:00,16.00-17.00,Turmschanzenstraße,Masken in Schulen,2020-11-26
293.0,2020-12-03 00:00:00,,Turmschanzenstraße,Masken in Schulen,
294.0,2020-12-21 00:00:00,08.30-16.00,Halberstädter Straße ,Solidarität mit den Betroffenen,2020-12-01
295.0,2020-12-11 00:00:00,13.00-17-00,Willy-Brandt-Platz,Fünf Jahre ParisAgreement,2020-12-04
296.0,2020-12-14 00:00:00,19.00-20.00,Aufzug,Therapiemaßnahmen (Licht- und Bewegungstherapie),2020-12-07
297.0,2020-12-12 00:00:00,14.30-16.30,Regierungsstraße ,Recht auf Leben,2020-12-08
298.0,2020-12-10 00:00:00,16.00-17.00,Turmschanzenstraße,Nehmt den Kindern die Masken weg,2020-12-08
299.0,2020-12-27 00:00:00,14.00-16.00,Aufzug,"Freiheit für Palästina! Nein zu Trumps ""Jahrhundertdeal!""",2020-12-08
300.0,2020-12-14 00:00:00,18.00-21.00,Domplatz,Eure Worte morden,2020-12-11
301.0,2020-12-16 00:00:00,07.30-08.30,Domplatz,Kuscheltieraktion - Wir geben Kindern eine Stimme,2020-12-12
302.0,2020-12-15 00:00:00,17.30-19.00,Domplatz,Abschaffung Straßenausbaubeiträge ,2020-12-13
303.0,2020-12-17 00:00:00,13.00-15.00,Domplatz,Bleiberecht statt Abschiebung und Familientrennung,2020-12-14
304.0,2020-12-17 00:00:00,12.00-16.00,Leipziger Straße ,Held*innen 2020,2020-12-14
305.0,2020-12-17 00:00:00,12.00-16.00,Fermersleber Weg,Held*innen 2020,2020-12-14
306.0,2020-12-19 00:00:00,14.00-16.00,Regierungsstraße ,Recht auf Leben,2020-12-15
307.0,2020-12-19 00:00:00,13.00-15.00,Strombrücke,Rettet den Stadtpark ROTEHORN!,2020-12-15
308.0,2020-12-20 00:00:00,10.00-17.00,Hasselbachplatz,Mehr Schuhe als Nazis,2020-12-18
309.0,2020-12-28 00:00:00,19.00-20.00,Aufzug,Licht- und Bewegungstherapie,2020-12-26
310.0,2020-12-30 00:00:00,18.00-19.30,Domplatz,"Gemeinsam für Frieden, Freiheit und Demokratie",2020-12-28
311.0,2020-11-03 00:00:00,19.00,,Spaziergang mit Kerzen,
312.0,2020-11-09 00:00:00,19.00,,Spaziergang mit Kerzen,
313.0,2020-11-16 00:00:00,19.00,,Spaziergang mit Kerzen,
