Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung,Unnamed: 6,Unnamed: 7
35.0,2022-01-22 00:00:00,12.00-20.00,Hasselbachplatz,Vielfalt am Hassel und in Magdeburg,2022-01-11 00:00:00,20,
36.0,2022-01-31 00:00:00,18:00-22:00,Domplatz,Für die Freiheit! Gegen Impfpflicht und 2G!,2022-01-13 00:00:00,300,200
37.0,2022-01-22 00:00:00,15.00-17.00,Aufzug,Friedensweg,2022-01-14 00:00:00,9,
38.0,2022-01-16 00:00:00,18.00-19.30,Alter Markt,Gedenken an die Zerstörung Magdeburgs im 2. Weltkrieg,2022-01-14 00:00:00,6,6
39.0,2022-02-01 00:00:00,17:00-19:00,Alter Markt,Kundgebung zur Situation im belarussisch-polnischen Grenzgebiet,2022-01-15 00:00:00,70,50
40.0,2022-01-22 00:00:00,10.00-18.00,Bahnhof Eichenweiler,Gegen Nationalismus/ Für eine solidarische Welt,2022-01-15 00:00:00,9,
41.0,2022-01-22 00:00:00,14.30-16.00,Lothar-Kreusig-Straße,Recht auf Leben in Selbstbestimmung und Frieden,2022-01-16 00:00:00,100,
42.0,2022-01-22 00:00:00,14.00-22.00,Kölner Platz,gegen Geschichtsrevisionismus,2022-01-17 00:00:00,100,
43.0,2022-01-22 00:00:00,14.00-20.00,Domplatz (Landtag),Nie wieder,2022-01-18 00:00:00,20,
44.0,2022-01-22 00:00:00,11.00-16.00,Breiter Weg/          Ernst-Reuter-Allee,Christliche Werte in unserer Gesellschaft,2022-01-18 00:00:00,25,
45.0,2022-01-21 00:00:00,17.45-21.00,Aufzug,Gegen Faschismus auf allen Ebenen,2022-01-19 00:00:00,150,50
46.0,2022-01-22 00:00:00,10.00-20.00,Bahnhof Herrenkrug,Eine Stadt für alle  ,2022-01-19 00:00:00,80,
47.0,2022-01-22 00:00:00,14.00-22.00,Bahnhof SKET,Kundgebung gegen Rassismus und Menschenverachtung,2022-01-19 00:00:00,50,
48.0,2022-01-22 00:00:00,14.00-22.00,Bahnhof Südost,Kundgebung gegen Rassismus und Menschenverachtung,2022-01-19 00:00:00,50,
49.0,2022-01-22 00:00:00,15.30-17.00,Liebknechtstraße,Kein Platz für rechtes Gedankengut - wehret den Anfängen!,2022-01-19 00:00:00,8,
50.0,2022-01-22 00:00:00,14.00-15.00,Leiterstraße,Gegen das Vergessen,2022-01-20 00:00:00,10,
51.0,2022-01-22 00:00:00,12.00-22.00,Maybachstraße,Gedenkkundgebung zum Gedenkmarsch,2022-01-20 00:00:00,150,
52.0,2022-01-24 00:00:00,18.00-20.00,Aufzug,Impfpflicht - nein Danke,2022-01-20 00:00:00,1500,50
53.0,2022-03-05 00:00:00,11.00-16.00,Domplatz,Für freie Impfentscheidung und gegen die Impfpflicht,2022-01-20 00:00:00,300,300
54.0,2022-01-22 00:00:00,10.00-19.00,Bahnhof Buckau,OHNE THEMA,2022-01-22 00:00:00,6,
55.0,2022-01-27 00:00:00,13:00-14:00,Alter Markt,"Keine Wohnbebauungen u.ä. auf der ROTEHORNINSEL, dem Klimaentstehungsgebietin der Landeshauptstadt Magdeburg!  Erhalt von Stadtgrün!",2022-01-25 00:00:00,8,8
56.0,2022-01-27 00:00:00,13:30-14:00,Alter Markt,Klimaschutz jetzt – keine Baumfällungen für Schrott-Immobilien,2022-01-25 00:00:00,10,10
57.0,2022-01-29 00:00:00,14:30-16:00,Lothar-Kreusig-Straße,Recht auf Leben und Selbstbestimmung in Frieden,2022-01-24 00:00:00,100,40
58.0,2022-01-31 00:00:00,18:00-19:30,Breiter Weg,"Für eine Kultur der Aufmerksamkeit, gegen Rechts Extremismus",2022-01-27 00:00:00,15,15
59.0,2022-01-28 00:00:00,18:00-19:00,Breiter Weg (Haltestelle Alter Markt),Relevanter als das System - Gesellschaft statt Profit / Offener Diskurs zu Politik,2022-01-27 00:00:00,30,25
60.0,2022-01-03 00:00:00,18:00-22:00,Aufzug,Montagsspaziergang,-,,1000
61.0,2022-01-10 00:00:00,18:00-22:00,Aufzug,Montagsspaziergang,-,,1000
62.0,2022-01-17 00:00:00,18:00-22:00,Aufzug,Montagsspaziergang,-,,900
63.0,2022-01-22 00:00:00,18:00-22:00,Aufzug,Corona-Spaziergang,-,,400
64.0,2022-01-24 00:00:00,18:00-22:00,Aufzug,Montagsspaziergang,-,,1000
65.0,2022-01-31 00:00:00,18:00-20:00,Aufzug,Impfpflicht - nein Danke,2022-01-27 00:00:00,1500,50
66.0,2022-02-05 00:00:00,14:30-16:00,Lothar-Kreusig-Straße,Recht auf Leben in Selbstbestimmung und Frieden,2022-01-31 00:00:00,100,40
67.0,2022-02-03 00:00:00,15:00-17:30,Otto-von-Guericke-Straße,Gegen Schikane im Jobcenter,2022-01-31 00:00:00,5,5
68.0,2022-09-03 00:00:00,12:00-18:00,Aufzug ,Kampfkultur - Hol dir deine Stadt und dein Land zurück!,2022-01-27 00:00:00,100,45
69.0,04.02.022,18:00-20:00,Breiter Weg,Solidarische Perspektiven in der Corona-Krise,2022-02-01 00:00:00,50,30
70.0,2022-02-19 00:00:00,10:00-17:00,Breiter Weg 203,"Eltern-Kind-Entfremdung, Modernisierung Familienrecht",2022-02-02 00:00:00,8,8
71.0,2022-02-10 00:00:00,15:00-18:00,Olvenstedter Platz,Freiheit für die 11 inhaftierten Antifaschisten /innen in Griechenland,2022-02-02 00:00:00,35,20
72.0,2022-02-07 00:00:00,18:00-20:00,Breiter Weg,"Eine Kultur der Aufmerksamkeit, gegen Rechtsextremismus",2022-02-02 00:00:00,20,10
73.0,2022-02-10 00:00:00,15:00-17:00,Ulrichsplatz,Nein zur Corona-Impfpflicht! Für ein solidarisches Gesundheitswesen!,2022-02-02 00:00:00,15,15
74.0,2022-02-05 00:00:00,09:00-10:00,Moritzplatz,"gegen Krieg aufstehen, keine Wohnbebauung auf der ROTEHORNINSEL",2022-02-03 00:00:00,8,8
75.0,2022-02-08 00:00:00,16:00-17:00,Gedenkstein bei Klinikum Olvenstedt,Gedenken und Kranzniederlegung am Todestag von Frank Böttcher,2022-02-02 00:00:00,30,30
76.0,2022-02-14 00:00:00,14:00-17:00,Willy-Brandt-Platz,Aromatisch und Liebe Vielfätig,2022-02-07 00:00:00,30,30
77.0,2022-02-12 00:00:00,14:30-16:00,Lothar-Kreusig-Straße,Recht auf Leben und Selbstbestimmung in Frieden,2022-02-07 00:00:00,100,30
78.0,2022-02-14 00:00:00,18:30-20:00,Breiter Weg,"Eine Kultur der Aufmerksamkeit, gegen Rechtsextremismus",2022-02-07 00:00:00,20,15
79.0,2022-03-26 00:00:00,12:00-22:00,Alter Markt,Ein OB für alle!,2022-02-06 00:00:00,250,60
80.0,2022-02-12 00:00:00,14:00-15:00,Domplatz,FÜR DIPLOMATIE und ENTSPANNUNGSPOLITIK,2022-02-09 00:00:00,50,8
81.0,2022-02-11 00:00:00,17:00-19:00,Breiter Weg,Relevanter als das System - Gesellschaft statt Profit / Offener Diskurs zu Politik,2022-02-08 00:00:00,30,20
82.0,2022-02-19 00:00:00,09:00-10:30,Alter Markt,"Eltern-Kind-Entfremdung, Modernisierung Familienrecht",2022-02-10 00:00:00,8,8
83.0,2022-02-14 00:00:00,18:15-20:00,Aufzug,Impfpflicht - nein Danke,2022-02-12 00:00:00,800,30
84.0,2022-02-19 00:00:00,15:00-19:00,Hasselbachplatz,Gedenkkundgebung-Zwei Jahre rassistischer Anschlag in Hanau,2022-02-11 00:00:00,50,30
85.0,2022-02-19 00:00:00,14:00-15:30,Domplatz,FÜR DIPLOMATIE und ENTSPANNUNGSPOLITIK,2022-02-13 00:00:00,2 bis 50,15
86.0,2022-02-24 00:00:00,13:00-14:30,Alter Markt,FÜR DIPLOMATIE und ENTSPANNUNGSPOLITIK,2022-02-13 00:00:00,2 bis 50,10
87.0,2022-02-21 00:00:00,18:30-20:00,Breiter Weg,"Eine Kultur der Aufmerksamkeit, gegen Rechtsextremismus",2022-02-15 00:00:00,20,9
88.0,2022-02-26 00:00:00,14:30-16:00,Lothar-Kreusig-Straße,Recht auf Leben in Selbstbestimmung und Frieden,2022-02-15 00:00:00,60,30
89.0,2022-02-18 00:00:00,17:00-19:00,Breiter Weg,Relevanter als das System ,2022-02-15 00:00:00,20,20
90.0,2022-02-26 00:00:00,14:00-15:30,Domplatz,FÜR DIPLOMATIE und ENTSPANNUNGSPOLITIK,2022-02-16 00:00:00,2 bis 50,15
91.0,2022-03-05 00:00:00,14:00-15:30,Domplatz,FÜR DIPLOMATIE und ENTSPANNUNGSPOLITIK,2022-02-16 00:00:00,2 bis 50,10
92.0,2022-03-12 00:00:00,14:00-15:30,Domplatz,FÜR DIPLOMATIE und ENTSPANNUNGSPOLITIK,2022-02-16 00:00:00,2 bis 50,20
93.0,2022-02-21 00:00:00,16:30-17:45,Domplatz,Recht auf Leben und Selbstbestimmung in Frieden,2022-02-17 00:00:00,100,0
94.0,2022-02-21 00:00:00,18:00-20:00,Aufzug,Impfpflicht - nein Danke,2022-02-18 00:00:00,1000,300
95.0,2022-03-01 00:00:00,16:00-17:00,Olvenstedter Graseweg,Gedenken an die ermorderten Sinti und Roma,2022-02-18 00:00:00,50,50
96.0,2022-02-24 00:00:00,15:00-17:00,Domplatz,Pflegenotstand und Impfpflicht stoppen,2022-02-20 00:00:00,50 bis 100,20
97.0,2022-02-28 00:00:00,18:30-20:00,Breiter Weg,"Eine Kultur der Aufmerksamkeit, gegen Rechtsextremismus",2022-02-22 00:00:00,10 bis 20,10
98.0,2022-03-08 00:00:00,16:00-20:00,Aufzug/Kundgebung,Demonstration zum feministischen Kampftag,2022-02-22 00:00:00,250,330
99.0,2022-03-05 00:00:00,12:00-20:00,Domplatz,Corona solidarisch bekämpfen,2022-02-23 00:00:00,300,100
100.0,2022-03-12 00:00:00,14:00-18:00,Alter Markt,Gedenken an Roswitha,2022-02-21 00:00:00,300,150
101.0,2022-03-05 00:00:00,13:00-16:00,Aufzug,Fahrraddemo - AfD abklingeln,2022-02-23 00:00:00,200,
102.0,2022-02-24 00:00:00,18:00-19:30,Breiter Weg/MVB-Häuschen,Protest gegen den Krieg in der Ukraine,2022-02-24 00:00:00,5 bis 15,
103.0,2022-02-28 00:00:00,16:30-18:00,Domplatz,Recht auf Leben und Selbstbestimmung ,2022-02-23 00:00:00,100,70
104.0,2022-02-27 00:00:00,15:00-17:00,Alter Markt,Lage in der Ukraine angesichts der russischen Expansion,2022-02-23 00:00:00,50 bis 1000,
105.0,2022-02-25 00:00:00,17:00-19:00,Breiter Weg - Haltestelle Alter Markt,Relevanter als das System - Gesellschaft statt Profit / Offener Diskurs mit der zivil Bevölkerung,2022-02-23 00:00:00,30,
106.0,2022-02-26 00:00:00,15:00-17:00,Alter Markt,Krieg zwischen Ukraine und Russland,2022-02-24 00:00:00,50 bis 200,
107.0,2022-02-25 00:00:00,11:00-13:00,Domplatz,Mahnwache für Frieden in Europa und Solidarität in Europa,2022-02-24 00:00:00,25,
108.0,2022-02-25 00:00:00,17:00-18:30,Domplatz,"Stille Mahnwache, nie wieder Krieg",2022-02-24 00:00:00,150,
109.0,2022-02-28 00:00:00,18.00-19.30,Ernst-Reuter-Allee/ Breiter Weg,Montagskundgebung,2022-02-26 00:00:00,15,
110.0,2022-03-08 00:00:00,16.00-18.00,Olvenstedter Platz,Heraus zum Frauenkampftag!,2022-02-24 00:00:00,30,90
111.0,2022-03-19 00:00:00,14.00-15.30,Domplatz,Nie wieder Krieg!,2022-02-25 00:00:00,50,22
112.0,2022-03-05 00:00:00,15.00-16.30,Lothar-Kreysig-Straße,Recht auf Leben in Selbstbestimmung  ,2022-02-27 00:00:00,60,40
113.0,2022-03-03 00:00:00,16.30-18.00,Thiemplatz,Protest gegen den Krieg in der Ukraine,2022-02-28 00:00:00,10,8
114.0,2022-03-03 00:00:00,15.00-17.30,Otto-von-Guericke-Straße,Gegen Schikane im Jobcenter,2022-02-28 00:00:00,5,k.A.
115.0,2022-03-07 00:00:00,18.30-20.00,Breiter Weg,"Eine Kultur der Aufmerksamkeit, gegen Rechtsextremismus",2022-02-28 00:00:00,20,6
116.0,2022-03-05 00:00:00,11.30-18.00,Domplatz,Solidarisch durch die Pandemie,2022-02-24 00:00:00,500,
117.0,2022-03-07 00:00:00,17.00-20.00,Aufzug,"Autokorso, kein Impfzwang, für unsere Grundrechte",2022-03-02 00:00:00,300,52
118.0,2022-03-31 00:00:00,08.00-15.00,Hasselbachstraße,Agrarwende jetzt! Weniger Nutztiere - mehr Zukunft!,2022-03-02 00:00:00,20,
119.0,2022-03-03 00:00:00,17.30-19.30,Domplatz,Solidarität mit der Ukraine,2022-03-02 00:00:00,150,
120.0,2022-03-04 00:00:00,17.00-19.00,Breiter Weg,Relevanter als das System - Gesellschaft statt Politik,2022-03-02 00:00:00,30,28
121.0,2022-03-15 00:00:00,16.00-19.00,Hasselbachplatz,Internationaler Tag gegen Polizeigewalt,2022-03-02 00:00:00,120,50
122.0,2022-03-04 00:00:00,19.30-22.00,Aufzug,Proteste für Frieden in der Ukraine!,2022-03-03 00:00:00,100,
123.0,2022-03-07 00:00:00,16.30-18.00,Domplatz,Recht auf Leben und Selbstbestimmung,2022-03-03 00:00:00,100,16
124.0,2022-03-14 00:00:00,17.00-18.30,Ernst-Reuter-Allee/ Breiter Weg,Montagskundgebung,2022-03-03 00:00:00,15,6
125.0,2022-03-21 00:00:00,15.00-17.30,Willy-Brandt-Platz,Gesundheitspolitik in Sachsen-Anhalt,2022-03-04 00:00:00,200,30
126.0,2022-03-11 00:00:00,16.00-18.00,Breiter Weg,Für die Formierung einer neuen Friedens- und Umweltbewegung!,2022-03-06 00:00:00,10,0
127.0,2022-03-12 00:00:00,15.00-16.30,Lothar-Kreyssig-Straße,Recht auf Leben in Selbstbestimmung,2022-03-06 00:00:00,60,10
128.0,2022-03-13 00:00:00,15.00-17.00,Alter Markt,Krieg in der Ukraine,2022-03-07 00:00:00,500,450
129.0,2022-03-14 00:00:00,18.30-20.00,Breiter Weg,"Eine Kultur der Aufmerksamkeit, gegen Rechtsextremismus",2022-03-07 00:00:00,10,3
130.0,2022-03-25 00:00:00,14.00-18.00,Aufzug,Globaler Klimastreik #PeopleNotProfit,2022-03-07 00:00:00,1000,380
131.0,2022-03-14 00:00:00,16:30-18:00,Domplatz,Recht auf Leben und Selbstbestimmung,2022-03-10 00:00:00,100,7
132.0,2022-03-12 00:00:00,13:00-18:00,Breiter Weg,Unterschriftensammlung gegen Unterschriftensammlungen,2022-03-09 00:00:00,10,5
133.0,2022-03-19 00:00:00,13:00-18:00,Breiter Weg,Unterschriftensammlung gegen Unterschriftensammlungen,2022-03-09 00:00:00,10,0
134.0,2022-03-26 00:00:00,14:00-15:30,Domplatz,FÜR DIPLOMATIE und ENTSPANNUNGSPOLITIK,2022-03-12 00:00:00,2 bis 50,30
135.0,2022-04-02 00:00:00,14:00-15:30,Domplatz,FÜR DIPLOMATIE und ENTSPANNUNGSPOLITIK,2022-03-12 00:00:00,2 bis 50,30
136.0,2022-04-16 00:00:00,14:00-15:30,Domplatz,FÜR DIPLOMATIE und ENTSPANNUNGSPOLITIK,2022-03-12 00:00:00,2 bis 50,20
137.0,2022-04-09 00:00:00,14:00-15:30,Domplatz,FÜR DIPLOMATIE und ENTSPANNUNGSPOLITIK,2022-03-12 00:00:00,2 bis 50,25
138.0,2022-03-16 00:00:00,16:30-20:00,Am Buckauer Tor,Kundgebung für Frieden und Abrüstung,2022-03-12 00:00:00,100,12
139.0,2022-03-19 00:00:00,15:00-16:30,Domplatz,Recht auf Leben und Selbstbestimmung,2022-03-12 00:00:00,60,16
140.0,2022-02-21 00:00:00,18:00-22:00,Aufzug,Montagsspaziergang,-,,500
141.0,2022-02-28 00:00:00,18:00-22:00,Aufzug,Montagsspaziergang,-,,800
142.0,2022-03-07 00:00:00,18:00-22:00,Aufzug,Montagsspaziergang,-,,500
143.0,2022-03-14 00:00:00,18:00-22:00,Aufzug,Montagsspaziergang,-,,600
144.0,2022-03-18 00:00:00,15:15-17:00,Leipziger Straße 42,Gegen politische Repression,2022-03-14 00:00:00,30,20
145.0,2022-03-21 00:00:00,18:30-20:00,Breiter Weg,"Eine Kultur der Aufmerksamkeit, gegen Rechtsextremismus",2021-03-15 00:00:00,10,3
146.0,2022-03-21 00:00:00,16:30-18:00,Alter MArkt,Recht auf Leben und Selbstbestimmung,2022-03-16 00:00:00,100,15
147.0,2022-01-08 00:00:00,15:00-20:00,Aufzug,Anti-Corona Spaziergang,-,,5000
148.0,2022-03-28 00:00:00,12:15-14:00,Hasselbachstraße,Bäuerliche Landwirtschaft ist unsere Zukunft! Ackerland in Bauernhand - Großinvestoren stoppen,2022-03-17 00:00:00,20,20
149.0,2022-03-25 00:00:00,17:00-00:00,"Hubbrücke, Westufer",Wahlkampfveranstaltung OB-Wahl,2022-03-17 00:00:00,20,6
150.0,2022-03-25 00:00:00,15:30-17:30,,Energiepreisstopp jetzt,2022-03-21 00:00:00,5,4
151.0,2022-05-01 00:00:00,14:00-18:00,Aufzug,1.Mai -Tag der Internationalen Arbeiterklasse,2022-03-21 00:00:00,75,
152.0,2022-03-26 00:00:00,15:00-16:30,Lothar-Kressig-Straße,Recht auf Leben und Selbstbestimmung ,2022-03-21 00:00:00,60,16
153.0,2022-03-31 00:00:00,17:00-18:30,Domplatz,Friedenskundgebung,2022-03-21 00:00:00,150,100
154.0,2022-04-01 00:00:00,15:00-17:00,Aufzug,Schluss mit Scherzen – Agrarwende jetzt,2022-03-21 00:00:00,500,150
155.0,2022-04-14 00:00:00,16:00-19:00,am Blauen Block 1,Strom und Gas ein Recht – kein Luxus,2022-03-21 00:00:00,25,15
156.0,2022-03-21 00:00:00,18:00-20:00,Domplatz,Krieg und Frieden,2022-03-21 00:00:00,20,3
157.0,2022-03-24 00:00:00,8:30-10:00,Lothar-Kresssig-Straße,Für eine freie Impfentscheidung im Gesundheitswesen,2022-03-22 00:00:00,100,95
158.0,2022-05-01 00:00:00,11:30-15:00,Aufzug,30 Stunden sind genug - Flexibilisierung ist Betrug,2022-03-23 00:00:00,150,50
159.0,2022-03-25 00:00:00,14:00-17:00,Lothar-Kressig-Straße,Friedensschutz und Klimaschutz,2022-03-24 00:00:00,30,4
160.0,2022-03-28 00:00:00,16:30-18:00,Alter Markt,Recht auf Leben und Selbstbestimmung,2022-03-25 00:00:00,100,15
161.0,2022-04-01 00:00:00,17:00-19:00,"Hubbrücke, Westufer",Oberbürgermeisterwahl,2022-03-24 00:00:00,20,10
162.0,2022-03-26 00:00:00,15:00-17:00,Aufzug,Nieder mit der Waffen,2022-03-25 00:00:00,100,22
163.0,2022-03-21 00:00:00,18.07-19.35,Aufzug,Montagsspaziergang,,,550
164.0,2022-03-28 00:00:00,18:00-20:00,Aufzug,Montagsspaziergang,,,600
165.0,2022-04-09 00:00:00,15:00-16:30,Domplatz,Recht auf Leben und Selbstbestimmung in Frieden,2022-03-28 00:00:00,60,30
166.0,2022-04-07 00:00:00,15:00-17:30,Otto-von-Guericke-Straße 12a,Gegen Schikane im Jobcenter,2022-03-28 00:00:00,5,5
167.0,2022-04-22 00:00:00,15:00-19:00,Alter Markt Ecke Breiter Weg,Wahlkampfveranstaltung,2022-03-24 00:00:00,50,40
168.0,2022-03-29 00:00:00,15:00-16:30,Domplatz,Agrarministerkonferenz – Zukunft der Nahrungsmittelsicherheit,2022-03-29 00:00:00,30,30
169.0,2022-03-30 00:00:00,169:30-18:30,Briter Weg (Karstadt),Global denken - lokal handeln!,2022-03-30 00:00:00,10,10
170.0,2022-04-04 00:00:00,17:00-19:00,Alter Markt,Recht auf Leben und Selbstbestimmung ,2022-03-30 00:00:00,100,14
171.0,2022-04-29 00:00:00,16:00-18:00,Hasselbachplatz,"Welttanztag ""Hassel-fröhlich-bunt""",2022-03-29 00:00:00,20,20
172.0,2022-04-09 00:00:00,12:00-20:00,Domplatz,"Frieden,Freiheit, keine Diktatur",2022-03-29 00:00:00,100,1
173.0,2022-04-04 00:00:00,17:00-18:30,Breiter Weg,Montagskundgebung,2022-03-31 00:00:00,10,
174.0,2022-05-07 00:00:00,14:00-19:00,Aufzug,Global Marijuhana March - Legalisierung vin Cannabis,2022-05-07 00:00:00,1000,300
175.0,2022-04-16 00:00:00,15:00-18:00,Aufzug,Ostermarsch Magdeburg,2022-04-05 00:00:00,60,25
176.0,2022-04-07 00:00:00,17:00-18:00,Roncalli Haus,FAM Magdeburg . Wir sind mehr als Zahlen,2022-04-05 00:00:00,50,35
177.0,2022-05-15 00:00:00,11:00-12:30,Aufzug,Verkehrssicherheit für Kinder und Familien im Straßenverkehr,2022-04-07 00:00:00,300,
178.0,2022-04-11 00:00:00,17:00-19:00,Alter Markt,Recht auf Leben und Selbstbestimmung,2022-04-07 00:00:00,100,170
179.0,2022-04-13 00:00:00,17:00-18:00,Willy-Brandt-Platz,Gedenken an die deportierten Jüdinnen und Juden Magdeburgs,2022-04-08 00:00:00,30,30
180.0,2022-04-16 00:00:00,15:00-16:30,Domplatz,Recht auf Leben und Selbstbestimmung,2022-04-10 00:00:00,40,30
181.0,2022-05-17 00:00:00,17:00-21:00,am Allee-Center,Internationaler Tag gegen Homophobie und Transphobie 2022,2022-04-10 00:00:00,200,50
182.0,2022-04-23 00:00:00,14:00-15:30,Domplatz,Kriege beenden,2022-04-19 00:00:00,50,15
183.0,2022-04-30 00:00:00,14:00-15:30,Domplatz,Kriege beenden,2022-04-19 00:00:00,50,16
184.0,2022-05-01 00:00:00,10:00-13:00,Alter Markt,Kriege beenden,2022-04-19 00:00:00,20,25
185.0,2022-04-23 00:00:00,15:00-16:30,Domplatz,Recht auf Leben und Selbstbestimmung,2022-04-17 00:00:00,40,12
186.0,2022-05-01 00:00:00,15:00-16:30,Sternbrücke (Stadtparkseite),Global denken - lokal handeln!,2022-04-18 00:00:00,10,10
187.0,2022-05-14 00:00:00,13:00-20:00,Willy-Brandt-Platz,"Friede, Freiheit, keine Diktatur",2022-04-16 00:00:00,100,
188.0,2022-04-30 00:00:00,13.00-16.00,Domplatz,"Frieden sichern, Wohlstand schützen",2022-04-20 00:00:00,200,150
189.0,2022-04-23 00:00:00,15.00-18.00,"Jordanstraße, Ecke Halberstädter Straße",Mahnwache zu Ehren von Herrn Jordan,2022-04-20 00:00:00,10,10
190.0,2022-05-14 00:00:00,11.00-15.00,Alter Markt,"Präsentation des Netzwerkes, ""Schule ohne Rassismus"", Schule mit Courage""",2022-04-20 00:00:00,1000,
