Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung
19.0,2019-01-17 00:00:00,14.20-14.40,Domfelsen,"Weltoffenes Magdeburg, ""bunter Botschaften im Flug""",2019-01-11 00:00:00
20.0,2019-01-19 00:00:00,12.00-18.00,Nicolaiplatz,"Gedenken der Opfer von Krieg, Gewalt und Vertreibung",2019-01-13 00:00:00
21.0,2019-01-19 00:00:00,10.00-17.00,Goldschmiedebrücke,Frieden und Gestaltung von Friedenswesten,2019-01-13 00:00:00
22.0,2019-02-16 00:00:00,11.45-17.00,Breiter Weg ,Aktion Bunte Westen Wir sind viele,2019-01-12 00:00:00
23.0,2019-01-19 00:00:00,10.00-22.00,Bahnhof Buckau,Buckau Block - Liebe ist stärker als Hass,2019-01-16 00:00:00
24.0,2019-01-19 00:00:00,11.00-17.00,Liebigstraße,Seenotrettung,2019-01-17 00:00:00
25.0,2019-01-19 00:00:00,11.00-16.00,Breiter Weg ,Unterschriftensammlung,2019-01-17 00:00:00
26.0,2019-01-19 00:00:00,12.00-20.00,Ulrichplatz,Kundgebung gegen Rassismus und Geschichtsrevision,2019-01-16 00:00:00
27.0,2019-01-19 00:00:00,11.00-19.00,Große Diesdorfer Straße / Westring,"Gravierende Menschenrechtsverletzungen und trotzdem kein Recht auf Asyl? Konstrukt der ""sicheren Herkunftsstaaten"" abschaffen!",2019-01-19 00:00:00
28.0,28.01.2019,18.30-20.30,Breiter Weg ,Organisierung der Solidarität mit dem kurdischen Volk,2019-01-20 00:00:00
29.0,2019-02-08 00:00:00,16.00-17.00,Birkenallee,Gedenken und Kranzniederlegung am Todestag von Frank Böttcher,2019-01-21 00:00:00
30.0,2019-01-29 00:00:00,18.00-20.30,Ernst-Reuter-Allee,"Tierrechtscube mit Laptops und Videos, dazu Anonymousmasken",2019-01-22 00:00:00
31.0,2019-05-01 00:00:00,09.30-13.00,Aufzug,"Gewerkschaftsdemo zum ersten Mai ""Otto sieht rot""",2019-01-23 00:00:00
32.0,2019-02-28 00:00:00,14.00-15.00,Domplatz,"Petition ""Hannes""",2019-01-25 00:00:00
33.0,2019-02-01 00:00:00,10.00-12.00,Domplatz,Streiken für den Klimaschutz,2019-01-28 00:00:00
34.0,2019-04-06 00:00:00,18.00-22.00,Aufzug,Für Menschenrechte ohne Nazis,2019-01-29 00:00:00
35.0,2019-02-05 00:00:00,16.00-18.30,Alter Markt,Solidaritätsbekundung mit dem Generalstreik der Mouvement des Gilets jaunes ,2019-02-02 00:00:00
36.0,2019-02-27 00:00:00,11.00-13.00,Gellertstraße / Editharing,Tarif- und Besoldungsrunde 2019 im öffentlichen Dienst der Länder,2019-02-01 00:00:00
37.0,2019-02-19 00:00:00,17.00-18.00,Domplatz,Demonstration gegen die Stilllegungsverfügung des LAGB gegenüber GTS,2019-02-05 00:00:00
38.0,2019-02-08 00:00:00,12.30-14.30,Aufzug,Streiken für den Klimaschutz,2019-02-05 00:00:00
39.0,2019-03-01 00:00:00,16.00-17.00,Olvenstedter Graseweg,Gedenken an die ermordete Sinti und Roma,2019-02-06 00:00:00
40.0,2019-02-09 00:00:00,11.00-17.00,Breiter Weg ,Arbeitsfreie Samstage,2019-02-06 00:00:00
41.0,2019-03-08 00:00:00,16.00-20.00,Aufzug,"Demonstration zum Frauenkampftag ""You can´t keep up us down - Rise and resiste!""",2019-02-20 00:00:00
42.0,2019-03-09 00:00:00,13.00-17.00,Aufzug,Artikel 13 - Upload-Filter,2019-02-25 00:00:00
43.0,2019-02-26 00:00:00,13.30-15.30,Breiter Weg ,Versammlungsrecht verteidigen gegen militärisch motivierte Beschränkungen,2019-02-24 00:00:00
44.0,2019-03-01 00:00:00,15:30-18:00,Aufzug,Fridays For Future,2019-02-26 00:00:00
45.0,2019-03-02 00:00:00,11.00-17.00,Ulrichplatz,Urheberrechtreform,2019-02-26 00:00:00
46.0,2019-03-23 00:00:00,13.00-16.00,Aufzug,Informations-/Meinungsbehörde,2019-02-27 00:00:00
47.0,2019-03-15 00:00:00,16.00-18.00,Breiter Weg ,Kundgebung gegen Polizeigewalt,2019-03-01 00:00:00
48.0,2019-03-10 00:00:00,11.00-18.00,Ulrichplatz,Urheberrechtreform,2019-03-04 00:00:00
49.0,04.04.2019   bis         05.04.2019,17.00-14.00,Domplatz,21-stündige Mahnwache & Kundgebung zur 21. Asylrechtsverschärfung,2019-03-05 00:00:00
50.0,2019-03-08 00:00:00,14.00-17.00,Willy-Brandt-Platz,"Frauentag / Motto ""Frauentag wird Feiertag""",2019-03-01 00:00:00
51.0,2019-03-15 00:00:00,10.30-13.00,Aufzug,Streiken für den Klimaschutz,2019-03-05 00:00:00
52.0,2019-05-17 00:00:00,17.00-22.00,Ernst-Reuter-Allee,Internationaler Tag gegen Homophobie und Transphobie 2019,2019-03-08 00:00:00
53.0,2019-03-15 00:00:00,13.00-16.00,Hasselbachplatz,Klimaschutz,2019-03-12 00:00:00
54.0,2019-03-22 00:00:00,12.15-13.15,Aufzug,ÖDG liebt GG§3,2019-03-13 00:00:00
55.0,2019-03-29 00:00:00,12.00-15.00,Aufzug,FridaysForFuture - Klimaschutz,2019-03-23 00:00:00
56.0,2019-05-08 00:00:00,18.00-19.30,Alter Markt,Europawahlkampf 2019 - Auftritt der Parteivorsitzenden Annegret Kramp-Karrenbauer,2019-03-26 00:00:00
57.0,2019-04-06 00:00:00,17.00-24.00,ZOB,Solidarität gegen Rechts - Magdeburg soll sicherer Hafen werden,2019-03-26 00:00:00
58.0,2019-03-30 00:00:00,14.00-17.00,Breiter Weg ,"Tierschutz - mit Laptos, Guy-Fawkes-Masken",2019-03-26 00:00:00
59.0,2019-03-30 00:00:00,13.00-16.00,Aufzug,Informationsfreiheit / Meinungsfreiheit im Internet,2019-03-27 00:00:00
60.0,2019-04-30 00:00:00,08.30-13.00,Otto-von-Guericke-Straße,"Aktion ""Wir helfen - Du bist nicht allein"", Aufklärung und ilfe zum Hartz IV-Regelsatz",2019-03-27 00:00:00
61.0,2019-04-05 00:00:00,19.00-21.00,Aufzug,Staat und Nazis Hand in Hand,2019-03-28 00:00:00
62.0,2019-05-02 00:00:00,16.30-18.00,Ratswaageplatz,Wahlkampfveranstaltung zur Europawahl,2019-03-27 00:00:00
63.0,2019-04-01 00:00:00,18.00-20.00,Aufzug,Die Mauer muss Weg / Keine Mauer in Buckau (Coquistr./Klosterbergestr.),2019-03-27 00:00:00
64.0,2019-04-02 00:00:00,17.15-18.00,Aufzug,Die Mauer muss Weg / Keine Mauer in Buckau (Coquistr./Klosterbergestr.),2019-03-27 00:00:00
65.0,2019-04-04 00:00:00,12.00-15.00,Domplatz,Straßenausbaubeiträge,2019-03-29 00:00:00
66.0,2019-04-06 00:00:00,17.00-24.00,Ulrichplatz,#Ausgefackelt 2.0 - Jugendbeteiligung jetzt!,2019-03-29 00:00:00
67.0,2019-04-06 00:00:00,13.00-16.00,Aufzug,"Demo für ein freies Internet / ""Für das NEIN im Rat!""",2019-03-31 00:00:00
68.0,2019-04-06 00:00:00,16.00-22.00,Hasselbachplatz,Suppe & Mukke - der Hassel bleibt bunt,2019-04-01 00:00:00
69.0,2019-05-18 00:00:00,10.00-13.00,Aufzug,Sternfahrt für mehr Platz fürs Rad,2019-04-01 00:00:00
70.0,2019-04-08 00:00:00,19.00-20.00,Klosterbergestraße / Coquistraße,Die Mauer muss Weg / Keine Mauer in Buckau (Coquistr./Klosterbergestr.),2019-04-04 00:00:00
71.0,2019-04-15 00:00:00,19.00-20.00,Klosterbergestraße / Coquistraße,Die Mauer muss Weg / Keine Mauer in Buckau (Coquistr./Klosterbergestr.),2019-04-04 00:00:00
72.0,2019-05-03 00:00:00,12.00-17.30,Neustädter Platz,Kommunal- und Europawahl 2019 - Auf ein Wort mit Holger Stahlknevcht und Europakandidaten Sven Schulze MdEP,2019-04-02 00:00:00
73.0,2019-04-10 00:00:00,13.00-15.00,Domplatz,Eckpunktpapier Änderung d. Personenbeförderung Taxi,2019-04-05 00:00:00
74.0,2019-04-12 00:00:00,08.00-11.00,Aufzug,FridaysForFuture - Verkehrswende jetzt!,2019-04-06 00:00:00
75.0,2019-04-11 00:00:00,16.00-17.30,Roggengrund,Freiheit für Robby und alle anderen nichtmenschichen Tiere,2019-04-08 00:00:00
76.0,2019-04-13 00:00:00,10.00-17.00,Domplatz,20-jährige Verfolgung von Falun Gong,2019-04-10 00:00:00
77.0,2019-04-13 00:00:00,13.00-16.00,Aufzug,Wahrung Art. 5 GG / Meinungsfreiheit im Internet,2019-04-10 00:00:00
78.0,2019-04-16 00:00:00,15.00-18.00,Große Diesdorfer Straße  ,"Aufbau einer ""Protected Bike Line""",2019-04-10 00:00:00
79.0,2019-05-09 00:00:00,16.00-17.00,Brücke am Wasserfall,"Gedenken an Torsten Lamprecht anlässlich des Jahrestags des Angriffs auf die ""Elbterrassen""",2019-04-16 00:00:00
80.0,2019-05-23 00:00:00,14.00-18.00,Breiter Weg ,MLPD zur Europawahl,2019-04-16 00:00:00
81.0,2019-05-10 00:00:00,15.00-17.00,Alter Markt,Wahlkampfveranstaltung zur Europawahl,2019-04-17 00:00:00
82.0,2019-05-01 00:00:00,10.00-14.00,Alter Markt,"Maikundgebung ""Europa. Jetzt aber richtig!""",2019-04-18 00:00:00
83.0,2019-04-26 00:00:00,13.00-16.00,Aufzug,"FridaysForFuture - Verkehrswende jetzt"" - Fahrrad Demo",2019-06-23 00:00:00
84.0,2019-06-04 00:00:00,09.00-10.30,Domplatz/Aufzug,Bundesweite Abschaffung des Schulgeldes für Heilmittelerbringer sowei Stärkung der Gesundheitsberufe,2019-04-26 00:00:00
85.0,2019-05-03 00:00:00,,Stadtparkstraße,Keine Bebauung am Kleinen Stadtmarsch/Schleusenstraße,2019-04-23 00:00:00
86.0,2019-05-29 00:00:00,12.00-18.00,Alter Markt,Kirchenstaat? Nein Danke. 100 Jahre Verfassungsbruch sind genug.,2019-04-24 00:00:00
87.0,2019-05-07 00:00:00,15.30-18.00,Willy-Brandt-Platz,"Aktionsnachmittag ""35 reicht""",2019-04-24 00:00:00
88.0,2019-05-15 00:00:00,9:00-18:00,Willy-Brandt-Platz,"""…für Europa reichts…""                     Wahlkampftag Die PARTEI",2019-04-25 00:00:00
89.0,2019-05-04 00:00:00,ab 12:00,Aufzug,Hungerstreik (langer Marsch nach Berlin),2019-04-26 00:00:00
90.0,2019-05-01 00:00:00,14.00-17.00,Aufzug,Heraus zum revolutiionären 1. Mai,2019-04-30 00:00:00
91.0,2019-05-23 00:00:00,12.00-13.00,Domplatz,Straßenausbaubeiträge,2019-05-05 00:00:00
92.0,2019-05-09 00:00:00,15.00-18.00,Breiter Weg ,Unterstützt die Hungerstreikenden der kurdischen Bewegung,2019-05-06 00:00:00
93.0,2019-05-28 00:00:00,16.00-18.30,Aufzug,"AKTION ZUM DIVERSITY-TAG AM 28.05. - ""GEMEINSAM UNTERWEGS FÜR DIE VIELFALT""",2019-05-07 00:00:00
94.0,2019-05-24 00:00:00,11.45-16.00,Aufzug,FridaysForFuture - Klima wählen!,2019-05-09 00:00:00
95.0,2019-05-11 00:00:00,09.00-14.00,Ulrichsplatz,20-jährige Verfolgung von Falun Gong,2019-05-09 00:00:00
96.0,2019-05-16 00:00:00,12.00-17.00,Breiter Weg ,Bessere Ausbildungsbedingungen für Psychotherapeuten,2019-05-09 00:00:00
97.0,2019-05-18 00:00:00,11.50-15.30,Goldschmiedebrücke,Bunte Westen,2019-05-13 00:00:00
98.0,2019-08-24 00:00:00,12.00-15.00,Aufzug,CSD Magdeburg 2019,2019-05-15 00:00:00
99.0,2019-05-22 00:00:00,15.00-19.00,Thiemplatz,Kommunalwahlkampf,2019-05-15 00:00:00
100.0,2019-05-18 00:00:00,11.00-18.00,Ulrichsplatz,Europa ,2019-05-16 00:00:00
101.0,2019-06-19 00:00:00,16.00-18.00,Domplatz,Immer noch eine Schippe drauf,2019-05-20 00:00:00
102.0,2019-05-25 00:00:00,11.45-12.30,Domplatz,Fotoaktion: Forderung Grünes Band als Nationales Naturmonument,2019-05-20 00:00:00
103.0,2019-06-14 00:00:00,11.00-12.00,Liebknechtstraße,Gedenkveranstaltung der Frauen des ehemaligen Frauen-KZ,2019-05-21 00:00:00
104.0,2019-06-04 00:00:00,12.00-15.00,Großer Silberberg,Warnstreik,2019-05-22 00:00:00
105.0,2019-06-12 00:00:00,16.00-17.30,Goldschmiedebrücke,Hunde BBQ? Go vegan!,2019-05-28 00:00:00
106.0,2019-06-07 00:00:00,12.00-15.00,Aufzug,Fridays For Future,2019-06-04 00:00:00
107.0,2019-08-29 00:00:00,16.00-18.00,Domplatz,Weil Grundschullehrer*innen es verdienen - E13/A13 für alle!,2019-06-04 00:00:00
108.0,2019-06-26 00:00:00,09.00-12.00,Domplatz,Die Scheuerwehr kommt nach Magdeburg               Bundesverband Taxi und Mietwagen,2019-06-05 00:00:00
109.0,2019-06-19 00:00:00,15.30-16.30,Domplatz,"Für Tarifverträge, Gute Arbeit - Gutes Geld",2019-06-17 00:00:00
110.0,2019-06-19 00:00:00,08.45-10.00,Domplatz,Besoldung und Beförderung in der Polizei; Übernahme des Tarifergebnisses für Beamte und Beamtinnen,2019-06-17 00:00:00
111.0,2019-06-25 00:00:00,13.00-15.00,Am Hansehafen,Tarifkonflikt Glencore Magdeburg GmbH,2019-06-17 00:00:00
112.0,2019-09-26 00:00:00,09.30-14.00,Domplatz,Schulsozialarbeit und Netzwerkstellen sichern,2019-06-17 00:00:00
113.0,2019-06-20 00:00:00,17.00-18.20,Domplatz,Entsorgung der Giftschlammgrube Brüchau,2019-06-18 00:00:00
114.0,2019-06-28 00:00:00,10.00-14.00,Aufzug,Fridays for Future Demonstrationsstreik,2019-06-26 00:00:00
115.0,2019-07-04 00:00:00,13.00-14.00,Alter Markt,Gegen den Rechtsruck im Stadtrat,2019-06-27 00:00:00
116.0,2019-07-06 00:00:00,13.00-18.00,Hasselbachplatz,"Seenotrettung, Festsetzung von Carola Rackete, Rechtsextremismus, Asylgesetze, Abschiebung, sicherer Hafen Magdeburg",2019-06-30 00:00:00
117.0,2019-07-06 00:00:00,10.00-20.00,Ulrichsplatz,20-jährige Verfolgung von Falun Gong,2019-07-01 00:00:00
118.0,2019-07-10 00:00:00,13.00-15.00,Breiter Weg ,"Für den Erhalt des rechtmäßig, demokratisch gewählten Betriebsrat der Niederlassung Brief Magdeburg",2019-07-03 00:00:00
119.0,2019-07-20 00:00:00,23.00-05.00,Liebknechtstraße,"Deine Rechte Wahren, LSBTIQ*Schutzräume erhalten, 15 Jahr Boys n Beats",2019-07-03 00:00:00
120.0,2019-07-05 00:00:00,17.00-22.00,Breiter Weg ,in.takt tanzt den Breiten Weg,2019-07-04 00:00:00
121.0,2019-08-16 00:00:00,16.00-17.00,Hektorweg,Gedenken an Rick L / Opfer rechter Gewalt,2019-07-01 00:00:00
122.0,2019-08-02 00:00:00,09.00-11.00,Aufzug,Warnstreik Tarifrunde Postbankkonzern,2019-07-05 00:00:00
123.0,2019-10-19 00:00:00,14.00-16.00,Aufzug,Walk for freedom - Demonstration gegen Menschenhandel,2019-07-11 00:00:00
124.0,2019-07-19 00:00:00,15.00-17.00,Kleiner Stadtmarsch,Fridays for Future,2019-07-16 00:00:00
125.0,2019-07-26 00:00:00,17.00-20.00,Aufzug,Fridays for Future - Klimaschutz geht nur sozial!,2019-07-18 00:00:00
126.0,"30.07.2019, 31.07.2019",12:00-14:00,Breiter Weg ,"Für den Erhalt des rechtmäßig, demokratisch gewählten Betriebsrat der Niederlassung Brief Magdeburg",2019-07-23 00:00:00
127.0,2019-10-08 00:00:00,16:00-17:30 ,Ministerium MULE - Leipziger Str. 58,Demo & Petitionsübergabe für ein Verbot von Totschlagfallen,3029-07-30 00:00:00
128.0,2019-08-02 00:00:00,11.30-12.30,Domplatz,"Beim 2.8. handelt es sich um einen bundesweiten Aktionstag, an dem die Landesparlamente aufgefordert werden sollen, klimaschädliches Verhalten (z.B. die Firmen der Kohleförderung) nicht mehr zu subventionieren.",2019-08-01 00:00:00
129.0,2019-08-03 00:00:00,09.00-10.00,Willy-Brandt-Platz,Gedenken an den Vorfall von dem Mord am Frankfurter Hauptbahnhof,2019-08-02 00:00:00
130.0,2019-08-10 00:00:00,18.00-22.00,Ambrosiusplatz,Deutsche Opfer fremde Täter ,2019-08-05 00:00:00
131.0,2019-08-24 00:00:00,18.00-22.00,Hasselbachplatz,Cornern Am Hassel,2019-08-09 00:00:00
132.0,2019-08-16 00:00:00,12.00-15.00,Aufzug,Fridays for Future - Wer verleugnet noch Klimawandel,2019-08-12 00:00:00
133.0,2019-08-23 00:00:00,,BAB 2,"Gemeinsam fahren, gemeinsam kämpfen für unsere Rechte",
134.0,2019-08-29 00:00:00,17.00-18.00,Friedensplatz,Nie wieder Krieg! Nie wieder Faschismus! Für Frieden und Abrüstung! - Antikriegstag,2019-08-15 00:00:00
135.0,2019-08-29 00:00:00,09.00-13.00,Domplatz,Giftmüll - Feinstaub - Gestank,2019-08-15 00:00:00
136.0,2019-08-30 00:00:00,15.00-17.00,Aufzug,Streikrecht für Alle!,2019-08-23 00:00:00
137.0,2019-08-29 00:00:00,16.00-18.00,Ernst-Reuter-Allee,Stoppt die Türkischen Angriffe Rojava!,2019-08-26 00:00:00
138.0,2019-08-31 00:00:00,11.00-15.00,Breiter Weg ,Weltfriedenstag,2019-08-28 00:00:00
139.0,2019-09-19 00:00:00,16.00-17.00,Breiter Weg / Ernst-Reuter-Allee,Tag der Zivilcourage (bunte Aktion zum Thema Zivilcourage anlässlich des bundesweiten Aktionstages),2019-08-30 00:00:00
140.0,2019-09-20 00:00:00,11.30-15.30,Aufzug,"Week of Climate weltweit, 20.9. ist die Demonstration ""Alle fürs KlimA""",2019-08-30 00:00:00
141.0,2019-09-08 00:00:00,10.00-11.00,Westfriedhof,"Tag der Erinnerung, Mahnung und Begegnung",2019-09-02 00:00:00
142.0,2019-09-20 00:00:00,15.00-18.00,Sternstraße,Parking Day,2019-09-07 00:00:00
143.0,2019-10-09 00:00:00,17.00-18.00,Hasselbachplatz/       Aufzug,Singen von Friedensliedern,2019-09-08 00:00:00
144.0,2019-09-19 00:00:00,16.00-18.00,Breiter Weg,Retten wir gemeinsam die Erde vor der Profitgier!,2019-09-08 00:00:00
145.0,2019-09-20 00:00:00,09.30-11.30,Willy-Brandt-Platz,"Weltkindertag, UN Kinderschutzrecht ""Das Recht auf Schutz im Krieg und auf der Flucht.""",2019-09-09 00:00:00
146.0,2019-09-20 00:00:00,15.00-22.00,Bernburger Straße ,Verkehrswende - Parkplätze zu Parks!,2019-09-12 00:00:00
147.0,2019-09-20 00:00:00,14.00-19.30,Sternstraße,Parking Day / Verkehrswende / Radverkehr voranbringen,2019-09-13 00:00:00
148.0,2019-09-19 00:00:00,12.45-15.00,Aufzug,"Wem gehören die Wege unserer Stadt?: Kunstprojekt ""Falschparken"" im Rahmen der europ. Mobilitätswoche",2019-09-13 00:00:00
149.0,2019-09-27 00:00:00,,Alter Markt,Klima-Parlament & Party,2019-09-16 00:00:00
150.0,2019-09-20 00:00:00,15.00-19.00,Sternstraße,Schafft Plätze für Parks statt Parkplätze,2019-09-16 00:00:00
151.0,2019-09-21 00:00:00,15.00-17.00,Goethestraße,Demonstration für bessere Fahrradinfrastruktur,2019-09-17 00:00:00
152.0,2019-09-20 00:00:00,15.00-19.00,Otto-von-Guericke-Straße,Für mehr Freiräume im öffentlichen Raum in Magdeburg,2019-09-17 00:00:00
153.0,2019-09-20 00:00:00,14.00-20.00,Breiter Weg,"PARKing Day Magdeburg ""Geh mit!""",2019-09-17 00:00:00
154.0,2019-09-20 00:00:00,15.00-20.00,Breiter Weg,Für mehr Freiräume im öffentlichen Raum in Magdeburg,2019-09-17 00:00:00
155.0,2019-09-20 00:00:00,15.00-19.00,Sternstraße,Mehr Freiräume und Aufenthaltsqualität in den Innenstädten (im Rahme des ParkingDay),2019-09-18 00:00:00
156.0,2019-09-20 00:00:00,15.00-19.00,Sternstraße,Spielplätze statt Parkplätze,2019-09-18 00:00:00
157.0,2019-09-21 00:00:00,12.00-14.00,Kleiner Stadtmarsch,Gegen geplante Bebauung im Bereich des Stadt- und Kulturparks ROTHEHORN,2019-09-20 00:00:00
158.0,2019-09-22 00:00:00,12.00-14.00,Kleiner Stadtmarsch,Gegen geplante Bebauung im Bereich des Stadt- und Kulturparks ROTHEHORN,2019-09-20 00:00:00
159.0,2019-10-14 00:00:00,16.00-18.00,Aufzug,Magdeburg wird Sicherer Hafen!,2019-09-18 00:00:00
160.0,2019-09-28 00:00:00,18.00-21.00,Aufzug,Faschismus tötet hier und heute,2019-09-25 00:00:00
161.0,2019-09-25 00:00:00,13.30-17.30,Liebigstraße,Antrag von LINKE in der Landtagssitzung am 26.09.,2019-09-25 00:00:00
162.0,2019-09-26 00:00:00,16.00-18.00,Alter Markt,Performance im Rahmen der Klimaaktionswoche,2019-09-26 00:00:00
163.0,2019-10-10 00:00:00,13.00-17.00,Gustav-Adolf-Straße/Pfälzer Straße ,Campus autofrei,2019-09-27 00:00:00
164.0,2019-10-12 00:00:00,11.00-16.00,Breiter Weg/ Goldschmiedebrücke,Impfpflicht? - Nein danke!,2019-09-30 00:00:00
165.0,2019-10-03 00:00:00,13.00-15.00,Olvenstedter Platz,Mieten runter Löhne rauf,2019-09-30 00:00:00
166.0,2019-10-05 00:00:00,14.00-17.00,Alter Markt,Rettung Stadtpark Rotehorn,2019-10-04 00:00:00
167.0,2019-10-18 00:00:00,15.00-17.00,Aufzug,Nicht unser Klimapaket!,2019-10-04 00:00:00
168.0,2019-10-09 00:00:00,12.00,Mahnwache im LG MD vor Saal E 14,Aktivisten für den Frieden vor Gericht,2019-10-08 00:00:00
169.0,2019-11-29 00:00:00,14.30-16.00,vor der Uniklinik,Aufarbeitung von DDR Unrecht,2019-10-08 00:00:00
170.0,2019-10-10 00:00:00,17.00-19.00,Mahnmal Alte Synagoge,Anschlag in Halle/Saale,2019-10-10 00:00:00
171.0,2019-10-12 00:00:00,11.00-12.00,Mahnmal Alte Synagoge,Anschlag in Halle/Saale,2019-10-10 00:00:00
172.0,2019-10-10 00:00:00,17.00-18.00,Mahnmal Alte Synagoge,Anschlag in Halle/Saale,2019-10-10 00:00:00
173.0,2019-10-11 00:00:00,17.30-19.00,Synagogengemeinde zu MD,Anschlag in Halle/Saale,2019-10-10 00:00:00
174.0,2019-10-12 00:00:00,14.00-18.00,Aufzug,Angriff der Türkei auf Nordsyrien,2019-10-11 00:00:00
175.0,2019-10-12 00:00:00,13.30-15.00,Willy-Brandt-Platz,Für Frieden gegen Krieg,2019-10-11 00:00:00
176.0,2019-10-09 00:00:00,18.30-20.30,Aufzug,Gegen jede Form von Faschismus! Gegen Rassismus! Niemand ist vergessen!,
177.0,2019-10-10 00:00:00,17.30-20.15,Aufzug,Hände weg von Rojava! Rojava verteidigen!,
178.0,2019-10-13 00:00:00,18.15-20.05,Willy-Brandt-Platz,Nein zum Angriffskrieg der Türkei - Solidarität mit dem Widerstand in Rojava!,2019-10-13 00:00:00
179.0,2019-10-22 00:00:00,10.00-16.00,Aufzug,Land schafft Verbindung,2019-10-16 00:00:00
180.0,2019-10-19 00:00:00,17.00-19.00,Aufzug,Riseup for Rojava,2019-10-17 00:00:00
181.0,2019-10-19 00:00:00,11.00-17.00,Aufzug,Christliche Werte sind wertvoll für die Gesellschaft?!,2019-10-15 00:00:00
182.0,2019-10-21 00:00:00,14.00-17.00,Hartstraße,Rettet den Stadtpark Rotehorn in der Landeshauptstadt Magdeburg,2019-10-19 00:00:00
183.0,2019-10-21 00:00:00,14.00,Hegelstraße,Festveranstaltung statt Beförderungsmittel???,2019-10-21 00:00:00
184.0,2019-10-25 00:00:00,08:30-09:30,Landtag,Protest gegen Insolvenz Klinikum Zeitz,2019-10-21 00:00:00
185.0,2019-11-16 00:00:00,10.00-15:00,Aufzug ab Hassel ,Keine Bühne für neue Nazis,2019-10-23 00:00:00
186.0,2019-10-30 00:00:00,15.00-17.00,Willy-Brandt-Platz,Women Defend Rojava,2019-10-28 00:00:00
187.0,2019-11-09 00:00:00,16.00-19.00,Aufzug,Gedenken an die Opfer des Holocaust,2019-10-28 00:00:00
188.0,2019-11-08 00:00:00,17.00-19.00,Breiter Weg,Mahnwache Novemberpogrome,2019-10-29 00:00:00
189.0,2019-11-02 00:00:00,11.30-13.30,Breiter Weg,"Bunte Westen gegen soziale Spaltung, gegen Krieg",2019-10-29 00:00:00
190.0,2019-11-02 00:00:00,10.00-15.00,Otto-von-Guericke-Straße,20-jährige Verfolgung von Falun Gong,2019-10-30 00:00:00
191.0,2019-11-11 00:00:00,15.00-16.30,Aufzug,Pogromgedenken,2019-10-30 00:00:00
192.0,2019-11-09 00:00:00,11:00-16:00,Kundgebung,Mauerfall,2019-11-01 00:00:00
193.0,2019-11-16 00:00:00,11:00-18:00,Kundgebung,Klimawandel,2019-11-04 00:00:00
194.0,2019-11-13 00:00:00,14.30-17.30,Kundgebung,Solidarität mit den Frauenkämpfen in Rojava,2019-11-11 00:00:00
