Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung,Unnamed: 6,Unnamed: 7
,,,,,,TN angemeldet,TN anwesend
1.0,2021-01-16 00:00:00,12.00-22.00,Aufzug,Trauermarsch 16.000 unvergessen,2018-05-29 00:00:00,,
2.0,16.01.2021,15.00-22.00,Aufzug,Trauermarsch 16.000 unvergessen,2021-09-21 00:00:00,250,109
3.0,2021-01-16 00:00:00,18.00-19.00,Alter Markt,Offenes Singes für ein weltoffenes Magdeburg,2020-10-19 00:00:00,40,75
4.0,2021-01-16 00:00:00,15.00-21.00,Domplatz,Gedenken an die Opfer von Krieg und Gewalt,2020-11-26 00:00:00,30,5
5.0,2021-01-16 00:00:00,10.00-20.00,Nicolaiplatz,Gegen rassistische und menschenfeindliche Aufmärsche,2020-12-03 00:00:00,10,10
6.0,2021-01-16 00:00:00,10.00-20.00,Bahnhof Neustadt,Abstand nach rechts - keinen Meter den Faschisten!,2020-12-04 00:00:00,30,27
7.0,2021-01-16 00:00:00,15.00-22.00,Johannisbergstraße ,Mahnwache gegen die Vereinnahmung der Bombardierung Magdeburgs durch Rechte,2020-12-05 00:00:00,25,10
8.0,2021-01-16 00:00:00,08.00-19.00,Bahnhof Buckau,Antifaschistische Kundgebung anlässlich des Jahrestages der Bombardierung Magdeburgs im II. Weltkrieg,2020-12-09 00:00:00,30,12
9.0,2021-01-16 00:00:00,08.00-19.00,Thiemplatz,Antifaschistische Kundgebung anlässlich des Jahrestages der Bombardierung Magdeburgs im II. Weltkrieg,2020-12-09 00:00:00,30,8
10.0,2021-01-16 00:00:00,10.00-23.00,Bahnhof Hasselbachplatz,Kundgebung für mehr Solidarität und Toleranz,2020-12-10 00:00:00,20,3
11.0,2021-01-16 00:00:00,10.00-20.00,J.B. Str.,"Für eine friedliche und solidarische Welt - gegen Rassismus, Antisemitismus und Gewalt",2020-12-11 00:00:00,100,8
12.0,2021-01-16 00:00:00,12.00-21.00,Bahnhof Buckau,Buckau - Gemeinsam für Demokratie,2020-12-11 00:00:00,200,15
13.0,2021-01-16 00:00:00,13.30-23.00,Konrad-Adenauer-Platz,Solidarische Gesellschaft Magdeburg - Kein Platz den Menschenfeinden,2020-12-13 00:00:00,50,14
14.0,2021-01-16 00:00:00,11.00-18.00,Willy-Brandt-Platz,Sambatrommeln für Toleranz und Weltoffenheit,2020-12-14 00:00:00,4,80
15.0,2021-01-16 00:00:00,15.30-20.00,Liebknechtstraße,Kein Platz für rechtes Gedankengut - wehret den Anfängen!,2020-12-15 00:00:00,10,6
16.0,2021-01-16 00:00:00,15.00-20.00,Otto-von-Guericke-Straße,"Nie wieder … Zeichen setzen für Demokratie, Respekt und Weltoffenheit!",2020-12-15 00:00:00,30,17
17.0,2021-01-15 00:00:00,18.00-22.00,Aufzug,Pappesatt,2020-12-16 00:00:00,150,30
18.0,2021-01-04 00:00:00,18.00-20.00,Breiter Weg,Montagsdemo,2020-12-18 00:00:00,20,
19.0,2021-01-16 00:00:00,10.00-20.00,Westfriedhof,Für demokratischen Verkehr,2020-12-23 00:00:00,200,8
20.0,2021-01-16 00:00:00,10.00-22.00,Willy-Brandt-Platz,FFF gegen Rechts ,2020-12-22 00:00:00,200,100
21.0,2021-01-01 00:00:00,17.00-22.00,Aufzug,Ein Funken Hoffnung,2020-12-22 00:00:00,100,200
22.0,2021-01-04 00:00:00,19.00-20.00,Aufzug,Therapiemaßnahmen (Licht- und Bewegungstherapie),2020-12-30 00:00:00,100,8
23.0,11.01.2021,18.00-20.00,Breiter Weg,Montagsdemo,2021-01-03 00:00:00,20,3
24.0,2021-01-09 00:00:00,14.30-16.30,Domplatz,Recht auf selbstbetimmtes Leben,2021-01-04 00:00:00,100,41
25.0,2021-01-11 00:00:00,19.00-20.00,Aufzug,Therapiemaßnahmen (Licht- und Bewegungstherapie),2021-01-04 00:00:00,100,
26.0,2021-01-16 00:00:00,14.00-22.00,Maybachstraße,Befreiung ist nie zu Ende,2021-01-05 00:00:00,30,16
27.0,2021-01-16 00:00:00,17.00-20.00,Breiter Weg/ Ernst-Reuter-Allee,Eine Stadt für alle unterm Regenbogen,2021-01-07 00:00:00,30,15
28.0,2021-01-16 00:00:00,14.30-22.30,Halberstädter Straße,"Infostand zur Demo ""nazi-Gedenkmarsch"" verhindern",2021-01-07 00:00:00,30,8
29.0,2021-01-16 00:00:00,15.00-21.00,Bahnhof Salbke,Keine Zeiten für rechte Hetze,2021-01-08 00:00:00,10,2
30.0,2021-01-16 00:00:00,15.00-22.00,Bahnhof Südost,Kundgebung gegen Rassismus und Menschenverachtung,2021-01-08 00:00:00,50,2
31.0,2021-01-16 00:00:00,13.00-21.00,Bhf. Eichenweiler,Meilenstein für ein demokratisches und weltoffenes Magdeburg im Bündnis gegen Rechts und Friedenskundgebung,2021-01-10 00:00:00,40,10
32.0,2021-01-16 00:00:00,15.00-22.00,Bhf. SKET,Kundgebung gegen Rassismus und Menschenverachtung,2021-01-08 00:00:00,50,4
33.0,2021-01-16 00:00:00,14.30-16.30,Domplatz,Recht auf selbstbetimmtes Leben,2021-01-10 00:00:00,100,35
34.0,2021-01-16 00:00:00,10.00-23.00,Hasselbachplatz,Naziaufmarsch verhindern,2021-01-11 00:00:00,50,4
35.0,2021-01-16 00:00:00,10.00-18.00,Schellingstraße,Nie Wieder!,2021-01-11 00:00:00,20,10
36.0,2021-01-16 00:00:00,13.30-22.00,Bhf. Herrenkrug,Eine Stadt für alle  ,2021-01-11 00:00:00,60,9
37.0,2021-01-13 00:00:00,10.00-12.00,Domplatz,"Agrarstrukturgesetz, insb. Kurzfristige Änderung des Prozederes auf Schriftverfahren",2021-01-12 00:00:00,10,8
38.0,2021-01-16 00:00:00,14.00-20.00,"Ambrosiusplatz, Bhf. Sudenburg",Sudenburg bewegt sich gegen Extremisums,2021-01-13 00:00:00,9,5
39.0,2021-01-16 00:00:00,16.00-23.00,Ernst-Reuter-Allee,Blockade der Demo der Rechtsradikalen am 16.01.,2021-01-14 00:00:00,2,3
40.0,2021-01-23 00:00:00,14.30-16.30,Domplatz,Recht auf selbstbetimmtes Leben,2021-01-17 00:00:00,100,90
41.0,2021-01-23 00:00:00,14.00-17.00,Aufzug,Queerer Stolpersteinspaziergang,2021-01-17 00:00:00,30,
42.0,2021-01-23 00:00:00,11.00-13.00,Hasselbachplatz,Call to Action,2021-01-19 00:00:00,6,27
43.0,2021-01-23 00:00:00,14.00-14.15,Breiter Weg ,Gedenken an Magnus Hirschfeld,2021-01-21 00:00:00,30,10
44.0,2021-01-23 00:00:00,14.25-14.40,Prälatenstraße,Gedenken an Hsoum Ling-Li,2021-01-21 00:00:00,30,8
45.0,2021-01-23 00:00:00,14.50-15.00,Regierungsstraße,Gedenken an Benno Meyer,2021-01-21 00:00:00,30,12
46.0,2021-01-23 00:00:00,15.10-15.20,Blauebeilstraße,Gedenken an Paul Juhe,2021-01-21 00:00:00,30,12
47.0,2021-01-23 00:00:00,15.30-15.40,Hohepfortestraße,Gedenken an Fritz Arnold Kruse,2021-01-21 00:00:00,30,10
48.0,2021-01-23 00:00:00,15.50-16.00,Hohepfortestraße,Gedenken an Joseph Schütz,2021-01-21 00:00:00,30,9
49.0,2021-01-23 00:00:00,16.10-16.20,Gutenbergstraße,Gedenken an Kurt Willi Köpp,2021-01-21 00:00:00,30,9
50.0,2021-01-23 00:00:00,16.30-16.40,Steinernetischstraße,Gedenken an Paul Klotz,2021-01-21 00:00:00,30,8
51.0,2021-01-23 00:00:00,16.50-17.00,Breiter Weg,Gedenken Queeres Leben in Magdeburg,2021-01-21 00:00:00,30,k.A.
52.0,2021-03-14 00:00:00,10:45-13:00,Domplatz,1700 Jahre arbeitsfreier Sonntag,2021-01-21 00:00:00,50,35
53.0,2021-02-01 00:00:00,18:00-20:00,Breiter Weg,Montagsdemo,2021-01-22 00:00:00,10,k.A.
54.0,2021-01-30 00:00:00,14:00-16:30,Domplatz,Recht auf selbstbetimmtes Leben,2021-01-24 00:00:00,100,60
55.0,2021-01-28 00:00:00,18:30-20:00,Aufzug,Autokorso für Demokratie,2021-01-22 00:00:00,150,167
56.0,2021-01-27 00:00:00,15:00-15:30,Havelstraße ,Gedenken der Opfer des H.,2021-01-27 00:00:00,5,3
57.0,2021-03-19 00:00:00,12:00-15:00,Domplatz,Keine leeren Versprechen mehr,2021-01-28 00:00:00,800,
58.0,2021-02-05 00:00:00,8:00-9:00,Domplatz,Erhalt des Krankenhauses in Havelberg,2021-01-31 00:00:00,10,7
59.0,2021-02-06 00:00:00,14:30-16:30,Domplatz,Recht auf selbstbetimmtes Leben,2021-02-01 00:00:00,100,57
60.0,2021-02-01 00:00:00,19:00-20:00,Hegelstraße,-,-,,35
61.0,2021-02-08 00:00:00,16:00-16:30,Birkenallee,Gedenken an Frank Böttcher,2021-02-03 00:00:00,10,k.A.
62.0,2021-02-07 00:00:00,15:00-16:00,Birkenallee,Gedenkkundgebung Frank Böttcher,2021-02-03 00:00:00,40,12
63.0,2021-02-06 00:00:00,14.00-18-00,Bahnhof Buckau,Held*innen von 2020,2021-02-03 00:00:00,10,
64.0,2021-02-13 00:00:00,14:30-16:30,Domplatz,Recht auf selbstbetimmtes Leben,2021-02-10 00:00:00,100,65
65.0,2021-02-19 00:00:00,17:00-19:00,Hasselbachplatz,In Gedenken an der Ermordeten in Hanau,2021-02-10 00:00:00,60,260
66.0,2021-02-15 00:00:00,15.30-17.00,Alter Markt,Freiheit für Öcalan,2021-02-14 00:00:00,15,20
67.0,2021-02-10 00:00:00,15.25-16.34,Alter Markt,Stoppt den Krieg in Kurdistan! Stoppt den türkischen Faschismus!,,,20
68.0,2021-02-20 00:00:00,14:00-18:00,Sternbrücke/Ecke kleiner Stadtmarsch,Come as you are,2021-02-15 00:00:00,10,5
69.0,2021-02-20 00:00:00,13:00-14:00,Domplatz,Recht auf selbstbetimmtes Leben,2021-02-16 00:00:00,100,2
70.0,2021-03-01 00:00:00,16:00-17:00,Olvenstedter Graseweg,Gedenken an die ermordeten Sinti und Roma,2021-02-16 00:00:00,50,29
71.0,2021-04-05 00:00:00,10:30-18:00,Aufzug,Ostermarsch,2021-02-16 00:00:00,300,
72.0,2021-02-18 00:00:00,17.30-21.00 ,Aufzug,Autokorso für Demokratie,2021-02-03 00:00:00,600,260
73.0,2021-02-20 00:00:00,14:30-16:30,Domplatz,Liebe verbindet,2021-02-16 00:00:00,100,91
74.0,2021-02-27 00:00:00,14:30-16:31,Domplatz,Liebe verbindet,2021-02-16 00:00:00,100,
75.0,2021-03-06 00:00:00,14:30-16:32,Domplatz,Liebe verbindet,2021-02-16 00:00:00,100,
76.0,2021-03-13 00:00:00,14:30-16:33,Domplatz,Liebe verbindet,2021-02-16 00:00:00,100,350
77.0,2021-03-20 00:00:00,14:30-16:34,Domplatz,Liebe verbindet,2021-02-16 00:00:00,100,
78.0,2021-03-27 00:00:00,14:30-16:35,Domplatz,Liebe verbindet,2021-02-16 00:00:00,100,
79.0,2021-04-03 00:00:00,14:30-16:36,Domplatz,Liebe verbindet,2021-02-16 00:00:00,100,
80.0,2021-04-10 00:00:00,14:30-16:37,Domplatz,Liebe verbindet,2021-02-16 00:00:00,100,
81.0,2021-04-17 00:00:00,14:30-16:38,Domplatz,Liebe verbindet,2021-02-16 00:00:00,100,
82.0,2021-04-24 00:00:00,14:30-16:39,Domplatz,Liebe verbindet,2021-02-16 00:00:00,100,
83.0,2021-05-01 00:00:00,14:30-16:39,Domplatz,Liebe verbindet,2021-02-16 00:00:00,100,
84.0,2021-05-08 00:00:00,14:30-16:39,Domplatz,Liebe verbindet,2021-02-16 00:00:00,100,
85.0,2021-05-15 00:00:00,14:30-16:42,Domplatz,Liebe verbindet,2021-02-28 00:00:00,100,
85.0,2021-05-15 00:00:00,14:00-16:30,"Domplatz, Südseite",Liebe verbindet /Wir für Euch und Ihr für Uns,2021-02-12 00:00:00,100,
86.0,2021-05-22 00:00:00,14:30-16:43,Domplatz,Liebe verbindet,2021-03-16 00:00:00,100,
86.0,2021-05-22 00:00:00,14:00-16:30,"Domplatz, Südseite",Liebe verbindet /Wir für Euch und Ihr für Uns,2021-02-12 00:00:00,,
87.0,2021-05-29 00:00:00,14:30-16:44,Domplatz,Liebe verbindet,2021-03-16 00:00:00,100,
88.0,2021-02-19 00:00:00,15:30-18:00,Sternbrücke ,Retten wir gemeinsam den Stadtpark vor der Profitgier,2021-02-17 00:00:00,30,10
89.0,2021-02-27 00:00:00,14:30-16:30,Domplatz,Recht auf Leben,2021-02-18 00:00:00,100,
90.0,2021-02-25 00:00:00,13:00-14:00,Vor dem Landtag,Sanierung Giftgrube Brüchau,2021-02-23 00:00:00,10,6
91.0,2021-05-06 00:00:00,12:00-14:00,Aufzug,Tarifauftakt Einzel- und Versandhandel,2021-02-24 00:00:00,80,
91.0,2021-05-06 00:00:00,12:00-14:00,Aufzug,Tarifauftakt Einzel- und Versandhandel,2021-02-24 00:00:00,80,
92.0,2021-03-08 00:00:00,16:00-21:00,Hasselbachplatz,Demonstration zum feministischer Kampftag,2021-02-25 00:00:00,200,380
93.0,2021-03-01 00:00:00,18:00-20:00,Breiter Weg ,Montagsdemo,2021-02-25 00:00:00,10,k.A.
94.0,2021-02-27 00:00:00,14:00-18:00,Zooallee,Lockdown beenden - Tiere freilassen,2021-02-25 00:00:00,10,k.A.
95.0,2021-03-02 00:00:00,9:00-10:00,Hegelstraße,Vergiss mal nicht! Dauerhafte Perspekktive in Hotelleri und Gastronomie schaffen!,2021-02-25 00:00:00,30,k.A.
96.0,2021-03-08 00:00:00,10:30-13:00,Alter Markt,110 Jahre Frauentag,2021-02-26 00:00:00,4,k.A.
97.0,2021-03-03 00:00:00,12.00-14.00,Unterhorstweg,Warnstreik der Weber Magdeburg GmbH und MTU Reman Technologies GmbH,2021-02-26 00:00:00,120,k.A.
98.0,2021-03-04 00:00:00,17:30-21:00,Aufzug,Autokorso für Demokratie,2021-02-28 00:00:00,400,215
99.0,2021-03-06 00:00:00,14:30-17:30,Domplatz,Recht auf Leben,2021-03-01 00:00:00,100,65
100.0,2021-03-06 00:00:00,13:20-14:20,Domplatz,Recht auf Leben,2021-03-01 00:00:00,50,7
101.0,2021-03-08 00:00:00,11:00-14:00,Hasselbachplatz,Frauentag - Solidarität mit polnischen Frauen,2021-03-02 00:00:00,10,k.A.
102.0,2021-03-06 00:00:00,14:00-16:00,Thiemplatz,Internationaler Frauentag,2021-03-02 00:00:00,9,k.A.
103.0,2021-03-05 00:00:00,14.00-17.00,Hasselbachplatz,100 Gründe gegen den Diktator,2021-03-02 00:00:00,20,38
104.0,2021-03-08 00:00:00,15:30-18:30,Olvenstedter Platz,Heraus zum Frauenkampftag,2021-03-02 00:00:00,30,60
105.0,2021-03-06 00:00:00,15:00-18:00,Goldschmiedbrücke/Breiter weg,Für mehr Politik-freie Wochenenden!,2021-03-03 00:00:00,10,k.A.
106.0,2021-03-10 00:00:00,15.00-18.00,Hasselbachplatz,Freiheit für Öcalan,2021-03-07 00:00:00,15,2
107.0,2021-05-08 00:00:00,16:00-18:00,"Nordpark, Ehrenfriedhof",76 Jahre Befreiung vom Faschismus,2021-03-04 00:00:00,100,60
108.0,2021-03-19 00:00:00,14:00-17:00,Nikolaiplatz,Mahnwache für Klimagerechtigkeit,2021-03-04 00:00:00,15,10
109.0,2021-03-13 00:00:00,13:30-14:30,Aufzug,Kunstprrojekt für die Umsetzung von Corona-Maßnahmen,2021-03-13 00:00:00,15,10
110.0,2021-03-13 00:00:00,10:30-15:00,Aufzug/Kundgebung,Autokorso für Demokratie,2021-03-08 00:00:00,300,103
111.0,2021-03-13 00:00:00,15:00-18:00,Domplatz,Lockdown für Idioten verlängern,2021-03-08 00:00:00,10,5
112.0,2021-03-19 00:00:00,14:00-16:30,Cracauer Str./ Genthiner Str.,Dezentraler Klimastreik Aktion: Ein Baum für jeden Magdeburger,2021-03-08 00:00:00,15,5
113.0,2021-03-12 00:00:00,16:00-17:00,Vvor dem Landtag,Giftschlammgrube Büchau,2021-03-10 00:00:00,7,3
114.0,2021-04-19 00:00:00,11:00-13:00,Alter Markt,Gegen Rechtsextremismus,2021-03-10 00:00:00,250,2
115.0,2021-03-12 00:00:00,13.00-17.00,Hasselbachplatz,Mahnwache Fight every Crisis,2021-03-12 00:00:00,20,6
116.0,2021-03-17 00:00:00,10:00-18:00,Domplatz,Das letzte Mahl der Magdeburger Gastronomen,2021-03-12 00:00:00,25,20
117.0,2021-03-18 00:00:00,10:00-18:00,Domplatz,Das letzte Mahl der Magdeburger Gastronomen,2021-03-12 00:00:00,25,50
118.0,2021-03-19 00:00:00,10:00-18:00,Domplatz,Das letzte Mahl der Magdeburger Gastronomen,2021-03-12 00:00:00,25,
119.0,2021-03-18 00:00:00,11:00-12:00,"Alter Markt, am Hirsch Nähe Hartstraße",Vorsicht Vorurteile,2021-03-15 00:00:00,50,7
120.0,2021-03-18 00:00:00,15:00-17:00,"Alter Markt, An der Haltestelle",Tag der politischen Gefangenen ,2021-03-15 00:00:00,20,30
121.0,2021-03-19 00:00:00,14:00-16:00,Alter Markt/MVB-Häuschen,Globaler Klimastreik,2021-03-15 00:00:00,50,31
122.0,2021-03-19 00:00:00,13:00-15:00,Platz vor dem Qilin,Globaler Klimastreik,2021-03-15 00:00:00,20,9
123.0,2021-03-19 00:00:00,15:00-17.00,Hasselbachplatz Ecke Liebigstraße,5 Kahre Moria Schande,2021-03-15 00:00:00,20 - 30,25
124.0,2021-03-20 00:00:00,15:30-17:30,"Domplatz, Nordseite",Recht auf selbstbetimmtes Leben,2021-03-15 00:00:00,100,43
125.0,2021-03-19 00:00:00,14:30-17:00,Hubbrücke (Stadtseite),Dezentraler Klimastreik Aktion - Verlust der Artenvielfalt,2021-03-16 00:00:00,20,2
126.0,2021-03-19 00:00:00,12:00-17:00,Domplatz,Keine leeren Versprechen mehr,2021-03-16 00:00:00,800,90
127.0,2021-03-19 00:00:00,13:30-16:30,Aufzug,Keine leeren Versprechen mehr,2021-03-16 00:00:00,8,5
128.0,2021-03-19 00:00:00,13:30-16:00,Sternbrücke (Stadtseite),Globaler Klimastreik,2021-03-16 00:00:00,15,k.A.
129.0,2021-03-19 00:00:00,14:00-16:00,Stadtparkstraße (am Knick),Stadtpark retten,2021-03-17 00:00:00,8,2
130.0,2021-03-19 00:00:00,14:00-16:30,Glacis Park/Platz des 17. Juni,Bessere Infrastruktur für den Radverkehr in MD,2021-03-17 00:00:00,10,5
131.0,2021-04-10 00:00:00,12:00-16:00,Vor dem Landtag,"Solidsrisch, vilfältig, demokratisch - unteilbar LSA",2021-03-17 00:00:00,100 - 500,130
132.0,2021-04-22 00:00:00,15:00-19:00,Menschenkette,Die Rote Linie ziehen,2021-03-17 00:00:00,100 - 600,210
133.0,2021-03-27 00:00:00,13;30-14:30,Hans-Grade-Str. 1 (Fußgängerzone,Kunstprojekt für die Umsetzung der Corona-Maßnahmen,2021-03-22 00:00:00,15,15
134.0,2021-03-27 00:00:00,14:30-15:30,Olvenstedter Markt,Kunstprojekt für die Umsetzung der Corona-Maßnahmen,2021-03-22 00:00:00,15,15
135.0,2021-03-27 00:00:00,15:30-17:30,"Domplatz , Nordseite",Recht auf selbstbetimmtes Leben,2021-03-22 00:00:00,100,75
136.0,2021-04-03 00:00:00,12:00-18:00,Domplatz,Freiheit-Religion,2021-03-22 00:00:00,12,10
137.0,2021-04-08 00:00:00,17:30-21:00,Autokorso,Autokorso für Demokratie,2021-03-22 00:00:00,300,140
138.0,2021-04-20 00:00:00,16:00-20:00,"Hasselbachplatz, Ecke Liebigstraße",Die Wahl ist nicht genug,2021-03-22 00:00:00,250,100
139.0,2021-06-03 00:00:00,12:00-20:00,Willy-Brandt-Platz,Wahlkampfveranstaltung DIE LINKE,2021-03-23 00:00:00,250,100
140.0,2021-06-04 00:00:00,17:00-22:00,"Domplatz, Westseite",Wahlkampfabschlusskundgebung AfD,2021-03-19 00:00:00,300,270
141.0,2021-03-29 00:00:00,13:00-14:00,Domplatz,Erhalt des Krankenhauses in Havelberg,2021-03-24 00:00:00,10,7
142.0,2021-04-05 00:00:00,08:00-15:00,Domplatz                   Sternbrücke,331. Friedensweg,2021-03-24 00:00:00,100 - 150,90
143.0,2021-04-03 00:00:00,11:00-12:00,"Domplatz, Westseite",Vernunft statt Panikmache - Lockdown beenden,2021-03-25 00:00:00,300,63
144.0,2021-03-27 00:00:00,15:00-18:00,Ecke Leipziger Straße/Halberstädter Straße,Sonnenuhren retten! Wie stehen Sie zur Sommerzeit?,2021-03-26 00:00:00,3,k.A.
145.0,2021-03-31 00:00:00,17.00-19.00,Domplatz,Kompetenz statt Korruption: Covid konsequent bekämpfen,2021-03-27 00:00:00,200,50
146.0,2021-04-17 00:00:00,14.00-15.30,Aufzug,Es reicht,2021-03-27 00:00:00,500,
147.0,2021-04-10 00:00:00,11.00-16.00,Kundgebung,Unterstützung der Kampagne ZeroCovid,2021-03-28 00:00:00,50,18
148.0,2021-04-05 00:00:00,08.00-10.45,Aufzug,GedächtnisFahrradFriedensFahrt,2021-03-29 00:00:00,40,25
149.0,2021-04-10 00:00:00,14.00-19.00,Domplatz,Impfaufklärung,2021-03-31 00:00:00,500,
150.0,2021-04-24 00:00:00,14.00-16.00,Breiter Weg,Greenpeace gegen unehrliche Werbung von Billigfleisch,2021-03-31 00:00:00,3,
151.0,2021-04-17 00:00:00,15:30-17:30,"Domplatz, Nordseite",Recht auf selbstbetimmtes Leben,2021-04-05 00:00:00,100,400
152.0,2021-04-10 00:00:00,11:00-12:00,Willy-Brandt-Platz,Kunstprojekt für die Umsetzung der Corona-Maßnahmen,2021-04-05 00:00:00,10,10
153.0,2021-04-08 00:00:00,10:00-12:00,vor dem Landtag,Girftgrube Büchau,2021-04-06 00:00:00,8,10
154.0,2021-05-01 00:00:00,10:00-12:00,Alter Markt,Solidarität ist Zukunft,2021-04-06 00:00:00,120,120
155.0,2021-05-09 00:00:00,12:00-15:00,Kundgebung,Tag des Sieges gegen den Faschismus,2021-04-06 00:00:00,150,76
156.0,2021-05-01 00:00:00,12:00-14:00,Alter Markt,Coronakater - Wer zahlt die Zeche?,2021-04-20 00:00:00,50,50
157.0,2021-04-10 00:00:00,14:00-19:00,Domplatz,Transparenter Dialog für Gesundheitliche Entwicklung,2021-04-08 00:00:00,200,125
158.0,2021-04-22 00:00:00,13:00-17:00,Vor dem Landtag,Mehr Frauen in die Parlamente,2021-04-09 00:00:00,5,5
159.0,2021-04-16 00:00:00,14:00-18:00,Hasselbachplatz/Liebigstraße,Wir wollen unser Aufenthaltsrecht zurück,2021-04-10 00:00:00,25,25
160.0,2021-05-01 00:00:00,15:00-18:00,Sternbrücke ,1. Mai internationaler Tag der Arbeiterklasse,2021-04-09 00:00:00,10 bis 30,5
161.0,2021-04-17 00:00:00,13:00-13:30,Domplatz,CSD Saison 2021/Jetzt heißt es Flagge zeigen,2021-04-13 00:00:00,20,17
162.0,2021-05-03 00:00:00,18:00-19:30,Breiter Weg am MVB Häuschen,Montagskundgebung,2021-04-15 00:00:00,10,k.A.
163.0,2021-04-30 00:00:00,15:00-18:00,Autfzug/Kundgebubg (vor dem Landtag),Verkehrswende staatt Autobahn,2021-04-16 00:00:00,50,55
164.0,2021-06-25 00:00:00,14:00-21:00,Domplatz,Politische Kundgebung,2021-04-16 00:00:00,300,
165.0,2021-05-01 00:00:00,14:00-18:00,Aufzug,Heraus zum 1. Mai - Kampftag der internaationalen Arbeiterklasse,2021-04-19 00:00:00,120,
166.0,2021-04-29 00:00:00,15:00-18:00,Otto-von-Guericke-Straße 12a,Heraus zum 1. Mai,2021-04-16 00:00:00,25,11
167.0,2021-04-21 00:00:00,12:00-14:30,"Domplatz, Südseite",Eilversammlung gegen Änderung § 28 IfSG im Bundestag 21.04.2021,2021-04-20 00:00:00,500,
168.0,2021-04-24 00:00:00,15:30-17:30,"Domplatz, Nordseite",Recht auf selbstbetimmtes Leben,2021-04-19 00:00:00,140,100
169.0,2021-04-23 00:00:00,11:00-13:00,Domplatz," ""Ein Land fährt Hoch""",2021-04-19 00:00:00,20,0
170.0,2021-05-09 00:00:00,11:30-16:00,Aufzug/Kundgebung (Alter Markt),Autokorso und Kundgebung für Demokratie,2021-04-20 00:00:00,400,92
