Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung,Unnamed: 6,Unnamed: 7
,,,,,,TN angemeldet,TN anwesend
260.0,2021-06-18 00:00:00,16:45-19:00,Hasselbachplatz/Liebigstraße,Jugend braucht Freiräume,2021-06-18 00:00:00,30 bis 50,25
261.0,2021-06-22 00:00:00,12:00-14:00,Breiter Weg/Ernst-Reuter Allee,"Diplomatie, Entspannungspolitik, Abrüstung Deutschlands gegenüber Russland ",2021-06-20 00:00:00,10,k.A.
262.0,2021-06-26 00:00:00,15:30-17:30,"Domplatz, Nordseite",Recht auf selbstbestimmtes Leben,2021-06-21 00:00:00,100,17
263.0,2021-07-01 00:00:00,14:30-17:30,Otto-von-Guericke-Straße 12a,Gegen Schikane im Jobcenter,2021-06-21 00:00:00,5,k.A.
264.0,2021-07-02 00:00:00,10:30-12:30,Uni-Klinik (Leipziger Straße),Aufarbeitung von DDR-Unrecht/Ungeklärter Säuglingstod /Zwangsadoption,2021-06-21 00:00:00,10 bis 25,k.A.
265.0,2021-06-24 00:00:00,13:00-15:00,Leipziger Straße 60a,Protestkundgebung der Reinigungskräfte des Uniklinikums,2021-06-23 00:00:00,60,k.A.
266.0,2021-07-03 00:00:00,16:00-18:00,Domplatz,Greenpeace gegen zu viel Verpackung,2021-06-23 00:00:00,4,k.A.
267.0,2021-07-10 00:00:00,10:00-17:00,Goldschmiedebrücke,Organraub und die Verfolgung von Falun Gong,2021-06-25 00:00:00,10,k.A.
268.0,2021-08-14 00:00:00,13:00-15:30,Aufzug,CSD Magdeburg 2020,2021-06-25 00:00:00,999,750
269.0,2021-07-07 00:00:00,12:30-13:30,Aufzug/Alt Salbke/Blumbergerstraaße,Deine Stimme für Inklusion - mach mit!,2021-06-28 00:00:00,60,60
270.0,2021-07-09 00:00:00,15:30-17:00,Ulrichsplatz,Solarstrom vom Balkon,2021-06-24 00:00:00,20,
271.0,2021-09-03 00:00:00,12:00-14:00,Domplatz,Wahlkampfkundgebung,2021-06-29 00:00:00,200,150
272.0,2021-07-06 00:00:00,09:00-10_00,Domplatz,weiß auf weiß,2021-06-28 00:00:00,40,25
273.0,2021-08-14 00:00:00,14:00-18:00,Domplatz,Recht auf selbstbestimmtes Leben,2021-06-29 00:00:00,500,140
274.0,2021-07-10 00:00:00,15:00-17:00,Sternbrücke (Stadtparkseite),Rettet den Stadtpark Rotehorn,2021-07-02 00:00:00,6 bis 30,k.A.
275.0,2021-07-29 00:00:00,17:00-20:00,Kundgebung/Aufzu,Solidarität mit Tigray - Stoppt Genozid und Kriegsverbrechen!,2021-07-04 00:00:00,150,46
276.0,2021-07-15 00:00:00,16:00-19:00,Rathausplatz,"Gründung Klimabündnis Magdeburg ""Hört aufs Klima""",2021-07-05 00:00:00,50,60
277.0,2021-07-10 00:00:00,15:30-17:30,"Domplatz, Nordseite",Recht auf selbstbestimmtes Leben,2021-07-05 00:00:00,100,26
