Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung,Unnamed: 6,Unnamed: 7
21.0,2023-01-21 00:00:00,12.00-21.00,Bahnhof Buckau,Buckau Block - Gemeinsam für Demokratie,2022-12-06 00:00:00,200,50
22.0,21.01.2023,10.00-22.00,Willy-Brandt-Platz,Klimagerechtigkeit,2022-12-08 00:00:00,950,60
23.0,2023-01-21 00:00:00,14.00-20.00,Bei der Hauptwache,Grüne für ein weltoffenes Magdeburg,2022-12-10 00:00:00,15,7
24.0,2023-01-21 00:00:00,14.00-22.00,Julius-Bremer-Straße,Gegen Antisemitismus. Für Weltoffenheit und Toleranz,2022-12-18 00:00:00,30,5
25.0,2023-01-21 00:00:00,14.00-18.00,Johanniskirche,"Mahnveranstaltung im Rahmen der Veranstaltung ""Eine Stadt für Alle""",2022-12-20 00:00:00,20,4
26.0,2023-01-21 00:00:00,14.30-18.00,Aufzug,Ökumenischer Friedensweg - Gedenken an die Opfer von Krieg und Gewalt,2022-12-07 00:00:00,400,70
27.0,2023-01-21 00:00:00,14.00-19.00,Otto-von-Guericke-Straße,Zeichen setzen! - Für Demokratie und Weltoffenheit,2022-12-16 00:00:00,30,8
28.0,2023-01-15 00:00:00,14.00-17.00,Aufzug,Aktion gegen Neonazismus,2022-12-28 00:00:00,200,0
29.0,2023-01-02 00:00:00,18.00-19.00,Breiter Weg/                   Ernst-Reuter-Allee,Protest gegen die Kriegspolitik der Ampel-Bundesregierung (Diplomatie statt Waffenexporte),2022-12-30 00:00:00,10,3
30.0,2023-01-23 00:00:00,18.00-19.00,Breiter Weg/                   Ernst-Reuter-Allee,Protest gegen die Kriegspolitik der Ampel-Bundesregierung (Diplomatie statt Waffenexporte),2022-12-30 00:00:00,10,10
31.0,2023-01-09 00:00:00,18.00-20.30,Aufzug,Recht auf Leben und Selbstbestimmung,2023-01-02 00:00:00,250,180
32.0,2023-04-16 00:00:00,11.00-12.30,Aufzug,Kinder aufs Rad,2023-01-03 00:00:00,300,
33.0,2023-05-12 00:00:00,12.00-17.00,Aufzug,Walk of Care 2023 MD,19.08.202´2,300,
34.0,2023-01-21 00:00:00,09.00-18.00,Konrad-Adenauer-Platz,Solidarische Gesellschaft Magdeburg – Kein Platz den Menschenfeinden,2023-01-05 00:00:00,50,10
35.0,2023-01-21 00:00:00,09.00-18.00,Aufzug,"Aktionstag für Frieden, Toleranz und Solidarität",2023-01-05 00:00:00,250,50
36.0,2023-01-16 00:00:00,15.00-18.00,Breiter Weg/Ernst-Reuter-Allee,Frieden jetzt,2023-01-09 00:00:00,3,1
37.0,2023-01-17 00:00:00,09.30-13.30,Leiterstraße,Aktion für eine demokratische Zivilgesellschaft und Förderung der Vielfalt Bürgerschaftlichen Engagements in Magdeburg im Rahmen der Aktionswoche „Eine Stadt für Alle“,2023-01-09 00:00:00,20,
38.0,2023-01-26 00:00:00,09.30-13.30,Willy-Brandt-Platz,Aktion für eine demokratische Zivilgesellschaft und Förderung der Vielfalt Bürgerschaftlichen Engagements in Magdeburg im Rahmen der Aktionswoche „Eine Stadt für Alle“,2023-01-09 00:00:00,20,k.A.
39.0,2023-01-23 00:00:00,09.30-13.30,Alter Markt                 ,Aktion für eine demokratische Zivilgesellschaft und Förderung der Vielfalt Bürgerschaftlichen Engagements in Magdeburg im Rahmen der Aktionswoche „Eine Stadt für Alle“,2023-01-09 00:00:00,20,
40.0,2023-01-18 00:00:00,09.30-13.30,Ratswaageplatz          ,Aktion für eine demokratische Zivilgesellschaft und Förderung der Vielfalt Bürgerschaftlichen Engagements in Magdeburg im Rahmen der Aktionswoche „Eine Stadt für Alle“,2023-01-09 00:00:00,20,
41.0,2023-01-16 00:00:00,18.00-20.30,Aufzug,Recht auf Leben und Selbstbestimmung,2023-01-10 00:00:00,300,200
42.0,2023-01-14 00:00:00,11.00-15.00,Breiter Weg/                   Ernst-Reuter-Allee,Erhalt der christlichen Werte in unserer Gesellschaft,2023-01-10 00:00:00,10,8
43.0,2023-01-21 00:00:00,14.00-20.00,Kölner Platz,Solidarität verteidigen - Kein Platz für Nazis,2023-01-11 00:00:00,20,10
44.0,2023-01-16 00:00:00,17.30-18.00 /19.00-19.30,Alter Markt,Kunstprojekt für unsere Demokratie,2023-01-11 00:00:00,15,8
45.0,2023-01-21 00:00:00,15.00-16.30,Lothar-Kreyssig-Straße,Recht auf Leben in Selbstbestimmung,2023-01-11 00:00:00,40,8
46.0,2023-01-13 00:00:00,18.30-21.00,Halberstädter Straße ,Kohlestopp statt Feiern - Kundgebung zum Neujahrsempfang der Partei B90/ Die Grünen,2023-01-13 00:00:00,30,40
47.0,2023-01-21 00:00:00,14.30-17.00,Gröperstraße 1a,Mahnwache gegen Antisemitismus und Verfälschung der Geschichte – für Toleranz und Demokratie,2023-01-13 00:00:00,200,16
48.0,2023-01-21 00:00:00,11.00-21.00,Pettenkofer Straße,",,Meilenstein"" für ein demokratisches und weltoffenes Magdeburg im Bündnis gegen Rechts und Friedenskundgebung",2023-01-14 00:00:00,40,10
49.0,2023-01-16 00:00:00,18.00-19.00,Haltestelle Alter Markt,Protest gegen die Kriegspolitik der Ampel-Bundesregierung (Diplomatie statt Waffenexporte),2023-01-13 00:00:00,10,8
50.0,2023-01-21 00:00:00,15.00-20.00,Kudgebung mit Aufzug,16000 Tote Ihr Opfer ist unser Auftrag,2023-01-13 00:00:00,25,
51.0,2023-01-23 00:00:00,18.00-20.30,Kudgebung mit Aufzug,Recht auf Leben und Selbstbestimmung,2023-01-16 00:00:00,300,160
52.0,2023-01-21 00:00:00,13.00-16.00,Ulrichplatz,Kundgebung anlässlich der Gegenproteste zum 21.01.2023,2023-01-16 00:00:00,50,7
53.0,2023-01-21 00:00:00,15.00-17.00,Aufzug,Freidensweg,2023-01-11 00:00:00,30,52
54.0,2023-01-21 00:00:00,10.00-22.00,Dom,Extremismus und Terrorismus - mit chridtlichem Glaube unvereinbar,2023-01-17 00:00:00,10,2
55.0,2023-01-21 00:00:00,14.00-22.00,Westfriedhof,Für demokratischen Verkehr,2023-01-04 00:00:00,200,5
56.0,2023-02-14 00:00:00,15.00-17.00,Domplatz,Tanzaktion gegen Gewalt an Frauen,2023-01-17 00:00:00,50,
57.0,2023-01-21 00:00:00,14.00-22.00,Bahnhof SKET,Kundgebung gegen Rassismus und Menschenverachtung,2023-01-17 00:00:00,100,0
58.0,2023-01-21 00:00:00,14.00-22.00,Bahnhof Südost,Kundgebung gegen Rassismus und Menschenverachtung,2023-01-17 00:00:00,50,2
59.0,2023-01-21 00:00:00,14.00-20.00,Aufzug,Nazis wegbassen,2023-01-17 00:00:00,250,310
60.0,2023-01-21 00:00:00,14.00-22.00,Bahnhof Hasselbachplatz,Für Toleranz und Vielfalt,2023-01-17 00:00:00,50,4
61.0,2023-01-21 00:00:00,14.30-20.00,Bahnhof Herrenkrug,Für Weltoffenheit und Toleranz,2023-01-18 00:00:00,50,4
62.0,2023-01-21 00:00:00,15.01-22.45,Lübecker Straße/          Neustädter Friedhof,Getreu den Glauben,2023-01-18 00:00:00,25,30
63.0,2023-01-21 00:00:00,15.30-17.00,Liebknechtstraße,Magdeburg - eine weltoffene Stadt,2023-01-19 00:00:00,10,5
64.0,2023-01-21 00:00:00,10.00-18-00,Olvenstedter Platz,Stadtfeldnazifrei,2023-01-18 00:00:00,10,3
65.0,2023-01-21 00:00:00,15.00-20.00,Nicolaiplatz,Für Toleranz und Vielfalt,2023-01-20 00:00:00,250,6
66.0,2023-01-21 00:00:00,12.00-19.00,Bahnhof Buckaau / Warschauer Straße,"Protest gegen faschistische Aktivitäten und die Unterstützung der Aktionswoche ""Eine Stadt für Alle""",2023-01-19 00:00:00,,8
67.0,2023-02-03 00:00:00,15.00-17.00,Hasselbachplatz,Freiheit für alle politischen Gefangenen,2023-01-20 00:00:00,10,
68.0,2023-01-28 00:00:00,13.30-16.00,Ernst-Reuter-Allee,"Kundgebung gegen das Verbot von Frauenarbeit, Bildung und Musik in Afgahnistan",2023-01-23 00:00:00,100,55
69.0,2023-02-04 00:00:00,15.00-16.30,Lothar-Kreyssig-Straße,Recht auf Leben in Selbstbestimmung,2023-01-23 00:00:00,40,
70.0,2023-01-30 00:00:00,18.00-20.30,Aufzug,Recht auf Leben und Selbstbestimmung,2023-01-24 00:00:00,300,
71.0,2023-02-13 00:00:00,16.00-18.00,Domplatz,Arbeitsbedingungen für Lehrkräfte an öffentlichen Schulen,2023-01-25 00:00:00,2500,
72.0,2023-01-30 00:00:00,16.00-17.00,Willy-Brandt-Platz,"Der Taten erinnern, der Opfer Gedenken",2023-01-25 00:00:00,30,
73.0,2023-01-30 00:00:00,18.00-19.00,Breiter Weg/                Ernst-Reuter-Allee,Protest gegen die Kriegspolitik der Bundesregierung,2023-01-27 00:00:00,10,
74.0,2023-01-16 00:00:00,17.47-21.55,Domportal,Extremismus und Terrorismus sind nicht vereinbar mit christlichen Werten,,,15
75.0,2023-01-25 00:00:00,18.00-18.30,Hasselbachplatz,Friedenslieder singen,2023-01-17 00:00:00,10,6
76.0,2023-02-01 00:00:00,18.00-18.30,Hasselbachplatz,Friedenslieder singen,2023-01-17 00:00:00,10,k.A.
77.0,2023-02-01 00:00:00,18.30-19.30,Max-Josef-Metzger-Straße,Du sollst nicht töten!,2023-01-31 00:00:00,4,k.A.
78.0,2023-02-06 00:00:00,18.00-20.30,Aufzug,Recht auf Leben und Selbstbestimmung,2023-01-31 00:00:00,300,145
79.0,2023-03-03 00:00:00,15.00-18.00,Aufzug,Globaler Klimastreik,2023-02-02 00:00:00,1000,500
80.0,2023-02-08 00:00:00,16.00-17.00,Bruno-Taut-Ring,Gedenken und Kranzniederlegung am Todestag von Frank Böttcher,2023-02-02 00:00:00,30,24
81.0,2023-02-06 00:00:00,18.00-19.00,Breiter Weg/Ernst-Reuter-Allee ,Protest gegen die Kriegspolitik der Bundesregierung,2023-02-04 00:00:00,10,7
82.0,2023-02-06 00:00:00,8.00-10.00,Markgrafenstraße,-,-,-,6
83.0,2023-02-18 00:00:00,15.00-16.30,Lothar-Kreyssig-Straße,Recht auf Leben in Selbstbestimmung,2023-02-05 00:00:00,40,12
84.0,2023-02-09 00:00:00,15.00-17.00,Willy-Brandt-Platz,Gegen Diktator Erdogan,2023-02-07 00:00:00,70,55
85.0,2023-02-08 00:00:00,18.00-18.20,Hasselbachplatz/Liebigstraße,Friedenssingen,2023-02-07 00:00:00,8,k.A.
86.0,2023-03-01 00:00:00,16.00-17.00,Olvenstedter Graseweg,Gedenken an die ermordeten Sinti und Roma,2023-02-07 00:00:00,30,30
87.0,2023-02-13 00:00:00,18.00-20.30,Aufzug,Recht auf Leben und Selbstbestimmung,2023-02-09 00:00:00,300,140
88.0,2023-02-13 00:00:00,16.00-19.00,Domplatz,Klima-Werk-Statt – Protest gegen die Umweltpolitik der Bundesregierung,2023-02-09 00:00:00,100,
89.0,2023-02-13 00:00:00,18.00-19.00,"Breiter Weg/Ernst-Reuter-Allee (MVB-Kiosk) (ehemalige Tanzgaststätte ""Stadt Prag"") ",Protest gegen die Kriegspolitik der Bundesregierung,2023-02-10 00:00:00,10,10
90.0,2023-02-15 00:00:00,17.00-18.00,"Breiter Weg/Ernst-Reuter-Allee (MVB-Kiosk) (ehemalige Tanzgaststätte ""Stadt Prag"") ",Protest gegen die Kriegspolitik der Bundesregierung,2023-02-10 00:00:00,10,10
91.0,2023-02-15 00:00:00,18.00-18.30,Hasselbachplatz/Liebigstraße,Friedenssingen,2023-02-07 00:00:00,10,k.A.
92.0,2023-02-16 00:00:00,16.00-18.00,Alter Markt,Gedenkveranstaltung für die Erdbebenopfer in der Türkei und Syrien,2023-02-13 00:00:00,250,30
93.0,2023-05-13 00:00:00,10.00-15.00,Aufzug,Radwegbau Glindenberg Magdeburg,2023-02-07 00:00:00,200,
94.0,2023-02-21 00:00:00,08.00-11.00,Leiterstraße,Warnstreik Tarifrunde öffentlicher Dienst,2023-02-13 00:00:00,300,450
95.0,2023-02-20 00:00:00,18.00-20.30,Aufzug,Recht auf Leben und Selbstbestimmung,2023-02-14 00:00:00,300,120
96.0,2023-02-20 00:00:00,18.00-19.00,Breiter Weg / Ernst-Reuter-Allee,Protest gegen die Kriegspolitik der Bundesregierung,2023-02-15 00:00:00,10,6
97.0,2023-02-25 00:00:00,18.00-19.00,Breiter Weg / Ernst-Reuter-Allee,Protest gegen die Kriegspolitik der Bundesregierung,2023-02-15 00:00:00,10,k.A.
98.0,2023-02-27 00:00:00,18.00-19.00,Breiter Weg / Ernst-Reuter-Allee,Protest gegen die Kriegspolitik der Bundesregierung,2023-02-15 00:00:00,10,10
99.0,2023-02-19 00:00:00,16.30-18.00,Hasselbachplatz,Gedenken an die opfer des rassistischen Ansclages in Hanau,2023-02-16 00:00:00,30,42
100.0,2023-02-24 00:00:00,15.00-18.00,Aufzug,Jahrestag Krieg Russlands gegen unabhängige Ukraine,2023-02-16 00:00:00,1000,235
101.0,2023-02-22 00:00:00,"18.00-18,30",Hasselbachplatz,Friedenssingen,2023-02-21 00:00:00,10,k.A.
102.0,2023-02-24 00:00:00,14.00-16.00,Friedensplatz,"Gedenken an die Opfer von Krieg, Vertreibung, Zerstörung",2023-02-17 00:00:00,20,12
103.0,2023-03-03 00:00:00,15.00-18.00,Fahrradaufzug,Globaler Klimastreik,2023-02-19 00:00:00,400,100
104.0,2023-03-08 00:00:00,17.00-20.00,Aufzug,Feministischer Kampftag,2023-02-22 00:00:00,300,310
105.0,2023-02-24 00:00:00,14.00-16.00,Breiter Weg,Protest gegen die Kriegspolitik der Bundesregierung,2023-02-23 00:00:00,3,3
106.0,2023-02-27 00:00:00,18.00-20.30,Aufzug,Recht auf Leben und Selbstbestimmung,2023-02-27 00:00:00,300,168
107.0,2023-03-04 00:00:00,15.00-16.30,Lothar-Kreyssig-Straße,Recht suf Leben in Selbstbestimmung,2023-02-23 00:00:00,40,8
108.0,2023-03-01 00:00:00,"18.00-18,30",Hasselbachplatz,Friedenssingen,2023-02-26 00:00:00,10,6
109.0,2023-03-06 00:00:00,18.00-20.30,Aufzug,Recht auf Leben und Selbstbestimmung,2023-02-28 00:00:00,300,
110.0,2023-03-03 00:00:00,12.30-14.30,Breiter Weg 28,Who made my clothes/Fashion Revolution/Bewusster Umgang mit Mode,2023-03-01 00:00:00,50,20
111.0,2023-03-08 00:00:00,09.00-14.00,Wilhelm-Höpfner-Ring 4 (Parkplatz),Aktive Mittagspause im Rahmen der Tarifrunde öD,2023-03-01 00:00:00,50,55
112.0,2023-03-04 00:00:00,10.00-15.00,Goldschmiedebrücke,"Die Verfolgung von Falun Gong- Praktizierenden in China durch die Kommunistische Partei China's """,2023-03-01 00:00:00,7,k.A.
113.0,2023-03-08 00:00:00,15.00-17.00,Breiter Weg,8. März / Internationaler Frauentag ,2023-03-02 00:00:00,20,50
114.0,2023-03-06 00:00:00,18.00-19.00,Breiter Weg,Protest gegen die Kriegspolitik der Bundesregierung,2023-03-04 00:00:00,6,
115.0,2023-03-13 00:00:00,18.00-19.00,Breiter Weg,Protest gegen die Kriegspolitik der Bundesregierung,2023-03-04 00:00:00,6,14
116.0,2023-03-20 00:00:00,18.00-19.00,Breiter Weg,Protest gegen die Kriegspolitik der Bundesregierung,2023-03-04 00:00:00,6,6
117.0,2023-03-27 00:00:00,18.00-19.00,Breiter Weg,Protest gegen die Kriegspolitik der Bundesregierung,2023-03-04 00:00:00,6,12
118.0,2023-04-03 00:00:00,18.00-19.00,Breiter Weg,Protest gegen die Kriegspolitik der Bundesregierung,2023-03-04 00:00:00,6,
119.0,2023-03-09 00:00:00,07.00-14.00,Brenneckestraße/Hansapark,Streik im Rahmen der Tarifverhandlungen,2023-03-06 00:00:00,4,
120.0,2023-04-17 00:00:00,18.00-20.00,Aufzug,Friedensdemo,2023-03-07 00:00:00,1000,
121.0,2023-03-13 00:00:00,18.00-20.30,Aufzug,Recht auf Leben und Selbstbestimmung,2023-03-07 00:00:00,300,145
122.0,2023-05-01 00:00:00,13.00-17.00,Aufzug,Internationaler Tag der Arbeit,2023-03-06 00:00:00,500,
123.0,2023-04-29 00:00:00,13.00-19.00,Aufzug,transparenter politischer Dialog,2023-03-08 00:00:00,3000,
124.0,2023-03-18 00:00:00,15.00-16.30,Lothar-Kreyssig-Straße,Recht auf Leben in Selbstbestimmung,2023-03-08 00:00:00,40,10
125.0,2023-03-10 00:00:00,07.00-13.00,Brenneckestraße/Hansapark,Streik im Rahmen der Tarifverhandlungen,2023-03-09 00:00:00,30,10
126.0,2023-03-11 00:00:00,07.00-13.00,Brenneckestraße/Hansapark,Streik im Rahmen der Tarifverhandlungen,2023-03-09 00:00:00,30,
127.0,2023-03-13 00:00:00,07.00-13.00,Brenneckestraße/Hansapark,Streik im Rahmen der Tarifverhandlungen,2023-03-09 00:00:00,30,k.A.
128.0,2023-03-14 00:00:00,07.00-13.00,Brenneckestraße/Hansapark,Streik im Rahmen der Tarifverhandlungen,2023-03-09 00:00:00,30,k.A.
129.0,2023-04-11 00:00:00,14.00-18.00,Alter Markt,Gemeinsam durch die Kiesen der heutigen Zeit,2023-03-08 00:00:00,10,
130.0,2023-03-20 00:00:00,12.30-14.00,Aufzug,Aktion für eine demokratische Zivilgesellschaft und gegen Rassismus in Magdeburg,2023-03-10 00:00:00,20,k.A.
131.0,2023-03-15 00:00:00,11.05-13.00,O.v.G. 88,"Aktionstag der GdS, aktive Mittagspause",2023-03-13 00:00:00,30,
132.0,2023-03-15 00:00:00,18.00-18.30,Hasselbachplatz/Liebigstraße,Friedenssingen,2023-03-10 00:00:00,10,k.A.
133.0,2023-03-24 00:00:00,06.30-14.00,Aufzug,Warnstreik Tarifrunde öffentlicher Dienst,2023-03-13 00:00:00,800,700
134.0,2023-03-20 00:00:00,18.00-20.30,Aufzug,Recht auf Leben und Selbstbestimmung,2023-03-14 00:00:00,300,160
135.0,2023-03-27 00:00:00,09.00-12.00,Willy-Brandt-Platz,Tarifrunde 2023,2023-03-17 00:00:00,100,200
136.0,2023-03-27 00:00:00,07.30-14.00,Leiterstraße,Warnstreik Tarifrunde öffentlicher Dienst,2023-03-20 00:00:00,300,200
137.0,2023-03-23 00:00:00,13.30-15.00,Ernst-Reuter-Allee,Aktion für eine demokratische Zivilgesellschaft und gegen Rassismus in Magdeburg,2023-03-20 00:00:00,20,k.A.
138.0,2023-03-22 00:00:00,09.00-09.30,Domplatz,Gedenken an den Femizid in Bad Lauchtädt,2023-03-21 00:00:00,30,50
139.0,2023-03-27 00:00:00,18.00-20.30,Aufzug,Recht auf Leben und Selbstbestimmung,2023-03-21 00:00:00,300,122
140.0,2023-04-01 00:00:00,15.00-16.30,Lothar-Kreyssig-Straße,Recht auf Leben in Selbstbestimmung,2023-03-23 00:00:00,40,17
141.0,2023-05-06 00:00:00,14.00-18.00,Aufzug,Globle Marijuana March,2023-03-24 00:00:00,420,
142.0,2023-04-03 00:00:00,18.00-20.30,Aufzug,Recht auf Leben und Selbstbestimmung,2023-03-28 00:00:00,300,
143.0,2023-05-01 00:00:00,10.00-14.00,Alter Markt,"Maikundgebung, ungebrochen solidarisch",2023-03-28 00:00:00,1000,
144.0,2023-04-01 00:00:00,13.00-15.00,Alter Markt,Rojava,2023-03-27 00:00:00,200,17
145.0,2023-04-29 00:00:00,11.00-14.30,Aufzug,Autokorso - Frieden ohne Waffen,2023-03-28 00:00:00,300,
146.0,2023-02-20 00:00:00,18.30-22.00,Aufzug,Future Parade – die Zukunft junger Menschen in den Blick nehmen,2023-03-29 00:00:00,500,
147.0,2023-04-05 00:00:00,18-00.18.30,Hasselbachplatz,Friedenslieder singen,2023-03-30 00:00:00,10,
148.0,2023-04-08 00:00:00,15.00-16.30,Lothar-Kreyssig-Straße,Recht auf Leben in Selbstbestimmung,2023-04-04 00:00:00,40,
149.0,2023-04-08 00:00:00,14.00-16.00,Breiter Weg,Protest gegen die Kriegspolitik der Bundesregierung,2023-04-05 00:00:00,6,
150.0,2023-04-08 00:00:00,14.00-20.00,Breiter Weg,Christliche Werte basierend auf Ostern wiederentdecken,2023-04-04 00:00:00,60,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
