Unnamed: 0,Unnamed: 1,Unnamed: 2,Versammlungen 2023,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Datum,Beginn,Ende,Thema,Ort,Aufzug,Teilnehmende,Absage
2023-02-16 00:00:00,18:00:00,19:00:00,"für das Grundgesetz - für die Würde des Menschen - Diplomaten schicken statt tödliche Waffen - nie mehr den Kindern sagen, dass Ihre bloße Anwesenheit die Eltern töten könnte - nie mehr alte Menschen, die für unseren Wohlstand geschuftet haben, einsperren - Wir sind Bürger mit unterschiedlichen politischen Präferenzen und laden alle Demokraten zum friedlichen Meinungsaustausch ein.",Schlossbezirk ,,49,
2023-02-18 00:00:00,15:00:00,17:00:00,3 Jahre Hanau. Erinnern heißt kämpfen,"Ebertstraße (zweimal),  Hermann-Veit-Straße.",,100,
2023-02-18 00:00:00,14:45:00,17:15:00,Gedenken und Unterstützung der Erdbebenopfer in der Türkei und Syrien,Marktplatz,,200,
2023-02-20 00:00:00,10:30:00,11:30:00,Situation der Studierenden in  Baden-Württemberg,Engesserstraße ,,50,
2023-02-22 00:00:00,07:30:00,12:00:00,DES-Urteil,Schlossbezirk ,,25,
2023-02-23 00:00:00,12:00:00,14:00:00,Demonstration mit anschließender Kundgebung zur Tarifrunde 2023 der Eisenbahn- und Verkehrsgewerkschaft (EVG).,Bahnhofsvorplatz bis Güterbahnstraße,x,200,
2023-02-23 00:00:00,17:30:00,19:00:00,WIR SIND BAUM,Kaiserstraße,,50,
2023-02-23 00:00:00,18:00:00,19:00:00,"für das Grundgesetz - für die Würde des Menschen - nie mehr den Kindern sagen, dass Ihre bloße Anwesenheit die Eltern töten könnte - nie mehr alte Menschen, die für unseren Wohlstand geschuftet haben, einsperren - Die RichterInnen des BVG sollten endlich Ihre Aufgabe erfüllen + darüber urteilen, ob manche Grundrechtseinschränkungen Grundgesetzwidrig waren - Wir sind Bürger mit unterschiedlichen politischen Präferenzen und laden alle Demokraten zum friedlichen Meinungsaustausch ein.",Schlossbezirk ,,49,
2023-02-24 00:00:00,14:00:00,19:00:00,Gedenken des Jahrestages des russischen Angriffkrieges auf die Ukraine,"Durlach Schlossplatz, Marktplatz",,50,
2023-02-24 00:00:00,18:00:00,18:30:00,Anerkennung des Genozids an den Tamil*innen,"zuständig Mannheim,  Marktplatz eine Zwischenkundgebung",,10,x
2023-02-24 00:00:00,18:00:00,19:00:00,Gemeinsam für den Frieden, Kirchplatz St. Stephan,,200,x
2023-02-24 00:00:00,17:00:00,18:00:00,Kundgebung anlässlich des Jahrestages des Angriefskrieges des Russlands auf die Ukraine,Schlossplatz Karlsruhe,,1500,
2023-02-24 00:00:00,18:00:00,20:00:00,Critical Lichter Mass,Kronenplatz bis Friedrichsplatz,x,200,
2023-02-24 00:00:00,18:00:00,18:30:00,Friedensgebet,Marktplatz Durlach,,50,
2023-02-24 00:00:00,16:00:00,19:00:00,"Autofahrer, die sich für ihre Rechte im Straßenverkehr einsetzen.",Kronenplatz,,200,x
2023-02-24 00:00:00,16:30:00,19:00:00,Ein Jahr Ukrainekrieg - Stopp der Vorbereitung eines 3. Weltkriegs,Entenfang,,25,
2023-02-24 00:00:00,16:00:00,18:00:00,Catcalls of Karlsruhe kreiden an,"Weinbrennerplatz, Kreuzstraße",,2,
2023-02-24 00:00:00,17:30:00,21:30:00,Sofortige Friedenverhandlungen in der Ukraine / Die Bundesregierung muss ihre Haltung und 360 Grad drehen und dann noch einmal um 180 Grad,"Stephanplatz, Douglasstraße, Kaiserstraße, Kronenstraße, Zirkel, Kreuzstraße, Kaiserstraße, Leopoldstraße, Amalienstraße, Stepanplatz",,75,
2023-02-25 00:00:00,14:30:00,17:00:00,Peta Zwei Streetteam Karlsruhe Veganstart,Marktplatz,,10,
2023-02-25 00:00:00,14:00:00,16:00:00,"Schluss mit der willkürlichen Untersuchungshaft von den politischen Gefangenen Özgül Emre, İhsan Cibelik,
Serkan Küpeli und Hasan Unutan! Freiheit für alle politischen Gefangenen !",Ludwig-Erhard-Allee 4,,50,
2023-02-25 00:00:00,14:00:00,16:00:00,Iran im Aufruhr,Kronenplatz bis Marktplatz,,200,
2023-03-01 00:00:00,18:30:00,19:30:00,1. März - Gedenken an die Deportation von Julius Hirsch,Hauptbahnhof Karlsruhe,,20,
2023-03-02 00:00:00,16:00:00,18:30:00,Frieden,Wiesenstraße Grünwettersbach,,,
2023-03-03 00:00:00,11:00:00,18:00:00,Globaler Klimastreik von Fridays for Future zum Thema Verkehrswende in Kooperation mit Verdi,"Marktplatz, Karl-Friedrich-Straße, Kriegsstraße, Sophienstraße, Reinhold-Frank-Straße, Kaiserstraße, Marktplatz",,3500,
2023-03-03 00:00:00,11:00:00,15:00:00,Warnstreik öffentlicher Dienst - zusammen mit Fridays for Future,Marktplatz - Karl-Friedrich-Straße - Kriegsstraße - Sophienstraße - Reinhold-Frank-Straße - Kaiserstraße - Marktplatz,x,1000,x
2023-03-04 00:00:00,14:00:00,16:00:00,Iran im Aufruhr,"Kronenplatz, Kaiserstraße, Waldstraße, Erbprinzenstraße, Rondellplatz, Marktplatz",x,200,
2023-03-07 00:00:00,16:00:00,18:00:00,Infoveranstaltung zum Equal Pay Day 7.3.2023,Marktplatz (vor Stadtkirche),,50,
2023-03-07 00:00:00,17:00:00,18:15:00,"Stille Mahnwache für Frieden, Demokratie und Menschenrechte",Schlossplatz Durlach,,12,
2023-03-08 00:00:00,17:00:00,19:00:00,Internationaler Frauentag ,"Stephanplatz, Waldstraße, Kaiserstraße, Herrenstraße, Erbprinzenstraße, Lammstraße, Kaiserstraße, Kronenstraße, Kronenplatz",,500,
2023-03-11 00:00:00,12:00:00,16:00:00,Klimaschutz,Kaiserstraße Ecke Waldstraße,,20,
2023-03-18 00:00:00,15:30:00,19:00:00,Tag der politischen Gefangenen,Kirchplatz St. Stephan,,40,
2023-03-25 00:00:00,16:00:00,20:00:00,Bewegungsmeditation für den inneren und äußeren Frieden und gegen die Erstarrung der Herzen,"Park ""Alter Friedhof""",,80,
2023-03-29 00:00:00,10:00:00,13:00:00,Aktionstag gegen Rassismus,Marktplatz,,500,
2023-04-01 00:00:00,12:00:00,17:00:00,Freiheit- Religion,Schlossplatz Karlsruhe,,10,
2023-05-01 00:00:00,,,01.05.2022 - Feier,Marktplatz,,1000,
2023-05-13 00:00:00,10:00:00,12:30:00,Ride for Europe 2023,Marktplatz bis Kandel,x,60,
2023-06-03 00:00:00,12:00:00,16:00:00,CSD Karlsruhe 2023,Marktplatz,,3000,
2023-09-16 00:00:00,14:00:00,18:00:00,Schiitisch Trauer Versammlung,Schiitisch Trauer Versammlung,,150,
06.02. bis 10.02.2023,09:00:00,20:00:00,Galerie der Gesellschaft,Marktplatz,,20 gleichzeitig ,
24.02. und 25.02.2023,14:00:00,09:00:00,Radfahren for Justice (Den Haag nach Genf),"Maxau bis Karlsruhe, Karlsruhe bis Kehl",,4,
