Versammlungen 2023,Unnamed: 1,Unnamed: 2,Unnamed: 3
Datum,Veranstalter,Thema,Angemeldete Teilnehmerzahl
2023-03-16 00:00:00,,"für das Grundgesetz - für die Würde des Menschen - nie mehr den Kindern sagen, dass Ihre bloße Anwesenheit die Eltern töten könnte - nie mehr alte Menschen, die für unseren Wohlstand geschuftet haben, einsperren - Die RichterInnen des BVG sollten endlich Ihre Aufgabe erfüllen + darüber urteilen, ob manche Grundrechtseinschränkungen Grundgesetzwidrig waren - Frieden schaffen ohne Waffen - keine Waffen in Kriegsgebiete liefern, die gebaut wurden um Menschen zu verletzen, zu töten, zu zerfetzen - Wir sind Bürger mit unterschiedlichen politischen Präferenzen und laden alle Demokraten zum friedlichen Meinungsaustausch ein.",49
2023-03-19 00:00:00,,Freiheit - Religion,10
2023-03-23 00:00:00,"AG Garten der Religionen für Karlsruhe e.V., Ökumenische Citykirchenarbeit „fächersegen“, Deutschsprachiger Muslimkreis Karlsruhe e.V., Antidiskriminierungsstelle Karlsruhe, Gemeinschaft Lavigerie, Stadtkloster St. Franziskus",Slow walk FOR PEACE,50
2023-03-22 00:00:00,Gewerkschaft ver.di,Warnstreik der Beschäftigten im öffentlichen Dienst,1000
2023-03-22 00:00:00,Gewerkschaft ver.di,Warnstreik der Beschäftigten im öffentlichen Dienst,2500
2023-03-22 00:00:00,Gewerkschaft ver.di,Warnstreik der Beschäftigten im öffentlichen Dienst,1000
2023-03-18 00:00:00,,"Freiheit-Religion, mit Rede Musik",5
2023-06-10 00:00:00,Klimabündnis Karlsruhe,Klimawandel und Gesundheit,20
2023-03-21 00:00:00,Catcalls of Karlsruhe,Catcalls of Karlsruhe kreiden an,2
2023-03-31 00:00:00,,Critical Mass Verkehrswende,150
2023-03-22 00:00:00,Gewerkschaft ver.di,Warnstreik öffentlicher Dienst ,500
2023-03-25 00:00:00,Friedensbündnis Karlsruhe,Stoppt den Krieg - Ostermarsch [Stuttgart!] 2023,10
2023-03-21 00:00:00,,21.03.23 ist Internationaler Tag der Sozialen Arbeit. Ver.di ruft einige Sozialeinrichtungen der Stadt Karlsruhe zu einem Freeze-Flashmob auf den Mein.,30
2023-03-21 00:00:00,,Andenken an Opfer der iranischer Revolution und persisches Neujahr,5
2023-04-01 00:00:00,ISKCON Heidelberg e.V.,Weltfrieden durch inneren Frieden,30
