Versammlungen Potsdam 2021,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2021-04-17 00:00:00,14:30 - 16:00,Potsdam,Wie soll es weitergehen,2,Lustgarten
2021-06-06 00:00:00,11:30 - 12:30,Potsdam,Mehr Platz für das Fahrrad auf der Straße,50,Innenstadt Potsdam
2021-05-01 00:00:00,16:00 - 19:00,Potsdam,1.Mai - Kundgebung,500,Lustgarten
2021-03-20 00:00:00,14:30 - 16:00,Potsdam,"Für Frieden, Freiheit und Demokratie",500,Lustgarten
2021-04-20 00:00:00,17:00 - 21:00,Potsdam,Nein zum geplanten § 28b IFSG am 21.04.2021,150,Innenstadt Potsdam
2021-04-27 00:00:00,17:00 - 21:00,Potsdam,Driving 4 Future,150,Innenstadt Potsdam
2021-05-01 00:00:00,15:00 - 19:00,Potsdam,Gegendemo zur AfD-Kundgebung,200,Filmmuseum
2021-05-05 00:00:00,12:30 - 13:00,Potsdam,Kundgebung / Warnstreik,80,August-Bebel-Straße
2021-05-04 00:00:00,10:00 - 11:00,Potsdam,Reformvorhaben Schließung von Arbeitsgerichtsstandorten im Land BB,30,Alter Markt
2021-05-05 00:00:00,14:00 - 17:00,Potsdam,Mieterhöhungen zurücknehmen,50,Zepellinstraße / MBS-Arena
2021-04-29 00:00:00,12:15 - 13:00,Potsdam,Übergabe eines Protestbriefes,10,Alter Markt
2021-05-08 00:00:00,14:00 - 15:00,Potsdam,76. Jahrestag Ende des 2. Weltkrieges,30,"Alter Markt 9, Gedenkstein"
2021-05-06 00:00:00,15:00 - 18:00,Potsdam,NoCovid trifft Sichere Bildung,15,Alter Markt
2021-05-20 00:00:00,15:00 - 18:00,Potsdam,NoCovid trifft Sichere Bildung,15,Alter Markt
2021-05-27 00:00:00,15:00 - 18:00,Potsdam,NoCovid trifft Sichere Bildung,15,Alter Markt
2021-06-03 00:00:00,15:00 - 18:00,Potsdam,NoCovid trifft Sichere Bildung,15,Alter Markt
2021-05-06 00:00:00,15:00 - 17:00,Potsdam,Ein Jahr Bürgerbegehren für bessere Arbeitsbedingungen…,30,"Fr.-Ebert-Str. 79-81, Stadthaus Potsdam"
2021-05-08 00:00:00,15:30 - 18:00,Potsdam,Bewahrung der Grundrechte in einer epidemischen Lage,50,Vorplatz Brandenburger Tor (rechtsseitig Richtung Hegelallee)
2021-05-15 00:00:00,14:00 - 16:00,Potsdam,Wie soll es weitergehen,50,Freifläche vor dem Filmmuseum
2021-05-07 00:00:00,17:30 - 19:15,Potsdam,Aufruf der Aktion EvacEUate zu Protestcamps…,120,Platz der Einheit 1
2021-05-08 00:00:00,11:00 - 11:30,Potsdam,Gedenkveranstaltung zum 08.Mai,100,"Bassinplatz, sowjetisches Ehrenmal"
2021-05-11 00:00:00,17:00 - 21:00,Potsdam,Driving 4 Future,50,Innenstadt Potsdam
2021-05-01 00:00:00,15:00 - 18:00,Potsdam,1. Mai - Nazifrei,100,Lustgarten
2021-05-01 00:00:00,15:00 - 18:00,Potsdam,1. Mai - Nazifrei,100,Lustgarten
2021-05-21 00:00:00,12:00 - 14:00,Potsdam,Aktion zur bundesweiten Public Climate School,25,Platz der Einheit 1
2021-05-18 00:00:00,17:00 - 21:00,Potsdam,Driving 4 Future,50,Innenstadt Potsdam
2021-05-13 00:00:00,10:00 - 12:00,Potsdam,Stellenwert des Breitensports für die Entwicklung der Kinder und Jugendlichen,,Alter Markt
2021-05-19 00:00:00,18:30 - 21:00,Potsdam,Mehr Platz für das Fahrrad auf der Straße,,Fahrradkorso
2021-05-20 00:00:00,12:00 - 14:00,Potsdam,Einbringung Gesetzentwurf Artenschutz im Landtag Brandenburg,15,Alter Markt
2021-05-25 00:00:00,17:00 - 21:00,Potsdam,Driving 4 Future,50,Innenstadt Potsdam
2021-05-29 00:00:00,16:00 - 21:00,Potsdam,Vielfalt gewinnt - gemeinsam für einen solidarischen Kiez,500,Karl Liebknecht Straße 90 / Stadion
2021-06-19 00:00:00,15:00 - 19:00,Potsdam,Tag der Verkehrssicherheit,100,Fahrradkorso
2021-06-01 00:00:00,17:00 - 21:00,Potsdam,Driving 4 Future,50,Innenstadt Potsdam
2021-06-10 00:00:00,15:00 - 18:00,Potsdam,Sichere Bildung und Niedriginzidenzstrategie,10,Am Alten Markt 1 in 14467 Potsdam
2021-06-23 00:00:00,14:00 - 16:00,Potsdam,"Gerechte Bildung für Alle - keine ""lost generation"" durch Corona Abitur/Studium",150,Alter Markt
2021-06-17 00:00:00,17:30 - 18:30,Potsdam,Kranzniederlegung zum Volksaufstand 1953,20,Friedrich-Engels-Straße 79
2021-06-09 00:00:00,20:00 - 20:30,Potsdam,Global water Dances…,100,Park Babelsberg an der Gerichtslaube
2021-06-11 00:00:00,20:00 - 20:30,Potsdam,Global water Dances…,100,Park Babelsberg an der Gerichtslaube
2021-06-12 00:00:00,20:00 - 20:30,Potsdam,Global water Dances…,100,Freundschaftsinsel
2021-06-05 00:00:00,10:30 - 11:30,Potsdam,Verkehrsaktionswochenende,10,B2 / H.-Heine-Weg
2021-06-17 00:00:00,15:00 - 18:00,Potsdam,Sichere Bildung und Niedriginzidenzstrategie,10,Am Alten Markt 1 in 14467 Potsdam
2021-09-04 00:00:00,10:00 - 16:00,Potsdam,Sonnenhofroute - Mehr Verantwortung für schwerstkranke Kinder übernehmen,250,Potsdam
2021-06-19 00:00:00,09:30 - 21:00,Potsdam,Umdenken & Neudenken…Klimakrise verhindern,50,Lindenstraße
2021-06-20 00:00:00,09:30 - 16:00,Potsdam,Umdenken & Neudenken…Klimakrise verhindern,50,Lindenstraße
2021-06-08 00:00:00,17:00 - 21:00,Potsdam,Driving 4 Future,50,Innenstadt Potsdam
2021-06-16 00:00:00,14:00 - 15:30,Potsdam,Kraftwerkbau Krampnitz,42,"F.-Ebert-Straße 79-81, Rathaus"
2021-06-19 00:00:00,17:00 - 21:00,Potsdam,bundesweiter Aktionstag Seebrücke,300,Bassinplatz
2021-06-16 00:00:00,11:30 - 13:30,Potsdam,Bundesweiter Protest der Beschäftigten aus Krankenhäuser etc.,200,Henning-von-Tresckow-Straße 2-13
2021-07-21 00:00:00,10:30 - 16:00,Potsdam,Women in Exile,100,Alter Markt 1
2021-06-22 00:00:00,17:00 - 18:00,Potsdam,80. Jahrestag des Überfalls auf die Sowjetunion-Frieden mit Rußland,120,"Bassinplatz, Ehrenhain für die Sowjetsoldaten"
2021-06-19 00:00:00,08:30 - 11:30,Potsdam,Wir machen uns fit für den Arbeitskampf,50,Lustgarten Potsdam
2021-06-19 00:00:00,09:30 - 12:30,Potsdam,Aktionstag Mietenstopp,50,Heiner Carow Platz 1
2021-06-19 00:00:00,14:00 - 17:00,Potsdam,Kulturnot - Wie kulturrelevant ist das System,300,Potsdamer Innenstadt
2021-06-22 00:00:00,17:00 - 21:00,Potsdam,Driving 4 Future,20,Innenstadt Potsdam
2021-06-23 00:00:00,09:15 - 00:00,Potsdam,Mahnwache zur Beschlusslage API und Insektenschutzprogramm,50,Gregor-Mendel-Straße 3 (CDU Landesverband Brandenburg)
2021-07-05 00:00:00,18:00 - 20:00,Potsdam,"Für Frieden, Freiheit und Freundschaft",50,Platz vor dem Filmmuseum
2021-07-12 00:00:00,18:00 - 20:00,Potsdam,"Für Frieden, Freiheit und Freundschaft",50,Platz vor dem Filmmuseum
2021-07-19 00:00:00,18:00 - 20:00,Potsdam,"Für Frieden, Freiheit und Freundschaft",50,Platz vor dem Filmmuseum
2021-07-26 00:00:00,18:00 - 20:00,Potsdam,"Für Frieden, Freiheit und Freundschaft",50,Platz vor dem Filmmuseum
2021-08-02 00:00:00,18:00 - 20:00,Potsdam,"Für Frieden, Freiheit und Freundschaft",50,Platz vor dem Filmmuseum
2021-08-09 00:00:00,18:00 - 20:00,Potsdam,"Für Frieden, Freiheit und Freundschaft",50,Platz vor dem Filmmuseum
2021-08-16 00:00:00,18:00 - 20:00,Potsdam,"Für Frieden, Freiheit und Freundschaft",50,Platz vor dem Filmmuseum
2021-08-23 00:00:00,18:00 - 20:00,Potsdam,"Für Frieden, Freiheit und Freundschaft",50,Platz vor dem Filmmuseum
2021-08-30 00:00:00,18:00 - 20:00,Potsdam,"Für Frieden, Freiheit und Freundschaft",50,Platz vor dem Filmmuseum
2021-09-06 00:00:00,18:00 - 20:00,Potsdam,"Für Frieden, Freiheit und Freundschaft",50,Platz vor dem Filmmuseum
2021-09-13 00:00:00,18:00 - 20:00,Potsdam,"Für Frieden, Freiheit und Freundschaft",50,Platz vor dem Filmmuseum
2021-09-20 00:00:00,18:00 - 20:00,Potsdam,"Für Frieden, Freiheit und Freundschaft",50,Platz vor dem Filmmuseum
2021-09-27 00:00:00,18:00 - 20:00,Potsdam,"Für Frieden, Freiheit und Freundschaft",50,Platz vor dem Filmmuseum
2021-08-12 00:00:00,09:00 - 10:30,Potsdam,Übergabe Forderungen zur Wasserrahmenrichtlinie,20,Alter Markt
2021-08-13 00:00:00,20:00 - 21:30,Potsdam,Gedenken an den Mauerbau,50,Glienicker Brücke
2021-09-24 00:00:00,12:00 - 16:00,Potsdam,Globaler Klimastreik anl. der Bundestagswahl am 26.09.2021,500,Innenstadt Potsdam
2021-08-14 00:00:00,13:00 - 22:00,Potsdam,Schaffung der Verkehrswende hin zum Umweltverbund,100,Innenstadt Potsdam
2021-07-28 00:00:00,11:00 - 12:00,Potsdam,Tofu hat noch nie eine Pandemie verursacht,7,Luisenplatz
2021-08-14 00:00:00,10:00 - 14:00,Potsdam,Wahlkampfversammlung,300,Alter Markt 9
2021-07-31 00:00:00,12:00 - 13:00,Potsdam,Gedenkveranstaltung zum 127. Todestag Max Dortus,30,"Hegelallee 6-10, Haus 9"
2021-09-02 00:00:00,12:45 - 13:30,Potsdam,Ohne Kerosin nach Berlin,50,Innenstadt Potsdam nach Berlin
2021-07-31 00:00:00,10:00 - 12:00,Potsdam,Panafrikanischer Frauentag,60,Innenstadt Potsdam
2021-09-06 00:00:00,10:00 - 17:00,Potsdam,Ohne Kerosin nach Berlin,150,Schopsdorf nach Potsdam
2021-07-31 00:00:00,18:00 - 0:00,Potsdam,Für die Reformation des Katastrophenschutzes aufgrund der staatlichen Verfehlung beim Hochwasser 2021,1000,Lustgarten Potsdam
2021-09-15 00:00:00,17:00 - 20:00,Potsdam,Erhalt des Rechenzentrums,200,Rechenzentrum Potsdam
2021-08-05 00:00:00,10:30 - 12:00,Potsdam,Tesla Genehmigungsverfahren der Landesregierung,40,Henning-von-Tresckow-Straße 2-13
2021-08-03 00:00:00,16:00 - 22:00,Potsdam,Gedenken der Opfer von Staatsgewalt am 01.08.2021 in Berlin! Für Rechtsstaatlichkeit und Meinungsfreiheit!,50,Luisenplatz
2021-08-11 00:00:00,07:30 - 09:30,Potsdam,"Infoveranstaltung, wir bitten zu Tisch",30,Alter Markt 1
2021-08-13 00:00:00,14.00 - 17.00,Potsdam,Gedenkveranstaltung zum Tag des Mauerbaus,150,"Glienicker Brücke, NIKE"
