Demonstrationen / Versammlungen / Aufzüge 2020,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Lfd Nr.,Datum der Veranstaltung,Art,Thema,Anmeldedatum,,Versammlungsort,Erwartete TN
,,,,,,,
55,2020-03-18 00:00:00,Versammlung ,Kinder und Jugendliche aus Griechenland aufnehmen,2020-02-25 00:00:00,,Große Bleiche vor Nr. 49-51,30
56,2020-03-21 00:00:00,Versammlung ,Wir grillen einen Hund,2020-02-18 00:00:00,,Gutenbergplatz,10
57,2020-03-14 00:00:00,Versammlung ,Wohnraum für alle,2020-02-25 00:00:00,,Gartenfeldplatz,30
58,2020-03-21 00:00:00,Versammlung ,Wohnraum für alle,2020-02-25 00:00:00,,Alte Universität,30
59,2020-03-02 00:00:00,Versammlung ,Kundgebung Entschädigung Missbrauchsopfer,2020-02-18 00:00:00,,Dom/Erbacher Hof,10
60,2020-03-05 00:00:00,Versammlung ,Bauerndemo ,2020-01-13 00:00:00,,"Gutenbergplatz, Markt, Liebfrauenplatz, Rheinufer, Ernst-Ludwig-Platz",1200 (ca 800 Traktoren)
61,2020-03-02 00:00:00,Versammlung ,Missbrauchsskandal/Staatliche Zahlungen an Kirche,2020-02-25 00:00:00,,Markt ,5-10
62,2020-03-03 00:00:00,Versammlung ,Missbrauchsskandal/Staatliche Zahlungen an Kirche,2020-02-25 00:00:00,,Gutenbergplatz,5-10
63,2020-03-04 00:00:00,Versammlung ,Missbrauchsskandal/Staatliche Zahlungen an Kirche,2020-02-25 00:00:00,,Markt ,5-10
64,2020-03-05 00:00:00,Versammlung ,Missbrauchsskandal/Staatliche Zahlungen an Kirche,2020-02-25 00:00:00,,Markt ,5-10
65,2020-03-03 00:00:00,Versammlung ,Kundgebung Entschädigung Missbrauchsopfer,2020-02-18 00:00:00,,Erbacher Hof,10
66,2020-03-04 00:00:00,Versammlung ,Kundgebung Entschädigung Missbrauchsopfer,2020-02-18 00:00:00,,Dom/Erbacher Hof,10
67,2020-03-07 00:00:00,Versammlung ,Tierschutzstandards Subway,2020-02-17 00:00:00,,Große Bleiche vor Nr. 18,10
68,2020-03-18 00:00:00,Aufzug,#FAIRWANDEL ,2020-03-02 00:00:00,,Strecke,400
69,2020-03-07 00:00:00,Versammlung ,Landwirtschaft..,2020-03-02 00:00:00,,Neben K3 (Bretzenheim),10
70,2020-03-04 00:00:00,Versammlung ,Flüchtlinge aus Griechenland aufnehmen,2020-03-03 00:00:00,,Bahnhofplatz,50
71,2020-05-17 00:00:00,Versammlung ,Kundgebung zum IDAHOT,2020-03-03 00:00:00,,Markt ,100
72,2020-03-04 00:00:00,Aufzug,Mord an der türkischen Grenze,,,,
73,2020-03-21 00:00:00,Versammlung ,Nein zu Raissmus,2020-03-06 00:00:00,,Bahnhofplatz,200
74,2020-03-18 00:00:00,Aufzug,Bildung ,2020-03-16 00:00:00,,Strecke ab Dr.-Günther-Storch-Platz,10
75,2020-03-28 00:00:00,Versammlung ,Tierschutz,2020-03-13 00:00:00,,Leicchhof,10
76,2020-04-23 00:00:00,Aufzug,"#lehreamlimit, Das Medizin- und Zahnmedizinstudium an der Universitätsmedizin Mainz müssen durch die Landesregierung RLP ausfinanziert werden.",2019-12-27 00:00:00,,Strecke,ca. 800
77,2020-04-20 00:00:00,Aufzug,Bildung ,2020-04-18 00:00:00,,Strecke,5
78,2020-04-25 00:00:00,Versammlung ,Die Erinnerung an das Grundgesetz,2020-04-20 00:00:00,,Gutenbergplatz Theaterseite,100-1000
79,2020-05-01 00:00:00,Aufzug,Demonstration zum 1. Mai,2020-04-20 00:00:00,,Strecke,150
80,2020-05-01 00:00:00,Versammlung ,Demonstration zum 1. Mai,2020-04-22 00:00:00,,Bahnhofplatz,30
81,2020-04-24 00:00:00,Versammlung ,"""Leere Stühle"" / Gastronomie in der Corona-Krise",2020-04-22 00:00:00,,Schillerplatz,3-5
82,2020-05-02 00:00:00,Versammlung ,Demonstration für Freiheit und Grundrechte,2020-04-24 00:00:00,,Platz der Mainzer Republik,15
83,2020-05-01 00:00:00,Versammlung ,Mainzer Wirte und Schausteller wollen endlich wieder uffmache,2020-04-27 00:00:00,,Schillerplatz,15
84,2020-04-29 00:00:00,Versammlung ,Tourismus ist mehr als ein Schnitzel und ein Bett,2020-04-27 00:00:00,,Gutenbergplatz ,15
85,2020-04-29 00:00:00,Versammlung ,Bildung ,2020-04-27 00:00:00,,Löwenstraße 1,5
86,2020-04-29 00:00:00,Versammlung ,Seenotrettung ist Pflicht,2020-04-29 00:00:00,,Große Bleiche 49-51,20
87,2020-04-29 00:00:00,Versammlung ,Corona-Pandemie und die Krise im Gastgewerbe,2020-04-27 00:00:00,,Ernst-Ludwig-Platz,45
88,2020-05-02 00:00:00,Versammlung ,"Forderungen nach sofortigen Lockerungen der Beschränkungen in Wirtschaft, Kultur, Bildung und menschlichem Miteinander",2020-04-28 00:00:00,,Gutenbergplatz Theaterseite,15
89,2020-05-03 00:00:00,Versammlung ,FfF-EarthOvershootDay,2020-04-30 00:00:00,,Gutenbergplatz Theaterseite,15
90,2020-05-08 00:00:00,Versammlung ,Kranzniederlegung,2020-05-05 00:00:00,,Waldfriedhof Mombach,50
91,2020-06-01 00:00:00,Versammlung ,"Grundrechte, Corona",2020-05-04 00:00:00,,Raum Landtag,2000 - 5000
92,2020-05-09 00:00:00,Versammlung ,Stoppt Gewalt gegen Frauen,2020-05-05 00:00:00,,Bahnhofplatz,20
93,2020-05-08 00:00:00,Versammlung ,Leere Stühle,2020-05-06 00:00:00,,Schillerplatz,4
94,2020-05-09 00:00:00,Versammlung ,"9.Mai - Wer nicht feiert, hat den Krieg verloren",2020-05-06 00:00:00,,Gutenbergplatz Theaterseite,20
95,2020-05-13 00:00:00,Versammlung / Autokorso ,Situation der Reisebüros,2020-05-08 00:00:00,,Ernst-Ludwig-Platz / Strecke,15
96,2020-05-15 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-05-11 00:00:00,,Bahnhofplatz,15
97,2020-05-16 00:00:00,Versammlung,Gegen Antisemitismus,2020-05-12 00:00:00,,Gutenbergplatz Theaterseite,30
98,2020-05-23 00:00:00,Versammlung,Für offene Grenzen,2020-05-12 00:00:00,,Gutenbergplatz Theaterseite,30
99,2020-05-17 00:00:00,Versammlung,Klimagerechtigkeit,2020-05-12 00:00:00,,Rheinstraße Ecke Auenstraße,30
100,2020-05-30 00:00:00,Versammlung,"Kein ""Tag der deutschen Zukunft"" in Worms",2020-05-14 00:00:00,,Gutenbergplatz,30
101,2020-05-25 00:00:00,Versammlung,Mahnwache um auf Flüchtlingssituation aufmerksam zu machen,2020-05-18 00:00:00,,Gutenbergplatz,30
102,2020-05-25 00:00:00,Versammlung,Mahnwache um auf Flüchtlingssituation aufmerksam zu machen,2020-05-18 00:00:00,,"Mffjiv, Kaiser-Friederich-Ring 5a",30
103,2020-05-27 00:00:00,Versammlung / Buskorso ,"Aktionstag ""Rettet die Busunternehmen""",2020-05-19 00:00:00,,Strecke,100
104,2020-05-23 00:00:00,Versammlung,Pflegenotstand,2020-05-20 00:00:00,,Schillerplatz,30
