lfd. Nr. ,Datum,Ort,Angemeldete Teilnehmer:innen,Thema/Motto
102,2023-02-24 00:00:00,Marktplatz,1500,Frieden für die Ukraine! Solidarität mit Ukraine!
103,2023-02-24 00:00:00,Domshof,20,Blumenniederlegung zum Gedenken an die Opfer der russischen Aggression
104,2023-02-24 00:00:00,Gerhard-Rohlfs-Straße,30,1.051. Friedenskundgebung
105,2023-02-24 00:00:00,Busbahnhof Bremen-Vegesack ,30,Hat Hoffnung noch Wert?!
106,2023-02-24 00:00:00,Neustadtswallanlagen - Wilhelm-Kaisen-Brücke - Marktplatz,100,Jahrestag des Krieges in der Ukraine
107,2023-02-25 00:00:00,Hanseatenhof,12,Verfolgung von Falun-Dafa in China
108,2023-02-25 00:00:00,Ulrichsplatz,6,Menschenrechtsverletzungen im Iran
109,2023-02-25 00:00:00,Gehwegfläche vor den Domtreppen,12,Mahnwache für einen gerechten Frieden in Palästina
110,2023-02-25 00:00:00,Marktplatz,10,Krieg in der Ukraine
111,2023-02-25 00:00:00,Goetheplatz,150,Solidarität mit dem Iran
112,2023-02-25 00:00:00,Bremerhavener Straße / Vegesacker Straße / Grenzstraße,30,Kundgebung in Gedenken an Mehmet Turgut
113,2023-02-25 00:00:00,Delmemarkt,15,"8. März ist jeden Tag. Feminism fighty every crisis, everyday, everywhere"
114,2023-02-25 00:00:00,Oberer Domshof,100,Erdbebenkatastrophe in der Türkei und in Syrien
115,2023-02-27 00:00:00,Marktplatz,20,Jahrestag der Ausrufung der DARS
116,2023-02-28 00:00:00,Gerhard-Rohlfs-Straße / Ecke Sedanplatz,4,Friedensmahnwache
117,2023-02-28 00:00:00,Hollerallee 77,20,Tierqual bei der Produktion von Stopfleber
118,2023-03-01 00:00:00,Aufzug durch Findorff,50,"Frieden, Freiheit, Selbstbestimmung"
119,2023-03-02 00:00:00,Marktplatz,20,"Mahnwache für Frieden, Versöhnung und Abrüstung"
120,2023-03-03 00:00:00,Oberschule Findorff - Marktplatz,500,Aufmarsch zur FFF-Demo
121,2023-03-03 00:00:00,Gewerkschaftshaus - Am Dobben - Bismarckstraße - St.Jürgen-Straße - Vor dem Steintor - Ostertorsteinweg - Contrescarpe - Rudolf-Hilferding-Platz ,1000,Gemeinsam geht mehr
122,2023-03-03 00:00:00,Marktplatz - Innenstadt - Marktplatz,2500,Wir fordern Klimagerechtigkeit!
123,2023-03-03 00:00:00,Gerhard-Rohlfs-Straße,30,1.052. Friedenskundgebung
124,2023-03-04 00:00:00,Gehwegfläche vor den Domtreppen,12,Mahnwache für einen gerechten Frieden in Palästina
125,2023-03-04 00:00:00,Grasmarkt,20,"Wir STEHEN FÜR eine demokratische, rechtsstaatliche und offene Gesellschaft, Respekt und Achtung gegenüber allen Menschen und den Erhalt der Grund- und Menschenrechte"
126,2023-03-04 00:00:00,Am Brill - Innenstadt - Viertel - Bahnhofsvorstadt,200,gegen Überwachung
127,2023-03-04 00:00:00,Aufzug Am Brill - Sielwall - Friedenstunnel - Theodor-Heuss-Allee - Gustav-Findorfftunnel - Friedrich-Rauers-Straße,200,Gegen Überwachung
128,2023-03-04 00:00:00,Marktplatz,200,Menschenrechtsverletzungen im Iran
129,2023-03-04 00:00:00,vor den Domtreppen,30,"Meinen Frieden gebe ich euch, meinen Frieden lasse ich euch"
130,2023-03-07 00:00:00,Gerhard-Rohlfs-Straße / Ecke Sedanplatz,4,Friedensmahnwache
