lfd. Nr. ,Datum,Ort,Angemeldete Teilnehmer:innen,Thema/Motto
451,2023-08-10 00:00:00,Marktplatz,30,"Mahnwache für Versöhnung, Frieden und Abrüstung"
452,2023-08-11 00:00:00,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
453,2023-08-12 00:00:00,Vor den Domtreppen,12,Gerechter Frieden im Nahen Osten
454,2023-08-12 00:00:00,Marktplatz,20,Tierrechte
455,2023-08-17 00:00:00,Liebfrauenkirchhof / Ecke Sögestraße,30,"Mahnwache für Versöhnung, Frieden und Abrüstung"
456,2023-08-18 00:00:00,"Domsheide zwischen Konzerthaus ""Die Glocke"" und Landgericht",10,Abrüstung in Bremen
457,2023-08-18 00:00:00,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
458,2023-08-19 00:00:00,Vor den Domtreppen,12,Gerechter Frieden im Nahen Osten
459,2023-08-19 00:00:00,"Grünfläche Osterdeich bei dem Restaurant ""Ahoi""",20,Problematik des Fischfangs und -konsums & Alternativen
460,2023-08-20 00:00:00,Niedersachsen - Huchting - Woltmershausen - Neustadt - Mitte - Werder,150,#TourDeVerkehrswende: Fahrgemeinschaft für die Zukunft
461,2023-08-21 00:00:00,Werder - Mitte - Hastedt - Sebaldsbrück - Mahndorf - Niedersachsen,150,#TourDeVerkehrswende: Fahrgemeinschaft für die Zukunft
462,2023-08-21 00:00:00,Horner Straße / Schönhausenstraße,35,Gegen Eigenbedarfskündigungen und Verdrängung
463,2023-08-23 00:00:00,Nelson-Mandela-Park,20,Andacht für zwei verstorbene ehemalige Klienten des Vereins für Innere Mission
464,2023-08-24 00:00:00,Marktplatz,100,Feier zum Tag der Unabhängigkeit der Ukraine
465,2023-08-24 00:00:00,Marktplatz,30,"Mahnwache für Versöhnung, Frieden und Abrüstung"
466,2023-08-25 00:00:00,Ansgarikirchhof,25,Gegen Menschenrechtsverletzung im Iran
467,2023-08-25 00:00:00,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
468,2023-08-25 00:00:00,Bahnhofsplatz Vegesack,25,Hoffnung schöpfen / Vertrauen wagen / Freundlichkeit leben
469,2023-08-26 00:00:00,Vor den Domtreppen,12,Gerechter Frieden im Nahen Osten
470,2023-08-26 00:00:00,Sögestraße bei den Schweinen,8,Botschaft der Bibel in Bezug auf unser Grundgesetz
471,2023-08-26 00:00:00,Altenwall - Osterdeich - Sielwall - Am Dobben - Bahnhofsplatz - Bgm-Smidt-Straße - Obernstraße - Am Wall - Ostertorsteinweg - Goetheplatz,15000,Christopher Street Day
472,2023-08-29 00:00:00,Hollerallee (Gehweg und Grünstreifen),20,Tierqual hinter der Produktion von Stopfleber
473,2023-08-31 00:00:00,Marktplatz,30,"Mahnwache für Versöhnung, Frieden und Abrüstung"
474,2023-09-01 00:00:00,Ansgarikirchhof,25,Gegen Menschenrechtsverletzung im Iran
475,2023-09-01 00:00:00,Marktplatz,500,Antikriegstag 2023
476,2023-09-01 00:00:00,Marktplatz - Domsheide - Violenstr. - Schüsselkorb - Herdentor - Herdentorsteinweg - Bahnhofsplatz,100,Antikriegstag 2023: Krieg dem Krieg
477,2023-09-01 00:00:00,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
478,2023-09-02 00:00:00,Vor den Domtreppen,12,Gerechter Frieden im Nahen Osten
479,2023-09-02 00:00:00,Grasmarkt,15,Aufstehen für Demokratie
480,2023-09-02 00:00:00,Leibnizplatzpark – Friedrich-Ebert-Str. – Osterstr. – Westerstr. – Langemarckstr. – Bgm.-Smidt-Brücke – Bgm.-Smidt-Str. – Am Brill – Martinistr. – Wilhelm-Kaisen-Brücke – St.-Pauli-Brücke – Friedrich-Ebert-Str. – Leibnizplatzpark,200,Pride is a protest!
481,2023-09-04 00:00:00,Schlachte 12-14; vor dem Bürogeb. BREBAU,50,Mehr Lohn für die Beschäftigten der Wohnungswirtschaft
482,2023-09-04 00:00:00,Marktplatz,20,"verschiedene Themen: Atom-, Migrations- & Sozialpolitik und Aufrüstung Bundeswehr"
483,2023-09-05 00:00:00,Friedrich-Karl-Str. 107/109,150,gefährliche Kreuzungen im Gete-Viertel
484,2023-09-05 00:00:00,Marktplatz - Am Markt - Obernstr. - Am Brill - Bgm.-Smidt-Str. - Breitenweg - Bahnhofsplatz - An der Weide - Gewerkschaftshaus,300,Tarifrunden Einzelhandel und Groß- & Außenhandel
485,2023-09-06 00:00:00,Marktplatz,100,Für ein soziales Bremen mit guten Arbeitsbedingungen für die Beschäftigten
486,2023-09-07 00:00:00,Vor den Domtreppen,30,"Mahnwache für Versöhnung, Frieden und Abrüstung"
487,2023-09-08 00:00:00,Ansgarikirchhof,25,Gegen Menschenrechtsverletzung im Iran
488,2023-09-08 00:00:00,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
489,2023-09-09 00:00:00,Ziegenmarkt,25,Situation im Viertel
490,2023-09-09 00:00:00,Vor den Domtreppen,12,Gerechter Frieden im Nahen Osten
491,2023-09-10 00:00:00,Bürgerweide - Innenstadt - B75 - BAB 281 - Innenstadt - Stephanikirchweide,3000,Förderung des Fahrradverkehrs in Bremen
492,2023-09-10 00:00:00,Bahnhofsplatz (Auftaktkundgebung) – Bahnhofstr. – Breitenweg – Bgm.-Smidt-Str. – Am Brill – Obernstr. – Am Markt – Domshof (Abschlusskundgebung),300,Aufzug anlässlich des Schiitischen Aschurafestes.
493,2023-09-11 00:00:00,"Salvador-Allende-Str. – Auf den Häfen – Am Dobben – Ostertorstein weg – Goetheplatz – Am Wall – Ostertorstr. – Domsheide – Am Dom – 
Am Markt – Marktplatz",150,50. Jahrestag des Putsches gegen die demokratische Regierung unter Salvador Allende in Chile
494,2023-09-13 00:00:00,Bahnhofsvorplatz,50,Maritime Konferenz geht Baden
495,2023-09-13 00:00:00,Marktplatz,5,Frau Leben Freiheit im Iran
496,2023-09-14 00:00:00,Grasmarkt,5,Frau Leben Freiheit im Iran
497,2023-09-14 00:00:00,Vor den Domtreppen,30,"Mahnwache für Versöhnung, Frieden und Abrüstung"
498,2023-09-15 00:00:00,Bahnhofsvorplatz - Nach Südwesten Richtung Bahnhofstraße - Links abbiegen auf Bahnhofstraße - Rechtsabbiegen auf Breitenweg - Links abbiegen auf Bürgermeister-Smidt_x0002_Straße - Weiter auf Bürgermeister-Smidt-Brücke- Weiter auf Langemarckstraße- Links abbiegen auf Westerstraß - Weiter auf Osterstrae - Links abbiegen auf Friedrich-Ebert_x0002_Straße - Weiter auf Wilhelm-Kaisen-Brücke - Weiter auf Balgebrückstraße - Links abbiegen auf Domsheide - Weiter auf Am Dom - Geradeaus auf Am Markt - Marktplatz,2000,"Globaler Klimastreik, sozial gerechter Klimaschutz und Klimagerechtigkeit"
499,2023-09-15 00:00:00,"Westerstraße 58, Parkplätze",20,Klimawandel und den Zusammenhang von Verkehr und CO2 Emissionen 
500,2023-09-15 00:00:00,Grasmarkt,5,Frau Leben Freiheit im Iran
501,2023-09-15 00:00:00,"Domsheide zwischen Konzerthaus ""Die Glocke"" und Landgericht",10,Abrüstung in Bremen
502,2023-09-15 00:00:00,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
503,2023-09-16 00:00:00,Vor den Domtreppen,12,Gerechter Frieden im Nahen Osten
504,2023-09-16 00:00:00,Ziegenmarkt,,Situation im Viertel
505,2023-09-16 00:00:00,Bahnhofsvorplatz,30,"Meinen Frieden gebe ich euch, meinen Frieden lasse ich euch“"
506,2023-09-16 00:00:00,Park am Wall,150,"Trans*Inter*Dyke*-March - sichtbar, selbstbewusst, solidarisch"
507,2023-09-16 00:00:00,Marktplatz,20,Kundgebung gegen neue Hinrichtung im Iran
508,2023-09-17 00:00:00,Fasia-Jansen-Straße (Waller Mitte) über Vegesacker Str. - Wartburg Str. - Hansestraße - Münchener Str. - Walsroder Str. - Hemmstr. - Eickedorfer Str. - Hollerallee - Am Stern - Hollerallee - Eickedorfer Str. - Endpunkt: Findorffmarkt ,50,Fancy Women Bike Ride
509,2023-09-18 00:00:00,Marktplatz,50,Gedenkveranstaltung 
510,2023-09-19 00:00:00,Hollerallee (Gehweg und Grünstreifen),20,Tierschutz
511,2023-09-21 00:00:00,Marktplatz,30,"Mahnwache für Versöhnung, Frieden und Abrüstung"
512,2023-09-22 00:00:00,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
513,2023-09-23 00:00:00,Marktplatz-Domsheide-Violenstr.-Dosmhof-Schüsselkorb-Knochenhauerstr.-Am Wall-BGM-Smidt-Str.-Hutfilterstr.-Obernstr.-Marktplatz,200-500,Forführung der Affenversuche an der Universität Bremen
514,2023-09-23 00:00:00,Bahnhofsvorplatz-Breitenweg-Rembertiring-Eduard-Grunow-Str.-Am Dobben-Sielwall-Ostertorsteinweg-Goetheplatz,500,Schule muss anders
515,2023-09-23 00:00:00,Vor den Domtreppen,12,Gerechter Frieden im Nahen Osten
516,2023-09-23 00:00:00,Ziegenmarkt,,Situation im Viertel
517,2023-09-24 00:00:00,Präsident-Kennedy-Platz - Breitenweg - Bgm.-Smidt-Str. - Martinistraße - Wilh-Kaisen-Brücke - Lucie-Flechtmann-Platz,300,Bunte Fahrraddemo 
518,2023-09-28 00:00:00,Arcelormittal Bremen (Hans-Glas-Straße zu Carl-Benz-Straße),1500,Einführung eines Brückenstrompreises
519,2023-09-28 00:00:00,Marktplatz,30,"Mahnwache für Versöhnung, Frieden und Abrüstung"
520,2023-09-29 00:00:00,Bahnhofsplatz Vegesack,25,Hoffnung schöpfen / Vertrauen wagen / Freundlichkeit leben
521,2023-09-29 00:00:00,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
522,2023-09-30 00:00:00,Bahnhofsvorplatz,250,Tag der älteren Generation
523,2023-09-30 00:00:00,Vor den Domtreppen,12,Gerechter Frieden im Nahen Osten
524,2023-09-30 00:00:00,Bahnhofsvorplatz,300,Für ein weltoffenes Bremen
525,2023-09-30 00:00:00,Ziegenmarkt,,Situation im Viertel
526,2023-09-30 00:00:00,Hugo-Schauinsland-Platz – Falkenstraße – Daniel-von-Büren-Straße – Doventor – Doventorstraße – Diepenau (Zwischenkundgebung) – Faulenstraße – Am Brill – Bürgermeister-Smidt-Straße – Hugo-Schauinsland-Platz,250-300,"Frieden, Freiheit, Selbstbestimmung"
527,2023-09-30 00:00:00,Ansgarikirchhof,25,Gegen Menschenrechtsverletzung im Iran
528,2023-09-30 00:00:00,Bahnhofsvorplatz,30,Solidarität mit Syrien
529,2023-10-02 00:00:00,Vor der Kunsthalle Bremen,20,Psychatrie-Tote
530,2023-10-02 00:00:00,Marktplatz,20,"Sozialpolitik, Atompolitik, Kriegspolitik etc."
531,2023-10-03 00:00:00,Fläche vor den Domtreppen,30,"Meinen Frieden gebe ich euch, meinen Frieden lasse ich euch"
532,2023-10-04 00:00:00,Fläche vor den Domtreppen,15,Welttierschutztag
533,2023-10-05 00:00:00,Vor dem Gustav-Deetjen-Tunnel,80,Entlastung jetzt! Yoga reicht nicht.
534,2023-10-06 00:00:00,Marktplatz,30,Verurteilung der Kriegsverbrecher in Nord- und Ostsyrien durch die Türkische Armee
535,2023-10-06 00:00:00,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
536,2023-10-07 00:00:00,Ulrichsplatz,6,Menschenrechte
537,2023-10-07 00:00:00,Vor den Domtreppen,12,Gerechter Frieden im Nahen Osten
538,2023-10-07 00:00:00,Grasmarkt,15,Aufstehen für Demokratie
539,2023-10-07 00:00:00,Schlachte (Ecke Teerhofbrücke),20,Tierrechte
540,2023-10-07 00:00:00,Ziegenmarkt,,Situation im Viertel
541,2023-10-07 00:00:00,Ansgarikirchhof,25,Menschenrechtsverletzungen im Iran
542,2023-10-07 00:00:00,Markplatz,100,Gegen den internationalen Komplott gegen den kurdischen Repräsentanten Öcalan
543,2023-10-09 00:00:00,Domshof,100,Gegen den Terrorangriff – Wir stehen zu Israel!
544,2023-10-09 00:00:00,Domshof,100,Solidarität mit Israel
545,2023-10-10 00:00:00,"Domsheide zwischen Konzerthaus ""Die Glocke"" und Landgericht",30,Sprachrohr Bremen
546,2023-10-11 00:00:00,Dieter-Klink-Platz,25,Bessere Behahlung und Arbeitsbedingungen für Beschäftigte im Öffentlichen Dienst
547,2023-10-11 00:00:00,Vor der Stadtteilbibliothek Gröpelingen,,Ungleichbehandlung von und Gewalt gegen Mädchen und junge Frauen
548,2023-10-11 00:00:00,Feuerwache 1,25,Bessere Behahlung und Arbeitsbedingungen für Beschäftigte im Öffentlichen Dienst
549,2023-10-12 00:00:00,Treppenbereich der Bürgerschaft,12,Teilhabe behinderter Menschen in der Entwicklungszusammenarbeit
550,2023-10-13 00:00:00,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
551,14:10.2023,Vor den Domtreppen,10,Hoffnung und Frieden
552,2023-10-14 00:00:00,"Domsheide zwischen Konzerthaus ""Die Glocke"" und Landgericht",12,Gerechter Frieden im Nahen Osten
553,2023-10-14 00:00:00,Hillmannplatz,30,"Meinen Frieden gebe ich euch, meinen Frieden lasse ich euch"
554,2023-10-14 00:00:00,Ansgarikirchhof,25,Menschenrechtsverletzungen im Iran
555,2023-10-14 00:00:00,Ziegenmarkt,25,Situation im Viertel
556,2023-10-14 00:00:00,Leibnizplatzpark - Friedrich-Ebert-Straße - Domsheide - Ostertorstraße - Am Wall - Sielwall - Ziegenmarkt,200,Rojava gegen die Angriffe der Türkei zu verteidigen
557,2023-10-19 00:00:00,Bereich vor dem neuen Rathauseingang,5,SOS Kita - Es donnert in den Kitas
558,2023-10-20 00:00:00,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
559,2023-10-20 00:00:00,Platz der Deutschen Einheit,800-1000,Solidarität mit den Opfern Palästinas
560,2023-10-20 00:00:00,Domsheide vor der Hausnummer 8,10,Abrüstung in Bremen
561,2023-10-21 00:00:00,Ulrichsplatz,6,Menschenrechte
562,2023-10-21 00:00:00,Ansgarikirchhof,25,Menschenrechtsverletzungen im Iran
563,2023-10-21 00:00:00,Ziegenmarkt,,Situation im Viertel
564,2023-10-21 00:00:00,Sögestraße bei den Schweinen,20,Tierrechte
565,2023-10-21 00:00:00,Osterdeichswiesen,50-100,Free Gaza from Hamas (Gegenversammlung zu Palästina Spricht)
566,2023-10-21 00:00:00,Bürgermeister-Deichmann-Straße 34  (Gedenkstein),50,Gedenkveranstaltung für die Opfer der sowjetischen Repressionen.
567,2023-10-22 00:00:00,Ziegenmarkt - Domsheide - Herdentor - Bahnhofsstraße - Bahnhof,50,"Antisemitismus, Rassismus aufgrund der Nahost-Situation, Falschinformationen, Geiseln,..."
568,2023-10-23 00:00:00,Platz der Deutschen Einheit,250,Für ein friedliches Miteinander
569,2023-10-24 00:00:00,Peter-Zadek-Platz am Buntentorsteinweg,50,Menschenrechte für Geflüchtete
570,2023-10-26 00:00:00,Bereich vor dem neuen Rathauseingang,5,SOS Kita - Es donnert in den Kitas
571,2023-10-27 00:00:00,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
572,2023-10-27 00:00:00,Platz der Deutschen Einheit,250,Friedliches Miteinander
573,2023-10-28 00:00:00,Ansgarikirchhof,25,Menschenrechtsverletzungen im Iran
574,2023-10-28 00:00:00,"Domsheide zwischen Konzerthaus ""Die Glocke"" und Landgericht",12,Gerechter Frieden im Nahen Osten
575,2023-10-28 00:00:00,Hillmannplatz,30,"Meinen Frieden gebe ich euch, meinen Frieden lasse ich euch"
576,2023-10-28 00:00:00,Ziegenmarkt,,Situation im Viertel
577,2023-10-28 00:00:00,Platz der Deutschen Einheit,200,"Freiheit für Öcalan, Frieden für Kurdistan"
578,2023-10-29 00:00:00,Festplatz Osterholz,20,Aufklärung über Zirkustiere
579,2023-10-29 00:00:00,"Goetheplatz 1-3
",50," Andenken eines traurigen
Ereignisses im kultur-politischen Leben der 
belarusischen Gesellschaft ""Nacht der 
erschossenen Dichter"""
580,2023-10-30 00:00:00,Markptplatz,?,Bremer Montagsdemo
581,2023-10-31 00:00:00,Bei den Bremer Stadtmusikanten,5,Wolfssichtungen
582,2023-10-31 00:00:00,Hollerallee (Gehweg und Grünstreifen),20,Stopfleber
583,2023-11-02 00:00:00,Gehweg zwischen Glocke und Landgericht,30,Alle bleiben Wohnen
584,2023-11-02 00:00:00,Bereich vor dem neuen Rathauseingang,5,SOS Kita - Es donnert in den Kitas
585,2023-11-03 00:00:00,Rudolf-Hilferding-Platz 1,50,") Aktion der Jungen Polizei DPolG anlässlich 
der Einkommensrunde mit den Ländern 
(TdL) 2023 "
586,2023-11-03 00:00:00,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
587,2023-11-04 00:00:00,Grasmarkt,15,Aufstehen für Demokratie
588,2023-11-04 00:00:00,"
Rembertikreisel/Ecke Salvador-Allende-Str., Auf den Häfen, Humboldtstr., St.-Jürgen-Str., Vor dem Steintor, Ostertorsteinweg, Ulrichsplatz (Zwischenkundgebung), Am Wall, Buchtstr., Violenstr., Schüsselkorb, Herdentorsteinweg, Breitenweg, Bgm-Smid-Str., Am Brill, Martinistr., Balgebrückstr., Marktplatz
",20,UNO-Abstimmung gegen die US-Blockade Cubas
589,2023-11-04 00:00:00,Domtreppen,12,Gerechter Frieden zwischen Israelis und Palästinensern im Nahen Osten
590,2023-11-04 00:00:00,Domtreppen,12,Gibt es in diesen Zeiten noch Hoffnung?
591,2023-11-04 00:00:00,Obernstraße Ecke Pieperstraße,20,Tierrechte
592,2023-11-04 00:00:00,Auf der Ansgarikichhof Bremen,25," Widerstand gegen 
Menschenrechtsverletzungen im Iran"
593,2023-11-04 00:00:00,Platz der Deutschen Einheit - Bahnhofstraße - Breitenweg - Herdentorsteinweg - Am Wall - Bürgermeister-Smidt-Straße - Obernstraße - Markplatz,750,Friedliches Miteinander
594,2023-11-06 00:00:00,Marktplatz,20,"Sozialpolitik, Atompolitik, Kriegspolitik etc."
595,2023-11-06 00:00:00,Rudolf-Hilferding-Platz 1,50,Tarifverhandlungen
596,2023-11-07 00:00:00,Marktplatz,500,Gedenken an die Opfer des Terrorangriffs auf Israel am 7. Oktober
597,2023-11-08 00:00:00,Grasmarkt,30,"""Vier Fäuste für Prozente"
598,2023-11-09 00:00:00,Bremische Bürgerschaft,150,Gedenkstunde für die Opfer der Reichspogromnacht 1938 
599,2023-11-09 00:00:00,"ehem. jüdischen Altersheim, Ecke Gröp. Heerstr./Morgenlandstraße (Platz vor der Gedenkstele)",30,Gedenkveranstaltung
600,2023-11-09 00:00:00,"Nelson Mandela Park neben dem 
Elefantendenkmal
",20,Andacht für einen verstorbenen Klienten der Inneren Mission.
601,2023-11-09 00:00:00,"Jacob-Woff-Platz (Neue Straße-Ecke An der
Aumunder Kirche)",45,Gedenkveranstaltung Reichsprogromnacht
602,2023-11-09 00:00:00,Bereich vor dem neuen Rathauseingang,5,SOS Kita - Es donnert in den Kitas
603,2023-11-10 00:00:00,"Walle Center, Höhe Personaleingang 
Treppenhaus, Waller Heerstraße 101, 
28219 HB
",45,Streikversammlung
604,2023-11-10 00:00:00,"Goldbergplatz, Bremerhavener Heerstraße",20,Gedenkveranstaltung zur Reichpogromnacht
605,2023-11-10 00:00:00,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
606,2023-11-11 00:00:00," Bahnhofsvorplatz (Start) – Bahnhofsplatz - An der Weide – Am Dobben –
 Ostertorsteinweg – Goetheplatz (Ende)
",100,Trauermarsch für Palästina
607,2023-11-11 00:00:00,Ullrichsplatz,5,Aktuelle Menschenrechtsverletzungen
608,2023-11-11 00:00:00,Vor den Domtreppen,,Mahnwache für gerechten Frieden in Israel/Palästina
609,2023-11-11 00:00:00,Bahnhofsvorplatz - Bahnhofsstraße - Herdentorsteinweg - Schlüsselkorb - Domshof -  Violenstraße - Domsheide - Am Dom - Bremer Bürgerschaft - Am Markt - Obernstraße - Am Brill - Martinistraße - Balgebrückestraße - Domsheide (Glocke),200,Freiheit für Rojava
610,2023-11-11 00:00:00,Ansgarikirchhof Bremen,25,Widerstand gegen Menschenrechtsverletzungen im Iran
611,2023-11-11 00:00:00,Platz der Deutschen Einheit - Bahnhofsplatz - Bahnhofstraße - Breitenstraße - Herdentorsteinweg - Am Wall - Bürgermeister-Schmidt-Straße - Hutfilterstraße - Obernstraße - Bremer Marktplatz,1000,Friedensdemonstration
612,2023-11-11 00:00:00,Fläche vor den Domtreppen,30,"Meinen Frieden gebe ich euch, meinen Frieden lasse ich euch"
613,2023-11-14 00:00:00,Marktplatz,20,Tierleid
614,2023-11-14 00:00:00,"Airbus-Allee 1, 28199 Bremen
",600,"Sicherung der Arbeitsplätze und 
technologischen Fähigkeiten der 
militärischen Luftfahrtindustrie"
615,2023-11-15 00:00:00,"Emder Straße 39, 28217 Bremen",50,Warnstreiks bei Roland Mills Nord
616,2023-11-15 00:00:00,"Sammeln auf dem Bahnhofsplatz (10:00 – 10:30 Uhr)
Auftaktkundgebung: Bahnhofsplatz (10:30 Uhr – 10:45 Uhr)
Bürgermeister-Smidt-Straße – Am Brill – Obernstraße – Am Markt –
Domsheide – Tiefer – Altenwall – Ostertorstraße – Violenstraße – Schüs selkorb – Sögestraße – Herdentorsteinweg 
Abschlusskundgebung: Rudolf-Hilferding-Platz (12:00 Uhr – 12:30 Uhr)
",500,‘Zusammen geht mehr‘
617,2023-11-15 00:00:00,Bremer Marktplatz,100,Kein Ausbau der A27 zwischen Bremer Kreuz und Überseestadt
618,2023-11-15 00:00:00,"Rudolf-Hilferding-Platz 1, 28195 Bremen",25,Einkommensrunde 2023
619,2023-11-16 00:00:00,Goetheplatz – Wallanlagen – Goetheplatz,25,Gedenken an ein getötetes Kind im Iran
620,2023-11-16 00:00:00,"Rudolf-Hilferding-Platz 1, 28195 Bremen",40,Tarifverhandlungen (TV-L)
621,2023-11-16 00:00:00,"Parkplatz hinter dem DGB-Haus (ohne Auftaktkundgebung)
Emil-Waldmann Straße – Löhningstraße – An der Weide – Bahnhofsplatz 
22-28 (ohne Abschlusskundgebung)",350,"Zusammen geht mehr, Streiktag TV-L der sozialen Arbeit in Bremen"
622,2023-11-16 00:00:00,Bereich vor dem neuen Rathauseingang,5,SOS Kita - Es donnert in den Kitas
623,2023-11-16 00:00:00,") Berufsschule TBZ, Doventorsteinweg 48-52 – Bahnhofsplatz 22 (Zwischenkundgebung) –
Goetheplatz – Ostertorsteinweg – Vor dem Steintor (kurze Zwischenkundgebungen Höhe Ul richsplatz, Sielwall-Kreuzung, Ziegenmarkt, St. Jürgens-Str.) – Hermann-Koenen-Str. (Merce des-Benz, auf dem Parkplatz vor Tor 8) – Marktplatz – Domsheide – Violenstraße – Schüssel korb – Herdentorsteinweg – Bahnhofsvorplatz (Abschlusskundgebung), (kurze Zwischenkun dgebungen an der Domsheide und Schüsselkorb/Ecke Sögestr.)
",60,Das Proletariat macht Schluss mit dem Krieg
624,2023-11-17 00:00:00,"Berufsschule + Schulzentrum Rübekamp, Rübekamp 37-39, auf der gegenüberliegenden 
Seite (Parkbuchten) – ArcelorMittal Bremen beim Tor 1, Auf den Delben – Hans-Koschnick Platz (Beim Ohlenhof) – Seewenjestr. – Morgenlandstr. – Gröpelinger Heerstr. – Lindenhofstr. 
– Liegnitzplatz – Lindenhofstraße – Hans-Koschnick-Platz (Abschlusskundgebung), (kurze 
Zwischenkundgebungen: Morgenlandstr. Ecke Gröpelinger Heerstraße, Gröpelinger Heerstr. 
Höhe Straßenbahnhaltestelle, Lindenhofstr. und Liegnitzplatz)
",60,Das Proletariat macht Schluss mit dem Krieg
625,2023-11-17 00:00:00," Eurogate Containerterminal, Senator-Bortschellerstr. 1 (Bremerhaven)
",60,Das Proletariat macht Schluss mit dem Krieg
626,2023-11-17 00:00:00,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
627,2023-11-17 00:00:00,"Platz vor dem alten Dorfkrug in Huchting (28259 Bremen) / auf Höhe der 
Haltestelle ‚Obervielander Straße‘",20,Tag der geschlossenen Tür des Bündnisses 30%
628,2023-11-17 00:00:00,"Startpunkt: Depot Gröpelingen (Gröpelinger Heerstraße 302, 28239 Bre men) 
Strecke: entlang der Gröpelinger Heerstraße 
Abschlusskundgebung: Kreuzung Lindenhofstraße/ Gröpelinger Heer straß",200,bevorstehende Unterfinanzierung der offenen Kinder- und Jugendarbeit in Bremen
629,2023-11-17 00:00:00,Bahnhofsvorplatz - An der Weide - Am Dobben - Ostertorsteinweg - Am Wall - Ostertorstraße - Domsheide - Am Dom - Marktplatz,100,Trauermarsch für Palästina
630,2023-11-17 00:00:00,Domsheide vor der Hausnummer 8,10,Abrüstung in Bremen
631,2023-11-18 00:00:00,Vor den Domtreppen,27,Mahnwache für gerechten Frieden in Israel/Palästina
632,2023-11-18 00:00:00,Ansgarikirchhof Bremen,25,Menschenrechtsverletzung im Iran
633,2023-11-19 00:00:00,Gedenkstätte Bahrsplate in Bremen-Blumenthal,20-30,Gedenkkundgebung
634,2023-11-20 00:00:00,"Bibliothekstraße 1, 28359 Bremen",250,"Kundgebung zum Warnstreik an der 
Universität Bremen im Rahmen der 
laufenden Tarifauseinandersetzung um eine
Entgelterhöhung."
635,2023-11-20 00:00:00,"Rudolf-Hilferding-Platz, 28195 Bremen",35,"Demo im Rahmen des Hochschulaktionstages, die Forderungen des Tarifbündnisses TV 
Stud umzusetzen, die Universitäten und Hochschulen im Land Bremen voll auszufinanzieren und Stu dienbedingungen zu verbessern"
636,2023-11-22 00:00:00,Götheplatz,300,Bring the home
637,2023-11-23 00:00:00,Bereich vor dem neuen Rathauseingang,7,SOS Kita – Es donnert in den Kitas
638,2023-11-24 00:00:00, Platz der Deutschen Einheit,200 - 250,„Lichtermeer für Palästina
639,2023-11-24 00:00:00,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
640,2023-11-24 00:00:00,Platz der Deutschen Einheit – Bahnhofstraße – Breitenweg – Herdentor steinweg – Am Wall – Bürgermeister-Smidt-Straße – Hutfilter straße/Obernstraße – Domsheide,2000,„Pro-Palästina
641,2023-11-25 00:00:00,Ullrichsplatz,5,Aktuelle Menschenrechtsverletzungen 
642,2023-11-25 00:00:00,Ziegenmarkt - Steintor - Zwischenkundgebung an der Domsheide - Wilhelm-Kaisen-Brücke- Endkundgebung am Theater am Leibniz-Platz,700,"""Tag gegen Patriarchale Gewalt"""
643,2023-11-25 00:00:00,Vor den Domtreppen,,Mahnwache für gerechten Frieden in Israel/Palästina
644,2023-11-25 00:00:00,"Platz der Deutschen Einheit (Auftaktkundgebung) – Bahnhofstraße –
Breitenweg – Rembertiring – Rembertistraße – Fedelhören – Präsi dent-Kennedy-Platz – Kohlhöckerstraße – Wulwesstraße – Ostertor steinweg – Vor dem Steintor – St.-Jürgen-Kreuzung (Abschlusskund gebung)",150,Jugend gegen (zwangs) Prostitution und sexualisierte Gewalt
645,2023-11-25 00:00:00,Sögestraße ,10,internationaler Gewaltschutztag
646,2023-11-25 00:00:00,Ecke Obernstraße / Pieperstraße ,25,Gegen Menschenrechtverletzung im Iran
647,2023-11-25 00:00:00,"Ziegenmarkt, Vor dem Steintor",40,"Keine Ausweitung der Prostitution in der 
Helenenstraße"
648,2023-11-25 00:00:00,Götheplatz,50,„Tag gegen patriarchale Gewalt
649,2023-11-25 00:00:00,"Obernstraße / Ecke Pieperstraße (unter 
den Bäumen)",20,Tierrechte
650,2023-11-25 00:00:00,Hillmannplatz,30,"Meinen Frieden gebe ich euch, meinen Frieden lasse ich euch"
