Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Datum,Uhrzeit,Thema,Standort,Personenzahl
2021-07-09 00:00:00,14.00-18.00,"FFF, Klimaschutz, Anti-Kreuzfahrt",",",500
2021-07-10 00:00:00,12.30-14.30,Christopher Street Day Kiel 2021,Aufzug/Bootshafen,800
2021-07-11 00:00:00,,Plakat Nikolaikirche,Nikolaikirche,
2021-07-12 00:00:00,17.00-18.00,Spaziergang für unsere Grundrechte,Aufzug/Exerzierplatz,20
2021-07-14 00:00:00,17.00-20.00,"#GleicheBrustfuerAlle - Entsexualisierung der weib-
lichen Brust in der öffentlichkeit",Schrevenpark,2-50
2021-07-15 00:00:00,19.00-20.30,Küstentour Robert Habeck,Blauer Engel,50
2021-07-15 00:00:00,11.00-16.00,IG Metall Warnstreik ,Kieler Flughafen,50
2021-07-16 00:00:00,7.00-11.00,IG Metall Warnstreik ,Kieler Flughafen,50
2021-07-16 00:00:00,12.00-14.00,"Kritik an Verfehlung der Klimaziele, Bundestagswahl",Kiellinie/Landtag,5-50
2021-07-19 00:00:00,17.00-18.00,Spaziergang für unsere Grundrechte,Aufzug/Exerzierplatz,20
2021-07-20 00:00:00,12.00-16.00,IG Metall Warnstreik ,Kieler Flughafen,50
2021-07-21 00:00:00,7.00-11.00,IG Metall Warnstreik ,Kieler Flughafen,50
2021-07-23 00:00:00,12.00-16.00,"Klimakrise, Unwetterkatastrophe in NRW und RLP",Kiellinie/Landtag,15-50
2021-07-24 00:00:00,13.00-14.00,Lieber anders bleibt!,Schevenbrücke,100
2021-07-30 00:00:00,16.00-22.00,Dub for humanity,Sport- und Begegnungspark Gaarden,100
2021-07-30 00:00:00,16.00-17.30,Brasilianerinnen gegen Bolsonaro,Kiellinie /Landtag + Rathausplatz,5
2021-07-30 00:00:00,12.00-14.00,"Klimakrise, Unwetterkatastrophe in NRW und RLP",Kiellinie/Landtag,20-80
2021-07-31 00:00:00,12.00-14.00,Tierschutz/gegen Massentierhaltung,Menschenkette Berliner Platz,50-200
2021-07-31 00:00:00,14.00-16.30,Wir bleiben Li(e)ber Anders! - Abschiedskundgebung,Iltisstraße 34,100
2021-07-31 00:00:00,10.00-13.00,Wahlkampfauftakt Bündnis 90/Die Grünen SH,Schevenbrücke,50
2021-08-03 00:00:00,13.00-19.00,Massaker in Sinjar (Süd-Kurdistan),Europaplatz,30
2021-08-05 00:00:00,09.15-10.15,Forderung nach einem Tarifvertrag für studentisch Beschäftigte,Landtag,20
2021-08-05 00:00:00,15.30-18.00,Klimabänder - dein Wunsch an die Klimapolitik,Bahnhofsbrücke,8
06.08.201,14.00-16.00,"Klimakrise, Unwetterkatastrophe in NRW und RLP, Wahlkampf",Kiellinie/Landtag,5-60
2021-08-07 00:00:00,15.00-17.00,Keine Impfungen in Schulen,Fördeblick/Kiellinie,50
(07.08.2021),15.00-17.00,Team Todenhöfer,Exer,500-700
2021-08-13 00:00:00,14.00-16.00,Wöchentliche Mahnwache fürs Klima,Kiellinie/Landtag,30-100
2021-08-14 00:00:00,14.00-18.00,Menschenrechte ,Reventlouwiese,300-1.000
2021-08-14 00:00:00,09.00-14.00,Parks statt Parkplätze,Exerzierplatz 22-28,< 50
