Datum,Uhrzeit,Thema,Standort,Personenzahl
2022-11-19 00:00:00,12.45-15.30,"Preise runter, löhne rauf!",Langer Rehm 22/REWE,15
2022-11-19 00:00:00,15.00-17.15,Politik führt uns in die Armut,Aufzug/Exerzierplatz,300
2022-11-19 00:00:00,11.00-15.00,"Ukraine-Krieg, Allgemeine Kriegsgefahr",Berliner Platz/Holstenstraße,200
2022-11-19 00:00:00,15.00-17.00,Solidarität mit der Revolution im Iran 2022,Aufzug/Platz der Kieler Matrosen,500
2022-11-19 00:00:00,12.00-13.00,European Border Action Amnesty International,Howe-Haus/Schevenbrücke,20
2022-11-20 00:00:00,16.00-17.00,Gegen die wachsende Weltkriegsgefahr,Schrevenpark,10
2022-11-21 00:00:00,17.00-18.00,Mahnwache an den am 14.11.2022 verstorbenen Radfahrer,Hasseldieksdammer weg/Chemnitzstraße,ca. 50
2022-11-21 00:00:00,17.00-18.00,Türkische Angriffe auf Kurden in Nordsyrien,Platz der Kieler Matrosen,ca. 100
2022-11-21 00:00:00,18.00-19.45,Politik führt uns in die Armut,Aufzug/Exerzierplatz,40
2022-11-23 00:00:00,18.00.21.00,Gedenken an den Brandanschlag von Mölln,Aufzug/Berliner Platz,500
2022-11-23 00:00:00,17.00-18.00,Türkische Angriffe auf Kurden in Nordsyrien,Platz der Kieler Matrosen,100-150
2022-11-24 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,20-40
2022-11-24 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",Kieler Nachrichten,20-40
2022-11-24 00:00:00,13.00-15.00,Autokorso IGAP zum Tariftreuegesetz,Auifzug/Gaardener Ring,250
2022-11-24 00:00:00,18.00-19.30,Politik führt uns in die Armut,Aufzug/Exerzierplatz,30
2022-11-25 00:00:00,16.45-18.15,Orange Walk/Nein zur Gewalt an Frauen,Aufzug/Holstenstr. 108,100
2022-11-25 00:00:00,17.45-19.15,Gewalt gegen Eine* ist Gewalt gegen uns alle!,Holstenstraße,150
2022-11-15 00:00:00,17.00-18.00,Resourcenverschwendung/-schutzgesetz,Aufzug/Lange Reihe,3-5
2022-11-26 00:00:00,15.00-17.00,Politik führt uns in die Armut,Aufzug/Exerzierplatz,100
2022-11-26 00:00:00,15.45-17.45,Gedenken an Opfer des russischen Angriffskrieges ond des Holodomors (1932-33),Schumacherstraße/St. Nikolai,200-500
2022-11-26 00:00:00,14.00-17.00,Völkerrechtswidriger Angriffskrieg der Türkei in Rojava,Aufzug/Bootshafen,300
2022-11-28 00:00:00,18.00-19.45,Politik führt uns in die Armut,Aufzug/Exerzierplatz,40
2022-11-29 00:00:00,10.30-11.30,ÖPNV-Finanzierung/VK Verkehrsminister ,Landeshaus,20-80
2022-11-29 00:00:00,16.00-18.00,Preise runter - Die Reichen zur Kasse!,Famila Mettenhof,10
2022-11-30 00:00:00,17.00-19.00,Preise runter - Die Reichen zur Kasse!,Vinetaplatz,50
2022-11-30 00:00:00,15.00-16.00,Kiellinie Nord für mehr Aufenthaltsqualität nutzen,Kiellinie (Bellvue/WSA),15
2022-12-01 00:00:00,18.00-19.00,Lichtergang Welt-AIDS-Tag,Aufzug/Stresemannplatz,25
2022-12-01 00:00:00,16.30-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,20
2022-12-01 00:00:00,17.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",Kieler Nachrichten,20
2022-12-02 00:00:00,17.00-18.00,Türkische Angriffe auf Kurden in Nordsyrien,Hauptbahnhof/Sophienblatt,   
2022-12-03 00:00:00,15.00-17.30,Politik führt uns in die Armut,Aufzug/Exerzierplatz,50
2022-12-03 00:00:00,13.00-16.00,Preise runter - Die Reichen zur Kasse!,Aufzug/Bootshafen,300
2022-12-03 00:00:00,12.00-15.00,Tierschutz/gegen Massentierhaltung,Berliner Platz/Holstenstraße,15
2022-12-05 00:00:00,18.00-19.45,Politik führt uns in die Armut,Aufzug/Exerzierplatz,25
2022-12-08 00:00:00,16.30-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,20
2022-12-08 00:00:00,17.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",Kieler Nachrichten,20
2022-12-10 00:00:00,15.00-17.00,Politik führt uns in die Armut,Aufzug/Exerzierplatz,40
2022-12-10 00:00:00,17.30-18.30,Solidartät mit iranischer Revolution,Hafenstraße,10-150
2022-12-10 00:00:00,19.00-20.00,Gedenkveranstaltung an Mohsen Shekari,St. Nikolai-Kirche,150
2022-12-11 00:00:00,14.45-15.30,Friedenslicht aus Betlehem,Aufzug/Hauptbahnhof,350-400
2022-12-12 00:00:00,18.00-19.45,Politik führt uns in die Armut,Aufzug/Exerzierplatz,40
2022-12-14 00:00:00,14.30-16.30,Wohnraummangel von Studierenden in Kiel,Landeshaus,50
2022-12-14 00:00:00,17.00-20.00,Gefangen auf der Mittelinsel! Wünsche für bessere Bedingungen für den Fußverkehr,Holstenstraße/Ziegelteich,mind. 5
2022-12-14 00:00:00,13.30-16.30,"""Sondermahnwache"": Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,max. 40
2022-12-15 00:00:00,17.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",Kieler Nachrichten,20
2022-12-17 00:00:00,15.00-18.00,Für mehr Menschlichkeit auf dem Mittelmeer,Bootshafen,50
2022-12-17 00:00:00,11.00-15.00,"Ukraine-Krieg, Friedenspolitik allgemein",Holstenstraße/Berliner Platz,max. 50
2022-12-17 00:00:00,11.30-15.00,Motorradfahrer für Pflegekräfte/Fördelütten e. V.,Aufzug Konrad Adenauer-Damm 2,500
2022-12-17 00:00:00,15.00-17.00,Politik führt uns in die Armut,Aufzug/Exerzierplatz,40
2022-12-17 00:00:00,15.00-16.00,Solidarität mit dem Iran,Aufzug/Gaardener Ring,ca. 100
2022-12-19 00:00:00,18.00-18.45,Politik führt uns in die Armut,Aufzug/Exerzierplatz,30
2022-12-22 00:00:00,16.30-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,20
2022-12-22 00:00:00,17.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",Kieler Nachrichten,20
2022-12-23 00:00:00,14.30-18.00,Motorradfahrer für Pflegekräfte/Fördelütten e. V.,Aufzug Konrad Adenauer-Damm 2,500
2022-12-27 00:00:00,17.00-19.00,Anschlag in kurdische Verein in Paris,Schevenbrücke,ca. 100
2022-12-29 00:00:00,16.30-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,max. 40
2022-12-31 00:00:00,21.00-01.00,Freiheit für alle Gefangenen - Knäste abschaffen,JVA Kiel,30
