Datum,Uhrzeit,Thema,Standort,Personenzahl
2022-05-12 00:00:00,16.00-18.00,Internationaler Tag der Pflegenden - für bessere Arbeitsbedingungen,Platz der Kieler Matrosen ,50
2022-05-14 00:00:00,11.00-13.00,Kinder aufs Rad - Kidical Mass Kiel,Aufzug/Wilhelmplatz,100-200
2022-05-15 00:00:00,13.00-15.00,Drag-Walk,Aufzug/Bahnhofsplatz,ca. 50
2022-05-19 00:00:00,15.00-16.30,Freiräume in Kiel,Rathausplatz,10
2022-05-21 00:00:00,10.00-17.00,Verfolgung von Falun Dafa und die Verbrechen der Kommunistischen Partei Chinas,Schevenbrücke,3-5
2022-05-24 00:00:00,11.00,"Freiheit für Hossein N., Abschiebegefangener in Glückstadt",Stresemannplatz 5/Neues Rathaus,10-20
2022-05-25 00:00:00,13:00:00,"Freiheit für Hossein N., Abschiebegefangener in Glückstadt",Innenministerium,10-20
2022-05-26 00:00:00,22:10-?,Ruhestörung verbieten,Aufzug/Schrevenpark,ca. 50
2022-05-27 00:00:00,13.00-15.30,"Klimagerechtigkeit, Fridays for Future",Aufzug/Platz der Kieler Matrosen,ca. 500
2022-05-28 00:00:00,14:00-16:00,"Bleiberecht für Hossein! Abschiebungen stoppen, Abschiebegefängnis schließen!",Aufzug/Sophienblatt 44-46,ca. 100
2022-06-01 00:00:00,16.00-17.00,TVStud in den Koalitionsvertrag,Alter Markt 9,ca. 30
2022-06-04 00:00:00,10.00-17.00,Verfolgung von Falun Dafa und die Verbrechen der Kommunistischen Partei Chinas,Schevenbrücke,3-5
2022-06-04 00:00:00,12.00-14.00,Tierschutz/gegen Massentierhaltung,Reventlouwiese,10-25
2022-06-09 00:00:00,17.00-18.00,Angriffe des türkischen Staates auf Südkurdistan,Asmus Bremer-Platz,30-40
2022-06-10 00:00:00,20.30-24.00,Alternative Wohnformen und Freiräume in Kiel und anderswo,Germaniahafen,50
2022-06-13 00:00:00,12.00-15.00,"Koalitionsverhandlungen, Klimaschutz",Landeshaus,3-15
2022-06-16 00:00:00,10.00-18.00,Parking-Day,Olshausenstraße/Uni,ca. 300
2022-06-18 00:00:00,11.00-15.00,Dankestelle (für Fahrradfahrer),Veloroute 10 Ecke Kronshagener Weg stadtauswärts (kl.Rasenfläche),50
2022-06-18 00:00:00,14.00-16.00,Für eine friedliche Ostsee - Nein zu BALTOPS 2022,"Flandernbunker, dann Aufzug zur Kiellinie",50
2022-06-22 00:00:00,09.00-19.00,Frieden schaffen ohne Waffen,Kiellinie/Rudervereine,5-10
2022-06-22 00:00:00,13:30-15.00,Schleswig-Holstein braucht ein Tariftreuegesetz,vor der Wunderino-Arena,15
2022-06-22 00:00:00,16.30-18.30,Singen für die Ukraine,Aufzug/Platz vor der Hörnbrücke,70
