Datum,Uhrzeit,Thema,Standort/Strecke,Personenzahl
09.03.,15.00-19.00,Ausstieg aus fossiler Energie,Kurt Schumacher-Platz,10
11.03.,15.00-18.00,Gehen bald die Lichter aus?,Aufzug/Exerzierplatz,100
11.03.,13.00-15.00,"Preise runter, Krisenprofiteure enteignen, Langness zur Kasse!",Eichkamp/Markant,50
11.03.,08.00-13.00,Jahrestag der Reaktorkatastrophe in Fukushima,Exerzierplatz,ca. 200
13.03.,18.00.19.30,Politik führt uns in die Armut,Aufzug/Exerzierplatz,25
15.03.,09.00-10.00,Streik im Städtischen Krankenhaus ,Aufzug/SKK,Godau
16.03.,16.30-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),"NDR-Landesfunkhaus
",10-20
16.03.,16.30-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),"NDR-Landesfunkhaus                                      
Wall-Brücke",10-20
16.03.,17.00-18.30,TVöD für alle im Sozial- und Erziehungsdienst,Aufzug/Rathausplatz,80
18.03.,15.00-17.45,Diplomaten statt Waffen,Aufzug/Exerzierplatz,30
18.03.,15.00-17.00,Jahrestag der Besetzung von Afrin,Asmus Bremer-Platz,ca. 200
20.03.,18.00.19.45,Politik führt uns in die Armut,Aufzug/Exerzierplatz,20
21.03.,17.00-21.00,Kurdisches Neujahrsfest Newroz,Skatepark Mettenhof,ca. 300
21.03.,12.30-14.30,Milch- und Grünland-Offensive,Landwirtschaftsministerium,15
21.03.,16.00-17.00,Symbolische Straßenumbenennung zum internationalen Tag gegen Rassismus,Iltisstraße/Gazellestraße,30
22.03.,18.00-20.00,CDU-Generalsekretär Lukas Kilian zu Gast,Holtenauer Str. 14/26,40-50
23.03.,16.30-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),"NDR-Landesfunkhaus
Wall",10-20
23.03.,16.30-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),"NDR-Landesfunkhaus
Wall-Brücke",10-20
24.03.,09.00-09.40,Streik SKK,Aufzug/Chemnitzstraße 33,100
24.03.,09.30-12.00,Streik im öD,Aufzug/Legienstraße,800
24.03.,09.00-12-00,Streikim öD,Aufzug/Uhlenkrog 32,450
25.03.,15.00-17.30,Gehen bald die Lichter aus?,Aufzug/Exerzierplatz,70
27.03.,18.00-19.45,Diplomaten statt Waffen,Aufzug/Exerzierplatz,20
27.03.,05.30-08.30,Warnstreik EvG,Aufzug/Bahnhofsplatz,100
30.03.,16.30-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),"NDR-Landesfunkhaus
Wall-Brücke",10-20
30.03.,16.30-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),"NDR-Landesfunkhaus
Wall-Brücke",10-20
