Datum,Uhrzeit,Thema,Standort/Strecke,Personenzahl
01.12.,17.30-19.00,Lichtergang Welt-Aids-Tag,Aufzug/Stresemannplatz,30
02.12.,15.00-17.30,Flaschenpfand ist keine Rente,Aufzug/Exerzierplatz,30
02.12.,12.00-15.00,silent line (Mahnwache) der Albert-Schweitzer-Stiftung,Holstenstraße 32/34 Wasserbecken/Bootshafen,15
03.12.,15.00-17.00,Zusammen für jüdisches Leben - Am Israel Chai,Holstenstraße/-brücke,ca. 10
04.12.,12.30-14.30,Solidarität mit den palästinensischen Zivilisten,CAU Kiel Christian-Albrechts-Platz,150
04.12.,09.45-13.00,Nationalpark Ostsee -Petitionsübergabe-,Staatskanzlei,20
05.12.,08.00-09.00,Gegen die Gewalt der AfD gegen Andersdenkende,Eingang Landgericht Harmsstraße,15-30
06.12.,10.00-16.30,Streik Landesdienst,Aufzug/Gewerkschaftshaus,3000
07.12.,17.00-18.00,Solidarität mit Israel zwei Monate nach dem Terrorangriff der Hamas,Platz der Kieler Matrosen,100-200
07.12.,16.00-17.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie mit echter Gewaltenteilung, Freiheit für Julian Assange",NDR-Landesfunkhaus Schlossplatz,max. 20
"07.12,",17.15-18.15,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie mit echter Gewaltenteilung, Freiheit für Julian Assange",Kieler Nachrichten Fleethörn,max.20
07.12.,17.00-18.30,Solidarität mit den Zivilisten in Gaza (Gegendemonstration) ,Platz der Kieler Matrosen,25
08.12.,14.00-16.30,FFF - BVerfG-Urteil zu 60 Mrd. € für Klimaschutz,Aufzug/Alter Markt,50
08.12.,10.00-12.00,Streikposten der GDL Ortsgruppe Kiel,Platz der Kieler Matrosen/Kaisertreppe,35
09.12.,14.00-15.30,Stoppt die drohende globale Umweltkatastrophe,Kaistraße Platz vor dem Blauen Engel,10
09.12.,11.30-15.00,Tiere,Holstenstraße Höhe Hausnummer 70/72,10
09.12.,15.00-17.30,Hände weg von unseren Kindern!,Aufzug/Exerzierplatz,20
10.12.,14.30-15.30,Friedenslicht aus Bethlehem,Aufzug/Bahnhofsplatz,ca.300
11.12.,08.30-09.30,Gegen die Gewalt der AfD gegen Andersdenkende,Landgericht Eingang Harmsstraße,50-100
11.12.,15.30-16.30,"""Ceasefire Now""",Holstenstraße 19-27,50
12.12.,10.00-12.00,Streikdemonstration und -versammlung zu den Tarifrunden im Handel im Norden,Aufzug/Westring (IKEA),100
13.12.,10.00-12.00,Streikdemonstration und -versammlung zu den Tarifrunden im Handel im Norden,Aufzug/Legienstr. (Gewerkschaftshaus),100
13.12.,17.00-18.30,Solidarität mit den palästinensischen Zivilist*innen,CAU Kiel Christian-Albrechts-Platz,250
13.12.,9.00-10.30,"Kita-Kampagne 'Küchenschürzenchallenge""",Landeshaus,100-150
13.12.,17.00-20.00,"Gegen Armut, Versrängung und Aufrüstung",Vinetaplatz (Seite Elisabethstr.),200
14.12.,16.00-17.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie mit echter Gewaltenteilung, Freiheit für Julian Assange",NDR-Landesfunkhaus Schlossplatz,max.20
14.12.,17.15-18.15,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie mit echter Gewaltenteilung, Freiheit für Julian Assange",Kieler Nachrichten Fleethörn,max.20
16.12.,12.00-15.00,Frieden schaffen ohne Waffen,Europaplatz/Schevenbrücke,ca. 10
16.12.,15.00-17.30,"Maut & CO2 Steuer runter, Politikwende jetzt!",Aufzug/Exerzierplatz,30
16.12.,12.00-14.00,Silent Line - Abschaffung der Massentierhaltung,Holstenstraße 32/34 Wasserbecken/Bootshafen,10
18.12.,16.30-17.30,Solidarisch mit Gaza,Holstenstr. 37 (zw. Primark und Hans im Glück),50
21.12.,09.30-11.30,Streikdemonstration und -versammlung zu den Tarifrunden im Handel im Norden,Aufzug/Gewerkschaftshaus,120
21.12.,11.00-15.00,Gegen die Gewalt der AfD gegen Andersdenkende,Schützenwall/Harmsstraße - beim Landgericht,30-75
21.12.,16.00-17.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie mit echter Gewaltenteilung, Freiheit für Julian Assange",NDR-Landesfunkhaus Schlossplatz,max.20
21.12.,17.15-18.15,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie mit echter Gewaltenteilung, Freiheit für Julian Assange",Kieler Nachrichten Fleethörn,max.20
23.12.,11.30-15.00,Christmas Ride - Motorradfahrer für mehr Anerkennung und Würdigung der Pflegekräfte,Aufzug/Konrad-Adenauer-Damm 2,500
23.12.,12.00-14.00,Willkommen statt Abschiebungen,Stresemannplatz/Welcome Center,15
27.12.,17.00-18.00,Gegen die Angriffe des türkischen Staates auf Rojava/Süd-Ost Syrien,Bahnhofsvorplatz,100
28.12.,16.00-17.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie mit echter Gewaltenteilung, Freiheit für Julian Assange",NDR-Landesfunkhaus Schlossplatz,max.20
28.12.,17.15-18.15,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie mit echter Gewaltenteilung, Freiheit für Julian Assange",Kieler Nachrichten Fleethörn,max.20
