Datum,Ort,Art,ang. TN-Zahl
2022-03-07 00:00:00,Eving ggü Bergstraße,Stationär,50
2022-03-07 00:00:00,Gerichtsstraße,Stationär,10 - 15
2022-03-07 00:00:00,Wily-Brandt-Platz Lünen (Rundweg),Aufzug,
2022-03-07 00:00:00,Möllerstraße/Hollestraße,Stationär,100
2022-03-07 00:00:00,Parkplatz Hilpert-Theater - Willy-Brandt-Platz,Aufzug,6 - 50
2022-03-08 00:00:00,Platz von Netanya,Stationär,50
2022-03-08 00:00:00,Platz der Alten Synagoge - Wall - Friedensplatz,Aufzug,1000
2022-03-08 00:00:00,RKP,Stationär,20
2022-03-08 00:00:00,Beurhausstraße,Stationär,4 - 7
2022-03-09 00:00:00,Reinoldikirche,Stationär,10 - 20
2022-03-09 00:00:00,RKP ,Stationär,20
2022-03-09 00:00:00,Huckarde,Aufzug,25
2022-03-10 00:00:00,Spielplatz Färberstraße,Stationär,50
2022-03-10 00:00:00,Ostenhellweg 32-34,Stationär,5-20
2022-03-11 00:00:00,Friedensplatz - Dietrich-Keuning-Haus,Aufzug,40
2022-03-11 00:00:00,Reinoldikirche,Stationär,20
2022-03-12 00:00:00,Münsterstraße,Stationär,10
2022-03-12 00:00:00,Rheinische Straße,Stationär,10 - 15
2022-03-12 00:00:00,Friedensplatz,Stationär,200
2022-03-12 00:00:00,Platz von Buffalo - Westenhellweg - DSW21-Kundencenter,Aufzug,40
2022-03-14 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2022-03-14 00:00:00,Friedensplatz,Stationär,400
2022-03-14 00:00:00, Eving ggü Bergstraße,Stationär,50
2022-03-14 00:00:00,Willy-Brandt-Platz (Lünen) - Goethestraße - Willy-Brandt-Platz (Lünen),Aufzug,100-200
2022-03-14 00:00:00,Friedensplatz - Körne - Friedensplatz,Aufzug,749
2022-03-14 00:00:00,Parkplatz Hilpert Theater Lünen - Willy-Brandt-Platz,Aufzug,6-50
2022-03-14 00:00:00,Möllerstraße Ecke Möllerbrücke,Stationär,100
2022-03-15 00:00:00,Platz der Deutschen Einheit,Stationär,5 - 10
2022-03-15 00:00:00,Leopoldstr. 16 - 20,Stationär,3 - 10
2022-03-15 00:00:00,Heiliger Weg 7 - 9,Stationär,3 - 10
2022-03-15 00:00:00,Brackeler Hellweg 170,Stationär,3 - 10
2022-03-15 00:00:00,Gleiwitz Str. 277,Stationär,3 - 10
2022-03-15 00:00:00,August-Wagner-Platz 2 - 4,Stationär,3 - 10
2022-03-15 00:00:00,Am Amtshaus 11,Stationär,3 - 10
2022-03-15 00:00:00,Wernerstr. 10,Stationär,3 - 10
2022-03-15 00:00:00,Harkortstraße 58,Stationär,3 - 10
