Datum,Ort,Art,ang. TN-Zahl,Thema
2023-01-30 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingsfrage, Internationale Solidarität, Corona Pandemie, Für den
Weltfrieden"
2023-01-30 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen",Stationär,20 - 30,Wir fordern den sofortigen Rücktritt der Bundesregierung und wollen zurück zur Volkssouveränität
2023-02-01 00:00:00,DSW21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-02-02 00:00:00,FZW (Rundweg) (über Westenhellweg),Aufzug,400 - 500,"Landesweiter Warnstreik, Coca-Cola European Partners"
2023-02-04 00:00:00,Ecke Lindemannstraße/Hollestraße,Stationär,15 - 20,Ukraine-Krieg / Friedensperspektiven
2023-02-06 00:00:00,Kurt-Piehl-Platz - Missundestraße 71,Aufzug,21 - 30,Erinnern an Mouhamed und seinen Tod!
2023-02-06 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingsfrage, Internationale Solidarität, Corona Pandemie, Für den
Weltfrieden"
2023-02-06 00:00:00,"Ecke Lange Straße/ Bäckerstraße, Lünen",Stationär,20 - 30,"Nie wieder Krieg und Ausbeutung, keine Waffenlieferung in Kriegsgebiete"
2023-02-07 00:00:00,Friedensplatz,Stationär,3000,Kundgebung zur Tarifverhandlung Deutsche POST AG
2023-02-08 00:00:00,DSW21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-02-08 00:00:00,Huckarder Marktplatz (Rundweg),Aufzug,35,"Keine Waffen in Kriegsgebiete! Regierungsversagen, Energiekrise, Inflation und Kriegstreiberei! Info"
2023-02-09 00:00:00,"Westfalenhallen, am Parkplatz A5",Stationär,20 - 25,"Für freie Meinungsäußerung, für Demokratie, gegen Waffenlieferungen in Kriegsgebiete"
2023-02-09 00:00:00,Platz der Alten Synagoge - Westfalenhallen (über Wittekindstraße),Aufzug,500,Tarifrunde öffentlicher Dienst (TVöD Bund/VKA) 
2023-02-09 00:00:00,"Westfalenhallen, am Parkplatz A5",Stationär,500,"Friede, Freiheit, Wahrheit"
2023-02-09 00:00:00,"Westfalenhallen, Kassenbereich",Stationär,10 - 40,Mahnwache Abdullohi S.
2023-02-10 00:00:00,"Lippebrücke - Freiherr-vom-Stein-Gymnasium, Lünen",Aufzug,2000,Menschenkette für die Aufmerksamkeit der Arbeit der Kinder- und Jugendhospize in Deutschland
