Datum,Ort,Art,ang. TN-Zahl,Thema
2023-10-16 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingsfrage, Internationale Solidarität, Für den Weltfrieden"
2023-10-17 00:00:00,Heroldstraße 13a (Vorplatz St. Josephskirche),Stationär,100,Internationaler Tag zur Beseitigung der Armut
2023-10-17 00:00:00,Katharinenstraße ,Stationär,30,Stand zum Internationalen Tag zur Beseitigung der Armut
2023-10-18 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-10-18 00:00:00,Platz der Deutschen Einheit,Stationär,100 - 150,Meldung für die flugverbot Zone demonstration für Rojava
2023-10-20 00:00:00,Rheinische Straße ,Stationär,5 - 10,Energie- und Lebensmittelpreise stoppen!
2023-10-21 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,60,Glaube an Jesus Christus und seine Liebe für uns
2023-10-21 00:00:00,Hörder Burgplatz,Stationär,100,Gegen explodierende Energiepreise
2023-10-21 00:00:00,Stadtgarten - Katharinenstraße SP 3,Aufzug,50,Armut nicht bestrafen! - Die Stadt gehört allen!
2023-10-21 00:00:00,Reinoldikirche ,Stationär,20 - 50,Wer sind sie Russe Deutsche Geschichte.
2023-10-21 00:00:00,Nordmarkt,Stationär,30,Gedenkveranstaltung Nordmarkt-Gedenken anlässlich der historischen Ereignisse vom 16. Oktober 1932
2023-10-21 00:00:00,Europabrunnen,Stationär,4 - 10,Die Verfolgung der Falun Dafa in China
2023-10-21 00:00:00,Hörder Burgplatz,Stationär,20,Mahnwache: Antifaschistischer Schutzwall statt bröckelige Brandmauer
2023-10-23 00:00:00,"Langestraße - Tobias-Park, Lünen (Rundweg)",Aufzug,25 - 35,Infos über aktuelle Themen
2023-10-25 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-10-26 00:00:00,Asselner Hellweg (TEDI) (Rundweg),Aufzug,100,Streik im Groß- und Außenhandel (Tarifrunde)
2023-10-27 00:00:00,Platz der Deutschen Einheit,Stationär,10,"Heilung für die Nation: Die Notwendigkeit göttlicher Heilung im Gegensatz zuden Strategien, die durch die covid-19 Beschränkungen angewendet wurden"
2023-10-27 00:00:00,Katharinenstraße,Stationär,50,Kinderrechte auch für Gaza!
2023-10-28 00:00:00,Platz der Deutschen Einheit,Stationar,10,"Heilung für die Nation: Die Notwendigkeit göttlicher Heilung im Gegensatz zuden Strategien, die durch die covid-19 Beschränkungen angewendet wurden"
2023-10-28 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,10-15,Schuldenerlass für arme Länder
2023-10-28 00:00:00,Platz der Deutschen Einheit - Friedensplatz,Aufzug,700,Stoppt den Krieg in Gaza!
2023-10-28 00:00:00,Platz von Buffalo,Stationär,150,Freiheit & Gerechtigkeit für Gaza/Palästina
2023-10-30 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen",Stationär,2 - 3,Corona und ein kritisches Licht auf die vergangenen fast 4 Jahre
2023-10-30 00:00:00,Katharinenstraße - Kampstraße,Aufzug,20 - 30,Heute ist Weltspartag 
2023-10-30 00:00:00,Katharinenstraße ,Stationär,50,gegen den begonnenen Krieg im Nahen Osten
2023-10-31 00:00:00,Asselner Hellweg (TEDI) (Rundweg),Aufzug,100,Streik im Groß- und Außenhandel (Tarifrunde)
2023-11-03 00:00:00,Rosental 12,Stationär,15,Tarifvertrag für Lieferando
2023-11-04 00:00:00,Platz der Deutschen Einheit,Stationär,10,Freiheit für öcalan und eine poltische Lösung der kurdischen Frage
2023-11-04 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,4 - 6,"Kundgebung für eine pflanzenbasierte Agrarwende, Veganismus"
2023-11-05 00:00:00,Ecke Voßkuhle/B1 (Westfalendamm),Stationär,70,RS1 ausbauen - Radwende jetzt!
2023-11-06 00:00:00,Kurt-Piehl-Platz,Stationär,20 - 30,"Gedenken an Mouhamed, Diskussion und Austausch"
2023-11-06 00:00:00,Friedensplatz,Stationär,200,Kundgebung zur Einkommensrunde 2023
2023-11-06 00:00:00,"Langestraße - Tobias-Park, Lünen ",Aufzug,25-35,Infos über aktuelle Themen
2023-11-06 00:00:00,Platz der Deutschen Einheit,Stationär,50,Stoppt den Krieg in Gaza
2023-11-08 00:00:00,Kaiserstraße 34 (Landgericht Dortmund),Stationar,50,"Solidarische Prozessbegleitung, Kaiserstraße autofrei! Gereichtsviertel renaturieren!"
2023-11-08 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-11-09 00:00:00,Wilhelmplatz,Stationär,300 - 400,Gedenken an die Opfer der Progromnacht
2023-11-09 00:00:00,Am Amtshaus 1 - Wiedenhof 2,Aufzug,30,Gemeinsamer Weg zur ökumenischen Pogromandacht
2023-11-09 00:00:00,Friedensplatz,Stationär,100,Nie wieder ist heute - gegen jeden Antisemitismus
2023-11-09 00:00:00,Asselner Hellweg (TEDI) (Rundweg),Aufzug,100,Streik im Groß- und Außenhandel (Tarifrunde)
2023-11-10 00:00:00,"Willy-Brandt-Platz - Moltkestraße, Lünen",Aufzug,30,Silent Ride und Aufstellung eines Ghostbikes
2023-11-10 00:00:00,Asselner Hellweg (TEDI) (Rundweg),Aufzug,100,Streik im Groß- und Außenhandel (Tarifrunde)
2023-11-11 00:00:00,Mengeder Marktplatz,Stationär,25,Protest gegen die Schliefenanlage in Westerfilde
2023-11-11 00:00:00,Westenhellweg 40-42,Stationär,8,"Gegen die Jagd, Jagd schadet dem Gleichgewicht der Natur"
2023-11-11 00:00:00,Sonnenplatz,Stationär,10 - 20,Schluss mit Mogelmilch
2023-11-11 00:00:00,Platz der Deutschen Einheit,Stationär,5 - 10,Verkehrswende braucht gute Arbeit
2023-11-13 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingsfrage, Internationale Solidarität, Für den Weltfrieden"
2023-11-13 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen",Stationär,2 - 3,WHO-Pandemievertrag
2023-11-14 00:00:00,Gerichtsstraße 22 (Amtsgericht Dortmund),Stationär,25 - 50,Warnstreik der Deutschen Justiz-Gewerkschaft NRW / des dbb Beamtenbund und tarifunion
2023-11-14 00:00:00,Gerichtsplatz 1,Stationär,80,Aktive Mittagspause der Justiz Dortmund im Rahmen der Tarifrunde der Länder
2023-11-15 00:00:00,Park der Partnerstädte - Westfalenhallen,Stationär,5000,"Politik des Gesundheitsministeriums gegenüber Apothekern – Lieferengpässe, Honorare etc."
2023-11-15 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-11-15 00:00:00,Platz der Deutschen Einheit,Stationär,30 - 40,Freiheit für öcalan
2023-11-15 00:00:00,Kaiserstraße 34 (Landgericht Dortmund),Stationär,15,Justizkritische Kundgebung und Solidarische Prozessbegleitung
2023-11-17 00:00:00,Heroldstraße 13a (Vorplatz St. Josephskirche),Stationär,6 - 8,Nein zu Kriegen…
2023-11-17 00:00:00,Ecke Sonnenstraße/Arneckestraße,Stationär,20 - 40,10 Jahre Radschnellwegplanung in NRW
2023-11-17 00:00:00,Asselner Hellweg (TEDI) (Rundweg),Aufzug,100,Streik im Groß- und Außenhandel (Tarifrunde)
2023-11-18 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,10,Christliche Werte in Bezug auf das Deutsche Grundgesetz
2023-11-20 00:00:00,Friedensplatz - Platz von Buffalo,Aufzug,100,Trans Day of Remembrance 2023
2023-11-20 00:00:00,Asselner Hellweg (TEDI) (Rundweg),Aufzug,100,Streik im Groß- und Außenhandel (Tarifrunde)
2023-11-20 00:00:00,"Willy-Brand-Platz, Lünen",Stationär,20-35,Infos über aktuelle Themen
2023-11-22 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-11-22 00:00:00,Cinestar-Vorplatz (Platz von Xí'an),Stationär,250 - 300,Beschäftigtenprotest Postbank Filialbetrieb wegen arbeitgeberseitig angekündigter Filialschließung
2023-11-23 00:00:00,Kaiserstraße 34 (Landgericht Dortmund),Stationär,20,Feuer und Flamme der Repression - Solidarische Prozessbegleitung
2023-11-23 00:00:00,Platz von Buffalo,Stationär,30,Freiheit für die zu Unrecht inhaftierten Mitglieder der Furkan Bewegung in der Türkei
2023-11-23 00:00:00,Olpe 1,Stationär,10,Freiheit für Abdullohi Shamsedin
2023-11-24 00:00:00,Asselner Hellweg (TEDI) (Rundweg),Aufzug,100,Streik im Groß- und Außenhandel (Tarifrunde)
2023-11-24 00:00:00,Harkortstraße 25-27 (Kaufhaus Dustmann),Stationär,6,"Mahnwache, Kundenansprache und Flugblattverteilung im Rahmen der Tarifrunde des Einzelhandels 2023"
2023-11-24 00:00:00,Harkortstraße 35 (REWE Schulenberg),Stationär,6,"Mahnwache, Kundenansprache und Flugblattverteilung im Rahmen der Tarifrunde des Einzelhandels 2023"
2023-11-24 00:00:00,Rheinische Straße 41-47 (REWE Filips & Netto Marken-Discount),Stationär,6,"Mahnwache, Kundenansprache und Flugblattverteilung im Rahmen der Tarifrunde des Einzelhandels 2023"
2023-11-25 00:00:00,Hansaplatz - Kampstraße (Petrikirche),Aufzug,50,Unschlagbar! - Gewaltschutz ist Menschenrecht
2023-11-25 00:00:00,Platz der Deutschen Einheit,Stationär,100,Solidarität mit der Ukraine - anlässliche 90 Jahre Holodomor
2023-11-25 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,120,Anlässlich des Internationalen Tags gegen Gewalt an Frauen möchten wir das Thema aus unterschiedlichen Perspektiven beleuchten und v.a. auf Femizide aufmerksam machen
2023-11-25 00:00:00,Platz von Xí'an (Cinestar-Vorplatz),Stationär,50-200,Solidarität mit Stadt Idlib
2023-11-27 00:00:00,"Willy-Brandt-Platz, Lünen",Stationär,25 - 35,Infos über aktuelle Themen
2023-11-28 00:00:00,Asselner Hellweg (TEDI) (Rundweg),Aufzug,100,Streik im Groß- und Außenhandel (Tarifrunde)
2023-11-29 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-11-30 00:00:00,Lange Straße 42 - Platz der Deutschen Einheit/Katharinenstraße,Aufzug,100-250,Warnstreik der GEW/Verdi
2023-11-30 00:00:00,Kaiserstraße 34 (Landgericht Dortmund) - Platz der Deutschen Einheit,Aufzug,450,"Streikversammlung anlässlich der Tarifrunde der Länder, Warnstreik"
2023-11-30 00:00:00,Asselner Hellweg (TEDI) (Rundweg),Aufzug,100,Streik im Groß- und Außenhandel (Tarifrunde)
2023-12-01 00:00:00,Ecke Möllerstraße/Hollestraße,Stationär,5 - 10,"Heizung, Brot und Frieden!"
2023-12-02 00:00:00,Katharinenstraße,Stationär,50,Solidaritätsakt Gegen Anti-Palästinensischem Rassismus
2023-12-04 00:00:00,Kurt-Piehl-Platz,Stationär,20 - 30,"Gedenken an Mouhamed, gemeinsamer Austausch"
2023-12-06 00:00:00,Platz der Deutschen Einheit,Stationär,20,Gegen Militarisierung und Krieg
2023-12-06 00:00:00,Harkortstraße 25-27 (Kaufhaus Dustmann),Stationär,6,"Mahnwache, Kundenansprache und Flugblattverteilung im Rahmen der Tarifrunde des Einzelhandels 2023"
2023-12-06 00:00:00,Harkortstraße 35 (REWE Schulenberg),Stationär,6,"Mahnwache, Kundenansprache und Flugblattverteilung im Rahmen der Tarifrunde des Einzelhandels 2023"
2023-12-06 00:00:00,Rosental 12,Stationär,15,Tarifvertrag auch für Lieferando
2023-12-07 00:00:00,Platz der Deutschen Einheit,Stationär,20,Gemeinsam gegen Krieg und Rassismus
2023-12-07 00:00:00,Eberhardstraße 12 (Rundweg),Aufzug,1200,Warnstreikkundgebung mit Demonstrationszug
2023-12-07 00:00:00,Florianstraße 2-4 (Cafe Durchblick),Stationär,60,Warnstreiktag im Rahmen der Tarifrunde der AOK
2023-12-08 00:00:00,Platz der Deutschen Einheit,Stationär,30 - 40,Freiheit und Gerechtigkeit für Palästina/Gaza - Gegen den Krieg! Gegen die Bombadierung von unschuldigen Zivilisten
2023-12-09 00:00:00,Huckarder Marktplatz (Rundweg),Aufzug,25 - 40,Kundgebung und Demo zum weltweiten Umweltaktionstag
2023-12-09 00:00:00,Vorplatz DSW21-Kundencenter - Reinoldikirche,Aufzug,15,Geh-Meditation
2023-12-11 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingsfrage, Internationale Solidarität, Für den Weltfrieden"
2023-12-11 00:00:00,August-Wagner-Platz,Stationär,25 - 45,Ökumenische Haltestelle für den Frieden
2023-12-13 00:00:00,Platz der Deutschen Einheit,Stationär,20,Gegen Militarisierung und Krieg
2023-12-15 00:00:00,Platz von Hiroshima,Stationär,10,Gegen Tierleid zur Weihnachtszeit
2023-12-15 00:00:00,Westenhellweg 70-84,Stationär,6,"Mahnwache, Kundenansprache und Flugblattverteilung im Rahmen der Tarifrunde des Einzelhandels 2023"
2023-12-16 00:00:00,Platz der Deutschen Einheit (Rundweg),Aufzug,150,Die Politik führt Krieg gegen das Volk! - Schützt unsere Wirtschaft und die politisch Verfolgten
2023-12-16 00:00:00,Zum Haus Oberfelde 12 - Alter Postweg,Aufzug,120,"Ein Funken Hoffnung - Lichterfahrt, Miteinander statt Gegeneinander"
2023-12-16 00:00:00,Katharinenstraße ,Stationär,7,Mahnwache gegen die Vertreibung von Obdachlosen vom Weihnachtsmarkt
2023-12-16 00:00:00,Vorplatz Fußballmuseum,Stationär,150,Save Ukraine
2023-12-17 00:00:00,Eingang Westfalenhallen,Stationär,10,gegen die Tierhaltung von Cavalluna
2023-12-19 00:00:00,Kaiserstraße 34 (Landgericht Dortmund),Stationär,50 - 100,Prozessbeginn gegen Polizisten im Fall Mouhamed Lamin Dramé
2023-12-19 00:00:00,Kaiserstraße 34 (Landgericht Dortmund),Stationär,20 - 30,Gerechtigkeit für Mouhamed
2023-12-19 00:00:00,Asselner Hellweg (TEDI) (Rundweg),Aufzug,100,Streik im Groß- und Außenhandel (Tarifrunde)
2023-12-19 00:00:00,Ecke Möllerstraße/Hollestraße,Stationär,5 - 10,Energie- und Lebensmittelpreise stoppen!
2023-12-20 00:00:00,Platz der Deutschen Einheit,Stationär,20,Gegen Militarisierung und Krieg
2023-12-20 00:00:00,Mengeder Marktplatz,Stationär,20,AfD verbieten!
2023-12-20 00:00:00,Mengeder Marktplatz,Stationär,30,Mahnwache
2023-12-22 00:00:00,Westenhellweg 11-13,Stationär,10,"Mahnwache, Kundenansprache und Flugblattverteilung im Rahmen der Tarifrunde des Einzelhandels 2023"
2023-12-22 00:00:00,Im Spähenfelde 51 - Kaltbandstraße 4,Aufzug,400,Tarifrunde im Einzel- und Versandhandel sowie im Groß- und Außenhandel 2023
2023-12-23 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,10,"Glaube, Liebe, Hoffnung - Gemeinsam durch die Krisen der heutigen Zeiten"
2023-12-23 00:00:00,Ecke Stadtgarten/Friedensplatz,Stationär,7,Mahnwache gegen die Vertreibung von Obdachlosen vom Weihnachtsmarkt
2023-12-23 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,6 - 10,Verteilen von Weihnachtsgeld/Unterscrhiften für EU-Wahl
2023-12-23 00:00:00,Reinoldikirche,Stationär,25,Christliche Werte in Gesellschaft und Politik an Weihnachten
2023-12-28 00:00:00,Remydamm (Parkplatz E1/E2) - Brackeler Hellweg 202,Aufzug,20 Fahrzeuge,Solidarität mit unseren Nahrungsmittelerzeugern für den 8.1.24
2023-12-28 00:00:00,Platz der Deutschen Einheit,Stationär,100,Gegen Türkische Angriffe auf Nordsyrien
2023-12-30 00:00:00,Remydamm (Parkplatz E1/E2) (Rundweg),Aufzug,20 Fahrzeuge,Solidarität mit unseren Nahrungsmittelerzeugern für den 8.1.24
2023-12-31 00:00:00,Gerichtsstraße,Aufzug,30,Freiheit für alle Gefangenen der JVA Dortmund und überall
04.09. - 08.09.2023,"Platz der Deutschen Einheit, Dortmund - Zehntstraße 10, Köln",Aufzug,75 - 100,Gesundheitszustand und die Haftbedingungen des Herrn Abdullah Öcalan
08.04. - 10.04.2023,Duisburg - Dortmund,Aufzug,200 - 700,Ostermarsch RheinRuhr 2023
12. - 13.12.2023,Eberhardstraße 12,Stationär,400,24-Stunden-Warnstreik mit Kundgebungen
19. - 20.01.2023,Revierstraße 13,Stationär,40,Warnstreik Deutsche Post AG
28. - 29.07.2023,Vorplatz DSW21-Kundencenter,Stationär,20,Gotteswort: Ströme zur Heilung für die Nation
28.01. - 05.02.2023,Ecke Kampstraße/ Katharinenstraße,Stationär,20,Schlafen statt Strafen Protestcamp gegen Diskriminierung von Obdachlosen in Dortmund
